actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
35,PT08M43.00S,2021-11-27T03:15:16.9Z,1,REGULAR,turnover,offensive foul,[],203110,,,1610612744,12,7,2021-11-27T03:15:16Z,350000,,,0,,D. Green offensive foul TURNOVER (1 TO),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,1201.0,1.0,,,,,,,,,,,,,,,,
36,PT08M30.00S,2021-11-27T03:15:39.3Z,1,REGULAR,turnover,out-of-bounds,[],1626181,,,1610612757,12,7,2021-11-27T03:16:14Z,360000,,,0,,N. Powell lost ball out-of-bounds TURNOVER (1 TO),[1626181],1610612757.0,POR,lost ball,,,Powell,N. Powell,,,,,,,,2534.0,1.0,,,,,,,,,,,,,,,,
37,PT08M20.00S,2021-11-27T03:15:52.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1626172,83.65637319316689,36.76470588235294,1610612744,12,7,2021-11-27T03:15:55Z,370000,-66.0,101.0,1,right,MISS K. Looney 12' pullup Shot,[1626172],1610612744.0,GSW,pullup,,,Looney,K. Looney,,,,,12.08,Missed,,,,,,,,,,,,,,,,,,,
38,PT08M18.00S,2021-11-27T03:15:54.3Z,1,REGULAR,rebound,offensive,[],203952,,,1610612744,12,7,2021-11-27T03:19:38Z,380000,,,0,,A. Wiggins REBOUND (Off:1 Def:0),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,37.0,1.0,0.0,1.0,,,,,,,
39,PT08M15.00S,2021-11-27T03:15:57.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",203952,91.27792378449409,44.36274509803921,1610612744,12,7,2021-11-27T03:16:00Z,390000,-28.0,29.0,1,right,MISS A. Wiggins Layup,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,4.08,Missed,,,,,,,,,,,,,,,,,,,
40,PT08M13.00S,2021-11-27T03:15:59.7Z,1,REGULAR,rebound,offensive,[],203952,,,1610612744,12,7,2021-11-27T03:19:33Z,400000,,,0,,A. Wiggins REBOUND (Off:2 Def:0),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,39.0,2.0,0.0,2.0,,,,,,,
41,PT08M11.00S,2021-11-27T03:16:01.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",203952,94.40999984741211,50.0,1610612744,14,7,2021-11-27T03:16:01Z,410000,0.0,0.0,1,right,A. Wiggins tip Layup (7 PTS),[203952],1610612744.0,GSW,tip,,,Wiggins,A. Wiggins,,,,,0.0,Made,7.0,,,,,,,,,,,,,,,,,,
42,PT08M06.00S,2021-11-27T03:16:13.2Z,1,REGULAR,foul,personal,[],201939,,,1610612757,14,7,2021-11-27T03:16:20Z,420000,,,0,,S. Curry personal FOUL (1 PF),"[201939, 203081]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,2534.0,,,,,,,,,,,,,1.0,0.0,Lillard,203081.0,
44,PT07M57.00S,2021-11-27T03:16:34.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203081,5.863994743758213,58.82352941176471,1610612757,14,9,2021-11-27T03:16:37Z,440000,-44.0,3.0,1,left,D. Lillard driving Layup (2 PTS) (N. Powell 1 AST),"[203081, 1626181]",1610612757.0,POR,driving,,,Lillard,D. Lillard,,,,,4.42,Made,2.0,,,,,N. Powell,1626181.0,1.0,,,,,,,,,,,
45,PT07M46.00S,2021-11-27T03:16:45.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203110,91.5407358738502,58.82352941176471,1610612744,16,9,2021-11-27T03:16:48Z,450000,44.0,27.0,1,right,D. Green cutting Layup (2 PTS) (S. Curry 2 AST),"[203110, 201939]",1610612744.0,GSW,cutting,,,Green,D. Green,,,,,5.17,Made,2.0,,,,,S. Curry,201939.0,2.0,,,,,,,,,,,
47,PT07M35.00S,2021-11-27T03:16:56.4Z,1,REGULAR,2pt,Jump Shot,[],1626181,5.601182654402102,77.69607843137256,1610612757,16,9,2021-11-27T03:17:00Z,470000,-138.0,0.0,1,left,MISS N. Powell 13' pullup Shot,[1626181],1610612757.0,POR,pullup,,,Powell,N. Powell,,,,,13.85,Missed,,,,,,,,,,,,,,,,,,,
48,PT07M33.00S,2021-11-27T03:16:58.4Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,16,9,2021-11-27T03:19:22Z,480000,,,0,,S. Curry REBOUND (Off:0 Def:1),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,47.0,1.0,1.0,0.0,,,,,,,
49,PT07M28.00S,2021-11-27T03:17:04.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203110,94.1688567674113,40.44117647058824,1610612744,16,9,2021-11-27T03:17:07Z,490000,-48.0,2.0,1,right,MISS D. Green Layup,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,4.79,Missed,,,,,,,,,,,,,,,,,,,
50,PT07M26.00S,2021-11-27T03:17:06.2Z,1,REGULAR,rebound,defensive,[],203496,,,1610612757,16,9,2021-11-27T03:18:50Z,500000,,,0,,R. Covington REBOUND (Off:0 Def:1),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,,49.0,1.0,1.0,0.0,,,,,,,
51,PT07M17.00S,2021-11-27T03:17:14.5Z,1,REGULAR,3pt,Jump Shot,[],203468,12.959921156373195,1.715686274509804,1610612757,16,12,2021-11-27T03:17:17Z,510000,241.0,69.0,1,left,C. McCollum 25' 3PT  (3 PTS) (J. Nurkic 1 AST),"[203468, 203994]",1610612757.0,POR,,,,McCollum,C. McCollum,,,,,25.12,Made,3.0,,,,,J. Nurkic,203994.0,1.0,,,,,,,,,,,
53,PT07M01.00S,2021-11-27T03:17:33.4Z,1,REGULAR,turnover,out-of-bounds,[],203110,,,1610612744,16,12,2021-11-27T03:17:35Z,530000,,,0,,D. Green bad pass out-of-bounds TURNOVER (2 TO),[203110],1610612744.0,GSW,bad pass,,,Green,D. Green,,,,,,,,2534.0,2.0,,,,,,,,,,,,,,,,
54,PT06M50.00S,2021-11-27T03:17:53.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203994,11.251642575558476,44.11764705882353,1610612757,16,12,2021-11-27T03:18:04Z,540000,29.0,53.0,1,left,MISS J. Nurkic 6' cutting Layup,[203994],1610612757.0,POR,cutting,,,Nurkic,J. Nurkic,,,,,6.09,Missed,,,,,,,,,,,,,,,,,,,
55,PT06M47.00S,2021-11-27T03:17:56.4Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,16,12,2021-11-27T03:17:56Z,550000,,,0,,K. Looney REBOUND (Off:0 Def:3),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,54.0,3.0,3.0,0.0,,,,,,,
