actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
28,PT09M55.00S,2021-11-08T01:43:43.7Z,1,REGULAR,freethrow,1 of 2,[],1629673,,,1610612744,7,4,2021-11-08T01:43:43Z,280000,,,0,,J. Poole Free Throw 1 of 2 (7 PTS),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,Made,,,,,7.0,,,,,,,,,,,,
29,PT09M55.00S,2021-11-08T01:43:57.2Z,1,REGULAR,freethrow,2 of 2,[],1629673,,,1610612744,8,4,2021-11-08T01:43:57Z,290000,,,0,,J. Poole Free Throw 2 of 2 (8 PTS),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,Made,,,,,8.0,,,,,,,,,,,,
30,PT09M39.00S,2021-11-08T01:44:15.6Z,1,REGULAR,3pt,Jump Shot,[],1630224,32.013797634691194,42.40196078431372,1610612745,8,4,2021-11-08T01:44:22Z,300000,38.0,248.0,1,left,MISS J. Green 25' 3PT,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,25.13,Missed,,,,,,,,,,,,,,,,,
31,PT09M35.00S,2021-11-08T01:44:19.6Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,8,4,2021-11-08T01:44:22Z,310000,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,30.0,1.0,1.0,0.0,,,,,,,,,,,,,
32,PT09M31.00S,2021-11-08T01:44:23.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201939,86.67871222076215,95.34313725490196,1610612744,11,4,2021-11-08T01:47:33Z,320000,227.0,73.0,1,right,S. Curry 3PT running (3 PTS) (D. Green 4 AST),"[201939, 203110]",1610612744.0,GSW,running,,,Curry,S. Curry,,,,,,,23.81,Made,,,,,3.0,D. Green,203110.0,4.0,,,,,,,,,
34,PT09M14.00S,2021-11-08T01:44:40.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630256,5.995400788436268,52.450980392156865,1610612745,11,4,2021-11-08T01:48:16Z,340000,-12.0,4.0,1,left,MISS J. Tate reverse Layup,[1630256],1610612745.0,HOU,reverse,,,Tate,J. Tate,,,,,,,1.29,Missed,,,,,,,,,,,,,,,,,
35,PT09M11.00S,2021-11-08T01:44:43.5Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,11,4,2021-11-08T01:44:44Z,350000,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,34.0,1.0,1.0,0.0,,,,,,,,,,,,,
36,PT09M04.00S,2021-11-08T01:44:50.7Z,1,REGULAR,3pt,Jump Shot,[],203110,76.16622864651774,85.5392156862745,1610612744,11,4,2021-11-08T01:44:55Z,360000,178.0,172.0,1,right,MISS D. Green 24' 3PT,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,24.7,Missed,,,,,,,,,,,,,,,,,
37,PT09M00.00S,2021-11-08T01:44:54.4Z,1,REGULAR,rebound,offensive,[],203110,,,1610612744,11,4,2021-11-08T01:44:54Z,370000,,,0,,D. Green REBOUND (Off:1 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,36.0,2.0,1.0,1.0,,,,,,,,,,,,,
38,PT08M58.00S,2021-11-08T01:44:56.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201939,90.3580814717477,4.411764705882353,1610612744,11,4,2021-11-08T01:45:02Z,380000,-228.0,38.0,1,right,MISS S. Curry 3PT,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,23.11,Missed,,,,,,,,,,,,,,,,,
39,PT08M53.00S,2021-11-08T01:45:01.4Z,1,REGULAR,rebound,defensive,[],1629645,,,1610612745,11,4,2021-11-08T01:45:06Z,390000,,,0,,K. Porter Jr. REBOUND (Off:0 Def:1),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,38.0,1.0,1.0,0.0,,,,,,,,,,,,,
40,PT08M48.00S,2021-11-08T01:45:06.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629645,8.229303547963205,53.431372549019606,1610612745,11,4,2021-11-08T01:49:41Z,400000,-17.0,25.0,1,left,MISS K. Porter Jr. running Layup,[1629645],1610612745.0,HOU,running,,,Porter Jr.,K. Porter Jr.,,,,,,,3.03,Missed,,,,,,,,,,,,,,,,,
41,PT08M46.00S,2021-11-08T01:45:08.4Z,1,REGULAR,rebound,offensive,[],1628464,,,1610612745,11,4,2021-11-08T01:45:08Z,410000,,,0,,D. Theis REBOUND (Off:1 Def:1),[1628464],1610612745.0,HOU,,,,Theis,D. Theis,,,,,,,,,40.0,2.0,1.0,1.0,,,,,,,,,,,,,
42,PT08M45.00S,2021-11-08T01:45:09.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628464,7.178055190538765,51.71568627450981,1610612745,11,4,2021-11-08T01:50:41Z,420000,-9.0,15.0,1,left,MISS D. Theis Layup,[1628464],1610612745.0,HOU,,,,Theis,D. Theis,,,,,,,1.73,Missed,,,,,,,,,,,,,,,,,
43,PT08M42.00S,2021-11-08T01:45:12.6Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,11,4,2021-11-08T01:45:32Z,430000,,,0,,D. Green REBOUND (Off:1 Def:2),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,42.0,3.0,2.0,1.0,,,,,,,,,,,,,
44,PT08M40.00S,2021-11-08T01:45:20.4Z,1,REGULAR,foul,offensive,[],203110,,,1610612744,11,4,2021-11-08T01:45:25Z,440000,,,0,,D. Green charge offensive FOUL (1 PF),"[203110, 1630256]",1610612744.0,GSW,charge,,,Green,D. Green,,,,,204059.0,,,,,,,,,,,,1.0,0.0,Tate,1630256.0,,,,,
46,PT08M40.00S,2021-11-08T01:45:20.4Z,1,REGULAR,turnover,offensive foul,[],203110,,,1610612744,11,4,2021-11-08T01:45:20Z,460000,,,0,,D. Green offensive foul TURNOVER (1 TO),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,204059.0,1.0,,,,,,,,,,,,,,,,,,,
48,PT08M25.00S,2021-11-08T01:45:52.1Z,1,REGULAR,foul,personal,[],1629673,,,1610612745,11,4,2021-11-08T01:45:57Z,470000,,,0,,J. Poole personal FOUL (1 PF),"[1629673, 1628464]",1610612744.0,GSW,,,,Poole,J. Poole,,,,,1146.0,,,,,,,,,,,,1.0,0.0,Theis,1628464.0,,,,,
50,PT08M20.00S,2021-11-08T01:46:17.2Z,1,REGULAR,foul,personal,['2freethrow'],203952,,,1610612745,11,4,2021-11-08T01:46:25Z,490000,,,0,,A. Wiggins shooting personal FOUL (1 PF) (Porter Jr. 2 FT),"[203952, 1629645]",1610612744.0,GSW,shooting,,,Wiggins,A. Wiggins,,,,,204059.0,,,,,,,,,,,,1.0,0.0,Porter Jr.,1629645.0,,,,,
52,PT08M20.00S,2021-11-08T01:46:38.3Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1629645,,,1610612745,11,5,2021-11-08T01:46:38Z,510000,,,0,,K. Porter Jr. Free Throw 1 of 2 (1 PTS),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,
53,PT08M20.00S,2021-11-08T01:46:50.6Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1629645,,,1610612745,11,6,2021-11-08T01:46:50Z,520000,,,0,,K. Porter Jr. Free Throw 2 of 2 (2 PTS),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,
54,PT08M08.00S,2021-11-08T01:47:04.4Z,1,REGULAR,2pt,Jump Shot,[],203952,87.86136662286465,73.77450980392157,1610612744,11,6,2021-11-08T01:52:09Z,530000,119.0,62.0,1,right,MISS A. Wiggins 13' turnaround fadeaway Shot,[203952],1610612744.0,GSW,turnaround fadeaway,,,Wiggins,A. Wiggins,,,,,,,13.39,Missed,,,,,,,,,,,,,,,,,
55,PT08M03.00S,2021-11-08T01:47:09.4Z,1,REGULAR,rebound,defensive,[],1630256,,,1610612745,11,6,2021-11-08T01:47:09Z,540000,,,0,,J. Tate REBOUND (Off:0 Def:1),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,54.0,1.0,1.0,0.0,,,,,,,,,,,,,
56,PT07M59.00S,2021-11-08T01:47:13.2Z,1,REGULAR,turnover,lost ball,[],1628464,,,1610612745,11,6,2021-11-08T01:47:17Z,550000,,,0,,D. Theis lost ball TURNOVER (2 TO),"[1628464, 201939]",1610612745.0,HOU,,,,Theis,D. Theis,,,,,,2.0,,,,,,,,,,,,,,,Curry,201939.0,,,
57,PT07M59.00S,2021-11-08T01:47:13.2Z,1,REGULAR,steal,,[],201939,,,1610612744,11,6,2021-11-08T01:47:17Z,560000,,,0,,S. Curry STEAL (1 STL),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M56.00S,2021-11-08T01:47:17.9Z,1,REGULAR,foul,personal,['2freethrow'],1630256,,,1610612744,11,6,2021-11-08T01:47:45Z,570000,,,0,,J. Tate shooting personal FOUL (1 PF) (Wiggins 2 FT),"[1630256, 203952]",1610612745.0,HOU,shooting,,,Tate,J. Tate,,,,,204059.0,,,,,,,,,,,,1.0,0.0,Wiggins,203952.0,,,,,
60,PT07M56.00S,2021-11-08T01:47:45.7Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",203952,,,1610612744,11,6,2021-11-08T01:47:45Z,590000,,,0,,MISS A. Wiggins Free Throw 1 of 2,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,Missed,,,,,,,,,,,,,,,,,
61,PT07M56.00S,2021-11-08T01:47:45.7Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612744,11,6,2021-11-08T01:47:45Z,600000,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,
62,PT07M56.00S,2021-11-08T01:48:00.0Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",203952,,,1610612744,12,6,2021-11-08T01:48:00Z,610000,,,0,,A. Wiggins Free Throw 2 of 2 (1 PTS),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,
63,PT07M46.00S,2021-11-08T01:48:14.0Z,1,REGULAR,turnover,lost ball,[],1629645,,,1610612745,12,6,2021-11-08T01:48:24Z,620000,,,0,,K. Porter Jr. lost ball TURNOVER (1 TO),"[1629645, 203110]",1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,1.0,,,,,,,,,,,,,,,Green,203110.0,,,
64,PT07M46.00S,2021-11-08T01:48:14.0Z,1,REGULAR,steal,,[],203110,,,1610612744,12,6,2021-11-08T01:49:22Z,630000,,,0,,D. Green STEAL (1 STL),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT07M35.00S,2021-11-08T01:48:25.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",203952,93.64323258869908,49.50980392156863,1610612744,14,6,2021-11-08T01:48:42Z,640000,-2.0,7.0,1,right,A. Wiggins driving DUNK (3 PTS),[203952],1610612744.0,GSW,driving,,,Wiggins,A. Wiggins,,,,,,,0.77,Made,,,,,3.0,,,,,,,,,,,,
66,PT07M35.00S,2021-11-08T01:48:52.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,14,6,2021-11-08T01:48:52Z,650000,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT07M15.00S,2021-11-08T01:51:41.6Z,1,REGULAR,turnover,lost ball,[],1626174,,,1610612745,14,6,2021-11-08T02:02:36Z,660000,,,0,,C. Wood lost ball TURNOVER (1 TO),"[1626174, 1629673]",1610612745.0,HOU,,,,Wood,C. Wood,,,,,,1.0,,,,,,,,,,,,,,,Poole,1629673.0,,,
68,PT07M15.00S,2021-11-08T01:51:41.6Z,1,REGULAR,steal,,[],1629673,,,1610612744,14,6,2021-11-08T01:51:43Z,670000,,,0,,J. Poole STEAL (1 STL),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT07M13.00S,2021-11-08T01:51:43.9Z,1,REGULAR,turnover,bad pass,[],203110,,,1610612744,14,6,2021-11-08T01:56:14Z,680000,,,0,,D. Green bad pass TURNOVER (2 TO),"[203110, 1626174]",1610612744.0,GSW,,,,Green,D. Green,,,,,,2.0,,,,,,,,,,,,,,,Wood,1626174.0,,,
70,PT07M13.00S,2021-11-08T01:51:43.9Z,1,REGULAR,steal,,[],1626174,,,1610612745,14,6,2021-11-08T01:51:45Z,690000,,,0,,C. Wood STEAL (1 STL),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT07M12.00S,2021-11-08T01:51:48.6Z,1,REGULAR,foul,personal,[],203110,,,1610612745,14,6,2021-11-08T01:52:42Z,700000,,,0,,D. Green personal FOUL (2 PF),"[203110, 1629645]",1610612744.0,GSW,,,,Green,D. Green,,,,,202053.0,,,,,,,,,,,,2.0,0.0,Porter Jr.,1629645.0,,,,,
73,PT07M06.00S,2021-11-08T01:52:29.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1629645,6.1268068331143235,49.26470588235294,1610612745,14,8,2021-11-08T01:52:32Z,720000,4.0,5.0,1,left,K. Porter Jr. driving DUNK (4 PTS),[1629645],1610612745.0,HOU,driving,,,Porter Jr.,K. Porter Jr.,,,,,,,0.63,Made,,,,,4.0,,,,,,,,,,,,
74,PT06M51.00S,2021-11-08T01:52:44.6Z,1,REGULAR,3pt,Jump Shot,[],203952,86.41590013140605,4.901960784313726,1610612744,17,8,2021-11-08T01:52:48Z,730000,-225.0,75.0,1,right,A. Wiggins 3PT  (6 PTS) (J. Poole 1 AST),"[203952, 1629673]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,23.77,Made,,,,,6.0,J. Poole,1629673.0,1.0,,,,,,,,,
76,PT06M28.00S,2021-11-08T01:53:06.3Z,1,REGULAR,3pt,Jump Shot,[],1628464,28.597240473061763,21.813725490196077,1610612745,17,11,2021-11-08T01:53:10Z,750000,141.0,216.0,1,left,D. Theis 25' 3PT  (5 PTS) (K. Porter Jr. 1 AST),"[1628464, 1629645]",1610612745.0,HOU,,,,Theis,D. Theis,,,,,,,25.81,Made,,,,,5.0,K. Porter Jr.,1629645.0,1.0,,,,,,,,,
78,PT06M10.00S,2021-11-08T01:53:26.3Z,1,REGULAR,foul,personal,['2freethrow'],1626174,,,1610612744,17,11,2021-11-08T01:53:35Z,770000,,,0,,C. Wood shooting personal FOUL (1 PF) (Looney 2 FT),"[1626174, 1626172]",1610612745.0,HOU,shooting,,,Wood,C. Wood,,,,,202053.0,,,,,,,,,,,,1.0,0.0,Looney,1626172.0,,,,,
80,PT06M10.00S,2021-11-08T01:53:50.9Z,1,REGULAR,freethrow,1 of 2,[],1626172,,,1610612744,18,11,2021-11-08T01:54:22Z,790000,,,0,,K. Looney Free Throw 1 of 2 (1 PTS),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,
81,PT06M10.00S,2021-11-08T01:53:51.5Z,1,REGULAR,substitution,out,[],203110,,,1610612744,18,11,2021-11-08T01:53:56Z,800000,,,0,,SUB out: D. Green,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT06M10.00S,2021-11-08T01:53:51.5Z,1,REGULAR,substitution,out,[],1626174,,,1610612744,18,11,2021-11-08T01:53:56Z,810000,,,0,,SUB out: C. Wood,[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT06M10.00S,2021-11-08T01:53:51.5Z,1,REGULAR,substitution,in,[],1629308,,,1610612744,18,11,2021-11-08T01:53:56Z,820000,,,0,,SUB in: J. Toscano-Anderson,[1629308],1610612744.0,GSW,,,,Toscano-Anderson,J. Toscano-Anderson,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT06M10.00S,2021-11-08T01:53:51.5Z,1,REGULAR,substitution,in,[],1628021,,,1610612744,18,11,2021-11-08T01:53:56Z,830000,,,0,,SUB in: D. Nwaba,[1628021],1610612745.0,HOU,,,,Nwaba,D. Nwaba,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT06M10.00S,2021-11-08T01:53:50.9Z,1,REGULAR,freethrow,2 of 2,[],1626172,,,1610612744,18,11,2021-11-08T01:54:22Z,840000,,,0,,MISS K. Looney Free Throw 2 of 2,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,Missed,,,,,,,,,,,,,,,,,
86,PT06M07.00S,2021-11-08T01:53:53.9Z,1,REGULAR,rebound,defensive,[],1630256,,,1610612745,18,11,2021-11-08T01:54:22Z,850000,,,0,,J. Tate REBOUND (Off:0 Def:2),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,85.0,2.0,2.0,0.0,,,,,,,,,,,,,
87,PT05M49.00S,2021-11-08T01:54:32.6Z,1,REGULAR,3pt,Jump Shot,[],1630224,29.517082785808146,29.411764705882355,1610612745,18,14,2021-11-08T01:54:37Z,860000,103.0,225.0,1,left,J. Green 24' 3PT pullup (5 PTS),[1630224],1610612745.0,HOU,pullup,,,Green,J. Green,,,,,,,24.74,Made,,,,,5.0,,,,,,,,,,,,
88,PT05M39.00S,2021-11-08T01:54:43.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",201939,94.69448094612353,51.225490196078425,1610612744,20,14,2021-11-08T01:55:18Z,870000,6.0,-3.0,1,right,S. Curry driving reverse Layup (5 PTS) (J. Poole 2 AST),"[201939, 1629673]",1610612744.0,GSW,driving reverse,,,Curry,S. Curry,,,,,,,0.66,Made,,,,,5.0,J. Poole,1629673.0,2.0,,,,,,,,,
90,PT05M25.00S,2021-11-08T01:54:56.0Z,1,REGULAR,2pt,Jump Shot,[],1630224,23.340998685939553,66.66666666666666,1610612745,20,14,2021-11-08T01:55:07Z,890000,-83.0,167.0,1,left,MISS J. Green 18' pullup Shot,[1630224],1610612745.0,HOU,pullup,,,Green,J. Green,,,,,,,18.65,Missed,,,,,,,,,,,,,,,,,
91,PT05M22.00S,2021-11-08T01:54:59.0Z,1,REGULAR,rebound,defensive,[],203952,,,1610612744,20,14,2021-11-08T01:55:07Z,900000,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,90.0,1.0,1.0,0.0,,,,,,,,,,,,,
92,PT05M05.00S,2021-11-08T01:55:16.7Z,1,REGULAR,3pt,Jump Shot,[],1629308,92.06636005256242,5.88235294117647,1610612744,20,14,2021-11-08T01:55:22Z,910000,-221.0,22.0,1,right,MISS J. Toscano-Anderson 3PT,[1629308],1610612744.0,GSW,,,,Toscano-Anderson,J. Toscano-Anderson,,,,,,,22.17,Missed,,,,,,,,,,,,,,,,,
93,PT05M05.00S,2021-11-08T01:55:16.7Z,1,REGULAR,rebound,defensive,[],1628021,,,1610612745,20,14,2021-11-08T01:55:22Z,920000,,,0,,D. Nwaba REBOUND (Off:0 Def:1),[1628021],1610612745.0,HOU,,,,Nwaba,D. Nwaba,,,,,,,,,92.0,1.0,1.0,0.0,,,,,,,,,,,,,
