actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
15,PT11M08.00S,2021-12-29T03:12:45.5Z,1,REGULAR,turnover,lost ball,[],201939,,,1610612744,0,0,2021-12-29T03:12:47Z,150000,,,0,,S. Curry lost ball TURNOVER (1 TO),"[201939, 1630267]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,1.0,Campazzo,1630267.0,,,,,,,,,,,,
16,PT11M08.00S,2021-12-29T03:12:45.5Z,1,REGULAR,steal,,[],1630267,,,1610612743,0,0,2021-12-29T03:12:47Z,160000,,,0,,F. Campazzo STEAL (1 STL),[1630267],1610612743.0,DEN,,,,Campazzo,F. Campazzo,,,,,,,,,,,,,,,,,,,,,,,,,
17,PT11M08.00S,2021-12-29T03:12:48.0Z,1,REGULAR,foul,personal,[],201939,,,1610612743,0,0,2021-12-29T03:12:51Z,170000,,,0,,S. Curry personal FOUL (1 PF),"[201939, 1630267]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,1628951.0,1.0,0.0,Campazzo,1630267.0,,,,,,,
19,PT10M58.00S,2021-12-29T03:13:06.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203115,6.258212877792378,39.705882352941174,1610612743,0,2,2021-12-29T03:13:10Z,190000,51.0,6.0,1,left,W. Barton driving Layup (2 PTS) (F. Campazzo 1 AST),"[203115, 1630267]",1610612743.0,DEN,driving,,,Barton,W. Barton,,,,,5.19,Made,,,,,,,,,,,,,2.0,F. Campazzo,1630267.0,1.0,,,
20,PT10M45.00S,2021-12-29T03:13:21.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612744,0,2,2021-12-29T03:13:21Z,200000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PT10M37.00S,2021-12-29T03:13:41.7Z,1,REGULAR,turnover,bad pass,[],201939,,,1610612744,0,2,2021-12-29T03:13:43Z,210000,,,0,,S. Curry bad pass TURNOVER (2 TO),"[201939, 201145]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,2.0,Green,201145.0,,,,,,,,,,,,
22,PT10M37.00S,2021-12-29T03:13:41.7Z,1,REGULAR,steal,,[],201145,,,1610612743,0,2,2021-12-29T03:13:43Z,220000,,,0,,J. Green STEAL (1 STL),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
23,PT10M30.00S,2021-12-29T03:13:51.3Z,1,REGULAR,turnover,traveling,[],203115,,,1610612743,0,2,2021-12-29T03:13:54Z,230000,,,0,,W. Barton traveling TURNOVER (2 TO),[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,,2.0,,,202007.0,,,,,,,,,,,
24,PT10M21.00S,2021-12-29T03:14:12.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203952,89.96386333771353,2.696078431372549,1610612744,0,2,2021-12-29T03:14:15Z,240000,-237.0,42.0,1,right,MISS A. Wiggins 24' 3PT,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,24.02,Missed,,,,,,,,,,,,,,,,,,,
25,PT10M19.00S,2021-12-29T03:14:14.4Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,0,2,2021-12-29T03:17:00Z,250000,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
26,PT10M13.00S,2021-12-29T03:14:19.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203085,5.469776609724048,96.32352941176471,1610612743,0,5,2021-12-29T03:14:23Z,260000,-232.0,-1.0,1,left,A. Rivers 3PT  (3 PTS) (F. Campazzo 2 AST),"[203085, 1630267]",1610612743.0,DEN,,,,Rivers,A. Rivers,,,,,23.16,Made,,,,,,,,,,,,,3.0,F. Campazzo,1630267.0,2.0,,,
28,PT09M56.00S,2021-12-29T03:14:37.1Z,1,REGULAR,turnover,bad pass,[],201939,,,1610612744,0,5,2021-12-29T03:14:38Z,280000,,,0,,S. Curry bad pass TURNOVER (3 TO),"[201939, 203999]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,3.0,Jokic,203999.0,,,,,,,,,,,,
29,PT09M56.00S,2021-12-29T03:14:37.1Z,1,REGULAR,steal,,[],203999,,,1610612743,0,5,2021-12-29T03:14:39Z,290000,,,0,,N. Jokic STEAL (2 STL),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT09M52.00S,2021-12-29T03:14:41.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",201145,6.915243101182654,43.872549019607845,1610612743,0,5,2021-12-29T03:21:37Z,300000,31.0,13.0,1,left,MISS J. Green running Layup,[201145],1610612743.0,DEN,running,,,Green,J. Green,,,,,3.31,Missed,,,,,,,,,,,,,,,,,,,
32,PT09M51.00S,2021-12-29T03:14:42.7Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,0,5,2021-12-29T03:15:29Z,320000,,,0,,K. Looney REBOUND (Off:0 Def:2),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,30.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
33,PT09M37.00S,2021-12-29T03:14:56.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629308,90.62089356110381,57.35294117647059,1610612744,0,5,2021-12-29T03:14:59Z,330000,37.0,36.0,1,right,MISS J. Toscano-Anderson driving Layup - blocked,"[1629308, 201145]",1610612744.0,GSW,driving,,,Toscano-Anderson,J. Toscano-Anderson,,,,,5.13,Missed,,,,,,,,,,,,,,,,,Green,201145.0,
34,PT09M37.00S,2021-12-29T03:14:56.4Z,1,REGULAR,block,,[],201145,,,1610612744,0,5,2021-12-29T03:15:00Z,340000,,,0,,J. Green BLOCK (1 BLK),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
35,PT09M35.00S,2021-12-29T03:14:58.4Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,0,5,2021-12-29T03:16:53Z,350000,,,0,,N. Jokic REBOUND (Off:0 Def:2),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,33.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
36,PT09M30.00S,2021-12-29T03:15:04.3Z,1,REGULAR,3pt,Jump Shot,[],203115,11.645860709592641,2.941176470588235,1610612743,0,8,2021-12-29T03:15:06Z,360000,235.0,57.0,1,left,W. Barton 24' 3PT  (5 PTS) (A. Rivers 1 AST),"[203115, 203085]",1610612743.0,DEN,,,,Barton,W. Barton,,,,,24.21,Made,,,,,,,,,,,,,5.0,A. Rivers,203085.0,1.0,,,
38,PT09M19.00S,2021-12-29T03:15:14.8Z,1,REGULAR,3pt,Jump Shot,[],201939,66.70499342969777,38.970588235294116,1610612744,0,8,2021-12-29T03:15:18Z,380000,-55.0,260.0,1,right,MISS S. Curry 26' 3PT,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,26.63,Missed,,,,,,,,,,,,,,,,,,,
39,PT09M16.00S,2021-12-29T03:15:19.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612743,0,8,2021-12-29T03:15:19Z,390000,,,0,,TEAM defensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,
40,PT09M16.00S,2021-12-29T03:15:20.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612743,0,8,2021-12-29T03:15:20Z,400000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT09M04.00S,2021-12-29T03:15:36.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,18.084756898817346,46.81372549019608,1610612743,0,10,2021-12-29T03:15:40Z,410000,16.0,117.0,1,left,N. Jokic 11' Jump Shot (2 PTS) (W. Barton 1 AST),"[203999, 203115]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,11.86,Made,,,,,,,,,,,,,2.0,W. Barton,203115.0,1.0,,,
43,PT08M49.00S,2021-12-29T03:15:51.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203952,90.22667542706965,56.86274509803921,1610612744,2,10,2021-12-29T03:15:53Z,430000,34.0,39.0,1,right,A. Wiggins driving Layup (2 PTS),[203952],1610612744.0,GSW,driving,,,Wiggins,A. Wiggins,,,,,5.22,Made,,,,,,,,,,,,,2.0,,,,,,
44,PT08M30.00S,2021-12-29T03:16:10.5Z,1,REGULAR,3pt,Jump Shot,[],201145,11.383048620236531,3.9215686274509802,1610612743,2,10,2021-12-29T03:16:13Z,440000,230.0,55.0,1,left,MISS J. Green 3PT,[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,23.68,Missed,,,,,,,,,,,,,,,,,,,
45,PT08M28.00S,2021-12-29T03:16:12.5Z,1,REGULAR,rebound,defensive,[],1629308,,,1610612744,2,10,2021-12-29T03:16:34Z,450000,,,0,,J. Toscano-Anderson REBOUND (Off:0 Def:1),[1629308],1610612744.0,GSW,,,,Toscano-Anderson,J. Toscano-Anderson,,,,,,,44.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
46,PT08M17.00S,2021-12-29T03:16:23.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629308,92.59198423127464,53.431372549019606,1610612744,4,10,2021-12-29T03:16:26Z,460000,17.0,17.0,1,right,J. Toscano-Anderson cutting Layup (2 PTS) (K. Looney 1 AST),"[1629308, 1626172]",1610612744.0,GSW,cutting,,,Toscano-Anderson,J. Toscano-Anderson,,,,,2.43,Made,,,,,,,,,,,,,2.0,K. Looney,1626172.0,1.0,,,
48,PT07M59.00S,2021-12-29T03:16:40.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630267,5.995400788436268,58.57843137254902,1610612743,4,12,2021-12-29T03:16:44Z,480000,-43.0,4.0,1,left,F. Campazzo cutting Layup (2 PTS) (N. Jokic 1 AST),"[1630267, 203999]",1610612743.0,DEN,cutting,,,Campazzo,F. Campazzo,,,,,4.31,Made,,,,,,,,,,,,,2.0,N. Jokic,203999.0,1.0,,,
50,PT07M59.00S,2021-12-29T03:16:46.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,4,12,2021-12-29T03:16:46Z,500000,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M46.00S,2021-12-29T03:19:56.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626172,91.80354796320631,52.20588235294118,1610612744,6,12,2021-12-29T03:20:08Z,510000,11.0,25.0,1,right,K. Looney cutting DUNK (2 PTS) (S. Curry 1 AST),"[1626172, 201939]",1610612744.0,GSW,cutting,,,Looney,K. Looney,,,,,2.69,Made,,,,,,,,,,,,,2.0,S. Curry,201939.0,1.0,,,
53,PT07M27.00S,2021-12-29T03:20:15.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,7.835085413929041,51.9607843137255,1610612743,6,14,2021-12-29T03:20:18Z,530000,-10.0,21.0,1,left,N. Jokic driving Layup (4 PTS),[203999],1610612743.0,DEN,driving,,,Jokic,N. Jokic,,,,,2.33,Made,,,,,,,,,,,,,4.0,,,,,,
54,PT07M17.00S,2021-12-29T03:20:25.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203952,90.22667542706965,53.18627450980392,1610612744,6,14,2021-12-29T03:20:27Z,540000,16.0,39.0,1,right,MISS A. Wiggins Layup - blocked,"[203952, 203115]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,4.25,Missed,,,,,,,,,,,,,,,,,Barton,203115.0,
55,PT07M17.00S,2021-12-29T03:20:25.5Z,1,REGULAR,block,,[],203115,,,1610612744,6,14,2021-12-29T03:20:28Z,550000,,,0,,W. Barton BLOCK (1 BLK),[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M15.00S,2021-12-29T03:20:27.5Z,1,REGULAR,rebound,offensive,[],203952,,,1610612744,6,14,2021-12-29T03:20:44Z,560000,,,0,,A. Wiggins REBOUND (Off:1 Def:0),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,54.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
57,PT07M05.00S,2021-12-29T03:20:37.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203952,94.30026281208936,3.1862745098039214,1610612744,9,14,2021-12-29T03:20:40Z,570000,-234.0,1.0,1,right,A. Wiggins 3PT  (5 PTS) (K. Looney 2 AST),"[203952, 1626172]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,23.41,Made,,,,,,,,,,,,,5.0,K. Looney,1626172.0,2.0,,,
59,PT06M39.00S,2021-12-29T03:21:03.4Z,1,REGULAR,2pt,Jump Shot,[],203999,10.33180026281209,76.47058823529412,1610612743,9,16,2021-12-29T03:21:07Z,590000,-132.0,45.0,1,left,N. Jokic 13' step back Jump Shot (6 PTS),[203999],1610612743.0,DEN,step back,,,Jokic,N. Jokic,,,,,13.97,Made,,,,,,,,,,,,,6.0,,,,,,
60,PT06M24.00S,2021-12-29T03:21:19.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203952,88.91261498028909,52.450980392156865,1610612744,11,16,2021-12-29T03:21:22Z,600000,12.0,52.0,1,right,A. Wiggins driving Layup (7 PTS) (K. Looney 3 AST),"[203952, 1626172]",1610612744.0,GSW,driving,,,Wiggins,A. Wiggins,,,,,5.31,Made,,,,,,,,,,,,,7.0,K. Looney,1626172.0,3.0,,,
61,PT06M24.00S,2021-12-29T03:21:24.3Z,1,REGULAR,foul,personal,['1freethrow'],203999,,,1610612744,11,16,2021-12-29T03:21:32Z,610000,,,0,,N. Jokic shooting personal FOUL (1 PF) (Wiggins 1 FT),"[203999, 203952]",1610612743.0,DEN,shooting,,,Jokic,N. Jokic,,,,,,,,,,,,,,202041.0,1.0,0.0,Wiggins,203952.0,,,,,,,
63,PT06M24.00S,2021-12-29T03:21:33.6Z,1,REGULAR,substitution,out,[],1630267,,,1610612744,11,16,2021-12-29T03:21:48Z,630000,,,0,,SUB out: F. Campazzo,[1630267],1610612743.0,DEN,,,,Campazzo,F. Campazzo,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M24.00S,2021-12-29T03:21:33.6Z,1,REGULAR,substitution,in,[],1628432,,,1610612744,11,16,2021-12-29T03:21:48Z,640000,,,0,,SUB in: D. Reed,[1628432],1610612743.0,DEN,,,,Reed,D. Reed,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M24.00S,2021-12-29T03:21:48.1Z,1,REGULAR,freethrow,1 of 1,[],203952,,,1610612744,11,16,2021-12-29T03:21:48Z,650000,,,0,,MISS A. Wiggins Free Throw 1 of 1,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,Missed,,,,,,,,,,,,,,,,,,,
67,PT06M22.00S,2021-12-29T03:21:48.8Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,11,16,2021-12-29T03:21:48Z,660000,,,0,,N. Jokic REBOUND (Off:0 Def:3),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,66.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
68,PT06M03.00S,2021-12-29T03:22:11.0Z,1,REGULAR,turnover,traveling,[],203999,,,1610612743,11,16,2021-12-29T03:22:14Z,670000,,,0,,N. Jokic traveling TURNOVER (1 TO),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,1.0,,,202007.0,,,,,,,,,,,
69,PT06M03.00S,2021-12-29T03:22:18.0Z,1,REGULAR,substitution,out,[],203952,,,1610612744,11,16,2021-12-29T03:22:20Z,680000,,,0,,SUB out: A. Wiggins,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M03.00S,2021-12-29T03:22:18.0Z,1,REGULAR,substitution,in,[],203490,,,1610612744,11,16,2021-12-29T03:22:20Z,690000,,,0,,SUB in: O. Porter Jr.,[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M48.00S,2021-12-29T03:22:47.5Z,1,REGULAR,turnover,out-of-bounds,[],1627780,,,1610612744,11,16,2021-12-29T03:22:49Z,700000,,,0,,G. Payton II bad pass out-of-bounds TURNOVER (2 TO),[1627780],1610612744.0,GSW,bad pass,,,Payton II,G. Payton II,,,,,,,,,,,2.0,,,1628951.0,,,,,,,,,,,
72,PT05M38.00S,2021-12-29T03:23:01.8Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203115,10.068988173455978,16.42156862745098,1610612743,11,16,2021-12-29T03:23:05Z,710000,168.0,42.0,1,left,MISS W. Barton 17' pullup Shot,[203115],1610612743.0,DEN,pullup,,,Barton,W. Barton,,,,,17.31,Missed,,,,,,,,,,,,,,,,,,,
73,PT05M35.00S,2021-12-29T03:23:05.7Z,1,REGULAR,rebound,defensive,[],1629308,,,1610612744,11,16,2021-12-29T03:23:05Z,720000,,,0,,J. Toscano-Anderson REBOUND (Off:0 Def:2),[1629308],1610612744.0,GSW,,,,Toscano-Anderson,J. Toscano-Anderson,,,,,,,72.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
74,PT05M15.00S,2021-12-29T03:23:25.6Z,1,REGULAR,2pt,Jump Shot,[],203490,81.15965834428384,22.54901960784314,1610612744,11,16,2021-12-29T03:26:51Z,730000,-137.0,125.0,1,right,MISS O. Porter Jr. 18' pullup Shot,[203490],1610612744.0,GSW,pullup,,,Porter Jr.,O. Porter Jr.,,,,,18.54,Missed,,,,,,,,,,,,,,,,,,,
75,PT05M13.00S,2021-12-29T03:23:27.6Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,11,16,2021-12-29T03:23:43Z,740000,,,0,,N. Jokic REBOUND (Off:0 Def:4),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,74.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
76,PT05M04.00S,2021-12-29T03:23:36.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203115,7.440867279894875,52.20588235294118,1610612743,11,18,2021-12-29T03:23:39Z,750000,-11.0,17.0,1,left,W. Barton cutting DUNK (7 PTS) (N. Jokic 2 AST),"[203115, 203999]",1610612743.0,DEN,cutting,,,Barton,W. Barton,,,,,2.06,Made,,,,,,,,,,,,,7.0,N. Jokic,203999.0,2.0,,,
78,PT04M50.00S,2021-12-29T03:23:50.6Z,1,REGULAR,3pt,Jump Shot,[],1627780,80.50262812089356,7.8431372549019605,1610612744,14,18,2021-12-29T03:23:52Z,770000,-211.0,131.0,1,right,G. Payton II 24' 3PT  (3 PTS) (S. Curry 2 AST),"[1627780, 201939]",1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,24.81,Made,,,,,,,,,,,,,3.0,S. Curry,201939.0,2.0,,,
80,PT04M36.00S,2021-12-29T03:24:04.0Z,1,REGULAR,turnover,lost ball,[],203085,,,1610612743,14,18,2021-12-29T03:24:05Z,790000,,,0,,A. Rivers lost ball TURNOVER (1 TO),"[203085, 203490]",1610612743.0,DEN,,,,Rivers,A. Rivers,,,,,,,,,,,1.0,Porter Jr.,203490.0,,,,,,,,,,,,
81,PT04M36.00S,2021-12-29T03:24:04.0Z,1,REGULAR,steal,,[],203490,,,1610612744,14,18,2021-12-29T03:24:06Z,800000,,,0,,O. Porter Jr. STEAL (1 STL),[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M33.00S,2021-12-29T03:24:08.6Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629308,92.72339027595268,52.20588235294118,1610612744,16,18,2021-12-29T03:28:42Z,810000,11.0,16.0,1,right,J. Toscano-Anderson running DUNK (4 PTS) (O. Porter Jr. 1 AST),"[1629308, 203490]",1610612744.0,GSW,running,,,Toscano-Anderson,J. Toscano-Anderson,,,,,1.93,Made,,,,,,,,,,,,,4.0,O. Porter Jr.,203490.0,1.0,,,
84,PT04M32.00S,2021-12-29T03:24:16.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,16,18,2021-12-29T03:24:16Z,830000,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M32.00S,2021-12-29T03:26:41.3Z,1,REGULAR,substitution,out,[],1627780,,,1610612743,16,18,2021-12-29T03:26:59Z,840000,,,0,,SUB out: G. Payton II,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M32.00S,2021-12-29T03:26:41.3Z,1,REGULAR,substitution,out,[],1626172,,,1610612743,16,18,2021-12-29T03:26:59Z,850000,,,0,,SUB out: K. Looney,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M32.00S,2021-12-29T03:26:41.3Z,1,REGULAR,substitution,out,[],203085,,,1610612743,16,18,2021-12-29T03:26:59Z,860000,,,0,,SUB out: A. Rivers,[203085],1610612743.0,DEN,,,,Rivers,A. Rivers,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M32.00S,2021-12-29T03:26:41.3Z,1,REGULAR,substitution,out,[],201145,,,1610612743,16,18,2021-12-29T03:26:59Z,870000,,,0,,SUB out: J. Green,[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M32.00S,2021-12-29T03:26:41.3Z,1,REGULAR,substitution,in,[],2738,,,1610612743,16,18,2021-12-29T03:26:59Z,880000,,,0,,SUB in: A. Iguodala,[2738],1610612744.0,GSW,,,,Iguodala,A. Iguodala,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M32.00S,2021-12-29T03:26:41.3Z,1,REGULAR,substitution,in,[],202357,,,1610612743,16,18,2021-12-29T03:26:59Z,890000,,,0,,SUB in: N. Bjelica,[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M32.00S,2021-12-29T03:26:41.3Z,1,REGULAR,substitution,in,[],1630538,,,1610612743,16,18,2021-12-29T03:26:59Z,900000,,,0,,SUB in: B. Hyland,[1630538],1610612743.0,DEN,,,,Hyland,B. Hyland,,,,,,,,,,,,,,,,,,,,,,,,,
