actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,value
19,PT10M31.00S,2021-12-09T03:16:09.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628372,5.995400788436268,40.44117647058824,1610612757,2,0,2021-12-09T03:16:11Z,190000,48.0,4.0,1,left,MISS D. Smith Jr. Layup - blocked,"[1628372, 203110]",1610612757.0,POR,,,,Smith Jr.,D. Smith Jr.,,,,,4.8,Missed,,,,,,,,,,,,Green,203110.0,,,,,,
20,PT10M31.00S,2021-12-09T03:16:09.4Z,1,REGULAR,block,,[],203110,,,1610612757,2,0,2021-12-09T03:16:12Z,200000,,,0,,D. Green BLOCK (1 BLK),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,
21,PT10M28.00S,2021-12-09T03:16:12.9Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,2,0,2021-12-09T03:16:12Z,210000,,,0,,K. Looney REBOUND (Off:0 Def:2),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,19.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
22,PT10M25.00S,2021-12-09T03:16:15.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201939,94.03745072273325,4.166666666666666,1610612744,2,0,2021-12-09T03:16:19Z,220000,-229.0,4.0,1,right,MISS S. Curry 3PT,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,22.92,Missed,,,,,,,,,,,,,,,,,,,
23,PT10M22.00S,2021-12-09T03:16:19.8Z,1,REGULAR,rebound,offensive,[],1626172,,,1610612744,2,0,2021-12-09T03:16:19Z,230000,,,0,,K. Looney REBOUND (Off:1 Def:2),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,22.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
24,PT10M19.00S,2021-12-09T03:16:22.2Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203110,78.66294349540078,39.21568627450981,1610612744,2,0,2021-12-09T03:16:24Z,240000,-54.0,148.0,1,right,MISS D. Green 15' pullup Shot - blocked,"[203110, 1628372]",1610612744.0,GSW,pullup,,,Green,D. Green,,,,,15.76,Missed,,,,,,,,,,,,Smith Jr.,1628372.0,,,,,,
25,PT10M19.00S,2021-12-09T03:16:22.2Z,1,REGULAR,block,,[],1628372,,,1610612744,2,0,2021-12-09T03:16:25Z,250000,,,0,,D. Smith Jr. BLOCK (1 BLK),[1628372],1610612757.0,POR,,,,Smith Jr.,D. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
26,PT10M17.00S,2021-12-09T03:16:24.2Z,1,REGULAR,rebound,offensive,[],203110,,,1610612744,2,0,2021-12-09T03:16:52Z,260000,,,0,,D. Green REBOUND (Off:1 Def:0),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,24.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
27,PT10M12.00S,2021-12-09T03:16:28.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1626172,91.93495400788436,50.245098039215684,1610612744,4,0,2021-12-09T03:16:30Z,270000,1.0,23.0,1,right,K. Looney DUNK (2 PTS) (A. Wiggins 1 AST),"[1626172, 203952]",1610612744.0,GSW,,,,Looney,K. Looney,,,,,2.33,Made,,,,,,,,,,,2.0,,,A. Wiggins,203952.0,1.0,,,
29,PT09M57.00S,2021-12-09T03:16:43.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203994,12.040078843626807,43.13725490196079,1610612757,4,2,2021-12-09T03:16:46Z,290000,34.0,61.0,1,left,J. Nurkic 6' turnaround Hook (2 PTS),[203994],1610612757.0,POR,turnaround,,,Nurkic,J. Nurkic,,,,,6.97,Made,,,,,,,,,,,2.0,,,,,,,,
31,PT09M43.00S,2021-12-09T03:16:57.8Z,1,REGULAR,3pt,Jump Shot,[],201939,73.66951379763469,85.5392156862745,1610612744,4,2,2021-12-09T03:17:02Z,310000,178.0,195.0,1,right,MISS S. Curry 26' 3PT,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,26.38,Missed,,,,,,,,,,,,,,,,,,,
32,PT09M41.00S,2021-12-09T03:17:03.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612757,4,2,2021-12-09T03:17:03Z,320000,,,0,,TEAM defensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,
33,PT09M41.00S,2021-12-09T03:17:04.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612757,4,2,2021-12-09T03:17:04Z,330000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT09M31.00S,2021-12-09T03:17:27.8Z,1,REGULAR,3pt,Jump Shot,[],1626181,32.14520367936925,68.13725490196079,1610612757,4,2,2021-12-09T03:17:30Z,340000,-91.0,250.0,1,left,MISS N. Powell 26' pullup 3PT,[1626181],1610612757.0,POR,pullup,,,Powell,N. Powell,,,,,26.57,Missed,,,,,,,,,,,,,,,,,,,
35,PT09M28.00S,2021-12-09T03:17:31.4Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,4,2,2021-12-09T03:17:31Z,350000,,,0,,D. Green REBOUND (Off:1 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,34.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
36,PT09M20.00S,2021-12-09T03:17:39.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626172,90.75229960578186,52.450980392156865,1610612744,6,2,2021-12-09T03:17:42Z,360000,12.0,34.0,1,right,K. Looney cutting DUNK (4 PTS) (J. Poole 1 AST),"[1626172, 1629673]",1610612744.0,GSW,cutting,,,Looney,K. Looney,,,,,3.65,Made,,,,,,,,,,,4.0,,,J. Poole,1629673.0,1.0,,,
38,PT09M07.00S,2021-12-09T03:17:52.9Z,1,REGULAR,foul,personal,['2freethrow'],203110,,,1610612757,6,2,2021-12-09T03:18:00Z,380000,,,0,,D. Green shooting personal FOUL (1 PF) (Little 2 FT),"[203110, 1629642]",1610612744.0,GSW,shooting,,,Green,D. Green,,,,,,,,,,,203593.0,1.0,0.0,Little,1629642.0,,,,,,,,,,
40,PT09M07.00S,2021-12-09T03:18:20.0Z,1,REGULAR,freethrow,1 of 2,[],1629642,,,1610612757,6,2,2021-12-09T03:18:20Z,400000,,,0,,MISS N. Little Free Throw 1 of 2,[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,Missed,,,,,,,,,,,,,,,,,,,
41,PT09M07.00S,2021-12-09T03:18:20.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612757,6,2,2021-12-09T03:18:20Z,410000,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,
42,PT09M07.00S,2021-12-09T03:18:31.9Z,1,REGULAR,freethrow,2 of 2,[],1629642,,,1610612757,6,3,2021-12-09T03:18:31Z,420000,,,0,,N. Little Free Throw 2 of 2 (1 PTS),[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,Made,,,,,,,,,,,1.0,,,,,,,,
43,PT08M59.00S,2021-12-09T03:18:43.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612744,6,3,2021-12-09T03:18:43Z,430000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT08M55.00S,2021-12-09T03:18:58.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626172,85.49605781865965,47.30392156862745,1610612744,6,3,2021-12-09T03:19:01Z,440000,-13.0,84.0,1,right,MISS K. Looney 8' Hook,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,8.49,Missed,,,,,,,,,,,,,,,,,,,
45,PT08M54.00S,2021-12-09T03:19:03.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612744,6,3,2021-12-09T03:19:03Z,450000,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,44.0,,,,,,,,,,,,,,,,,,
46,PT08M54.00S,2021-12-09T03:19:04.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612744,6,3,2021-12-09T03:19:04Z,460000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT08M52.00S,2021-12-09T03:19:13.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",203952,85.9395532194481,60.31709558823529,1610612744,8,3,2021-12-09T03:19:58Z,470000,52.0,80.0,1,right,A. Wiggins 9' floating Jump Shot (4 PTS) (D. Green 1 AST),"[203952, 203110]",1610612744.0,GSW,floating,,,Wiggins,A. Wiggins,,,,,9.49,Made,,,,,,,,,,,4.0,,,D. Green,203110.0,1.0,,,
49,PT08M41.00S,2021-12-09T03:19:25.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628372,5.732588699080158,54.41176470588235,1610612757,8,5,2021-12-09T03:19:28Z,490000,-22.0,1.0,1,left,D. Smith Jr. cutting Layup (2 PTS) (J. Nurkic 1 AST),"[1628372, 203994]",1610612757.0,POR,cutting,,,Smith Jr.,D. Smith Jr.,,,,,2.21,Made,,,,,,,,,,,2.0,,,J. Nurkic,203994.0,1.0,,,
51,PT08M20.00S,2021-12-09T03:19:48.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612744,8,5,2021-12-09T03:19:48Z,510000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT08M15.00S,2021-12-09T03:20:04.9Z,1,REGULAR,2pt,Jump Shot,[],1626172,82.60512483574244,74.75490196078431,1610612744,8,5,2021-12-09T03:20:08Z,520000,124.0,111.0,1,right,MISS K. Looney 16' Jump Shot,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,16.63,Missed,,,,,,,,,,,,,,,,,,,
53,PT08M13.00S,2021-12-09T03:20:10.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612744,8,5,2021-12-09T03:20:10Z,530000,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,52.0,,,,,,,,,,,,,,,,,,
54,PT08M13.00S,2021-12-09T03:20:10.8Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612744,8,5,2021-12-09T03:20:12Z,540000,,,0,,GSW shot clock Team TURNOVER,[],1610612744.0,GSW,,,,,,,,,,,,,,,,1162.0,,,,,,,,,,,,,,
56,PT08M03.00S,2021-12-09T03:20:30.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629642,13.091327201051248,40.19607843137255,1610612757,8,7,2021-12-09T03:20:36Z,560000,49.0,71.0,1,left,N. Little 8' pullup Jump Shot (3 PTS) (N. Powell 1 AST),"[1629642, 1626181]",1610612757.0,POR,pullup,,,Little,N. Little,,,,,8.59,Made,,,,,,,,,,,3.0,,,N. Powell,1626181.0,1.0,,,
57,PT07M45.00S,2021-12-09T03:20:48.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203110,83.919185282523,51.470588235294116,1610612744,8,7,2021-12-09T03:21:43Z,570000,7.0,99.0,1,right,MISS D. Green 9' driving floating Shot,[203110],1610612744.0,GSW,driving floating,,,Green,D. Green,,,,,9.9,Missed,,,,,,,,,,,,,,,,,,,
59,PT07M42.00S,2021-12-09T03:20:51.2Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,8,7,2021-12-09T03:21:25Z,580000,,,0,,J. Nurkic REBOUND (Off:0 Def:2),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,57.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
60,PT07M42.00S,2021-12-09T03:21:03.8Z,1,REGULAR,foul,technical,['1freethrow'],203110,,,1610612757,8,7,2021-12-09T03:21:10Z,590000,,,0,,D. Green technical FOUL (1 Tech),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,1162.0,1.0,1.0,,,,,,,,,,,,
61,PT07M42.00S,2021-12-09T03:21:18.0Z,1,REGULAR,freethrow,1 of 1,[],1626181,,,1610612757,8,7,2021-12-09T03:21:18Z,600000,,,0,,MISS N. Powell technical Free Throw 1 of 1,[1626181],1610612757.0,POR,technical,,,Powell,N. Powell,,,,,,Missed,,,,,,,,,,,,,,,,,,,
62,PT07M42.00S,2021-12-09T03:21:18.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612757,8,7,2021-12-09T03:21:18Z,610000,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,61.0,,,,,,,,,,,,,,,,,,
63,PT07M32.00S,2021-12-09T03:21:40.3Z,1,REGULAR,turnover,bad pass,[],203994,,,1610612757,8,7,2021-12-09T03:21:42Z,620000,,,0,,J. Nurkic bad pass TURNOVER (2 TO),"[203994, 1629673]",1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,2.0,,,,,,,Poole,1629673.0,
64,PT07M32.00S,2021-12-09T03:21:40.3Z,1,REGULAR,steal,,[],1629673,,,1610612744,8,7,2021-12-09T03:26:22Z,630000,,,0,,J. Poole STEAL (1 STL),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT07M32.00S,2021-12-09T03:21:44.3Z,1,REGULAR,foul,personal,[],203496,,,1610612744,8,7,2021-12-09T03:21:48Z,640000,,,0,,R. Covington take personal FOUL (1 PF),"[203496, 201939]",1610612757.0,POR,take,,,Covington,R. Covington,,,,,,,,,,,203593.0,1.0,0.0,Curry,201939.0,,,,,,,,,,
67,PT07M22.00S,2021-12-09T03:22:08.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203952,93.38042049934296,4.901960784313726,1610612744,8,7,2021-12-09T03:22:11Z,660000,-225.0,10.0,1,right,MISS A. Wiggins 3PT,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,22.57,Missed,,,,,,,,,,,,,,,,,,,
68,PT07M19.00S,2021-12-09T03:22:11.5Z,1,REGULAR,rebound,defensive,[],203496,,,1610612757,8,7,2021-12-09T03:22:11Z,670000,,,0,,R. Covington REBOUND (Off:0 Def:1),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,67.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
69,PT07M12.00S,2021-12-09T03:22:19.1Z,1,REGULAR,turnover,bad pass,[],203994,,,1610612757,8,7,2021-12-09T03:22:20Z,680000,,,0,,J. Nurkic bad pass TURNOVER (3 TO),"[203994, 1629673]",1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,3.0,,,,,,,Poole,1629673.0,
70,PT07M12.00S,2021-12-09T03:22:19.1Z,1,REGULAR,steal,,[],1629673,,,1610612744,8,7,2021-12-09T03:22:21Z,690000,,,0,,J. Poole STEAL (2 STL),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT07M07.00S,2021-12-09T03:22:24.0Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629673,70.90998685939553,85.04901960784314,1610612744,11,7,2021-12-09T03:26:52Z,700000,175.0,221.0,1,right,J. Poole 28' 3PT pullup (3 PTS),[1629673],1610612744.0,GSW,pullup,,,Poole,J. Poole,,,,,28.19,Made,,,,,,,,,,,3.0,,,,,,,,
72,PT06M51.00S,2021-12-09T03:22:39.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626181,5.601182654402102,54.65686274509803,1610612757,11,9,2021-12-09T03:22:42Z,710000,-23.0,0.0,1,left,N. Powell driving Layup (2 PTS) (J. Nurkic 2 AST),"[1626181, 203994]",1610612757.0,POR,driving,,,Powell,N. Powell,,,,,2.33,Made,,,,,,,,,,,2.0,,,J. Nurkic,203994.0,2.0,,,
74,PT06M41.00S,2021-12-09T03:22:49.0Z,1,REGULAR,3pt,Jump Shot,[],201939,76.16622864651774,87.74509803921569,1610612744,11,9,2021-12-09T03:22:51Z,730000,189.0,172.0,1,right,MISS S. Curry 25' 3PT,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,25.5,Missed,,,,,,,,,,,,,,,,,,,
75,PT06M39.00S,2021-12-09T03:22:52.4Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,11,9,2021-12-09T03:22:52Z,740000,,,0,,J. Nurkic REBOUND (Off:0 Def:3),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,74.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
76,PT06M30.00S,2021-12-09T03:23:01.0Z,1,REGULAR,turnover,bad pass,[],1628372,,,1610612757,11,9,2021-12-09T03:23:02Z,750000,,,0,,D. Smith Jr. bad pass TURNOVER (1 TO),"[1628372, 1629673]",1610612757.0,POR,,,,Smith Jr.,D. Smith Jr.,,,,,,,,,,,,,,,,1.0,,,,,,,Poole,1629673.0,
77,PT06M30.00S,2021-12-09T03:23:01.0Z,1,REGULAR,steal,,[],1629673,,,1610612744,11,9,2021-12-09T03:23:03Z,760000,,,0,,J. Poole STEAL (3 STL),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M25.00S,2021-12-09T03:23:06.9Z,1,REGULAR,foul,personal,['2freethrow'],203496,,,1610612744,11,9,2021-12-09T03:23:21Z,770000,,,0,,R. Covington shooting personal FOUL (2 PF) (Wiggins 2 FT),"[203496, 203952]",1610612757.0,POR,shooting,,,Covington,R. Covington,,,,,,,,,,,200832.0,2.0,0.0,Wiggins,203952.0,,,,,,,,,,
80,PT06M25.00S,2021-12-09T03:23:18.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,11,9,2021-12-09T03:23:25Z,790000,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M25.00S,2021-12-09T03:27:01.3Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",203952,,,1610612744,12,9,2021-12-09T03:27:01Z,800000,,,0,,A. Wiggins Free Throw 1 of 2 (5 PTS),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,Made,,,,,,,,,,,5.0,,,,,,,,
82,PT06M25.00S,2021-12-09T03:27:21.7Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",203952,,,1610612744,13,9,2021-12-09T03:27:21Z,810000,,,0,,A. Wiggins Free Throw 2 of 2 (6 PTS),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,Made,,,,,,,,,,,6.0,,,,,,,,
83,PT06M13.00S,2021-12-09T03:27:36.0Z,1,REGULAR,foul,personal,['2freethrow'],1626172,,,1610612757,13,9,2021-12-09T03:27:45Z,820000,,,0,,K. Looney shooting personal FOUL (2 PF) (Powell 2 FT),"[1626172, 1626181]",1610612744.0,GSW,shooting,,,Looney,K. Looney,,,,,,,,,,,200832.0,2.0,0.0,Powell,1626181.0,,,,,,,,,,
85,PT06M13.00S,2021-12-09T03:27:58.3Z,1,REGULAR,freethrow,1 of 2,[],1626181,,,1610612757,13,10,2021-12-09T03:27:58Z,840000,,,0,,N. Powell Free Throw 1 of 2 (3 PTS),[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,,Made,,,,,,,,,,,3.0,,,,,,,,
86,PT06M13.00S,2021-12-09T03:28:11.1Z,1,REGULAR,freethrow,2 of 2,[],1626181,,,1610612757,13,11,2021-12-09T03:28:11Z,850000,,,0,,N. Powell Free Throw 2 of 2 (4 PTS),[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,,Made,,,,,,,,,,,4.0,,,,,,,,
87,PT06M00.00S,2021-12-09T03:28:25.7Z,1,REGULAR,3pt,Jump Shot,[],1629673,66.83639947437582,70.58823529411765,1610612744,13,11,2021-12-09T03:28:29Z,860000,103.0,259.0,1,right,MISS J. Poole 27' 3PT,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,27.89,Missed,,,,,,,,,,,,,,,,,,,
88,PT05M58.00S,2021-12-09T03:28:27.7Z,1,REGULAR,rebound,offensive,[],201939,,,1610612744,13,11,2021-12-09T03:29:01Z,870000,,,0,,S. Curry REBOUND (Off:1 Def:0),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,87.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
89,PT05M55.00S,2021-12-09T03:28:31.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201939,80.6340341655716,94.6078431372549,1610612744,16,11,2021-12-09T03:28:33Z,880000,223.0,130.0,1,right,S. Curry 25' 3PT  (3 PTS),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,25.79,Made,,,,,,,,,,,3.0,,,,,,,,
90,PT05M43.00S,2021-12-09T03:28:42.9Z,1,REGULAR,turnover,bad pass,[],1626181,,,1610612757,16,11,2021-12-09T03:28:46Z,890000,,,0,,N. Powell bad pass TURNOVER (1 TO),"[1626181, 203110]",1610612757.0,POR,,,,Powell,N. Powell,,,,,,,,,,,,,,,,1.0,,,,,,,Green,203110.0,
91,PT05M43.00S,2021-12-09T03:28:42.9Z,1,REGULAR,steal,,[],203110,,,1610612744,16,11,2021-12-09T03:28:46Z,900000,,,0,,D. Green STEAL (1 STL),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT05M33.00S,2021-12-09T03:28:54.8Z,1,REGULAR,turnover,out-of-bounds,[],203110,,,1610612744,16,11,2021-12-09T03:28:56Z,910000,,,0,,D. Green bad pass out-of-bounds TURNOVER (1 TO),[203110],1610612744.0,GSW,bad pass,,,Green,D. Green,,,,,,,,,,,200832.0,,,,,1.0,,,,,,,,,
