actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
18,PT11M07.00S,2022-03-15T02:11:18.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203484,27.808804204993432,80.3921568627451,1610612764,2,0,2022-03-15T02:11:20Z,180000,-152.0,209.0,1,left,MISS K. Caldwell-Pope 25' pullup 3PT,[203484],1610612764.0,WAS,pullup,,,Caldwell-Pope,K. Caldwell-Pope,,,,,25.83,Missed,,,,,,,,,,,,,,,,,,,
19,PT11M05.00S,2022-03-15T02:11:20.1Z,1,REGULAR,rebound,defensive,[],1630228,,,1610612744,2,0,2022-03-15T02:13:16Z,190000,,,0,,J. Kuminga REBOUND (Off:0 Def:1),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,
20,PT10M51.00S,2022-03-15T02:11:33.5Z,1,REGULAR,2pt,Jump Shot,[],1629673,74.45795006570303,50.73529411764706,1610612744,2,0,2022-03-15T02:11:38Z,200000,4.0,188.0,1,right,MISS J. Poole 18' pullup Shot,[1629673],1610612744.0,GSW,pullup,,,Poole,J. Poole,,,,,18.76,Missed,,,,,,,,,,,,,,,,,,,
21,PT10M49.00S,2022-03-15T02:11:35.5Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,2,0,2022-03-15T02:12:52Z,210000,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,
22,PT10M40.00S,2022-03-15T02:11:45.1Z,1,REGULAR,3pt,Jump Shot,[],204001,33.722076215505915,53.67647058823529,1610612764,2,0,2022-03-15T02:11:48Z,220000,-18.0,264.0,1,left,MISS K. Porzingis 26' 3PT,[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,26.51,Missed,,,,,,,,,,,,,,,,,,,
23,PT10M38.00S,2022-03-15T02:11:47.1Z,1,REGULAR,rebound,defensive,[],202691,,,1610612744,2,0,2022-03-15T02:12:47Z,230000,,,0,,K. Thompson REBOUND (Off:0 Def:2),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,22.0,2.0,2.0,0.0,,,,,,,,,,,,,
24,PT10M27.00S,2022-03-15T02:11:57.6Z,1,REGULAR,3pt,Jump Shot,[],202691,67.62483574244416,24.509803921568626,1610612744,5,0,2022-03-15T02:12:02Z,240000,-127.0,252.0,1,right,K. Thompson 28' 3PT pullup (3 PTS) (J. Kuminga 1 AST),"[202691, 1630228]",1610612744.0,GSW,pullup,,,Thompson,K. Thompson,,,,,28.22,Made,,,,,,,,,,3.0,J. Kuminga,1630228.0,1.0,,,,,,
26,PT10M13.00S,2022-03-15T02:12:11.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203484,9.149145860709593,43.13725490196079,1610612764,5,2,2022-03-15T02:12:14Z,260000,34.0,34.0,1,left,K. Caldwell-Pope driving reverse Layup (2 PTS) (R. Neto 1 AST),"[203484, 203526]",1610612764.0,WAS,driving reverse,,,Caldwell-Pope,K. Caldwell-Pope,,,,,4.79,Made,,,,,,,,,,2.0,R. Neto,203526.0,1.0,,,,,,
28,PT10M01.00S,2022-03-15T02:12:25.5Z,1,REGULAR,foul,personal,['2freethrow'],203526,,,1610612744,5,2,2022-03-15T02:12:40Z,280000,,,0,,R. Neto shooting personal FOUL (1 PF) (Thompson 2 FT),"[203526, 202691]",1610612764.0,WAS,shooting,,,Neto,R. Neto,,,,,,,,,,,,,,,,,,,,1199.0,1.0,0.0,Thompson,202691.0,
30,PT10M01.00S,2022-03-15T02:12:54.3Z,1,REGULAR,freethrow,1 of 2,[],202691,,,1610612744,6,2,2022-03-15T02:12:54Z,300000,,,0,,K. Thompson Free Throw 1 of 2 (4 PTS),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,Made,,,,,,,,,,4.0,,,,,,,,,
31,PT10M01.00S,2022-03-15T02:13:07.7Z,1,REGULAR,freethrow,2 of 2,[],202691,,,1610612744,7,2,2022-03-15T02:13:07Z,310000,,,0,,K. Thompson Free Throw 2 of 2 (5 PTS),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,Made,,,,,,,,,,5.0,,,,,,,,,
32,PT09M42.00S,2022-03-15T02:13:28.3Z,1,REGULAR,3pt,Jump Shot,[],1628398,30.436925098554536,70.09803921568627,1610612764,7,2,2022-03-15T02:13:30Z,320000,-100.0,234.0,1,left,MISS K. Kuzma 25' 3PT,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,25.43,Missed,,,,,,,,,,,,,,,,,,,
33,PT09M39.00S,2022-03-15T02:13:31.3Z,1,REGULAR,rebound,offensive,[],203526,,,1610612764,7,2,2022-03-15T02:24:37Z,330000,,,0,,R. Neto REBOUND (Off:1 Def:0),[203526],1610612764.0,WAS,,,,Neto,R. Neto,,,,,,,,,32.0,1.0,0.0,1.0,,,,,,,,,,,,,
34,PT09M37.00S,2022-03-15T02:13:33.3Z,1,REGULAR,turnover,lost ball,[],203526,,,1610612764,7,2,2022-03-15T02:13:34Z,340000,,,0,,R. Neto lost ball TURNOVER (2 TO),"[203526, 1626172]",1610612764.0,WAS,,,,Neto,R. Neto,,,,,,,,,,,,,2.0,Looney,1626172.0,,,,,,,,,,
35,PT09M37.00S,2022-03-15T02:13:33.3Z,1,REGULAR,steal,,[],1626172,,,1610612744,7,2,2022-03-15T02:13:35Z,350000,,,0,,K. Looney STEAL (1 STL),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,
36,PT09M29.00S,2022-03-15T02:13:41.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201939,92.9862023653088,55.88235294117647,1610612744,9,2,2022-03-15T02:13:44Z,360000,29.0,13.0,1,right,S. Curry driving reverse Layup (2 PTS),[201939],1610612744.0,GSW,driving reverse,,,Curry,S. Curry,,,,,3.23,Made,,,,,,,,,,2.0,,,,,,,,,
37,PT09M18.00S,2022-03-15T02:13:52.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630557,9.543363994743759,50.49019607843137,1610612764,9,4,2022-03-15T02:13:54Z,370000,-2.0,37.0,1,left,C. Kispert driving DUNK (2 PTS) (R. Neto 2 AST),"[1630557, 203526]",1610612764.0,WAS,driving,,,Kispert,C. Kispert,,,,,3.73,Made,,,,,,,,,,2.0,R. Neto,203526.0,2.0,,,,,,
39,PT09M08.00S,2022-03-15T02:14:04.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612744,9,4,2022-03-15T02:14:04Z,390000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT09M05.00S,2022-03-15T02:14:24.5Z,1,REGULAR,3pt,Jump Shot,[],201939,92.9862023653088,4.6568627450980395,1610612744,9,4,2022-03-15T02:14:27Z,400000,-227.0,13.0,1,right,MISS S. Curry 3PT,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,22.71,Missed,,,,,,,,,,,,,,,,,,,
41,PT09M03.00S,2022-03-15T02:14:26.5Z,1,REGULAR,rebound,defensive,[],204001,,,1610612764,9,4,2022-03-15T02:14:43Z,410000,,,0,,K. Porzingis REBOUND (Off:0 Def:1),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,,,40.0,1.0,1.0,0.0,,,,,,,,,,,,,
42,PT09M00.00S,2022-03-15T02:14:31.6Z,1,REGULAR,turnover,out-of-bounds,[],204001,,,1610612764,9,4,2022-03-15T02:14:35Z,420000,,,0,,K. Porzingis bad pass out-of-bounds TURNOVER (1 TO),[204001],1610612764.0,WAS,bad pass,,,Porzingis,K. Porzingis,,,,,,,,,,,,,1.0,,,,,,,2003.0,,,,,
43,PT08M56.00S,2022-03-15T02:14:44.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629673,73.27529566360053,12.5,1610612744,12,4,2022-03-15T02:14:46Z,430000,-188.0,199.0,1,right,J. Poole 27' 3PT  (3 PTS) (S. Curry 1 AST),"[1629673, 201939]",1610612744.0,GSW,,,,Poole,J. Poole,,,,,27.32,Made,,,,,,,,,,3.0,S. Curry,201939.0,1.0,,,,,,
45,PT08M40.00S,2022-03-15T02:14:59.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203526,8.229303547963205,40.44117647058824,1610612764,12,4,2022-03-15T02:15:02Z,450000,48.0,25.0,1,left,MISS R. Neto driving Layup,[203526],1610612764.0,WAS,driving,,,Neto,R. Neto,,,,,5.39,Missed,,,,,,,,,,,,,,,,,,,
46,PT08M37.00S,2022-03-15T02:15:02.8Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,12,4,2022-03-15T02:15:02Z,460000,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,45.0,1.0,1.0,0.0,,,,,,,,,,,,,
47,PT08M32.00S,2022-03-15T02:15:08.0Z,1,REGULAR,3pt,Jump Shot,[],1629673,79.45137976346912,91.42156862745098,1610612744,12,4,2022-03-15T02:15:10Z,470000,207.0,141.0,1,right,MISS J. Poole 25' 3PT,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,25.04,Missed,,,,,,,,,,,,,,,,,,,
48,PT08M29.00S,2022-03-15T02:15:12.0Z,1,REGULAR,rebound,defensive,[],1630557,,,1610612764,12,4,2022-03-15T02:15:12Z,480000,,,0,,C. Kispert REBOUND (Off:0 Def:1),[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,47.0,1.0,1.0,0.0,,,,,,,,,,,,,
49,PT08M18.00S,2022-03-15T02:15:21.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628398,12.959921156373195,50.245098039215684,1610612764,12,6,2022-03-15T02:15:24Z,490000,-1.0,69.0,1,left,K. Kuzma 6' driving floating Jump Shot (2 PTS),[1628398],1610612764.0,WAS,driving floating,,,Kuzma,K. Kuzma,,,,,6.93,Made,,,,,,,,,,2.0,,,,,,,,,
50,PT08M07.00S,2022-03-15T02:15:32.8Z,1,REGULAR,3pt,Jump Shot,[],201939,74.98357424441524,11.27450980392157,1610612744,12,6,2022-03-15T02:15:35Z,500000,-194.0,183.0,1,right,MISS S. Curry 26' pullup 3PT,[201939],1610612744.0,GSW,pullup,,,Curry,S. Curry,,,,,26.62,Missed,,,,,,,,,,,,,,,,,,,
51,PT08M05.00S,2022-03-15T02:15:34.8Z,1,REGULAR,rebound,defensive,[],1630557,,,1610612764,12,6,2022-03-15T02:16:32Z,510000,,,0,,C. Kispert REBOUND (Off:0 Def:2),[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,50.0,2.0,2.0,0.0,,,,,,,,,,,,,
52,PT07M47.00S,2022-03-15T02:15:53.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628398,6.389618922470433,53.431372549019606,1610612764,12,8,2022-03-15T02:15:56Z,520000,-17.0,8.0,1,left,K. Kuzma driving Layup (4 PTS),[1628398],1610612764.0,WAS,driving,,,Kuzma,K. Kuzma,,,,,1.88,Made,,,,,,,,,,4.0,,,,,,,,,
53,PT07M37.00S,2022-03-15T02:16:03.3Z,1,REGULAR,2pt,Jump Shot,[],202691,82.60512483574244,72.79411764705883,1610612744,12,8,2022-03-15T02:16:05Z,530000,114.0,111.0,1,right,MISS K. Thompson 15' pullup Shot,[202691],1610612744.0,GSW,pullup,,,Thompson,K. Thompson,,,,,15.91,Missed,,,,,,,,,,,,,,,,,,,
54,PT07M35.00S,2022-03-15T02:16:05.3Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,12,8,2022-03-15T02:16:27Z,540000,,,0,,K. Kuzma REBOUND (Off:0 Def:2),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,53.0,2.0,2.0,0.0,,,,,,,,,,,,,
55,PT07M28.00S,2022-03-15T02:16:12.1Z,1,REGULAR,turnover,lost ball,[],1628398,,,1610612764,12,8,2022-03-15T02:16:13Z,550000,,,0,,K. Kuzma lost ball TURNOVER (1 TO),"[1628398, 1630228]",1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,1.0,Kuminga,1630228.0,,,,,,,,,,
56,PT07M28.00S,2022-03-15T02:16:12.1Z,1,REGULAR,steal,,[],1630228,,,1610612744,12,8,2022-03-15T02:16:15Z,560000,,,0,,J. Kuminga STEAL (1 STL),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M28.00S,2022-03-15T02:16:16.2Z,1,REGULAR,foul,personal,[],204001,,,1610612744,12,8,2022-03-15T02:18:11Z,570000,,,0,,K. Porzingis take personal FOUL (1 PF),"[204001, 1626172]",1610612764.0,WAS,take,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,1199.0,1.0,0.0,Looney,1626172.0,
60,PT07M16.00S,2022-03-15T02:16:43.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202691,70.25295663600527,79.41176470588235,1610612744,15,8,2022-03-15T02:16:46Z,600000,147.0,227.0,1,right,K. Thompson 27' 3PT  (8 PTS) (J. Kuminga 2 AST),"[202691, 1630228]",1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,27.06,Made,,,,,,,,,,8.0,J. Kuminga,1630228.0,2.0,,,,,,
62,PT07M14.00S,2022-03-15T02:16:50.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,15,8,2022-03-15T02:16:50Z,620000,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT07M06.00S,2022-03-15T02:19:51.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203526,7.835085413929041,42.40196078431372,1610612764,15,10,2022-03-15T02:19:54Z,630000,38.0,21.0,1,left,R. Neto driving Layup (2 PTS),[203526],1610612764.0,WAS,driving,,,Neto,R. Neto,,,,,4.35,Made,,,,,,,,,,2.0,,,,,,,,,
64,PT06M54.00S,2022-03-15T02:20:04.5Z,1,REGULAR,turnover,lost ball,[],1626172,,,1610612744,15,10,2022-03-15T02:20:06Z,640000,,,0,,K. Looney lost ball TURNOVER (1 TO),"[1626172, 203484]",1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,1.0,Caldwell-Pope,203484.0,,,,,,,,,,
65,PT06M54.00S,2022-03-15T02:20:04.5Z,1,REGULAR,steal,,[],203484,,,1610612764,15,10,2022-03-15T02:20:06Z,650000,,,0,,K. Caldwell-Pope STEAL (1 STL),[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M45.00S,2022-03-15T02:20:13.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628398,13.091327201051248,94.85294117647058,1610612764,15,10,2022-03-15T02:20:14Z,660000,-224.0,71.0,1,left,MISS K. Kuzma 3PT,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,23.51,Missed,,,,,,,,,,,,,,,,,,,
67,PT06M42.00S,2022-03-15T02:20:16.6Z,1,REGULAR,rebound,offensive,[],204001,,,1610612764,15,10,2022-03-15T02:20:16Z,670000,,,0,,K. Porzingis REBOUND (Off:1 Def:1),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,,,66.0,2.0,1.0,1.0,,,,,,,,,,,,,
68,PT06M42.00S,2022-03-15T02:20:16.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', '2ndchance']",204001,5.590000152587891,50.0,1610612764,15,12,2022-03-15T02:20:16Z,680000,0.0,0.0,1,left,K. Porzingis tip DUNK (2 PTS),[204001],1610612764.0,WAS,tip,,,Porzingis,K. Porzingis,,,,,0.0,Made,,,,,,,,,,2.0,,,,,,,,,
69,PT06M34.00S,2022-03-15T02:20:23.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202691,72.61826544021025,84.06862745098039,1610612744,15,12,2022-03-15T02:20:30Z,690000,170.0,205.0,1,right,MISS K. Thompson 26' 3PT,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,26.64,Missed,,,,,,,,,,,,,,,,,,,
70,PT06M32.00S,2022-03-15T02:20:25.6Z,1,REGULAR,rebound,defensive,[],204001,,,1610612764,15,12,2022-03-15T02:20:53Z,700000,,,0,,K. Porzingis REBOUND (Off:1 Def:2),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,,,69.0,3.0,2.0,1.0,,,,,,,,,,,,,
71,PT06M21.00S,2022-03-15T02:20:37.0Z,1,REGULAR,turnover,out-of-bounds,[],1628398,,,1610612764,15,12,2022-03-15T02:20:41Z,710000,,,0,,K. Kuzma bad pass out-of-bounds TURNOVER (2 TO),[1628398],1610612764.0,WAS,bad pass,,,Kuzma,K. Kuzma,,,,,,,,,,,,,2.0,,,,,,,1201.0,,,,,
72,PT06M20.00S,2022-03-15T02:20:46.5Z,1,REGULAR,substitution,out,[],203484,,,1610612744,15,12,2022-03-15T02:20:49Z,720000,,,0,,SUB out: K. Caldwell-Pope,[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M20.00S,2022-03-15T02:20:46.5Z,1,REGULAR,substitution,in,[],1630166,,,1610612744,15,12,2022-03-15T02:20:49Z,730000,,,0,,SUB in: D. Avdija,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M06.00S,2022-03-15T02:21:10.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630228,67.62483574244416,70.83333333333334,1610612744,15,12,2022-03-15T02:21:12Z,740000,104.0,252.0,1,right,MISS J. Kuminga 27' 3PT,[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,27.25,Missed,,,,,,,,,,,,,,,,,,,
75,PT06M03.00S,2022-03-15T02:21:13.1Z,1,REGULAR,rebound,defensive,[],203526,,,1610612764,15,12,2022-03-15T02:21:53Z,750000,,,0,,R. Neto REBOUND (Off:1 Def:1),[203526],1610612764.0,WAS,,,,Neto,R. Neto,,,,,,,,,74.0,2.0,1.0,1.0,,,,,,,,,,,,,
76,PT05M56.00S,2022-03-15T02:21:20.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],204001,33.85348226018397,50.0,1610612764,15,12,2022-03-15T02:21:23Z,760000,0.0,266.0,1,left,MISS K. Porzingis 26' 3PT,[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,26.57,Missed,,,,,,,,,,,,,,,,,,,
77,PT05M54.00S,2022-03-15T02:21:22.2Z,1,REGULAR,rebound,defensive,[],1629673,,,1610612744,15,12,2022-03-15T02:21:47Z,770000,,,0,,J. Poole REBOUND (Off:0 Def:1),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,76.0,1.0,1.0,0.0,,,,,,,,,,,,,
78,PT05M49.00S,2022-03-15T02:21:26.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1630228,91.80354796320631,51.470588235294116,1610612744,17,12,2022-03-15T02:21:59Z,780000,7.0,25.0,1,right,J. Kuminga running DUNK (4 PTS) (S. Curry 2 AST),"[1630228, 201939]",1610612744.0,GSW,running,,,Kuminga,J. Kuminga,,,,,2.56,Made,,,,,,,,,,4.0,S. Curry,201939.0,2.0,,,,,,
80,PT05M40.00S,2022-03-15T02:21:35.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630166,7.5722733245729295,54.90196078431373,1610612764,17,14,2022-03-15T02:26:57Z,800000,-25.0,19.0,1,left,D. Avdija cutting Layup (2 PTS) (K. Kuzma 1 AST),"[1630166, 1628398]",1610612764.0,WAS,cutting,,,Avdija,D. Avdija,,,,,3.08,Made,,,,,,,,,,2.0,K. Kuzma,1628398.0,1.0,,,,,,
82,PT05M37.00S,2022-03-15T02:21:43.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,17,14,2022-03-15T02:21:43Z,820000,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M37.00S,2022-03-15T02:23:41.7Z,1,REGULAR,substitution,out,[],1629673,,,1610612744,17,14,2022-03-15T02:24:08Z,830000,,,0,,SUB out: J. Poole,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M37.00S,2022-03-15T02:23:41.7Z,1,REGULAR,substitution,out,[],202691,,,1610612744,17,14,2022-03-15T02:24:08Z,840000,,,0,,SUB out: K. Thompson,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M37.00S,2022-03-15T02:23:41.7Z,1,REGULAR,substitution,out,[],204001,,,1610612744,17,14,2022-03-15T02:24:08Z,850000,,,0,,SUB out: K. Porzingis,[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M37.00S,2022-03-15T02:23:41.7Z,1,REGULAR,substitution,in,[],1630541,,,1610612744,17,14,2022-03-15T02:24:08Z,860000,,,0,,SUB in: M. Moody,[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M37.00S,2022-03-15T02:23:41.7Z,1,REGULAR,substitution,in,[],203490,,,1610612744,17,14,2022-03-15T02:24:08Z,870000,,,0,,SUB in: O. Porter Jr.,[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
