actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
18,PT11M08.00S,2022-03-21T00:42:08.7Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612759,0,3,2022-03-21T00:42:29Z,180000,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,
19,PT10M54.00S,2022-03-21T00:42:25.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612759,0,3,2022-03-21T00:42:25Z,190000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PT10M51.00S,2022-03-21T00:42:43.3Z,1,REGULAR,3pt,Jump Shot,[],1627749,21.632720105124836,11.519607843137255,1610612759,0,3,2022-03-21T00:42:46Z,200000,192.0,151.0,1,left,MISS D. Murray 24' 3PT,[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,24.45,Missed,,,,,,,,,,,,,,,,,,,
21,PT10M49.00S,2022-03-21T00:42:45.3Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612759,0,3,2022-03-21T00:43:01Z,210000,,,0,,J. Poeltl REBOUND (Off:1 Def:0),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,20.0,1.0,0.0,1.0,,,,,
22,PT10M43.00S,2022-03-21T00:42:50.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630170,7.178055190538765,2.450980392156863,1610612759,0,6,2022-03-21T00:42:53Z,220000,238.0,15.0,1,left,D. Vassell 3PT  (3 PTS) (J. Primo 2 AST),"[1630170, 1630563]",1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,23.82,Made,3.0,J. Primo,1630563.0,2.0,,,,,,,,,,,,,,,
24,PT10M27.00S,2022-03-21T00:43:07.0Z,1,REGULAR,3pt,Jump Shot,[],1629673,96.66557161629436,2.941176470588235,1610612744,0,6,2022-03-21T00:43:09Z,240000,-235.0,-21.0,1,right,MISS J. Poole 3PT,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,23.63,Missed,,,,,,,,,,,,,,,,,,,
25,PT10M24.00S,2022-03-21T00:43:10.5Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,0,6,2022-03-21T00:43:10Z,250000,,,0,,J. Poeltl REBOUND (Off:1 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,24.0,2.0,1.0,1.0,,,,,
26,PT10M12.00S,2022-03-21T00:43:20.4Z,1,REGULAR,3pt,Jump Shot,[],1629640,34.11629434954008,41.911764705882355,1610612759,0,6,2022-03-21T00:43:58Z,260000,40.0,268.0,1,left,MISS K. Johnson 27' step back 3PT,[1629640],1610612759.0,SAS,step back,,,Johnson,K. Johnson,,,,,27.12,Missed,,,,,,,,,,,,,,,,,,,
27,PT10M09.00S,2022-03-21T00:43:23.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612759,0,6,2022-03-21T00:43:58Z,270000,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,
28,PT10M09.00S,2022-03-21T00:43:30.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612759,0,6,2022-03-21T00:43:30Z,280000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT10M02.00S,2022-03-21T00:43:49.8Z,1,REGULAR,foul,personal,[],1629673,,,1610612759,0,6,2022-03-21T00:43:53Z,290000,,,0,,J. Poole personal FOUL (1 PF),"[1629673, 1630563]",1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,201245.0,1.0,0.0,Primo,1630563.0,,,,,,,,,,
31,PT09M54.00S,2022-03-21T00:44:13.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627749,26.10052562417871,84.55882352941177,1610612759,0,6,2022-03-21T00:44:16Z,310000,-173.0,193.0,1,left,MISS D. Murray 25' 3PT,[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,25.89,Missed,,,,,,,,,,,,,,,,,,,
32,PT09M52.00S,2022-03-21T00:44:15.7Z,1,REGULAR,rebound,defensive,[],203952,,,1610612744,0,6,2022-03-21T00:45:05Z,320000,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,31.0,1.0,1.0,0.0,,,,,
33,PT09M37.00S,2022-03-21T00:44:31.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203110,93.38042049934296,40.931372549019606,1610612744,0,6,2022-03-21T00:44:33Z,330000,-45.0,10.0,1,right,MISS D. Green driving Layup - blocked,"[203110, 1627751]",1610612744.0,GSW,driving,,,Green,D. Green,,,,,4.63,Missed,,,,,,,,,,,,,,,Poeltl,1627751.0,,,
34,PT09M37.00S,2022-03-21T00:44:31.0Z,1,REGULAR,block,,[],1627751,,,1610612744,0,6,2022-03-21T00:44:34Z,340000,,,0,,J. Poeltl BLOCK (1 BLK),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,
35,PT09M35.00S,2022-03-21T00:44:33.0Z,1,REGULAR,rebound,defensive,[],1630563,,,1610612759,0,6,2022-03-21T00:45:20Z,350000,,,0,,J. Primo REBOUND (Off:0 Def:1),[1630563],1610612759.0,SAS,,,,Primo,J. Primo,,,,,,,,,,,,,,,,,33.0,1.0,1.0,0.0,,,,,
36,PT09M29.00S,2022-03-21T00:44:38.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630170,5.732588699080158,96.81372549019608,1610612759,0,6,2022-03-21T00:44:42Z,360000,-234.0,1.0,1,left,MISS D. Vassell 3PT,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,23.41,Missed,,,,,,,,,,,,,,,,,,,
37,PT09M27.00S,2022-03-21T00:44:40.7Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612759,0,6,2022-03-21T00:45:30Z,370000,,,0,,J. Poeltl REBOUND (Off:2 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,36.0,3.0,1.0,2.0,,,,,
38,PT09M23.00S,2022-03-21T00:44:45.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629640,8.229303547963205,40.19607843137255,1610612759,0,6,2022-03-21T00:44:47Z,380000,49.0,25.0,1,left,MISS K. Johnson driving Layup,[1629640],1610612759.0,SAS,driving,,,Johnson,K. Johnson,,,,,5.5,Missed,,,,,,,,,,,,,,,,,,,
39,PT09M21.00S,2022-03-21T00:44:47.1Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,0,6,2022-03-21T00:45:24Z,390000,,,0,,D. Green REBOUND (Off:0 Def:2),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,38.0,2.0,2.0,0.0,,,,,
40,PT09M19.00S,2022-03-21T00:44:54.2Z,1,REGULAR,foul,personal,[],1630563,,,1610612744,0,6,2022-03-21T00:44:56Z,400000,,,0,,J. Primo personal FOUL (1 PF),"[1630563, 1629673]",1610612759.0,SAS,,,,Primo,J. Primo,,,,,,,,,,,201245.0,1.0,0.0,Poole,1629673.0,,,,,,,,,,
42,PT09M19.00S,2022-03-21T00:45:14.4Z,1,REGULAR,stoppage,other,[],0,,,1610612744,0,6,2022-03-21T00:45:42Z,420000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT09M13.00S,2022-03-21T00:45:32.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202691,92.19776609724047,51.9607843137255,1610612744,2,6,2022-03-21T00:51:51Z,430000,10.0,21.0,1,right,K. Thompson cutting Layup (2 PTS) (D. Green 1 AST),"[202691, 203110]",1610612744.0,GSW,cutting,,,Thompson,K. Thompson,,,,,2.3,Made,2.0,D. Green,203110.0,1.0,,,,,,,,,,,,,,,
45,PT08M49.00S,2022-03-21T00:45:56.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627749,7.966491458607096,56.61764705882353,1610612759,2,6,2022-03-21T00:45:58Z,450000,-33.0,22.0,1,left,MISS D. Murray driving Layup,[1627749],1610612759.0,SAS,driving,,,Murray,D. Murray,,,,,4.0,Missed,,,,,,,,,,,,,,,,,,,
46,PT08M46.00S,2022-03-21T00:45:59.4Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,2,6,2022-03-21T00:45:59Z,460000,,,0,,D. Green REBOUND (Off:0 Def:3),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,45.0,3.0,3.0,0.0,,,,,
47,PT08M44.00S,2022-03-21T00:46:02.7Z,1,REGULAR,turnover,out-of-bounds,[],203110,,,1610612744,2,6,2022-03-21T00:46:04Z,470000,,,0,,D. Green bad pass out-of-bounds TURNOVER (2 TO),[203110],1610612744.0,GSW,bad pass,,,Green,D. Green,,,,,,,,,,,201245.0,,,,,2.0,,,,,,,,,
48,PT08M28.00S,2022-03-21T00:46:25.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627749,26.888961892247043,17.401960784313726,1610612759,2,9,2022-03-21T00:46:28Z,480000,163.0,200.0,1,left,D. Murray 25' 3PT  (3 PTS) (D. Vassell 1 AST),"[1627749, 1630170]",1610612759.0,SAS,,,,Murray,D. Murray,,,,,25.82,Made,3.0,D. Vassell,1630170.0,1.0,,,,,,,,,,,,,,,
50,PT08M12.00S,2022-03-21T00:46:40.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629673,94.95729303547962,58.333333333333336,1610612744,4,9,2022-03-21T00:46:43Z,500000,42.0,-5.0,1,right,J. Poole driving reverse Layup (2 PTS),[1629673],1610612744.0,GSW,driving reverse,,,Poole,J. Poole,,,,,4.2,Made,2.0,,,,,,,,,,,,,,,,,,
51,PT07M52.00S,2022-03-21T00:47:00.1Z,1,REGULAR,2pt,Jump Shot,[],1630563,17.559132720105126,78.18627450980392,1610612759,4,11,2022-03-21T00:47:03Z,510000,-141.0,113.0,1,left,J. Primo 18' pullup Jump Shot (2 PTS),[1630563],1610612759.0,SAS,pullup,,,Primo,J. Primo,,,,,18.04,Made,2.0,,,,,,,,,,,,,,,,,,
52,PT07M41.00S,2022-03-21T00:47:10.6Z,1,REGULAR,3pt,Jump Shot,[],202691,64.20827858081472,43.872549019607845,1610612744,4,11,2022-03-21T00:47:14Z,520000,-31.0,284.0,1,right,MISS K. Thompson 28' pullup 3PT,[202691],1610612744.0,GSW,pullup,,,Thompson,K. Thompson,,,,,28.55,Missed,,,,,,,,,,,,,,,,,,,
53,PT07M40.00S,2022-03-21T00:47:17.2Z,1,REGULAR,rebound,offensive,[],203952,,,1610612744,4,11,2022-03-21T00:47:17Z,530000,,,0,,A. Wiggins REBOUND (Off:1 Def:1),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,52.0,2.0,1.0,1.0,,,,,
79,PT07M40.00S,2022-03-21T00:47:14.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203952,91.90210249671485,47.05882352941176,1610612744,4,11,2022-03-21T00:53:53Z,535000,-15.0,24.0,1,right,MISS A. Wiggins putback Layup - blocked,"[203952, 1630563]",1610612744.0,GSW,putback,,,Wiggins,A. Wiggins,,,,,2.78,Missed,,,,,,,,,,,,,,,Primo,1630563.0,,,
80,PT07M40.00S,2022-03-21T00:47:14.8Z,1,REGULAR,block,,[],1630563,,,1610612744,4,11,2022-03-21T00:52:54Z,537500,,,0,,J. Primo BLOCK (1 BLK),[1630563],1610612759.0,SAS,,,,Primo,J. Primo,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT07M40.00S,2022-03-21T00:47:14.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612744,4,11,2022-03-21T00:52:54Z,538750,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,79.0,,,,,,,,
54,PT07M40.00S,2022-03-21T00:47:19.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612744,4,11,2022-03-21T00:47:19Z,540000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M36.00S,2022-03-21T00:47:36.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1626172,92.85479632063075,45.588235294117645,1610612744,6,11,2022-03-21T00:52:54Z,550000,-22.0,15.0,1,right,K. Looney driving DUNK (2 PTS) (J. Poole 1 AST),"[1626172, 1629673]",1610612744.0,GSW,driving,,,Looney,K. Looney,,,,,2.65,Made,2.0,J. Poole,1629673.0,1.0,,,,,,,,,,,,,,,
57,PT07M20.00S,2022-03-21T00:47:51.3Z,1,REGULAR,2pt,Jump Shot,[],1627749,15.325229960578188,74.75490196078431,1610612759,6,13,2022-03-21T00:47:54Z,570000,-124.0,92.0,1,left,D. Murray 15' pullup Jump Shot (5 PTS),[1627749],1610612759.0,SAS,pullup,,,Murray,D. Murray,,,,,15.4,Made,5.0,,,,,,,,,,,,,,,,,,
58,PT07M06.00S,2022-03-21T00:48:05.7Z,1,REGULAR,2pt,Jump Shot,[],202691,92.46057818659659,78.67647058823529,1610612744,8,13,2022-03-21T00:48:08Z,580000,143.0,18.0,1,right,K. Thompson 14' pullup Jump Shot (4 PTS) (K. Looney 1 AST),"[202691, 1626172]",1610612744.0,GSW,pullup,,,Thompson,K. Thompson,,,,,14.46,Made,4.0,K. Looney,1626172.0,1.0,,,,,,,,,,,,,,,
60,PT06M53.00S,2022-03-21T00:48:18.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627751,10.85742444152431,49.754901960784316,1610612759,8,15,2022-03-21T00:48:20Z,600000,1.0,50.0,1,left,J. Poeltl Hook (5 PTS) (K. Johnson 1 AST),"[1627751, 1629640]",1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,4.96,Made,5.0,K. Johnson,1629640.0,1.0,,,,,,,,,,,,,,,
62,PT06M40.00S,2022-03-21T00:48:31.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203952,87.59855453350855,45.588235294117645,1610612744,10,15,2022-03-21T00:48:33Z,620000,-22.0,64.0,1,right,A. Wiggins 6' turnaround Hook (2 PTS),[203952],1610612744.0,GSW,turnaround,,,Wiggins,A. Wiggins,,,,,6.78,Made,2.0,,,,,,,,,,,,,,,,,,
63,PT06M21.00S,2022-03-21T00:48:49.9Z,1,REGULAR,3pt,Jump Shot,[],1630170,24.917871222076215,12.009803921568627,1610612759,10,15,2022-03-21T00:48:52Z,630000,190.0,182.0,1,left,MISS D. Vassell 26' 3PT,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,26.29,Missed,,,,,,,,,,,,,,,,,,,
64,PT06M19.00S,2022-03-21T00:48:52.7Z,1,REGULAR,rebound,defensive,[],1629673,,,1610612744,10,15,2022-03-21T00:48:52Z,640000,,,0,,J. Poole REBOUND (Off:0 Def:1),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,63.0,1.0,1.0,0.0,,,,,
65,PT06M06.00S,2022-03-21T00:49:05.8Z,1,REGULAR,2pt,Jump Shot,[],1629673,82.86793692509855,74.50980392156863,1610612744,10,15,2022-03-21T00:49:10Z,650000,123.0,109.0,1,right,MISS J. Poole 16' step back Shot,[1629673],1610612744.0,GSW,step back,,,Poole,J. Poole,,,,,16.36,Missed,,,,,,,,,,,,,,,,,,,
66,PT06M04.00S,2022-03-21T00:49:07.8Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612759,10,15,2022-03-21T00:49:35Z,660000,,,0,,D. Murray REBOUND (Off:0 Def:2),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,65.0,2.0,2.0,0.0,,,,,
67,PT05M56.00S,2022-03-21T00:49:15.5Z,1,REGULAR,foul,personal,['3freethrow'],203110,,,1610612759,10,15,2022-03-21T00:49:30Z,670000,,,0,,D. Green shooting personal FOUL (2 PF) (Johnson 3 FT),"[203110, 1629640]",1610612744.0,GSW,shooting,,,Green,D. Green,,,,,,,,,,,201245.0,2.0,0.0,Johnson,1629640.0,,,,,,,,,,
69,PT05M56.00S,2022-03-21T00:49:26.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,10,15,2022-03-21T00:49:26Z,690000,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M56.00S,2022-03-21T00:51:54.1Z,1,REGULAR,substitution,out,[],203110,,,1610612759,10,15,2022-03-21T00:52:19Z,700000,,,0,,SUB out: D. Green,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M56.00S,2022-03-21T00:51:54.1Z,1,REGULAR,substitution,out,[],1630563,,,1610612759,10,15,2022-03-21T00:52:19Z,710000,,,0,,SUB out: J. Primo,[1630563],1610612759.0,SAS,,,,Primo,J. Primo,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M56.00S,2022-03-21T00:51:54.1Z,1,REGULAR,substitution,out,[],1627749,,,1610612759,10,15,2022-03-21T00:52:19Z,720000,,,0,,SUB out: D. Murray,[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M56.00S,2022-03-21T00:51:54.1Z,1,REGULAR,substitution,in,[],203490,,,1610612759,10,15,2022-03-21T00:52:19Z,730000,,,0,,SUB in: O. Porter Jr.,[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M56.00S,2022-03-21T00:51:54.1Z,1,REGULAR,substitution,in,[],1630200,,,1610612759,10,15,2022-03-21T00:52:19Z,740000,,,0,,SUB in: T. Jones,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M56.00S,2022-03-21T00:51:54.1Z,1,REGULAR,substitution,in,[],1626196,,,1610612759,10,15,2022-03-21T00:52:19Z,750000,,,0,,SUB in: J. Richardson,[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M56.00S,2022-03-21T00:52:35.2Z,1,REGULAR,freethrow,1 of 3,[],1629640,,,1610612759,10,15,2022-03-21T00:52:35Z,760000,,,0,,MISS K. Johnson Free Throw 1 of 3,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,Missed,,,,,,,,,,,,,,,,,,,
77,PT05M56.00S,2022-03-21T00:52:35.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612759,10,15,2022-03-21T00:52:35Z,770000,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,76.0,,,,,,,,
78,PT05M56.00S,2022-03-21T00:52:50.5Z,1,REGULAR,freethrow,2 of 3,[],1629640,,,1610612759,10,16,2022-03-21T00:52:50Z,780000,,,0,,K. Johnson Free Throw 2 of 3 (1 PTS),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
82,PT05M56.00S,2022-03-21T00:53:04.9Z,1,REGULAR,freethrow,3 of 3,[],1629640,,,1610612759,10,17,2022-03-21T00:53:04Z,790000,,,0,,K. Johnson Free Throw 3 of 3 (2 PTS),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
83,PT05M30.00S,2022-03-21T00:53:31.7Z,1,REGULAR,2pt,Jump Shot,[],1626172,78.9257555847569,23.03921568627451,1610612744,10,17,2022-03-21T00:53:33Z,800000,-135.0,146.0,1,right,MISS K. Looney 19' Jump Shot,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,19.84,Missed,,,,,,,,,,,,,,,,,,,
84,PT05M27.00S,2022-03-21T00:53:34.9Z,1,REGULAR,rebound,defensive,[],1630200,,,1610612759,10,17,2022-03-21T00:53:34Z,810000,,,0,,T. Jones REBOUND (Off:0 Def:1),[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,83.0,1.0,1.0,0.0,,,,,
85,PT05M14.00S,2022-03-21T00:53:47.8Z,1,REGULAR,foul,personal,['3freethrow'],202691,,,1610612759,10,17,2022-03-21T00:53:57Z,820000,,,0,,K. Thompson shooting personal FOUL (1 PF) (Richardson 3 FT),"[202691, 1626196]",1610612744.0,GSW,shooting,,,Thompson,K. Thompson,,,,,,,,,,,1627541.0,1.0,0.0,Richardson,1626196.0,,,,,,,,,,
87,PT05M14.00S,2022-03-21T00:54:17.3Z,1,REGULAR,freethrow,1 of 3,[],1626196,,,1610612759,10,18,2022-03-21T00:54:17Z,840000,,,0,,J. Richardson Free Throw 1 of 3 (1 PTS),[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
88,PT05M14.00S,2022-03-21T00:54:34.3Z,1,REGULAR,freethrow,2 of 3,[],1626196,,,1610612759,10,19,2022-03-21T00:54:34Z,850000,,,0,,J. Richardson Free Throw 2 of 3 (2 PTS),[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
89,PT05M14.00S,2022-03-21T00:54:51.9Z,1,REGULAR,freethrow,3 of 3,[],1626196,,,1610612759,10,20,2022-03-21T00:54:51Z,860000,,,0,,J. Richardson Free Throw 3 of 3 (3 PTS),[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
90,PT04M58.00S,2022-03-21T00:55:12.5Z,1,REGULAR,turnover,out-of-bounds,[],203490,,,1610612744,10,20,2022-03-21T00:55:14Z,870000,,,0,,O. Porter Jr. bad pass out-of-bounds TURNOVER (1 TO),[203490],1610612744.0,GSW,bad pass,,,Porter Jr.,O. Porter Jr.,,,,,,,,,,,1627541.0,,,,,1.0,,,,,,,,,
