actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
42,PT07M14.00S,2021-11-13T03:22:26.7Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612741,5,9,2021-11-13T03:22:26Z,420000,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,,,,,,41.0,,,,,,,,,,,,,,
43,PT07M14.00S,2021-11-13T03:22:40.2Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],203897,,,1610612741,5,10,2021-11-13T03:22:40Z,430000,,,0,,Z. LaVine Free Throw 2 of 2 (6 PTS),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,Made,6.0,,,,,,,,,,,,,,,,,,
44,PT07M04.00S,2021-11-13T03:22:53.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203110,11.645860709592641,35.78431372549019,1610612744,5,10,2021-11-13T03:22:56Z,440000,71.0,57.0,1,left,MISS D. Green 9' driving floating bank Shot,[203110],1610612744.0,GSW,driving floating bank,,,Green,D. Green,,,,,9.11,Missed,,,,,,,,,,,,,,,,,,,
45,PT07M01.00S,2021-11-13T03:22:56.5Z,1,REGULAR,rebound,offensive,[],1626172,,,1610612744,5,10,2021-11-13T03:22:56Z,450000,,,0,,K. Looney REBOUND (Off:1 Def:2),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,44.0,3.0,2.0,1.0,,,,,,,,,,,
46,PT06M53.00S,2021-11-13T03:23:04.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629673,5.206964520367937,93.87254901960785,1610612744,8,10,2021-11-13T03:23:07Z,460000,-219.0,-4.0,1,left,J. Poole 3PT  (3 PTS) (D. Green 2 AST),"[1629673, 203110]",1610612744.0,GSW,,,,Poole,J. Poole,,,,,21.94,Made,3.0,D. Green,203110.0,2.0,,,,,,,,,,,,,,,
48,PT06M34.00S,2021-11-13T03:23:24.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203897,91.5407358738502,44.36274509803921,1610612741,8,12,2021-11-13T03:23:27Z,480000,-28.0,27.0,1,right,Z. LaVine driving Layup (8 PTS),[203897],1610612741.0,CHI,driving,,,LaVine,Z. LaVine,,,,,3.9,Made,8.0,,,,,,,,,,,,,,,,,,
49,PT06M14.00S,2021-11-13T03:23:43.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201939,9.017739816031538,48.03921568627451,1610612744,10,12,2021-11-13T03:23:46Z,490000,10.0,32.0,1,left,S. Curry cutting finger roll Layup (5 PTS) (D. Green 3 AST),"[201939, 203110]",1610612744.0,GSW,cutting finger roll,,,Curry,S. Curry,,,,,3.38,Made,5.0,D. Green,203110.0,3.0,,,,,,,,,,,,,,,
51,PT05M59.00S,2021-11-13T03:23:59.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628396,89.56964520367937,49.26470588235294,1610612741,10,14,2021-11-13T03:24:12Z,510000,-4.0,46.0,1,right,T. Bradley cutting DUNK (2 PTS) (L. Ball 1 AST),"[1628396, 1628366]",1610612741.0,CHI,cutting,,,Bradley,T. Bradley,,,,,4.57,Made,2.0,L. Ball,1628366.0,1.0,,,,,,,,,,,,,,,
53,PT05M59.00S,2021-11-13T03:24:04.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,10,14,2021-11-13T03:24:04Z,530000,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT05M59.00S,2021-11-13T03:26:58.0Z,1,REGULAR,substitution,out,[],1626172,,,1610612744,10,14,2021-11-13T03:27:23Z,540000,,,0,,SUB out: K. Looney,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT05M59.00S,2021-11-13T03:26:58.0Z,1,REGULAR,substitution,out,[],201939,,,1610612744,10,14,2021-11-13T03:27:23Z,550000,,,0,,SUB out: S. Curry,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT05M59.00S,2021-11-13T03:26:58.0Z,1,REGULAR,substitution,out,[],1628396,,,1610612744,10,14,2021-11-13T03:27:23Z,560000,,,0,,SUB out: T. Bradley,[1628396],1610612741.0,CHI,,,,Bradley,T. Bradley,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT05M59.00S,2021-11-13T03:26:58.0Z,1,REGULAR,substitution,in,[],1627780,,,1610612744,10,14,2021-11-13T03:27:23Z,570000,,,0,,SUB in: G. Payton II,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT05M59.00S,2021-11-13T03:26:58.0Z,1,REGULAR,substitution,in,[],202357,,,1610612744,10,14,2021-11-13T03:27:23Z,580000,,,0,,SUB in: N. Bjelica,[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT05M59.00S,2021-11-13T03:26:58.0Z,1,REGULAR,substitution,in,[],1628993,,,1610612744,10,14,2021-11-13T03:27:23Z,590000,,,0,,SUB in: A. Johnson,[1628993],1610612741.0,CHI,,,,Johnson,A. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT05M46.00S,2021-11-13T03:27:46.5Z,1,REGULAR,3pt,Jump Shot,[],202357,6.258212877792378,2.696078431372549,1610612744,10,14,2021-11-13T03:27:49Z,600000,237.0,6.0,1,left,MISS N. Bjelica 3PT,[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,23.66,Missed,,,,,,,,,,,,,,,,,,,
63,PT05M44.00S,2021-11-13T03:27:48.5Z,1,REGULAR,rebound,defensive,[],1629750,,,1610612741,10,14,2021-11-13T03:29:33Z,610000,,,0,,J. Green REBOUND (Off:0 Def:1),[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,,62.0,1.0,1.0,0.0,,,,,,,,,,,
64,PT05M38.00S,2021-11-13T03:27:54.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628366,66.83639947437582,26.715686274509803,1610612741,10,14,2021-11-13T03:29:44Z,620000,-116.0,259.0,1,right,MISS L. Ball 28' pullup 3PT,[1628366],1610612741.0,CHI,pullup,,,Ball,L. Ball,,,,,28.41,Missed,,,,,,,,,,,,,,,,,,,
65,PT05M36.00S,2021-11-13T03:27:56.8Z,1,REGULAR,rebound,defensive,[],203952,,,1610612744,10,14,2021-11-13T03:29:08Z,630000,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,64.0,1.0,1.0,0.0,,,,,,,,,,,
66,PT05M27.00S,2021-11-13T03:28:04.8Z,1,REGULAR,2pt,Jump Shot,[],203952,10.726018396846255,20.833333333333336,1610612744,10,14,2021-11-13T03:28:09Z,640000,146.0,48.0,1,left,MISS A. Wiggins 15' Jump Shot,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,15.36,Missed,,,,,,,,,,,,,,,,,,,
67,PT05M25.00S,2021-11-13T03:28:06.8Z,1,REGULAR,rebound,defensive,[],1628993,,,1610612741,10,14,2021-11-13T03:29:04Z,650000,,,0,,A. Johnson REBOUND (Off:0 Def:1),[1628993],1610612741.0,CHI,,,,Johnson,A. Johnson,,,,,,,,,,,66.0,1.0,1.0,0.0,,,,,,,,,,,
68,PT05M12.00S,2021-11-13T03:28:20.3Z,1,REGULAR,2pt,Jump Shot,[],203897,73.27529566360053,61.76470588235294,1610612741,10,16,2021-11-13T03:28:23Z,660000,59.0,199.0,1,right,Z. LaVine 20' turnaround fadeaway Jump Shot (10 PTS),[203897],1610612741.0,CHI,turnaround fadeaway,,,LaVine,Z. LaVine,,,,,20.72,Made,10.0,,,,,,,,,,,,,,,,,,
83,PT04M58.00S,2021-11-13T03:28:33.3Z,1,REGULAR,turnover,lost ball,[],202357,,,1610612744,10,16,2021-11-13T03:31:55Z,680000,,,0,,N. Bjelica lost ball TURNOVER (1 TO),"[202357, 1628993]",1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,,,,,,,,,,1.0,,,Johnson,1628993.0,,,,,
84,PT04M58.00S,2021-11-13T03:28:33.3Z,1,REGULAR,steal,,[],1628993,,,1610612741,10,16,2021-11-13T03:31:55Z,690000,,,0,,A. Johnson STEAL (1 STL),[1628993],1610612741.0,CHI,,,,Johnson,A. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT04M48.00S,2021-11-13T03:28:46.3Z,1,REGULAR,foul,personal,['2freethrow'],202357,,,1610612741,10,16,2021-11-13T03:28:56Z,700000,,,0,,N. Bjelica shooting personal FOUL (1 PF) (DeRozan 2 FT),"[202357, 201942]",1610612744.0,GSW,shooting,,,Bjelica,N. Bjelica,,,,,,,,,,,,,,,201639.0,,,,,,1.0,0.0,DeRozan,201942.0,
74,PT04M48.00S,2021-11-13T03:29:11.3Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],201942,,,1610612741,10,17,2021-11-13T03:31:55Z,720000,,,0,,D. DeRozan Free Throw 1 of 2 (3 PTS),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
75,PT04M48.00S,2021-11-13T03:29:11.9Z,1,REGULAR,substitution,out,[],1628366,,,1610612741,10,17,2021-11-13T03:29:18Z,730000,,,0,,SUB out: L. Ball,[1628366],1610612741.0,CHI,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT04M48.00S,2021-11-13T03:29:11.9Z,1,REGULAR,substitution,out,[],1629750,,,1610612741,10,17,2021-11-13T03:29:18Z,740000,,,0,,SUB out: J. Green,[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT04M48.00S,2021-11-13T03:29:11.9Z,1,REGULAR,substitution,in,[],1627936,,,1610612741,10,17,2021-11-13T03:29:18Z,750000,,,0,,SUB in: A. Caruso,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT04M48.00S,2021-11-13T03:29:11.9Z,1,REGULAR,substitution,in,[],1627884,,,1610612741,10,17,2021-11-13T03:29:18Z,760000,,,0,,SUB in: D. Jones Jr.,[1627884],1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT04M48.00S,2021-11-13T03:29:37.2Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],201942,,,1610612741,10,18,2021-11-13T03:31:55Z,770000,,,0,,D. DeRozan Free Throw 2 of 2 (4 PTS),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
80,PT04M29.00S,2021-11-13T03:29:56.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203952,10.33180026281209,50.49019607843137,1610612744,12,18,2021-11-13T03:29:59Z,780000,-2.0,45.0,1,left,A. Wiggins driving Layup (2 PTS) (J. Poole 1 AST),"[203952, 1629673]",1610612744.0,GSW,driving,,,Wiggins,A. Wiggins,,,,,4.47,Made,2.0,J. Poole,1629673.0,1.0,,,,,,,,,,,,,,,
81,PT04M29.00S,2021-11-13T03:30:04.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,12,18,2021-11-13T03:30:04Z,790000,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M29.00S,2021-11-13T03:32:29.3Z,1,REGULAR,substitution,out,[],201942,,,1610612741,12,18,2021-11-13T03:33:08Z,800000,,,0,,SUB out: D. DeRozan,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M29.00S,2021-11-13T03:32:29.3Z,1,REGULAR,substitution,in,[],1630245,,,1610612741,12,18,2021-11-13T03:33:08Z,810000,,,0,,SUB in: A. Dosunmu,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M10.00S,2021-11-13T03:33:42.4Z,1,REGULAR,turnover,traveling,[],1630245,,,1610612741,12,18,2021-11-13T03:33:44Z,820000,,,0,,A. Dosunmu traveling TURNOVER (1 TO),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,201639.0,1.0,,,,,,,,,
88,PT04M01.00S,2021-11-13T03:34:02.5Z,1,REGULAR,foul,personal,['2freethrow'],1630245,,,1610612744,12,18,2021-11-13T03:34:11Z,830000,,,0,,A. Dosunmu shooting personal FOUL (1 PF) (Wiggins 2 FT),"[1630245, 203952]",1610612741.0,CHI,shooting,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,201639.0,,,,,,1.0,0.0,Wiggins,203952.0,
90,PT04M01.00S,2021-11-13T03:34:32.0Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203952,,,1610612744,13,18,2021-11-13T03:34:32Z,850000,,,0,,A. Wiggins Free Throw 1 of 2 (3 PTS),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
91,PT04M01.00S,2021-11-13T03:34:54.6Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],203952,,,1610612744,14,18,2021-11-13T03:34:54Z,860000,,,0,,A. Wiggins Free Throw 2 of 2 (4 PTS),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
