actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
47,PT08M17.00S,2022-02-28T00:51:22.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201939,76.69185282522996,13.725490196078432,1610612744,13,5,2022-02-28T00:58:46Z,470000,-181.0,167.0,1,right,S. Curry 24' 3PT running pullup (5 PTS) (G. Payton II 1 AST),"[201939, 1627780]",1610612744.0,GSW,running pullup,,,Curry,S. Curry,,,,,,,,,,,,,24.63,Made,,,,,5.0,G. Payton II,1627780.0,1.0,,,
49,PT07M50.00S,2022-02-28T00:51:49.8Z,1,REGULAR,2pt,Jump Shot,[],203939,30.699737187910642,50.73529411764706,1610612742,13,5,2022-02-28T00:52:06Z,490000,-4.0,236.0,1,left,MISS D. Powell 23' Jump Shot,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,23.61,Missed,,,,,,,,,,,
50,PT07M50.00S,2022-02-28T00:51:49.8Z,1,REGULAR,rebound,offensive,[],1627827,,,1610612742,13,5,2022-02-28T00:52:06Z,500000,,,0,,D. Finney-Smith REBOUND (Off:1 Def:0),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,49.0,1.0,0.0,1.0,,,,,,,
51,PT07M45.00S,2022-02-28T00:51:55.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628973,5.732588699080158,93.87254901960785,1610612742,13,5,2022-02-28T00:52:10Z,510000,-219.0,1.0,1,left,MISS J. Brunson 3PT,[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,,,21.94,Missed,,,,,,,,,,,
52,PT07M41.00S,2022-02-28T00:51:59.2Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,13,5,2022-02-28T00:52:10Z,520000,,,0,,S. Curry REBOUND (Off:0 Def:2),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,51.0,2.0,2.0,0.0,,,,,,,
53,PT07M36.00S,2022-02-28T00:52:07.4Z,1,REGULAR,foul,personal,[],203939,,,1610612744,13,5,2022-02-28T00:52:31Z,530000,,,0,,D. Powell personal FOUL (1 PF),"[203939, 201939]",1610612742.0,DAL,,,,Powell,D. Powell,,,,,1201.0,1.0,0.0,Curry,201939.0,,,,,,,,,,,,,,,,
55,PT07M29.00S,2022-02-28T00:52:32.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626172,93.77463863337714,49.50980392156863,1610612744,15,5,2022-02-28T01:00:10Z,550000,-2.0,6.0,1,right,K. Looney cutting DUNK (2 PTS) (S. Curry 3 AST),"[1626172, 201939]",1610612744.0,GSW,cutting,,,Looney,K. Looney,,,,,,,,,,,,,0.65,Made,,,,,2.0,S. Curry,201939.0,3.0,,,
57,PT07M28.00S,2022-02-28T00:52:40.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,15,5,2022-02-28T00:59:33Z,570000,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M16.00S,2022-02-28T00:56:20.7Z,1,REGULAR,foul,personal,['2freethrow'],1630541,,,1610612742,15,5,2022-02-28T00:56:33Z,580000,,,0,,M. Moody shooting personal FOUL (1 PF) (Doncic 2 FT),"[1630541, 1629029]",1610612744.0,GSW,shooting,,,Moody,M. Moody,,,,,1201.0,1.0,0.0,Doncic,1629029.0,,,,,,,,,,,,,,,,
60,PT07M16.00S,2022-02-28T00:56:43.1Z,1,REGULAR,freethrow,1 of 2,[],1629029,,,1610612742,15,6,2022-02-28T00:56:43Z,600000,,,0,,L. Doncic Free Throw 1 of 2 (1 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,Made,,,,,1.0,,,,,,
61,PT07M16.00S,2022-02-28T00:57:02.6Z,1,REGULAR,freethrow,2 of 2,[],1629029,,,1610612742,15,7,2022-02-28T00:57:02Z,610000,,,0,,L. Doncic Free Throw 2 of 2 (2 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,Made,,,,,2.0,,,,,,
62,PT07M05.00S,2022-02-28T00:57:12.4Z,1,REGULAR,3pt,Jump Shot,[],201939,80.50262812089356,8.823529411764707,1610612744,15,7,2022-02-28T00:57:18Z,620000,-206.0,131.0,1,right,MISS S. Curry 24' step back 3PT,[201939],1610612744.0,GSW,step back,,,Curry,S. Curry,,,,,,,,,,,,,24.39,Missed,,,,,,,,,,,
63,PT07M02.00S,2022-02-28T00:57:16.4Z,1,REGULAR,rebound,offensive,[],1630541,,,1610612744,15,7,2022-02-28T00:57:16Z,630000,,,0,,M. Moody REBOUND (Off:1 Def:0),[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,,,,,,,,,,,62.0,1.0,0.0,1.0,,,,,,,
64,PT07M01.00S,2022-02-28T00:57:20.5Z,1,REGULAR,foul,personal,[],1627827,,,1610612744,15,7,2022-02-28T01:06:53Z,640000,,,0,,D. Finney-Smith loose ball personal FOUL (1 PF),"[1627827, 1630541]",1610612742.0,DAL,loose ball,,,Finney-Smith,D. Finney-Smith,,,,,202049.0,1.0,0.0,Moody,1630541.0,,,,,,,,,,,,,,,,
66,PT06M54.00S,2022-02-28T00:57:51.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630541,91.40932982917214,5.147058823529411,1610612744,15,7,2022-02-28T00:57:59Z,660000,-224.0,28.0,1,right,MISS M. Moody 3PT,[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,,,,,,,,,22.61,Missed,,,,,,,,,,,
67,PT06M50.00S,2022-02-28T00:57:55.7Z,1,REGULAR,rebound,defensive,[],203939,,,1610612742,15,7,2022-02-28T00:57:59Z,670000,,,0,,D. Powell REBOUND (Off:1 Def:1),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,66.0,2.0,1.0,1.0,,,,,,,
68,PT06M38.00S,2022-02-28T00:58:06.6Z,1,REGULAR,3pt,Jump Shot,[],203493,26.888961892247043,21.323529411764707,1610612742,15,7,2022-02-28T00:58:24Z,680000,143.0,200.0,1,left,MISS R. Bullock 24' 3PT,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,,,,,,,24.63,Missed,,,,,,,,,,,
69,PT06M35.00S,2022-02-28T00:58:09.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612744,15,7,2022-02-28T00:58:24Z,690000,,,0,,TEAM defensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,68.0,,,,,,,,,,
70,PT06M35.00S,2022-02-28T00:58:16.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612744,15,7,2022-02-28T00:58:16Z,700000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M22.00S,2022-02-28T00:58:28.1Z,1,REGULAR,2pt,Jump Shot,[],203952,85.89027595269383,75.49019607843137,1610612744,17,7,2022-02-28T01:02:49Z,710000,127.0,80.0,1,right,A. Wiggins 15' step back Jump Shot (3 PTS),[203952],1610612744.0,GSW,step back,,,Wiggins,A. Wiggins,,,,,,,,,,,,,15.06,Made,,,,,3.0,,,,,,
72,PT06M06.00S,2022-02-28T00:58:43.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,15.062417871222076,48.529411764705884,1610612742,17,9,2022-02-28T00:59:02Z,720000,7.0,89.0,1,left,J. Brunson 8' driving floating Jump Shot (4 PTS),[1628973],1610612742.0,DAL,driving floating,,,Brunson,J. Brunson,,,,,,,,,,,,,8.94,Made,,,,,4.0,,,,,,
73,PT05M50.00S,2022-02-28T00:59:00.3Z,1,REGULAR,3pt,Jump Shot,[],203952,72.88107752956637,21.07843137254902,1610612744,20,9,2022-02-28T00:59:12Z,730000,-145.0,202.0,1,right,A. Wiggins 24' 3PT  (6 PTS) (K. Looney 1 AST),"[203952, 1626172]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,24.87,Made,,,,,6.0,K. Looney,1626172.0,1.0,,,
75,PT05M37.00S,2022-02-28T00:59:15.9Z,1,REGULAR,3pt,Jump Shot,[],1629029,25.706307490144546,79.65686274509804,1610612742,20,12,2022-02-28T01:03:49Z,750000,-148.0,189.0,1,left,L. Doncic 24' 3PT step back (5 PTS),[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,,,,,,,,,24.03,Made,,,,,5.0,,,,,,
76,PT05M21.00S,2022-02-28T00:59:29.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203952,92.9862023653088,49.50980392156863,1610612744,22,12,2022-02-28T00:59:38Z,760000,-2.0,13.0,1,right,A. Wiggins driving finger roll Layup (8 PTS),[203952],1610612744.0,GSW,driving finger roll,,,Wiggins,A. Wiggins,,,,,,,,,,,,,1.36,Made,,,,,8.0,,,,,,
77,PT05M11.00S,2022-02-28T00:59:44.3Z,1,REGULAR,turnover,out-of-bounds,[],1629029,,,1610612742,22,12,2022-02-28T01:51:45Z,770000,,,0,,L. Doncic lost ball out-of-bounds TURNOVER (4 TO),[1629029],1610612742.0,DAL,lost ball,,,Doncic,L. Doncic,,,,,1201.0,,,,,4.0,,,,,,,,,,,,,,,
78,PT05M11.00S,2022-02-28T00:59:56.0Z,1,REGULAR,substitution,out,[],1630541,,,1610612744,22,12,2022-02-28T01:00:17Z,780000,,,0,,SUB out: M. Moody,[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M11.00S,2022-02-28T00:59:56.0Z,1,REGULAR,substitution,out,[],1628973,,,1610612744,22,12,2022-02-28T01:00:17Z,790000,,,0,,SUB out: J. Brunson,[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M11.00S,2022-02-28T00:59:56.0Z,1,REGULAR,substitution,out,[],203939,,,1610612744,22,12,2022-02-28T01:00:17Z,800000,,,0,,SUB out: D. Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M11.00S,2022-02-28T00:59:56.0Z,1,REGULAR,substitution,in,[],1629673,,,1610612744,22,12,2022-02-28T01:00:17Z,810000,,,0,,SUB in: J. Poole,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M11.00S,2022-02-28T00:59:56.0Z,1,REGULAR,substitution,in,[],1628467,,,1610612744,22,12,2022-02-28T01:00:17Z,820000,,,0,,SUB in: M. Kleber,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M11.00S,2022-02-28T00:59:56.0Z,1,REGULAR,substitution,in,[],203915,,,1610612744,22,12,2022-02-28T01:00:17Z,830000,,,0,,SUB in: S. Dinwiddie,[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M52.00S,2022-02-28T01:00:18.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1627780,93.38042049934296,48.529411764705884,1610612744,22,12,2022-02-28T01:06:01Z,840000,-7.0,10.0,1,right,MISS G. Payton II driving DUNK,[1627780],1610612744.0,GSW,driving,,,Payton II,G. Payton II,,,,,,,,,,,,,1.22,Missed,,,,,,,,,,,
85,PT04M45.00S,2022-02-28T01:00:25.3Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612742,22,12,2022-02-28T01:01:15Z,850000,,,0,,D. Finney-Smith REBOUND (Off:1 Def:1),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,84.0,2.0,1.0,1.0,,,,,,,
86,PT04M42.00S,2022-02-28T01:00:28.1Z,1,REGULAR,turnover,bad pass,[],1629029,,,1610612742,22,12,2022-02-28T01:07:50Z,860000,,,0,,L. Doncic bad pass TURNOVER (5 TO),"[1629029, 203952]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,5.0,Wiggins,203952.0,,,,,,,,,,,,,
87,PT04M42.00S,2022-02-28T01:00:28.1Z,1,REGULAR,steal,,[],203952,,,1610612744,22,12,2022-02-28T01:00:31Z,870000,,,0,,A. Wiggins STEAL (2 STL),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M35.00S,2022-02-28T01:00:35.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201939,93.64323258869908,49.26470588235294,1610612744,24,12,2022-02-28T01:08:32Z,880000,-4.0,7.0,1,right,S. Curry driving reverse Layup (7 PTS) (A. Wiggins 2 AST),"[201939, 203952]",1610612744.0,GSW,driving reverse,,,Curry,S. Curry,,,,,,,,,,,,,0.82,Made,,,,,7.0,A. Wiggins,203952.0,2.0,,,
89,PT04M24.00S,2022-02-28T01:00:45.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629029,8.492115637319317,43.872549019607845,1610612742,24,12,2022-02-28T01:09:14Z,890000,31.0,27.0,1,left,MISS L. Doncic driving Layup,[1629029],1610612742.0,DAL,driving,,,Doncic,L. Doncic,,,,,,,,,,,,,4.1,Missed,,,,,,,,,,,
90,PT04M24.00S,2022-02-28T01:00:45.9Z,1,REGULAR,rebound,defensive,[],1629673,,,1610612744,24,12,2022-02-28T01:01:09Z,900000,,,0,,J. Poole REBOUND (Off:0 Def:1),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,89.0,1.0,1.0,0.0,,,,,,,
