actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
15,PT10M42.00S,2021-10-31T00:42:18.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630526,6.258212877792378,46.32352941176471,1610612760,4,2,2021-10-31T00:42:36Z,150000,18.0,6.0,1,left,J. Robinson-Earl Layup (2 PTS) (J. Giddey 1 AST),"[1630526, 1630581]",1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,1.94,Made,,,,,2.0,,,,,J. Giddey,1630581.0,1.0,,,,,,,
17,PT10M28.00S,2021-10-31T00:42:32.1Z,1,REGULAR,3pt,Jump Shot,[],203952,74.32654402102497,16.666666666666664,1610612744,7,2,2021-10-31T00:42:44Z,170000,-167.0,189.0,1,right,A. Wiggins 25' 3PT  (3 PTS) (J. Poole 1 AST),"[203952, 1629673]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,25.19,Made,,,,,3.0,,,,,J. Poole,1629673.0,1.0,,,,,,,
19,PT10M14.00S,2021-10-31T00:42:46.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629647,7.30946123521682,42.15686274509804,1610612760,7,2,2021-10-31T00:42:51Z,190000,39.0,16.0,1,left,MISS D. Bazley Jump Shot - blocked,"[1629647, 1626172]",1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,4.24,Missed,,,,,,,,,,,,,Looney,1626172.0,,,,,
20,PT10M14.00S,2021-10-31T00:42:46.8Z,1,REGULAR,block,,[],1626172,,,1610612760,7,2,2021-10-31T00:42:48Z,200000,,,0,,K. Looney BLOCK (1 BLK),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,
21,PT10M10.00S,2021-10-31T00:42:50.8Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,7,2,2021-10-31T00:42:51Z,210000,,,0,,K. Looney REBOUND (Off:1 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,19.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
22,PT10M04.00S,2021-10-31T00:42:56.9Z,1,REGULAR,3pt,Jump Shot,[],203110,71.69842312746385,23.284313725490197,1610612744,7,2,2021-10-31T00:43:04Z,220000,-134.0,214.0,1,right,MISS D. Green 25' 3PT,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,25.19,Missed,,,,,,,,,,,,,,,,,,,
23,PT10M00.00S,2021-10-31T00:43:00.9Z,1,REGULAR,rebound,defensive,[],1628983,,,1610612760,7,2,2021-10-31T00:43:04Z,230000,,,0,,S. Gilgeous-Alexander REBOUND (Off:0 Def:1),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
24,PT09M44.00S,2021-10-31T00:43:16.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,7.046649145860711,46.568627450980394,1610612760,7,4,2021-10-31T00:43:23Z,240000,17.0,14.0,1,left,S. Gilgeous-Alexander driving Layup (2 PTS),[1628983],1610612760.0,OKC,driving,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,2.2,Made,,,,,2.0,,,,,,,,,,,,,,
25,PT09M23.00S,2021-10-31T00:43:36.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203110,80.3712220762155,46.07843137254902,1610612744,9,4,2021-10-31T00:43:44Z,250000,-20.0,132.0,1,right,D. Green 13' floating Jump Shot (4 PTS) (A. Wiggins 1 AST),"[203110, 203952]",1610612744.0,GSW,floating,,,Green,D. Green,,,,,13.34,Made,,,,,4.0,,,,,A. Wiggins,203952.0,1.0,,,,,,,
27,PT09M12.00S,2021-10-31T00:43:47.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630581,11.645860709592641,35.294117647058826,1610612760,9,6,2021-10-31T00:43:57Z,270000,74.0,57.0,1,left,J. Giddey 9' driving Layup (2 PTS),[1630581],1610612760.0,OKC,driving,,,Giddey,J. Giddey,,,,,9.3,Made,,,,,2.0,,,,,,,,,,,,,,
28,PT08M53.00S,2021-10-31T00:44:07.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626172,92.32917214191852,49.50980392156863,1610612744,9,6,2021-10-31T00:44:12Z,280000,-2.0,20.0,1,right,MISS K. Looney Layup - blocked,"[1626172, 1629647]",1610612744.0,GSW,,,,Looney,K. Looney,,,,,1.98,Missed,,,,,,,,,,,,,Bazley,1629647.0,,,,,
29,PT08M53.00S,2021-10-31T00:44:07.0Z,1,REGULAR,block,,[],1629647,,,1610612744,9,6,2021-10-31T00:44:09Z,290000,,,0,,D. Bazley BLOCK (1 BLK),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT08M50.00S,2021-10-31T00:44:10.0Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,9,6,2021-10-31T00:44:12Z,300000,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
31,PT08M46.00S,2021-10-31T00:44:14.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630526,4.944152431011826,51.470588235294116,1610612760,9,8,2021-10-31T00:44:20Z,310000,-7.0,-6.0,1,left,J. Robinson-Earl Layup (4 PTS) (J. Giddey 2 AST),"[1630526, 1630581]",1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,0.95,Made,,,,,4.0,,,,,J. Giddey,1630581.0,2.0,,,,,,,
33,PT08M41.00S,2021-10-31T00:44:19.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",203110,94.03745072273325,51.71568627450981,1610612744,11,8,2021-10-31T00:44:37Z,330000,9.0,4.0,1,right,D. Green DUNK (6 PTS) (S. Curry 1 AST),"[203110, 201939]",1610612744.0,GSW,,,,Green,D. Green,,,,,0.93,Made,,,,,6.0,,,,,S. Curry,201939.0,1.0,,,,,,,
35,PT08M40.00S,2021-10-31T00:44:26.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,11,8,2021-10-31T00:44:26Z,350000,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PT08M23.00S,2021-10-31T00:47:32.8Z,1,REGULAR,3pt,Jump Shot,[],1630581,20.45006570302234,92.15686274509804,1610612760,11,8,2021-10-31T00:47:39Z,360000,-211.0,140.0,1,left,MISS J. Giddey 25' 3PT,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,25.29,Missed,,,,,,,,,,,,,,,,,,,
37,PT08M19.00S,2021-10-31T00:47:36.8Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,11,8,2021-10-31T00:47:39Z,370000,,,0,,K. Looney REBOUND (Off:1 Def:2),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,36.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
38,PT08M12.00S,2021-10-31T00:47:43.6Z,1,REGULAR,3pt,Jump Shot,[],1629673,72.7496714848883,78.43137254901961,1610612744,11,8,2021-10-31T00:47:49Z,380000,142.0,204.0,1,right,MISS J. Poole 24' 3PT,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,24.84,Missed,,,,,,,,,,,,,,,,,,,
39,PT08M09.00S,2021-10-31T00:47:46.6Z,1,REGULAR,rebound,defensive,[],1629647,,,1610612760,11,8,2021-10-31T00:47:49Z,390000,,,0,,D. Bazley REBOUND (Off:0 Def:1),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,38.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
40,PT07M54.00S,2021-10-31T00:48:03.5Z,1,REGULAR,foul,personal,['2freethrow'],201939,,,1610612760,11,8,2021-10-31T00:48:15Z,400000,,,0,,S. Curry shooting personal FOUL (1 PF) (Bazley 2 FT),"[201939, 1629647]",1610612744.0,GSW,shooting,,,Curry,S. Curry,,,,,,,,,,,,1627524.0,,,,,,,,,1.0,0.0,Bazley,1629647.0,
42,PT07M54.00S,2021-10-31T00:48:28.4Z,1,REGULAR,freethrow,1 of 2,[],1629647,,,1610612760,11,8,2021-10-31T00:48:28Z,420000,,,0,,MISS D. Bazley Free Throw 1 of 2,[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,Missed,,,,,,,,,,,,,,,,,,,
43,PT07M54.00S,2021-10-31T00:48:28.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612760,11,8,2021-10-31T00:48:28Z,430000,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,42.0,,,,,,,,,,,,,,,,,,
44,PT07M54.00S,2021-10-31T00:48:41.9Z,1,REGULAR,freethrow,2 of 2,[],1629647,,,1610612760,11,9,2021-10-31T00:48:41Z,440000,,,0,,D. Bazley Free Throw 2 of 2 (1 PTS),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
45,PT07M36.00S,2021-10-31T00:49:03.0Z,1,REGULAR,foul,personal,['2freethrow'],1629652,,,1610612744,11,9,2021-10-31T00:49:11Z,450000,,,0,,L. Dort shooting personal FOUL (1 PF) (Looney 2 FT),"[1629652, 1626172]",1610612760.0,OKC,shooting,,,Dort,L. Dort,,,,,,,,,,,,1627524.0,,,,,,,,,1.0,0.0,Looney,1626172.0,
47,PT07M36.00S,2021-10-31T00:49:30.1Z,1,REGULAR,freethrow,1 of 2,[],1626172,,,1610612744,11,9,2021-10-31T00:49:30Z,470000,,,0,,MISS K. Looney Free Throw 1 of 2,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,Missed,,,,,,,,,,,,,,,,,,,
48,PT07M36.00S,2021-10-31T00:49:30.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612744,11,9,2021-10-31T00:49:30Z,480000,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,47.0,,,,,,,,,,,,,,,,,,
49,PT07M36.00S,2021-10-31T00:49:43.7Z,1,REGULAR,freethrow,2 of 2,[],1626172,,,1610612744,12,9,2021-10-31T00:49:43Z,490000,,,0,,K. Looney Free Throw 2 of 2 (3 PTS),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,Made,,,,,3.0,,,,,,,,,,,,,,
50,PT07M27.00S,2021-10-31T00:49:56.2Z,1,REGULAR,3pt,Jump Shot,[],1630526,23.603810775295663,13.725490196078432,1610612760,12,9,2021-10-31T00:50:02Z,500000,181.0,169.0,1,left,MISS J. Robinson-Earl 24' 3PT,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,24.82,Missed,,,,,,,,,,,,,,,,,,,
51,PT07M23.00S,2021-10-31T00:50:00.2Z,1,REGULAR,rebound,defensive,[],1629673,,,1610612744,12,9,2021-10-31T00:50:02Z,510000,,,0,,J. Poole REBOUND (Off:0 Def:1),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,50.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
52,PT07M13.00S,2021-10-31T00:50:10.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203952,86.94152431011827,43.38235294117647,1610612744,12,9,2021-10-31T00:50:17Z,520000,-33.0,70.0,1,right,MISS A. Wiggins 7' pullup Shot,[203952],1610612744.0,GSW,pullup,,,Wiggins,A. Wiggins,,,,,7.76,Missed,,,,,,,,,,,,,,,,,,,
53,PT07M10.00S,2021-10-31T00:50:13.2Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,12,9,2021-10-31T00:50:17Z,530000,,,0,,J. Giddey REBOUND (Off:0 Def:2),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,52.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
54,PT07M02.00S,2021-10-31T00:50:21.3Z,1,REGULAR,3pt,Jump Shot,[],1628983,31.35676741130092,53.18627450980392,1610612760,12,9,2021-10-31T00:50:29Z,540000,-16.0,242.0,1,left,MISS S. Gilgeous-Alexander 24' pullup 3PT,[1628983],1610612760.0,OKC,pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,24.28,Missed,,,,,,,,,,,,,,,,,,,
55,PT06M58.00S,2021-10-31T00:50:25.3Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,12,9,2021-10-31T00:50:29Z,550000,,,0,,S. Curry REBOUND (Off:0 Def:1),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,54.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
56,PT06M55.00S,2021-10-31T00:50:33.3Z,1,REGULAR,turnover,out-of-bounds,[],201939,,,1610612744,12,9,2021-10-31T00:50:48Z,560000,,,0,,S. Curry bad pass out-of-bounds TURNOVER (1 TO),[201939],1610612744.0,GSW,bad pass,,,Curry,S. Curry,,,,,,,,,,,,202027.0,1.0,,,,,,,,,,,,
57,PT06M45.00S,2021-10-31T00:50:54.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629652,30.699737187910642,37.5,1610612760,12,9,2021-10-31T00:51:01Z,570000,62.0,236.0,1,left,MISS L. Dort 24' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,24.42,Missed,,,,,,,,,,,,,,,,,,,
58,PT06M40.00S,2021-10-31T00:50:59.5Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,12,9,2021-10-31T00:51:01Z,580000,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,57.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
59,PT06M33.00S,2021-10-31T00:51:06.5Z,1,REGULAR,3pt,Jump Shot,[],201939,74.06373193166885,82.59803921568627,1610612744,12,9,2021-10-31T00:51:14Z,590000,163.0,191.0,1,right,MISS S. Curry 25' step back 3PT,[201939],1610612744.0,GSW,step back,,,Curry,S. Curry,,,,,25.13,Missed,,,,,,,,,,,,,,,,,,,
60,PT06M30.00S,2021-10-31T00:51:10.3Z,1,REGULAR,rebound,offensive,[],1629673,,,1610612744,12,9,2021-10-31T00:51:10Z,600000,,,0,,J. Poole REBOUND (Off:1 Def:1),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,59.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
61,PT06M29.00S,2021-10-31T00:51:11.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201939,94.56307490144546,94.6078431372549,1610612744,12,9,2021-10-31T00:51:17Z,610000,223.0,-1.0,1,right,MISS S. Curry 3PT,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,22.3,Missed,,,,,,,,,,,,,,,,,,,
62,PT06M29.00S,2021-10-31T00:51:11.1Z,1,REGULAR,rebound,defensive,[],1630526,,,1610612760,12,9,2021-10-31T00:51:17Z,620000,,,0,,J. Robinson-Earl REBOUND (Off:0 Def:1),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,61.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
63,PT06M15.00S,2021-10-31T00:51:24.4Z,1,REGULAR,3pt,Jump Shot,[],1629647,18.478975032851512,92.40196078431373,1610612760,12,9,2021-10-31T00:51:30Z,630000,-212.0,121.0,1,left,MISS D. Bazley 24' 3PT,[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,24.42,Missed,,,,,,,,,,,,,,,,,,,
64,PT06M13.00S,2021-10-31T00:51:26.4Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,12,9,2021-10-31T00:51:30Z,640000,,,0,,K. Looney REBOUND (Off:1 Def:3),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,63.0,4.0,3.0,1.0,,,,,,,,,,,,,,,
65,PT06M03.00S,2021-10-31T00:51:36.6Z,1,REGULAR,3pt,Jump Shot,[],203110,91.27792378449409,94.36274509803921,1610612744,15,9,2021-10-31T00:51:42Z,650000,222.0,29.0,1,right,D. Green 3PT  (9 PTS) (S. Curry 2 AST),"[203110, 201939]",1610612744.0,GSW,,,,Green,D. Green,,,,,22.38,Made,,,,,9.0,,,,,S. Curry,201939.0,2.0,,,,,,,
67,PT05M46.00S,2021-10-31T00:51:53.9Z,1,REGULAR,3pt,Jump Shot,[],1629652,25.706307490144546,79.90196078431373,1610612760,15,12,2021-10-31T00:52:00Z,670000,-150.0,189.0,1,left,L. Dort 24' 3PT  (3 PTS) (S. Gilgeous-Alexander 1 AST),"[1629652, 1628983]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,24.11,Made,,,,,3.0,,,,,S. Gilgeous-Alexander,1628983.0,1.0,,,,,,,
69,PT05M35.00S,2021-10-31T00:52:05.3Z,1,REGULAR,3pt,Jump Shot,[],201939,71.69842312746385,72.54901960784314,1610612744,18,12,2021-10-31T00:52:13Z,690000,113.0,214.0,1,right,S. Curry 24' 3PT  (3 PTS) (J. Poole 2 AST),"[201939, 1629673]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,24.14,Made,,,,,3.0,,,,,J. Poole,1629673.0,2.0,,,,,,,
71,PT05M16.00S,2021-10-31T00:52:23.9Z,1,REGULAR,3pt,Jump Shot,[],1629647,20.18725361366623,10.294117647058822,1610612760,18,12,2021-10-31T00:52:29Z,710000,199.0,137.0,1,left,MISS D. Bazley 24' 3PT,[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,24.14,Missed,,,,,,,,,,,,,,,,,,,
72,PT05M13.00S,2021-10-31T00:52:26.9Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,18,12,2021-10-31T00:52:29Z,720000,,,0,,D. Green REBOUND (Off:0 Def:2),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,71.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
73,PT05M10.00S,2021-10-31T00:52:29.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629673,93.24901445466492,46.81372549019608,1610612744,20,12,2021-10-31T00:53:15Z,730000,-16.0,11.0,1,right,J. Poole running Layup (2 PTS) (D. Green 1 AST),"[1629673, 203110]",1610612744.0,GSW,running,,,Poole,J. Poole,,,,,1.93,Made,,,,,2.0,,,,,D. Green,203110.0,1.0,,,,,,,
75,PT04M56.00S,2021-10-31T00:52:43.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630526,8.492115637319317,45.588235294117645,1610612760,20,12,2021-10-31T00:52:50Z,750000,22.0,27.0,1,left,MISS J. Robinson-Earl Layup - blocked,"[1630526, 1626172]",1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,3.51,Missed,,,,,,,,,,,,,Looney,1626172.0,,,,,
76,PT04M56.00S,2021-10-31T00:52:43.2Z,1,REGULAR,block,,[],1626172,,,1610612760,20,12,2021-10-31T00:52:45Z,760000,,,0,,K. Looney BLOCK (2 BLK),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT04M53.00S,2021-10-31T00:52:46.2Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,20,12,2021-10-31T00:52:50Z,770000,,,0,,S. Curry REBOUND (Off:0 Def:2),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,75.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
78,PT04M50.00S,2021-10-31T00:52:50.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629673,73.9323258869908,16.42156862745098,1610612744,20,12,2021-10-31T00:52:57Z,780000,-168.0,193.0,1,right,MISS J. Poole 25' 3PT,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,25.54,Missed,,,,,,,,,,,,,,,,,,,
79,PT04M46.00S,2021-10-31T00:52:54.1Z,1,REGULAR,rebound,defensive,[],1629647,,,1610612760,20,12,2021-10-31T00:52:57Z,790000,,,0,,D. Bazley REBOUND (Off:0 Def:2),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,78.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
80,PT04M38.00S,2021-10-31T00:53:03.7Z,1,REGULAR,foul,personal,['2freethrow'],1626172,,,1610612760,20,12,2021-10-31T00:53:13Z,800000,,,0,,K. Looney shooting personal FOUL (1 PF) (Bazley 2 FT),"[1626172, 1629647]",1610612744.0,GSW,shooting,,,Looney,K. Looney,,,,,,,,,,,,1627524.0,,,,,,,,,1.0,0.0,Bazley,1629647.0,
82,PT04M38.00S,2021-10-31T00:53:33.4Z,1,REGULAR,freethrow,1 of 2,[],1629647,,,1610612760,20,13,2021-10-31T00:53:33Z,820000,,,0,,D. Bazley Free Throw 1 of 2 (2 PTS),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,Made,,,,,2.0,,,,,,,,,,,,,,
83,PT04M38.00S,2021-10-31T00:53:34.1Z,1,REGULAR,substitution,out,[],201939,,,1610612760,20,13,2021-10-31T00:53:53Z,830000,,,0,,SUB out: S. Curry,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M38.00S,2021-10-31T00:53:34.1Z,1,REGULAR,substitution,out,[],1626172,,,1610612760,20,13,2021-10-31T00:53:53Z,840000,,,0,,SUB out: K. Looney,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M38.00S,2021-10-31T00:53:34.1Z,1,REGULAR,substitution,out,[],1629652,,,1610612760,20,13,2021-10-31T00:53:53Z,850000,,,0,,SUB out: L. Dort,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M38.00S,2021-10-31T00:53:34.1Z,1,REGULAR,substitution,out,[],1630526,,,1610612760,20,13,2021-10-31T00:53:53Z,860000,,,0,,SUB out: J. Robinson-Earl,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M38.00S,2021-10-31T00:53:34.1Z,1,REGULAR,substitution,in,[],1629185,,,1610612760,20,13,2021-10-31T00:53:53Z,870000,,,0,,SUB in: C. Chiozza,[1629185],1610612744.0,GSW,,,,Chiozza,C. Chiozza,,,,,,,,,,,,,,,,,,,,,,,,,
