actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value,blockPlayerName,blockPersonId
17,PT10M43.00S,2021-11-04T02:15:51.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626179,7.046649145860711,94.36274509803921,1610612766,3,3,2021-11-04T02:15:55Z,170000,-222.0,14.0,1,left,MISS T. Rozier turnaround 3PT,[1626179],1610612766.0,CHA,turnaround,,,Rozier,T. Rozier,,,,,22.22,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M40.00S,2021-11-04T02:15:55.8Z,1,REGULAR,rebound,offensive,[],203486,,,1610612766,3,3,2021-11-04T02:15:55Z,180000,,,0,,M. Plumlee REBOUND (Off:1 Def:0),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,17.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
19,PT10M39.00S,2021-11-04T02:15:56.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626179,2.447437582128778,93.87254901960785,1610612766,3,3,2021-11-04T02:15:58Z,190000,-219.0,-29.0,1,left,MISS T. Rozier 3PT,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,22.14,Missed,,,,,,,,,,,,,,,,,,,
20,PT10M36.00S,2021-11-04T02:15:58.9Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,3,3,2021-11-04T02:15:58Z,200000,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
21,PT10M31.00S,2021-11-04T02:16:04.1Z,1,REGULAR,3pt,Jump Shot,[],203952,73.9323258869908,14.215686274509803,1610612744,3,3,2021-11-04T02:16:08Z,210000,-179.0,193.0,1,right,MISS A. Wiggins 26' 3PT,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,26.28,Missed,,,,,,,,,,,,,,,,,,,
22,PT10M29.00S,2021-11-04T02:16:06.1Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,3,3,2021-11-04T02:18:48Z,220000,,,0,,L. Ball REBOUND (Off:0 Def:1),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
23,PT10M13.00S,2021-11-04T02:16:21.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630163,8.229303547963205,39.21568627450981,1610612766,3,3,2021-11-04T02:23:14Z,230000,54.0,25.0,1,left,MISS L. Ball driving floating bank Shot,[1630163],1610612766.0,CHA,driving floating bank,,,Ball,L. Ball,,,,,5.94,Missed,,,,,,,,,,,,,,,,,,,
24,PT10M11.00S,2021-11-04T02:16:23.5Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,3,3,2021-11-04T02:17:18Z,240000,,,0,,K. Looney REBOUND (Off:0 Def:2),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,23.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
25,PT10M09.00S,2021-11-04T02:16:27.3Z,1,REGULAR,turnover,out-of-bounds,[],201939,,,1610612744,3,3,2021-11-04T02:16:29Z,250000,,,0,,S. Curry bad pass out-of-bounds TURNOVER (1 TO),[201939],1610612744.0,GSW,bad pass,,,Curry,S. Curry,,,,,,,,,,,,,,,1204.0,1.0,,,,,,,,,
26,PT10M00.00S,2021-11-04T02:16:40.8Z,1,REGULAR,turnover,bad pass,[],1626179,,,1610612766,3,3,2021-11-04T02:16:42Z,260000,,,0,,T. Rozier bad pass TURNOVER (1 TO),"[1626179, 1626172]",1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,1.0,Looney,1626172.0,,,,,,,
27,PT10M00.00S,2021-11-04T02:16:40.8Z,1,REGULAR,steal,,[],1626172,,,1610612744,3,3,2021-11-04T02:17:12Z,270000,,,0,,K. Looney STEAL (1 STL),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,
28,PT09M55.00S,2021-11-04T02:16:45.7Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629673,76.42904073587385,9.803921568627452,1610612744,3,3,2021-11-04T02:17:14Z,280000,-201.0,169.0,1,right,MISS J. Poole 26' running 3PT,[1629673],1610612744.0,GSW,running,,,Poole,J. Poole,,,,,26.27,Missed,,,,,,,,,,,,,,,,,,,
29,PT09M53.00S,2021-11-04T02:16:47.7Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,3,3,2021-11-04T02:17:14Z,290000,,,0,,L. Ball REBOUND (Off:0 Def:2),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,28.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
30,PT09M42.00S,2021-11-04T02:17:02.0Z,1,REGULAR,foul,personal,[],1626172,,,1610612766,3,3,2021-11-04T02:17:04Z,300000,,,0,,K. Looney personal FOUL (1 PF),"[1626172, 202330]",1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,1155.0,,,,1.0,0.0,Hayward,202330.0,,,
32,PT09M36.00S,2021-11-04T02:17:24.8Z,1,REGULAR,2pt,Jump Shot,[],202330,10.775295663600525,33.76225490196079,1610612766,3,3,2021-11-04T02:17:42Z,320000,81.0,49.0,1,left,MISS G. Hayward 9' driving floating Shot,[202330],1610612766.0,CHA,driving floating,,,Hayward,G. Hayward,,,,,9.47,Missed,,,,,,,,,,,,,,,,,,,
33,PT09M34.00S,2021-11-04T02:17:26.8Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,3,3,2021-11-04T02:17:53Z,330000,,,0,,S. Curry REBOUND (Off:0 Def:1),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,32.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
34,PT09M30.00S,2021-11-04T02:17:33.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612744,3,3,2021-11-04T02:17:33Z,340000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PT09M27.00S,2021-11-04T02:17:49.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612744,3,3,2021-11-04T02:17:49Z,350000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PT09M23.00S,2021-11-04T02:18:05.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629673,89.17542706964521,62.5,1610612744,5,3,2021-11-04T02:18:22Z,360000,62.0,49.0,1,right,J. Poole 7' cutting Layup (5 PTS) (S. Curry 1 AST),"[1629673, 201939]",1610612744.0,GSW,cutting,,,Poole,J. Poole,,,,,7.96,Made,,,,,5.0,S. Curry,201939.0,1.0,,,,,,,,,,,
38,PT09M12.00S,2021-11-04T02:18:17.1Z,1,REGULAR,2pt,Jump Shot,[],1630163,16.63929040735874,27.205882352941174,1610612766,5,5,2021-11-04T02:18:20Z,380000,114.0,104.0,1,left,L. Ball 15' pullup Jump Shot (2 PTS),[1630163],1610612766.0,CHA,pullup,,,Ball,L. Ball,,,,,15.42,Made,,,,,2.0,,,,,,,,,,,,,,
39,PT09M00.00S,2021-11-04T02:18:27.6Z,1,REGULAR,turnover,bad pass,[],201939,,,1610612744,5,5,2021-11-04T02:18:29Z,390000,,,0,,S. Curry bad pass TURNOVER (2 TO),"[201939, 203486]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,2.0,Plumlee,203486.0,,,,,,,
40,PT09M00.00S,2021-11-04T02:18:27.6Z,1,REGULAR,steal,,[],203486,,,1610612766,5,5,2021-11-04T02:18:30Z,400000,,,0,,M. Plumlee STEAL (1 STL),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT08M58.00S,2021-11-04T02:18:32.3Z,1,REGULAR,foul,personal,[],203952,,,1610612766,5,5,2021-11-04T02:18:35Z,410000,,,0,,A. Wiggins personal FOUL (1 PF),"[203952, 202330]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,1155.0,,,,1.0,0.0,Hayward,202330.0,,,
43,PT08M40.00S,2021-11-04T02:19:10.4Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",203486,14.011169513797633,45.34313725490196,1610612766,5,5,2021-11-04T02:19:14Z,430000,23.0,79.0,1,left,MISS M. Plumlee 8' driving Hook,[203486],1610612766.0,CHA,driving,,,Plumlee,M. Plumlee,,,,,8.26,Missed,,,,,,,,,,,,,,,,,,,
44,PT08M38.00S,2021-11-04T02:19:12.4Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,5,5,2021-11-04T02:20:10Z,440000,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,43.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
45,PT08M34.00S,2021-11-04T02:19:17.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201939,72.48685939553219,89.70588235294117,1610612744,5,5,2021-11-04T02:19:55Z,450000,199.0,206.0,1,right,MISS S. Curry 28' 3PT,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,28.61,Missed,,,,,,,,,,,,,,,,,,,
46,PT08M32.00S,2021-11-04T02:19:19.4Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,5,5,2021-11-04T02:20:06Z,460000,,,0,,M. Plumlee REBOUND (Off:1 Def:1),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,45.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
47,PT08M18.00S,2021-11-04T02:19:34.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202330,8.754927726675426,51.71568627450981,1610612766,5,7,2021-11-04T02:19:37Z,470000,-9.0,30.0,1,left,G. Hayward cutting Layup (2 PTS) (T. Rozier 1 AST),"[202330, 1626179]",1610612766.0,CHA,cutting,,,Hayward,G. Hayward,,,,,3.1,Made,,,,,2.0,T. Rozier,1626179.0,1.0,,,,,,,,,,,
49,PT07M58.00S,2021-11-04T02:19:54.1Z,1,REGULAR,foul,personal,['2freethrow'],203486,,,1610612744,5,7,2021-11-04T02:20:00Z,490000,,,0,,M. Plumlee shooting personal FOUL (1 PF) (Looney 2 FT),"[203486, 1626172]",1610612766.0,CHA,shooting,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,1155.0,,,,1.0,0.0,Looney,1626172.0,,,
51,PT07M58.00S,2021-11-04T02:20:19.7Z,1,REGULAR,freethrow,1 of 2,[],1626172,,,1610612744,5,7,2021-11-04T02:20:19Z,510000,,,0,,MISS K. Looney Free Throw 1 of 2,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,Missed,,,,,,,,,,,,,,,,,,,
52,PT07M58.00S,2021-11-04T02:20:19.7Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612744,5,7,2021-11-04T02:20:19Z,520000,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,51.0,,,,,,,,,,,,,,,,,,
53,PT07M58.00S,2021-11-04T02:20:34.2Z,1,REGULAR,freethrow,2 of 2,[],1626172,,,1610612744,5,7,2021-11-04T02:20:34Z,530000,,,0,,MISS K. Looney Free Throw 2 of 2,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,Missed,,,,,,,,,,,,,,,,,,,
54,PT07M57.00S,2021-11-04T02:20:35.1Z,1,REGULAR,rebound,defensive,[],202330,,,1610612766,5,7,2021-11-04T02:20:35Z,540000,,,0,,G. Hayward REBOUND (Off:0 Def:1),[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,53.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
55,PT07M44.00S,2021-11-04T02:20:51.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612766,5,7,2021-11-04T02:20:51Z,550000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M37.00S,2021-11-04T02:21:09.2Z,1,REGULAR,2pt,Jump Shot,[],1626179,11.251642575558476,29.166666666666668,1610612766,5,7,2021-11-04T02:21:13Z,560000,104.0,53.0,1,left,MISS T. Rozier 11' step back Shot,[1626179],1610612766.0,CHA,step back,,,Rozier,T. Rozier,,,,,11.7,Missed,,,,,,,,,,,,,,,,,,,
57,PT07M35.00S,2021-11-04T02:21:11.2Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,5,7,2021-11-04T02:22:01Z,570000,,,0,,K. Looney REBOUND (Off:0 Def:3),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,56.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
58,PT07M28.00S,2021-11-04T02:21:17.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201939,78.9257555847569,8.088235294117647,1610612744,5,7,2021-11-04T02:21:22Z,580000,-210.0,146.0,1,right,MISS S. Curry 25' 3PT,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,25.52,Missed,,,,,,,,,,,,,,,,,,,
59,PT07M26.00S,2021-11-04T02:21:19.3Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,5,7,2021-11-04T02:22:07Z,590000,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,58.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
60,PT07M16.00S,2021-11-04T02:21:29.1Z,1,REGULAR,3pt,Jump Shot,[],1630163,25.18068331143233,86.76470588235294,1610612766,5,7,2021-11-04T02:21:32Z,600000,-184.0,184.0,1,left,MISS L. Ball 26' step back 3PT,[1630163],1610612766.0,CHA,step back,,,Ball,L. Ball,,,,,26.02,Missed,,,,,,,,,,,,,,,,,,,
61,PT07M14.00S,2021-11-04T02:21:31.1Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,5,7,2021-11-04T02:21:54Z,610000,,,0,,S. Curry REBOUND (Off:0 Def:2),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,60.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
62,PT07M05.00S,2021-11-04T02:21:40.6Z,1,REGULAR,turnover,bad pass,[],203110,,,1610612744,5,7,2021-11-04T02:21:43Z,620000,,,0,,D. Green bad pass TURNOVER (1 TO),"[203110, 1630163]",1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,1.0,Ball,1630163.0,,,,,,,
63,PT07M05.00S,2021-11-04T02:21:40.6Z,1,REGULAR,steal,,[],1630163,,,1610612766,5,7,2021-11-04T02:21:43Z,630000,,,0,,L. Ball STEAL (1 STL),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT07M04.00S,2021-11-04T02:21:44.4Z,1,REGULAR,foul,personal,['2freethrow'],1629673,,,1610612766,5,7,2021-11-04T02:23:56Z,640000,,,0,,J. Poole clear-path personal FOUL (1 PF) (Ball 2 FT),"[1629673, 1630163]",1610612744.0,GSW,clear-path,,,Poole,J. Poole,,,,,,,,,,,,,,,1155.0,,,,1.0,0.0,Ball,1630163.0,,,
66,PT07M04.00S,2021-11-04T02:22:15.4Z,1,REGULAR,instantreplay,request,[],0,,,1610612766,5,7,2021-11-04T02:23:33Z,660000,,,0,,,[],,,overturned,,,,,,,,,,,,,,,,,,,1155.0,,,,,,,,Clear Path - Overturn Call,,
67,PT07M04.00S,2021-11-04T02:23:58.2Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1630163,,,1610612766,5,8,2021-11-04T02:23:58Z,670000,,,0,,L. Ball clear-path Free Throw 1 of 2 (3 PTS),[1630163],1610612766.0,CHA,clear-path,,,Ball,L. Ball,,,,,,Made,,,,,3.0,,,,,,,,,,,,,,
68,PT07M04.00S,2021-11-04T02:24:07.5Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1630163,,,1610612766,5,9,2021-11-04T02:24:07Z,680000,,,0,,L. Ball clear-path Free Throw 2 of 2 (4 PTS),[1630163],1610612766.0,CHA,clear-path,,,Ball,L. Ball,,,,,,Made,,,,,4.0,,,,,,,,,,,,,,
69,PT06M44.00S,2021-11-04T02:24:43.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612744,5,9,2021-11-04T02:24:43Z,690000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M41.00S,2021-11-04T02:24:59.3Z,1,REGULAR,turnover,bad pass,[],1630163,,,1610612766,5,9,2021-11-04T02:25:00Z,700000,,,0,,L. Ball bad pass TURNOVER (1 TO),"[1630163, 1629673]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,1.0,Poole,1629673.0,,,,,,,
71,PT06M41.00S,2021-11-04T02:24:59.3Z,1,REGULAR,steal,,[],1629673,,,1610612744,5,9,2021-11-04T02:25:01Z,710000,,,0,,J. Poole STEAL (1 STL),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M36.00S,2021-11-04T02:25:05.1Z,1,REGULAR,turnover,bad pass,[],201939,,,1610612744,5,9,2021-11-04T02:25:06Z,720000,,,0,,S. Curry bad pass TURNOVER (3 TO),"[201939, 1630163]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,3.0,Ball,1630163.0,,,,,,,
73,PT06M36.00S,2021-11-04T02:25:05.1Z,1,REGULAR,steal,,[],1630163,,,1610612766,5,9,2021-11-04T02:25:07Z,730000,,,0,,L. Ball STEAL (2 STL),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M30.00S,2021-11-04T02:25:11.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1626179,6.915243101182654,4.901960784313726,1610612766,5,9,2021-11-04T02:25:15Z,740000,225.0,13.0,1,left,MISS T. Rozier 3PT,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,22.58,Missed,,,,,,,,,,,,,,,,,,,
75,PT06M28.00S,2021-11-04T02:25:13.5Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,5,9,2021-11-04T02:28:46Z,750000,,,0,,K. Looney REBOUND (Off:0 Def:4),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,74.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
76,PT06M25.00S,2021-11-04T02:25:16.0Z,1,REGULAR,turnover,bad pass,[],1626172,,,1610612744,5,9,2021-11-04T02:25:17Z,760000,,,0,,K. Looney bad pass TURNOVER (1 TO),"[1626172, 1628970]",1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,1.0,Bridges,1628970.0,,,,,,,
77,PT06M25.00S,2021-11-04T02:25:16.0Z,1,REGULAR,steal,,[],1628970,,,1610612766,5,9,2021-11-04T02:25:18Z,770000,,,0,,M. Bridges STEAL (1 STL),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M19.00S,2021-11-04T02:25:21.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626179,14.668199737187912,56.86274509803921,1610612766,5,9,2021-11-04T02:25:25Z,780000,-34.0,85.0,1,left,MISS T. Rozier 9' driving Layup,[1626179],1610612766.0,CHA,driving,,,Rozier,T. Rozier,,,,,9.2,Missed,,,,,,,,,,,,,,,,,,,
79,PT06M17.00S,2021-11-04T02:25:23.9Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,5,9,2021-11-04T02:28:31Z,790000,,,0,,D. Green REBOUND (Off:0 Def:2),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,78.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
80,PT06M06.00S,2021-11-04T02:25:35.0Z,1,REGULAR,3pt,Jump Shot,[],1629673,89.04402102496715,95.34313725490196,1610612744,8,9,2021-11-04T02:25:37Z,800000,227.0,50.0,1,right,J. Poole 3PT  (8 PTS) (D. Green 2 AST),"[1629673, 203110]",1610612744.0,GSW,,,,Poole,J. Poole,,,,,23.23,Made,,,,,8.0,D. Green,203110.0,2.0,,,,,,,,,,,
82,PT05M46.00S,2021-11-04T02:25:54.4Z,1,REGULAR,3pt,Jump Shot,[],1628970,29.517082785808146,76.47058823529412,1610612766,8,12,2021-11-04T02:25:59Z,820000,-132.0,225.0,1,left,M. Bridges 26' 3PT pullup (6 PTS) (M. Plumlee 1 AST),"[1628970, 203486]",1610612766.0,CHA,pullup,,,Bridges,M. Bridges,,,,,26.11,Made,,,,,6.0,M. Plumlee,203486.0,1.0,,,,,,,,,,,
84,PT05M27.00S,2021-11-04T02:26:13.7Z,1,REGULAR,turnover,lost ball,[],1626172,,,1610612744,8,12,2021-11-04T02:26:16Z,840000,,,0,,K. Looney lost ball TURNOVER (2 TO),"[1626172, 203486]",1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,2.0,Plumlee,203486.0,,,,,,,
85,PT05M27.00S,2021-11-04T02:26:13.7Z,1,REGULAR,steal,,[],203486,,,1610612766,8,12,2021-11-04T02:28:36Z,850000,,,0,,M. Plumlee STEAL (2 STL),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M23.00S,2021-11-04T02:26:18.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1626179,7.5722733245729295,43.38235294117647,1610612766,8,12,2021-11-04T02:26:21Z,860000,33.0,19.0,1,left,MISS T. Rozier Layup,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,3.8,Missed,,,,,,,,,,,,,,,,,,,
87,PT05M21.00S,2021-11-04T02:26:20.4Z,1,REGULAR,rebound,offensive,[],1630163,,,1610612766,8,12,2021-11-04T02:28:24Z,870000,,,0,,L. Ball REBOUND (Off:1 Def:2),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,86.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
88,PT05M17.00S,2021-11-04T02:26:23.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630163,5.590000152587891,50.0,1610612766,8,14,2021-11-04T02:26:23Z,880000,0.0,0.0,1,left,L. Ball putback Layup (6 PTS),[1630163],1610612766.0,CHA,putback,,,Ball,L. Ball,,,,,0.0,Made,,,,,6.0,,,,,,,,,,,,,,
