actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
19,PT10M38.00S,2022-01-21T03:04:27.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626172,92.19776609724047,56.127450980392155,1610612744,4,3,2022-01-21T03:04:30Z,190000,31.0,21.0,1,right,K. Looney reverse Layup (2 PTS) (S. Curry 2 AST),"[1626172, 201939]",1610612744.0,GSW,reverse,,,Looney,K. Looney,,,,,3.7,Made,,2.0,S. Curry,201939.0,2.0,,,,,,,,,,,,,,
21,PT10M22.00S,2022-01-21T03:04:42.9Z,1,REGULAR,turnover,bad pass,[],203200,,,1610612754,4,3,2022-01-21T03:04:44Z,210000,,,0,,J. Holiday bad pass TURNOVER (1 TO),"[203200, 1626172]",1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,1.0,Looney,1626172.0,,,
22,PT10M22.00S,2022-01-21T03:04:42.9Z,1,REGULAR,steal,,[],1626172,,,1610612744,4,3,2022-01-21T03:04:44Z,220000,,,0,,K. Looney STEAL (1 STL),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,
23,PT10M19.00S,2022-01-21T03:04:47.9Z,1,REGULAR,foul,personal,['2freethrow'],1630537,,,1610612744,4,3,2022-01-21T03:04:56Z,230000,,,0,,C. Duarte shooting personal FOUL (1 PF) (Kuminga 2 FT),"[1630537, 1630228]",1610612754.0,IND,shooting,,,Duarte,C. Duarte,,,,,,,,,,,,,,,201246.0,1.0,0.0,Kuminga,1630228.0,,,,,,
25,PT10M19.00S,2022-01-21T03:05:17.7Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1630228,,,1610612744,5,3,2022-01-21T03:05:17Z,250000,,,0,,J. Kuminga Free Throw 1 of 2 (1 PTS),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,Made,,1.0,,,,,,,,,,,,,,,,,
26,PT10M19.00S,2022-01-21T03:05:34.1Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1630228,,,1610612744,6,3,2022-01-21T03:05:34Z,260000,,,0,,J. Kuminga Free Throw 2 of 2 (2 PTS),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,Made,,2.0,,,,,,,,,,,,,,,,,
27,PT10M14.00S,2022-01-21T03:05:41.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626208,22.946780551905388,12.254901960784313,1610612754,6,3,2022-01-21T03:05:45Z,270000,189.0,163.0,1,left,MISS K. Sykes 24' running pullup 3PT,[1626208],1610612754.0,IND,running pullup,,,Sykes,K. Sykes,,,,,24.95,Missed,,,,,,,,,,,,,,,,,,,
28,PT10M12.00S,2022-01-21T03:05:43.3Z,1,REGULAR,rebound,defensive,[],1630228,,,1610612744,6,3,2022-01-21T03:06:14Z,280000,,,0,,J. Kuminga REBOUND (Off:0 Def:1),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,27.0,,,,,1.0,1.0,0.0,,,,,,,,,,,
29,PT10M05.00S,2022-01-21T03:05:51.6Z,1,REGULAR,foul,personal,['2freethrow'],1628470,,,1610612744,6,3,2022-01-21T03:06:00Z,290000,,,0,,T. Craig shooting personal FOUL (1 PF) (Kuminga 2 FT),"[1628470, 1630228]",1610612754.0,IND,shooting,,,Craig,T. Craig,,,,,,,,,,,,,,,1628171.0,1.0,0.0,Kuminga,1630228.0,,,,,,
31,PT10M05.00S,2022-01-21T03:06:16.6Z,1,REGULAR,freethrow,1 of 2,[],1630228,,,1610612744,7,3,2022-01-21T03:06:16Z,310000,,,0,,J. Kuminga Free Throw 1 of 2 (3 PTS),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,Made,,3.0,,,,,,,,,,,,,,,,,
32,PT10M05.00S,2022-01-21T03:06:31.0Z,1,REGULAR,freethrow,2 of 2,[],1630228,,,1610612744,7,3,2022-01-21T03:06:31Z,320000,,,0,,MISS J. Kuminga Free Throw 2 of 2,[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,Missed,,,,,,,,,,,,,,,,,,,
33,PT10M05.00S,2022-01-21T03:06:32.6Z,1,REGULAR,rebound,offensive,[],1626172,,,1610612744,7,3,2022-01-21T03:06:32Z,330000,,,0,,K. Looney REBOUND (Off:1 Def:0),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,32.0,,,,,1.0,0.0,1.0,,,,,,,,,,,
34,PT10M04.00S,2022-01-21T03:06:36.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203952,73.53810775295663,11.519607843137255,1610612744,7,3,2022-01-21T03:06:38Z,340000,-192.0,196.0,1,right,MISS A. Wiggins 27' 3PT,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,27.48,Missed,,,,,,,,,,,,,,,,,,,
35,PT10M01.00S,2022-01-21T03:06:39.5Z,1,REGULAR,rebound,defensive,[],203200,,,1610612754,7,3,2022-01-21T03:06:39Z,350000,,,0,,J. Holiday REBOUND (Off:0 Def:1),[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,34.0,,,,,1.0,1.0,0.0,,,,,,,,,,,
36,PT09M56.00S,2022-01-21T03:06:44.9Z,1,REGULAR,3pt,Jump Shot,[],1629048,27.677398160315374,18.38235294117647,1610612754,7,3,2022-01-21T03:06:48Z,360000,158.0,208.0,1,left,MISS G. Bitadze 26' 3PT,[1629048],1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,26.1,Missed,,,,,,,,,,,,,,,,,,,
37,PT09M54.00S,2022-01-21T03:06:46.9Z,1,REGULAR,rebound,defensive,[],1630228,,,1610612744,7,3,2022-01-21T03:07:38Z,370000,,,0,,J. Kuminga REBOUND (Off:0 Def:2),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,36.0,,,,,2.0,2.0,0.0,,,,,,,,,,,
38,PT09M44.00S,2022-01-21T03:06:56.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201939,92.9862023653088,56.372549019607845,1610612744,7,3,2022-01-21T03:07:35Z,380000,32.0,13.0,1,right,MISS S. Curry driving reverse Layup - blocked,"[201939, 1629048]",1610612744.0,GSW,driving reverse,,,Curry,S. Curry,,,,,3.46,Missed,,,,,,,,,,,,,,,,,Bitadze,1629048.0,
39,PT09M44.00S,2022-01-21T03:06:56.6Z,1,REGULAR,block,,[],1629048,,,1610612744,7,3,2022-01-21T03:07:00Z,390000,,,0,,G. Bitadze BLOCK (1 BLK),[1629048],1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT09M42.00S,2022-01-21T03:06:58.6Z,1,REGULAR,rebound,defensive,[],1626208,,,1610612754,7,3,2022-01-21T03:07:35Z,400000,,,0,,K. Sykes REBOUND (Off:0 Def:1),[1626208],1610612754.0,IND,,,,Sykes,K. Sykes,,,,,,,38.0,,,,,1.0,1.0,0.0,,,,,,,,,,,
41,PT09M38.00S,2022-01-21T03:07:02.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630537,8.492115637319317,55.88235294117647,1610612754,7,3,2022-01-21T03:07:50Z,410000,-29.0,27.0,1,left,MISS C. Duarte driving Layup,[1630537],1610612754.0,IND,driving,,,Duarte,C. Duarte,,,,,4.01,Missed,,,,,,,,,,,,,,,,,,,
42,PT09M36.00S,2022-01-21T03:07:04.5Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,7,3,2022-01-21T03:07:43Z,420000,,,0,,K. Looney REBOUND (Off:1 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,41.0,,,,,2.0,1.0,1.0,,,,,,,,,,,
43,PT09M26.00S,2022-01-21T03:07:14.4Z,1,REGULAR,2pt,Jump Shot,[],203952,83.78777923784494,70.58823529411765,1610612744,9,3,2022-01-21T03:07:17Z,430000,103.0,100.0,1,right,A. Wiggins 14' step back Jump Shot (2 PTS),[203952],1610612744.0,GSW,step back,,,Wiggins,A. Wiggins,,,,,14.34,Made,,2.0,,,,,,,,,,,,,,,,,
44,PT09M12.00S,2022-01-21T03:07:30.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612754,9,3,2022-01-21T03:07:30Z,440000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT09M02.00S,2022-01-21T03:07:53.2Z,1,REGULAR,2pt,Jump Shot,[],1630537,8.09789750328515,15.686274509803921,1610612754,9,5,2022-01-21T03:07:58Z,450000,172.0,24.0,1,left,C. Duarte 17' pullup Jump Shot (2 PTS),[1630537],1610612754.0,IND,pullup,,,Duarte,C. Duarte,,,,,17.32,Made,,2.0,,,,,,,,,,,,,,,,,
46,PT08M48.00S,2022-01-21T03:08:08.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202691,90.3580814717477,45.83333333333333,1610612744,9,5,2022-01-21T03:08:46Z,460000,-21.0,38.0,1,right,MISS K. Thompson reverse Layup,[202691],1610612744.0,GSW,reverse,,,Thompson,K. Thompson,,,,,4.34,Missed,,,,,,,,,,,,,,,,,,,
47,PT08M45.00S,2022-01-21T03:08:11.3Z,1,REGULAR,rebound,defensive,[],1628470,,,1610612754,9,5,2022-01-21T03:08:46Z,470000,,,0,,T. Craig REBOUND (Off:0 Def:1),[1628470],1610612754.0,IND,,,,Craig,T. Craig,,,,,,,46.0,,,,,1.0,1.0,0.0,,,,,,,,,,,
48,PT08M39.00S,2022-01-21T03:08:17.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203200,28.203022339027594,76.7156862745098,1610612754,9,5,2022-01-21T03:08:19Z,480000,-134.0,213.0,1,left,MISS J. Holiday 25' 3PT,[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,25.11,Missed,,,,,,,,,,,,,,,,,,,
49,PT08M36.00S,2022-01-21T03:08:19.9Z,1,REGULAR,rebound,offensive,[],1626208,,,1610612754,9,5,2022-01-21T03:08:19Z,490000,,,0,,K. Sykes REBOUND (Off:1 Def:1),[1626208],1610612754.0,IND,,,,Sykes,K. Sykes,,,,,,,48.0,,,,,2.0,1.0,1.0,,,,,,,,,,,
50,PT08M33.00S,2022-01-21T03:08:24.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629048,7.30946123521682,44.11764705882353,1610612754,9,7,2022-01-21T03:08:27Z,500000,29.0,16.0,1,left,G. Bitadze reverse Layup (5 PTS) (K. Sykes 1 AST),"[1629048, 1626208]",1610612754.0,IND,reverse,,,Bitadze,G. Bitadze,,,,,3.36,Made,,5.0,K. Sykes,1626208.0,1.0,,,,,,,,,,,,,,
52,PT08M33.00S,2022-01-21T03:08:28.8Z,1,REGULAR,foul,personal,['1freethrow'],1630228,,,1610612754,9,7,2022-01-21T03:08:51Z,520000,,,0,,J. Kuminga shooting personal FOUL (1 PF) (Bitadze 1 FT),"[1630228, 1629048]",1610612744.0,GSW,shooting,,,Kuminga,J. Kuminga,,,,,,,,,,,,,,,2714.0,1.0,0.0,Bitadze,1629048.0,,,,,,
54,PT08M33.00S,2022-01-21T03:09:03.7Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1629048,,,1610612754,9,8,2022-01-21T03:09:03Z,540000,,,0,,G. Bitadze Free Throw 1 of 1 (6 PTS),[1629048],1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,,Made,,6.0,,,,,,,,,,,,,,,,,
55,PT08M21.00S,2022-01-21T03:09:18.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201939,91.80354796320631,45.588235294117645,1610612744,11,8,2022-01-21T03:09:21Z,550000,-22.0,25.0,1,right,S. Curry driving finger roll Layup (2 PTS),[201939],1610612744.0,GSW,driving finger roll,,,Curry,S. Curry,,,,,3.3,Made,,2.0,,,,,,,,,,,,,,,,,
56,PT08M05.00S,2022-01-21T03:09:33.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626208,8.492115637319317,42.15686274509804,1610612754,11,8,2022-01-21T03:09:35Z,560000,39.0,27.0,1,left,MISS K. Sykes cutting Layup,[1626208],1610612754.0,IND,cutting,,,Sykes,K. Sykes,,,,,4.78,Missed,,,,,,,,,,,,,,,,,,,
57,PT08M02.00S,2022-01-21T03:09:36.6Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,11,8,2022-01-21T03:09:36Z,570000,,,0,,S. Curry REBOUND (Off:0 Def:1),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,56.0,,,,,1.0,1.0,0.0,,,,,,,,,,,
58,PT07M59.00S,2022-01-21T03:09:39.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",202691,92.32917214191852,60.049019607843135,1610612744,13,8,2022-01-21T03:11:16Z,580000,50.0,20.0,1,right,K. Thompson running reverse Layup (4 PTS) (J. Kuminga 1 AST),"[202691, 1630228]",1610612744.0,GSW,running reverse,,,Thompson,K. Thompson,,,,,5.39,Made,,4.0,J. Kuminga,1630228.0,1.0,,,,,,,,,,,,,,
60,PT07M43.00S,2022-01-21T03:09:55.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630537,8.09789750328515,57.107843137254896,1610612754,13,10,2022-01-21T03:09:59Z,600000,-36.0,24.0,1,left,C. Duarte driving Layup (4 PTS) (G. Bitadze 1 AST),"[1630537, 1629048]",1610612754.0,IND,driving,,,Duarte,C. Duarte,,,,,4.26,Made,,4.0,G. Bitadze,1629048.0,1.0,,,,,,,,,,,,,,
62,PT07M30.00S,2022-01-21T03:10:09.1Z,1,REGULAR,3pt,Jump Shot,[],203952,76.42904073587385,11.029411764705882,1610612744,13,10,2022-01-21T03:10:12Z,620000,-195.0,169.0,1,right,MISS A. Wiggins 25' 3PT,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,25.8,Missed,,,,,,,,,,,,,,,,,,,
63,PT07M28.00S,2022-01-21T03:10:11.1Z,1,REGULAR,rebound,offensive,[],1630228,,,1610612744,13,10,2022-01-21T03:10:31Z,630000,,,0,,J. Kuminga REBOUND (Off:1 Def:2),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,62.0,,,,,3.0,2.0,1.0,,,,,,,,,,,
64,PT07M26.00S,2022-01-21T03:10:15.2Z,1,REGULAR,foul,personal,['2freethrow'],203200,,,1610612744,13,10,2022-01-21T03:10:22Z,640000,,,0,,J. Holiday shooting personal FOUL (1 PF) (Kuminga 2 FT),"[203200, 1630228]",1610612754.0,IND,shooting,,,Holiday,J. Holiday,,,,,,,,,,,,,,,2714.0,1.0,0.0,Kuminga,1630228.0,,,,,,
66,PT07M26.00S,2022-01-21T03:10:40.9Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630228,,,1610612744,14,10,2022-01-21T03:10:40Z,660000,,,0,,J. Kuminga Free Throw 1 of 2 (4 PTS),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,Made,,4.0,,,,,,,,,,,,,,,,,
67,PT07M26.00S,2022-01-21T03:10:59.1Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630228,,,1610612744,15,10,2022-01-21T03:10:59Z,670000,,,0,,J. Kuminga Free Throw 2 of 2 (5 PTS),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,Made,,5.0,,,,,,,,,,,,,,,,,
68,PT07M11.00S,2022-01-21T03:11:15.4Z,1,REGULAR,2pt,Jump Shot,[],203200,5.863994743758213,27.696078431372552,1610612754,15,12,2022-01-21T03:11:18Z,680000,112.0,3.0,1,left,J. Holiday 11' pullup Jump Shot (2 PTS) (K. Sykes 2 AST),"[203200, 1626208]",1610612754.0,IND,pullup,,,Holiday,J. Holiday,,,,,11.15,Made,,2.0,K. Sykes,1626208.0,2.0,,,,,,,,,,,,,,
70,PT06M59.00S,2022-01-21T03:11:27.3Z,1,REGULAR,3pt,Jump Shot,[],202691,69.07030223390277,69.85294117647058,1610612744,15,12,2022-01-21T03:11:30Z,700000,99.0,238.0,1,right,MISS K. Thompson 25' pullup 3PT,[202691],1610612744.0,GSW,pullup,,,Thompson,K. Thompson,,,,,25.81,Missed,,,,,,,,,,,,,,,,,,,
71,PT06M56.00S,2022-01-21T03:11:31.3Z,1,REGULAR,rebound,defensive,[],1628470,,,1610612754,15,12,2022-01-21T03:11:31Z,710000,,,0,,T. Craig REBOUND (Off:0 Def:2),[1628470],1610612754.0,IND,,,,Craig,T. Craig,,,,,,,70.0,,,,,2.0,2.0,0.0,,,,,,,,,,,
72,PT06M49.00S,2022-01-21T03:11:37.5Z,1,REGULAR,3pt,Jump Shot,[],1628470,31.225361366622867,24.754901960784316,1610612754,15,12,2022-01-21T03:11:40Z,720000,126.0,241.0,1,left,MISS T. Craig 27' 3PT,[1628470],1610612754.0,IND,,,,Craig,T. Craig,,,,,27.2,Missed,,,,,,,,,,,,,,,,,,,
73,PT06M47.00S,2022-01-21T03:11:39.5Z,1,REGULAR,rebound,defensive,[],1630228,,,1610612744,15,12,2022-01-21T03:12:00Z,730000,,,0,,J. Kuminga REBOUND (Off:1 Def:3),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,72.0,,,,,4.0,3.0,1.0,,,,,,,,,,,
74,PT06M39.00S,2022-01-21T03:11:52.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612744,15,12,2022-01-21T03:11:52Z,740000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M39.00S,2022-01-21T03:11:55.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,15,12,2022-01-21T03:11:55Z,750000,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M39.00S,2022-01-21T03:13:23.6Z,1,REGULAR,substitution,out,[],202691,,,1610612744,15,12,2022-01-21T03:15:08Z,760000,,,0,,SUB out: K. Thompson,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M39.00S,2022-01-21T03:13:23.6Z,1,REGULAR,substitution,in,[],1627780,,,1610612744,15,12,2022-01-21T03:15:08Z,770000,,,0,,SUB in: G. Payton II,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M32.00S,2022-01-21T03:15:26.0Z,1,REGULAR,turnover,lost ball,[],1626172,,,1610612744,15,12,2022-01-21T03:15:27Z,780000,,,0,,K. Looney lost ball TURNOVER (1 TO),"[1626172, 1630537]",1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,1.0,Duarte,1630537.0,,,
79,PT06M32.00S,2022-01-21T03:15:26.0Z,1,REGULAR,steal,,[],1630537,,,1610612754,15,12,2022-01-21T03:15:28Z,790000,,,0,,C. Duarte STEAL (1 STL),[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M26.00S,2022-01-21T03:15:31.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629048,7.703679369250986,53.18627450980392,1610612754,15,14,2022-01-21T03:15:35Z,800000,-16.0,20.0,1,left,G. Bitadze running DUNK (8 PTS) (C. Duarte 2 AST),"[1629048, 1630537]",1610612754.0,IND,running,,,Bitadze,G. Bitadze,,,,,2.55,Made,,8.0,C. Duarte,1630537.0,2.0,,,,,,,,,,,,,,
82,PT06M05.00S,2022-01-21T03:15:52.1Z,1,REGULAR,3pt,Jump Shot,[],201939,69.20170827858082,72.30392156862744,1610612744,18,14,2022-01-21T03:15:55Z,820000,112.0,237.0,1,right,S. Curry 26' 3PT pullup (5 PTS) (J. Kuminga 2 AST),"[201939, 1630228]",1610612744.0,GSW,pullup,,,Curry,S. Curry,,,,,26.19,Made,,5.0,J. Kuminga,1630228.0,2.0,,,,,,,,,,,,,,
84,PT05M53.00S,2022-01-21T03:16:06.7Z,1,REGULAR,foul,personal,[],201939,,,1610612754,18,14,2022-01-21T03:16:09Z,840000,,,0,,S. Curry personal FOUL (1 PF),"[201939, 1628470]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,201246.0,1.0,0.0,Craig,1628470.0,,,,,,
86,PT05M52.00S,2022-01-21T03:16:23.8Z,1,REGULAR,3pt,Jump Shot,[],203200,28.728646517739815,18.38235294117647,1610612754,18,17,2022-01-21T03:16:26Z,860000,158.0,218.0,1,left,J. Holiday 26' 3PT  (5 PTS) (C. Duarte 3 AST),"[203200, 1630537]",1610612754.0,IND,,,,Holiday,J. Holiday,,,,,26.89,Made,,5.0,C. Duarte,1630537.0,3.0,,,,,,,,,,,,,,
88,PT05M35.00S,2022-01-21T03:16:41.3Z,1,REGULAR,foul,personal,['2freethrow'],1628470,,,1610612744,18,17,2022-01-21T03:16:47Z,880000,,,0,,T. Craig shooting personal FOUL (2 PF) (Looney 2 FT),"[1628470, 1626172]",1610612754.0,IND,shooting,,,Craig,T. Craig,,,,,,,,,,,,,,,201246.0,2.0,0.0,Looney,1626172.0,,,,,,
90,PT05M35.00S,2022-01-21T03:17:05.8Z,1,REGULAR,freethrow,1 of 2,[],1626172,,,1610612744,19,17,2022-01-21T03:17:05Z,900000,,,0,,K. Looney Free Throw 1 of 2 (3 PTS),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,Made,,3.0,,,,,,,,,,,,,,,,,
91,PT05M35.00S,2022-01-21T03:17:06.5Z,1,REGULAR,substitution,out,[],1630228,,,1610612744,19,17,2022-01-21T03:17:17Z,910000,,,0,,SUB out: J. Kuminga,[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT05M35.00S,2022-01-21T03:17:06.5Z,1,REGULAR,substitution,out,[],1628470,,,1610612744,19,17,2022-01-21T03:17:17Z,920000,,,0,,SUB out: T. Craig,[1628470],1610612754.0,IND,,,,Craig,T. Craig,,,,,,,,,,,,,,,,,,,,,,,,,
