actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
18,PT10M58.00S,2021-10-29T02:13:02.4Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,2,2,2021-10-29T02:13:52Z,180000,,,0,,S. Adams REBOUND (Off:0 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,17.0,,,,,,,,,,1.0,1.0,0.0,,,,,,
19,PT10M55.00S,2021-10-29T02:13:05.7Z,1,REGULAR,turnover,bad pass,[],203500,,,1610612763,2,2,2021-10-29T02:13:07Z,190000,,,0,,S. Adams bad pass TURNOVER (1 TO),"[203500, 1629673]",1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,1.0,Poole,1629673.0,,,,,,,,,,,,,,,
20,PT10M55.00S,2021-10-29T02:13:05.7Z,1,REGULAR,steal,,[],1629673,,,1610612744,2,2,2021-10-29T02:13:08Z,200000,,,0,,J. Poole STEAL (1 STL),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,
21,PT10M39.00S,2021-10-29T02:13:21.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203110,18.084756898817346,48.529411764705884,1610612744,2,2,2021-10-29T02:13:25Z,210000,7.0,117.0,1,left,MISS D. Green 11' driving floating Shot,[203110],1610612744.0,GSW,driving floating,,,Green,D. Green,,,,,11.77,Missed,,,,,,,,,,,,,,,,,,,
22,PT10M37.00S,2021-10-29T02:13:23.8Z,1,REGULAR,rebound,offensive,[],203110,,,1610612744,2,2,2021-10-29T02:13:57Z,220000,,,0,,D. Green REBOUND (Off:1 Def:0),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,21.0,,,,,,,,,,1.0,0.0,1.0,,,,,,
23,PT10M34.00S,2021-10-29T02:13:27.7Z,1,REGULAR,foul,personal,['3freethrow'],1629001,,,1610612744,2,2,2021-10-29T02:13:38Z,230000,,,0,,D. Melton shooting personal FOUL (1 PF) (Curry 3 FT),"[1629001, 201939]",1610612763.0,MEM,shooting,,,Melton,D. Melton,,,,,,,,,,,,200833.0,1.0,0.0,Curry,201939.0,,,,,,,,,
25,PT10M34.00S,2021-10-29T02:13:59.1Z,1,REGULAR,freethrow,1 of 3,"['fromturnover', '2ndchance']",201939,,,1610612744,3,2,2021-10-29T02:13:59Z,250000,,,0,,S. Curry Free Throw 1 of 3 (1 PTS),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
26,PT10M34.00S,2021-10-29T02:14:12.2Z,1,REGULAR,freethrow,2 of 3,"['fromturnover', '2ndchance']",201939,,,1610612744,4,2,2021-10-29T02:14:12Z,260000,,,0,,S. Curry Free Throw 2 of 3 (2 PTS),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,Made,,,,,2.0,,,,,,,,,,,,,,
27,PT10M34.00S,2021-10-29T02:14:27.9Z,1,REGULAR,freethrow,3 of 3,"['fromturnover', '2ndchance']",201939,,,1610612744,5,2,2021-10-29T02:14:27Z,270000,,,0,,S. Curry Free Throw 3 of 3 (3 PTS),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,Made,,,,,3.0,,,,,,,,,,,,,,
28,PT10M15.00S,2021-10-29T02:14:49.0Z,1,REGULAR,3pt,Jump Shot,[],1629001,72.09264126149803,78.67647058823529,1610612763,5,2,2021-10-29T02:14:51Z,280000,143.0,210.0,1,right,MISS D. Melton 25' 3PT,[1629001],1610612763.0,MEM,,,,Melton,D. Melton,,,,,25.41,Missed,,,,,,,,,,,,,,,,,,,
29,PT10M12.00S,2021-10-29T02:14:52.0Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,5,2,2021-10-29T02:14:52Z,290000,,,0,,D. Green REBOUND (Off:1 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,28.0,,,,,,,,,,2.0,1.0,1.0,,,,,,
30,PT10M06.00S,2021-10-29T02:14:56.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",201939,7.835085413929041,52.94117647058824,1610612744,7,2,2021-10-29T02:16:16Z,300000,-15.0,21.0,1,left,S. Curry Layup (5 PTS) (D. Green 1 AST),"[201939, 203110]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,2.57,Made,,,,,5.0,,,,,,,,,D. Green,203110.0,1.0,,,
32,PT10M06.00S,2021-10-29T02:15:01.8Z,1,REGULAR,foul,personal,['1freethrow'],1628991,,,1610612744,7,2,2021-10-29T02:16:08Z,320000,,,0,,J. Jackson Jr. shooting personal FOUL (1 PF) (Curry 1 FT),"[1628991, 201939]",1610612763.0,MEM,shooting,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,1662.0,1.0,0.0,Curry,201939.0,,,,,,,,,
34,PT10M06.00S,2021-10-29T02:15:27.5Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],201939,,,1610612744,8,2,2021-10-29T02:15:27Z,340000,,,0,,S. Curry Free Throw 1 of 1 (6 PTS),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,Made,,,,,6.0,,,,,,,,,,,,,,
35,PT09M51.00S,2021-10-29T02:15:45.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203500,87.33574244415243,42.8921568627451,1610612763,8,4,2021-10-29T02:15:49Z,350000,-36.0,67.0,1,right,S. Adams 7' Hook (4 PTS),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,7.54,Made,,,,,4.0,,,,,,,,,,,,,,
36,PT09M38.00S,2021-10-29T02:15:57.7Z,1,REGULAR,turnover,lost ball,[],1629673,,,1610612744,8,4,2021-10-29T02:15:59Z,360000,,,0,,J. Poole lost ball TURNOVER (1 TO),"[1629673, 1630217]",1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,1.0,Bane,1630217.0,,,,,,,,,,,,,,,
37,PT09M38.00S,2021-10-29T02:15:57.7Z,1,REGULAR,steal,,[],1630217,,,1610612763,8,4,2021-10-29T02:16:07Z,370000,,,0,,D. Bane STEAL (1 STL),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT09M27.00S,2021-10-29T02:16:09.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629630,83.5742444152431,32.506127450980394,1610612763,8,6,2021-10-29T02:16:18Z,380000,-87.0,102.0,1,right,J. Morant 13' step back Jump Shot (2 PTS),[1629630],1610612763.0,MEM,step back,,,Morant,J. Morant,,,,,13.43,Made,,,,,2.0,,,,,,,,,,,,,,
39,PT09M20.00S,2021-10-29T02:16:21.1Z,1,REGULAR,foul,offensive,[],1626172,,,1610612744,8,6,2021-10-29T02:16:39Z,390000,,,0,,K. Looney offensive FOUL (1 PF),"[1626172, 1629001]",1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,1662.0,1.0,0.0,Melton,1629001.0,,,,,,,,,
41,PT09M20.00S,2021-10-29T02:16:21.1Z,1,REGULAR,turnover,offensive foul,[],1626172,,,1610612744,8,6,2021-10-29T02:16:21Z,410000,,,0,,K. Looney offensive foul TURNOVER (1 TO),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,1.0,,,,1662.0,,,,,,,,,,,,,
42,PT09M05.00S,2021-10-29T02:16:49.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628991,89.43823915900131,96.56862745098039,1610612763,8,6,2021-10-29T02:16:51Z,420000,233.0,47.0,1,right,MISS J. Jackson Jr. 3PT,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,23.75,Missed,,,,,,,,,,,,,,,,,,,
43,PT09M02.00S,2021-10-29T02:16:52.1Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,8,6,2021-10-29T02:16:52Z,430000,,,0,,S. Curry REBOUND (Off:0 Def:1),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,42.0,,,,,,,,,,1.0,1.0,0.0,,,,,,
44,PT08M50.00S,2021-10-29T02:17:04.8Z,1,REGULAR,3pt,Jump Shot,[],203952,20.18725361366623,91.42156862745098,1610612744,8,6,2021-10-29T02:17:07Z,440000,-207.0,137.0,1,left,MISS A. Wiggins 24' 3PT,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,24.85,Missed,,,,,,,,,,,,,,,,,,,
45,PT08M47.00S,2021-10-29T02:17:08.6Z,1,REGULAR,rebound,offensive,[],1626172,,,1610612744,8,6,2021-10-29T02:17:08Z,450000,,,0,,K. Looney REBOUND (Off:1 Def:0),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,44.0,,,,,,,,,,1.0,0.0,1.0,,,,,,
46,PT08M43.00S,2021-10-29T02:17:12.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203952,10.726018396846255,46.07843137254902,1610612744,8,6,2021-10-29T02:17:15Z,460000,20.0,48.0,1,left,MISS A. Wiggins driving Layup,[203952],1610612744.0,GSW,driving,,,Wiggins,A. Wiggins,,,,,5.21,Missed,,,,,,,,,,,,,,,,,,,
47,PT08M41.00S,2021-10-29T02:17:14.7Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,8,6,2021-10-29T02:19:18Z,470000,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,46.0,,,,,,,,,,1.0,1.0,0.0,,,,,,
48,PT08M34.00S,2021-10-29T02:17:21.7Z,1,REGULAR,3pt,Jump Shot,[],1628991,64.99671484888306,32.59803921568628,1610612763,8,6,2021-10-29T02:17:26Z,480000,-87.0,277.0,1,right,MISS J. Jackson Jr. 28' 3PT,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,28.99,Missed,,,,,,,,,,,,,,,,,,,
49,PT08M32.00S,2021-10-29T02:17:23.7Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,8,6,2021-10-29T02:18:00Z,490000,,,0,,K. Looney REBOUND (Off:1 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,48.0,,,,,,,,,,2.0,1.0,1.0,,,,,,
50,PT08M22.00S,2021-10-29T02:17:33.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626172,9.674770039421814,53.92156862745098,1610612744,10,6,2021-10-29T02:17:39Z,500000,-20.0,38.0,1,left,K. Looney cutting DUNK (2 PTS) (J. Poole 1 AST),"[1626172, 1629673]",1610612744.0,GSW,cutting,,,Looney,K. Looney,,,,,4.31,Made,,,,,2.0,,,,,,,,,J. Poole,1629673.0,1.0,,,
52,PT08M04.00S,2021-10-29T02:17:52.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203500,92.32917214191852,49.26470588235294,1610612763,10,8,2021-10-29T02:17:54Z,520000,-4.0,20.0,1,right,S. Adams DUNK (6 PTS) (J. Morant 1 AST),"[203500, 1629630]",1610612763.0,MEM,,,,Adams,S. Adams,,,,,1.99,Made,,,,,6.0,,,,,,,,,J. Morant,1629630.0,1.0,,,
54,PT07M51.00S,2021-10-29T02:18:05.4Z,1,REGULAR,3pt,Jump Shot,[],201939,28.33442838370565,17.647058823529413,1610612744,13,8,2021-10-29T02:18:09Z,540000,162.0,214.0,1,left,S. Curry 26' 3PT step back (9 PTS),[201939],1610612744.0,GSW,step back,,,Curry,S. Curry,,,,,26.81,Made,,,,,9.0,,,,,,,,,,,,,,
55,PT07M38.00S,2021-10-29T02:18:17.7Z,1,REGULAR,turnover,bad pass,[],203500,,,1610612763,13,8,2021-10-29T02:18:19Z,550000,,,0,,S. Adams bad pass TURNOVER (2 TO),"[203500, 203110]",1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,2.0,Green,203110.0,,,,,,,,,,,,,,,
56,PT07M38.00S,2021-10-29T02:18:17.7Z,1,REGULAR,steal,,[],203110,,,1610612744,13,8,2021-10-29T02:18:19Z,560000,,,0,,D. Green STEAL (1 STL),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M35.00S,2021-10-29T02:18:21.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629673,7.178055190538765,55.14705882352941,1610612744,15,8,2021-10-29T02:18:24Z,570000,-26.0,15.0,1,left,J. Poole Layup (4 PTS) (D. Green 2 AST),"[1629673, 203110]",1610612744.0,GSW,,,,Poole,J. Poole,,,,,2.98,Made,,,,,4.0,,,,,,,,,D. Green,203110.0,2.0,,,
118,PT07M11.00S,2021-10-29T02:18:36.4Z,1,REGULAR,turnover,lost ball,[],1628991,,,1610612763,15,8,2021-10-29T02:30:12Z,585000,,,0,,J. Jackson Jr. lost ball TURNOVER (1 TO),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,1.0,,,,,,,,,,,,,,,,,
59,PT07M11.00S,2021-10-29T02:18:51.4Z,1,REGULAR,foul,personal,[],1628991,,,1610612744,15,8,2021-10-29T02:30:12Z,590000,,,0,,J. Jackson Jr. loose ball personal FOUL (2 PF),"[1628991, 203110]",1610612763.0,MEM,loose ball,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,200833.0,2.0,0.0,Green,203110.0,,,,,,,,,
62,PT07M11.00S,2021-10-29T02:19:05.0Z,1,REGULAR,substitution,out,[],1628991,,,1610612744,15,8,2021-10-29T02:30:12Z,620000,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT07M11.00S,2021-10-29T02:19:05.0Z,1,REGULAR,substitution,in,[],203937,,,1610612744,15,8,2021-10-29T02:30:12Z,630000,,,0,,SUB in: K. Anderson,[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M57.00S,2021-10-29T02:19:30.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201939,19.398817345597898,3.6764705882352944,1610612744,15,8,2021-10-29T02:19:34Z,640000,232.0,130.0,1,left,MISS S. Curry 26' 3PT,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,26.55,Missed,,,,,,,,,,,,,,,,,,,
65,PT06M55.00S,2021-10-29T02:19:32.7Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,15,8,2021-10-29T02:20:12Z,650000,,,0,,J. Morant REBOUND (Off:0 Def:1),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,64.0,,,,,,,,,,1.0,1.0,0.0,,,,,,
66,PT06M49.00S,2021-10-29T02:19:38.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629630,70.64717477003943,78.43137254901961,1610612763,15,8,2021-10-29T02:22:46Z,660000,142.0,223.0,1,right,MISS J. Morant 26' pullup 3PT,[1629630],1610612763.0,MEM,pullup,,,Morant,J. Morant,,,,,26.48,Missed,,,,,,,,,,,,,,,,,,,
67,PT06M47.00S,2021-10-29T02:19:40.5Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,15,8,2021-10-29T02:20:04Z,670000,,,0,,D. Green REBOUND (Off:1 Def:2),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,66.0,,,,,,,,,,3.0,2.0,1.0,,,,,,
68,PT06M42.00S,2021-10-29T02:19:46.8Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",203952,7.440867279894875,49.754901960784316,1610612744,17,8,2021-10-29T02:19:54Z,680000,1.0,17.0,1,left,A. Wiggins running DUNK (2 PTS) (D. Green 3 AST),"[203952, 203110]",1610612744.0,GSW,running,,,Wiggins,A. Wiggins,,,,,1.74,Made,,,,,2.0,,,,,,,,,D. Green,203110.0,3.0,,,
70,PT06M42.00S,2021-10-29T02:19:56.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,17,8,2021-10-29T02:28:24Z,700000,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M42.00S,2021-10-29T02:20:27.7Z,1,REGULAR,substitution,out,[],1630217,,,1610612763,17,8,2021-10-29T02:22:50Z,710000,,,0,,SUB out: D. Bane,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M42.00S,2021-10-29T02:20:27.7Z,1,REGULAR,substitution,in,[],1630533,,,1610612763,17,8,2021-10-29T02:22:50Z,720000,,,0,,SUB in: Z. Williams,[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M23.00S,2021-10-29T02:23:05.4Z,1,REGULAR,foul,personal,['2freethrow'],1626172,,,1610612763,17,8,2021-10-29T02:23:57Z,730000,,,0,,K. Looney shooting personal FOUL (2 PF) (Adams 2 FT),"[1626172, 203500]",1610612744.0,GSW,shooting,,,Looney,K. Looney,,,,,,,,,,,,1662.0,2.0,0.0,Adams,203500.0,,,,,,,,,
75,PT06M23.00S,2021-10-29T02:23:29.6Z,1,REGULAR,freethrow,1 of 2,[],203500,,,1610612763,17,9,2021-10-29T02:24:03Z,750000,,,0,,S. Adams Free Throw 1 of 2 (7 PTS),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,Made,,,,,7.0,,,,,,,,,,,,,,
76,PT06M23.00S,2021-10-29T02:23:30.5Z,1,REGULAR,substitution,out,[],1626172,,,1610612763,17,9,2021-10-29T02:23:36Z,760000,,,0,,SUB out: K. Looney,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M23.00S,2021-10-29T02:23:30.5Z,1,REGULAR,substitution,in,[],202357,,,1610612763,17,9,2021-10-29T02:23:36Z,770000,,,0,,SUB in: N. Bjelica,[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M23.00S,2021-10-29T02:23:29.6Z,1,REGULAR,freethrow,2 of 2,[],203500,,,1610612763,17,10,2021-10-29T02:24:03Z,780000,,,0,,S. Adams Free Throw 2 of 2 (8 PTS),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,Made,,,,,8.0,,,,,,,,,,,,,,
79,PT06M06.00S,2021-10-29T02:24:10.8Z,1,REGULAR,3pt,Jump Shot,[],203952,34.510512483574246,41.17647058823529,1610612744,20,10,2021-10-29T02:24:12Z,790000,44.0,272.0,1,left,A. Wiggins 27' 3PT  (5 PTS) (S. Curry 1 AST),"[203952, 201939]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,27.55,Made,,,,,5.0,,,,,,,,,S. Curry,201939.0,1.0,,,
81,PT05M51.00S,2021-10-29T02:24:26.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203937,83.52496714848883,43.627450980392155,1610612763,20,12,2021-10-29T02:24:30Z,810000,-32.0,102.0,1,right,K. Anderson 10' driving floating Jump Shot (2 PTS),[203937],1610612763.0,MEM,driving floating,,,Anderson,K. Anderson,,,,,10.73,Made,,,,,2.0,,,,,,,,,,,,,,
82,PT05M41.00S,2021-10-29T02:24:36.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203952,6.389618922470433,47.549019607843135,1610612744,20,12,2021-10-29T02:24:39Z,820000,12.0,8.0,1,left,MISS A. Wiggins cutting Layup - blocked,"[203952, 203937]",1610612744.0,GSW,cutting,,,Wiggins,A. Wiggins,,,,,1.45,Missed,,,,,,,,,,,,,,,,,Anderson,203937.0,
155,PT05M41.00S,2021-10-29T02:24:36.1Z,1,REGULAR,block,,[],203937,,,1610612744,20,12,2021-10-29T02:34:31Z,825000,,,0,,K. Anderson BLOCK (1 BLK),[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M39.00S,2021-10-29T02:24:38.1Z,1,REGULAR,rebound,defensive,[],1629001,,,1610612763,20,12,2021-10-29T02:25:05Z,830000,,,0,,D. Melton REBOUND (Off:0 Def:1),[1629001],1610612763.0,MEM,,,,Melton,D. Melton,,,,,,,82.0,,,,,,,,,,1.0,1.0,0.0,,,,,,
84,PT05M36.00S,2021-10-29T02:24:41.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630533,88.51839684625493,95.58823529411765,1610612763,20,12,2021-10-29T02:24:46Z,840000,228.0,55.0,1,right,MISS Z. Williams 3PT,[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,23.45,Missed,,,,,,,,,,,,,,,,,,,
85,PT05M33.00S,2021-10-29T02:24:47.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,20,12,2021-10-29T02:24:48Z,850000,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,84.0,,,,,,,,,,,,,,,,,,
86,PT05M33.00S,2021-10-29T02:24:53.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612763,20,12,2021-10-29T02:24:53Z,860000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M33.00S,2021-10-29T02:24:53.9Z,1,REGULAR,substitution,out,[],1629673,,,1610612763,20,12,2021-10-29T02:24:57Z,870000,,,0,,SUB out: J. Poole,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M33.00S,2021-10-29T02:24:53.9Z,1,REGULAR,substitution,in,[],1627780,,,1610612763,20,12,2021-10-29T02:24:57Z,880000,,,0,,SUB in: G. Payton II,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M29.00S,2021-10-29T02:25:11.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203500,89.96386333771353,55.63725490196079,1610612763,20,12,2021-10-29T02:25:14Z,890000,28.0,42.0,1,right,MISS S. Adams cutting Layup,[203500],1610612763.0,MEM,cutting,,,Adams,S. Adams,,,,,5.04,Missed,,,,,,,,,,,,,,,,,,,
