actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
22,PT09M55.00S,2022-01-26T03:04:50.7Z,1,REGULAR,rebound,defensive,[],204001,,,1610612742,0,3,2022-01-26T03:10:38Z,220000,,,0,,K. Porzingis REBOUND (Off:0 Def:2),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,21.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
23,PT09M49.00S,2022-01-26T03:04:57.1Z,1,REGULAR,3pt,Jump Shot,[],1627827,28.07161629434954,13.970588235294118,1610612742,0,3,2022-01-26T03:11:40Z,230000,180.0,211.0,1,left,MISS D. Finney-Smith 27' 3PT,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,27.77,Missed,,,,,,,,,,,,,,,,,,,
24,PT09M46.00S,2022-01-26T03:05:00.1Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,0,3,2022-01-26T03:06:51Z,240000,,,0,,S. Curry REBOUND (Off:0 Def:1),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
25,PT09M36.00S,2022-01-26T03:05:10.7Z,1,REGULAR,turnover,bad pass,[],201939,,,1610612744,0,3,2022-01-26T03:05:12Z,250000,,,0,,S. Curry bad pass TURNOVER (2 TO),"[201939, 1627827]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,2.0,,,,,,,Finney-Smith,1627827.0,,,,,
26,PT09M36.00S,2022-01-26T03:05:10.7Z,1,REGULAR,steal,,[],1627827,,,1610612742,0,3,2022-01-26T03:20:35Z,260000,,,0,,D. Finney-Smith STEAL (1 STL),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT09M33.00S,2022-01-26T03:05:13.8Z,1,REGULAR,turnover,bad pass,[],204001,,,1610612742,0,3,2022-01-26T03:05:15Z,270000,,,0,,K. Porzingis bad pass TURNOVER (1 TO),"[204001, 203490]",1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,,,,1.0,,,,,,,Porter Jr.,203490.0,,,,,
28,PT09M33.00S,2022-01-26T03:05:13.8Z,1,REGULAR,steal,,[],203490,,,1610612744,0,3,2022-01-26T03:05:16Z,280000,,,0,,O. Porter Jr. STEAL (1 STL),[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT09M29.00S,2022-01-26T03:05:18.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203490,66.96780551905388,35.049019607843135,1610612744,0,3,2022-01-26T03:05:29Z,290000,-75.0,258.0,1,right,MISS O. Porter Jr. 26' pullup 3PT,[203490],1610612744.0,GSW,pullup,,,Porter Jr.,O. Porter Jr.,,,,,26.86,Missed,,,,,,,,,,,,,,,,,,,
30,PT09M27.00S,2022-01-26T03:05:20.0Z,1,REGULAR,rebound,defensive,[],204001,,,1610612742,0,3,2022-01-26T03:06:05Z,300000,,,0,,K. Porzingis REBOUND (Off:0 Def:3),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,29.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
31,PT09M15.00S,2022-01-26T03:05:31.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,14.931011826544022,49.26470588235294,1610612742,0,3,2022-01-26T03:05:33Z,310000,4.0,88.0,1,left,MISS L. Doncic 8' Jump Shot,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,8.8,Missed,,,,,,,,,,,,,,,,,,,
32,PT09M12.00S,2022-01-26T03:05:34.1Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,0,3,2022-01-26T03:05:34Z,320000,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
33,PT09M02.00S,2022-01-26T03:05:44.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202691,91.5407358738502,60.5392156862745,1610612744,0,3,2022-01-26T03:05:47Z,330000,53.0,27.0,1,right,MISS K. Thompson turnaround bank Shot,[202691],1610612744.0,GSW,turnaround bank,,,Thompson,K. Thompson,,,,,5.92,Missed,,,,,,,,,,,,,,,,,,,
34,PT08M59.00S,2022-01-26T03:05:47.8Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,0,3,2022-01-26T03:05:47Z,340000,,,0,,L. Doncic REBOUND (Off:0 Def:2),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,33.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
35,PT08M56.00S,2022-01-26T03:05:53.8Z,1,REGULAR,foul,offensive,[],204001,,,1610612742,0,3,2022-01-26T03:05:57Z,350000,,,0,,K. Porzingis offensive FOUL (1 PF),"[204001, 203952]",1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,,,1627964.0,,,,,,,,,,1.0,0.0,Wiggins,203952.0,
37,PT08M56.00S,2022-01-26T03:05:53.8Z,1,REGULAR,turnover,offensive foul,[],204001,,,1610612742,0,3,2022-01-26T03:05:53Z,370000,,,0,,K. Porzingis offensive foul TURNOVER (2 TO),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,,,1627964.0,2.0,,,,,,,,,,,,,
38,PT08M43.00S,2022-01-26T03:06:21.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",201939,81.2910643889619,49.754901960784316,1610612744,2,3,2022-01-26T03:06:23Z,380000,-1.0,123.0,1,right,S. Curry 12' driving floating Jump Shot (2 PTS),[201939],1610612744.0,GSW,driving floating,,,Curry,S. Curry,,,,,12.34,Made,,,,,,,,,2.0,,,,,,,,,,
39,PT08M34.00S,2022-01-26T03:06:31.8Z,1,REGULAR,2pt,Jump Shot,[],1629029,9.411957950065702,66.66666666666666,1610612742,2,5,2022-01-26T03:06:35Z,390000,-83.0,36.0,1,left,L. Doncic 9' driving floating Jump Shot (2 PTS),[1629029],1610612742.0,DAL,driving floating,,,Doncic,L. Doncic,,,,,9.07,Made,,,,,,,,,2.0,,,,,,,,,,
40,PT08M34.00S,2022-01-26T03:06:37.2Z,1,REGULAR,foul,personal,['1freethrow'],203952,,,1610612742,2,5,2022-01-26T03:06:42Z,400000,,,0,,A. Wiggins shooting personal FOUL (1 PF) (Doncic 1 FT),"[203952, 1629029]",1610612744.0,GSW,shooting,,,Wiggins,A. Wiggins,,,,,,,,,,,2715.0,,,,,,,,,,1.0,0.0,Doncic,1629029.0,
42,PT08M34.00S,2022-01-26T03:07:00.6Z,1,REGULAR,freethrow,1 of 1,[],1629029,,,1610612742,2,6,2022-01-26T03:07:00Z,420000,,,0,,L. Doncic Free Throw 1 of 1 (3 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,Made,,,,,,,,,3.0,,,,,,,,,,
43,PT08M15.00S,2022-01-26T03:07:21.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202691,81.42247043363994,56.86274509803921,1610612744,2,6,2022-01-26T03:07:23Z,430000,34.0,122.0,1,right,MISS K. Thompson 12' pullup Shot,[202691],1610612744.0,GSW,pullup,,,Thompson,K. Thompson,,,,,12.68,Missed,,,,,,,,,,,,,,,,,,,
44,PT08M12.00S,2022-01-26T03:07:24.5Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,2,6,2022-01-26T03:07:24Z,440000,,,0,,L. Doncic REBOUND (Off:0 Def:3),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,43.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
45,PT07M56.00S,2022-01-26T03:07:41.0Z,1,REGULAR,3pt,Jump Shot,[],1629029,33.459264126149804,38.72549019607843,1610612742,2,9,2022-01-26T03:07:44Z,450000,56.0,262.0,1,left,L. Doncic 26' 3PT step back (6 PTS),[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,26.8,Made,,,,,,,,,6.0,,,,,,,,,,
46,PT07M40.00S,2022-01-26T03:08:00.5Z,1,REGULAR,foul,personal,[],1629029,,,1610612744,2,9,2022-01-26T03:08:03Z,460000,,,0,,L. Doncic personal FOUL (1 PF),"[1629029, 201939]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,1627964.0,,,,,,,,,,1.0,0.0,Curry,201939.0,
48,PT07M35.00S,2022-01-26T03:08:22.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202691,91.93495400788436,45.83333333333333,1610612744,4,9,2022-01-26T03:08:24Z,480000,-21.0,23.0,1,right,K. Thompson cutting Layup (2 PTS) (K. Looney 1 AST),"[202691, 1626172]",1610612744.0,GSW,cutting,,,Thompson,K. Thompson,,,,,3.12,Made,,,,,,,,,2.0,K. Looney,1626172.0,1.0,,,,,,,
50,PT07M23.00S,2022-01-26T03:08:33.6Z,1,REGULAR,3pt,Jump Shot,[],204001,32.40801576872536,45.588235294117645,1610612742,4,9,2022-01-26T03:08:36Z,500000,22.0,252.0,1,left,MISS K. Porzingis 25' 3PT,[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,25.31,Missed,,,,,,,,,,,,,,,,,,,
51,PT07M20.00S,2022-01-26T03:08:37.0Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,4,9,2022-01-26T03:08:37Z,510000,,,0,,K. Looney REBOUND (Off:0 Def:2),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,50.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
52,PT07M13.00S,2022-01-26T03:08:43.8Z,1,REGULAR,3pt,Jump Shot,[],201939,73.53810775295663,15.196078431372548,1610612744,7,9,2022-01-26T03:08:46Z,520000,-174.0,196.0,1,right,S. Curry 26' 3PT  (5 PTS) (A. Wiggins 1 AST),"[201939, 203952]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,26.22,Made,,,,,,,,,5.0,A. Wiggins,203952.0,1.0,,,,,,,
54,PT07M11.00S,2022-01-26T03:08:50.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,7,9,2022-01-26T03:08:50Z,540000,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M47.00S,2022-01-26T03:12:34.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629029,10.463206307490145,47.549019607843135,1610612742,7,11,2022-01-26T03:12:37Z,550000,12.0,46.0,1,left,L. Doncic driving finger roll Layup (8 PTS) (D. Finney-Smith 1 AST),"[1629029, 1627827]",1610612742.0,DAL,driving finger roll,,,Doncic,L. Doncic,,,,,4.75,Made,,,,,,,,,8.0,D. Finney-Smith,1627827.0,1.0,,,,,,,
57,PT06M26.00S,2022-01-26T03:12:55.2Z,1,REGULAR,3pt,Jump Shot,[],203952,95.74572930354796,3.1862745098039214,1610612744,10,11,2022-01-26T03:12:57Z,570000,-234.0,-13.0,1,right,A. Wiggins 3PT  (3 PTS) (K. Thompson 1 AST),"[203952, 202691]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,23.44,Made,,,,,,,,,3.0,K. Thompson,202691.0,1.0,,,,,,,
59,PT06M09.00S,2022-01-26T03:13:12.5Z,1,REGULAR,3pt,Jump Shot,[],204001,30.17411300919842,72.30392156862744,1610612742,10,11,2022-01-26T03:13:15Z,590000,-112.0,231.0,1,left,MISS K. Porzingis 25' 3PT,[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,25.66,Missed,,,,,,,,,,,,,,,,,,,
60,PT06M06.00S,2022-01-26T03:13:16.0Z,1,REGULAR,rebound,defensive,[],203952,,,1610612744,10,11,2022-01-26T03:13:16Z,600000,,,0,,A. Wiggins REBOUND (Off:0 Def:2),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,59.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
61,PT05M57.00S,2022-01-26T03:13:25.1Z,1,REGULAR,2pt,Jump Shot,[],203952,75.1149802890933,52.450980392156865,1610612744,12,11,2022-01-26T03:13:31Z,610000,12.0,181.0,1,right,A. Wiggins 18' step back Jump Shot (5 PTS),[203952],1610612744.0,GSW,step back,,,Wiggins,A. Wiggins,,,,,18.18,Made,,,,,,,,,5.0,,,,,,,,,,
62,PT05M41.00S,2022-01-26T03:13:39.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,18.478975032851512,53.18627450980392,1610612742,12,13,2022-01-26T03:13:43Z,620000,-16.0,121.0,1,left,L. Doncic 12' turnaround fadeaway Jump Shot (10 PTS),[1629029],1610612742.0,DAL,turnaround fadeaway,,,Doncic,L. Doncic,,,,,12.22,Made,,,,,,,,,10.0,,,,,,,,,,
63,PT05M30.00S,2022-01-26T03:13:53.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203952,92.19776609724047,54.90196078431373,1610612744,14,13,2022-01-26T03:13:55Z,630000,25.0,21.0,1,right,A. Wiggins driving Layup (7 PTS),[203952],1610612744.0,GSW,driving,,,Wiggins,A. Wiggins,,,,,3.21,Made,,,,,,,,,7.0,,,,,,,,,,
64,PT05M30.00S,2022-01-26T03:13:56.6Z,1,REGULAR,foul,personal,['1freethrow'],1629029,,,1610612744,14,13,2022-01-26T03:14:25Z,640000,,,0,,L. Doncic shooting personal FOUL (2 PF) (Wiggins 1 FT),"[1629029, 203952]",1610612742.0,DAL,shooting,,,Doncic,L. Doncic,,,,,,,,,,,202027.0,,,,,,,,,,2.0,0.0,Wiggins,203952.0,
66,PT05M30.00S,2022-01-26T03:14:02.5Z,1,REGULAR,substitution,out,[],203490,,,1610612744,14,13,2022-01-26T03:14:32Z,660000,,,0,,SUB out: O. Porter Jr.,[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT05M30.00S,2022-01-26T03:14:02.5Z,1,REGULAR,substitution,out,[],202691,,,1610612744,14,13,2022-01-26T03:14:32Z,670000,,,0,,SUB out: K. Thompson,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M30.00S,2022-01-26T03:14:02.5Z,1,REGULAR,substitution,out,[],1628467,,,1610612744,14,13,2022-01-26T03:14:32Z,680000,,,0,,SUB out: M. Kleber,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M30.00S,2022-01-26T03:14:02.5Z,1,REGULAR,substitution,out,[],204001,,,1610612744,14,13,2022-01-26T03:14:32Z,690000,,,0,,SUB out: K. Porzingis,[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M30.00S,2022-01-26T03:14:02.5Z,1,REGULAR,substitution,in,[],1629673,,,1610612744,14,13,2022-01-26T03:14:32Z,700000,,,0,,SUB in: J. Poole,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M30.00S,2022-01-26T03:14:02.5Z,1,REGULAR,substitution,in,[],1627780,,,1610612744,14,13,2022-01-26T03:14:32Z,710000,,,0,,SUB in: G. Payton II,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M30.00S,2022-01-26T03:14:02.5Z,1,REGULAR,substitution,in,[],203939,,,1610612744,14,13,2022-01-26T03:14:32Z,720000,,,0,,SUB in: D. Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M30.00S,2022-01-26T03:14:02.5Z,1,REGULAR,substitution,in,[],203501,,,1610612744,14,13,2022-01-26T03:14:32Z,730000,,,0,,SUB in: T. Hardaway Jr.,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M30.00S,2022-01-26T03:14:30.7Z,1,REGULAR,freethrow,1 of 1,[],203952,,,1610612744,14,13,2022-01-26T03:14:30Z,740000,,,0,,MISS A. Wiggins Free Throw 1 of 1,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,Missed,,,,,,,,,,,,,,,,,,,
75,PT05M28.00S,2022-01-26T03:14:32.2Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612742,14,13,2022-01-26T03:14:32Z,750000,,,0,,D. Finney-Smith REBOUND (Off:0 Def:1),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,74.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
76,PT05M15.00S,2022-01-26T03:14:45.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629029,12.171484888304862,40.931372549019606,1610612742,14,13,2022-01-26T03:14:48Z,760000,45.0,62.0,1,left,MISS L. Doncic 7' driving Layup - blocked,"[1629029, 1627780]",1610612742.0,DAL,driving,,,Doncic,L. Doncic,,,,,7.67,Missed,,,,,,,Payton II,1627780.0,,,,,,,,,,,
77,PT05M15.00S,2022-01-26T03:14:45.5Z,1,REGULAR,block,,[],1627780,,,1610612742,14,13,2022-01-26T03:14:49Z,770000,,,0,,G. Payton II BLOCK (1 BLK),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M13.00S,2022-01-26T03:14:47.5Z,1,REGULAR,rebound,offensive,[],203939,,,1610612742,14,13,2022-01-26T03:16:14Z,780000,,,0,,D. Powell REBOUND (Off:1 Def:0),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,76.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
83,PT05M12.00S,2022-01-26T03:14:50.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203939,7.35873850197109,39.85140931372549,1610612742,14,13,2022-01-26T03:15:53Z,785000,51.0,17.0,1,left,MISS D. Powell putback Layup,[203939],1610612742.0,DAL,putback,,,Powell,D. Powell,,,,,5.34,Missed,,,,,,,,,,,,,,,,,,,
84,PT05M11.00S,2022-01-26T03:14:51.2Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,14,13,2022-01-26T03:15:53Z,787500,,,0,,S. Curry REBOUND (Off:0 Def:2),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,83.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
79,PT05M08.00S,2022-01-26T03:14:54.9Z,1,REGULAR,violation,kicked ball,[],1627827,,,1610612744,14,13,2022-01-26T03:15:34Z,790000,,,0,,D. Finney-Smith kicked ball VIOLATION,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,202027.0,,,,,,,,,,,,,,
80,PT05M08.00S,2022-01-26T03:15:08.8Z,1,REGULAR,substitution,out,[],1628973,,,1610612744,14,13,2022-01-26T03:15:34Z,800000,,,0,,SUB out: J. Brunson,[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M08.00S,2022-01-26T03:15:08.8Z,1,REGULAR,substitution,in,[],203493,,,1610612744,14,13,2022-01-26T03:15:34Z,810000,,,0,,SUB in: R. Bullock,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M55.00S,2022-01-26T03:15:29.8Z,1,REGULAR,3pt,Jump Shot,[],203952,80.76544021024968,94.85294117647058,1610612744,14,13,2022-01-26T03:15:32Z,820000,224.0,128.0,1,right,MISS A. Wiggins 25' 3PT,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,25.84,Missed,,,,,,,,,,,,,,,,,,,
85,PT04M54.00S,2022-01-26T03:15:34.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612744,14,13,2022-01-26T03:15:34Z,830000,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,82.0,,,,,,,,,,,,,,,,,,
86,PT04M54.00S,2022-01-26T03:15:35.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612744,14,13,2022-01-26T03:15:35Z,840000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
