actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,value,blockPlayerName,blockPersonId
33,PT09M47.00S,2022-04-08T02:09:43.6Z,1,REGULAR,foul,personal,['2freethrow'],202691,,,1610612747,4,9,2022-04-08T02:09:51Z,330000,,,0,,K. Thompson shooting personal FOUL (1 PF) (Monk 2 FT),"[202691, 1628370]",1610612744.0,GSW,shooting,,,Thompson,K. Thompson,,,,,,,,,,,1627961.0,1.0,0.0,Monk,1628370.0,,,,,,,,,,
35,PT09M47.00S,2022-04-08T02:10:03.6Z,1,REGULAR,freethrow,1 of 2,[],1628370,,,1610612747,4,10,2022-04-08T02:10:03Z,350000,,,0,,M. Monk Free Throw 1 of 2 (3 PTS),[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,,Made,,,,,,,,,,3.0,,,,,,,,,
36,PT09M47.00S,2022-04-08T02:10:15.9Z,1,REGULAR,freethrow,2 of 2,[],1628370,,,1610612747,4,11,2022-04-08T02:10:15Z,360000,,,0,,M. Monk Free Throw 2 of 2 (4 PTS),[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,,Made,,,,,,,,,,4.0,,,,,,,,,
37,PT09M28.00S,2022-04-08T02:10:35.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203952,87.07293035479631,49.754901960784316,1610612744,6,11,2022-04-08T02:10:38Z,370000,-1.0,69.0,1,right,A. Wiggins 6' turnaround bank Jump Shot (4 PTS),[203952],1610612744.0,GSW,turnaround bank,,,Wiggins,A. Wiggins,,,,,6.9,Made,,,,,,,,,,4.0,,,,,,,,,
38,PT09M17.00S,2022-04-08T02:10:47.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629659,10.85742444152431,41.17647058823529,1610612747,6,11,2022-04-08T02:11:25Z,380000,44.0,50.0,1,left,MISS T. Horton-Tucker 6' driving Layup,[1629659],1610612747.0,LAL,driving,,,Horton-Tucker,T. Horton-Tucker,,,,,6.64,Missed,,,,,,,,,,,,,,,,,,,
39,PT09M16.00S,2022-04-08T02:10:48.9Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,6,11,2022-04-08T02:11:25Z,390000,,,0,,K. Looney REBOUND (Off:0 Def:2),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,38.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
40,PT09M16.00S,2022-04-08T02:10:55.1Z,1,REGULAR,foul,personal,[],1629659,,,1610612744,6,11,2022-04-08T02:10:58Z,400000,,,0,,T. Horton-Tucker personal FOUL (1 PF),"[1629659, 1626172]",1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,201640.0,1.0,0.0,Looney,1626172.0,,,,,,,,,,
42,PT09M03.00S,2022-04-08T02:11:17.0Z,1,REGULAR,3pt,Jump Shot,[],202691,64.07687253613666,47.794117647058826,1610612744,9,11,2022-04-08T02:11:20Z,420000,-11.0,285.0,1,right,K. Thompson 28' 3PT step back (5 PTS),[202691],1610612744.0,GSW,step back,,,Thompson,K. Thompson,,,,,28.54,Made,,,,,,,,,,5.0,,,,,,,,,
44,PT08M50.00S,2022-04-08T02:11:29.8Z,1,REGULAR,3pt,Jump Shot,[],1626169,25.443495400788436,86.27450980392157,1610612747,9,11,2022-04-08T02:11:32Z,440000,-181.0,187.0,1,left,MISS S. Johnson 26' 3PT,[1626169],1610612747.0,LAL,,,,Johnson,S. Johnson,,,,,26.03,Missed,,,,,,,,,,,,,,,,,,,
45,PT08M47.00S,2022-04-08T02:11:33.2Z,1,REGULAR,rebound,offensive,[],2730,,,1610612747,9,11,2022-04-08T02:11:33Z,450000,,,0,,D. Howard REBOUND (Off:1 Def:1),[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,44.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
46,PT08M47.00S,2022-04-08T02:11:36.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612747,9,11,2022-04-08T02:11:36Z,460000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT08M39.00S,2022-04-08T02:12:00.0Z,1,REGULAR,foul,personal,[],203952,,,1610612747,9,11,2022-04-08T02:12:03Z,470000,,,0,,A. Wiggins personal FOUL (1 PF),"[203952, 1629659]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,1193.0,1.0,0.0,Horton-Tucker,1629659.0,,,,,,,,,,
49,PT08M26.00S,2022-04-08T02:12:26.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630559,29.38567674113009,84.31372549019608,1610612747,9,11,2022-04-08T02:12:29Z,490000,-172.0,224.0,1,left,MISS A. Reaves 28' step back 3PT,[1630559],1610612747.0,LAL,step back,,,Reaves,A. Reaves,,,,,28.19,Missed,,,,,,,,,,,,,,,,,,,
50,PT08M24.00S,2022-04-08T02:12:28.6Z,1,REGULAR,rebound,defensive,[],1629673,,,1610612744,9,11,2022-04-08T02:13:29Z,500000,,,0,,J. Poole REBOUND (Off:0 Def:1),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,49.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
51,PT08M15.00S,2022-04-08T02:12:37.2Z,1,REGULAR,3pt,Jump Shot,[],203952,95.3515111695138,3.431372549019608,1610612744,12,11,2022-04-08T02:12:40Z,510000,-233.0,-9.0,1,right,A. Wiggins 3PT  (7 PTS) (D. Green 1 AST),"[203952, 203110]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,23.3,Made,,,,,,,,,,7.0,D. Green,203110.0,1.0,,,,,,
53,PT07M57.00S,2022-04-08T02:12:55.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629659,7.046649145860711,58.82352941176471,1610612747,12,13,2022-04-08T02:12:58Z,530000,-44.0,14.0,1,left,T. Horton-Tucker driving reverse Layup (6 PTS),[1629659],1610612747.0,LAL,driving reverse,,,Horton-Tucker,T. Horton-Tucker,,,,,4.62,Made,,,,,,,,,,6.0,,,,,,,,,
54,PT07M52.00S,2022-04-08T02:13:00.6Z,1,REGULAR,turnover,bad pass,[],203110,,,1610612744,12,13,2022-04-08T02:13:02Z,540000,,,0,,D. Green bad pass TURNOVER (1 TO),"[203110, 1628370]",1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,1.0,Monk,1628370.0,,,
55,PT07M52.00S,2022-04-08T02:13:00.6Z,1,REGULAR,steal,,[],1628370,,,1610612747,12,13,2022-04-08T02:13:03Z,550000,,,0,,M. Monk STEAL (1 STL),[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M45.00S,2022-04-08T02:13:07.7Z,1,REGULAR,foul,personal,"['inpenalty', '3freethrow']",203110,,,1610612747,12,13,2022-04-08T02:13:16Z,560000,,,0,,D. Green shooting personal FOUL (1 PF) (Reaves 3 FT),"[203110, 1630559]",1610612744.0,GSW,shooting,,,Green,D. Green,,,,,,,,,,,1627961.0,1.0,0.0,Reaves,1630559.0,,,,,,,,,,
58,PT07M45.00S,2022-04-08T02:13:35.4Z,1,REGULAR,freethrow,1 of 3,['fromturnover'],1630559,,,1610612747,12,14,2022-04-08T02:13:35Z,580000,,,0,,A. Reaves Free Throw 1 of 3 (4 PTS),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,Made,,,,,,,,,,4.0,,,,,,,,,
59,PT07M45.00S,2022-04-08T02:13:40.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,12,14,2022-04-08T02:13:40Z,590000,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M45.00S,2022-04-08T02:17:12.5Z,1,REGULAR,freethrow,2 of 3,['fromturnover'],1630559,,,1610612747,12,15,2022-04-08T02:17:12Z,600000,,,0,,A. Reaves Free Throw 2 of 3 (5 PTS),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,Made,,,,,,,,,,5.0,,,,,,,,,
61,PT07M45.00S,2022-04-08T02:17:22.2Z,1,REGULAR,freethrow,3 of 3,['fromturnover'],1630559,,,1610612747,12,16,2022-04-08T02:17:22Z,610000,,,0,,A. Reaves Free Throw 3 of 3 (6 PTS),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,Made,,,,,,,,,,6.0,,,,,,,,,
62,PT07M31.00S,2022-04-08T02:17:41.3Z,1,REGULAR,turnover,out-of-bounds,[],203110,,,1610612744,12,16,2022-04-08T02:17:42Z,620000,,,0,,D. Green bad pass out-of-bounds TURNOVER (2 TO),[203110],1610612744.0,GSW,bad pass,,,Green,D. Green,,,,,,,,,,,201640.0,,,,,,,,,2.0,,,,,
63,PT07M16.00S,2022-04-08T02:17:58.3Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",2730,13.87976346911958,47.549019607843135,1610612747,12,18,2022-04-08T02:18:01Z,630000,12.0,78.0,1,left,D. Howard 7' turnaround Hook (2 PTS) (A. Reaves 1 AST),"[2730, 1630559]",1610612747.0,LAL,turnaround,,,Howard,D. Howard,,,,,7.9,Made,,,,,,,,,,2.0,A. Reaves,1630559.0,1.0,,,,,,
65,PT07M08.00S,2022-04-08T02:18:07.7Z,1,REGULAR,3pt,Jump Shot,[],202691,64.60249671484888,53.431372549019606,1610612744,15,18,2022-04-08T02:18:10Z,650000,17.0,280.0,1,right,K. Thompson 28' 3PT  (8 PTS) (A. Wiggins 1 AST),"[202691, 203952]",1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,28.07,Made,,,,,,,,,,8.0,A. Wiggins,203952.0,1.0,,,,,,
67,PT06M44.00S,2022-04-08T02:18:34.1Z,1,REGULAR,violation,kicked ball,[],1626172,,,1610612747,15,18,2022-04-08T02:18:36Z,670000,,,0,,K. Looney kicked ball VIOLATION,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,201640.0,,,,,,,,,,,,,,
68,PT06M38.00S,2022-04-08T02:18:53.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628370,8.623521681997373,56.86274509803921,1610612747,15,20,2022-04-08T02:18:56Z,680000,-34.0,29.0,1,left,M. Monk driving Layup (6 PTS),[1628370],1610612747.0,LAL,driving,,,Monk,M. Monk,,,,,4.47,Made,,,,,,,,,,6.0,,,,,,,,,
69,PT06M27.00S,2022-04-08T02:19:05.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629673,92.46057818659659,57.107843137254896,1610612744,15,20,2022-04-08T02:19:07Z,690000,36.0,18.0,1,right,MISS J. Poole cutting DUNK,[1629673],1610612744.0,GSW,cutting,,,Poole,J. Poole,,,,,4.0,Missed,,,,,,,,,,,,,,,,,,,
70,PT06M24.00S,2022-04-08T02:19:08.0Z,1,REGULAR,rebound,defensive,[],2730,,,1610612747,15,20,2022-04-08T02:19:08Z,700000,,,0,,D. Howard REBOUND (Off:1 Def:2),[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,69.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
71,PT06M22.00S,2022-04-08T02:19:13.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1626169,8.886333771353483,44.11764705882353,1610612747,15,22,2022-04-08T02:19:45Z,710000,29.0,31.0,1,left,S. Johnson cutting Layup (2 PTS) (M. Monk 2 AST),"[1626169, 1628370]",1610612747.0,LAL,cutting,,,Johnson,S. Johnson,,,,,4.27,Made,,,,,,,,,,2.0,M. Monk,1628370.0,2.0,,,,,,
73,PT06M22.00S,2022-04-08T02:19:19.2Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1629673,,,1610612747,15,22,2022-04-08T02:19:27Z,730000,,,0,,J. Poole shooting personal FOUL (2 PF) (Johnson 1 FT),"[1629673, 1626169]",1610612744.0,GSW,shooting,,,Poole,J. Poole,,,,,,,,,,,1193.0,2.0,0.0,Johnson,1626169.0,,,,,,,,,,
75,PT06M22.00S,2022-04-08T02:19:30.2Z,1,REGULAR,substitution,out,[],202691,,,1610612747,15,22,2022-04-08T02:19:45Z,750000,,,0,,SUB out: K. Thompson,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M22.00S,2022-04-08T02:19:30.2Z,1,REGULAR,substitution,out,[],1626172,,,1610612747,15,22,2022-04-08T02:19:45Z,760000,,,0,,SUB out: K. Looney,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M22.00S,2022-04-08T02:19:30.2Z,1,REGULAR,substitution,in,[],1627780,,,1610612747,15,22,2022-04-08T02:19:45Z,770000,,,0,,SUB in: G. Payton II,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M22.00S,2022-04-08T02:19:30.2Z,1,REGULAR,substitution,in,[],203490,,,1610612747,15,22,2022-04-08T02:19:45Z,780000,,,0,,SUB in: O. Porter Jr.,[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M22.00S,2022-04-08T02:19:48.4Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],1626169,,,1610612747,15,23,2022-04-08T02:19:48Z,790000,,,0,,S. Johnson Free Throw 1 of 1 (3 PTS),[1626169],1610612747.0,LAL,,,,Johnson,S. Johnson,,,,,,Made,,,,,,,,,,3.0,,,,,,,,,
80,PT06M10.00S,2022-04-08T02:20:03.7Z,1,REGULAR,foul,personal,[],1629659,,,1610612744,15,23,2022-04-08T02:20:06Z,800000,,,0,,T. Horton-Tucker personal FOUL (2 PF),"[1629659, 203952]",1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,1193.0,2.0,0.0,Wiggins,203952.0,,,,,,,,,,
82,PT06M10.00S,2022-04-08T02:20:12.1Z,1,REGULAR,substitution,out,[],1629659,,,1610612744,15,23,2022-04-08T02:20:17Z,820000,,,0,,SUB out: T. Horton-Tucker,[1629659],1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT06M10.00S,2022-04-08T02:20:12.1Z,1,REGULAR,substitution,in,[],201571,,,1610612744,15,23,2022-04-08T02:20:17Z,830000,,,0,,SUB in: D. Augustin,[201571],1610612747.0,LAL,,,,Augustin,D. Augustin,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT06M02.00S,2022-04-08T02:20:34.9Z,1,REGULAR,3pt,Jump Shot,[],203490,69.85873850197109,76.7156862745098,1610612744,18,23,2022-04-08T02:20:37Z,840000,134.0,231.0,1,right,O. Porter Jr. 26' 3PT  (3 PTS) (D. Green 2 AST),"[203490, 203110]",1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,26.67,Made,,,,,,,,,,3.0,D. Green,203110.0,2.0,,,,,,
86,PT05M47.00S,2022-04-08T02:20:48.8Z,1,REGULAR,turnover,bad pass,[],1626169,,,1610612747,18,23,2022-04-08T02:20:50Z,860000,,,0,,S. Johnson bad pass TURNOVER (1 TO),"[1626169, 203490]",1610612747.0,LAL,,,,Johnson,S. Johnson,,,,,,,,,,,,,,,,,,,,1.0,Porter Jr.,203490.0,,,
87,PT05M47.00S,2022-04-08T02:20:48.8Z,1,REGULAR,steal,,[],203490,,,1610612744,18,23,2022-04-08T02:20:51Z,870000,,,0,,O. Porter Jr. STEAL (1 STL),[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M44.00S,2022-04-08T02:20:55.6Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203952,,,1610612744,18,23,2022-04-08T02:22:51Z,880000,,,0,,A. Wiggins flagrant-type-1 personal FOUL (2 PF) (Reaves 2 FT),"[203952, 1630559]",1610612744.0,GSW,flagrant-type-1,,,Wiggins,A. Wiggins,,,,,,,,,,,1627961.0,2.0,0.0,Reaves,1630559.0,,,,,,,,,,
90,PT05M44.00S,2022-04-08T02:20:55.6Z,1,REGULAR,turnover,,[],203952,,,1610612744,18,23,2022-04-08T02:22:41Z,900000,,,0,,A. Wiggins TURNOVER (2 TO),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,1627961.0,,,,,,,,,2.0,,,,,
91,PT05M44.00S,2022-04-08T02:21:23.2Z,1,REGULAR,instantreplay,request,[],0,,,1610612747,18,23,2022-04-08T02:22:35Z,910000,,,0,,,[],,,overturned,,,,,,,,,,,,,,,201640.0,,,,,,,,,,,,Common Foul to Flagrant 1,,
92,PT05M44.00S,2022-04-08T02:23:00.1Z,1,REGULAR,freethrow,1 of 2,[],1630559,,,1610612747,18,24,2022-04-08T02:23:17Z,920000,,,0,,A. Reaves flagrant Free Throw 1 of 2 (7 PTS),[1630559],1610612747.0,LAL,flagrant,,,Reaves,A. Reaves,,,,,,Made,,,,,,,,,,7.0,,,,,,,,,
93,PT05M44.00S,2022-04-08T02:23:02.3Z,1,REGULAR,substitution,out,[],203952,,,1610612747,18,24,2022-04-08T02:23:13Z,930000,,,0,,SUB out: A. Wiggins,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT05M44.00S,2022-04-08T02:23:02.3Z,1,REGULAR,substitution,in,[],2738,,,1610612747,18,24,2022-04-08T02:23:13Z,940000,,,0,,SUB in: A. Iguodala,[2738],1610612744.0,GSW,,,,Iguodala,A. Iguodala,,,,,,,,,,,,,,,,,,,,,,,,,
