actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
16,PT10M45.00S,2022-03-31T02:17:43.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629028,84.44480946123521,48.03921568627451,1610612756,0,0,2022-03-31T02:17:46Z,160000,-10.0,94.0,1,right,MISS D. Ayton 9' turnaround Shot,[1629028],1610612756.0,PHX,turnaround,,,Ayton,D. Ayton,,,,,,,,,,,9.42,Missed,,,,,,,,,,,,,
17,PT10M42.00S,2022-03-31T02:17:46.7Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,0,0,2022-03-31T02:17:55Z,170000,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,
18,PT10M38.00S,2022-03-31T02:17:53.5Z,1,REGULAR,turnover,out-of-bounds,[],203110,,,1610612744,0,0,2022-03-31T02:17:55Z,180000,,,0,,D. Green bad pass out-of-bounds TURNOVER (1 TO),[203110],1610612744.0,GSW,bad pass,,,Green,D. Green,,,,,1201.0,1.0,,,,,,,,,,,,,,,,,,,
19,PT10M28.00S,2022-03-31T02:18:05.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629028,92.32917214191852,58.82352941176471,1610612756,0,2,2022-03-31T02:18:08Z,190000,44.0,20.0,1,right,D. Ayton driving Layup (2 PTS) (C. Paul 1 AST),"[1629028, 101108]",1610612756.0,PHX,driving,,,Ayton,D. Ayton,,,,,,,,,,,4.83,Made,,,,,2.0,C. Paul,101108.0,1.0,,,,,
22,PT10M10.00S,2022-03-31T02:18:23.4Z,1,REGULAR,2pt,Jump Shot,[],202691,6.1268068331143235,15.931372549019606,1610612744,0,2,2022-03-31T02:18:26Z,220000,170.0,5.0,1,left,MISS K. Thompson 17' pullup Shot,[202691],1610612744.0,GSW,pullup,,,Thompson,K. Thompson,,,,,,,,,,,17.04,Missed,,,,,,,,,,,,,
23,PT10M07.00S,2022-03-31T02:18:27.7Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612756,0,2,2022-03-31T02:18:27Z,230000,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,
24,PT10M03.00S,2022-03-31T02:18:32.2Z,1,REGULAR,3pt,Jump Shot,[],1626164,66.70499342969777,43.38235294117647,1610612756,0,2,2022-03-31T02:18:36Z,240000,-33.0,260.0,1,right,MISS D. Booker 26' 3PT,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,26.26,Missed,,,,,,,,,,,,,
25,PT10M01.00S,2022-03-31T02:18:34.2Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,0,2,2022-03-31T02:18:53Z,250000,,,0,,D. Green REBOUND (Off:0 Def:2),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,24.0,2.0,2.0,0.0,,,,,,,,,
26,PT09M52.00S,2022-03-31T02:18:42.6Z,1,REGULAR,2pt,Jump Shot,[],1629673,17.296320630749015,22.794117647058822,1610612744,2,2,2022-03-31T02:19:40Z,260000,136.0,110.0,1,left,J. Poole 17' step back Jump Shot (2 PTS),[1629673],1610612744.0,GSW,step back,,,Poole,J. Poole,,,,,,,,,,,17.5,Made,,,,,2.0,,,,,,,,
27,PT09M38.00S,2022-03-31T02:18:56.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628969,84.44480946123521,59.068627450980394,1610612756,2,4,2022-03-31T02:18:58Z,270000,45.0,94.0,1,right,M. Bridges 10' pullup Jump Shot (2 PTS) (C. Paul 2 AST),"[1628969, 101108]",1610612756.0,PHX,pullup,,,Bridges,M. Bridges,,,,,,,,,,,10.41,Made,,,,,2.0,C. Paul,101108.0,2.0,,,,,
29,PT09M26.00S,2022-03-31T02:19:08.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203952,8.886333771353483,37.00980392156863,1610612744,2,4,2022-03-31T02:19:12Z,290000,65.0,31.0,1,left,MISS A. Wiggins 7' floating Shot,[203952],1610612744.0,GSW,floating,,,Wiggins,A. Wiggins,,,,,,,,,,,7.2,Missed,,,,,,,,,,,,,
30,PT09M24.00S,2022-03-31T02:19:10.7Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,2,4,2022-03-31T02:19:26Z,300000,,,0,,D. Ayton REBOUND (Off:0 Def:2),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,,,29.0,2.0,2.0,0.0,,,,,,,,,
31,PT09M15.00S,2022-03-31T02:19:19.1Z,1,REGULAR,2pt,Jump Shot,[],101108,84.70762155059133,74.50980392156863,1610612756,2,6,2022-03-31T02:20:22Z,310000,123.0,91.0,1,right,C. Paul 15' pullup Jump Shot (2 PTS),[101108],1610612756.0,PHX,pullup,,,Paul,C. Paul,,,,,,,,,,,15.27,Made,,,,,2.0,,,,,,,,
32,PT08M55.00S,2022-03-31T02:19:38.7Z,1,REGULAR,turnover,lost ball,[],202691,,,1610612744,2,6,2022-03-31T02:22:36Z,320000,,,0,,K. Thompson lost ball TURNOVER (2 TO),"[202691, 203109]",1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,2.0,,,,,,,,,,,,,,,Crowder,203109.0,,,
33,PT08M55.00S,2022-03-31T02:19:38.7Z,1,REGULAR,steal,,[],203109,,,1610612756,2,6,2022-03-31T02:19:42Z,330000,,,0,,J. Crowder STEAL (1 STL),[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT08M52.00S,2022-03-31T02:19:44.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1626164,92.46057818659659,37.5,1610612756,2,6,2022-03-31T02:20:04Z,340000,-62.0,18.0,1,right,MISS D. Booker 6' running Layup - blocked,"[1626164, 203110]",1610612756.0,PHX,running,,,Booker,D. Booker,,,,,,,,,,,6.52,Missed,,,,,,,,,,,Green,203110.0,
35,PT08M52.00S,2022-03-31T02:19:44.2Z,1,REGULAR,block,,[],203110,,,1610612756,2,6,2022-03-31T02:19:48Z,350000,,,0,,D. Green BLOCK (1 BLK),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,
36,PT08M51.00S,2022-03-31T02:19:45.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612756,2,6,2022-03-31T02:20:04Z,360000,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,
37,PT08M46.00S,2022-03-31T02:20:07.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1628969,83.919185282523,60.049019607843135,1610612756,2,8,2022-03-31T02:20:11Z,370000,50.0,99.0,1,right,M. Bridges 11' driving floating Jump Shot (4 PTS),[1628969],1610612756.0,PHX,driving floating,,,Bridges,M. Bridges,,,,,,,,,,,11.07,Made,,,,,4.0,,,,,,,,
38,PT08M46.00S,2022-03-31T02:20:13.4Z,1,REGULAR,foul,personal,['1freethrow'],202691,,,1610612756,2,8,2022-03-31T02:20:21Z,380000,,,0,,K. Thompson shooting personal FOUL (2 PF) (Bridges 1 FT),"[202691, 1628969]",1610612744.0,GSW,shooting,,,Thompson,K. Thompson,,,,,2715.0,,2.0,0.0,Bridges,1628969.0,,,,,,,,,,,,,,,
40,PT08M46.00S,2022-03-31T02:20:33.2Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', '2ndchance']",1628969,,,1610612756,2,9,2022-03-31T02:20:33Z,400000,,,0,,M. Bridges Free Throw 1 of 1 (5 PTS),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,,Made,,,,,5.0,,,,,,,,
41,PT08M37.00S,2022-03-31T02:20:43.5Z,1,REGULAR,3pt,Jump Shot,[],1629673,25.312089356110377,9.068627450980392,1610612744,2,9,2022-03-31T02:20:46Z,410000,205.0,185.0,1,left,MISS J. Poole 27' 3PT,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,27.62,Missed,,,,,,,,,,,,,
42,PT08M35.00S,2022-03-31T02:20:46.5Z,1,REGULAR,rebound,defensive,[],203109,,,1610612756,2,9,2022-03-31T02:20:46Z,420000,,,0,,J. Crowder REBOUND (Off:0 Def:1),[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,,,,,41.0,1.0,1.0,0.0,,,,,,,,,
43,PT08M23.00S,2022-03-31T02:20:57.7Z,1,REGULAR,3pt,Jump Shot,[],1626164,76.5604467805519,10.53921568627451,1610612756,2,12,2022-03-31T02:20:59Z,430000,-197.0,168.0,1,right,D. Booker 25' 3PT  (3 PTS) (C. Paul 3 AST),"[1626164, 101108]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,25.9,Made,,,,,3.0,C. Paul,101108.0,3.0,,,,,
45,PT08M22.00S,2022-03-31T02:21:02.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,2,12,2022-03-31T02:21:02Z,450000,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT08M08.00S,2022-03-31T02:24:38.8Z,1,REGULAR,turnover,bad pass,[],203110,,,1610612744,2,12,2022-03-31T02:24:40Z,460000,,,0,,D. Green bad pass TURNOVER (2 TO),"[203110, 203109]",1610612744.0,GSW,,,,Green,D. Green,,,,,,2.0,,,,,,,,,,,,,,,Crowder,203109.0,,,
47,PT08M08.00S,2022-03-31T02:24:38.8Z,1,REGULAR,steal,,[],203109,,,1610612756,2,12,2022-03-31T02:24:40Z,470000,,,0,,J. Crowder STEAL (2 STL),[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT07M59.00S,2022-03-31T02:24:46.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],101108,65.52233902759527,32.84313725490196,1610612756,2,12,2022-03-31T02:24:50Z,480000,-86.0,272.0,1,right,MISS C. Paul 28' step back 3PT,[101108],1610612756.0,PHX,step back,,,Paul,C. Paul,,,,,,,,,,,28.48,Missed,,,,,,,,,,,,,
49,PT07M56.00S,2022-03-31T02:24:50.6Z,1,REGULAR,rebound,defensive,[],203952,,,1610612744,2,12,2022-03-31T02:24:50Z,490000,,,0,,A. Wiggins REBOUND (Off:1 Def:1),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,48.0,2.0,1.0,1.0,,,,,,,,,
50,PT07M50.00S,2022-03-31T02:24:56.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203110,12.828515111695138,54.166666666666664,1610612744,4,12,2022-03-31T02:24:59Z,500000,-21.0,68.0,1,left,D. Green 7' driving floating Jump Shot (2 PTS) (A. Wiggins 1 AST),"[203110, 203952]",1610612744.0,GSW,driving floating,,,Green,D. Green,,,,,,,,,,,7.12,Made,,,,,2.0,A. Wiggins,203952.0,1.0,,,,,
52,PT07M31.00S,2022-03-31T02:25:15.0Z,1,REGULAR,3pt,Jump Shot,[],1628969,81.94809461235218,95.09803921568627,1610612756,4,15,2022-03-31T02:25:17Z,520000,225.0,117.0,1,right,M. Bridges 25' 3PT  (8 PTS) (C. Paul 4 AST),"[1628969, 101108]",1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,25.41,Made,,,,,8.0,C. Paul,101108.0,4.0,,,,,
54,PT07M18.00S,2022-03-31T02:25:29.0Z,1,REGULAR,3pt,Jump Shot,[],202691,25.837713534822605,15.441176470588236,1610612744,4,15,2022-03-31T02:25:30Z,540000,173.0,190.0,1,left,MISS K. Thompson 25' 3PT,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,25.71,Missed,,,,,,,,,,,,,
55,PT07M16.00S,2022-03-31T02:25:30.9Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,4,15,2022-03-31T02:25:30Z,550000,,,0,,D. Booker REBOUND (Off:0 Def:1),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,,54.0,1.0,1.0,0.0,,,,,,,,,
56,PT07M10.00S,2022-03-31T02:25:36.8Z,1,REGULAR,2pt,Jump Shot,[],1626164,91.14651773981603,22.794117647058822,1610612756,4,15,2022-03-31T02:25:39Z,560000,-136.0,31.0,1,right,MISS D. Booker 13' pullup Shot,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,,,,,,,13.94,Missed,,,,,,,,,,,,,
57,PT07M08.00S,2022-03-31T02:25:38.8Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,4,15,2022-03-31T02:25:52Z,570000,,,0,,K. Looney REBOUND (Off:0 Def:2),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,56.0,2.0,2.0,0.0,,,,,,,,,
58,PT07M02.00S,2022-03-31T02:25:44.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203952,25.706307490144546,85.5392156862745,1610612744,7,15,2022-03-31T02:25:47Z,580000,-178.0,189.0,1,left,A. Wiggins 25' 3PT  (3 PTS) (J. Poole 1 AST),"[203952, 1629673]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,25.95,Made,,,,,3.0,J. Poole,1629673.0,1.0,,,,,
60,PT06M47.00S,2022-03-31T02:25:59.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628969,86.28449408672799,45.34313725490196,1610612756,7,15,2022-03-31T02:26:02Z,600000,-23.0,76.0,1,right,MISS M. Bridges 7' pullup Shot,[1628969],1610612756.0,PHX,pullup,,,Bridges,M. Bridges,,,,,,,,,,,7.99,Missed,,,,,,,,,,,,,
61,PT06M44.00S,2022-03-31T02:26:03.3Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,7,15,2022-03-31T02:26:03Z,610000,,,0,,K. Looney REBOUND (Off:0 Def:3),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,60.0,3.0,3.0,0.0,,,,,,,,,
62,PT06M39.00S,2022-03-31T02:26:08.4Z,1,REGULAR,turnover,lost ball,[],1629673,,,1610612744,7,15,2022-03-31T02:26:09Z,620000,,,0,,J. Poole lost ball TURNOVER (1 TO),"[1629673, 203109]",1610612744.0,GSW,,,,Poole,J. Poole,,,,,,1.0,,,,,,,,,,,,,,,Crowder,203109.0,,,
63,PT06M39.00S,2022-03-31T02:26:08.4Z,1,REGULAR,steal,,[],203109,,,1610612756,7,15,2022-03-31T02:35:08Z,630000,,,0,,J. Crowder STEAL (3 STL),[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M36.00S,2022-03-31T02:26:13.9Z,1,REGULAR,foul,personal,['2freethrow'],203110,,,1610612756,7,15,2022-03-31T02:26:20Z,640000,,,0,,D. Green shooting personal FOUL (1 PF) (Booker 2 FT),"[203110, 1626164]",1610612744.0,GSW,shooting,,,Green,D. Green,,,,,1201.0,,1.0,0.0,Booker,1626164.0,,,,,,,,,,,,,,,
66,PT06M36.00S,2022-03-31T02:26:40.8Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1626164,,,1610612756,7,15,2022-03-31T02:26:40Z,660000,,,0,,MISS D. Booker Free Throw 1 of 2,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,Missed,,,,,,,,,,,,,
67,PT06M36.00S,2022-03-31T02:26:40.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612756,7,15,2022-03-31T02:26:40Z,670000,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,66.0,,,,,,,,,,,,
68,PT06M36.00S,2022-03-31T02:26:55.3Z,1,REGULAR,substitution,out,[],202691,,,1610612756,7,15,2022-03-31T02:26:58Z,680000,,,0,,SUB out: K. Thompson,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M36.00S,2022-03-31T02:26:55.3Z,1,REGULAR,substitution,in,[],1627780,,,1610612756,7,15,2022-03-31T02:26:58Z,690000,,,0,,SUB in: G. Payton II,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M36.00S,2022-03-31T02:27:13.8Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1626164,,,1610612756,7,16,2022-03-31T02:27:13Z,700000,,,0,,D. Booker Free Throw 2 of 2 (4 PTS),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,Made,,,,,4.0,,,,,,,,
71,PT06M23.00S,2022-03-31T02:27:31.2Z,1,REGULAR,turnover,traveling,[],203952,,,1610612744,7,16,2022-03-31T02:27:33Z,710000,,,0,,A. Wiggins traveling TURNOVER (1 TO),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,1201.0,1.0,,,,,,,,,,,,,,,,,,,
72,PT06M23.00S,2022-03-31T02:27:38.5Z,1,REGULAR,substitution,out,[],1626172,,,1610612756,7,16,2022-03-31T02:27:44Z,720000,,,0,,SUB out: K. Looney,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M23.00S,2022-03-31T02:27:38.5Z,1,REGULAR,substitution,in,[],203490,,,1610612756,7,16,2022-03-31T02:27:44Z,730000,,,0,,SUB in: O. Porter Jr.,[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M16.00S,2022-03-31T02:28:09.4Z,1,REGULAR,foul,personal,[],1627780,,,1610612756,7,16,2022-03-31T02:28:12Z,740000,,,0,,G. Payton II personal FOUL (1 PF),"[1627780, 101108]",1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,1201.0,,1.0,0.0,Paul,101108.0,,,,,,,,,,,,,,,
76,PT05M58.00S,2022-03-31T02:28:40.8Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628969,89.43823915900131,67.40196078431373,1610612756,7,18,2022-03-31T02:28:43Z,760000,87.0,47.0,1,right,M. Bridges 9' Jump Shot (10 PTS) (J. Crowder 1 AST),"[1628969, 203109]",1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,9.88,Made,,,,,10.0,J. Crowder,203109.0,1.0,,,,,
78,PT05M44.00S,2022-03-31T02:28:54.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203952,6.915243101182654,52.20588235294118,1610612744,9,18,2022-03-31T02:28:57Z,780000,-11.0,13.0,1,left,A. Wiggins cutting finger roll Layup (5 PTS) (D. Green 1 AST),"[203952, 203110]",1610612744.0,GSW,cutting finger roll,,,Wiggins,A. Wiggins,,,,,,,,,,,1.67,Made,,,,,5.0,D. Green,203110.0,1.0,,,,,
80,PT05M37.00S,2022-03-31T02:29:01.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626164,78.26872536136662,93.87254901960785,1610612756,9,18,2022-03-31T02:29:05Z,800000,219.0,152.0,1,right,MISS D. Booker 26' pullup 3PT,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,,,,,,,26.68,Missed,,,,,,,,,,,,,
81,PT05M33.00S,2022-03-31T02:29:05.5Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,9,18,2022-03-31T02:29:13Z,810000,,,0,,D. Green REBOUND (Off:0 Def:3),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,80.0,3.0,3.0,0.0,,,,,,,,,
82,PT05M27.00S,2022-03-31T02:29:13.1Z,1,REGULAR,foul,personal,['2freethrow'],101108,,,1610612744,9,18,2022-03-31T02:29:24Z,820000,,,0,,C. Paul shooting personal FOUL (1 PF) (Green 2 FT),"[101108, 203110]",1610612756.0,PHX,shooting,,,Paul,C. Paul,,,,,1201.0,,1.0,0.0,Green,203110.0,,,,,,,,,,,,,,,
84,PT05M27.00S,2022-03-31T02:29:37.1Z,1,REGULAR,freethrow,1 of 2,[],203110,,,1610612744,10,18,2022-03-31T02:29:37Z,840000,,,0,,D. Green Free Throw 1 of 2 (3 PTS),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,Made,,,,,3.0,,,,,,,,
85,PT05M27.00S,2022-03-31T02:29:54.8Z,1,REGULAR,freethrow,2 of 2,[],203110,,,1610612744,10,18,2022-03-31T02:29:54Z,850000,,,0,,MISS D. Green Free Throw 2 of 2,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,Missed,,,,,,,,,,,,,
86,PT05M25.00S,2022-03-31T02:29:55.5Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,10,18,2022-03-31T02:29:55Z,860000,,,0,,D. Ayton REBOUND (Off:0 Def:3),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,,,85.0,3.0,3.0,0.0,,,,,,,,,
87,PT05M13.00S,2022-03-31T02:30:08.1Z,1,REGULAR,turnover,bad pass,[],101108,,,1610612756,10,18,2022-03-31T02:30:09Z,870000,,,0,,C. Paul bad pass TURNOVER (1 TO),"[101108, 1627780]",1610612756.0,PHX,,,,Paul,C. Paul,,,,,,1.0,,,,,,,,,,,,,,,Payton II,1627780.0,,,
88,PT05M13.00S,2022-03-31T02:30:08.1Z,1,REGULAR,steal,,[],1627780,,,1610612744,10,18,2022-03-31T02:30:09Z,880000,,,0,,G. Payton II STEAL (1 STL),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M10.00S,2022-03-31T02:30:11.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629673,7.440867279894875,58.57843137254902,1610612744,12,18,2022-03-31T02:31:41Z,890000,-43.0,17.0,1,left,J. Poole running Layup (4 PTS) (G. Payton II 1 AST),"[1629673, 1627780]",1610612744.0,GSW,running,,,Poole,J. Poole,,,,,,,,,,,4.63,Made,,,,,4.0,G. Payton II,1627780.0,1.0,,,,,
91,PT04M48.00S,2022-03-31T02:30:31.9Z,1,REGULAR,3pt,Jump Shot,[],1626164,88.78120893561103,5.392156862745098,1610612756,12,21,2022-03-31T02:30:34Z,910000,-223.0,53.0,1,right,D. Booker 3PT  (7 PTS) (C. Paul 5 AST),"[1626164, 101108]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,22.92,Made,,,,,7.0,C. Paul,101108.0,5.0,,,,,
