actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,value
22,PT10M06.00S,2021-10-22T02:14:40.6Z,1,REGULAR,foul,personal,[],1626172,,,1610612746,6,4,2021-10-22T02:39:22Z,220000,,,0,,K. Looney take personal FOUL (1 PF),"[1626172, 202704]",1610612744.0,GSW,take,,,Looney,K. Looney,,,,,1199.0,1.0,0.0,Jackson,202704.0,,,,,,,,,,,,,,,,
24,PT09M53.00S,2021-10-22T02:15:08.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202339,69.99014454664915,75.0,1610612746,6,4,2021-10-22T02:15:13Z,240000,125.0,230.0,1,right,MISS E. Bledsoe 26' step back 3PT,[202339],1610612746.0,LAC,step back,,,Bledsoe,E. Bledsoe,,,,,,,,,,26.14,Missed,,,,,,,,,,,,,,
25,PT09M50.00S,2021-10-22T02:15:11.0Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,6,4,2021-10-22T02:15:13Z,250000,,,0,,D. Green REBOUND (Off:0 Def:2),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,24.0,2.0,2.0,0.0,,,,,,,,,,
26,PT09M46.00S,2021-10-22T02:15:15.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203952,6.783837056504599,94.11764705882352,1610612744,9,4,2021-10-22T02:15:21Z,260000,-221.0,11.0,1,left,A. Wiggins 3PT  (6 PTS) (D. Green 3 AST),"[203952, 203110]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,22.09,Made,,,,,,,6.0,D. Green,203110.0,3.0,,,,
28,PT09M29.00S,2021-10-22T02:15:31.4Z,1,REGULAR,2pt,Jump Shot,[],202331,77.61169513797634,66.91176470588235,1610612746,9,4,2021-10-22T02:15:43Z,280000,85.0,158.0,1,right,MISS P. George 17' pullup Shot,[202331],1610612746.0,LAC,pullup,,,George,P. George,,,,,,,,,,17.92,Missed,,,,,,,,,,,,,,
29,PT09M28.00S,2021-10-22T02:15:32.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612746,9,4,2021-10-22T02:15:43Z,290000,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,
30,PT09M28.00S,2021-10-22T02:15:40.0Z,1,REGULAR,foul,personal,[],1626172,,,1610612746,9,4,2021-10-22T02:16:06Z,300000,,,0,,K. Looney loose ball personal FOUL (2 PF),"[1626172, 1627826]",1610612744.0,GSW,loose ball,,,Looney,K. Looney,,,,,2534.0,2.0,0.0,Zubac,1627826.0,,,,,,,,,,,,,,,,
32,PT09M24.00S,2021-10-22T02:16:01.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202704,86.5473061760841,43.627450980392155,1610612746,9,4,2021-10-22T02:16:18Z,320000,-32.0,74.0,1,right,MISS R. Jackson 8' Layup,[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,8.06,Missed,,,,,,,,,,,,,,
33,PT09M21.00S,2021-10-22T02:16:04.1Z,1,REGULAR,rebound,offensive,[],202704,,,1610612746,9,4,2021-10-22T02:16:18Z,330000,,,0,,R. Jackson REBOUND (Off:1 Def:0),[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,,32.0,1.0,0.0,1.0,,,,,,,,,,
34,PT09M18.00S,2021-10-22T02:16:06.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1627826,94.1688567674113,49.50980392156863,1610612746,9,6,2021-10-22T02:16:14Z,340000,-2.0,2.0,1,right,I. Zubac DUNK (2 PTS) (R. Jackson 1 AST),"[1627826, 202704]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,0.34,Made,,,,,,,2.0,R. Jackson,202704.0,1.0,,,,
37,PT09M07.00S,2021-10-22T02:16:25.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612744,9,6,2021-10-22T02:16:35Z,370000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT08M54.00S,2021-10-22T02:16:58.6Z,1,REGULAR,3pt,Jump Shot,[],203952,30.962549277266753,34.80392156862745,1610612744,12,6,2021-10-22T02:17:03Z,380000,76.0,239.0,1,left,A. Wiggins 25' 3PT  (9 PTS) (K. Looney 1 AST),"[203952, 1626172]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,25.03,Made,,,,,,,9.0,K. Looney,1626172.0,1.0,,,,
40,PT08M40.00S,2021-10-22T02:17:13.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,88.12417871222075,51.225490196078425,1610612746,12,8,2021-10-22T02:17:20Z,400000,6.0,59.0,1,right,I. Zubac Hook (4 PTS) (R. Jackson 2 AST),"[1627826, 202704]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,5.94,Made,,,,,,,4.0,R. Jackson,202704.0,2.0,,,,
42,PT08M29.00S,2021-10-22T02:17:23.4Z,1,REGULAR,turnover,bad pass,[],201939,,,1610612744,12,8,2021-10-22T02:17:31Z,420000,,,0,,S. Curry bad pass TURNOVER (1 TO),"[201939, 202331]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,1.0,George,202331.0,
43,PT08M29.00S,2021-10-22T02:17:23.4Z,1,REGULAR,steal,,[],202331,,,1610612746,12,8,2021-10-22T02:17:25Z,430000,,,0,,P. George STEAL (1 STL),[202331],1610612746.0,LAC,,,,George,P. George,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT08M28.00S,2021-10-22T02:17:26.8Z,1,REGULAR,foul,personal,[],203110,,,1610612746,12,8,2021-10-22T02:18:35Z,440000,,,0,,D. Green personal FOUL (1 PF),"[203110, 202339]",1610612744.0,GSW,,,,Green,D. Green,,,,,203593.0,1.0,0.0,Bledsoe,202339.0,,,,,,,,,,,,,,,,
46,PT08M24.00S,2021-10-22T02:17:50.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202331,75.77201051248358,55.392156862745104,1610612746,12,10,2021-10-22T02:17:57Z,460000,27.0,175.0,1,right,P. George 17' pullup Jump Shot (2 PTS) (I. Zubac 1 AST),"[202331, 1627826]",1610612746.0,LAC,pullup,,,George,P. George,,,,,,,,,,17.73,Made,,,,,,,2.0,I. Zubac,1627826.0,1.0,,,,
48,PT08M10.00S,2021-10-22T02:18:05.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201939,5.469776609724048,49.50980392156863,1610612744,14,10,2021-10-22T02:18:15Z,480000,2.0,-1.0,1,left,S. Curry cutting Layup (5 PTS) (D. Green 4 AST),"[201939, 203110]",1610612744.0,GSW,cutting,,,Curry,S. Curry,,,,,,,,,,0.27,Made,,,,,,,5.0,D. Green,203110.0,4.0,,,,
50,PT08M09.00S,2021-10-22T02:18:10.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612746,14,10,2021-10-22T02:18:10Z,500000,,,0,,LAC Timeout,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M54.00S,2021-10-22T02:21:54.1Z,1,REGULAR,2pt,Jump Shot,[],202704,77.52956636005256,33.52481617647059,1610612746,14,10,2021-10-22T02:22:02Z,510000,-82.0,159.0,1,right,MISS R. Jackson 17' pullup Shot,[202704],1610612746.0,LAC,pullup,,,Jackson,R. Jackson,,,,,,,,,,17.88,Missed,,,,,,,,,,,,,,
52,PT07M52.00S,2021-10-22T02:21:56.1Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,14,10,2021-10-22T02:22:02Z,520000,,,0,,S. Curry REBOUND (Off:0 Def:1),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,51.0,1.0,1.0,0.0,,,,,,,,,,
53,PT07M44.00S,2021-10-22T02:22:05.2Z,1,REGULAR,foul,personal,[],202331,,,1610612744,14,10,2021-10-22T02:22:12Z,530000,,,0,,P. George personal FOUL (1 PF),"[202331, 203110]",1610612746.0,LAC,,,,George,P. George,,,,,1199.0,1.0,0.0,Green,203110.0,,,,,,,,,,,,,,,,
55,PT07M42.00S,2021-10-22T02:22:29.7Z,1,REGULAR,foul,personal,[],202694,,,1610612744,14,10,2021-10-22T02:22:35Z,550000,,,0,,M. Morris Sr. personal FOUL (1 PF),"[202694, 203952]",1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,203593.0,1.0,0.0,Wiggins,203952.0,,,,,,,,,,,,,,,,
57,PT07M34.00S,2021-10-22T02:22:57.3Z,1,REGULAR,3pt,Jump Shot,[],203952,24.655059132720105,86.27450980392157,1610612744,14,10,2021-10-22T02:23:04Z,570000,-181.0,179.0,1,left,MISS A. Wiggins 25' 3PT,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,25.51,Missed,,,,,,,,,,,,,,
58,PT07M30.00S,2021-10-22T02:23:01.3Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,14,10,2021-10-22T02:23:04Z,580000,,,0,,P. George REBOUND (Off:0 Def:1),[202331],1610612746.0,LAC,,,,George,P. George,,,,,,,,,,,,57.0,1.0,1.0,0.0,,,,,,,,,,
59,PT07M23.00S,2021-10-22T02:23:07.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202331,92.46057818659659,49.754901960784316,1610612746,14,12,2021-10-22T02:25:49Z,590000,-1.0,18.0,1,right,P. George driving Layup (4 PTS),[202331],1610612746.0,LAC,driving,,,George,P. George,,,,,,,,,,1.84,Made,,,,,,,4.0,,,,,,,
62,PT07M15.00S,2021-10-22T02:23:20.8Z,1,REGULAR,foul,personal,['2freethrow'],202339,,,1610612744,14,12,2021-10-22T02:23:28Z,620000,,,0,,E. Bledsoe shooting personal FOUL (2 PF) (Wiggins 2 FT),"[202339, 203952]",1610612746.0,LAC,shooting,,,Bledsoe,E. Bledsoe,,,,,2534.0,2.0,0.0,Wiggins,203952.0,,,,,,,,,,,,,,,,
64,PT07M15.00S,2021-10-22T02:23:53.3Z,1,REGULAR,freethrow,1 of 2,[],203952,,,1610612744,15,12,2021-10-22T02:23:53Z,640000,,,0,,A. Wiggins Free Throw 1 of 2 (10 PTS),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,Made,,,,,,,10.0,,,,,,,
65,PT07M15.00S,2021-10-22T02:23:54.0Z,1,REGULAR,substitution,out,[],202339,,,1610612744,15,12,2021-10-22T02:23:56Z,650000,,,0,,SUB out: E. Bledsoe,[202339],1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT07M15.00S,2021-10-22T02:23:54.0Z,1,REGULAR,substitution,in,[],1628379,,,1610612744,15,12,2021-10-22T02:23:56Z,660000,,,0,,SUB in: L. Kennard,[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT07M15.00S,2021-10-22T02:24:11.8Z,1,REGULAR,freethrow,2 of 2,[],203952,,,1610612744,16,12,2021-10-22T02:24:11Z,670000,,,0,,A. Wiggins Free Throw 2 of 2 (11 PTS),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,Made,,,,,,,11.0,,,,,,,
68,PT07M05.00S,2021-10-22T02:24:22.7Z,1,REGULAR,turnover,lost ball,[],202704,,,1610612746,16,12,2021-10-22T02:28:59Z,680000,,,0,,R. Jackson lost ball TURNOVER (1 TO),"[202704, 1629673]",1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,,,,1.0,Poole,1629673.0,
69,PT07M05.00S,2021-10-22T02:24:22.7Z,1,REGULAR,steal,,[],1629673,,,1610612744,16,12,2021-10-22T02:24:24Z,690000,,,0,,J. Poole STEAL (1 STL),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT07M02.00S,2021-10-22T02:24:25.8Z,1,REGULAR,turnover,bad pass,[],1629673,,,1610612744,16,12,2021-10-22T02:31:40Z,700000,,,0,,J. Poole bad pass TURNOVER (2 TO),"[1629673, 202694]",1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,2.0,Morris Sr.,202694.0,
71,PT07M02.00S,2021-10-22T02:24:25.8Z,1,REGULAR,steal,,[],202694,,,1610612746,16,12,2021-10-22T02:24:27Z,710000,,,0,,M. Morris Sr. STEAL (1 STL),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M57.00S,2021-10-22T02:24:30.9Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1627826,93.77463863337714,50.49019607843137,1610612746,16,14,2021-10-22T02:32:17Z,720000,2.0,6.0,1,right,I. Zubac DUNK (6 PTS) (L. Kennard 1 AST),"[1627826, 1628379]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,0.65,Made,,,,,,,6.0,L. Kennard,1628379.0,1.0,,,,
74,PT06M38.00S,2021-10-22T02:24:48.9Z,1,REGULAR,3pt,Jump Shot,[],1629673,30.962549277266753,69.11764705882352,1610612744,19,14,2021-10-22T02:25:05Z,740000,-96.0,239.0,1,left,J. Poole 25' 3PT  (3 PTS) (A. Wiggins 1 AST),"[1629673, 203952]",1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,25.69,Made,,,,,,,3.0,A. Wiggins,203952.0,1.0,,,,
76,PT06M23.00S,2021-10-22T02:25:04.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628379,81.8166885676741,44.6078431372549,1610612746,19,16,2021-10-22T02:25:09Z,760000,-27.0,118.0,1,right,L. Kennard 12' pullup Jump Shot (2 PTS) (P. George 1 AST),"[1628379, 202331]",1610612746.0,LAC,pullup,,,Kennard,L. Kennard,,,,,,,,,,12.14,Made,,,,,,,2.0,P. George,202331.0,1.0,,,,
78,PT06M17.00S,2021-10-22T02:25:10.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201939,30.436925098554536,73.2843137254902,1610612744,22,16,2021-10-22T02:25:18Z,780000,-116.0,234.0,1,left,S. Curry 26' 3PT pullup (8 PTS) (D. Green 5 AST),"[201939, 203110]",1610612744.0,GSW,pullup,,,Curry,S. Curry,,,,,,,,,,26.1,Made,,,,,,,8.0,D. Green,203110.0,5.0,,,,
80,PT05M59.00S,2021-10-22T02:25:28.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202331,94.30026281208936,48.03921568627451,1610612746,22,18,2021-10-22T02:25:33Z,800000,-10.0,1.0,1,right,P. George driving Layup (6 PTS),[202331],1610612746.0,LAC,driving,,,George,P. George,,,,,,,,,,0.99,Made,,,,,,,6.0,,,,,,,
81,PT05M53.00S,2021-10-22T02:25:36.7Z,1,REGULAR,turnover,traveling,[],1629673,,,1610612744,22,18,2021-10-22T02:26:08Z,810000,,,0,,J. Poole traveling TURNOVER (3 TO),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,3.0,,,
82,PT05M53.00S,2021-10-22T02:25:40.4Z,1,REGULAR,substitution,out,[],1626172,,,1610612746,22,18,2021-10-22T02:26:14Z,820000,,,0,,SUB out: K. Looney,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M53.00S,2021-10-22T02:25:40.4Z,1,REGULAR,substitution,out,[],1627826,,,1610612746,22,18,2021-10-22T02:26:14Z,830000,,,0,,SUB out: I. Zubac,[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M53.00S,2021-10-22T02:25:40.4Z,1,REGULAR,substitution,in,[],202357,,,1610612746,22,18,2021-10-22T02:26:14Z,840000,,,0,,SUB in: N. Bjelica,[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M53.00S,2021-10-22T02:25:40.4Z,1,REGULAR,substitution,in,[],1629611,,,1610612746,22,18,2021-10-22T02:26:14Z,850000,,,0,,SUB in: T. Mann,[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M40.00S,2021-10-22T02:26:26.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629611,73.66951379763469,18.137254901960784,1610612746,22,18,2021-10-22T02:26:31Z,860000,-159.0,195.0,1,right,MISS T. Mann 25' pullup 3PT,[1629611],1610612746.0,LAC,pullup,,,Mann,T. Mann,,,,,,,,,,25.18,Missed,,,,,,,,,,,,,,
87,PT05M35.00S,2021-10-22T02:26:31.0Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,22,18,2021-10-22T02:26:31Z,870000,,,0,,D. Green REBOUND (Off:0 Def:3),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,86.0,3.0,3.0,0.0,,,,,,,,,,
88,PT05M23.00S,2021-10-22T02:26:42.3Z,1,REGULAR,3pt,Jump Shot,[],1629673,31.488173455978973,39.46078431372549,1610612744,22,18,2021-10-22T02:26:48Z,880000,53.0,243.0,1,left,MISS J. Poole 24' 3PT,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,24.91,Missed,,,,,,,,,,,,,,
89,PT05M21.00S,2021-10-22T02:26:44.3Z,1,REGULAR,rebound,defensive,[],202704,,,1610612746,22,18,2021-10-22T02:26:48Z,890000,,,0,,R. Jackson REBOUND (Off:1 Def:1),[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,,88.0,2.0,1.0,1.0,,,,,,,,,,
90,PT05M12.00S,2021-10-22T02:26:53.8Z,1,REGULAR,3pt,Jump Shot,[],202694,69.99014454664915,71.32352941176471,1610612746,22,21,2021-10-22T02:26:59Z,900000,107.0,230.0,1,right,M. Morris Sr. 25' 3PT  (3 PTS) (L. Kennard 2 AST),"[202694, 1628379]",1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,25.31,Made,,,,,,,3.0,L. Kennard,1628379.0,2.0,,,,
92,PT04M58.00S,2021-10-22T02:27:07.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201939,8.492115637319317,50.0,1610612744,24,21,2021-10-22T02:27:13Z,920000,0.0,27.0,1,left,S. Curry driving Layup (10 PTS),[201939],1610612744.0,GSW,driving,,,Curry,S. Curry,,,,,,,,,,2.73,Made,,,,,,,10.0,,,,,,,
93,PT04M39.00S,2021-10-22T02:27:26.3Z,1,REGULAR,3pt,Jump Shot,[],1628379,69.85873850197109,27.941176470588236,1610612746,24,21,2021-10-22T02:27:31Z,930000,-110.0,231.0,1,right,MISS L. Kennard 25' 3PT,[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,,,,,,25.58,Missed,,,,,,,,,,,,,,
94,PT04M37.00S,2021-10-22T02:27:28.3Z,1,REGULAR,rebound,defensive,[],202357,,,1610612744,24,21,2021-10-22T02:27:31Z,940000,,,0,,N. Bjelica REBOUND (Off:0 Def:1),[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,,,,,,93.0,1.0,1.0,0.0,,,,,,,,,,
95,PT04M28.00S,2021-10-22T02:27:37.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],202357,5.075558475689881,50.73529411764706,1610612744,26,21,2021-10-22T02:27:50Z,950000,-4.0,-5.0,1,left,N. Bjelica DUNK (2 PTS) (J. Poole 1 AST),"[202357, 1629673]",1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,,,,0.61,Made,,,,,,,2.0,J. Poole,1629673.0,1.0,,,,
97,PT04M06.00S,2021-10-22T02:27:59.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202694,86.5473061760841,43.38235294117647,1610612746,26,23,2021-10-22T02:28:08Z,970000,-33.0,74.0,1,right,M. Morris Sr. 8' turnaround Jump Shot (5 PTS),[202694],1610612746.0,LAC,turnaround,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,8.11,Made,,,,,,,5.0,,,,,,,
98,PT03M50.00S,2021-10-22T02:28:15.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202357,6.389618922470433,46.568627450980394,1610612744,28,23,2021-10-22T02:28:22Z,980000,17.0,8.0,1,left,N. Bjelica Layup (4 PTS) (S. Curry 1 AST),"[202357, 201939]",1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,,,,1.88,Made,,,,,,,4.0,S. Curry,201939.0,1.0,,,,
100,PT03M34.00S,2021-10-22T02:28:33.0Z,1,REGULAR,foul,personal,['2freethrow'],203110,,,1610612746,28,23,2021-10-22T02:28:40Z,1000000,,,0,,D. Green shooting personal FOUL (2 PF) (Morris Sr. 2 FT),"[203110, 202694]",1610612744.0,GSW,shooting,,,Green,D. Green,,,,,203593.0,2.0,0.0,Morris Sr.,202694.0,,,,,,,,,,,,,,,,
