actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId
22,PT09M51.00S,2022-12-04T23:13:43.8Z,1,REGULAR,steal,,[],201142,,,1610612751,9,2,2022-12-04T23:13:47Z,220000,False,,,0,,K. Durant STEAL (1 STL),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
23,PT09M36.00S,2022-12-04T23:13:59.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",201142,89.56964520367937,61.51960784313726,1610612751,11,2,2022-12-04T23:14:06Z,230000,False,58.0,46.0,1,right,K. Durant 7' pullup Jump Shot (4 PTS),[201142],1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,In The Paint (Non-RA),0-8 Center,7.34,Made,4.0,,,,,,,,,,,,,,,,,
24,PT09M12.00S,2022-12-04T23:14:23.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629684,7.046649145860711,43.13725490196079,1610612738,11,4,2022-12-04T23:14:27Z,240000,False,34.0,14.0,1,left,G. Williams driving Layup (4 PTS),[1629684],1610612738.0,BOS,driving,,,Williams,G. Williams,,,,,Restricted Area,0-8 Center,3.69,Made,4.0,,,,,,,,,,,,,,,,,
25,PT09M03.00S,2022-12-04T23:14:32.0Z,1,REGULAR,3pt,Jump Shot,[],1626220,68.54467805519053,29.901960784313726,1610612751,11,4,2022-12-04T23:14:36Z,250000,False,-100.0,243.0,1,right,MISS R. O'Neale 26' pullup 3PT,[1626220],1610612751.0,BKN,pullup,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Left Center,26.31,Missed,,,,,,,,,,,,,,,,,,
26,PT09M00.00S,2022-12-04T23:14:35.0Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,11,4,2022-12-04T23:14:36Z,260000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,25.0,1.0,1.0,0.0,,,
27,PT08M53.00S,2022-12-04T23:14:41.5Z,1,REGULAR,turnover,lost ball,[],1628369,,,1610612738,11,4,2022-12-04T23:14:50Z,270000,False,,,0,,J. Tatum lost ball TURNOVER (1 TO),"[1628369, 1629651]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,1.0,Claxton,1629651.0
28,PT08M53.00S,2022-12-04T23:14:41.5Z,1,REGULAR,steal,,[],1629651,,,1610612751,11,4,2022-12-04T23:14:50Z,280000,False,,,0,,N. Claxton STEAL (1 STL),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
29,PT08M45.00S,2022-12-04T23:14:50.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626220,70.90998685939553,22.54901960784314,1610612751,11,4,2022-12-04T23:15:21Z,290000,False,-137.0,221.0,1,right,MISS R. O'Neale 26' running pullup 3PT,[1626220],1610612751.0,BKN,running pullup,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Left Center,26.01,Missed,,,,,,,,,,,,,,,,,,
30,PT08M42.00S,2022-12-04T23:14:53.0Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,11,4,2022-12-04T23:14:54Z,300000,False,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,29.0,2.0,2.0,0.0,,,
31,PT08M38.00S,2022-12-04T23:14:57.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629684,6.389618922470433,3.431372549019608,1610612738,11,7,2022-12-04T23:15:09Z,310000,False,233.0,8.0,1,left,G. Williams 3PT running (7 PTS) (J. Tatum 1 AST),"[1629684, 1628369]",1610612738.0,BOS,running,,,Williams,G. Williams,,,,,Right Corner 3,24+ Right,23.29,Made,7.0,,,,,,J. Tatum,1628369.0,1.0,,,,,,,,,
33,PT08M10.00S,2022-12-04T23:15:24.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202681,92.9862023653088,48.03921568627451,1610612751,11,7,2022-12-04T23:15:30Z,330000,False,-10.0,13.0,1,right,MISS K. Irving driving Layup - blocked,"[202681, 1628401]",1610612751.0,BKN,driving,,,Irving,K. Irving,,,,,Restricted Area,0-8 Center,1.66,Missed,,,,,,,,,,White,1628401.0,,,,,,,
34,PT08M10.00S,2022-12-04T23:15:24.2Z,1,REGULAR,block,,[],1628401,,,1610612751,11,7,2022-12-04T23:15:52Z,340000,False,,,0,,D. White BLOCK (1 BLK),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
35,PT08M08.00S,2022-12-04T23:15:26.2Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,11,7,2022-12-04T23:15:30Z,350000,False,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,33.0,1.0,1.0,0.0,,,
36,PT08M06.00S,2022-12-04T23:15:28.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628369,30.831143232588698,30.637254901960787,1610612738,11,10,2022-12-04T23:15:33Z,360000,False,97.0,237.0,1,left,J. Tatum 25' 3PT running pullup (3 PTS) (G. Williams 1 AST),"[1628369, 1629684]",1610612738.0,BOS,running pullup,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,25.63,Made,3.0,,,,,,G. Williams,1629684.0,1.0,,,,,,,,,
37,PT07M49.00S,2022-12-04T23:15:46.0Z,1,REGULAR,3pt,Jump Shot,[],202681,69.20170827858082,69.85294117647058,1610612751,11,10,2022-12-04T23:15:55Z,370000,False,99.0,237.0,1,right,MISS K. Irving 25' 3PT,[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,Above the Break 3,24+ Right Center,25.7,Missed,,,,,,,,,,,,,,,,,,
38,PT07M45.00S,2022-12-04T23:15:50.0Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,11,10,2022-12-04T23:15:55Z,380000,False,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,37.0,3.0,3.0,0.0,,,
39,PT07M40.00S,2022-12-04T23:15:54.9Z,1,REGULAR,turnover,lost ball,[],1628369,,,1610612738,11,10,2022-12-04T23:15:58Z,390000,False,,,0,,J. Tatum lost ball TURNOVER (2 TO),"[1628369, 201142]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,2.0,Durant,201142.0
40,PT07M40.00S,2022-12-04T23:15:54.9Z,1,REGULAR,steal,,[],201142,,,1610612751,11,10,2022-12-04T23:15:56Z,400000,False,,,0,,K. Durant STEAL (2 STL),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
41,PT07M36.00S,2022-12-04T23:15:59.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",201142,94.56307490144546,53.431372549019606,1610612751,11,10,2022-12-04T23:16:05Z,410000,False,17.0,-1.0,1,right,MISS K. Durant running reverse Layup,[201142],1610612751.0,BKN,running reverse,,,Durant,K. Durant,,,,,Restricted Area,0-8 Center,1.73,Missed,,,,,,,,,,,,,,,,,,
42,PT07M33.00S,2022-12-04T23:16:02.2Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,11,10,2022-12-04T23:16:02Z,420000,False,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,41.0,1.0,1.0,0.0,,,
43,PT07M28.00S,2022-12-04T23:16:07.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627759,3.1044678055190538,96.07843137254902,1610612738,11,13,2022-12-04T23:16:14Z,430000,False,-230.0,-23.0,1,left,J. Brown 3PT running (3 PTS) (D. White 1 AST),"[1627759, 1628401]",1610612738.0,BOS,running,,,Brown,J. Brown,,,,,Left Corner 3,24+ Left,23.16,Made,3.0,,,,,,D. White,1628401.0,1.0,,,,,,,,,
45,PT07M09.00S,2022-12-04T23:16:25.3Z,1,REGULAR,2pt,Jump Shot,[],202681,81.02825229960578,71.81372549019608,1610612751,11,13,2022-12-04T23:16:31Z,450000,False,109.0,126.0,1,right,MISS K. Irving 16' pullup Shot,[202681],1610612751.0,BKN,pullup,,,Irving,K. Irving,,,,,Mid-Range,16-24 Right Center,16.65,Missed,,,,,,,,,,,,,,,,,,
46,PT07M07.00S,2022-12-04T23:16:27.3Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,11,13,2022-12-04T23:16:31Z,460000,False,,,0,,A. Horford REBOUND (Off:0 Def:2),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,45.0,2.0,2.0,0.0,,,
47,PT06M58.00S,2022-12-04T23:16:37.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,10.068988173455978,55.63725490196079,1610612738,11,13,2022-12-04T23:16:44Z,470000,False,-28.0,42.0,1,left,MISS J. Tatum driving Layup,[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,5.07,Missed,,,,,,,,,,,,,,,,,,
48,PT06M54.00S,2022-12-04T23:16:41.8Z,1,REGULAR,rebound,defensive,[],202681,,,1610612751,11,13,2022-12-04T23:16:44Z,480000,False,,,0,,K. Irving REBOUND (Off:0 Def:1),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,47.0,1.0,1.0,0.0,,,
49,PT06M51.00S,2022-12-04T23:16:43.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203925,94.30026281208936,46.81372549019608,1610612751,11,13,2022-12-04T23:16:48Z,490000,False,-16.0,1.0,1,right,MISS J. Harris running Layup - blocked,"[203925, 1627759]",1610612751.0,BKN,running,,,Harris,J. Harris,,,,,Restricted Area,0-8 Center,1.59,Missed,,,,,,,,,,Brown,1627759.0,,,,,,,
50,PT06M51.00S,2022-12-04T23:16:43.6Z,1,REGULAR,block,,[],1627759,,,1610612751,11,13,2022-12-04T23:16:46Z,500000,False,,,0,,J. Brown BLOCK (1 BLK),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
51,PT06M48.00S,2022-12-04T23:16:46.6Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,11,13,2022-12-04T23:16:48Z,510000,False,,,0,,A. Horford REBOUND (Off:0 Def:3),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,49.0,3.0,3.0,0.0,,,
52,PT06M33.00S,2022-12-04T23:17:02.4Z,1,REGULAR,3pt,Jump Shot,[],1627759,25.04927726675427,84.06862745098039,1610612738,11,16,2022-12-04T23:17:07Z,520000,False,-170.0,183.0,1,left,J. Brown 25' 3PT  (6 PTS) (A. Horford 1 AST),"[1627759, 201143]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,25.0,Made,6.0,,,,,,A. Horford,201143.0,1.0,,,,,,,,,
54,PT06M32.00S,2022-12-04T23:17:08.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,11,16,2022-12-04T23:17:08Z,540000,False,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M32.00S,2022-12-04T23:17:09.4Z,1,REGULAR,substitution,out,[],1628369,,,1610612751,11,16,2022-12-04T23:19:55Z,550000,False,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M32.00S,2022-12-04T23:17:09.4Z,1,REGULAR,substitution,in,[],1627763,,,1610612751,11,16,2022-12-04T23:19:55Z,560000,False,,,0,,SUB in: M. Brogdon,[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M17.00S,2022-12-04T23:20:18.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,81.68528252299606,41.911764705882355,1610612751,13,16,2022-12-04T23:20:23Z,570000,False,-40.0,120.0,1,right,K. Durant 12' pullup Jump Shot (6 PTS),[201142],1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,In The Paint (Non-RA),8-16 Center,12.63,Made,6.0,,,,,,,,,,,,,,,,,
58,PT05M54.00S,2022-12-04T23:20:41.2Z,1,REGULAR,3pt,Jump Shot,[],1628401,31.750985545335087,60.29411764705882,1610612738,13,16,2022-12-04T23:20:45Z,580000,False,-51.0,246.0,1,left,MISS D. White 25' 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Center,25.13,Missed,,,,,,,,,,,,,,,,,,
59,PT05M50.00S,2022-12-04T23:20:45.2Z,1,REGULAR,rebound,defensive,[],202681,,,1610612751,13,16,2022-12-04T23:20:45Z,590000,False,,,0,,K. Irving REBOUND (Off:0 Def:2),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,58.0,2.0,2.0,0.0,,,
60,PT05M46.00S,2022-12-04T23:20:50.5Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],202681,95.22010512483574,90.44117647058823,1610612751,13,16,2022-12-04T23:28:24Z,600000,False,202.0,-8.0,1,right,MISS K. Irving 20' Jump Shot,[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,Mid-Range,16-24 Right,20.23,Missed,,,,,,,,,,,,,,,,,,
61,PT05M43.00S,2022-12-04T23:20:53.5Z,1,REGULAR,rebound,defensive,[],1627763,,,1610612738,13,16,2022-12-04T23:20:55Z,610000,False,,,0,,M. Brogdon REBOUND (Off:0 Def:1),[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,60.0,1.0,1.0,0.0,,,
62,PT05M39.00S,2022-12-04T23:20:57.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629684,27.020367936925098,19.607843137254903,1610612738,13,16,2022-12-04T23:28:50Z,620000,False,152.0,201.0,1,left,MISS G. Williams 25' 3PT,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,Above the Break 3,24+ Right Center,25.24,Missed,,,,,,,,,,,,,,,,,,
63,PT05M35.00S,2022-12-04T23:21:01.4Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,13,16,2022-12-04T23:21:03Z,630000,False,,,0,,N. Claxton REBOUND (Off:0 Def:2),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,62.0,2.0,2.0,0.0,,,
64,PT05M17.00S,2022-12-04T23:21:18.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203925,94.82588699080158,48.77450980392157,1610612751,13,16,2022-12-04T23:21:43Z,640000,False,-6.0,-4.0,1,right,MISS J. Harris driving Layup - blocked,"[203925, 201143]",1610612751.0,BKN,driving,,,Harris,J. Harris,,,,,Restricted Area,0-8 Center,0.72,Missed,,,,,,,,,,Horford,201143.0,,,,,,,
65,PT05M17.00S,2022-12-04T23:21:18.8Z,1,REGULAR,block,,[],201143,,,1610612751,13,16,2022-12-04T23:21:21Z,650000,False,,,0,,A. Horford BLOCK (1 BLK),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
66,PT05M17.00S,2022-12-04T23:21:18.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612751,13,16,2022-12-04T23:21:43Z,660000,False,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,64.0,,,,,,
68,PT05M17.00S,2022-12-04T23:21:24.7Z,1,REGULAR,substitution,out,[],202681,,,1610612751,13,16,2022-12-04T23:21:43Z,680000,False,,,0,,SUB out: K. Irving,[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M17.00S,2022-12-04T23:21:24.7Z,1,REGULAR,substitution,out,[],1629651,,,1610612751,13,16,2022-12-04T23:21:43Z,690000,False,,,0,,SUB out: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M17.00S,2022-12-04T23:21:24.7Z,1,REGULAR,substitution,out,[],1629684,,,1610612751,13,16,2022-12-04T23:21:43Z,700000,False,,,0,,SUB out: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M17.00S,2022-12-04T23:21:24.7Z,1,REGULAR,substitution,in,[],203552,,,1610612751,13,16,2022-12-04T23:21:43Z,710000,False,,,0,,SUB in: S. Curry,[203552],1610612751.0,BKN,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M17.00S,2022-12-04T23:21:24.7Z,1,REGULAR,substitution,in,[],1630560,,,1610612751,13,16,2022-12-04T23:21:43Z,720000,False,,,0,,SUB in: C. Thomas,[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M17.00S,2022-12-04T23:21:24.7Z,1,REGULAR,substitution,in,[],1630573,,,1610612751,13,16,2022-12-04T23:21:43Z,730000,False,,,0,,SUB in: S. Hauser,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M11.00S,2022-12-04T23:22:00.5Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",201142,89.43823915900131,54.166666666666664,1610612751,13,16,2022-12-04T23:22:04Z,740000,False,21.0,47.0,1,right,MISS K. Durant driving Hook,[201142],1610612751.0,BKN,driving,,,Durant,K. Durant,,,,,In The Paint (Non-RA),0-8 Center,5.12,Missed,,,,,,,,,,,,,,,,,,
75,PT05M08.00S,2022-12-04T23:22:03.0Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,13,16,2022-12-04T23:22:03Z,750000,False,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,74.0,1.0,1.0,0.0,,,
76,PT05M06.00S,2022-12-04T23:22:08.0Z,1,REGULAR,foul,personal,[],203552,,,1610612738,13,16,2022-12-04T23:22:16Z,760000,False,,,0,,S. Curry personal FOUL (1 PF),"[203552, 1627763]",1610612751.0,BKN,,,,Curry,S. Curry,,,,,Mid-Range,8-16 Left,,,,1193.0,1.0,0.0,Brogdon,1627763.0,,,,,,,,,,,,
78,PT05M00.00S,2022-12-04T23:22:32.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,10.33180026281209,55.14705882352941,1610612738,13,16,2022-12-04T23:22:36Z,780000,False,-26.0,45.0,1,left,MISS D. White driving floating Shot,[1628401],1610612738.0,BOS,driving floating,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,5.15,Missed,,,,,,,,,,,,,,,,,,
79,PT04M58.00S,2022-12-04T23:22:34.9Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612751,13,16,2022-12-04T23:22:36Z,790000,False,,,0,,R. O'Neale REBOUND (Off:0 Def:1),[1626220],1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,78.0,1.0,1.0,0.0,,,
80,PT04M54.00S,2022-12-04T23:22:40.4Z,1,REGULAR,foul,personal,['2freethrow'],1628401,,,1610612751,13,16,2022-12-04T23:23:01Z,800000,False,,,0,,D. White shooting personal FOUL (1 PF) (Thomas 2 FT),"[1628401, 1630560]",1610612738.0,BOS,shooting,,,White,D. White,,,,,Restricted Area,0-8 Center,,,,1193.0,1.0,0.0,Thomas,1630560.0,,,,,,,,,,,,
