actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
27,PT10M16.00S,2023-01-15T23:16:46.4Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612751,3,4,2023-01-15T23:16:46Z,270000,False,,,0,,R. O'Neale REBOUND (Off:0 Def:1),[1626220],1610612751.0,BKN,,,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Center,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,,
28,PT09M58.00S,2023-01-15T23:17:04.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626220,14.011169513797633,57.107843137254896,1610612751,5,4,2023-01-15T23:17:08Z,280000,False,-36.0,79.0,1,left,R. O'Neale 8' driving floating Jump Shot (2 PTS),[1626220],1610612751.0,BKN,,driving floating,,,O'Neale,R. O'Neale,,,,,In The Paint (Non-RA),8-16 Center,8.68,Made,,,,,,,2.0,,,,,,,,,,
29,PT09M46.00S,2023-01-15T23:17:15.6Z,1,REGULAR,2pt,Jump Shot,[],1631119,73.27529566360053,63.970588235294116,1610612760,5,6,2023-01-15T23:17:19Z,290000,False,70.0,199.0,1,right,J. Williams 21' Jump Shot (4 PTS) (L. Dort 1 AST),"[1631119, 1629652]",1610612760.0,OKC,,,,,Williams,J. Williams,,,,,Mid-Range,16-24 Right Center,21.06,Made,,,,,,,4.0,L. Dort,1629652.0,1.0,,,,,,,
31,PT09M26.00S,2023-01-15T23:17:35.9Z,1,REGULAR,3pt,Jump Shot,[],202681,27.677398160315374,15.686274509803921,1610612751,8,6,2023-01-15T23:17:39Z,310000,False,172.0,208.0,1,left,K. Irving 26' 3PT  (3 PTS) (R. O'Neale 1 AST),"[202681, 1626220]",1610612751.0,BKN,,,,,Irving,K. Irving,,,,,Above the Break 3,24+ Right Center,26.94,Made,,,,,,,3.0,R. O'Neale,1626220.0,1.0,,,,,,,
33,PT09M12.00S,2023-01-15T23:17:51.7Z,1,REGULAR,turnover,out-of-bounds,[],1631119,,,1610612760,8,6,2023-01-15T23:18:01Z,330000,False,,,0,,J. Williams bad pass out-of-bounds TURNOVER (1 TO),[1631119],1610612760.0,OKC,203593.0,bad pass,,,Williams,J. Williams,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,1.0,,
34,PT08M53.00S,2023-01-15T23:18:15.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628410,8.229303547963205,39.705882352941174,1610612751,8,6,2023-01-15T23:18:17Z,340000,False,51.0,25.0,1,left,MISS E. Sumner driving Layup,[1628410],1610612751.0,BKN,,driving,,,Sumner,E. Sumner,,,,,In The Paint (Non-RA),0-8 Center,5.72,Missed,,,,,,,,,,,,,,,,,
35,PT08M51.00S,2023-01-15T23:18:17.1Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,8,6,2023-01-15T23:18:17Z,350000,False,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612760.0,OKC,,,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),0-8 Center,,,34.0,1.0,1.0,0.0,,,,,,,,,,,,,
36,PT08M45.00S,2023-01-15T23:18:23.4Z,1,REGULAR,3pt,Jump Shot,[],1630581,69.59592641261499,19.362745098039216,1610612760,8,6,2023-01-15T23:18:27Z,360000,False,-153.0,233.0,1,right,MISS J. Giddey 27' 3PT,[1630581],1610612760.0,OKC,,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Left Center,27.91,Missed,,,,,,,,,,,,,,,,,
37,PT08M42.00S,2023-01-15T23:18:26.4Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,8,6,2023-01-15T23:18:27Z,370000,False,,,0,,N. Claxton REBOUND (Off:0 Def:2),[1629651],1610612751.0,BKN,,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Left Center,,,36.0,2.0,2.0,0.0,,,,,,,,,,,,,
38,PT08M35.00S,2023-01-15T23:18:34.1Z,1,REGULAR,3pt,Jump Shot,[],203925,7.966491458607096,3.9215686274509802,1610612751,8,6,2023-01-15T23:18:39Z,380000,False,230.0,22.0,1,left,MISS J. Harris 3PT,[203925],1610612751.0,BKN,,,,,Harris,J. Harris,,,,,Right Corner 3,24+ Right,23.15,Missed,,,,,,,,,,,,,,,,,
39,PT08M32.00S,2023-01-15T23:18:37.1Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,8,6,2023-01-15T23:18:39Z,390000,False,,,0,,L. Dort REBOUND (Off:0 Def:1),[1629652],1610612760.0,OKC,,,,,Dort,L. Dort,,,,,Right Corner 3,24+ Right,,,38.0,1.0,1.0,0.0,,,,,,,,,,,,,
40,PT08M21.00S,2023-01-15T23:18:48.1Z,1,REGULAR,2pt,Jump Shot,[],1631119,91.80354796320631,18.627450980392158,1610612760,8,6,2023-01-15T23:20:17Z,400000,False,-157.0,25.0,1,right,MISS J. Williams 15' Jump Shot,[1631119],1610612760.0,OKC,,,,,Williams,J. Williams,,,,,Mid-Range,8-16 Left,15.88,Missed,,,,,,,,,,,,,,,,,
41,PT08M18.00S,2023-01-15T23:18:51.1Z,1,REGULAR,rebound,defensive,[],202681,,,1610612751,8,6,2023-01-15T23:18:52Z,410000,False,,,0,,K. Irving REBOUND (Off:0 Def:1),[202681],1610612751.0,BKN,,,,,Irving,K. Irving,,,,,Mid-Range,8-16 Left,,,40.0,1.0,1.0,0.0,,,,,,,,,,,,,
42,PT08M15.00S,2023-01-15T23:18:54.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628410,5.601182654402102,55.88235294117647,1610612751,8,6,2023-01-15T23:18:58Z,420000,False,-29.0,0.0,1,left,MISS E. Sumner running Layup,[1628410],1610612751.0,BKN,,running,,,Sumner,E. Sumner,,,,,Restricted Area,0-8 Center,2.94,Missed,,,,,,,,,,,,,,,,,
43,PT08M12.00S,2023-01-15T23:18:57.5Z,1,REGULAR,rebound,defensive,[],1631119,,,1610612760,8,6,2023-01-15T23:18:58Z,430000,False,,,0,,J. Williams REBOUND (Off:1 Def:2),[1631119],1610612760.0,OKC,,,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,,,42.0,3.0,2.0,1.0,,,,,,,,,,,,,
44,PT08M01.00S,2023-01-15T23:19:07.5Z,1,REGULAR,3pt,Jump Shot,[],1629652,77.4802890932983,88.48039215686273,1610612760,8,9,2023-01-15T23:19:11Z,440000,False,192.0,159.0,1,right,L. Dort 24' 3PT  (3 PTS) (J. Williams 1 AST),"[1629652, 1631119]",1610612760.0,OKC,,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Right Center,24.97,Made,,,,,,,3.0,J. Williams,1631119.0,1.0,,,,,,,
46,PT07M43.00S,2023-01-15T23:19:25.6Z,1,REGULAR,2pt,Jump Shot,[],202681,23.078186596583443,24.264705882352942,1610612751,8,9,2023-01-15T23:19:28Z,460000,False,129.0,164.0,1,left,MISS K. Irving 20' pullup Shot,[202681],1610612751.0,BKN,,pullup,,,Irving,K. Irving,,,,,Mid-Range,16-24 Right Center,20.88,Missed,,,,,,,,,,,,,,,,,
47,PT07M40.00S,2023-01-15T23:19:28.6Z,1,REGULAR,rebound,defensive,[],1631119,,,1610612760,8,9,2023-01-15T23:19:28Z,470000,False,,,0,,J. Williams REBOUND (Off:1 Def:3),[1631119],1610612760.0,OKC,,,,,Williams,J. Williams,,,,,Mid-Range,16-24 Right Center,,,46.0,4.0,3.0,1.0,,,,,,,,,,,,,
48,PT07M31.00S,2023-01-15T23:19:37.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631114,82.86793692509855,50.73529411764706,1610612760,8,9,2023-01-15T23:19:43Z,480000,False,4.0,109.0,1,right,MISS J. Williams 10' pullup Shot,[1631114],1610612760.0,OKC,,pullup,,,Williams,J. Williams,,,,,In The Paint (Non-RA),8-16 Center,10.86,Missed,,,,,,,,,,,,,,,,,
49,PT07M31.00S,2023-01-15T23:19:37.1Z,1,REGULAR,rebound,defensive,[],203925,,,1610612751,8,9,2023-01-15T23:19:43Z,490000,False,,,0,,J. Harris REBOUND (Off:0 Def:1),[203925],1610612751.0,BKN,,,,,Harris,J. Harris,,,,,In The Paint (Non-RA),8-16 Center,,,48.0,1.0,1.0,0.0,,,,,,,,,,,,,
50,PT07M20.00S,2023-01-15T23:19:49.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626220,11.514454664914586,46.07843137254902,1610612751,10,9,2023-01-15T23:19:52Z,500000,False,20.0,56.0,1,left,R. O'Neale driving floating Jump Shot (4 PTS),[1626220],1610612751.0,BKN,,driving floating,,,O'Neale,R. O'Neale,,,,,In The Paint (Non-RA),0-8 Center,5.9,Made,,,,,,,4.0,,,,,,,,,,
