actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
567,PT05M57.00S,2022-10-28T01:39:13.8Z,4,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",202681,11.514454664914586,57.59803921568627,1610612751,99,100,2022-10-28T01:39:19Z,5500000,-38.0,56.0,1,left,MISS K. Irving 6' fadeaway bank Shot,[202681],1610612751.0,BKN,fadeaway bank,,,Irving,K. Irving,,,,,In The Paint (Non-RA),0-8 Center,6.74,Missed,,,,,,,,,,,,,,,,,,
568,PT05M57.00S,2022-10-28T01:39:13.8Z,4,REGULAR,rebound,offensive,['team'],0,,,1610612751,99,100,2022-10-28T01:39:19Z,5510000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,567.0,,,,,,,,,,,,,,,,,
569,PT05M57.00S,2022-10-28T01:39:19.5Z,4,REGULAR,foul,personal,[],203915,,,1610612751,99,100,2022-10-28T01:39:34Z,5520000,,,0,,S. Dinwiddie loose ball personal FOUL (3 PF),"[203915, 1627732]",1610612742.0,DAL,loose ball,,,Dinwiddie,S. Dinwiddie,,,,,Restricted Area,0-8 Center,,,,,,,,,,,202053.0,3.0,0.0,Simmons,1627732.0,,,,,
571,PT05M57.00S,2022-10-28T01:39:30.7Z,4,REGULAR,substitution,out,[],201988,,,1610612751,99,100,2022-10-28T01:39:35Z,5540000,,,0,,SUB out: P. Mills,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,,,,,,,,
572,PT05M57.00S,2022-10-28T01:39:30.7Z,4,REGULAR,substitution,in,[],1626220,,,1610612751,99,100,2022-10-28T01:39:35Z,5550000,,,0,,SUB in: R. O'Neale,[1626220],1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,,,,,,,
573,PT05M51.00S,2022-10-28T01:39:52.5Z,4,REGULAR,violation,kicked ball,[],1629029,,,1610612751,99,100,2022-10-28T01:40:26Z,5560000,,,0,,L. Doncic kicked ball VIOLATION,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,,,202053.0,,,,,,,,,
574,PT05M45.00S,2022-10-28T01:40:14.7Z,4,REGULAR,foul,personal,['2freethrow'],1627827,,,1610612751,99,100,2022-10-28T01:40:40Z,5570000,,,0,,D. Finney-Smith shooting personal FOUL (4 PF) (Durant 2 FT),"[1627827, 201142]",1610612742.0,DAL,shooting,,,Finney-Smith,D. Finney-Smith,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,1662.0,4.0,0.0,Durant,201142.0,,,,,
576,PT05M45.00S,2022-10-28T01:40:41.3Z,4,REGULAR,freethrow,1 of 2,"['fromturnover', '2ndchance']",201142,,,1610612751,100,100,2022-10-28T01:40:41Z,5590000,,,0,,K. Durant Free Throw 1 of 2 (23 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,Made,,,,,23.0,,,,,,,,,,,,,
577,PT05M45.00S,2022-10-28T01:40:45.5Z,4,REGULAR,substitution,out,[],1629139,,,1610612751,100,100,2022-10-28T01:40:49Z,5600000,,,0,,SUB out: Y. Watanabe,[1629139],1610612751.0,BKN,,,,Watanabe,Y. Watanabe,,,,,,,,,,,,,,,,,,,,,,,,,,
578,PT05M45.00S,2022-10-28T01:40:45.5Z,4,REGULAR,substitution,in,[],1630561,,,1610612751,100,100,2022-10-28T01:40:49Z,5610000,,,0,,SUB in: D. Duke Jr.,[1630561],1610612751.0,BKN,,,,Duke Jr.,D. Duke Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
579,PT05M45.00S,2022-10-28T01:40:56.0Z,4,REGULAR,substitution,out,[],203915,,,1610612751,100,100,2022-10-28T01:41:00Z,5620000,,,0,,SUB out: S. Dinwiddie,[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,,,,,,,,,,,,
580,PT05M45.00S,2022-10-28T01:40:56.0Z,4,REGULAR,substitution,in,[],1626174,,,1610612751,100,100,2022-10-28T01:41:00Z,5630000,,,0,,SUB in: C. Wood,[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
581,PT05M45.00S,2022-10-28T01:41:12.6Z,4,REGULAR,freethrow,2 of 2,"['fromturnover', '2ndchance']",201142,,,1610612751,101,100,2022-10-28T01:41:12Z,5640000,,,0,,K. Durant Free Throw 2 of 2 (24 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,Made,,,,,24.0,,,,,,,,,,,,,
582,PT05M24.00S,2022-10-28T01:41:34.3Z,4,REGULAR,3pt,Jump Shot,[],1628467,94.30026281208936,95.83333333333334,1610612742,101,103,2022-10-28T01:41:40Z,5650000,229.0,1.0,1,right,M. Kleber 3PT  (12 PTS) (L. Doncic 9 AST),"[1628467, 1629029]",1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,Right Corner 3,24+ Right,22.92,Made,,,,,12.0,L. Doncic,1629029.0,9.0,,,,,,,,,,
584,PT05M03.00S,2022-10-28T01:41:55.4Z,4,REGULAR,2pt,Jump Shot,[],201142,20.45006570302234,28.431372549019606,1610612751,103,103,2022-10-28T01:42:06Z,5670000,108.0,140.0,1,left,K. Durant 17' pullup Jump Shot (26 PTS),[201142],1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,Mid-Range,16-24 Right Center,17.65,Made,,,,,26.0,,,,,,,,,,,,,
585,PT04M48.00S,2022-10-28T01:42:10.5Z,4,REGULAR,3pt,Jump Shot,[],1626174,70.51576872536137,76.22549019607843,1610612742,103,106,2022-10-28T01:42:16Z,5680000,131.0,225.0,1,right,C. Wood 26' 3PT  (11 PTS) (L. Doncic 10 AST),"[1626174, 1629029]",1610612742.0,DAL,,,,Wood,C. Wood,,,,,Above the Break 3,24+ Right Center,26.01,Made,,,,,11.0,L. Doncic,1629029.0,10.0,,,,,,,,,,
587,PT04M34.00S,2022-10-28T01:42:24.5Z,4,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,11.908672798948752,63.48039215686274,1610612751,105,106,2022-10-28T01:42:47Z,5700000,-67.0,59.0,1,left,K. Durant 8' driving floating bank Jump Shot (28 PTS) (R. O'Neale 2 AST),"[201142, 1626220]",1610612751.0,BKN,driving floating bank,,,Durant,K. Durant,,,,,In The Paint (Non-RA),8-16 Left,8.98,Made,,,,,28.0,R. O'Neale,1626220.0,2.0,,,,,,,,,,
588,PT04M23.00S,2022-10-28T01:42:40.3Z,4,REGULAR,turnover,out-of-bounds,[],1629029,,,1610612742,105,106,2022-10-28T01:42:51Z,5710000,,,0,,L. Doncic bad pass out-of-bounds TURNOVER (4 TO),[1629029],1610612742.0,DAL,bad pass,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,1662.0,,,,,4.0,,,,
589,PT04M16.00S,2022-10-28T01:42:52.1Z,4,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202681,5.469776609724048,50.49019607843137,1610612751,105,106,2022-10-28T01:42:58Z,5720000,-2.0,-1.0,1,left,MISS K. Irving driving Layup - blocked,"[202681, 203493]",1610612751.0,BKN,driving,,,Irving,K. Irving,,,,,Restricted Area,0-8 Center,0.27,Missed,,,,,,,,,,,,,,,,,Bullock,203493.0
590,PT04M16.00S,2022-10-28T01:42:52.1Z,4,REGULAR,block,,[],203493,,,1610612751,105,106,2022-10-28T02:19:32Z,5730000,,,0,,R. Bullock BLOCK (1 BLK),[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
591,PT04M16.00S,2022-10-28T01:42:52.1Z,4,REGULAR,rebound,offensive,[],1630561,,,1610612751,105,106,2022-10-28T01:42:58Z,5740000,,,0,,D. Duke Jr. REBOUND (Off:2 Def:3),[1630561],1610612751.0,BKN,,,,Duke Jr.,D. Duke Jr.,,,,,Restricted Area,0-8 Center,,,589.0,5.0,3.0,2.0,,,,,,,,,,,,,,
592,PT04M16.00S,2022-10-28T01:42:56.6Z,4,REGULAR,foul,personal,['2freethrow'],1626174,,,1610612751,105,106,2022-10-28T01:43:06Z,5750000,,,0,,C. Wood shooting personal FOUL (5 PF) (Duke Jr. 2 FT),"[1626174, 1630561]",1610612742.0,DAL,shooting,,,Wood,C. Wood,,,,,Restricted Area,0-8 Center,,,,,,,,,,,202053.0,5.0,0.0,Duke Jr.,1630561.0,,,,,
595,PT04M16.00S,2022-10-28T01:43:17.5Z,4,REGULAR,freethrow,1 of 2,"['fromturnover', '2ndchance']",1630561,,,1610612751,106,106,2022-10-28T01:43:17Z,5770000,,,0,,D. Duke Jr. Free Throw 1 of 2 (9 PTS),[1630561],1610612751.0,BKN,,,,Duke Jr.,D. Duke Jr.,,,,,,,,Made,,,,,9.0,,,,,,,,,,,,,
596,PT04M16.00S,2022-10-28T01:43:39.4Z,4,REGULAR,freethrow,2 of 2,"['fromturnover', '2ndchance']",1630561,,,1610612751,107,106,2022-10-28T01:43:39Z,5780000,,,0,,D. Duke Jr. Free Throw 2 of 2 (10 PTS),[1630561],1610612751.0,BKN,,,,Duke Jr.,D. Duke Jr.,,,,,,,,Made,,,,,10.0,,,,,,,,,,,,,
597,PT03M52.00S,2022-10-28T01:44:04.3Z,4,REGULAR,3pt,Jump Shot,[],203493,68.80749014454665,32.1078431372549,1610612742,107,106,2022-10-28T01:44:10Z,5790000,-89.0,241.0,1,right,MISS R. Bullock 25' 3PT,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,Above the Break 3,24+ Left Center,25.68,Missed,,,,,,,,,,,,,,,,,,
598,PT03M47.00S,2022-10-28T01:44:09.3Z,4,REGULAR,rebound,defensive,[],1627732,,,1610612751,107,106,2022-10-28T01:52:06Z,5800000,,,0,,B. Simmons REBOUND (Off:0 Def:4),[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,Above the Break 3,24+ Left Center,,,597.0,4.0,4.0,0.0,,,,,,,,,,,,,,
599,PT03M29.00S,2022-10-28T01:44:26.9Z,4,REGULAR,3pt,Jump Shot,[],202681,33.327858081471746,46.07843137254902,1610612751,110,106,2022-10-28T01:44:47Z,5810000,20.0,261.0,1,left,K. Irving 26' 3PT pullup (33 PTS),[202681],1610612751.0,BKN,pullup,,,Irving,K. Irving,,,,,Above the Break 3,24+ Center,26.15,Made,,,,,33.0,,,,,,,,,,,,,
600,PT03M11.00S,2022-10-28T01:44:48.9Z,4,REGULAR,foul,personal,[],1626220,,,1610612742,110,106,2022-10-28T01:45:02Z,5820000,,,0,,R. O'Neale personal FOUL (4 PF),"[1626220, 1629029]",1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,203592.0,4.0,0.0,Doncic,1629029.0,,,,,
602,PT03M11.00S,2022-10-28T01:45:15.8Z,4,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,110,106,2022-10-28T01:45:15Z,5840000,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,PT03M11.00S,2022-10-28T01:48:12.8Z,4,REGULAR,timeout,full,['team'],0,,,1610612742,110,106,2022-10-28T01:48:12Z,5850000,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,PT03M03.00S,2022-10-28T01:49:47.6Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1629029,94.43166885676742,48.77450980392157,1610612742,110,108,2022-10-28T01:49:51Z,5860000,-6.0,0.0,1,right,L. Doncic driving Layup (35 PTS),[1629029],1610612742.0,DAL,driving,,,Doncic,L. Doncic,,,,,Restricted Area,0-8 Center,0.61,Made,,,,,35.0,,,,,,,,,,,,,
605,PT02M38.00S,2022-10-28T01:50:11.9Z,4,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,14.4053876478318,40.44117647058824,1610612751,110,108,2022-10-28T01:50:19Z,5870000,48.0,83.0,1,left,MISS K. Durant 9' driving floating Shot,[201142],1610612751.0,BKN,driving floating,,,Durant,K. Durant,,,,,In The Paint (Non-RA),8-16 Center,9.57,Missed,,,,,,,,,,,,,,,,,,
606,PT02M35.00S,2022-10-28T01:50:14.9Z,4,REGULAR,rebound,offensive,[],1627732,,,1610612751,110,108,2022-10-28T01:50:19Z,5880000,,,0,,B. Simmons REBOUND (Off:1 Def:4),[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,In The Paint (Non-RA),8-16 Center,,,605.0,5.0,4.0,1.0,,,,,,,,,,,,,,
607,PT02M33.00S,2022-10-28T01:50:17.1Z,4,REGULAR,3pt,Jump Shot,['2ndchance'],1626220,31.882391590013142,45.34313725490196,1610612751,110,108,2022-10-28T01:50:21Z,5890000,23.0,247.0,1,left,MISS R. O'Neale 24' 3PT,[1626220],1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Center,24.83,Missed,,,,,,,,,,,,,,,,,,
608,PT02M33.00S,2022-10-28T01:50:17.1Z,4,REGULAR,rebound,defensive,[],1629029,,,1610612742,110,108,2022-10-28T01:50:21Z,5900000,,,0,,L. Doncic REBOUND (Off:1 Def:8),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Center,,,607.0,9.0,8.0,1.0,,,,,,,,,,,,,,
609,PT02M17.00S,2022-10-28T01:50:35.4Z,4,REGULAR,foul,personal,['2freethrow'],202681,,,1610612742,110,108,2022-10-28T01:50:44Z,5910000,,,0,,K. Irving shooting personal FOUL (3 PF) (Doncic 2 FT),"[202681, 1629029]",1610612751.0,BKN,shooting,,,Irving,K. Irving,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1662.0,3.0,0.0,Doncic,1629029.0,,,,,
611,PT02M17.00S,2022-10-28T01:51:06.1Z,4,REGULAR,freethrow,1 of 2,[],1629029,,,1610612742,110,109,2022-10-28T01:51:06Z,5930000,,,0,,L. Doncic Free Throw 1 of 2 (36 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,Made,,,,,36.0,,,,,,,,,,,,,
612,PT02M17.00S,2022-10-28T01:51:09.7Z,4,REGULAR,substitution,out,[],1626174,,,1610612742,110,109,2022-10-28T01:51:17Z,5940000,,,0,,SUB out: C. Wood,[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
613,PT02M17.00S,2022-10-28T01:51:09.7Z,4,REGULAR,substitution,in,[],203501,,,1610612742,110,109,2022-10-28T01:51:17Z,5950000,,,0,,SUB in: T. Hardaway Jr.,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
614,PT02M17.00S,2022-10-28T01:51:42.3Z,4,REGULAR,freethrow,2 of 2,[],1629029,,,1610612742,110,110,2022-10-28T01:51:42Z,5960000,,,0,,L. Doncic Free Throw 2 of 2 (37 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,Made,,,,,37.0,,,,,,,,,,,,,
