actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
17,PT10M48.00S,2023-01-13T00:34:46.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203935,6.652431011826544,49.01960784313725,1610612738,3,0,2023-01-13T00:36:04Z,170000,False,5.0,10.0,1,left,MISS M. Smart running Layup - blocked,"[203935, 1627732]",1610612738.0,BOS,running,,,Smart,M. Smart,,,,,Restricted Area,0-8 Center,,,1.11,Missed,,,,,,,,,Simmons,1627732.0,,,,,,
18,PT10M48.00S,2023-01-13T00:34:46.9Z,1,REGULAR,block,,[],1627732,,,1610612738,3,0,2023-01-13T00:34:49Z,180000,False,,,0,,B. Simmons BLOCK (1 BLK),[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
19,PT10M44.00S,2023-01-13T00:34:50.9Z,1,REGULAR,rebound,offensive,[],203935,,,1610612738,3,0,2023-01-13T00:35:22Z,190000,False,,,0,,M. Smart REBOUND (Off:1 Def:0),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Restricted Area,0-8 Center,,,,,,,,,17.0,1.0,0.0,1.0,,,,,,,,
20,PT10M42.00S,2023-01-13T00:34:52.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1629057,8.229303547963205,49.50980392156863,1610612738,3,2,2023-01-13T00:36:30Z,200000,False,2.0,25.0,1,left,R. Williams III cutting DUNK (2 PTS) (M. Smart 1 AST),"[1629057, 203935]",1610612738.0,BOS,cutting,,,Williams III,R. Williams III,,,,,Restricted Area,0-8 Center,,,2.5,Made,2.0,M. Smart,203935.0,1.0,,,,,,,,,,,,
57,PT10M41.00S,2023-01-13T00:34:54.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,93.51182654402102,48.77450980392157,1610612751,3,2,2023-01-13T00:42:21Z,215000,False,-6.0,8.0,1,right,MISS N. Claxton cutting Layup - blocked,"[1629651, 1629684]",1610612751.0,BKN,cutting,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,1.05,Missed,,,,,,,,,Williams,1629684.0,,,,,,
58,PT10M41.00S,2023-01-13T00:34:54.9Z,1,REGULAR,block,,[],1629684,,,1610612751,3,2,2023-01-13T00:40:04Z,217500,False,,,0,,G. Williams BLOCK (1 BLK),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
59,PT10M40.00S,2023-01-13T00:34:55.9Z,1,REGULAR,rebound,offensive,[],203925,,,1610612751,3,2,2023-01-13T00:42:21Z,218750,False,,,0,,J. Harris REBOUND (Off:1 Def:0),[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,Restricted Area,0-8 Center,,,,,,,,,57.0,1.0,0.0,1.0,,,,,,,,
22,PT10M38.00S,2023-01-13T00:34:57.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203925,92.46057818659659,48.28431372549019,1610612751,5,2,2023-01-13T00:40:04Z,220000,False,-9.0,18.0,1,right,J. Harris driving Layup (2 PTS),[203925],1610612751.0,BKN,driving,,,Harris,J. Harris,,,,,Restricted Area,0-8 Center,,,2.03,Made,2.0,,,,,,,,,,,,,,,
23,PT10M28.00S,2023-01-13T00:35:10.5Z,1,REGULAR,foul,personal,[],203925,,,1610612738,5,2,2023-01-13T00:35:15Z,230000,False,,,0,,J. Harris personal FOUL (1 PF),"[203925, 1628369]",1610612751.0,BKN,,,,Harris,J. Harris,,,,,Mid-Range,16-24 Right Center,1627541.0,,,,,,,,,,,,,,1.0,0.0,Tatum,1628369.0,,
25,PT10M13.00S,2023-01-13T00:35:39.1Z,1,REGULAR,3pt,Jump Shot,[],1628401,30.436925098554536,22.794117647058822,1610612738,5,2,2023-01-13T00:36:03Z,250000,False,136.0,234.0,1,left,MISS D. White 27' 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Right Center,,,27.03,Missed,,,,,,,,,,,,,,,,
26,PT10M11.00S,2023-01-13T00:35:41.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612751,5,2,2023-01-13T00:36:03Z,260000,False,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,25.0,,,,,,,,,,,
28,PT10M03.00S,2023-01-13T00:35:59.9Z,1,REGULAR,foul,personal,[],1628401,,,1610612751,5,2,2023-01-13T00:36:05Z,280000,False,,,0,,D. White personal FOUL (1 PF),"[1628401, 1629651]",1610612738.0,BOS,,,,White,D. White,,,,,Mid-Range,8-16 Right,202058.0,,,,,,,,,,,,,,1.0,0.0,Claxton,1629651.0,,
30,PT09M50.00S,2023-01-13T00:36:29.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626220,92.9862023653088,41.17647058823529,1610612751,7,2,2023-01-13T00:36:34Z,300000,False,-44.0,13.0,1,right,R. O'Neale driving floating Jump Shot (2 PTS),[1626220],1610612751.0,BKN,driving floating,,,O'Neale,R. O'Neale,,,,,In The Paint (Non-RA),0-8 Center,,,4.61,Made,2.0,,,,,,,,,,,,,,,
31,PT09M50.00S,2023-01-13T00:36:32.6Z,1,REGULAR,foul,personal,['1freethrow'],1629684,,,1610612751,7,2,2023-01-13T00:36:42Z,310000,False,,,0,,G. Williams shooting personal FOUL (1 PF) (O'Neale 1 FT),"[1629684, 1626220]",1610612738.0,BOS,shooting,,,Williams,G. Williams,,,,,In The Paint (Non-RA),0-8 Center,1627541.0,,,,,,,,,,,,,,1.0,0.0,O'Neale,1626220.0,,
33,PT09M50.00S,2023-01-13T00:36:52.6Z,1,REGULAR,freethrow,1 of 1,[],1626220,,,1610612751,8,2,2023-01-13T00:36:52Z,330000,False,,,0,,R. O'Neale Free Throw 1 of 1 (3 PTS),[1626220],1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,,
34,PT09M28.00S,2023-01-13T00:37:17.1Z,1,REGULAR,3pt,Jump Shot,[],1628401,3.7614980289093296,95.09803921568627,1610612738,8,5,2023-01-13T00:37:21Z,340000,False,-225.0,-17.0,1,left,D. White 3PT  (3 PTS) (J. Tatum 1 AST),"[1628401, 1628369]",1610612738.0,BOS,,,,White,D. White,,,,,Left Corner 3,24+ Left,,,22.61,Made,3.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,,
36,PT09M18.00S,2023-01-13T00:37:26.8Z,1,REGULAR,3pt,Jump Shot,[],1626220,65.52233902759527,48.77450980392157,1610612751,8,5,2023-01-13T00:37:31Z,360000,False,-6.0,272.0,1,right,MISS R. O'Neale 27' 3PT,[1626220],1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Center,,,27.17,Missed,,,,,,,,,,,,,,,,
37,PT09M15.00S,2023-01-13T00:37:29.8Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,8,5,2023-01-13T00:37:31Z,370000,False,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Center,,,,,,,,,36.0,1.0,1.0,0.0,,,,,,,,
38,PT09M02.00S,2023-01-13T00:37:48.1Z,1,REGULAR,violation,kicked ball,[],1629651,,,1610612738,8,5,2023-01-13T00:38:01Z,380000,False,,,0,,N. Claxton kicked ball VIOLATION,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,1627541.0,,,,,,,,,,,,,,,,,,,
40,PT08M57.00S,2023-01-13T00:38:08.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",1628401,6.521024967148489,52.94117647058824,1610612738,8,7,2023-01-13T00:47:20Z,400000,False,-15.0,9.0,1,left,D. White driving Layup (5 PTS),[1628401],1610612738.0,BOS,driving,,,White,D. White,,,,,Restricted Area,0-8 Center,,,1.71,Made,5.0,,,,,,,,,,,,,,,
41,PT08M57.00S,2023-01-13T00:38:13.0Z,1,REGULAR,violation,defensive goaltending,[],1629651,,,1610612738,8,7,2023-01-13T00:38:26Z,410000,False,,,0,,N. Claxton defensive goaltending VIOLATION,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,202058.0,,,,,,,,,,,,,,,,,,,
42,PT08M44.00S,2023-01-13T00:38:34.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203925,93.38042049934296,45.588235294117645,1610612751,10,7,2023-01-13T00:38:40Z,420000,False,-22.0,10.0,1,right,J. Harris driving reverse Layup (4 PTS) (B. Simmons 2 AST),"[203925, 1627732]",1610612751.0,BKN,driving reverse,,,Harris,J. Harris,,,,,Restricted Area,0-8 Center,,,2.41,Made,4.0,B. Simmons,1627732.0,2.0,,,,,,,,,,,,
44,PT08M31.00S,2023-01-13T00:38:46.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629057,5.732588699080158,48.77450980392157,1610612738,10,9,2023-01-13T00:38:50Z,440000,False,6.0,1.0,1,left,R. Williams III alley-oop DUNK (4 PTS) (J. Tatum 2 AST),"[1629057, 1628369]",1610612738.0,BOS,alley-oop,,,Williams III,R. Williams III,,,,,Restricted Area,0-8 Center,,,0.63,Made,4.0,J. Tatum,1628369.0,2.0,,,,,,,,,,,,
46,PT08M16.00S,2023-01-13T00:39:02.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,93.38042049934296,48.28431372549019,1610612751,12,9,2023-01-13T00:39:06Z,460000,False,-9.0,10.0,1,right,N. Claxton alley-oop Layup (2 PTS) (K. Irving 1 AST),"[1629651, 202681]",1610612751.0,BKN,alley-oop,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,1.3,Made,2.0,K. Irving,202681.0,1.0,,,,,,,,,,,,
48,PT08M02.00S,2023-01-13T00:39:15.7Z,1,REGULAR,3pt,Jump Shot,[],1628369,31.09395532194481,63.23529411764706,1610612738,12,9,2023-01-13T00:39:24Z,480000,False,-66.0,240.0,1,left,MISS J. Tatum 24' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Center,,,24.88,Missed,,,,,,,,,,,,,,,,
49,PT07M59.00S,2023-01-13T00:39:18.9Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612751,12,9,2023-01-13T00:39:18Z,490000,False,,,0,,R. O'Neale REBOUND (Off:0 Def:1),[1626220],1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Center,,,,,,,,,48.0,1.0,1.0,0.0,,,,,,,,
51,PT07M57.00S,2023-01-13T00:39:25.5Z,1,REGULAR,substitution,out,[],1629057,,,1610612751,12,9,2023-01-13T00:39:31Z,510000,False,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M57.00S,2023-01-13T00:39:25.5Z,1,REGULAR,substitution,in,[],1628436,,,1610612751,12,9,2023-01-13T00:39:31Z,520000,False,,,0,,SUB in: L. Kornet,[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M57.00S,2023-01-13T00:39:25.5Z,1,REGULAR,substitution,out,[],203925,,,1610612751,12,9,2023-01-13T00:39:44Z,530000,False,,,0,,SUB out: J. Harris,[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M57.00S,2023-01-13T00:39:25.5Z,1,REGULAR,substitution,in,[],203933,,,1610612751,12,9,2023-01-13T00:39:44Z,540000,False,,,0,,SUB in: T. Warren,[203933],1610612751.0,BKN,,,,Warren,T. Warren,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M48.00S,2023-01-13T00:39:57.6Z,1,REGULAR,2pt,Jump Shot,[],202681,76.16622864651774,59.31372549019608,1610612751,14,9,2023-01-13T00:40:09Z,550000,False,47.0,172.0,1,right,K. Irving 17' step back Jump Shot (5 PTS) (B. Simmons 3 AST),"[202681, 1627732]",1610612751.0,BKN,step back,,,Irving,K. Irving,,,,,Mid-Range,16-24 Center,,,17.77,Made,5.0,B. Simmons,1627732.0,3.0,,,,,,,,,,,,
60,PT07M35.00S,2023-01-13T00:40:10.7Z,1,REGULAR,3pt,Jump Shot,[],203935,31.882391590013142,60.78431372549019,1610612738,14,9,2023-01-13T00:49:06Z,570000,False,-54.0,247.0,1,left,MISS M. Smart 25' pullup 3PT,[203935],1610612738.0,BOS,pullup,,,Smart,M. Smart,,,,,Above the Break 3,24+ Center,,,25.3,Missed,,,,,,,,,,,,,,,,
61,PT07M30.00S,2023-01-13T00:40:15.7Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,14,9,2023-01-13T00:40:16Z,580000,False,,,0,,N. Claxton REBOUND (Off:0 Def:2),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Center,,,,,,,,,60.0,2.0,2.0,0.0,,,,,,,,
62,PT07M25.00S,2023-01-13T00:40:20.0Z,1,REGULAR,3pt,Jump Shot,[],202681,71.04139290407359,76.9607843137255,1610612751,14,9,2023-01-13T00:40:25Z,590000,False,135.0,220.0,1,right,MISS K. Irving 25' pullup 3PT,[202681],1610612751.0,BKN,pullup,,,Irving,K. Irving,,,,,Above the Break 3,24+ Right Center,,,25.78,Missed,,,,,,,,,,,,,,,,
63,PT07M22.00S,2023-01-13T00:40:23.0Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,14,9,2023-01-13T00:40:25Z,600000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,,,,,,,,,62.0,1.0,1.0,0.0,,,,,,,,
64,PT07M11.00S,2023-01-13T00:40:34.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628436,15.193823915900131,40.44117647058824,1610612738,14,11,2023-01-13T00:40:39Z,610000,False,48.0,90.0,1,left,L. Kornet 10' turnaround Hook (2 PTS),[1628436],1610612738.0,BOS,turnaround,,,Kornet,L. Kornet,,,,,In The Paint (Non-RA),8-16 Center,,,10.22,Made,2.0,,,,,,,,,,,,,,,
65,PT06M50.00S,2023-01-13T00:40:55.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203933,79.97700394218134,58.08823529411765,1610612751,16,11,2023-01-13T00:41:04Z,620000,False,40.0,136.0,1,right,T. Warren 14' pullup Jump Shot (2 PTS),[203933],1610612751.0,BKN,pullup,,,Warren,T. Warren,,,,,In The Paint (Non-RA),8-16 Center,,,14.16,Made,2.0,,,,,,,,,,,,,,,
69,PT06M30.00S,2023-01-13T00:41:15.0Z,1,REGULAR,3pt,Jump Shot,[],1628436,7.5722733245729295,4.166666666666666,1610612738,16,14,2023-01-13T00:41:19Z,630000,False,229.0,19.0,1,left,L. Kornet 3PT  (5 PTS) (M. Smart 2 AST),"[1628436, 203935]",1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,Right Corner 3,24+ Right,,,23.0,Made,5.0,M. Smart,203935.0,2.0,,,,,,,,,,,,
71,PT06M17.00S,2023-01-13T00:41:28.1Z,1,REGULAR,3pt,Jump Shot,[],203933,69.33311432325887,29.166666666666668,1610612751,19,14,2023-01-13T00:41:32Z,650000,False,-104.0,236.0,1,right,T. Warren 25' 3PT  (5 PTS) (B. Simmons 4 AST),"[203933, 1627732]",1610612751.0,BKN,,,,Warren,T. Warren,,,,,Above the Break 3,24+ Left Center,,,25.78,Made,5.0,B. Simmons,1627732.0,4.0,,,,,,,,,,,,
73,PT05M59.00S,2023-01-13T00:41:46.3Z,1,REGULAR,3pt,Jump Shot,[],1629684,15.850854139290407,94.85294117647058,1610612738,19,14,2023-01-13T00:50:23Z,670000,False,-224.0,96.0,1,left,MISS G. Williams 24' step back 3PT,[1629684],1610612738.0,BOS,step back,,,Williams,G. Williams,,,,,Above the Break 3,24+ Left Center,,,24.42,Missed,,,,,,,,,,,,,,,,
74,PT05M56.00S,2023-01-13T00:41:49.3Z,1,REGULAR,rebound,defensive,[],1627732,,,1610612751,19,14,2023-01-13T00:41:50Z,680000,False,,,0,,B. Simmons REBOUND (Off:0 Def:1),[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,Above the Break 3,24+ Left Center,,,,,,,,,73.0,1.0,1.0,0.0,,,,,,,,
75,PT05M46.00S,2023-01-13T00:41:59.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629651,87.86136662286465,49.50980392156863,1610612751,19,14,2023-01-13T00:50:57Z,690000,False,-2.0,62.0,1,right,MISS N. Claxton 6' driving Hook,[1629651],1610612751.0,BKN,driving,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,6.17,Missed,,,,,,,,,,,,,,,,
76,PT05M43.00S,2023-01-13T00:42:02.9Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,19,14,2023-01-13T00:42:05Z,700000,False,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,75.0,2.0,2.0,0.0,,,,,,,,
78,PT05M40.00S,2023-01-13T00:42:13.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,19,14,2023-01-13T00:42:13Z,720000,False,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M40.00S,2023-01-13T00:42:14.4Z,1,REGULAR,substitution,out,[],1627732,,,1610612738,19,14,2023-01-13T00:45:16Z,730000,False,,,0,,SUB out: B. Simmons,[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M40.00S,2023-01-13T00:42:14.4Z,1,REGULAR,substitution,in,[],1629139,,,1610612738,19,14,2023-01-13T00:45:16Z,740000,False,,,0,,SUB in: Y. Watanabe,[1629139],1610612751.0,BKN,,,,Watanabe,Y. Watanabe,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M27.00S,2023-01-13T00:45:52.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629684,15.719448094612352,41.42156862745098,1610612738,19,16,2023-01-13T00:45:57Z,750000,False,43.0,95.0,1,left,G. Williams 10' driving floating Jump Shot (2 PTS) (L. Kornet 1 AST),"[1629684, 1628436]",1610612738.0,BOS,driving floating,,,Williams,G. Williams,,,,,In The Paint (Non-RA),8-16 Center,,,10.45,Made,2.0,L. Kornet,1628436.0,1.0,,,,,,,,,,,,
83,PT05M09.00S,2023-01-13T00:46:10.5Z,1,REGULAR,2pt,Jump Shot,[],203933,78.66294349540078,41.17647058823529,1610612751,21,16,2023-01-13T00:46:14Z,770000,False,-44.0,148.0,1,right,T. Warren 15' pullup Jump Shot (7 PTS),[203933],1610612751.0,BKN,pullup,,,Warren,T. Warren,,,,,Mid-Range,8-16 Center,,,15.45,Made,7.0,,,,,,,,,,,,,,,
84,PT04M52.00S,2023-01-13T00:46:26.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629684,8.09789750328515,48.77450980392157,1610612738,21,18,2023-01-13T00:46:34Z,780000,False,6.0,24.0,1,left,G. Williams driving reverse Layup (4 PTS) (M. Smart 3 AST),"[1629684, 203935]",1610612738.0,BOS,driving reverse,,,Williams,G. Williams,,,,,Restricted Area,0-8 Center,,,2.44,Made,4.0,M. Smart,203935.0,3.0,,,,,,,,,,,,
86,PT04M38.00S,2023-01-13T00:46:40.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203933,90.88370565045992,34.31372549019608,1610612751,21,18,2023-01-13T00:46:46Z,800000,False,-78.0,33.0,1,right,MISS T. Warren 8' pullup Shot,[203933],1610612751.0,BKN,pullup,,,Warren,T. Warren,,,,,In The Paint (Non-RA),8-16 Left,,,8.51,Missed,,,,,,,,,,,,,,,,
87,PT04M34.00S,2023-01-13T00:46:44.7Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,21,18,2023-01-13T00:46:46Z,810000,False,,,0,,M. Smart REBOUND (Off:1 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,86.0,2.0,1.0,1.0,,,,,,,,
88,PT04M27.00S,2023-01-13T00:46:50.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,11.514454664914586,37.5,1610612738,21,18,2023-01-13T00:47:03Z,820000,False,62.0,56.0,1,left,MISS J. Tatum 8' driving floating bank Shot,[1628369],1610612738.0,BOS,driving floating bank,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),8-16 Right,,,8.37,Missed,,,,,,,,,,,,,,,,
89,PT04M23.00S,2023-01-13T00:46:54.9Z,1,REGULAR,rebound,offensive,[],1628436,,,1610612738,21,18,2023-01-13T00:47:03Z,830000,False,,,0,,L. Kornet REBOUND (Off:1 Def:0),[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,88.0,1.0,0.0,1.0,,,,,,,,
90,PT04M23.00S,2023-01-13T00:46:55.2Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628436,5.590000152587891,50.0,1610612738,21,20,2023-01-13T00:52:39Z,840000,False,0.0,0.0,1,left,L. Kornet tip Layup (7 PTS),[1628436],1610612738.0,BOS,tip,,,Kornet,L. Kornet,,,,,Restricted Area,0-8 Center,,,0.0,Made,7.0,,,,,,,,,,,,,,,
91,PT04M16.00S,2023-01-13T00:47:05.3Z,1,REGULAR,foul,personal,[],1628436,,,1610612751,21,20,2023-01-13T00:47:43Z,850000,False,,,0,,L. Kornet personal FOUL (1 PF),"[1628436, 203933]",1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,Above the Break 3,24+ Right Center,200832.0,,,,,,,,,,,,,,1.0,0.0,Warren,203933.0,,
93,PT04M16.00S,2023-01-13T00:47:13.8Z,1,REGULAR,substitution,out,[],1626220,,,1610612751,21,20,2023-01-13T00:47:21Z,870000,False,,,0,,SUB out: R. O'Neale,[1626220],1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,,,,,,,
