actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
25,PT09M25.00S,2022-10-21T23:45:33.8Z,1,REGULAR,2pt,Jump Shot,[],1628384,19.66162943495401,32.84313725490196,1610612761,2,6,2022-10-21T23:45:38Z,250000,86.0,132.0,1,left,MISS O. Anunoby 15' step back Shot,[1628384],1610612761.0,TOR,step back,,,Anunoby,O. Anunoby,,,,,Mid-Range,8-16 Right,,,15.77,Missed,,,,,,,,,,,,,,,,
26,PT09M22.00S,2022-10-21T23:45:36.8Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,2,6,2022-10-21T23:45:38Z,260000,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,Mid-Range,8-16 Right,,,,,,,,,,,25.0,1.0,1.0,0.0,,,,,,
27,PT09M10.00S,2022-10-21T23:45:48.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627732,85.23324572930355,45.83333333333333,1610612751,4,6,2022-10-21T23:45:53Z,270000,-21.0,86.0,1,right,B. Simmons 8' driving Hook (2 PTS),[1627732],1610612751.0,BKN,driving,,,Simmons,B. Simmons,,,,,In The Paint (Non-RA),8-16 Center,,,8.88,Made,2.0,,,,,,,,,,,,,,,
29,PT08M58.00S,2022-10-21T23:46:03.7Z,1,REGULAR,foul,personal,[],1629651,,,1610612761,4,6,2022-10-21T23:46:11Z,290000,,,0,,N. Claxton personal FOUL (1 PF),"[1629651, 1627783]",1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Mid-Range,8-16 Right,1148.0,,,,,,,,,,,,,,1.0,0.0,Siakam,1627783.0,,
31,PT08M48.00S,2022-10-21T23:46:30.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629018,5.601182654402102,50.49019607843137,1610612761,4,8,2022-10-21T23:46:36Z,310000,-2.0,0.0,1,left,G. Trent Jr. driving Layup (4 PTS) (F. VanVleet 1 AST),"[1629018, 1627832]",1610612761.0,TOR,driving,,,Trent Jr.,G. Trent Jr.,,,,,Restricted Area,0-8 Center,,,0.25,Made,4.0,F. VanVleet,1627832.0,1.0,,,,,,,,,,,,
33,PT08M27.00S,2022-10-21T23:46:52.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629651,93.51182654402102,48.28431372549019,1610612751,6,8,2022-10-21T23:54:12Z,330000,-9.0,8.0,1,right,N. Claxton cutting DUNK (2 PTS) (K. Durant 1 AST),"[1629651, 201142]",1610612751.0,BKN,cutting,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,1.21,Made,2.0,K. Durant,201142.0,1.0,,,,,,,,,,,,
35,PT08M13.00S,2022-10-21T23:47:05.8Z,1,REGULAR,3pt,Jump Shot,[],1628384,2.8416557161629434,95.83333333333334,1610612761,6,8,2022-10-21T23:47:10Z,350000,-229.0,-26.0,1,left,MISS O. Anunoby 3PT,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Left Corner 3,24+ Left,,,23.06,Missed,,,,,,,,,,,,,,,,
36,PT08M10.00S,2022-10-21T23:47:08.8Z,1,REGULAR,rebound,offensive,[],1628384,,,1610612761,6,8,2022-10-21T23:47:10Z,360000,,,0,,O. Anunoby REBOUND (Off:1 Def:0),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Left Corner 3,24+ Left,,,,,,,,,,,35.0,1.0,0.0,1.0,,,,,,
37,PT08M09.00S,2022-10-21T23:47:10.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628384,7.966491458607096,50.73529411764706,1610612761,6,8,2022-10-21T23:47:14Z,370000,-4.0,22.0,1,left,MISS O. Anunoby Layup - blocked,"[1628384, 1627732]",1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,,,2.27,Missed,,,,,,,,,,,,,,,Simmons,1627732.0
38,PT08M09.00S,2022-10-21T23:47:10.8Z,1,REGULAR,block,,[],1627732,,,1610612761,6,8,2022-10-21T23:47:13Z,380000,,,0,,B. Simmons BLOCK (1 BLK),[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
39,PT08M06.00S,2022-10-21T23:47:13.8Z,1,REGULAR,rebound,defensive,[],1627732,,,1610612751,6,8,2022-10-21T23:47:14Z,390000,,,0,,B. Simmons REBOUND (Off:0 Def:1),[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,Restricted Area,0-8 Center,,,,,,,,,,,37.0,1.0,1.0,0.0,,,,,,
40,PT07M55.00S,2022-10-21T23:47:26.5Z,1,REGULAR,foul,personal,[],1627832,,,1610612751,6,8,2022-10-21T23:47:34Z,400000,,,0,,F. VanVleet personal FOUL (1 PF),"[1627832, 202681]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,Mid-Range,16-24 Right Center,1628484.0,,,,,,,,,,,,,,1.0,0.0,Irving,202681.0,,
42,PT07M53.00S,2022-10-21T23:47:42.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626220,92.9862023653088,51.225490196078425,1610612751,8,8,2022-10-21T23:47:47Z,420000,6.0,13.0,1,right,R. O'Neale cutting Layup (2 PTS) (B. Simmons 1 AST),"[1626220, 1627732]",1610612751.0,BKN,cutting,,,O'Neale,R. O'Neale,,,,,Restricted Area,0-8 Center,,,1.47,Made,2.0,B. Simmons,1627732.0,1.0,,,,,,,,,,,,
44,PT07M48.00S,2022-10-21T23:47:51.8Z,1,REGULAR,foul,personal,[],1629651,,,1610612761,8,8,2022-10-21T23:47:59Z,440000,,,0,,N. Claxton personal FOUL (2 PF),"[1629651, 1628384]",1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Mid-Range,8-16 Left,1628484.0,,,,,,,,,,,,,,2.0,0.0,Anunoby,1628384.0,,
46,PT07M39.00S,2022-10-21T23:48:15.3Z,1,REGULAR,3pt,Jump Shot,[],1627783,32.802233902759525,48.28431372549019,1610612761,8,8,2022-10-21T23:48:20Z,460000,9.0,256.0,1,left,MISS P. Siakam 25' 3PT,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Center,,,25.59,Missed,,,,,,,,,,,,,,,,
47,PT07M36.00S,2022-10-21T23:48:18.3Z,1,REGULAR,rebound,defensive,[],1627732,,,1610612751,8,8,2022-10-21T23:48:20Z,470000,,,0,,B. Simmons REBOUND (Off:0 Def:2),[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,Above the Break 3,24+ Center,,,,,,,,,,,46.0,2.0,2.0,0.0,,,,,,
48,PT07M26.00S,2022-10-21T23:48:31.1Z,1,REGULAR,foul,personal,['2freethrow'],1627783,,,1610612751,8,8,2022-10-21T23:49:20Z,480000,,,0,,P. Siakam shooting personal FOUL (1 PF) (O'Neale 2 FT),"[1627783, 1626220]",1610612761.0,TOR,shooting,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,1628484.0,,,,,,,,,,,,,,1.0,0.0,O'Neale,1626220.0,,
50,PT07M26.00S,2022-10-21T23:48:59.1Z,1,REGULAR,freethrow,1 of 2,[],1626220,,,1610612751,9,8,2022-10-21T23:49:23Z,500000,,,0,,R. O'Neale Free Throw 1 of 2 (3 PTS),[1626220],1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,,
51,PT07M26.00S,2022-10-21T23:48:59.1Z,1,REGULAR,freethrow,2 of 2,[],1626220,,,1610612751,10,8,2022-10-21T23:49:23Z,510000,,,0,,R. O'Neale Free Throw 2 of 2 (4 PTS),[1626220],1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,,
52,PT07M05.00S,2022-10-21T23:49:40.8Z,1,REGULAR,2pt,Jump Shot,[],1629018,23.340998685939553,47.30392156862745,1610612761,10,10,2022-10-21T23:49:45Z,520000,13.0,167.0,1,left,G. Trent Jr. 16' pullup Jump Shot (6 PTS),[1629018],1610612761.0,TOR,pullup,,,Trent Jr.,G. Trent Jr.,,,,,Mid-Range,16-24 Center,,,16.74,Made,6.0,,,,,,,,,,,,,,,
53,PT06M49.00S,2022-10-21T23:49:55.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627732,87.59855453350855,40.931372549019606,1610612751,12,10,2022-10-21T23:54:26Z,530000,-45.0,64.0,1,right,B. Simmons 7' driving floating Jump Shot (4 PTS) (K. Durant 2 AST),"[1627732, 201142]",1610612751.0,BKN,driving floating,,,Simmons,B. Simmons,,,,,In The Paint (Non-RA),0-8 Center,,,7.85,Made,4.0,K. Durant,201142.0,2.0,,,,,,,,,,,,
55,PT06M36.00S,2022-10-21T23:50:09.2Z,1,REGULAR,2pt,Jump Shot,[],1630567,11.645860709592641,12.009803921568627,1610612761,12,10,2022-10-21T23:50:20Z,550000,190.0,57.0,1,left,MISS S. Barnes 19' pullup Shot,[1630567],1610612761.0,TOR,pullup,,,Barnes,S. Barnes,,,,,Mid-Range,16-24 Right,,,19.84,Missed,,,,,,,,,,,,,,,,
56,PT06M36.00S,2022-10-21T23:50:09.2Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,12,10,2022-10-21T23:50:20Z,560000,,,0,,N. Claxton REBOUND (Off:1 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Mid-Range,16-24 Right,,,,,,,,,,,55.0,2.0,1.0,1.0,,,,,,
57,PT06M20.00S,2022-10-21T23:50:25.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,94.1688567674113,47.05882352941176,1610612751,14,10,2022-10-21T23:50:28Z,570000,-15.0,2.0,1,right,N. Claxton driving Layup (4 PTS),[1629651],1610612751.0,BKN,driving,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,1.49,Made,4.0,,,,,,,,,,,,,,,
58,PT06M01.00S,2022-10-21T23:50:44.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,6.521024967148489,44.36274509803921,1610612761,14,12,2022-10-21T23:50:50Z,580000,28.0,9.0,1,left,P. Siakam driving Layup (4 PTS),[1627783],1610612761.0,TOR,driving,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,2.95,Made,4.0,,,,,,,,,,,,,,,
59,PT06M00.00S,2022-10-21T23:50:50.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,14,12,2022-10-21T23:50:50Z,590000,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M00.00S,2022-10-21T23:50:52.4Z,1,REGULAR,substitution,out,[],202681,,,1610612751,14,12,2022-10-21T23:53:25Z,600000,,,0,,SUB out: K. Irving,[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M00.00S,2022-10-21T23:50:52.4Z,1,REGULAR,substitution,in,[],203925,,,1610612751,14,12,2022-10-21T23:53:25Z,610000,,,0,,SUB in: J. Harris,[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT05M40.00S,2022-10-21T23:53:59.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629651,90.88370565045992,55.63725490196079,1610612751,14,12,2022-10-21T23:54:03Z,620000,28.0,33.0,1,right,MISS N. Claxton turnaround Hook,[1629651],1610612751.0,BKN,turnaround,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,4.36,Missed,,,,,,,,,,,,,,,,
63,PT05M38.00S,2022-10-21T23:54:01.0Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,14,12,2022-10-21T23:54:03Z,630000,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,,,,,,,,,62.0,1.0,1.0,0.0,,,,,,
64,PT05M26.00S,2022-10-21T23:54:13.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,9.674770039421814,43.13725490196079,1610612761,14,14,2022-10-22T00:00:57Z,640000,34.0,38.0,1,left,P. Siakam turnaround bank Jump Shot (6 PTS),[1627783],1610612761.0,TOR,turnaround bank,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,,,5.15,Made,6.0,,,,,,,,,,,,,,,
65,PT05M19.00S,2022-10-21T23:54:23.0Z,1,REGULAR,foul,personal,['2freethrow'],1627783,,,1610612751,14,14,2022-10-21T23:54:34Z,650000,,,0,,P. Siakam shooting personal FOUL (2 PF) (Durant 2 FT),"[1627783, 201142]",1610612761.0,TOR,shooting,,,Siakam,P. Siakam,,,,,Mid-Range,8-16 Left,1151.0,,,,,,,,,,,,,,2.0,0.0,Durant,201142.0,,
67,PT05M19.00S,2022-10-21T23:54:50.2Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],201142,,,1610612751,15,14,2022-10-21T23:54:50Z,670000,,,0,,K. Durant Free Throw 1 of 2 (1 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
68,PT05M19.00S,2022-10-21T23:54:50.8Z,1,REGULAR,substitution,out,[],1629651,,,1610612751,15,14,2022-10-21T23:55:00Z,680000,,,0,,SUB out: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M19.00S,2022-10-21T23:54:50.8Z,1,REGULAR,substitution,out,[],1627783,,,1610612751,15,14,2022-10-21T23:55:00Z,690000,,,0,,SUB out: P. Siakam,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M19.00S,2022-10-21T23:54:50.8Z,1,REGULAR,substitution,in,[],1630549,,,1610612751,15,14,2022-10-21T23:55:00Z,700000,,,0,,SUB in: D. Sharpe,[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M19.00S,2022-10-21T23:54:50.8Z,1,REGULAR,substitution,in,[],1630173,,,1610612751,15,14,2022-10-21T23:55:00Z,710000,,,0,,SUB in: P. Achiuwa,[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M19.00S,2022-10-21T23:55:13.1Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],201142,,,1610612751,16,14,2022-10-21T23:55:13Z,720000,,,0,,K. Durant Free Throw 2 of 2 (2 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,,
73,PT05M03.00S,2022-10-21T23:55:30.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627832,13.222733245729303,58.82352941176471,1610612761,16,16,2022-10-21T23:55:36Z,730000,-44.0,72.0,1,left,F. VanVleet 8' driving floating Jump Shot (2 PTS),[1627832],1610612761.0,TOR,driving floating,,,VanVleet,F. VanVleet,,,,,In The Paint (Non-RA),8-16 Center,,,8.43,Made,2.0,,,,,,,,,,,,,,,
74,PT04M47.00S,2022-10-21T23:55:46.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630549,90.75229960578186,43.13725490196079,1610612751,18,16,2022-10-21T23:55:50Z,740000,-34.0,34.0,1,right,D. Sharpe turnaround Hook (2 PTS) (K. Durant 3 AST),"[1630549, 201142]",1610612751.0,BKN,turnaround,,,Sharpe,D. Sharpe,,,,,In The Paint (Non-RA),0-8 Center,,,4.86,Made,2.0,K. Durant,201142.0,3.0,,,,,,,,,,,,
76,PT04M32.00S,2022-10-21T23:56:01.0Z,1,REGULAR,2pt,Jump Shot,[],1630173,21.23850197109067,48.03921568627451,1610612761,18,18,2022-10-21T23:56:05Z,760000,10.0,147.0,1,left,P. Achiuwa 14' pullup Jump Shot (2 PTS) (F. VanVleet 2 AST),"[1630173, 1627832]",1610612761.0,TOR,pullup,,,Achiuwa,P. Achiuwa,,,,,Mid-Range,8-16 Center,,,14.74,Made,2.0,F. VanVleet,1627832.0,2.0,,,,,,,,,,,,
78,PT04M18.00S,2022-10-21T23:56:15.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630549,93.38042049934296,49.01960784313725,1610612751,20,18,2022-10-21T23:56:20Z,780000,-5.0,10.0,1,right,D. Sharpe cutting DUNK (4 PTS) (K. Durant 4 AST),"[1630549, 201142]",1610612751.0,BKN,cutting,,,Sharpe,D. Sharpe,,,,,Restricted Area,0-8 Center,,,1.09,Made,4.0,K. Durant,201142.0,4.0,,,,,,,,,,,,
80,PT04M07.00S,2022-10-21T23:56:25.4Z,1,REGULAR,3pt,Jump Shot,[],1629018,28.991458607095925,74.75490196078431,1610612761,20,21,2022-10-21T23:56:30Z,800000,-124.0,220.0,1,left,G. Trent Jr. 25' 3PT  (9 PTS) (F. VanVleet 3 AST),"[1629018, 1627832]",1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,Above the Break 3,24+ Left Center,,,25.24,Made,9.0,F. VanVleet,1627832.0,3.0,,,,,,,,,,,,
82,PT03M51.00S,2022-10-21T23:56:42.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203925,83.78777923784494,48.77450980392157,1610612751,20,21,2022-10-21T23:57:06Z,820000,-6.0,100.0,1,right,MISS J. Harris 10' driving floating Shot,[203925],1610612751.0,BKN,driving floating,,,Harris,J. Harris,,,,,In The Paint (Non-RA),8-16 Center,,,10.01,Missed,,,,,,,,,,,,,,,,
83,PT03M48.00S,2022-10-21T23:56:45.3Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612761,20,21,2022-10-21T23:57:06Z,830000,,,0,,P. Achiuwa REBOUND (Off:0 Def:1),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,82.0,1.0,1.0,0.0,,,,,,
84,PT03M41.00S,2022-10-21T23:56:52.6Z,1,REGULAR,turnover,bad pass,[],1630173,,,1610612761,20,21,2022-10-21T23:57:11Z,840000,,,0,,P. Achiuwa bad pass TURNOVER (1 TO),"[1630173, 1626220]",1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,Mid-Range,8-16 Right,,1.0,,,,,,,O'Neale,1626220.0,,,,,,,,,,
85,PT03M41.00S,2022-10-21T23:56:52.6Z,1,REGULAR,steal,,[],1626220,,,1610612751,20,21,2022-10-21T23:56:54Z,850000,,,0,,R. O'Neale STEAL (1 STL),[1626220],1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
86,PT03M34.00S,2022-10-21T23:56:59.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201142,90.22667542706965,4.411764705882353,1610612751,20,21,2022-10-21T23:57:14Z,860000,-228.0,39.0,1,right,MISS K. Durant 3PT,[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,Left Corner 3,24+ Left,,,23.13,Missed,,,,,,,,,,,,,,,,
87,PT03M30.00S,2022-10-21T23:57:03.0Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,20,21,2022-10-21T23:57:03Z,870000,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Left Corner 3,24+ Left,,,,,,,,,,,86.0,1.0,1.0,0.0,,,,,,
