actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
18,PT11M02.00S,2022-10-29T23:42:55.4Z,1,REGULAR,turnover,bad pass,[],201142,,,1610612751,3,0,2022-10-29T23:42:59Z,180000,,,0,,K. Durant bad pass TURNOVER (1 TO),"[201142, 1630543]",1610612751.0,BKN,,,,Durant,K. Durant,,,,,Mid-Range,8-16 Right,1.0,Jackson,1630543.0,,,,,,,,,,,,,,,,,
19,PT11M02.00S,2022-10-29T23:42:55.4Z,1,REGULAR,steal,,[],1630543,,,1610612754,3,0,2022-10-29T23:42:57Z,190000,,,0,,I. Jackson STEAL (1 STL),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
20,PT10M50.00S,2022-10-29T23:43:07.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630537,34.90473061760841,49.50980392156863,1610612754,3,0,2022-10-29T23:44:12Z,200000,2.0,276.0,1,left,MISS C. Duarte 27' pullup 3PT,[1630537],1610612754.0,IND,pullup,,,Duarte,C. Duarte,,,,,Above the Break 3,24+ Center,,,,27.56,Missed,,,,,,,,,,,,,,,
21,PT10M48.00S,2022-10-29T23:43:09.3Z,1,REGULAR,rebound,offensive,[],1630543,,,1610612754,3,0,2022-10-29T23:43:09Z,210000,,,0,,I. Jackson REBOUND (Off:1 Def:0),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,20.0,1.0,0.0,1.0,,
22,PT10M47.00S,2022-10-29T23:43:10.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630543,6.783837056504599,45.09803921568628,1610612754,3,0,2022-10-29T23:43:14Z,220000,25.0,11.0,1,left,MISS I. Jackson putback Layup,[1630543],1610612754.0,IND,putback,,,Jackson,I. Jackson,,,,,Restricted Area,0-8 Center,,,,2.7,Missed,,,,,,,,,,,,,,,
23,PT10M45.00S,2022-10-29T23:43:12.4Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,3,0,2022-10-29T23:43:14Z,230000,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,22.0,1.0,1.0,0.0,,
24,PT10M29.00S,2022-10-29T23:43:27.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627732,90.62089356110381,43.627450980392155,1610612751,3,0,2022-10-29T23:43:32Z,240000,-32.0,36.0,1,right,MISS B. Simmons turnaround Hook,[1627732],1610612751.0,BKN,turnaround,,,Simmons,B. Simmons,,,,,In The Paint (Non-RA),0-8 Center,,,,4.79,Missed,,,,,,,,,,,,,,,
25,PT10M27.00S,2022-10-29T23:43:29.6Z,1,REGULAR,rebound,defensive,[],1630543,,,1610612754,3,0,2022-10-29T23:43:32Z,250000,,,0,,I. Jackson REBOUND (Off:1 Def:1),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,24.0,2.0,1.0,1.0,,
26,PT10M13.00S,2022-10-29T23:43:43.6Z,1,REGULAR,3pt,Jump Shot,[],1630169,35.955978975032856,62.745098039215684,1610612754,3,3,2022-10-29T23:45:28Z,260000,-64.0,285.0,1,left,T. Haliburton 29' 3PT pullup (3 PTS) (B. Hield 1 AST),"[1630169, 1627741]",1610612754.0,IND,pullup,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Center,,,,29.25,Made,3.0,B. Hield,1627741.0,1.0,,,,,,,,,,,
28,PT09M57.00S,2022-10-29T23:43:59.6Z,1,REGULAR,3pt,Jump Shot,[],1626220,95.3515111695138,3.6764705882352944,1610612751,3,3,2022-10-29T23:44:03Z,280000,-232.0,-9.0,1,right,MISS R. O'Neale 3PT,[1626220],1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,Left Corner 3,24+ Left,,,,23.18,Missed,,,,,,,,,,,,,,,
29,PT09M55.00S,2022-10-29T23:44:01.6Z,1,REGULAR,rebound,defensive,[],1630188,,,1610612754,3,3,2022-10-29T23:44:03Z,290000,,,0,,J. Smith REBOUND (Off:0 Def:1),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,,,28.0,1.0,1.0,0.0,,
30,PT09M43.00S,2022-10-29T23:44:17.3Z,1,REGULAR,turnover,traveling,[],1630169,,,1610612754,3,3,2022-10-29T23:44:22Z,300000,,,0,,T. Haliburton traveling TURNOVER (1 TO),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Center,1.0,,,,,,,,,1629178.0,,,,,,,,,,
31,PT09M23.00S,2022-10-29T23:44:53.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1629651,93.9060446780552,49.26470588235294,1610612751,5,3,2022-10-29T23:44:56Z,310000,-4.0,5.0,1,right,N. Claxton cutting DUNK (2 PTS) (R. O'Neale 2 AST),"[1629651, 1626220]",1610612751.0,BKN,cutting,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,0.61,Made,2.0,R. O'Neale,1626220.0,2.0,,,,,,,,,,,
33,PT09M10.00S,2022-10-29T23:45:06.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630188,12.434296977660972,55.63725490196079,1610612754,5,5,2022-10-29T23:45:16Z,330000,-28.0,64.0,1,left,J. Smith 7' turnaround Hook (2 PTS),[1630188],1610612754.0,IND,turnaround,,,Smith,J. Smith,,,,,In The Paint (Non-RA),0-8 Center,,,,7.03,Made,2.0,,,,,,,,,,,,,,
34,PT09M01.00S,2022-10-29T23:45:15.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629651,93.77463863337714,49.754901960784316,1610612751,7,5,2022-10-29T23:47:58Z,340000,-1.0,6.0,1,right,N. Claxton DUNK (4 PTS) (R. O'Neale 3 AST),"[1629651, 1626220]",1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,0.61,Made,4.0,R. O'Neale,1626220.0,3.0,,,,,,,,,,,
37,PT08M52.00S,2022-10-29T23:45:24.8Z,1,REGULAR,3pt,Jump Shot,[],1627741,34.510512483574246,51.225490196078425,1610612754,7,5,2022-10-29T23:45:43Z,360000,-6.0,272.0,1,left,MISS B. Hield 27' 3PT,[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,Above the Break 3,24+ Center,,,,27.2,Missed,,,,,,,,,,,,,,,
38,PT08M50.00S,2022-10-29T23:45:26.8Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,7,5,2022-10-29T23:45:33Z,370000,,,0,,N. Claxton REBOUND (Off:0 Def:2),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,37.0,2.0,2.0,0.0,,
39,PT08M41.00S,2022-10-29T23:45:34.9Z,1,REGULAR,3pt,Jump Shot,[],1626220,88.12417871222075,4.411764705882353,1610612751,7,5,2022-10-29T23:45:39Z,380000,-228.0,59.0,1,right,MISS R. O'Neale 3PT,[1626220],1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,Left Corner 3,24+ Left,,,,23.54,Missed,,,,,,,,,,,,,,,
40,PT08M41.00S,2022-10-29T23:45:34.9Z,1,REGULAR,rebound,defensive,[],1630543,,,1610612754,7,5,2022-10-29T23:45:39Z,390000,,,0,,I. Jackson REBOUND (Off:1 Def:2),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,,,39.0,3.0,2.0,1.0,,
41,PT08M33.00S,2022-10-29T23:45:42.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630537,19.793035479632064,92.40196078431373,1610612754,7,5,2022-10-29T23:45:48Z,400000,-212.0,134.0,1,left,MISS C. Duarte 25' running 3PT,[1630537],1610612754.0,IND,running,,,Duarte,C. Duarte,,,,,Above the Break 3,24+ Left Center,,,,25.06,Missed,,,,,,,,,,,,,,,
42,PT08M30.00S,2022-10-29T23:45:45.2Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,7,5,2022-10-29T23:45:48Z,410000,,,0,,N. Claxton REBOUND (Off:0 Def:3),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,41.0,3.0,3.0,0.0,,
43,PT08M23.00S,2022-10-29T23:45:52.8Z,1,REGULAR,turnover,bad pass,[],1627732,,,1610612751,7,5,2022-10-29T23:45:59Z,420000,,,0,,B. Simmons bad pass TURNOVER (1 TO),"[1627732, 1630169]",1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,Mid-Range,16-24 Right Center,1.0,Haliburton,1630169.0,,,,,,,,,,,,,,,,,
44,PT08M23.00S,2022-10-29T23:45:52.8Z,1,REGULAR,steal,,[],1630169,,,1610612754,7,5,2022-10-29T23:45:54Z,430000,,,0,,T. Haliburton STEAL (1 STL),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
45,PT08M19.00S,2022-10-29T23:45:58.4Z,1,REGULAR,foul,personal,['2freethrow'],1626220,,,1610612754,7,5,2022-10-29T23:46:07Z,440000,,,0,,R. O'Neale shooting personal FOUL (1 PF) (Smith 2 FT),"[1626220, 1630188]",1610612751.0,BKN,shooting,,,O'Neale,R. O'Neale,,,,,Restricted Area,0-8 Center,,,,,,,,,,1626302.0,1.0,0.0,Smith,1630188.0,,,,,,
47,PT08M19.00S,2022-10-29T23:46:26.5Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1630188,,,1610612754,7,5,2022-10-29T23:46:26Z,460000,,,0,,MISS J. Smith Free Throw 1 of 2,[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
48,PT08M19.00S,2022-10-29T23:46:26.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612754,7,5,2022-10-29T23:46:26Z,470000,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,,
49,PT08M19.00S,2022-10-29T23:46:27.4Z,1,REGULAR,substitution,out,[],1629651,,,1610612754,7,5,2022-10-29T23:46:39Z,480000,,,0,,SUB out: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT08M19.00S,2022-10-29T23:46:27.4Z,1,REGULAR,substitution,in,[],203552,,,1610612754,7,5,2022-10-29T23:46:39Z,490000,,,0,,SUB in: S. Curry,[203552],1610612751.0,BKN,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT08M19.00S,2022-10-29T23:46:52.1Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1630188,,,1610612754,7,6,2022-10-29T23:46:52Z,500000,,,0,,J. Smith Free Throw 2 of 2 (3 PTS),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
52,PT08M08.00S,2022-10-29T23:47:04.4Z,1,REGULAR,3pt,Jump Shot,[],202681,66.70499342969777,65.68627450980392,1610612751,7,6,2022-10-29T23:47:08Z,510000,78.0,260.0,1,right,MISS K. Irving 27' pullup 3PT,[202681],1610612751.0,BKN,pullup,,,Irving,K. Irving,,,,,Above the Break 3,24+ Center,,,,27.2,Missed,,,,,,,,,,,,,,,
53,PT08M05.00S,2022-10-29T23:47:07.4Z,1,REGULAR,rebound,defensive,[],1630188,,,1610612754,7,6,2022-10-29T23:47:08Z,520000,,,0,,J. Smith REBOUND (Off:0 Def:2),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,52.0,2.0,2.0,0.0,,
54,PT07M50.00S,2022-10-29T23:47:24.0Z,1,REGULAR,turnover,lost ball,[],1627741,,,1610612754,7,6,2022-10-29T23:47:42Z,530000,,,0,,B. Hield lost ball TURNOVER (1 TO),"[1627741, 203552]",1610612754.0,IND,,,,Hield,B. Hield,,,,,In The Paint (Non-RA),0-8 Center,1.0,Curry,203552.0,,,,,,,,,,,,,,,,,
58,PT07M50.00S,2022-10-29T23:47:24.0Z,1,REGULAR,steal,,[],203552,,,1610612751,7,6,2022-10-29T23:58:56Z,535000,,,0,,S. Curry STEAL (1 STL),[203552],1610612751.0,BKN,,,,Curry,S. Curry,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
55,PT07M50.00S,2022-10-29T23:47:31.9Z,1,REGULAR,foul,personal,[],1627741,,,1610612751,7,6,2022-10-29T23:47:55Z,540000,,,0,,B. Hield personal FOUL (1 PF),"[1627741, 1627732]",1610612754.0,IND,,,,Hield,B. Hield,,,,,Restricted Area,0-8 Center,,,,,,,,,,1146.0,1.0,0.0,Simmons,1627732.0,,,,,,
57,PT07M32.00S,2022-10-29T23:47:52.3Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202681,83.26215505913272,75.49019607843137,1610612751,9,6,2022-10-29T23:47:59Z,560000,127.0,105.0,1,right,K. Irving 16' step back Jump Shot (2 PTS),[202681],1610612751.0,BKN,step back,,,Irving,K. Irving,,,,,Mid-Range,16-24 Right Center,,,,16.5,Made,2.0,,,,,,,,,,,,,,
59,PT07M17.00S,2022-10-29T23:48:06.7Z,1,REGULAR,2pt,Jump Shot,[],1630188,25.57490144546649,31.61764705882353,1610612754,9,6,2022-10-29T23:48:12Z,570000,92.0,188.0,1,left,MISS J. Smith 20' Jump Shot,[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,Mid-Range,16-24 Right Center,,,,20.92,Missed,,,,,,,,,,,,,,,
60,PT07M15.00S,2022-10-29T23:48:08.7Z,1,REGULAR,rebound,defensive,[],202681,,,1610612751,9,6,2022-10-29T23:48:12Z,580000,,,0,,K. Irving REBOUND (Off:0 Def:1),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,59.0,1.0,1.0,0.0,,
61,PT07M09.00S,2022-10-29T23:48:14.9Z,1,REGULAR,2pt,Jump Shot,[],202681,96.13994743758212,75.73529411764706,1610612751,11,6,2022-10-29T23:48:19Z,590000,129.0,-16.0,1,right,K. Irving 12' Jump Shot (4 PTS) (S. Curry 1 AST),"[202681, 203552]",1610612751.0,BKN,,,,Irving,K. Irving,,,,,Mid-Range,8-16 Right,,,,12.97,Made,4.0,S. Curry,203552.0,1.0,,,,,,,,,,,
63,PT07M09.00S,2022-10-29T23:48:21.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,11,6,2022-10-29T23:48:21Z,610000,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M46.00S,2022-10-29T23:51:36.7Z,1,REGULAR,3pt,Jump Shot,[],1627741,33.722076215505915,51.225490196078425,1610612754,11,6,2022-10-29T23:51:47Z,620000,-6.0,264.0,1,left,MISS B. Hield 26' pullup 3PT - blocked,"[1627741, 203552]",1610612754.0,IND,pullup,,,Hield,B. Hield,,,,,Above the Break 3,24+ Center,,,,26.46,Missed,,,,,,,,,,,,,,Curry,203552.0
65,PT06M46.00S,2022-10-29T23:51:36.7Z,1,REGULAR,block,,[],203552,,,1610612754,11,6,2022-10-29T23:51:39Z,630000,,,0,,S. Curry BLOCK (1 BLK),[203552],1610612751.0,BKN,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
66,PT06M43.00S,2022-10-29T23:51:39.7Z,1,REGULAR,rebound,defensive,[],1627732,,,1610612751,11,6,2022-10-29T23:51:47Z,640000,,,0,,B. Simmons REBOUND (Off:0 Def:2),[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,64.0,2.0,2.0,0.0,,
67,PT06M40.00S,2022-10-29T23:51:42.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203552,80.89684625492772,91.91176470588235,1610612751,11,6,2022-10-29T23:51:50Z,650000,210.0,127.0,1,right,MISS S. Curry 24' running 3PT,[203552],1610612751.0,BKN,running,,,Curry,S. Curry,,,,,Above the Break 3,24+ Right Center,,,,24.51,Missed,,,,,,,,,,,,,,,
68,PT06M36.00S,2022-10-29T23:51:46.9Z,1,REGULAR,rebound,defensive,[],1630188,,,1610612754,11,6,2022-10-29T23:51:50Z,660000,,,0,,J. Smith REBOUND (Off:0 Def:3),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,67.0,3.0,3.0,0.0,,
69,PT06M25.00S,2022-10-29T23:51:58.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630188,6.915243101182654,34.80392156862745,1610612754,11,6,2022-10-29T23:52:02Z,670000,76.0,13.0,1,left,MISS J. Smith 7' turnaround Hook - blocked,"[1630188, 201142]",1610612754.0,IND,turnaround,,,Smith,J. Smith,,,,,In The Paint (Non-RA),0-8 Center,,,,7.7,Missed,,,,,,,,,,,,,,Durant,201142.0
70,PT06M25.00S,2022-10-29T23:51:58.0Z,1,REGULAR,block,,[],201142,,,1610612754,11,6,2022-10-29T23:52:00Z,680000,,,0,,K. Durant BLOCK (1 BLK),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
71,PT06M25.00S,2022-10-29T23:51:58.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612754,11,6,2022-10-29T23:52:02Z,690000,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,69.0,,,,,
73,PT06M25.00S,2022-10-29T23:52:16.3Z,1,REGULAR,foul,personal,[],203552,,,1610612754,11,6,2022-10-29T23:52:21Z,710000,,,0,,S. Curry personal FOUL (1 PF),"[203552, 1630188]",1610612751.0,BKN,,,,Curry,S. Curry,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1626302.0,1.0,0.0,Smith,1630188.0,,,,,,
75,PT06M15.00S,2022-10-29T23:52:40.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630537,20.18725361366623,57.84313725490197,1610612754,11,6,2022-10-29T23:52:45Z,730000,-39.0,137.0,1,left,MISS C. Duarte 14' step back Shot,[1630537],1610612754.0,IND,step back,,,Duarte,C. Duarte,,,,,In The Paint (Non-RA),8-16 Center,,,,14.28,Missed,,,,,,,,,,,,,,,
76,PT06M11.00S,2022-10-29T23:52:44.0Z,1,REGULAR,rebound,offensive,[],1630543,,,1610612754,11,6,2022-10-29T23:52:45Z,740000,,,0,,I. Jackson REBOUND (Off:2 Def:2),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,75.0,4.0,2.0,2.0,,
77,PT06M10.00S,2022-10-29T23:52:45.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630543,5.732588699080158,44.36274509803921,1610612754,11,6,2022-10-29T23:52:49Z,750000,28.0,1.0,1,left,MISS I. Jackson reverse Layup,[1630543],1610612754.0,IND,reverse,,,Jackson,I. Jackson,,,,,Restricted Area,0-8 Center,,,,2.82,Missed,,,,,,,,,,,,,,,
78,PT06M08.00S,2022-10-29T23:52:47.1Z,1,REGULAR,rebound,defensive,[],1627732,,,1610612751,11,6,2022-10-29T23:52:49Z,760000,,,0,,B. Simmons REBOUND (Off:0 Def:3),[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,77.0,3.0,3.0,0.0,,
79,PT05M58.00S,2022-10-29T23:52:57.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626220,93.24901445466492,53.67647058823529,1610612751,13,6,2022-10-29T23:53:01Z,770000,18.0,11.0,1,right,R. O'Neale driving Layup (2 PTS) (K. Durant 1 AST),"[1626220, 201142]",1610612751.0,BKN,driving,,,O'Neale,R. O'Neale,,,,,Restricted Area,0-8 Center,,,,2.14,Made,2.0,K. Durant,201142.0,1.0,,,,,,,,,,,
81,PT05M47.00S,2022-10-29T23:53:07.7Z,1,REGULAR,3pt,Jump Shot,[],1630169,26.757555847568987,17.892156862745097,1610612754,13,9,2022-10-29T23:53:11Z,790000,161.0,199.0,1,left,T. Haliburton 25' 3PT pullup (6 PTS),[1630169],1610612754.0,IND,pullup,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Right Center,,,,25.57,Made,6.0,,,,,,,,,,,,,,
82,PT05M19.00S,2022-10-29T23:53:35.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202681,92.9862023653088,45.34313725490196,1610612751,15,9,2022-10-29T23:56:02Z,800000,-23.0,13.0,1,right,K. Irving finger roll Layup (6 PTS) (S. Curry 2 AST),"[202681, 203552]",1610612751.0,BKN,finger roll,,,Irving,K. Irving,,,,,Restricted Area,0-8 Center,,,,2.69,Made,6.0,S. Curry,203552.0,2.0,,,,,,,,,,,
84,PT05M05.00S,2022-10-29T23:53:50.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630543,5.732588699080158,49.01960784313725,1610612754,15,11,2022-10-29T23:56:46Z,820000,5.0,1.0,1,left,I. Jackson DUNK (2 PTS) (B. Hield 2 AST),"[1630543, 1627741]",1610612754.0,IND,,,,Jackson,I. Jackson,,,,,Restricted Area,0-8 Center,,,,0.51,Made,2.0,B. Hield,1627741.0,2.0,,,,,,,,,,,
86,PT04M41.00S,2022-10-29T23:54:13.6Z,1,REGULAR,2pt,Jump Shot,[],201142,88.91261498028909,32.35294117647059,1610612751,15,11,2022-10-29T23:54:19Z,840000,-88.0,52.0,1,right,MISS K. Durant 10' fadeaway bank Shot,[201142],1610612751.0,BKN,fadeaway bank,,,Durant,K. Durant,,,,,Mid-Range,8-16 Left,,,,10.22,Missed,,,,,,,,,,,,,,,
