actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
17,PT10M58.00S,2023-04-07T23:41:52.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,5.732588699080158,53.67647058823529,1610612753,0,4,2023-04-07T23:42:19Z,170000,False,-18.0,1.0,1,left,F. Wagner reverse Layup (2 PTS) (M. Fultz 2 AST),"[1630532, 1628365]",1610612753.0,ORL,reverse,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,,,,1.85,Made,2.0,M. Fultz,1628365.0,2.0,,,,,,,,,,,
19,PT10M49.00S,2023-04-07T23:42:01.7Z,1,REGULAR,2pt,Jump Shot,[],1628969,73.80091984231275,38.72549019607843,1610612751,0,4,2023-04-07T23:42:05Z,190000,False,-56.0,194.0,1,right,MISS M. Bridges 20' pullup Shot,[1628969],1610612751.0,BKN,pullup,,,Bridges,M. Bridges,,,,,Mid-Range,16-24 Center,,,,20.18,Missed,,,,,,,,,,,,,,,
20,PT10M47.00S,2023-04-07T23:42:03.7Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,0,4,2023-04-07T23:42:05Z,200000,False,,,0,,F. Wagner REBOUND (Off:0 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Mid-Range,16-24 Center,,,,,,,,,,19.0,,,,,,1.0,1.0,0.0,,
21,PT10M29.00S,2023-04-07T23:42:22.2Z,1,REGULAR,2pt,Jump Shot,[],1630175,16.507884362680684,29.901960784313726,1610612753,0,4,2023-04-07T23:42:27Z,210000,False,100.0,103.0,1,left,MISS C. Anthony 14' fadeaway Shot,[1630175],1610612753.0,ORL,fadeaway,,,Anthony,C. Anthony,,,,,Mid-Range,8-16 Right,,,,14.37,Missed,,,,,,,,,,,,,,,
22,PT10M26.00S,2023-04-07T23:42:25.2Z,1,REGULAR,rebound,defensive,[],203915,,,1610612751,0,4,2023-04-07T23:42:27Z,220000,False,,,0,,S. Dinwiddie REBOUND (Off:0 Def:1),[203915],1610612751.0,BKN,,,,Dinwiddie,S. Dinwiddie,,,,,Mid-Range,8-16 Right,,,,,,,,,,21.0,,,,,,1.0,1.0,0.0,,
23,PT10M20.00S,2023-04-07T23:42:31.7Z,1,REGULAR,3pt,Jump Shot,[],203915,69.20170827858082,32.1078431372549,1610612751,0,4,2023-04-07T23:42:35Z,230000,False,-89.0,237.0,1,right,MISS S. Dinwiddie 25' pullup 3PT,[203915],1610612751.0,BKN,pullup,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Left Center,,,,25.33,Missed,,,,,,,,,,,,,,,
24,PT10M17.00S,2023-04-07T23:42:34.7Z,1,REGULAR,rebound,defensive,[],1629048,,,1610612753,0,4,2023-04-07T23:42:35Z,240000,False,,,0,,G. Bitadze REBOUND (Off:0 Def:1),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,23.0,,,,,,1.0,1.0,0.0,,
25,PT10M12.00S,2023-04-07T23:42:39.8Z,1,REGULAR,3pt,Jump Shot,[],1630591,31.61957950065703,33.33333333333333,1610612753,0,4,2023-04-07T23:42:46Z,250000,False,83.0,245.0,1,left,MISS J. Suggs 25' pullup 3PT,[1630591],1610612753.0,ORL,pullup,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Right Center,,,,25.85,Missed,,,,,,,,,,,,,,,
26,PT10M08.00S,2023-04-07T23:42:43.8Z,1,REGULAR,rebound,defensive,[],203915,,,1610612751,0,4,2023-04-07T23:42:46Z,260000,False,,,0,,S. Dinwiddie REBOUND (Off:0 Def:2),[203915],1610612751.0,BKN,,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,25.0,,,,,,2.0,2.0,0.0,,
27,PT09M58.00S,2023-04-07T23:42:53.0Z,1,REGULAR,3pt,Jump Shot,[],1628969,96.13994743758212,96.07843137254902,1610612751,0,4,2023-04-07T23:42:57Z,270000,False,230.0,-16.0,1,right,MISS M. Bridges 3PT,[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Right Corner 3,24+ Right,,,,23.1,Missed,,,,,,,,,,,,,,,
28,PT09M55.00S,2023-04-07T23:42:56.0Z,1,REGULAR,rebound,defensive,[],1629048,,,1610612753,0,4,2023-04-07T23:42:57Z,280000,False,,,0,,G. Bitadze REBOUND (Off:0 Def:2),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Right Corner 3,24+ Right,,,,,,,,,,27.0,,,,,,2.0,2.0,0.0,,
29,PT09M52.00S,2023-04-07T23:42:59.5Z,1,REGULAR,turnover,bad pass,[],1630591,,,1610612753,0,4,2023-04-07T23:43:03Z,290000,False,,,0,,J. Suggs bad pass TURNOVER (1 TO),"[1630591, 1627827]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Right Center,1.0,Finney-Smith,1627827.0,,,,,,,,,,,,,,,,,
30,PT09M52.00S,2023-04-07T23:42:59.5Z,1,REGULAR,steal,,[],1627827,,,1610612751,0,4,2023-04-07T23:43:01Z,300000,False,,,0,,D. Finney-Smith STEAL (1 STL),[1627827],1610612751.0,BKN,,,,Finney-Smith,D. Finney-Smith,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
31,PT09M42.00S,2023-04-07T23:43:11.3Z,1,REGULAR,foul,personal,[],1629048,,,1610612751,0,4,2023-04-07T23:43:20Z,310000,False,,,0,,G. Bitadze personal FOUL (1 PF),"[1629048, 1628969]",1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,202027.0,1.0,0.0,Bridges,1628969.0,,,,,
33,PT09M32.00S,2023-04-07T23:43:38.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628969,93.51182654402102,47.30392156862745,1610612751,2,4,2023-04-07T23:43:43Z,330000,False,-13.0,8.0,1,right,M. Bridges driving finger roll Layup (2 PTS) (S. Dinwiddie 1 AST),"[1628969, 203915]",1610612751.0,BKN,driving finger roll,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,,,,1.6,Made,2.0,S. Dinwiddie,203915.0,1.0,,,,,,,,,,,
35,PT09M20.00S,2023-04-07T23:43:50.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630175,8.623521681997373,47.549019607843135,1610612753,2,6,2023-04-07T23:43:58Z,350000,False,12.0,29.0,1,left,C. Anthony cutting Layup (2 PTS) (M. Fultz 3 AST),"[1630175, 1628365]",1610612753.0,ORL,cutting,,,Anthony,C. Anthony,,,,,Restricted Area,0-8 Center,,,,3.11,Made,2.0,M. Fultz,1628365.0,3.0,,,,,,,,,,,
37,PT09M00.00S,2023-04-07T23:44:10.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,94.1688567674113,52.20588235294118,1610612751,4,6,2023-04-07T23:44:14Z,370000,False,11.0,2.0,1,right,N. Claxton driving Layup (2 PTS) (S. Dinwiddie 2 AST),"[1629651, 203915]",1610612751.0,BKN,driving,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,1.12,Made,2.0,S. Dinwiddie,203915.0,2.0,,,,,,,,,,,
39,PT08M46.00S,2023-04-07T23:44:24.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628365,11.383048620236531,42.8921568627451,1610612753,4,6,2023-04-07T23:44:32Z,390000,False,36.0,55.0,1,left,MISS M. Fultz 6' driving bank Hook,[1628365],1610612753.0,ORL,driving bank,,,Fultz,M. Fultz,,,,,In The Paint (Non-RA),0-8 Center,,,,6.5,Missed,,,,,,,,,,,,,,,
40,PT08M43.00S,2023-04-07T23:44:27.9Z,1,REGULAR,rebound,defensive,[],1629661,,,1610612751,4,6,2023-04-07T23:44:32Z,400000,False,,,0,,C. Johnson REBOUND (Off:0 Def:1),[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,39.0,,,,,,1.0,1.0,0.0,,
41,PT08M37.00S,2023-04-07T23:44:33.9Z,1,REGULAR,3pt,Jump Shot,[],1628969,95.3515111695138,3.431372549019608,1610612751,4,6,2023-04-07T23:44:39Z,410000,False,-233.0,-9.0,1,right,MISS M. Bridges 3PT,[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Left Corner 3,24+ Left,,,,23.3,Missed,,,,,,,,,,,,,,,
42,PT08M33.00S,2023-04-07T23:44:37.9Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,4,6,2023-04-07T23:44:39Z,420000,False,,,0,,F. Wagner REBOUND (Off:0 Def:2),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Left Corner 3,24+ Left,,,,,,,,,,41.0,,,,,,2.0,2.0,0.0,,
43,PT08M24.00S,2023-04-07T23:44:46.5Z,1,REGULAR,3pt,Jump Shot,[],1628365,4.418528252299605,96.32352941176471,1610612753,4,6,2023-04-07T23:44:52Z,430000,False,-232.0,-11.0,1,left,MISS M. Fultz 3PT,[1628365],1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,Left Corner 3,24+ Left,,,,23.19,Missed,,,,,,,,,,,,,,,
44,PT08M19.00S,2023-04-07T23:44:51.5Z,1,REGULAR,rebound,defensive,[],203915,,,1610612751,4,6,2023-04-07T23:44:52Z,440000,False,,,0,,S. Dinwiddie REBOUND (Off:0 Def:3),[203915],1610612751.0,BKN,,,,Dinwiddie,S. Dinwiddie,,,,,Left Corner 3,24+ Left,,,,,,,,,,43.0,,,,,,3.0,3.0,0.0,,
45,PT08M14.00S,2023-04-07T23:44:56.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629651,94.43166885676742,48.03921568627451,1610612751,6,6,2023-04-07T23:45:31Z,450000,False,-10.0,0.0,1,right,N. Claxton running alley-oop Layup (4 PTS) (S. Dinwiddie 3 AST),"[1629651, 203915]",1610612751.0,BKN,running alley-oop,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,0.98,Made,4.0,S. Dinwiddie,203915.0,3.0,,,,,,,,,,,
47,PT07M51.00S,2023-04-07T23:45:19.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630532,14.799605781865965,34.80392156862745,1610612753,6,6,2023-04-07T23:45:24Z,470000,False,76.0,87.0,1,left,MISS F. Wagner 11' fadeaway Shot,[1630532],1610612753.0,ORL,fadeaway,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),8-16 Right,,,,11.52,Missed,,,,,,,,,,,,,,,
48,PT07M48.00S,2023-04-07T23:45:22.1Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,6,6,2023-04-07T23:45:24Z,480000,False,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,47.0,,,,,,1.0,1.0,0.0,,
49,PT07M41.00S,2023-04-07T23:45:29.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203915,84.57621550591328,46.81372549019608,1610612751,6,6,2023-04-07T23:45:34Z,490000,False,-16.0,92.0,1,right,MISS S. Dinwiddie 9' driving floating Shot - blocked,"[203915, 1629048]",1610612751.0,BKN,driving floating,,,Dinwiddie,S. Dinwiddie,,,,,In The Paint (Non-RA),8-16 Center,,,,9.39,Missed,,,,,,,,,,,,,,Bitadze,1629048.0
50,PT07M41.00S,2023-04-07T23:45:29.1Z,1,REGULAR,block,,[],1629048,,,1610612751,6,6,2023-04-07T23:45:31Z,500000,False,,,0,,G. Bitadze BLOCK (1 BLK),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
51,PT07M39.00S,2023-04-07T23:45:31.1Z,1,REGULAR,rebound,defensive,[],1630175,,,1610612753,6,6,2023-04-07T23:45:34Z,510000,False,,,0,,C. Anthony REBOUND (Off:0 Def:1),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,49.0,,,,,,1.0,1.0,0.0,,
52,PT07M34.00S,2023-04-07T23:45:37.3Z,1,REGULAR,3pt,Jump Shot,[],1630532,28.465834428383708,22.058823529411764,1610612753,6,6,2023-04-07T23:45:45Z,520000,False,140.0,215.0,1,left,MISS F. Wagner 25' 3PT,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Right Center,,,,25.65,Missed,,,,,,,,,,,,,,,
53,PT07M28.00S,2023-04-07T23:45:43.3Z,1,REGULAR,rebound,defensive,[],203915,,,1610612751,6,6,2023-04-07T23:45:45Z,530000,False,,,0,,S. Dinwiddie REBOUND (Off:0 Def:4),[203915],1610612751.0,BKN,,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,52.0,,,,,,4.0,4.0,0.0,,
54,PT07M13.00S,2023-04-07T23:45:56.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629661,82.7365308804205,46.81372549019608,1610612751,6,6,2023-04-07T23:46:01Z,540000,False,-16.0,110.0,1,right,MISS C. Johnson 11' driving floating Shot,[1629661],1610612751.0,BKN,driving floating,,,Johnson,C. Johnson,,,,,In The Paint (Non-RA),8-16 Center,,,,11.09,Missed,,,,,,,,,,,,,,,
55,PT07M09.00S,2023-04-07T23:46:00.6Z,1,REGULAR,rebound,defensive,[],1629048,,,1610612753,6,6,2023-04-07T23:46:01Z,550000,False,,,0,,G. Bitadze REBOUND (Off:0 Def:3),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,54.0,,,,,,3.0,3.0,0.0,,
56,PT07M05.00S,2023-04-07T23:46:04.9Z,1,REGULAR,3pt,Jump Shot,[],1630175,30.436925098554536,67.40196078431373,1610612753,6,6,2023-04-07T23:47:15Z,560000,False,-87.0,234.0,1,left,MISS C. Anthony 24' 3PT,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,Above the Break 3,24+ Left Center,,,,24.93,Missed,,,,,,,,,,,,,,,
57,PT07M02.00S,2023-04-07T23:46:07.9Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,6,6,2023-04-07T23:46:12Z,570000,False,,,0,,N. Claxton REBOUND (Off:0 Def:2),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,56.0,,,,,,2.0,2.0,0.0,,
58,PT06M57.00S,2023-04-07T23:46:15.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629661,94.69448094612353,53.18627450980392,1610612751,8,6,2023-04-07T23:46:20Z,580000,False,16.0,-3.0,1,right,C. Johnson driving finger roll Layup (2 PTS) (S. Dinwiddie 4 AST),"[1629661, 203915]",1610612751.0,BKN,driving finger roll,,,Johnson,C. Johnson,,,,,Restricted Area,0-8 Center,,,,1.61,Made,2.0,S. Dinwiddie,203915.0,4.0,,,,,,,,,,,
60,PT06M57.00S,2023-04-07T23:46:17.7Z,1,REGULAR,foul,personal,['1freethrow'],1628365,,,1610612751,8,6,2023-04-07T23:47:24Z,600000,False,,,0,,M. Fultz shooting personal FOUL (1 PF) (Johnson 1 FT),"[1628365, 1629661]",1610612753.0,ORL,shooting,,,Fultz,M. Fultz,,,,,Restricted Area,0-8 Center,,,,,,,,,,,200833.0,1.0,0.0,Johnson,1629661.0,,,,,
62,PT06M57.00S,2023-04-07T23:46:34.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,8,6,2023-04-07T23:46:34Z,620000,False,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M57.00S,2023-04-07T23:49:40.3Z,1,REGULAR,freethrow,1 of 1,[],1629661,,,1610612751,9,6,2023-04-07T23:49:40Z,630000,False,,,0,,C. Johnson Free Throw 1 of 1 (3 PTS),[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
64,PT06M42.00S,2023-04-07T23:49:59.0Z,1,REGULAR,turnover,out-of-bounds,[],1629048,,,1610612753,9,6,2023-04-07T23:50:06Z,640000,False,,,0,,G. Bitadze bad pass out-of-bounds TURNOVER (1 TO),[1629048],1610612753.0,ORL,bad pass,,,Bitadze,G. Bitadze,,,,,Above the Break 3,24+ Left Center,1.0,,,,,,,,,,202027.0,,,,,,,,,
65,PT06M28.00S,2023-04-07T23:50:17.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203915,68.28186596583443,41.17647058823529,1610612751,9,6,2023-04-07T23:50:22Z,650000,False,-44.0,246.0,1,right,MISS S. Dinwiddie 24' step back 3PT,[203915],1610612751.0,BKN,step back,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Center,,,,24.96,Missed,,,,,,,,,,,,,,,
66,PT06M24.00S,2023-04-07T23:50:21.5Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,9,6,2023-04-07T23:50:22Z,660000,False,,,0,,F. Wagner REBOUND (Off:0 Def:3),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Center,,,,,,,,,,65.0,,,,,,3.0,3.0,0.0,,
67,PT06M14.00S,2023-04-07T23:50:30.4Z,1,REGULAR,turnover,bad pass,[],1628365,,,1610612753,9,6,2023-04-07T23:50:34Z,670000,False,,,0,,M. Fultz bad pass TURNOVER (1 TO),"[1628365, 1629651]",1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,In The Paint (Non-RA),0-8 Center,1.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,
68,PT06M14.00S,2023-04-07T23:50:30.4Z,1,REGULAR,steal,,[],1629651,,,1610612751,9,6,2023-04-07T23:50:32Z,680000,False,,,0,,N. Claxton STEAL (1 STL),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
69,PT05M53.00S,2023-04-07T23:50:51.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203915,92.46057818659659,56.86274509803921,1610612751,11,6,2023-04-07T23:50:54Z,690000,False,34.0,18.0,1,right,S. Dinwiddie driving finger roll Layup (2 PTS),[203915],1610612751.0,BKN,driving finger roll,,,Dinwiddie,S. Dinwiddie,,,,,Restricted Area,0-8 Center,,,,3.89,Made,2.0,,,,,,,,,,,,,,
70,PT05M47.00S,2023-04-07T23:50:57.4Z,1,REGULAR,3pt,Jump Shot,[],1630591,29.122864651773984,74.26470588235294,1610612753,11,9,2023-04-07T23:51:27Z,700000,False,-121.0,221.0,1,left,J. Suggs 25' 3PT pullup (3 PTS) (C. Anthony 1 AST),"[1630591, 1630175]",1610612753.0,ORL,pullup,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Left Center,,,,25.24,Made,3.0,C. Anthony,1630175.0,1.0,,,,,,,,,,,
72,PT05M33.00S,2023-04-07T23:51:13.6Z,1,REGULAR,foul,personal,[],1629048,,,1610612751,11,9,2023-04-07T23:51:25Z,720000,False,,,0,,G. Bitadze personal FOUL (2 PF),"[1629048, 1628969]",1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,200833.0,2.0,0.0,Bridges,1628969.0,,,,,
74,PT05M33.00S,2023-04-07T23:51:18.6Z,1,REGULAR,substitution,out,[],1629661,,,1610612751,11,9,2023-04-07T23:51:27Z,740000,False,,,0,,SUB out: C. Johnson,[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M33.00S,2023-04-07T23:51:18.6Z,1,REGULAR,substitution,out,[],1627827,,,1610612751,11,9,2023-04-07T23:51:27Z,750000,False,,,0,,SUB out: D. Finney-Smith,[1627827],1610612751.0,BKN,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M33.00S,2023-04-07T23:51:18.6Z,1,REGULAR,substitution,out,[],1630591,,,1610612751,11,9,2023-04-07T23:51:27Z,760000,False,,,0,,SUB out: J. Suggs,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M33.00S,2023-04-07T23:51:18.6Z,1,REGULAR,substitution,in,[],203925,,,1610612751,11,9,2023-04-07T23:51:27Z,770000,False,,,0,,SUB in: J. Harris,[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M33.00S,2023-04-07T23:51:18.6Z,1,REGULAR,substitution,in,[],1626220,,,1610612751,11,9,2023-04-07T23:51:27Z,780000,False,,,0,,SUB in: R. O'Neale,[1626220],1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M33.00S,2023-04-07T23:51:18.6Z,1,REGULAR,substitution,in,[],1630284,,,1610612751,11,9,2023-04-07T23:51:27Z,790000,False,,,0,,SUB in: K. Harris,[1630284],1610612753.0,ORL,,,,Harris,K. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M28.00S,2023-04-07T23:51:38.3Z,1,REGULAR,3pt,Jump Shot,[],1626220,70.64717477003943,22.54901960784314,1610612751,14,9,2023-04-07T23:51:42Z,800000,False,-137.0,223.0,1,right,R. O'Neale 26' 3PT  (3 PTS) (M. Bridges 1 AST),"[1626220, 1628969]",1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Left Center,,,,26.22,Made,3.0,M. Bridges,1628969.0,1.0,,,,,,,,,,,
82,PT05M16.00S,2023-04-07T23:51:49.6Z,1,REGULAR,2pt,Jump Shot,[],1628365,15.588042049934298,69.6078431372549,1610612753,14,9,2023-04-07T23:51:54Z,820000,False,-98.0,94.0,1,left,MISS M. Fultz 13' pullup Shot,[1628365],1610612753.0,ORL,pullup,,,Fultz,M. Fultz,,,,,Mid-Range,8-16 Left,,,,13.58,Missed,,,,,,,,,,,,,,,
