actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
17,PT10M29.00S,2023-02-08T00:34:26.3Z,1,REGULAR,steal,,[],1626220,,,1610612751,0,3,2023-02-08T00:34:28Z,170000,False,,,0,,R. O'Neale STEAL (1 STL),[1626220],1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
18,PT10M16.00S,2023-02-08T00:34:39.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630560,28.991458607095925,18.137254901960784,1610612751,3,3,2023-02-08T00:34:44Z,180000,False,159.0,220.0,1,left,C. Thomas 27' 3PT step back (3 PTS),[1630560],1610612751.0,BKN,step back,,,Thomas,C. Thomas,,,,,Above the Break 3,24+ Right Center,27.16,Made,,,,,,3.0,,,,,,,,,,,,
19,PT10M00.00S,2023-02-08T00:34:55.4Z,1,REGULAR,3pt,Jump Shot,[],1626164,78.0059132720105,92.15686274509804,1610612756,3,3,2023-02-08T00:35:00Z,190000,False,211.0,154.0,1,right,MISS D. Booker 26' 3PT,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Above the Break 3,24+ Right Center,26.12,Missed,,,,,,,,,,,,,,,,,,
20,PT09M56.00S,2023-02-08T00:34:59.4Z,1,REGULAR,rebound,defensive,[],1627732,,,1610612751,3,3,2023-02-08T00:35:00Z,200000,False,,,0,,B. Simmons REBOUND (Off:0 Def:1),[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,Above the Break 3,24+ Right Center,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,
21,PT09M53.00S,2023-02-08T00:35:02.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203925,5.601182654402102,4.411764705882353,1610612751,3,3,2023-02-08T00:35:09Z,210000,False,228.0,0.0,1,left,MISS J. Harris running 3PT,[203925],1610612751.0,BKN,running,,,Harris,J. Harris,,,,,Right Corner 3,24+ Right,22.79,Missed,,,,,,,,,,,,,,,,,,
22,PT09M49.00S,2023-02-08T00:35:06.5Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,3,3,2023-02-08T00:35:09Z,220000,False,,,0,,D. Booker REBOUND (Off:0 Def:1),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Right Corner 3,24+ Right,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,
23,PT09M44.00S,2023-02-08T00:35:11.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628969,94.1688567674113,57.84313725490197,1610612756,3,3,2023-02-08T00:36:31Z,230000,False,39.0,2.0,1,right,MISS M. Bridges running reverse Layup,[1628969],1610612756.0,PHX,running reverse,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,3.93,Missed,,,,,,,,,,,,,,,,,,
24,PT09M43.00S,2023-02-08T00:35:12.5Z,1,REGULAR,rebound,defensive,[],1627732,,,1610612751,3,3,2023-02-08T00:35:18Z,240000,False,,,0,,B. Simmons REBOUND (Off:0 Def:2),[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,Restricted Area,0-8 Center,,,23.0,2.0,2.0,0.0,,,,,,,,,,,,,,
25,PT09M39.00S,2023-02-08T00:35:17.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630560,23.209592641261498,92.15686274509804,1610612751,6,3,2023-02-08T00:35:23Z,250000,False,-211.0,166.0,1,left,C. Thomas 26' 3PT running (6 PTS) (B. Simmons 1 AST),"[1630560, 1627732]",1610612751.0,BKN,running,,,Thomas,C. Thomas,,,,,Above the Break 3,24+ Left Center,26.81,Made,,,,,,6.0,,,,B. Simmons,1627732.0,1.0,,,,,,
27,PT09M17.00S,2023-02-08T00:35:38.5Z,1,REGULAR,turnover,bad pass,[],1626164,,,1610612756,6,3,2023-02-08T00:35:46Z,270000,False,,,0,,D. Booker bad pass TURNOVER (2 TO),"[1626164, 1629651]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,Mid-Range,16-24 Right Center,,,,,,,,,2.0,Claxton,1629651.0,,,,,,,,,
28,PT09M17.00S,2023-02-08T00:35:38.5Z,1,REGULAR,steal,,[],1629651,,,1610612751,6,3,2023-02-08T00:35:39Z,280000,False,,,0,,N. Claxton STEAL (1 STL),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
29,PT09M12.00S,2023-02-08T00:35:44.5Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629651,5.863994743758213,48.77450980392157,1610612751,8,3,2023-02-08T00:46:12Z,290000,False,6.0,3.0,1,left,N. Claxton running DUNK (2 PTS),[1629651],1610612751.0,BKN,running,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,0.66,Made,,,,,,2.0,,,,,,,,,,,,
30,PT08M52.00S,2023-02-08T00:36:03.2Z,1,REGULAR,3pt,Jump Shot,[],1628969,78.79434954007884,91.66666666666666,1610612756,8,3,2023-02-08T00:36:09Z,300000,False,208.0,147.0,1,right,MISS M. Bridges 25' 3PT,[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,25.48,Missed,,,,,,,,,,,,,,,,,,
31,PT08M52.00S,2023-02-08T00:36:03.2Z,1,REGULAR,rebound,offensive,[],1629028,,,1610612756,8,3,2023-02-08T00:36:14Z,310000,False,,,0,,D. Ayton REBOUND (Off:1 Def:1),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,Above the Break 3,24+ Right Center,,,30.0,2.0,1.0,1.0,,,,,,,,,,,,,,
32,PT08M44.00S,2023-02-08T00:36:12.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626164,84.44480946123521,5.392156862745098,1610612756,8,6,2023-02-08T00:36:16Z,320000,False,-223.0,94.0,1,right,D. Booker 24' 3PT  (6 PTS) (C. Johnson 1 AST),"[1626164, 1629661]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,Above the Break 3,24+ Left,24.19,Made,,,,,,6.0,,,,C. Johnson,1629661.0,1.0,,,,,,
34,PT08M36.00S,2023-02-08T00:36:20.2Z,1,REGULAR,3pt,Jump Shot,[],203925,17.296320630749015,94.36274509803921,1610612751,11,6,2023-02-08T00:40:54Z,340000,False,-222.0,110.0,1,left,J. Harris 24' 3PT pullup (3 PTS) (B. Simmons 2 AST),"[203925, 1627732]",1610612751.0,BKN,pullup,,,Harris,J. Harris,,,,,Above the Break 3,24+ Left Center,24.76,Made,,,,,,3.0,,,,B. Simmons,1627732.0,2.0,,,,,,
58,PT08M36.00S,2023-02-08T00:38:16.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612756,11,6,2023-02-08T00:42:10Z,355000,False,,,0,,PHX Timeout,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PT08M17.00S,2023-02-08T00:40:12.8Z,1,REGULAR,3pt,Jump Shot,[],1629661,78.9257555847569,4.901960784313726,1610612756,11,9,2023-02-08T00:40:17Z,360000,False,-225.0,146.0,1,right,C. Johnson 26' 3PT  (3 PTS) (D. Booker 1 AST),"[1629661, 1626164]",1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Left Center,26.84,Made,,,,,,3.0,,,,D. Booker,1626164.0,1.0,,,,,,
41,PT07M55.00S,2023-02-08T00:40:33.9Z,1,REGULAR,2pt,Jump Shot,[],1630560,8.623521681997373,17.892156862745097,1610612751,11,9,2023-02-08T00:40:41Z,380000,False,161.0,29.0,1,left,MISS C. Thomas 16' turnaround fadeaway Shot,[1630560],1610612751.0,BKN,turnaround fadeaway,,,Thomas,C. Thomas,,,,,Mid-Range,16-24 Right,16.3,Missed,,,,,,,,,,,,,,,,,,
42,PT07M52.00S,2023-02-08T00:40:36.9Z,1,REGULAR,rebound,defensive,[],101108,,,1610612756,11,9,2023-02-08T00:40:41Z,390000,False,,,0,,C. Paul REBOUND (Off:0 Def:1),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,Mid-Range,16-24 Right,,,41.0,1.0,1.0,0.0,,,,,,,,,,,,,,
43,PT07M47.00S,2023-02-08T00:40:43.2Z,1,REGULAR,turnover,bad pass,[],1629661,,,1610612756,11,9,2023-02-08T00:40:52Z,400000,False,,,0,,C. Johnson bad pass TURNOVER (1 TO),"[1629661, 1629651]",1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1.0,Claxton,1629651.0,,,,,,,,,
44,PT07M47.00S,2023-02-08T00:40:43.2Z,1,REGULAR,steal,,[],1629651,,,1610612751,11,9,2023-02-08T00:41:00Z,410000,False,,,0,,N. Claxton STEAL (2 STL),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
45,PT07M42.00S,2023-02-08T00:40:47.8Z,1,REGULAR,turnover,bad pass,[],1627732,,,1610612751,11,9,2023-02-08T00:44:58Z,420000,False,,,0,,B. Simmons bad pass TURNOVER (1 TO),"[1627732, 101108]",1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,Above the Break 3,24+ Center,,,,,,,,,1.0,Paul,101108.0,,,,,,,,,
46,PT07M42.00S,2023-02-08T00:40:47.8Z,1,REGULAR,steal,,[],101108,,,1610612756,11,9,2023-02-08T00:40:50Z,430000,False,,,0,,C. Paul STEAL (1 STL),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
47,PT07M32.00S,2023-02-08T00:40:58.3Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1626164,89.30683311432325,19.11764705882353,1610612756,11,11,2023-02-08T00:41:05Z,440000,False,-154.0,48.0,1,right,D. Booker 16' turnaround Jump Shot (8 PTS) (C. Paul 1 AST),"[1626164, 101108]",1610612756.0,PHX,turnaround,,,Booker,D. Booker,,,,,Mid-Range,16-24 Left,16.17,Made,,,,,,8.0,,,,C. Paul,101108.0,1.0,,,,,,
49,PT07M09.00S,2023-02-08T00:41:21.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630560,5.338370565045992,53.18627450980392,1610612751,13,11,2023-02-08T00:41:29Z,460000,False,-16.0,-2.0,1,left,C. Thomas driving reverse Layup (8 PTS),[1630560],1610612751.0,BKN,driving reverse,,,Thomas,C. Thomas,,,,,Restricted Area,0-8 Center,1.61,Made,,,,,,8.0,,,,,,,,,,,,
50,PT06M55.00S,2023-02-08T00:41:37.3Z,1,REGULAR,foul,personal,[],1627732,,,1610612756,13,11,2023-02-08T00:41:54Z,470000,False,,,0,,B. Simmons personal FOUL (1 PF),"[1627732, 1629028]",1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,202056.0,,,,,,,,1.0,0.0,Ayton,1629028.0,,
52,PT06M55.00S,2023-02-08T00:41:46.7Z,1,REGULAR,substitution,out,[],203925,,,1610612756,13,11,2023-02-08T00:41:53Z,490000,False,,,0,,SUB out: J. Harris,[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT06M55.00S,2023-02-08T00:41:46.7Z,1,REGULAR,substitution,out,[],1626164,,,1610612756,13,11,2023-02-08T00:41:53Z,500000,False,,,0,,SUB out: D. Booker,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT06M55.00S,2023-02-08T00:41:46.7Z,1,REGULAR,substitution,in,[],201988,,,1610612756,13,11,2023-02-08T00:41:53Z,510000,False,,,0,,SUB in: P. Mills,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M55.00S,2023-02-08T00:41:46.7Z,1,REGULAR,substitution,in,[],1628470,,,1610612756,13,11,2023-02-08T00:41:53Z,520000,False,,,0,,SUB in: T. Craig,[1628470],1610612756.0,PHX,,,,Craig,T. Craig,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M53.00S,2023-02-08T00:42:03.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629661,94.03745072273325,51.470588235294116,1610612756,13,13,2023-02-08T01:44:03Z,530000,False,7.0,4.0,1,right,C. Johnson cutting Layup (5 PTS) (C. Paul 2 AST),"[1629661, 101108]",1610612756.0,PHX,cutting,,,Johnson,C. Johnson,,,,,Restricted Area,0-8 Center,0.82,Made,,,,,,5.0,,,,C. Paul,101108.0,2.0,,,,,,
59,PT06M26.00S,2023-02-08T00:42:32.0Z,1,REGULAR,turnover,out-of-bounds,[],1629651,,,1610612751,13,13,2023-02-08T00:42:51Z,550000,False,,,0,,N. Claxton lost ball out-of-bounds TURNOVER (1 TO),[1629651],1610612751.0,BKN,lost ball,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,,202056.0,,1.0,,,,,,,,,,,
60,PT06M19.00S,2023-02-08T00:42:47.1Z,1,REGULAR,turnover,bad pass,[],101108,,,1610612756,13,13,2023-02-08T00:47:27Z,560000,False,,,0,,C. Paul bad pass TURNOVER (1 TO),"[101108, 1627732]",1610612756.0,PHX,,,,Paul,C. Paul,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1.0,Simmons,1627732.0,,,,,,,,,
61,PT06M19.00S,2023-02-08T00:42:47.1Z,1,REGULAR,steal,,[],1627732,,,1610612751,13,13,2023-02-08T00:42:50Z,570000,False,,,0,,B. Simmons STEAL (1 STL),[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
62,PT06M14.00S,2023-02-08T00:42:52.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1626220,26.363337713534822,16.176470588235293,1610612751,13,13,2023-02-08T00:43:11Z,580000,False,169.0,195.0,1,left,MISS R. O'Neale 25' running 3PT,[1626220],1610612751.0,BKN,running,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Right Center,25.83,Missed,,,,,,,,,,,,,,,,,,
63,PT06M09.00S,2023-02-08T00:42:57.2Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612756,13,13,2023-02-08T00:43:33Z,590000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,,,62.0,1.0,1.0,0.0,,,,,,,,,,,,,,
64,PT06M07.00S,2023-02-08T00:43:03.2Z,1,REGULAR,foul,personal,['2freethrow'],1626220,,,1610612756,13,13,2023-02-08T00:48:30Z,600000,False,,,0,,R. O'Neale shooting personal FOUL (1 PF) (Bridges 2 FT),"[1626220, 1628969]",1610612751.0,BKN,shooting,,,O'Neale,R. O'Neale,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,202035.0,,,,,,,,1.0,0.0,Bridges,1628969.0,,
66,PT06M07.00S,2023-02-08T00:43:29.7Z,1,REGULAR,freethrow,1 of 2,[],1628969,,,1610612756,13,14,2023-02-08T00:43:29Z,620000,False,,,0,,M. Bridges Free Throw 1 of 2 (1 PTS),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,Made,,,,,,1.0,,,,,,,,,,,,
67,PT06M07.00S,2023-02-08T00:43:30.3Z,1,REGULAR,substitution,out,[],1627732,,,1610612756,13,14,2023-02-08T00:43:33Z,630000,False,,,0,,SUB out: B. Simmons,[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M07.00S,2023-02-08T00:43:30.3Z,1,REGULAR,substitution,in,[],1628410,,,1610612756,13,14,2023-02-08T00:43:33Z,640000,False,,,0,,SUB in: E. Sumner,[1628410],1610612751.0,BKN,,,,Sumner,E. Sumner,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M07.00S,2023-02-08T00:43:48.6Z,1,REGULAR,freethrow,2 of 2,[],1628969,,,1610612756,13,15,2023-02-08T00:43:48Z,650000,False,,,0,,M. Bridges Free Throw 2 of 2 (2 PTS),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,Made,,,,,,2.0,,,,,,,,,,,,
70,PT05M43.00S,2023-02-08T00:44:15.0Z,1,REGULAR,2pt,Jump Shot,[],1630560,9.149145860709593,76.22549019607843,1610612751,13,15,2023-02-08T00:49:23Z,660000,False,-131.0,34.0,1,left,MISS C. Thomas 13' pullup bank Shot,[1630560],1610612751.0,BKN,pullup bank,,,Thomas,C. Thomas,,,,,Mid-Range,8-16 Left,13.53,Missed,,,,,,,,,,,,,,,,,,
71,PT05M41.00S,2023-02-08T00:44:17.0Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612756,13,15,2023-02-08T00:50:43Z,670000,False,,,0,,M. Bridges REBOUND (Off:0 Def:2),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,Mid-Range,8-16 Left,,,70.0,2.0,2.0,0.0,,,,,,,,,,,,,,
72,PT05M37.00S,2023-02-08T00:44:21.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628470,78.53153745072274,92.15686274509804,1610612756,13,15,2023-02-08T00:50:53Z,680000,False,211.0,149.0,1,right,MISS T. Craig 25' running 3PT,[1628470],1610612756.0,PHX,running,,,Craig,T. Craig,,,,,Above the Break 3,24+ Right Center,25.83,Missed,,,,,,,,,,,,,,,,,,
73,PT05M34.00S,2023-02-08T00:44:24.2Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,13,15,2023-02-08T00:44:27Z,690000,False,,,0,,N. Claxton REBOUND (Off:0 Def:2),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Right Center,,,72.0,2.0,2.0,0.0,,,,,,,,,,,,,,
74,PT05M25.00S,2023-02-08T00:44:33.1Z,1,REGULAR,2pt,Jump Shot,[],201988,21.369908015768726,67.8921568627451,1610612751,13,15,2023-02-08T00:44:39Z,700000,False,-89.0,148.0,1,left,MISS P. Mills 17' fadeaway Shot,[201988],1610612751.0,BKN,fadeaway,,,Mills,P. Mills,,,,,Mid-Range,16-24 Left Center,17.33,Missed,,,,,,,,,,,,,,,,,,
75,PT05M23.00S,2023-02-08T00:44:35.1Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,13,15,2023-02-08T00:44:39Z,710000,False,,,0,,D. Ayton REBOUND (Off:1 Def:2),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,Mid-Range,16-24 Left Center,,,74.0,3.0,2.0,1.0,,,,,,,,,,,,,,
76,PT05M13.00S,2023-02-08T00:44:45.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629028,94.03745072273325,49.01960784313725,1610612756,13,17,2023-02-08T00:44:49Z,720000,False,-5.0,4.0,1,right,D. Ayton cutting DUNK (2 PTS) (C. Paul 3 AST),"[1629028, 101108]",1610612756.0,PHX,cutting,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,0.6,Made,,,,,,2.0,,,,C. Paul,101108.0,3.0,,,,,,
78,PT04M54.00S,2023-02-08T00:45:05.7Z,1,REGULAR,foul,personal,['2freethrow'],1629028,,,1610612751,13,17,2023-02-08T00:45:17Z,740000,False,,,0,,D. Ayton shooting personal FOUL (1 PF) (Sumner 2 FT),"[1629028, 1628410]",1610612756.0,PHX,shooting,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,202035.0,,,,,,,,1.0,0.0,Sumner,1628410.0,,
80,PT04M54.00S,2023-02-08T00:45:33.6Z,1,REGULAR,freethrow,1 of 2,[],1628410,,,1610612751,14,17,2023-02-08T00:45:33Z,760000,False,,,0,,E. Sumner Free Throw 1 of 2 (1 PTS),[1628410],1610612751.0,BKN,,,,Sumner,E. Sumner,,,,,,,,Made,,,,,,1.0,,,,,,,,,,,,
81,PT04M54.00S,2023-02-08T00:45:34.2Z,1,REGULAR,substitution,out,[],1629661,,,1610612751,14,17,2023-02-08T00:45:38Z,770000,False,,,0,,SUB out: C. Johnson,[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M54.00S,2023-02-08T00:45:34.2Z,1,REGULAR,substitution,in,[],1627814,,,1610612751,14,17,2023-02-08T00:45:38Z,780000,False,,,0,,SUB in: D. Lee,[1627814],1610612756.0,PHX,,,,Lee,D. Lee,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M54.00S,2023-02-08T00:45:49.8Z,1,REGULAR,freethrow,2 of 2,[],1628410,,,1610612751,15,17,2023-02-08T00:45:49Z,790000,False,,,0,,E. Sumner Free Throw 2 of 2 (2 PTS),[1628410],1610612751.0,BKN,,,,Sumner,E. Sumner,,,,,,,,Made,,,,,,2.0,,,,,,,,,,,,
84,PT04M39.00S,2023-02-08T00:46:09.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629028,87.20433639947439,54.90196078431373,1610612756,15,19,2023-02-08T00:46:13Z,800000,False,25.0,68.0,1,right,D. Ayton 7' Jump Shot (4 PTS) (M. Bridges 1 AST),"[1629028, 1628969]",1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),0-8 Center,7.21,Made,,,,,,4.0,,,,M. Bridges,1628969.0,1.0,,,,,,
85,PT04M22.00S,2023-02-08T00:46:26.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629651,6.307490144546648,58.49417892156863,1610612751,17,19,2023-02-08T00:54:20Z,810000,False,-42.0,7.0,1,left,N. Claxton Hook (4 PTS) (E. Sumner 1 AST),"[1629651, 1628410]",1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,4.3,Made,,,,,,4.0,,,,E. Sumner,1628410.0,1.0,,,,,,
