actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
16,PT10M34.00S,2022-11-01T23:39:03.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202681,11.251642575558476,53.67647058823529,1610612751,0,2,2022-11-01T23:39:09Z,160000,-18.0,53.0,1,left,MISS K. Irving turnaround fadeaway Shot,[202681],1610612751.0,BKN,turnaround fadeaway,,,Irving,K. Irving,,,,,In The Paint (Non-RA),0-8 Center,5.64,Missed,,,,,,,,,,,,,,,,,,
17,PT10M30.00S,2022-11-01T23:39:07.1Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,0,2,2022-11-01T23:39:07Z,170000,,,0,,N. Vucevic REBOUND (Off:0 Def:2),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),0-8 Center,,,16.0,2.0,2.0,0.0,,,,,,,,,,,,,,
18,PT10M22.00S,2022-11-01T23:39:15.2Z,1,REGULAR,2pt,Jump Shot,[],201942,91.14651773981603,22.058823529411764,1610612741,0,2,2022-11-01T23:39:19Z,180000,-140.0,31.0,1,right,MISS D. DeRozan 14' turnaround fadeaway Shot,[201942],1610612741.0,CHI,turnaround fadeaway,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Left,14.3,Missed,,,,,,,,,,,,,,,,,,
19,PT10M19.00S,2022-11-01T23:39:18.2Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,0,2,2022-11-01T23:39:19Z,190000,,,0,,K. Durant REBOUND (Off:0 Def:2),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,Mid-Range,8-16 Left,,,18.0,2.0,2.0,0.0,,,,,,,,,,,,,,
20,PT10M11.00S,2022-11-01T23:39:26.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629651,5.863994743758213,50.245098039215684,1610612751,2,2,2022-11-01T23:39:29Z,200000,-1.0,3.0,1,left,N. Claxton cutting DUNK (2 PTS) (K. Durant 1 AST),"[1629651, 201142]",1610612751.0,BKN,cutting,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,0.29,Made,,,,,,,2.0,K. Durant,201142.0,1.0,,,,,,,,
22,PT10M00.00S,2022-11-01T23:39:37.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630245,93.51182654402102,51.71568627450981,1610612741,2,4,2022-11-01T23:39:41Z,220000,9.0,8.0,1,right,A. Dosunmu driving Layup (2 PTS),[1630245],1610612741.0,CHI,driving,,,Dosunmu,A. Dosunmu,,,,,Restricted Area,0-8 Center,1.21,Made,,,,,,,2.0,,,,,,,,,,,
23,PT09M45.00S,2022-11-01T23:39:53.5Z,1,REGULAR,foul,personal,['2freethrow'],1630172,,,1610612751,2,4,2022-11-01T23:40:05Z,230000,,,0,,P. Williams shooting personal FOUL (1 PF) (Harris 2 FT),"[1630172, 203925]",1610612741.0,CHI,shooting,,,Williams,P. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,202058.0,,,,,,1.0,0.0,Harris,203925.0,,,,
25,PT09M45.00S,2022-11-01T23:40:16.7Z,1,REGULAR,freethrow,1 of 2,[],203925,,,1610612751,2,4,2022-11-01T23:40:33Z,250000,,,0,,MISS J. Harris Free Throw 1 of 2,[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
26,PT09M45.00S,2022-11-01T23:40:16.7Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612751,2,4,2022-11-01T23:40:33Z,260000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,
27,PT09M45.00S,2022-11-01T23:40:16.7Z,1,REGULAR,freethrow,2 of 2,[],203925,,,1610612751,2,4,2022-11-01T23:40:33Z,270000,,,0,,MISS J. Harris Free Throw 2 of 2,[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
28,PT09M41.00S,2022-11-01T23:40:20.7Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,2,4,2022-11-01T23:40:33Z,280000,,,0,,N. Vucevic REBOUND (Off:0 Def:3),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,27.0,3.0,3.0,0.0,,,,,,,,,,,,,,
29,PT09M21.00S,2022-11-01T23:40:54.2Z,1,REGULAR,turnover,bad pass,[],202696,,,1610612741,2,4,2022-11-01T23:40:59Z,290000,,,0,,N. Vucevic bad pass TURNOVER (1 TO),"[202696, 1626220]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Mid-Range,8-16 Left,,,,,,,,1.0,,,,,,,,,O'Neale,1626220.0,,
30,PT09M21.00S,2022-11-01T23:40:54.2Z,1,REGULAR,steal,,[],1626220,,,1610612751,2,4,2022-11-01T23:40:55Z,300000,,,0,,R. O'Neale STEAL (1 STL),[1626220],1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
31,PT09M17.00S,2022-11-01T23:40:58.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1626220,5.863994743758213,47.549019607843135,1610612751,4,4,2022-11-01T23:41:02Z,310000,12.0,3.0,1,left,R. O'Neale running Layup (2 PTS),[1626220],1610612751.0,BKN,running,,,O'Neale,R. O'Neale,,,,,Restricted Area,0-8 Center,1.26,Made,,,,,,,2.0,,,,,,,,,,,
32,PT09M03.00S,2022-11-01T23:41:11.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630245,93.24901445466492,51.71568627450981,1610612741,4,6,2022-11-01T23:41:15Z,320000,9.0,11.0,1,right,A. Dosunmu cutting Layup (4 PTS) (Z. LaVine 1 AST),"[1630245, 203897]",1610612741.0,CHI,cutting,,,Dosunmu,A. Dosunmu,,,,,Restricted Area,0-8 Center,1.4,Made,,,,,,,4.0,Z. LaVine,203897.0,1.0,,,,,,,,
34,PT08M42.00S,2022-11-01T23:41:32.0Z,1,REGULAR,3pt,Jump Shot,[],1626220,11.777266754270697,95.83333333333334,1610612751,7,6,2022-11-01T23:41:35Z,340000,-229.0,58.0,1,left,R. O'Neale 3PT  (5 PTS) (J. Harris 1 AST),"[1626220, 203925]",1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,Left Corner 3,24+ Left,23.65,Made,,,,,,,5.0,J. Harris,203925.0,1.0,,,,,,,,
36,PT08M26.00S,2022-11-01T23:41:48.5Z,1,REGULAR,2pt,Jump Shot,[],1630172,70.77858081471747,54.65686274509803,1610612741,7,8,2022-11-01T23:44:03Z,360000,23.0,222.0,1,right,P. Williams 22' pullup Jump Shot (2 PTS) (Z. LaVine 2 AST),"[1630172, 203897]",1610612741.0,CHI,pullup,,,Williams,P. Williams,,,,,Mid-Range,16-24 Center,22.34,Made,,,,,,,2.0,Z. LaVine,203897.0,2.0,,,,,,,,
37,PT08M11.00S,2022-11-01T23:42:03.5Z,1,REGULAR,turnover,bad pass,[],201142,,,1610612751,7,8,2022-11-01T23:42:09Z,370000,,,0,,K. Durant bad pass TURNOVER (1 TO),"[201142, 1630245]",1610612751.0,BKN,,,,Durant,K. Durant,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1.0,,,,,,,,,Dosunmu,1630245.0,,
38,PT08M11.00S,2022-11-01T23:42:03.5Z,1,REGULAR,steal,,[],1630245,,,1610612741,7,8,2022-11-01T23:42:05Z,380000,,,0,,A. Dosunmu STEAL (1 STL),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
41,PT07M59.00S,2022-11-01T23:42:35.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630172,83.65637319316689,75.0,1610612741,7,10,2022-11-01T23:42:39Z,400000,125.0,101.0,1,right,P. Williams 16' Jump Shot (4 PTS) (Z. LaVine 3 AST),"[1630172, 203897]",1610612741.0,CHI,,,,Williams,P. Williams,,,,,Mid-Range,16-24 Right Center,16.08,Made,,,,,,,4.0,Z. LaVine,203897.0,3.0,,,,,,,,
43,PT07M37.00S,2022-11-01T23:42:56.1Z,1,REGULAR,3pt,Jump Shot,[],203925,6.1268068331143235,3.9215686274509802,1610612751,7,10,2022-11-01T23:43:00Z,420000,230.0,5.0,1,left,MISS J. Harris 3PT,[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,Right Corner 3,24+ Right,23.05,Missed,,,,,,,,,,,,,,,,,,
44,PT07M34.00S,2022-11-01T23:42:59.1Z,1,REGULAR,rebound,defensive,[],201942,,,1610612741,7,10,2022-11-01T23:43:00Z,430000,,,0,,D. DeRozan REBOUND (Off:0 Def:1),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Right Corner 3,24+ Right,,,43.0,1.0,1.0,0.0,,,,,,,,,,,,,,
45,PT07M25.00S,2022-11-01T23:43:10.6Z,1,REGULAR,foul,personal,['2freethrow'],201142,,,1610612741,7,10,2022-11-01T23:43:20Z,440000,,,0,,K. Durant shooting personal FOUL (1 PF) (Vucevic 2 FT),"[201142, 202696]",1610612751.0,BKN,shooting,,,Durant,K. Durant,,,,,Restricted Area,0-8 Center,,,,,,,201246.0,,,,,,1.0,0.0,Vucevic,202696.0,,,,
47,PT07M25.00S,2022-11-01T23:43:39.9Z,1,REGULAR,freethrow,1 of 2,[],202696,,,1610612741,7,10,2022-11-01T23:43:39Z,460000,,,0,,MISS N. Vucevic Free Throw 1 of 2,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
48,PT07M25.00S,2022-11-01T23:43:39.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612741,7,10,2022-11-01T23:43:39Z,470000,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,,,,
49,PT07M25.00S,2022-11-01T23:43:40.4Z,1,REGULAR,substitution,out,[],203925,,,1610612741,7,10,2022-11-01T23:43:43Z,480000,,,0,,SUB out: J. Harris,[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M25.00S,2022-11-01T23:43:40.4Z,1,REGULAR,substitution,in,[],1629139,,,1610612741,7,10,2022-11-01T23:43:43Z,490000,,,0,,SUB in: Y. Watanabe,[1629139],1610612751.0,BKN,,,,Watanabe,Y. Watanabe,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M25.00S,2022-11-01T23:43:58.7Z,1,REGULAR,freethrow,2 of 2,[],202696,,,1610612741,7,11,2022-11-01T23:43:58Z,500000,,,0,,N. Vucevic Free Throw 2 of 2 (1 PTS),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
52,PT07M13.00S,2022-11-01T23:44:11.9Z,1,REGULAR,turnover,bad pass,[],1626220,,,1610612751,7,11,2022-11-01T23:44:15Z,510000,,,0,,R. O'Neale bad pass TURNOVER (1 TO),"[1626220, 1630172]",1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Center,,,,,,,,1.0,,,,,,,,,Williams,1630172.0,,
53,PT07M13.00S,2022-11-01T23:44:11.9Z,1,REGULAR,steal,,[],1630172,,,1610612741,7,11,2022-11-01T23:44:13Z,520000,,,0,,P. Williams STEAL (1 STL),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
54,PT07M02.00S,2022-11-01T23:44:25.1Z,1,REGULAR,turnover,traveling,[],1630245,,,1610612741,7,11,2022-11-01T23:44:29Z,530000,,,0,,A. Dosunmu traveling TURNOVER (1 TO),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Mid-Range,8-16 Right,,,,,,,202058.0,1.0,,,,,,,,,,,,
55,PT07M02.00S,2022-11-01T23:44:34.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,7,11,2022-11-01T23:44:34Z,540000,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M49.00S,2022-11-01T23:48:08.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201142,33.196452036793694,49.50980392156863,1610612751,7,11,2022-11-01T23:48:12Z,550000,2.0,260.0,1,left,MISS K. Durant 25' pullup 3PT,[201142],1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,Above the Break 3,24+ Center,25.95,Missed,,,,,,,,,,,,,,,,,,
57,PT06M46.00S,2022-11-01T23:48:11.8Z,1,REGULAR,rebound,defensive,[],1630245,,,1610612741,7,11,2022-11-01T23:48:12Z,560000,,,0,,A. Dosunmu REBOUND (Off:0 Def:1),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Above the Break 3,24+ Center,,,56.0,1.0,1.0,0.0,,,,,,,,,,,,,,
58,PT06M41.00S,2022-11-01T23:48:16.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1630245,90.22667542706965,39.46078431372549,1610612741,7,13,2022-11-01T23:48:24Z,570000,-53.0,39.0,1,right,A. Dosunmu 6' running Jump Shot (6 PTS) (Z. LaVine 4 AST),"[1630245, 203897]",1610612741.0,CHI,running,,,Dosunmu,A. Dosunmu,,,,,In The Paint (Non-RA),0-8 Center,6.58,Made,,,,,,,6.0,Z. LaVine,203897.0,4.0,,,,,,,,
60,PT06M24.00S,2022-11-01T23:48:33.8Z,1,REGULAR,turnover,bad pass,[],201142,,,1610612751,7,13,2022-11-01T23:48:39Z,590000,,,0,,K. Durant bad pass TURNOVER (2 TO),"[201142, 201942]",1610612751.0,BKN,,,,Durant,K. Durant,,,,,Mid-Range,16-24 Right,,,,,,,,2.0,,,,,,,,,DeRozan,201942.0,,
61,PT06M24.00S,2022-11-01T23:48:33.8Z,1,REGULAR,steal,,[],201942,,,1610612741,7,13,2022-11-01T23:48:36Z,600000,,,0,,D. DeRozan STEAL (1 STL),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,,,
62,PT06M04.00S,2022-11-01T23:48:54.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202696,66.04796320630749,49.26470588235294,1610612741,7,13,2022-11-01T23:49:00Z,610000,-4.0,267.0,1,right,MISS N. Vucevic 26' 3PT,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Center,26.66,Missed,,,,,,,,,,,,,,,,,,
63,PT05M58.00S,2022-11-01T23:49:00.3Z,1,REGULAR,rebound,offensive,[],203897,,,1610612741,7,13,2022-11-01T23:49:00Z,620000,,,0,,Z. LaVine REBOUND (Off:1 Def:0),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Center,,,62.0,1.0,0.0,1.0,,,,,,,,,,,,,,
64,PT05M58.00S,2022-11-01T23:48:59.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",203897,94.40999984741211,50.0,1610612741,7,15,2022-11-01T23:48:59Z,630000,0.0,0.0,1,right,Z. LaVine putback Layup (4 PTS),[203897],1610612741.0,CHI,putback,,,LaVine,Z. LaVine,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,,,4.0,,,,,,,,,,,
65,PT05M43.00S,2022-11-01T23:49:14.8Z,1,REGULAR,3pt,Jump Shot,[],1626220,34.510512483574246,35.53921568627451,1610612751,7,15,2022-11-01T23:49:19Z,640000,72.0,272.0,1,left,MISS R. O'Neale 28' 3PT,[1626220],1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Center,28.13,Missed,,,,,,,,,,,,,,,,,,
66,PT05M39.00S,2022-11-01T23:49:18.8Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,7,15,2022-11-01T23:49:19Z,650000,,,0,,N. Vucevic REBOUND (Off:0 Def:4),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Center,,,65.0,4.0,4.0,0.0,,,,,,,,,,,,,,
67,PT05M31.00S,2022-11-01T23:49:26.7Z,1,REGULAR,3pt,Jump Shot,[],201942,92.46057818659659,2.941176470588235,1610612741,7,15,2022-11-01T23:49:31Z,660000,-235.0,18.0,1,right,MISS D. DeRozan 3PT,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Left Corner 3,24+ Left,23.6,Missed,,,,,,,,,,,,,,,,,,
68,PT05M28.00S,2022-11-01T23:49:29.7Z,1,REGULAR,rebound,defensive,[],1629139,,,1610612751,7,15,2022-11-01T23:49:31Z,670000,,,0,,Y. Watanabe REBOUND (Off:0 Def:1),[1629139],1610612751.0,BKN,,,,Watanabe,Y. Watanabe,,,,,Left Corner 3,24+ Left,,,67.0,1.0,1.0,0.0,,,,,,,,,,,,,,
69,PT05M18.00S,2022-11-01T23:49:39.5Z,1,REGULAR,3pt,Jump Shot,[],1626220,14.536793692509855,3.9215686274509802,1610612751,10,15,2022-11-01T23:49:43Z,680000,230.0,84.0,1,left,R. O'Neale 24' 3PT  (8 PTS) (K. Irving 1 AST),"[1626220, 202681]",1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,Right Corner 3,24+ Right,24.53,Made,,,,,,,8.0,K. Irving,202681.0,1.0,,,,,,,,
71,PT05M02.00S,2022-11-01T23:49:55.6Z,1,REGULAR,3pt,Jump Shot,[],203897,82.60512483574244,95.34313725490196,1610612741,10,15,2022-11-01T23:49:59Z,700000,227.0,111.0,1,right,MISS Z. LaVine 25' 3PT,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Right Center,25.24,Missed,,,,,,,,,,,,,,,,,,
72,PT04M59.00S,2022-11-01T23:49:58.6Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,10,15,2022-11-01T23:49:59Z,710000,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Right Center,,,71.0,1.0,1.0,0.0,,,,,,,,,,,,,,
73,PT04M52.00S,2022-11-01T23:50:08.1Z,1,REGULAR,foul,personal,['2freethrow'],1630245,,,1610612751,10,15,2022-11-01T23:50:13Z,720000,,,0,,A. Dosunmu shooting personal FOUL (1 PF) (Durant 2 FT),"[1630245, 201142]",1610612741.0,CHI,shooting,,,Dosunmu,A. Dosunmu,,,,,Mid-Range,16-24 Right,,,,,,,203593.0,,,,,,1.0,0.0,Durant,201142.0,,,,
75,PT04M52.00S,2022-11-01T23:50:31.9Z,1,REGULAR,freethrow,1 of 2,[],201142,,,1610612751,11,15,2022-11-01T23:50:31Z,740000,,,0,,K. Durant Free Throw 1 of 2 (1 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
76,PT04M52.00S,2022-11-01T23:50:32.4Z,1,REGULAR,substitution,out,[],1626220,,,1610612751,11,15,2022-11-01T23:50:39Z,750000,,,0,,SUB out: R. O'Neale,[1626220],1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT04M52.00S,2022-11-01T23:50:32.4Z,1,REGULAR,substitution,out,[],202681,,,1610612751,11,15,2022-11-01T23:50:39Z,760000,,,0,,SUB out: K. Irving,[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT04M52.00S,2022-11-01T23:50:32.4Z,1,REGULAR,substitution,out,[],203897,,,1610612751,11,15,2022-11-01T23:50:39Z,770000,,,0,,SUB out: Z. LaVine,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT04M52.00S,2022-11-01T23:50:32.4Z,1,REGULAR,substitution,in,[],1628410,,,1610612751,11,15,2022-11-01T23:50:39Z,780000,,,0,,SUB in: E. Sumner,[1628410],1610612751.0,BKN,,,,Sumner,E. Sumner,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT04M52.00S,2022-11-01T23:50:32.4Z,1,REGULAR,substitution,in,[],1630561,,,1610612751,11,15,2022-11-01T23:50:39Z,790000,,,0,,SUB in: D. Duke Jr.,[1630561],1610612751.0,BKN,,,,Duke Jr.,D. Duke Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT04M52.00S,2022-11-01T23:50:32.4Z,1,REGULAR,substitution,in,[],1629750,,,1610612751,11,15,2022-11-01T23:50:39Z,800000,,,0,,SUB in: J. Green,[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M52.00S,2022-11-01T23:50:53.8Z,1,REGULAR,freethrow,2 of 2,[],201142,,,1610612751,12,15,2022-11-01T23:50:53Z,810000,,,0,,K. Durant Free Throw 2 of 2 (2 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,Made,,,,,,,2.0,,,,,,,,,,,
83,PT04M38.00S,2022-11-01T23:51:10.1Z,1,REGULAR,2pt,Jump Shot,[],201942,77.4802890932983,65.44117647058823,1610612741,12,17,2022-11-01T23:51:13Z,820000,77.0,159.0,1,right,D. DeRozan 17' pullup Jump Shot (2 PTS),[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Right Center,17.69,Made,,,,,,,2.0,,,,,,,,,,,
84,PT04M25.00S,2022-11-01T23:51:25.7Z,1,REGULAR,foul,personal,['2freethrow'],201942,,,1610612751,12,17,2022-11-01T23:51:31Z,830000,,,0,,D. DeRozan shooting personal FOUL (1 PF) (Durant 2 FT),"[201942, 201142]",1610612741.0,CHI,shooting,,,DeRozan,D. DeRozan,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,201246.0,,,,,,1.0,0.0,Durant,201142.0,,,,
