actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
19,PT10M21.00S,2023-11-07T01:13:57.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630558,8.492115637319317,38.970588235294116,1610612758,2,2,2023-11-07T01:14:33Z,190000,False,55.0,27.0,1,left,MISS D. Mitchell 6' driving finger roll Layup - blocked,"[1630558, 1630224]",1610612758.0,SAC,driving finger roll,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,6.15,Missed,,,,,,,,,Green,1630224.0,,
20,PT10M21.00S,2023-11-07T01:13:57.5Z,1,REGULAR,block,,[],1630224,,,1610612758,2,2,2023-11-07T01:14:00Z,200000,False,,,0,,J. Green BLOCK (1 BLK),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
21,PT10M20.00S,2023-11-07T01:13:58.5Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,2,2,2023-11-07T01:14:05Z,210000,False,,,0,,A. Sengun REBOUND (Off:0 Def:2),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,19.0,2.0,2.0,0.0,,,,,,,,
22,PT10M16.00S,2023-11-07T01:14:02.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631095,68.15045992115637,65.44117647058823,1610612745,5,2,2023-11-07T01:15:20Z,220000,False,77.0,247.0,1,right,J. Smith Jr. 25' 3PT running (5 PTS) (F. VanVleet 1 AST),"[1631095, 1627832]",1610612745.0,HOU,running,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Center,,,,,,,25.87,Made,,,,,5.0,F. VanVleet,1627832.0,1.0,,,,
24,PT10M03.00S,2023-11-07T01:14:15.1Z,1,REGULAR,3pt,Jump Shot,[],203084,32.933639947437584,63.48039215686274,1610612758,5,2,2023-11-07T01:15:48Z,240000,False,-67.0,257.0,1,left,MISS H. Barnes 26' pullup 3PT,[203084],1610612758.0,SAC,pullup,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Center,,,,,,,26.58,Missed,,,,,,,,,,,,
25,PT10M02.00S,2023-11-07T01:14:16.1Z,1,REGULAR,rebound,offensive,[],1627734,,,1610612758,5,2,2023-11-07T01:14:21Z,250000,False,,,0,,D. Sabonis REBOUND (Off:1 Def:0),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Center,,,,,,,,,24.0,1.0,0.0,1.0,,,,,,,,
26,PT09M56.00S,2023-11-07T01:14:22.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631099,29.77989487516426,24.509803921568626,1610612758,5,5,2023-11-07T01:14:37Z,260000,False,127.0,227.0,1,left,K. Murray 26' 3PT  (5 PTS) (D. Mitchell 1 AST),"[1631099, 1630558]",1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Right Center,,,,,,,26.07,Made,,,,,5.0,D. Mitchell,1630558.0,1.0,,,,
28,PT09M40.00S,2023-11-07T01:14:38.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628415,92.32917214191852,47.794117647058826,1610612745,7,5,2023-11-07T01:14:45Z,280000,False,-11.0,20.0,1,right,D. Brooks driving DUNK (2 PTS) (A. Sengun 2 AST),"[1628415, 1630578]",1610612745.0,HOU,driving,,,Brooks,D. Brooks,,,,,Restricted Area,0-8 Center,,,,,,,2.25,Made,,,,,2.0,A. Sengun,1630578.0,2.0,,,,
30,PT09M22.00S,2023-11-07T01:14:56.0Z,1,REGULAR,3pt,Jump Shot,[],1628989,27.283180026281208,18.872549019607842,1610612758,7,5,2023-11-07T01:15:04Z,300000,False,156.0,204.0,1,left,MISS K. Huerter 25' 3PT,[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Right Center,,,,,,,25.66,Missed,,,,,,,,,,,,
31,PT09M21.00S,2023-11-07T01:14:57.0Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,7,5,2023-11-07T01:15:04Z,310000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,,,,,,,,,30.0,1.0,1.0,0.0,,,,,,,,
32,PT09M15.00S,2023-11-07T01:15:04.0Z,1,REGULAR,turnover,bad pass,[],1628415,,,1610612745,7,5,2023-11-07T01:15:07Z,320000,False,,,0,,D. Brooks bad pass TURNOVER (1 TO),"[1628415, 1628989]",1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),0-8 Center,,1.0,,,,,,,,,,,,,,,,,Huerter,1628989.0
33,PT09M15.00S,2023-11-07T01:15:04.0Z,1,REGULAR,steal,,[],1628989,,,1610612758,7,5,2023-11-07T01:15:05Z,330000,False,,,0,,K. Huerter STEAL (1 STL),[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
34,PT09M05.00S,2023-11-07T01:15:13.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628989,33.98488830486202,57.59803921568627,1610612758,7,8,2023-11-07T01:15:17Z,340000,False,-38.0,267.0,1,left,K. Huerter 26' 3PT  (3 PTS) (D. Sabonis 1 AST),"[1628989, 1627734]",1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Center,,,,,,,26.97,Made,,,,,3.0,D. Sabonis,1627734.0,1.0,,,,
36,PT08M38.00S,2023-11-07T01:15:40.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,92.9862023653088,53.18627450980392,1610612745,7,8,2023-11-07T01:15:44Z,360000,False,16.0,13.0,1,right,MISS A. Sengun Hook,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,,,,,2.08,Missed,,,,,,,,,,,,
37,PT08M37.00S,2023-11-07T01:15:41.3Z,1,REGULAR,rebound,offensive,[],1630578,,,1610612745,7,8,2023-11-07T01:15:44Z,370000,False,,,0,,A. Sengun REBOUND (Off:1 Def:2),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,,,,,,,36.0,3.0,2.0,1.0,,,,,,,,
38,PT08M26.00S,2023-11-07T01:15:52.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631095,73.40670170827858,12.5,1610612745,10,8,2023-11-07T01:17:22Z,380000,False,-188.0,197.0,1,right,J. Smith Jr. 27' 3PT pullup (8 PTS) (A. Sengun 3 AST),"[1631095, 1630578]",1610612745.0,HOU,pullup,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,27.23,Made,,,,,8.0,A. Sengun,1630578.0,3.0,,,,
40,PT08M09.00S,2023-11-07T01:16:08.6Z,1,REGULAR,3pt,Jump Shot,[],1631099,7.5722733245729295,1.4705882352941175,1610612758,10,8,2023-11-07T01:16:15Z,400000,False,243.0,19.0,1,left,MISS K. Murray 24' 3PT,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Right Corner 3,24+ Right,,,,,,,24.33,Missed,,,,,,,,,,,,
41,PT08M07.00S,2023-11-07T01:16:10.6Z,1,REGULAR,rebound,defensive,[],1628415,,,1610612745,10,8,2023-11-07T01:16:15Z,410000,False,,,0,,D. Brooks REBOUND (Off:0 Def:1),[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Right Corner 3,24+ Right,,,,,,,,,40.0,1.0,1.0,0.0,,,,,,,,
42,PT08M02.00S,2023-11-07T01:16:19.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630224,92.9862023653088,48.03921568627451,1610612745,12,8,2023-11-07T01:18:10Z,420000,False,-10.0,13.0,1,right,J. Green running Layup (2 PTS) (A. Sengun 4 AST),"[1630224, 1630578]",1610612745.0,HOU,running,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,,,,1.66,Made,,,,,2.0,A. Sengun,1630578.0,4.0,,,,
44,PT08M02.00S,2023-11-07T01:16:23.4Z,1,REGULAR,foul,personal,['1freethrow'],1627734,,,1610612745,12,8,2023-11-07T01:16:34Z,440000,False,,,0,,D. Sabonis shooting personal FOUL (1 PF) (Green 1 FT),"[1627734, 1630224]",1610612758.0,SAC,shooting,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,203593.0,,1.0,0.0,Green,1630224.0,,,,,,,,,,,,,,
46,PT08M02.00S,2023-11-07T01:16:53.1Z,1,REGULAR,freethrow,1 of 1,[],1630224,,,1610612745,13,8,2023-11-07T01:16:53Z,460000,False,,,0,,J. Green Free Throw 1 of 1 (3 PTS),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,,,,Made,,,,,3.0,,,,,,,
47,PT07M37.00S,2023-11-07T01:17:19.7Z,1,REGULAR,3pt,Jump Shot,[],1628989,23.078186596583443,87.74509803921569,1610612758,13,11,2023-11-07T01:19:13Z,470000,False,-189.0,164.0,1,left,K. Huerter 25' 3PT pullup (6 PTS) (H. Barnes 1 AST),"[1628989, 203084]",1610612758.0,SAC,pullup,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Left Center,,,,,,,25.03,Made,,,,,6.0,H. Barnes,203084.0,1.0,,,,
49,PT07M27.00S,2023-11-07T01:17:29.9Z,1,REGULAR,3pt,Jump Shot,[],1630224,86.28449408672799,2.696078431372549,1610612745,13,11,2023-11-07T01:17:42Z,490000,False,-237.0,76.0,1,right,MISS J. Green 24' step back 3PT,[1630224],1610612745.0,HOU,step back,,,Green,J. Green,,,,,Left Corner 3,24+ Left,,,,,,,24.85,Missed,,,,,,,,,,,,
50,PT07M27.00S,2023-11-07T01:17:29.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612758,13,11,2023-11-07T01:17:37Z,500000,False,,,0,,TEAM defensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,Left Corner 3,24+ Left,,,,,,,,,49.0,,,,,,,,,,,
51,PT07M27.00S,2023-11-07T01:17:36.1Z,1,REGULAR,foul,personal,[],1631095,,,1610612758,13,11,2023-11-07T01:17:52Z,510000,False,,,0,,J. Smith Jr. loose ball personal FOUL (1 PF),"[1631095, 1628989]",1610612745.0,HOU,loose ball,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),8-16 Center,2003.0,,1.0,0.0,Huerter,1628989.0,,,,,,,,,,,,,,
53,PT07M11.00S,2023-11-07T01:18:01.9Z,1,REGULAR,3pt,Jump Shot,[],1630558,29.911300919842315,72.54901960784314,1610612758,13,11,2023-11-07T01:18:07Z,530000,False,-113.0,229.0,1,left,MISS D. Mitchell 25' 3PT,[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Left Center,,,,,,,25.5,Missed,,,,,,,,,,,,
54,PT07M09.00S,2023-11-07T01:18:03.9Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,13,11,2023-11-07T01:18:07Z,540000,False,,,0,,J. Green REBOUND (Off:0 Def:2),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,,,,,,,,,53.0,2.0,2.0,0.0,,,,,,,,
55,PT06M55.00S,2023-11-07T01:18:17.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627832,86.67871222076215,41.42156862745098,1610612745,13,11,2023-11-07T01:20:33Z,550000,False,-43.0,73.0,1,right,MISS F. VanVleet 8' floating Shot,[1627832],1610612745.0,HOU,floating,,,VanVleet,F. VanVleet,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,8.44,Missed,,,,,,,,,,,,
56,PT06M54.00S,2023-11-07T01:18:18.8Z,1,REGULAR,rebound,offensive,[],1630578,,,1610612745,13,11,2023-11-07T01:18:29Z,560000,False,,,0,,A. Sengun REBOUND (Off:2 Def:2),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,55.0,4.0,2.0,2.0,,,,,,,,
57,PT06M50.00S,2023-11-07T01:18:22.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630578,94.40999984741211,50.0,1610612745,13,11,2023-11-07T01:18:22Z,570000,False,0.0,0.0,1,right,MISS A. Sengun putback Layup,[1630578],1610612745.0,HOU,putback,,,Sengun,A. Sengun,,,,,Mid-Range,8-16 Left,,,,,,,0.0,Missed,,,,,,,,,,,,
58,PT06M49.00S,2023-11-07T01:18:23.4Z,1,REGULAR,rebound,defensive,[],1631099,,,1610612758,13,11,2023-11-07T01:18:23Z,580000,False,,,0,,K. Murray REBOUND (Off:0 Def:2),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Mid-Range,8-16 Left,,,,,,,,,57.0,2.0,2.0,0.0,,,,,,,,
59,PT06M46.00S,2023-11-07T01:18:27.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628989,6.521024967148489,97.30392156862744,1610612758,13,11,2023-11-07T01:21:21Z,590000,False,-237.0,9.0,1,left,MISS K. Huerter running 3PT,[1628989],1610612758.0,SAC,running,,,Huerter,K. Huerter,,,,,Left Corner 3,24+ Left,,,,,,,23.67,Missed,,,,,,,,,,,,
60,PT06M45.00S,2023-11-07T01:18:28.3Z,1,REGULAR,rebound,defensive,[],1628415,,,1610612745,13,11,2023-11-07T01:18:36Z,600000,False,,,0,,D. Brooks REBOUND (Off:0 Def:2),[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Left Corner 3,24+ Left,,,,,,,,,59.0,2.0,2.0,0.0,,,,,,,,
61,PT06M30.00S,2023-11-07T01:18:43.3Z,1,REGULAR,3pt,Jump Shot,[],1627832,71.04139290407359,78.18627450980392,1610612745,13,11,2023-11-07T01:21:49Z,610000,False,141.0,220.0,1,right,MISS F. VanVleet 26' pullup 3PT - blocked,"[1627832, 1630558]",1610612745.0,HOU,pullup,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Right Center,,,,,,,26.1,Missed,,,,,,,,,Mitchell,1630558.0,,
62,PT06M30.00S,2023-11-07T01:18:43.3Z,1,REGULAR,block,,[],1630558,,,1610612745,13,11,2023-11-07T01:18:45Z,620000,False,,,0,,D. Mitchell BLOCK (1 BLK),[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
63,PT06M29.00S,2023-11-07T01:18:44.3Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,13,11,2023-11-07T01:48:00Z,630000,False,,,0,,D. Sabonis REBOUND (Off:1 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Right Center,,,,,,,,,61.0,2.0,1.0,1.0,,,,,,,,
64,PT06M24.00S,2023-11-07T01:18:49.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628989,6.521024967148489,57.35294117647059,1610612758,13,13,2023-11-07T01:18:54Z,640000,False,-37.0,9.0,1,left,K. Huerter Layup (8 PTS) (D. Sabonis 2 AST),"[1628989, 1627734]",1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Restricted Area,0-8 Center,,,,,,,3.78,Made,,,,,8.0,D. Sabonis,1627734.0,2.0,,,,
66,PT06M07.00S,2023-11-07T01:19:08.6Z,1,REGULAR,foul,personal,[],1631099,,,1610612745,13,13,2023-11-07T01:19:17Z,660000,False,,,0,,K. Murray personal FOUL (1 PF),"[1631099, 1630224]",1610612758.0,SAC,,,,Murray,K. Murray,,,,,In The Paint (Non-RA),8-16 Center,203593.0,,1.0,0.0,Green,1630224.0,,,,,,,,,,,,,,
68,PT06M07.00S,2023-11-07T01:19:16.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,13,13,2023-11-07T01:19:16Z,680000,False,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M07.00S,2023-11-07T01:20:05.7Z,1,REGULAR,substitution,out,[],1631095,,,1610612745,13,13,2023-11-07T01:22:10Z,690000,False,,,0,,SUB out: J. Smith Jr.,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M07.00S,2023-11-07T01:20:05.7Z,1,REGULAR,substitution,in,[],1630256,,,1610612745,13,13,2023-11-07T01:22:10Z,700000,False,,,0,,SUB in: J. Tate,[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M59.00S,2023-11-07T01:22:30.1Z,1,REGULAR,2pt,Jump Shot,[],1627832,87.59855453350855,29.166666666666668,1610612745,13,13,2023-11-07T01:22:36Z,710000,False,-104.0,64.0,1,right,MISS F. VanVleet 12' pullup Shot,[1627832],1610612745.0,HOU,pullup,,,VanVleet,F. VanVleet,,,,,Mid-Range,8-16 Left,,,,,,,12.23,Missed,,,,,,,,,,,,
72,PT05M58.00S,2023-11-07T01:22:31.1Z,1,REGULAR,rebound,defensive,[],1631099,,,1610612758,13,13,2023-11-07T01:22:36Z,720000,False,,,0,,K. Murray REBOUND (Off:0 Def:3),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Mid-Range,8-16 Left,,,,,,,,,71.0,3.0,3.0,0.0,,,,,,,,
73,PT05M45.00S,2023-11-07T01:22:44.4Z,1,REGULAR,turnover,bad pass,[],1628989,,,1610612758,13,13,2023-11-07T01:22:48Z,730000,False,,,0,,K. Huerter bad pass TURNOVER (1 TO),"[1628989, 1630256]",1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,In The Paint (Non-RA),0-8 Center,,1.0,,,,,,,,,,,,,,,,,Tate,1630256.0
74,PT05M45.00S,2023-11-07T01:22:44.4Z,1,REGULAR,steal,,[],1630256,,,1610612745,13,13,2023-11-07T01:22:46Z,740000,False,,,0,,J. Tate STEAL (1 STL),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
76,PT05M42.00S,2023-11-07T01:22:55.9Z,1,REGULAR,substitution,out,[],1630224,,,1610612745,13,13,2023-11-07T01:23:00Z,760000,False,,,0,,SUB out: J. Green,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M42.00S,2023-11-07T01:22:55.9Z,1,REGULAR,substitution,in,[],1628988,,,1610612745,13,13,2023-11-07T01:23:00Z,770000,False,,,0,,SUB in: A. Holiday,[1628988],1610612745.0,HOU,,,,Holiday,A. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M28.00S,2023-11-07T01:23:21.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628988,91.27792378449409,42.40196078431372,1610612745,15,13,2023-11-07T01:23:28Z,780000,False,-38.0,29.0,1,right,A. Holiday driving Layup (2 PTS) (F. VanVleet 2 AST),"[1628988, 1627832]",1610612745.0,HOU,driving,,,Holiday,A. Holiday,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,4.81,Made,,,,,2.0,F. VanVleet,1627832.0,2.0,,,,
80,PT05M17.00S,2023-11-07T01:23:32.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630558,7.5722733245729295,43.13725490196079,1610612758,15,13,2023-11-07T01:23:37Z,800000,False,34.0,19.0,1,left,MISS D. Mitchell driving Layup,[1630558],1610612758.0,SAC,driving,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,,,,,,,3.91,Missed,,,,,,,,,,,,
81,PT05M16.00S,2023-11-07T01:23:33.0Z,1,REGULAR,rebound,defensive,[],1628988,,,1610612745,15,13,2023-11-07T01:23:37Z,810000,False,,,0,,A. Holiday REBOUND (Off:0 Def:1),[1628988],1610612745.0,HOU,,,,Holiday,A. Holiday,,,,,Restricted Area,0-8 Center,,,,,,,,,80.0,1.0,1.0,0.0,,,,,,,,
82,PT05M09.00S,2023-11-07T01:23:39.3Z,1,REGULAR,3pt,Jump Shot,[],1628415,74.98357424441524,84.55882352941177,1610612745,15,13,2023-11-07T01:23:50Z,820000,False,173.0,183.0,1,right,MISS D. Brooks 25' 3PT,[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Right Center,,,,,,,25.15,Missed,,,,,,,,,,,,
83,PT05M07.00S,2023-11-07T01:23:41.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612758,15,13,2023-11-07T01:23:50Z,830000,False,,,0,,TEAM defensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,82.0,,,,,,,,,,,
84,PT05M07.00S,2023-11-07T01:23:46.8Z,1,REGULAR,foul,personal,[],1630256,,,1610612758,15,13,2023-11-07T01:23:54Z,840000,False,,,0,,J. Tate loose ball personal FOUL (1 PF),"[1630256, 1630558]",1610612745.0,HOU,loose ball,,,Tate,J. Tate,,,,,In The Paint (Non-RA),8-16 Right,2003.0,,1.0,0.0,Mitchell,1630558.0,,,,,,,,,,,,,,
86,PT05M07.00S,2023-11-07T01:23:54.0Z,1,REGULAR,substitution,out,[],1628989,,,1610612758,15,13,2023-11-07T01:29:25Z,860000,False,,,0,,SUB out: K. Huerter,[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M07.00S,2023-11-07T01:23:54.0Z,1,REGULAR,substitution,out,[],1631099,,,1610612758,15,13,2023-11-07T01:29:25Z,870000,False,,,0,,SUB out: K. Murray,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M07.00S,2023-11-07T01:23:54.0Z,1,REGULAR,substitution,out,[],1630558,,,1610612758,15,13,2023-11-07T01:29:25Z,880000,False,,,0,,SUB out: D. Mitchell,[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
