actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
16,PT10M56.00S,2024-02-26T00:14:19.6Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,0,0,2024-02-26T00:14:26Z,160000,False,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Mid-Range,8-16 Left,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT10M43.00S,2024-02-26T00:14:32.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631114,11.12023653088042,41.911764705882355,1610612760,0,0,2024-02-26T00:14:40Z,170000,False,40.0,52.0,1,left,MISS J. Williams 6' driving Layup - blocked,"[1631114, 1630224]",1610612760.0,OKC,driving,,,Williams,J. Williams,,,,,In The Paint (Non-RA),0-8 Center,6.58,Missed,,,,,,Green,1630224.0,,,,,,,,,,,
18,PT10M43.00S,2024-02-26T00:14:32.8Z,1,REGULAR,block,,[],1630224,,,1610612760,0,0,2024-02-26T00:16:26Z,180000,False,,,0,,J. Green BLOCK (1 BLK),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
19,PT10M43.00S,2024-02-26T00:14:32.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612760,0,0,2024-02-26T00:14:40Z,190000,False,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,17.0,,,,,,,,,,,,,,,,,
21,PT10M34.00S,2024-02-26T00:14:53.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631114,18.873193166885677,4.6568627450980395,1610612760,0,0,2024-02-26T00:15:00Z,210000,False,227.0,125.0,1,left,MISS J. Williams 25' 3PT,[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Right Center,25.88,Missed,,,,,,,,,,,,,,,,,,
22,PT10M33.00S,2024-02-26T00:14:54.7Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,0,0,2024-02-26T00:15:00Z,220000,False,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Right Center,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,
23,PT10M24.00S,2024-02-26T00:15:04.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,91.5407358738502,53.67647058823529,1610612745,0,0,2024-02-26T00:15:12Z,230000,False,18.0,27.0,1,right,MISS J. Green driving finger roll Layup,[1630224],1610612745.0,HOU,driving finger roll,,,Green,J. Green,,,,,Restricted Area,0-8 Center,3.27,Missed,,,,,,,,,,,,,,,,,,
24,PT10M23.00S,2024-02-26T00:15:05.0Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,0,0,2024-02-26T00:15:12Z,240000,False,,,0,,J. Giddey REBOUND (Off:0 Def:2),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,,,23.0,2.0,2.0,0.0,,,,,,,,,,,,,,
25,PT10M15.00S,2024-02-26T00:15:12.9Z,1,REGULAR,3pt,Jump Shot,[],1629652,24.129434954007884,14.215686274509803,1610612760,0,3,2024-02-26T00:15:17Z,250000,False,179.0,174.0,1,left,L. Dort 24' 3PT  (3 PTS) (C. Holmgren 1 AST),"[1629652, 1631096]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Right Center,24.98,Made,,,,,,,,3.0,C. Holmgren,1631096.0,1.0,,,,,,,
27,PT09M58.00S,2024-02-26T00:15:29.9Z,1,REGULAR,3pt,Jump Shot,[],1630224,71.30420499342969,77.69607843137256,1610612745,0,3,2024-02-26T00:15:36Z,270000,False,138.0,217.0,1,right,MISS J. Green 25' 3PT,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,25.76,Missed,,,,,,,,,,,,,,,,,,
28,PT09M58.00S,2024-02-26T00:15:29.9Z,1,REGULAR,rebound,defensive,[],1628983,,,1610612760,0,3,2024-02-26T00:15:36Z,280000,False,,,0,,S. Gilgeous-Alexander REBOUND (Off:0 Def:1),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Right Center,,,27.0,1.0,1.0,0.0,,,,,,,,,,,,,,
29,PT09M47.00S,2024-02-26T00:15:41.2Z,1,REGULAR,2pt,Jump Shot,[],1628983,4.5499342969776615,71.81372549019608,1610612760,0,3,2024-02-26T00:15:54Z,290000,False,-109.0,-10.0,1,left,MISS S. Gilgeous-Alexander 10' turnaround fadeaway Shot,[1628983],1610612760.0,OKC,turnaround fadeaway,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Left,10.95,Missed,,,,,,,,,,,,,,,,,,
30,PT09M46.00S,2024-02-26T00:15:42.2Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,0,3,2024-02-26T00:15:54Z,300000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Mid-Range,8-16 Left,,,29.0,1.0,1.0,0.0,,,,,,,,,,,,,,
31,PT09M38.00S,2024-02-26T00:15:50.0Z,1,REGULAR,3pt,Jump Shot,[],1630578,68.01905387647832,32.35294117647059,1610612745,3,3,2024-02-26T00:15:56Z,310000,False,-88.0,248.0,1,right,A. Sengun 26' 3PT  (3 PTS) (J. Green 1 AST),"[1630578, 1630224]",1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Left Center,26.33,Made,,,,,,,,3.0,J. Green,1630224.0,1.0,,,,,,,
33,PT09M21.00S,2024-02-26T00:16:05.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631114,9.411957950065702,41.42156862745098,1610612760,3,3,2024-02-26T00:16:13Z,330000,False,43.0,36.0,1,left,MISS J. Williams driving Layup - blocked,"[1631114, 1630224]",1610612760.0,OKC,driving,,,Williams,J. Williams,,,,,In The Paint (Non-RA),0-8 Center,5.6,Missed,,,,,,Green,1630224.0,,,,,,,,,,,
34,PT09M21.00S,2024-02-26T00:16:05.8Z,1,REGULAR,block,,[],1630224,,,1610612760,3,3,2024-02-26T00:16:08Z,340000,False,,,0,,J. Green BLOCK (2 BLK),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
35,PT09M21.00S,2024-02-26T00:16:05.8Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,3,3,2024-02-26T00:16:13Z,350000,False,,,0,,J. Green REBOUND (Off:0 Def:2),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,,,33.0,2.0,2.0,0.0,,,,,,,,,,,,,,
36,PT09M16.00S,2024-02-26T00:16:12.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628415,93.77463863337714,95.58823529411765,1610612745,6,3,2024-02-26T01:03:00Z,360000,False,228.0,6.0,1,right,D. Brooks 3PT running (3 PTS) (J. Green 2 AST),"[1628415, 1630224]",1610612745.0,HOU,running,,,Brooks,D. Brooks,,,,,Right Corner 3,24+ Right,22.8,Made,,,,,,,,3.0,J. Green,1630224.0,2.0,,,,,,,
38,PT08M57.00S,2024-02-26T00:16:29.8Z,1,REGULAR,2pt,Jump Shot,[],1628983,5.338370565045992,80.63725490196079,1610612760,6,5,2024-02-26T00:16:36Z,380000,False,-153.0,-2.0,1,left,S. Gilgeous-Alexander 15' Jump Shot (2 PTS) (L. Dort 1 AST),"[1628983, 1629652]",1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Left,15.32,Made,,,,,,,,2.0,L. Dort,1629652.0,1.0,,,,,,,
40,PT08M47.00S,2024-02-26T00:16:42.7Z,1,REGULAR,foul,offensive,[],1630578,,,1610612745,6,5,2024-02-26T00:16:51Z,400000,False,,,0,,A. Sengun offensive FOUL (1 PF),"[1630578, 1629652]",1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Left Center,,,,,,,204058.0,,,,,,,1.0,0.0,Dort,1629652.0,,,
42,PT08M47.00S,2024-02-26T00:16:42.7Z,1,REGULAR,turnover,offensive foul,[],1630578,,,1610612745,6,5,2024-02-26T00:16:42Z,420000,False,,,0,,A. Sengun offensive foul TURNOVER (1 TO),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Left Center,,,,,,,204058.0,,,,,,,,,,,1.0,,
43,PT08M37.00S,2024-02-26T00:17:04.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630581,7.5722733245729295,45.588235294117645,1610612760,6,7,2024-02-26T00:17:12Z,430000,False,22.0,19.0,1,left,J. Giddey cutting Layup (2 PTS) (J. Williams 1 AST),"[1630581, 1631114]",1610612760.0,OKC,cutting,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,2.89,Made,,,,,,,,2.0,J. Williams,1631114.0,1.0,,,,,,,
45,PT08M28.00S,2024-02-26T00:17:14.1Z,1,REGULAR,3pt,Jump Shot,[],1630578,68.9388961892247,30.637254901960787,1610612745,6,7,2024-02-26T00:17:20Z,450000,False,-97.0,239.0,1,right,MISS A. Sengun 25' 3PT,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Left Center,25.83,Missed,,,,,,,,,,,,,,,,,,
46,PT08M28.00S,2024-02-26T00:17:14.1Z,1,REGULAR,rebound,defensive,[],1631114,,,1610612760,6,7,2024-02-26T00:17:20Z,460000,False,,,0,,J. Williams REBOUND (Off:0 Def:1),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Left Center,,,45.0,1.0,1.0,0.0,,,,,,,,,,,,,,
47,PT08M16.00S,2024-02-26T00:17:29.8Z,1,REGULAR,foul,offensive,[],1628983,,,1610612760,6,7,2024-02-26T00:17:37Z,470000,False,,,0,,S. Gilgeous-Alexander offensive FOUL (1 PF),"[1628983, 1628415]",1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Left,,,,,,,1628953.0,,,,,,,1.0,0.0,Brooks,1628415.0,,,
49,PT08M16.00S,2024-02-26T00:17:29.8Z,1,REGULAR,turnover,offensive foul,[],1628983,,,1610612760,6,7,2024-02-26T00:17:29Z,490000,False,,,0,,S. Gilgeous-Alexander offensive foul TURNOVER (1 TO),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Left,,,,,,,1628953.0,,,,,,,,,,,1.0,,
50,PT08M07.00S,2024-02-26T00:17:48.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627832,83.26215505913272,4.166666666666666,1610612745,6,7,2024-02-26T00:17:54Z,500000,False,-229.0,105.0,1,right,MISS F. VanVleet 25' 3PT,[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Left Center,25.2,Missed,,,,,,,,,,,,,,,,,,
51,PT08M05.00S,2024-02-26T00:17:50.2Z,1,REGULAR,rebound,offensive,[],1627832,,,1610612745,6,7,2024-02-26T00:17:54Z,510000,False,,,0,,F. VanVleet REBOUND (Off:1 Def:0),[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Left Center,,,50.0,1.0,0.0,1.0,,,,,,,,,,,,,,
52,PT07M51.00S,2024-02-26T00:18:04.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630578,83.13074901445466,39.950980392156865,1610612745,8,7,2024-02-26T00:18:11Z,520000,False,-50.0,106.0,1,right,A. Sengun 11' turnaround fadeaway Jump Shot (5 PTS),[1630578],1610612745.0,HOU,turnaround fadeaway,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),8-16 Center,11.74,Made,,,,,,,,5.0,,,,,,,,,,
53,PT07M33.00S,2024-02-26T00:18:20.8Z,1,REGULAR,3pt,Jump Shot,[],1629652,24.26084099868594,13.480392156862745,1610612760,8,10,2024-02-26T00:18:25Z,530000,False,183.0,176.0,1,left,L. Dort 25' 3PT  (6 PTS) (J. Williams 2 AST),"[1629652, 1631114]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Right Center,25.33,Made,,,,,,,,6.0,J. Williams,1631114.0,2.0,,,,,,,
55,PT07M16.00S,2024-02-26T00:18:37.7Z,1,REGULAR,2pt,Jump Shot,[],1630578,91.27792378449409,66.66666666666666,1610612745,8,10,2024-02-26T00:18:45Z,550000,False,83.0,29.0,1,right,MISS A. Sengun 8' turnaround fadeaway Shot,[1630578],1610612745.0,HOU,turnaround fadeaway,,,Sengun,A. Sengun,,,,,Mid-Range,8-16 Right,8.84,Missed,,,,,,,,,,,,,,,,,,
56,PT07M16.00S,2024-02-26T00:18:37.7Z,1,REGULAR,rebound,offensive,[],1631095,,,1610612745,8,10,2024-02-26T00:18:45Z,560000,False,,,0,,J. Smith Jr. REBOUND (Off:1 Def:1),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,8-16 Right,,,55.0,2.0,1.0,1.0,,,,,,,,,,,,,,
57,PT07M14.00S,2024-02-26T00:18:42.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631095,93.11760840998686,52.450980392156865,1610612745,10,10,2024-02-26T00:19:08Z,570000,False,12.0,12.0,1,right,J. Smith Jr. putback Layup (2 PTS),[1631095],1610612745.0,HOU,putback,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,1.73,Made,,,,,,,,2.0,,,,,,,,,,
58,PT07M14.00S,2024-02-26T00:18:44.9Z,1,REGULAR,foul,personal,['1freethrow'],1630581,,,1610612745,10,10,2024-02-26T00:18:50Z,580000,False,,,0,,J. Giddey shooting personal FOUL (1 PF) (Smith Jr. 1 FT),"[1630581, 1631095]",1610612760.0,OKC,shooting,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,,,,,,,1628953.0,,,,,,,1.0,0.0,Smith Jr.,1631095.0,,,
60,PT07M14.00S,2024-02-26T00:19:19.9Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1631095,,,1610612745,11,10,2024-02-26T00:19:19Z,600000,False,,,0,,J. Smith Jr. Free Throw 1 of 1 (3 PTS),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,Made,,,,,,,,3.0,,,,,,,,,,
61,PT07M03.00S,2024-02-26T00:19:31.7Z,1,REGULAR,3pt,Jump Shot,[],1629652,7.178055190538765,3.1862745098039214,1610612760,11,13,2024-02-26T00:19:37Z,610000,False,234.0,15.0,1,left,L. Dort 3PT  (9 PTS) (C. Holmgren 2 AST),"[1629652, 1631096]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,Right Corner 3,24+ Right,23.46,Made,,,,,,,,9.0,C. Holmgren,1631096.0,2.0,,,,,,,
63,PT06M42.00S,2024-02-26T00:19:52.8Z,1,REGULAR,3pt,Jump Shot,[],1631095,74.72076215505913,85.04901960784314,1610612745,14,13,2024-02-26T00:19:58Z,630000,False,175.0,185.0,1,right,J. Smith Jr. 25' 3PT  (6 PTS) (D. Brooks 1 AST),"[1631095, 1628415]",1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Right Center,25.49,Made,,,,,,,,6.0,D. Brooks,1628415.0,1.0,,,,,,,
65,PT06M28.00S,2024-02-26T00:20:09.1Z,1,REGULAR,foul,personal,['2freethrow'],1627832,,,1610612760,14,13,2024-02-26T00:20:17Z,650000,False,,,0,,F. VanVleet shooting personal FOUL (1 PF) (Dort 2 FT),"[1627832, 1629652]",1610612745.0,HOU,shooting,,,VanVleet,F. VanVleet,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,204058.0,,,,,,,1.0,0.0,Dort,1629652.0,,,
67,PT06M28.00S,2024-02-26T00:20:20.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,14,13,2024-02-26T00:20:20Z,670000,False,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M28.00S,2024-02-26T00:22:48.7Z,1,REGULAR,substitution,out,[],1630581,,,1610612760,14,13,2024-02-26T00:23:12Z,680000,False,,,0,,SUB out: J. Giddey,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M28.00S,2024-02-26T00:22:48.7Z,1,REGULAR,substitution,in,[],1631119,,,1610612760,14,13,2024-02-26T00:23:12Z,690000,False,,,0,,SUB in: J. Williams,[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M28.00S,2024-02-26T00:23:29.5Z,1,REGULAR,freethrow,1 of 2,[],1629652,,,1610612760,14,14,2024-02-26T00:23:29Z,700000,False,,,0,,L. Dort Free Throw 1 of 2 (10 PTS),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,Made,,,,,,,,10.0,,,,,,,,,,
72,PT06M28.00S,2024-02-26T00:23:46.9Z,1,REGULAR,freethrow,2 of 2,[],1629652,,,1610612760,14,15,2024-02-26T00:23:46Z,710000,False,,,0,,L. Dort Free Throw 2 of 2 (11 PTS),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,Made,,,,,,,,11.0,,,,,,,,,,
73,PT06M18.00S,2024-02-26T00:24:01.0Z,1,REGULAR,foul,personal,['2freethrow'],1631114,,,1610612745,14,15,2024-02-26T00:24:10Z,720000,False,,,0,,J. Williams shooting personal FOUL (1 PF) (Sengun 2 FT),"[1631114, 1630578]",1610612760.0,OKC,shooting,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,,,,,,,202056.0,,,,,,,1.0,0.0,Sengun,1630578.0,,,
75,PT06M18.00S,2024-02-26T00:24:25.2Z,1,REGULAR,freethrow,1 of 2,[],1630578,,,1610612745,15,15,2024-02-26T00:24:55Z,740000,False,,,0,,A. Sengun Free Throw 1 of 2 (6 PTS),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,Made,,,,,,,,6.0,,,,,,,,,,
76,PT06M18.00S,2024-02-26T00:24:25.2Z,1,REGULAR,freethrow,2 of 2,[],1630578,,,1610612745,15,15,2024-02-26T00:24:55Z,750000,False,,,0,,MISS A. Sengun Free Throw 2 of 2,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
77,PT06M18.00S,2024-02-26T00:24:25.2Z,1,REGULAR,rebound,defensive,[],1631096,,,1610612760,15,15,2024-02-26T00:24:55Z,760000,False,,,0,,C. Holmgren REBOUND (Off:0 Def:2),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,,,,,76.0,2.0,2.0,0.0,,,,,,,,,,,,,,
78,PT06M07.00S,2024-02-26T00:24:56.9Z,1,REGULAR,3pt,Jump Shot,[],1631119,8.229303547963205,96.07843137254902,1610612760,15,18,2024-02-26T00:25:01Z,770000,False,-230.0,25.0,1,left,J. Williams 3PT  (3 PTS) (S. Gilgeous-Alexander 1 AST),"[1631119, 1628983]",1610612760.0,OKC,,,,Williams,J. Williams,,,,,Left Corner 3,24+ Left,23.17,Made,,,,,,,,3.0,S. Gilgeous-Alexander,1628983.0,1.0,,,,,,,
80,PT05M51.00S,2024-02-26T00:25:12.7Z,1,REGULAR,3pt,Jump Shot,[],1627832,95.3515111695138,4.6568627450980395,1610612745,18,18,2024-02-26T00:25:16Z,790000,False,-227.0,-9.0,1,right,F. VanVleet 3PT  (3 PTS) (J. Smith Jr. 1 AST),"[1627832, 1631095]",1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Left Corner 3,24+ Left,22.69,Made,,,,,,,,3.0,J. Smith Jr.,1631095.0,1.0,,,,,,,
82,PT05M30.00S,2024-02-26T00:25:33.5Z,1,REGULAR,2pt,Jump Shot,[],1629652,20.844283837056505,25.98039215686275,1610612760,18,18,2024-02-26T00:25:40Z,810000,False,120.0,143.0,1,left,MISS L. Dort 18' Jump Shot,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Mid-Range,16-24 Right Center,18.7,Missed,,,,,,,,,,,,,,,,,,
83,PT05M29.00S,2024-02-26T00:25:34.5Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,18,18,2024-02-26T00:25:40Z,820000,False,,,0,,J. Smith Jr. REBOUND (Off:1 Def:2),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,16-24 Right Center,,,82.0,3.0,2.0,1.0,,,,,,,,,,,,,,
84,PT05M18.00S,2024-02-26T00:25:45.6Z,1,REGULAR,3pt,Jump Shot,[],1631095,89.30683311432325,4.166666666666666,1610612745,21,18,2024-02-26T00:25:49Z,830000,False,-229.0,48.0,1,right,J. Smith Jr. 3PT  (9 PTS) (F. VanVleet 1 AST),"[1631095, 1627832]",1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Left Corner 3,24+ Left,23.42,Made,,,,,,,,9.0,F. VanVleet,1627832.0,1.0,,,,,,,
86,PT05M05.00S,2024-02-26T00:25:57.8Z,1,REGULAR,2pt,Jump Shot,[],1631114,23.47240473061761,59.068627450980394,1610612760,21,20,2024-02-26T00:26:04Z,850000,False,-45.0,168.0,1,left,J. Williams 17' pullup Jump Shot (2 PTS),[1631114],1610612760.0,OKC,pullup,,,Williams,J. Williams,,,,,Mid-Range,16-24 Center,17.41,Made,,,,,,,,2.0,,,,,,,,,,
87,PT04M47.00S,2024-02-26T00:26:16.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,87.07293035479631,38.72549019607843,1610612745,21,20,2024-02-26T00:26:23Z,860000,False,-56.0,69.0,1,right,MISS A. Sengun 8' turnaround Hook,[1630578],1610612745.0,HOU,turnaround,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),8-16 Left,8.91,Missed,,,,,,,,,,,,,,,,,,
