actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
31,PT09M14.00S,2024-03-16T21:14:11.2Z,1,REGULAR,2pt,Jump Shot,[],1628415,91.5407358738502,27.205882352941174,1610612745,10,9,2024-03-16T21:14:20Z,310000,False,-114.0,27.0,1,right,MISS D. Brooks 11' turnaround fadeaway Shot,[1628415],1610612745.0,HOU,turnaround fadeaway,,,Brooks,D. Brooks,,,,,Mid-Range,8-16 Left,,,,11.72,Missed,,,,,,,,,,,,,,,
32,PT09M14.00S,2024-03-16T21:14:11.2Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612739,10,9,2024-03-16T21:14:20Z,320000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,31.0,1.0,1.0,0.0,,,,,
33,PT09M07.00S,2024-03-16T21:14:22.3Z,1,REGULAR,foul,personal,[],1628415,,,1610612739,10,9,2024-03-16T21:14:38Z,330000,False,,,0,,D. Brooks personal FOUL (1 PF),"[1628415, 1628386]",1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,1155.0,1.0,0.0,Allen,1628386.0
35,PT08M58.00S,2024-03-16T21:14:50.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627777,8.492115637319317,37.5,1610612739,10,11,2024-03-16T21:14:56Z,350000,False,62.0,27.0,1,left,G. Niang 6' turnaround bank Jump Shot (2 PTS),[1627777],1610612739.0,CLE,turnaround bank,,,Niang,G. Niang,,,,,In The Paint (Non-RA),0-8 Center,,,,6.82,Made,2.0,,,,,,,,,,,,,,
36,PT08M44.00S,2024-03-16T21:15:03.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641708,92.46057818659659,48.28431372549019,1610612745,12,11,2024-03-16T21:28:39Z,360000,False,-9.0,18.0,1,right,A. Thompson DUNK (2 PTS) (D. Brooks 1 AST),"[1641708, 1628415]",1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,,2.03,Made,2.0,D. Brooks,1628415.0,1.0,,,,,,,,,,,
38,PT08M34.00S,2024-03-16T21:15:16.5Z,1,REGULAR,foul,personal,[],1641708,,,1610612739,12,11,2024-03-16T21:15:25Z,380000,False,,,0,,A. Thompson personal FOUL (1 PF),"[1641708, 1628386]",1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,101283.0,1.0,0.0,Allen,1628386.0
40,PT08M23.00S,2024-03-16T21:15:44.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629636,5.732588699080158,52.69607843137255,1610612739,12,13,2024-03-16T21:15:49Z,400000,False,-13.0,1.0,1,left,D. Garland driving reverse Layup (2 PTS),[1629636],1610612739.0,CLE,driving reverse,,,Garland,D. Garland,,,,,Restricted Area,0-8 Center,,,,1.36,Made,2.0,,,,,,,,,,,,,,
41,PT08M12.00S,2024-03-16T21:15:56.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630224,91.01511169513797,45.09803921568628,1610612745,12,13,2024-03-16T21:28:57Z,410000,False,-25.0,32.0,1,right,MISS J. Green driving Hook,[1630224],1610612745.0,HOU,driving,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,4.03,Missed,,,,,,,,,,,,,,,
42,PT08M11.00S,2024-03-16T21:15:57.3Z,1,REGULAR,rebound,offensive,[],1630224,,,1610612745,12,13,2024-03-16T21:28:57Z,420000,False,,,0,,J. Green REBOUND (Off:1 Def:1),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,41.0,2.0,1.0,1.0,,,,,
43,PT08M07.00S,2024-03-16T21:16:01.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628415,67.7562417871222,45.09803921568628,1610612745,15,13,2024-03-16T21:16:06Z,430000,False,-25.0,251.0,1,right,D. Brooks 25' 3PT  (6 PTS) (F. VanVleet 3 AST),"[1628415, 1627832]",1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Center,,,,25.18,Made,6.0,F. VanVleet,1627832.0,3.0,,,,,,,,,,,
45,PT07M52.00S,2024-03-16T21:16:15.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628386,6.1268068331143235,51.71568627450981,1610612739,15,15,2024-03-16T21:16:20Z,450000,False,-9.0,5.0,1,left,J. Allen cutting Layup (2 PTS) (G. Niang 1 AST),"[1628386, 1627777]",1610612739.0,CLE,cutting,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,1.0,Made,2.0,G. Niang,1627777.0,1.0,,,,,,,,,,,
47,PT07M38.00S,2024-03-16T21:16:30.6Z,1,REGULAR,turnover,bad pass,[],1631095,,,1610612745,15,15,2024-03-16T21:16:34Z,470000,False,,,0,,J. Smith Jr. bad pass TURNOVER (1 TO),"[1631095, 1629636]",1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Left Center,1.0,Garland,1629636.0,,,,,,,,,,,,,,,,,
48,PT07M38.00S,2024-03-16T21:16:30.6Z,1,REGULAR,steal,,[],1629636,,,1610612739,15,15,2024-03-16T21:16:32Z,480000,False,,,0,,D. Garland STEAL (1 STL),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
49,PT07M34.00S,2024-03-16T21:16:34.3Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1629636,27.94021024967148,78.18627450980392,1610612739,15,15,2024-03-16T21:19:01Z,490000,False,-141.0,210.0,1,left,MISS D. Garland 25' running pullup 3PT,[1629636],1610612739.0,CLE,running pullup,,,Garland,D. Garland,,,,,Above the Break 3,24+ Left Center,,,,25.3,Missed,,,,,,,,,,,,,,,
50,PT07M31.00S,2024-03-16T21:16:37.3Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,15,15,2024-03-16T21:19:01Z,500000,False,,,0,,J. Green REBOUND (Off:1 Def:2),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,49.0,3.0,2.0,1.0,,,,,
51,PT07M27.00S,2024-03-16T21:16:40.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628415,92.06636005256242,43.13725490196079,1610612745,15,15,2024-03-16T21:17:00Z,510000,False,-34.0,22.0,1,right,MISS D. Brooks running Layup,[1628415],1610612745.0,HOU,running,,,Brooks,D. Brooks,,,,,Restricted Area,0-8 Center,,,,4.08,Missed,,,,,,,,,,,,,,,
52,PT07M26.00S,2024-03-16T21:16:41.2Z,1,REGULAR,rebound,offensive,[],1628415,,,1610612745,15,15,2024-03-16T22:21:18Z,520000,False,,,0,,D. Brooks REBOUND (Off:1 Def:0),[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,51.0,1.0,0.0,1.0,,,,,
53,PT07M24.00S,2024-03-16T21:16:43.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641708,92.72339027595268,49.50980392156863,1610612745,15,15,2024-03-16T22:21:00Z,530000,False,-2.0,16.0,1,right,MISS A. Thompson Layup - blocked,"[1641708, 1628386]",1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,,1.61,Missed,,,,,Allen,1628386.0,,,,,,,,,
54,PT07M24.00S,2024-03-16T21:16:43.5Z,1,REGULAR,block,,[],1628386,,,1610612745,15,15,2024-03-16T21:16:45Z,540000,False,,,0,,J. Allen BLOCK (1 BLK),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
55,PT07M22.00S,2024-03-16T21:16:45.5Z,1,REGULAR,rebound,offensive,[],1641708,,,1610612745,15,15,2024-03-16T21:17:04Z,550000,False,,,0,,A. Thompson REBOUND (Off:2 Def:0),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,53.0,2.0,0.0,2.0,,,,,
56,PT07M21.00S,2024-03-16T21:16:46.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641708,93.11760840998686,49.754901960784316,1610612745,17,15,2024-03-16T21:17:08Z,560000,False,-1.0,12.0,1,right,A. Thompson putback Layup (4 PTS),[1641708],1610612745.0,HOU,putback,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,,1.23,Made,4.0,,,,,,,,,,,,,,
57,PT07M12.00S,2024-03-16T21:16:55.6Z,1,REGULAR,3pt,Jump Shot,[],1629636,34.11629434954008,44.36274509803921,1610612739,17,15,2024-03-16T21:22:36Z,570000,False,28.0,268.0,1,left,MISS D. Garland 26' pullup 3PT,[1629636],1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,Above the Break 3,24+ Center,,,,26.97,Missed,,,,,,,,,,,,,,,
58,PT07M12.00S,2024-03-16T21:16:55.6Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612745,17,15,2024-03-16T21:17:11Z,580000,False,,,0,,F. VanVleet REBOUND (Off:0 Def:2),[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,57.0,2.0,2.0,0.0,,,,,
59,PT07M05.00S,2024-03-16T21:17:03.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627832,92.59198423127464,45.83333333333333,1610612745,17,15,2024-03-16T21:17:20Z,590000,False,-21.0,17.0,1,right,MISS F. VanVleet running Layup,[1627832],1610612745.0,HOU,running,,,VanVleet,F. VanVleet,,,,,Restricted Area,0-8 Center,,,,2.69,Missed,,,,,,,,,,,,,,,
60,PT07M03.00S,2024-03-16T21:17:05.1Z,1,REGULAR,rebound,offensive,[],1627832,,,1610612745,17,15,2024-03-16T21:17:05Z,600000,False,,,0,,F. VanVleet REBOUND (Off:1 Def:2),[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,59.0,3.0,2.0,1.0,,,,,
61,PT06M59.00S,2024-03-16T21:17:10.0Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1631095,84.97043363994744,80.63725490196079,1610612745,19,15,2024-03-16T21:23:49Z,610000,False,153.0,89.0,1,right,J. Smith Jr. 17' step back Jump Shot (4 PTS) (F. VanVleet 4 AST),"[1631095, 1627832]",1610612745.0,HOU,step back,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,16-24 Right,,,,17.71,Made,4.0,F. VanVleet,1627832.0,4.0,,,,,,,,,,,
63,PT06M46.00S,2024-03-16T21:17:31.8Z,1,REGULAR,foul,personal,[],1641708,,,1610612739,19,15,2024-03-16T21:17:49Z,630000,False,,,0,,A. Thompson personal FOUL (2 PF),"[1641708, 1628378]",1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1155.0,2.0,0.0,Mitchell,1628378.0
65,PT06M46.00S,2024-03-16T21:17:49.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,19,15,2024-03-16T21:17:49Z,650000,False,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M46.00S,2024-03-16T21:19:49.6Z,1,REGULAR,substitution,out,[],1641708,,,1610612739,19,15,2024-03-16T21:20:31Z,660000,False,,,0,,SUB out: A. Thompson,[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M46.00S,2024-03-16T21:19:49.6Z,1,REGULAR,substitution,out,[],1629636,,,1610612739,19,15,2024-03-16T21:20:31Z,670000,False,,,0,,SUB out: D. Garland,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M46.00S,2024-03-16T21:19:49.6Z,1,REGULAR,substitution,in,[],201145,,,1610612739,19,15,2024-03-16T21:20:31Z,680000,False,,,0,,SUB in: J. Green,[201145],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M46.00S,2024-03-16T21:19:49.6Z,1,REGULAR,substitution,in,[],1627747,,,1610612739,19,15,2024-03-16T21:20:31Z,690000,False,,,0,,SUB in: C. LeVert,[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M37.00S,2024-03-16T21:20:49.3Z,1,REGULAR,3pt,Jump Shot,[],1628378,34.11629434954008,46.81372549019608,1610612739,19,15,2024-03-16T21:20:55Z,700000,False,16.0,268.0,1,left,MISS D. Mitchell 26' 3PT,[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Center,,,,26.87,Missed,,,,,,,,,,,,,,,
71,PT06M37.00S,2024-03-16T21:20:49.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612745,19,15,2024-03-16T21:20:55Z,710000,False,,,0,,TEAM defensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,70.0,,,,,,,,
73,PT06M25.00S,2024-03-16T21:21:11.8Z,1,REGULAR,3pt,Jump Shot,[],1631095,69.20170827858082,68.13725490196079,1610612745,19,15,2024-03-16T21:21:22Z,730000,False,91.0,237.0,1,right,MISS J. Smith Jr. 25' 3PT,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Right Center,,,,25.38,Missed,,,,,,,,,,,,,,,
74,PT06M25.00S,2024-03-16T21:21:11.8Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612739,19,15,2024-03-16T21:21:22Z,740000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:2),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,73.0,2.0,2.0,0.0,,,,,
75,PT06M14.00S,2024-03-16T21:21:23.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627747,7.966491458607096,54.65686274509803,1610612739,19,17,2024-03-16T21:21:28Z,750000,False,-23.0,22.0,1,left,C. LeVert driving Layup (2 PTS),[1627747],1610612739.0,CLE,driving,,,LeVert,C. LeVert,,,,,Restricted Area,0-8 Center,,,,3.23,Made,2.0,,,,,,,,,,,,,,
76,PT06M00.00S,2024-03-16T21:21:36.7Z,1,REGULAR,3pt,Jump Shot,[],1630224,73.9323258869908,81.12745098039215,1610612745,19,17,2024-03-16T21:21:46Z,760000,False,156.0,193.0,1,right,MISS J. Green 24' pullup 3PT,[1630224],1610612745.0,HOU,pullup,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,,,,24.75,Missed,,,,,,,,,,,,,,,
77,PT05M59.00S,2024-03-16T21:21:37.7Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,19,17,2024-03-16T21:21:46Z,770000,False,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,76.0,1.0,1.0,0.0,,,,,
78,PT05M44.00S,2024-03-16T21:21:53.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628378,10.5946123521682,34.31372549019608,1610612739,19,19,2024-03-16T21:21:58Z,780000,False,78.0,47.0,1,left,D. Mitchell 9' driving Layup (8 PTS),[1628378],1610612739.0,CLE,driving,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),8-16 Right,,,,9.15,Made,8.0,,,,,,,,,,,,,,
79,PT05M31.00S,2024-03-16T21:22:06.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201145,92.59198423127464,46.32352941176471,1610612745,21,19,2024-03-16T21:22:12Z,790000,False,-18.0,17.0,1,right,J. Green cutting Layup (2 PTS) (F. VanVleet 5 AST),"[201145, 1627832]",1610612745.0,HOU,cutting,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,2.51,Made,2.0,F. VanVleet,1627832.0,5.0,,,,,,,,,,,
81,PT05M09.00S,2024-03-16T21:22:28.4Z,1,REGULAR,3pt,Jump Shot,[],1627777,5.206964520367937,94.36274509803921,1610612739,21,22,2024-03-16T21:22:32Z,810000,False,-222.0,-4.0,1,left,G. Niang 3PT  (5 PTS) (C. LeVert 1 AST),"[1627777, 1627747]",1610612739.0,CLE,,,,Niang,G. Niang,,,,,Left Corner 3,24+ Left,,,,22.18,Made,5.0,C. LeVert,1627747.0,1.0,,,,,,,,,,,
83,PT04M49.00S,2024-03-16T21:22:48.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628415,87.20433639947439,41.17647058823529,1610612745,23,22,2024-03-16T21:25:25Z,830000,False,-44.0,68.0,1,right,D. Brooks 8' fadeaway Jump Shot (8 PTS),[1628415],1610612745.0,HOU,fadeaway,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),8-16 Left,,,,8.09,Made,8.0,,,,,,,,,,,,,,
84,PT04M37.00S,2024-03-16T21:22:59.9Z,1,REGULAR,2pt,Jump Shot,[],1628378,27.020367936925098,33.088235294117645,1610612739,23,22,2024-03-16T21:25:48Z,840000,False,85.0,201.0,1,left,MISS D. Mitchell 21' step back Shot,[1628378],1610612739.0,CLE,step back,,,Mitchell,D. Mitchell,,,,,Mid-Range,16-24 Right Center,,,,21.85,Missed,,,,,,,,,,,,,,,
