actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
51,PT08M11.00S,2024-01-21T01:16:40.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628415,8.09789750328515,44.36274509803921,1610612745,9,7,2024-01-21T01:16:51Z,510000,False,28.0,24.0,1,left,D. Brooks running Layup (4 PTS),[1628415],1610612745.0,HOU,running,,,,,,Restricted Area,0-8 Center,3.68,Made,Brooks,D. Brooks,,,,,4.0,,,,,,,,,,,,,,
52,PT07M58.00S,2024-01-21T01:16:53.4Z,1,REGULAR,3pt,Jump Shot,[],1631323,93.38042049934296,3.431372549019608,1610612762,9,10,2024-01-21T01:16:59Z,520000,False,-233.0,10.0,1,right,S. Fontecchio 3PT  (3 PTS) (K. Dunn 2 AST),"[1631323, 1627739]",1610612762.0,UTA,,,,,,,Left Corner 3,24+ Left,23.3,Made,Fontecchio,S. Fontecchio,,,,,3.0,K. Dunn,1627739.0,2.0,,,,,,,,,,,
54,PT07M39.00S,2024-01-21T01:17:11.5Z,1,REGULAR,2pt,Jump Shot,[],1627832,23.209592641261498,32.84313725490196,1610612745,11,10,2024-01-21T01:17:16Z,540000,False,86.0,166.0,1,left,F. VanVleet 18' pullup Jump Shot (2 PTS),[1627832],1610612745.0,HOU,pullup,,,,,,Mid-Range,16-24 Right Center,18.66,Made,VanVleet,F. VanVleet,,,,,2.0,,,,,,,,,,,,,,
55,PT07M28.00S,2024-01-21T01:17:24.4Z,1,REGULAR,foul,personal,[],1628415,,,1610612762,11,10,2024-01-21T01:17:39Z,550000,False,,,0,,D. Brooks personal FOUL (1 PF),"[1628415, 1629012]",1610612745.0,HOU,,,,,,,Mid-Range,16-24 Center,,,Brooks,D. Brooks,,,,,,,,,,,,201639.0,1.0,0.0,Sexton,1629012.0,,,
57,PT07M28.00S,2024-01-21T01:17:33.6Z,1,REGULAR,substitution,out,[],1628381,,,1610612762,11,10,2024-01-21T01:17:46Z,570000,False,,,0,,SUB out: J. Collins,[1628381],1610612762.0,UTA,,,,,,,,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,
58,PT07M28.00S,2024-01-21T01:17:33.6Z,1,REGULAR,substitution,in,[],1631117,,,1610612762,11,10,2024-01-21T01:17:46Z,580000,False,,,0,,SUB in: W. Kessler,[1631117],1610612762.0,UTA,,,,,,,,,,,Kessler,W. Kessler,,,,,,,,,,,,,,,,,,,
59,PT07M22.00S,2024-01-21T01:17:58.7Z,1,REGULAR,3pt,Jump Shot,[],1628374,66.70499342969777,46.32352941176471,1610612762,11,13,2024-01-21T01:18:03Z,590000,False,-18.0,260.0,1,right,L. Markkanen 26' 3PT  (3 PTS) (S. Fontecchio 1 AST),"[1628374, 1631323]",1610612762.0,UTA,,,,,,,Above the Break 3,24+ Center,26.11,Made,Markkanen,L. Markkanen,,,,,3.0,S. Fontecchio,1631323.0,1.0,,,,,,,,,,,
61,PT07M11.00S,2024-01-21T01:18:09.0Z,1,REGULAR,3pt,Jump Shot,[],1631095,29.25427069645204,18.627450980392158,1610612745,11,13,2024-01-21T01:18:15Z,610000,False,157.0,222.0,1,left,MISS J. Smith Jr. 27' 3PT,[1631095],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Right Center,27.23,Missed,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,,
62,PT07M10.00S,2024-01-21T01:18:10.0Z,1,REGULAR,rebound,defensive,[],1627739,,,1610612762,11,13,2024-01-21T01:18:15Z,620000,False,,,0,,K. Dunn REBOUND (Off:0 Def:1),[1627739],1610612762.0,UTA,,,,,,,Above the Break 3,24+ Right Center,,,Dunn,K. Dunn,61.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
63,PT07M04.00S,2024-01-21T01:18:16.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629012,72.88107752956637,80.3921568627451,1610612762,11,13,2024-01-21T01:25:05Z,630000,False,152.0,202.0,1,right,MISS C. Sexton 25' running 3PT,[1629012],1610612762.0,UTA,running,,,,,,Above the Break 3,24+ Right Center,25.31,Missed,Sexton,C. Sexton,,,,,,,,,,,,,,,,,,,
64,PT06M59.00S,2024-01-21T01:18:21.7Z,1,REGULAR,rebound,offensive,[],1631323,,,1610612762,11,13,2024-01-21T01:25:05Z,640000,False,,,0,,S. Fontecchio REBOUND (Off:1 Def:1),[1631323],1610612762.0,UTA,,,,,,,Above the Break 3,24+ Right Center,,,Fontecchio,S. Fontecchio,63.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
65,PT06M51.00S,2024-01-21T01:18:30.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631323,89.04402102496715,2.941176470588235,1610612762,11,13,2024-01-21T01:18:37Z,650000,False,-235.0,50.0,1,right,MISS S. Fontecchio 24' 3PT,[1631323],1610612762.0,UTA,,,,,,,Left Corner 3,24+ Left,24.07,Missed,Fontecchio,S. Fontecchio,,,,,,,,,,,,,,,,,,,
66,PT06M50.00S,2024-01-21T01:18:31.4Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,11,13,2024-01-21T01:18:37Z,660000,False,,,0,,A. Sengun REBOUND (Off:1 Def:2),[1630578],1610612745.0,HOU,,,,,,,Left Corner 3,24+ Left,,,Sengun,A. Sengun,65.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
67,PT06M42.00S,2024-01-21T01:18:38.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628415,8.09789750328515,43.13725490196079,1610612745,11,13,2024-01-21T01:18:45Z,670000,False,34.0,24.0,1,left,MISS D. Brooks running Layup,[1628415],1610612745.0,HOU,running,,,,,,Restricted Area,0-8 Center,4.16,Missed,Brooks,D. Brooks,,,,,,,,,,,,,,,,,,,
68,PT06M41.00S,2024-01-21T01:18:39.7Z,1,REGULAR,rebound,defensive,[],1631117,,,1610612762,11,13,2024-01-21T01:18:45Z,680000,False,,,0,,W. Kessler REBOUND (Off:0 Def:1),[1631117],1610612762.0,UTA,,,,,,,Restricted Area,0-8 Center,,,Kessler,W. Kessler,67.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
69,PT06M38.00S,2024-01-21T01:18:45.7Z,1,REGULAR,foul,offensive,[],1631323,,,1610612762,11,13,2024-01-21T01:19:02Z,690000,False,,,0,,S. Fontecchio offensive FOUL (1 PF),"[1631323, 1630578]",1610612762.0,UTA,,,,,,,Mid-Range,8-16 Right,,,Fontecchio,S. Fontecchio,,,,,,,,,,,,202901.0,1.0,0.0,Sengun,1630578.0,,,
71,PT06M38.00S,2024-01-21T01:18:45.7Z,1,REGULAR,turnover,offensive foul,[],1631323,,,1610612762,11,13,2024-01-21T01:18:45Z,710000,False,,,0,,S. Fontecchio offensive foul TURNOVER (1 TO),[1631323],1610612762.0,UTA,,,,,,,Mid-Range,8-16 Right,,,Fontecchio,S. Fontecchio,,,,,,,,,1.0,,,202901.0,,,,,,,
72,PT06M38.00S,2024-01-21T01:19:04.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,11,13,2024-01-21T01:19:04Z,720000,False,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M23.00S,2024-01-21T01:22:06.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1630224,10.33180026281209,51.71568627450981,1610612745,13,13,2024-01-21T01:22:16Z,730000,False,-9.0,45.0,1,left,J. Green cutting DUNK (2 PTS) (A. Sengun 2 AST),"[1630224, 1630578]",1610612745.0,HOU,cutting,,,,,,In The Paint (Non-RA),0-8 Center,4.54,Made,Green,J. Green,,,,,2.0,A. Sengun,1630578.0,2.0,,,,,,,,,,,
75,PT06M23.00S,2024-01-21T01:22:12.1Z,1,REGULAR,foul,personal,['1freethrow'],1631323,,,1610612745,13,13,2024-01-21T01:22:20Z,750000,False,,,0,,S. Fontecchio shooting personal FOUL (2 PF) (Green 1 FT),"[1631323, 1630224]",1610612762.0,UTA,shooting,,,,,,Restricted Area,0-8 Center,,,Fontecchio,S. Fontecchio,,,,,,,,,,,,202901.0,2.0,0.0,Green,1630224.0,,,
77,PT06M23.00S,2024-01-21T01:22:33.7Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1630224,,,1610612745,14,13,2024-01-21T01:22:33Z,770000,False,,,0,,J. Green Free Throw 1 of 1 (3 PTS),[1630224],1610612745.0,HOU,,,,,,,,,,Made,Green,J. Green,,,,,3.0,,,,,,,,,,,,,,
78,PT06M12.00S,2024-01-21T01:22:49.8Z,1,REGULAR,foul,offensive,[],1629012,,,1610612762,14,13,2024-01-21T01:23:40Z,780000,False,,,0,,C. Sexton offensive FOUL (2 PF),"[1629012, 1627832]",1610612762.0,UTA,,,,,,,Mid-Range,8-16 Center,,,Sexton,C. Sexton,,,,,,,,,,,,201639.0,2.0,0.0,VanVleet,1627832.0,,,
80,PT06M12.00S,2024-01-21T01:22:49.8Z,1,REGULAR,turnover,offensive foul,[],1629012,,,1610612762,14,13,2024-01-21T01:22:49Z,800000,False,,,0,,C. Sexton offensive foul TURNOVER (1 TO),[1629012],1610612762.0,UTA,,,,,,,Mid-Range,8-16 Center,,,Sexton,C. Sexton,,,,,,,,,1.0,,,201639.0,,,,,,,
81,PT06M01.00S,2024-01-21T01:23:13.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630224,23.340998685939553,30.392156862745097,1610612745,16,13,2024-01-21T01:23:20Z,810000,False,98.0,167.0,1,left,J. Green 19' step back Jump Shot (5 PTS) (F. VanVleet 1 AST),"[1630224, 1627832]",1610612745.0,HOU,step back,,,,,,Mid-Range,16-24 Right Center,19.35,Made,Green,J. Green,,,,,5.0,F. VanVleet,1627832.0,1.0,,,,,,,,,,,
82,PT05M46.00S,2024-01-21T01:23:28.3Z,1,REGULAR,2pt,Jump Shot,[],1628374,91.40932982917214,23.774509803921568,1610612762,16,13,2024-01-21T01:27:21Z,820000,False,-131.0,28.0,1,right,MISS L. Markkanen 13' pullup Shot,[1628374],1610612762.0,UTA,pullup,,,,,,Mid-Range,8-16 Left,13.41,Missed,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,
83,PT05M42.00S,2024-01-21T01:23:32.5Z,1,REGULAR,rebound,offensive,[],1629012,,,1610612762,16,13,2024-01-21T01:23:32Z,830000,False,,,0,,C. Sexton REBOUND (Off:1 Def:0),[1629012],1610612762.0,UTA,,,,,,,Mid-Range,8-16 Left,,,Sexton,C. Sexton,82.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
