actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,playerName,playerNameI,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
25,PT10M45.00S,2023-12-14T01:14:05.5Z,1,REGULAR,freethrow,1 of 1,[],1630224,,,1610612745,6,2,2023-12-14T01:14:05Z,230000,False,,,0,,J. Green Free Throw 1 of 1 (3 PTS),[1630224],1610612745.0,HOU,,,,,,,,,,,,Green,J. Green,,,,Made,,,,,,,3.0,,,,,,
26,PT10M34.00S,2023-12-14T01:14:19.4Z,1,REGULAR,3pt,Jump Shot,[],1631246,88.51839684625493,3.431372549019608,1610612763,6,5,2023-12-14T01:14:33Z,240000,False,-233.0,55.0,1,right,V. Williams Jr. 3PT  (3 PTS) (D. Roddy 1 AST),"[1631246, 1631223]",1610612763.0,MEM,,,,,,,Left Corner 3,24+ Left,,,,Williams Jr.,V. Williams Jr.,,,23.93,Made,,,,,,,3.0,D. Roddy,1631223.0,1.0,,,
28,PT10M14.00S,2023-12-14T01:14:39.7Z,1,REGULAR,3pt,Jump Shot,[],1630224,30.305519053876477,67.40196078431373,1610612745,6,5,2023-12-14T01:14:45Z,260000,False,-87.0,232.0,1,left,MISS J. Green 24' 3PT,[1630224],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Left Center,,,,Green,J. Green,,,24.82,Missed,,,,,,,,,,,,,
29,PT10M12.00S,2023-12-14T01:14:41.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612763,6,5,2023-12-14T01:14:45Z,270000,False,,,0,,TEAM defensive REBOUND,[],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,28.0,,,,,,,,,,
31,PT09M58.00S,2023-12-14T01:15:16.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201565,93.51182654402102,50.245098039215684,1610612763,6,7,2023-12-14T01:15:23Z,290000,False,1.0,8.0,1,right,D. Rose driving reverse Layup (2 PTS) (D. Roddy 2 AST),"[201565, 1631223]",1610612763.0,MEM,driving reverse,,,,,,Restricted Area,0-8 Center,,,,Rose,D. Rose,,,0.86,Made,,,,,,,2.0,D. Roddy,1631223.0,2.0,,,
33,PT09M43.00S,2023-12-14T01:15:31.3Z,1,REGULAR,3pt,Jump Shot,[],1631095,28.203022339027594,22.30392156862745,1610612745,9,7,2023-12-14T01:15:34Z,310000,False,138.0,213.0,1,left,J. Smith Jr. 25' 3PT  (3 PTS) (J. Green 1 AST),"[1631095, 1630224]",1610612745.0,HOU,,,,,,,Above the Break 3,24+ Right Center,,,,Smith Jr.,J. Smith Jr.,,,25.37,Made,,,,,,,3.0,J. Green,1630224.0,1.0,,,
35,PT09M31.00S,2023-12-14T01:15:42.5Z,1,REGULAR,3pt,Jump Shot,[],1628991,91.93495400788436,2.941176470588235,1610612763,9,7,2023-12-14T01:15:46Z,330000,False,-235.0,23.0,1,right,MISS J. Jackson Jr. 3PT,[1628991],1610612763.0,MEM,,,,,,,Left Corner 3,24+ Left,,,,Jackson Jr.,J. Jackson Jr.,,,23.65,Missed,,,,,,,,,,,,,
36,PT09M29.00S,2023-12-14T01:15:44.5Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,9,7,2023-12-14T01:15:46Z,340000,False,,,0,,J. Green REBOUND (Off:0 Def:2),[1630224],1610612745.0,HOU,,,,,,,Left Corner 3,24+ Left,,,,Green,J. Green,,,,,,,35.0,2.0,2.0,0.0,,,,,,,
37,PT09M23.00S,2023-12-14T01:15:50.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,5.469776609724048,51.71568627450981,1610612745,9,7,2023-12-14T01:15:57Z,350000,False,-9.0,-1.0,1,left,MISS J. Green driving reverse Layup,[1630224],1610612745.0,HOU,driving reverse,,,,,,Restricted Area,0-8 Center,,,,Green,J. Green,,,0.87,Missed,,,,,,,,,,,,,
38,PT09M22.00S,2023-12-14T01:15:51.6Z,1,REGULAR,rebound,offensive,[],1630578,,,1610612745,9,7,2023-12-14T01:15:57Z,360000,False,,,0,,A. Sengun REBOUND (Off:1 Def:1),[1630578],1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,,,,Sengun,A. Sengun,,,,,,,37.0,2.0,1.0,1.0,,,,,,,
39,PT09M13.00S,2023-12-14T01:16:00.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631095,7.835085413929041,46.32352941176471,1610612745,9,7,2023-12-14T01:16:07Z,370000,False,18.0,21.0,1,left,MISS J. Smith Jr. Layup,[1631095],1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,,,,Smith Jr.,J. Smith Jr.,,,2.8,Missed,,,,,,,,,,,,,
40,PT09M13.00S,2023-12-14T01:16:00.1Z,1,REGULAR,rebound,defensive,[],1631246,,,1610612763,9,7,2023-12-14T01:16:07Z,380000,False,,,0,,V. Williams Jr. REBOUND (Off:0 Def:1),[1631246],1610612763.0,MEM,,,,,,,Restricted Area,0-8 Center,,,,Williams Jr.,V. Williams Jr.,,,,,,,39.0,1.0,1.0,0.0,,,,,,,
41,PT09M06.00S,2023-12-14T01:16:07.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201565,92.32917214191852,53.67647058823529,1610612763,9,7,2023-12-14T01:16:18Z,390000,False,18.0,20.0,1,right,MISS D. Rose driving floating Shot,[201565],1610612763.0,MEM,driving floating,,,,,,Restricted Area,0-8 Center,,,,Rose,D. Rose,,,2.69,Missed,,,,,,,,,,,,,
42,PT09M04.00S,2023-12-14T01:16:09.5Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,9,7,2023-12-14T01:16:18Z,400000,False,,,0,,A. Sengun REBOUND (Off:1 Def:2),[1630578],1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,,,,Sengun,A. Sengun,,,,,,,41.0,3.0,2.0,1.0,,,,,,,
43,PT08M57.00S,2023-12-14T01:16:16.1Z,1,REGULAR,3pt,Jump Shot,[],1628415,14.14257555847569,2.450980392156863,1610612745,12,7,2023-12-14T01:16:21Z,410000,False,238.0,80.0,1,left,D. Brooks 25' 3PT  (3 PTS) (J. Green 2 AST),"[1628415, 1630224]",1610612745.0,HOU,,,,,,,Right Corner 3,24+ Right,,,,Brooks,D. Brooks,,,25.09,Made,,,,,,,3.0,J. Green,1630224.0,2.0,,,
45,PT08M29.00S,2023-12-14T01:16:45.3Z,1,REGULAR,2pt,Jump Shot,[],1631223,75.1149802890933,25.735294117647058,1610612763,12,7,2023-12-14T01:16:52Z,430000,False,-121.0,181.0,1,right,MISS D. Roddy 21' turnaround fadeaway Shot,[1631223],1610612763.0,MEM,turnaround fadeaway,,,,,,Mid-Range,16-24 Left Center,,,,Roddy,D. Roddy,,,21.82,Missed,,,,,,,,,,,,,
46,PT08M28.00S,2023-12-14T01:16:46.3Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612745,12,7,2023-12-14T01:16:52Z,440000,False,,,0,,F. VanVleet REBOUND (Off:0 Def:1),[1627832],1610612745.0,HOU,,,,,,,Mid-Range,16-24 Left Center,,,,VanVleet,F. VanVleet,,,,,,,45.0,1.0,1.0,0.0,,,,,,,
47,PT08M26.00S,2023-12-14T01:16:51.5Z,1,REGULAR,violation,kicked ball,[],1631223,,,1610612745,12,7,2023-12-14T01:17:01Z,450000,False,,,0,,D. Roddy kicked ball VIOLATION,[1631223],1610612763.0,MEM,,,,,,,,,1628953.0,,,Roddy,D. Roddy,,,,,,,,,,,,,,,,,
48,PT08M12.00S,2023-12-14T01:17:15.2Z,1,REGULAR,3pt,Jump Shot,[],1630224,28.991458607095925,77.20588235294117,1610612745,12,7,2023-12-14T01:17:21Z,460000,False,-136.0,220.0,1,left,MISS J. Green 25' 3PT,[1630224],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Left Center,,,,Green,J. Green,,,25.86,Missed,,,,,,,,,,,,,
49,PT08M08.00S,2023-12-14T01:17:19.2Z,1,REGULAR,rebound,defensive,[],201565,,,1610612763,12,7,2023-12-14T01:17:21Z,470000,False,,,0,,D. Rose REBOUND (Off:0 Def:1),[201565],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Left Center,,,,Rose,D. Rose,,,,,,,48.0,1.0,1.0,0.0,,,,,,,
50,PT07M59.00S,2023-12-14T01:17:27.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,85.75886990801577,40.68627450980392,1610612763,12,9,2023-12-14T01:17:33Z,480000,False,-47.0,81.0,1,right,J. Jackson Jr. 9' driving floating Jump Shot (4 PTS) (D. Rose 2 AST),"[1628991, 201565]",1610612763.0,MEM,driving floating,,,,,,In The Paint (Non-RA),8-16 Center,,,,Jackson Jr.,J. Jackson Jr.,,,9.38,Made,,,,,,,4.0,D. Rose,201565.0,2.0,,,
52,PT07M52.00S,2023-12-14T01:17:37.2Z,1,REGULAR,foul,personal,[],1631223,,,1610612745,12,9,2023-12-14T01:17:51Z,500000,False,,,0,,D. Roddy personal FOUL (1 PF),"[1631223, 1627832]",1610612763.0,MEM,,,,,,,Above the Break 3,24+ Right Center,2714.0,1.0,0.0,Roddy,D. Roddy,VanVleet,1627832.0,,,,,,,,,,,,,,,
54,PT07M49.00S,2023-12-14T01:17:56.0Z,1,REGULAR,2pt,Jump Shot,[],1628415,9.543363994743759,24.264705882352942,1610612745,14,9,2023-12-14T01:18:01Z,520000,False,129.0,37.0,1,left,D. Brooks 13' turnaround Jump Shot (5 PTS) (J. Green 3 AST),"[1628415, 1630224]",1610612745.0,HOU,turnaround,,,,,,Mid-Range,8-16 Right,,,,Brooks,D. Brooks,,,13.4,Made,,,,,,,5.0,J. Green,1630224.0,3.0,,,
56,PT07M27.00S,2023-12-14T01:18:21.5Z,1,REGULAR,foul,personal,['2freethrow'],1627832,,,1610612763,14,9,2023-12-14T01:18:35Z,540000,False,,,0,,F. VanVleet shooting personal FOUL (1 PF) (Biyombo 2 FT),"[1627832, 202687]",1610612745.0,HOU,shooting,,,,,,Restricted Area,0-8 Center,2714.0,1.0,0.0,VanVleet,F. VanVleet,Biyombo,202687.0,,,,,,,,,,,,,,,
58,PT07M27.00S,2023-12-14T01:18:50.2Z,1,REGULAR,freethrow,1 of 2,[],202687,,,1610612763,14,9,2023-12-14T01:19:13Z,560000,False,,,0,,MISS B. Biyombo Free Throw 1 of 2,[202687],1610612763.0,MEM,,,,,,,,,,,,Biyombo,B. Biyombo,,,,Missed,,,,,,,,,,,,,
59,PT07M27.00S,2023-12-14T01:18:50.2Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612763,14,9,2023-12-14T01:19:13Z,570000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,58.0,,,,,,,,,,
60,PT07M27.00S,2023-12-14T01:18:50.2Z,1,REGULAR,freethrow,2 of 2,[],202687,,,1610612763,14,9,2023-12-14T01:19:13Z,580000,False,,,0,,MISS B. Biyombo Free Throw 2 of 2,[202687],1610612763.0,MEM,,,,,,,,,,,,Biyombo,B. Biyombo,,,,Missed,,,,,,,,,,,,,
61,PT07M27.00S,2023-12-14T01:18:50.2Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,14,9,2023-12-14T01:19:13Z,590000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:1),[1631095],1610612745.0,HOU,,,,,,,,,,,,Smith Jr.,J. Smith Jr.,,,,,,,60.0,1.0,1.0,0.0,,,,,,,
62,PT07M12.00S,2023-12-14T01:19:20.3Z,1,REGULAR,3pt,Jump Shot,[],1631095,9.543363994743759,3.1862745098039214,1610612745,17,9,2023-12-14T01:19:24Z,600000,False,234.0,37.0,1,left,J. Smith Jr. 3PT  (6 PTS) (A. Sengun 1 AST),"[1631095, 1630578]",1610612745.0,HOU,,,,,,,Right Corner 3,24+ Right,,,,Smith Jr.,J. Smith Jr.,,,23.7,Made,,,,,,,6.0,A. Sengun,1630578.0,1.0,,,
64,PT07M11.00S,2023-12-14T01:19:27.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,17,9,2023-12-14T01:19:27Z,620000,False,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M47.00S,2023-12-14T01:22:50.9Z,1,REGULAR,3pt,Jump Shot,[],1631246,72.7496714848883,18.38235294117647,1610612763,17,9,2023-12-14T01:22:57Z,630000,False,-158.0,204.0,1,right,MISS V. Williams Jr. 25' 3PT,[1631246],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Left Center,,,,Williams Jr.,V. Williams Jr.,,,25.79,Missed,,,,,,,,,,,,,
66,PT06M45.00S,2023-12-14T01:22:52.9Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,17,9,2023-12-14T01:22:57Z,640000,False,,,0,,A. Sengun REBOUND (Off:1 Def:3),[1630578],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Left Center,,,,Sengun,A. Sengun,,,,,,,65.0,4.0,3.0,1.0,,,,,,,
67,PT06M41.00S,2023-12-14T01:23:01.1Z,1,REGULAR,foul,offensive,[],1631095,,,1610612745,17,9,2023-12-14T01:23:10Z,650000,False,,,0,,J. Smith Jr. offensive FOUL (1 PF),"[1631095, 1631246]",1610612745.0,HOU,,,,,,,Mid-Range,8-16 Right,1626301.0,1.0,0.0,Smith Jr.,J. Smith Jr.,Williams Jr.,1631246.0,,,,,,,,,,,,,,,
69,PT06M41.00S,2023-12-14T01:23:01.1Z,1,REGULAR,turnover,offensive foul,[],1631095,,,1610612745,17,9,2023-12-14T01:23:01Z,670000,False,,,0,,J. Smith Jr. offensive foul TURNOVER (1 TO),[1631095],1610612745.0,HOU,,,,,,,Mid-Range,8-16 Right,1626301.0,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,1.0,,
70,PT06M26.00S,2023-12-14T01:23:24.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628991,88.64980289093299,30.14705882352941,1610612763,17,11,2023-12-14T01:23:33Z,680000,False,-99.0,54.0,1,right,J. Jackson Jr. 11' driving bank Jump Shot (6 PTS) (D. Rose 3 AST),"[1628991, 201565]",1610612763.0,MEM,driving bank,,,,,,Mid-Range,8-16 Left,,,,Jackson Jr.,J. Jackson Jr.,,,11.31,Made,,,,,,,6.0,D. Rose,201565.0,3.0,,,
72,PT06M14.00S,2023-12-14T01:23:39.8Z,1,REGULAR,foul,personal,['2freethrow'],1631246,,,1610612745,17,11,2023-12-14T01:23:58Z,700000,False,,,0,,V. Williams Jr. shooting personal FOUL (2 PF) (Green 2 FT),"[1631246, 1630224]",1610612763.0,MEM,shooting,,,,,,In The Paint (Non-RA),0-8 Center,2714.0,2.0,0.0,Williams Jr.,V. Williams Jr.,Green,1630224.0,,,,,,,,,,,,,,,
74,PT06M14.00S,2023-12-14T01:24:07.9Z,1,REGULAR,freethrow,1 of 2,[],1630224,,,1610612745,18,11,2023-12-14T01:24:07Z,720000,False,,,0,,J. Green Free Throw 1 of 2 (4 PTS),[1630224],1610612745.0,HOU,,,,,,,,,,,,Green,J. Green,,,,Made,,,,,,,4.0,,,,,,
75,PT06M14.00S,2023-12-14T01:24:09.6Z,1,REGULAR,substitution,out,[],1631246,,,1610612745,18,11,2023-12-14T01:24:13Z,730000,False,,,0,,SUB out: V. Williams Jr.,[1631246],1610612763.0,MEM,,,,,,,,,,,,Williams Jr.,V. Williams Jr.,,,,,,,,,,,,,,,,,
76,PT06M14.00S,2023-12-14T01:24:09.6Z,1,REGULAR,substitution,in,[],1630533,,,1610612745,18,11,2023-12-14T01:24:13Z,740000,False,,,0,,SUB in: Z. Williams,[1630533],1610612763.0,MEM,,,,,,,,,,,,Williams,Z. Williams,,,,,,,,,,,,,,,,,
77,PT06M14.00S,2023-12-14T01:24:27.1Z,1,REGULAR,freethrow,2 of 2,[],1630224,,,1610612745,19,11,2023-12-14T01:24:27Z,750000,False,,,0,,J. Green Free Throw 2 of 2 (5 PTS),[1630224],1610612745.0,HOU,,,,,,,,,,,,Green,J. Green,,,,Made,,,,,,,5.0,,,,,,
78,PT06M03.00S,2023-12-14T01:24:39.9Z,1,REGULAR,3pt,Jump Shot,[],1628991,67.09921156373193,62.00980392156863,1610612763,19,11,2023-12-14T01:24:47Z,760000,False,60.0,257.0,1,right,MISS J. Jackson Jr. 26' 3PT,[1628991],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Center,,,,Jackson Jr.,J. Jackson Jr.,,,26.37,Missed,,,,,,,,,,,,,
79,PT06M01.00S,2023-12-14T01:24:41.9Z,1,REGULAR,rebound,defensive,[],1628415,,,1610612745,19,11,2023-12-14T01:24:47Z,770000,False,,,0,,D. Brooks REBOUND (Off:0 Def:1),[1628415],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Center,,,,Brooks,D. Brooks,,,,,,,78.0,1.0,1.0,0.0,,,,,,,
80,PT05M57.00S,2023-12-14T01:24:47.9Z,1,REGULAR,turnover,out-of-bounds,[],1627832,,,1610612745,19,11,2023-12-14T01:24:58Z,780000,False,,,0,,F. VanVleet bad pass out-of-bounds TURNOVER (1 TO),[1627832],1610612745.0,HOU,bad pass,,,,,,Mid-Range,16-24 Right,1628953.0,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,1.0,,
81,PT05M57.00S,2023-12-14T01:24:52.1Z,1,REGULAR,substitution,out,[],1630224,,,1610612763,19,11,2023-12-14T01:25:04Z,790000,False,,,0,,SUB out: J. Green,[1630224],1610612745.0,HOU,,,,,,,,,,,,Green,J. Green,,,,,,,,,,,,,,,,,
82,PT05M57.00S,2023-12-14T01:24:52.1Z,1,REGULAR,substitution,out,[],1631095,,,1610612763,19,11,2023-12-14T01:25:04Z,800000,False,,,0,,SUB out: J. Smith Jr.,[1631095],1610612745.0,HOU,,,,,,,,,,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,
83,PT05M57.00S,2023-12-14T01:24:52.1Z,1,REGULAR,substitution,out,[],201565,,,1610612763,19,11,2023-12-14T01:25:04Z,810000,False,,,0,,SUB out: D. Rose,[201565],1610612763.0,MEM,,,,,,,,,,,,Rose,D. Rose,,,,,,,,,,,,,,,,,
84,PT05M57.00S,2023-12-14T01:24:52.1Z,1,REGULAR,substitution,in,[],1630256,,,1610612763,19,11,2023-12-14T01:25:04Z,820000,False,,,0,,SUB in: J. Tate,[1630256],1610612745.0,HOU,,,,,,,,,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,
85,PT05M57.00S,2023-12-14T01:24:52.1Z,1,REGULAR,substitution,in,[],1628988,,,1610612763,19,11,2023-12-14T01:25:04Z,830000,False,,,0,,SUB in: A. Holiday,[1628988],1610612745.0,HOU,,,,,,,,,,,,Holiday,A. Holiday,,,,,,,,,,,,,,,,,
86,PT05M57.00S,2023-12-14T01:24:52.1Z,1,REGULAR,substitution,in,[],1629669,,,1610612763,19,11,2023-12-14T01:25:04Z,840000,False,,,0,,SUB in: J. Nowell,[1629669],1610612763.0,MEM,,,,,,,,,,,,Nowell,J. Nowell,,,,,,,,,,,,,,,,,
87,PT05M40.00S,2023-12-14T01:25:21.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631223,87.86136662286465,3.431372549019608,1610612763,19,14,2023-12-14T01:25:27Z,850000,False,-233.0,62.0,1,right,D. Roddy 24' 3PT  (3 PTS) (J. Nowell 1 AST),"[1631223, 1629669]",1610612763.0,MEM,,,,,,,Left Corner 3,24+ Left,,,,Roddy,D. Roddy,,,24.08,Made,,,,,,,3.0,J. Nowell,1629669.0,1.0,,,
89,PT05M20.00S,2023-12-14T01:25:42.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,9.937582128777924,57.59803921568627,1610612745,19,14,2023-12-14T01:25:47Z,870000,False,-38.0,41.0,1,left,MISS A. Sengun turnaround Hook,[1630578],1610612745.0,HOU,turnaround,,,,,,In The Paint (Non-RA),0-8 Center,,,,Sengun,A. Sengun,,,5.58,Missed,,,,,,,,,,,,,
