actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,pointsTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
29,PT09M22.00S,2023-11-09T01:14:49.6Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612745,6,0,2023-11-09T01:14:57Z,280000,False,,,0,,F. VanVleet REBOUND (Off:0 Def:1),[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,In The Paint (Non-RA),8-16 Center,,,,,28.0,,1.0,1.0,0.0,,,,,,,,,,,
30,PT09M12.00S,2023-11-09T01:14:59.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631095,87.59855453350855,53.18627450980392,1610612745,8,0,2023-11-09T01:15:05Z,290000,False,16.0,64.0,1,right,J. Smith Jr. 6' driving Layup (2 PTS),[1631095],1610612745.0,HOU,driving,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),0-8 Center,6.6,Made,,,,2.0,,,,,,,,,,,,,,
31,PT08M49.00S,2023-11-09T01:15:23.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626156,7.046649145860711,51.71568627450981,1610612747,8,2,2023-11-09T01:15:27Z,300000,False,-9.0,14.0,1,left,D. Russell driving Layup (2 PTS),[1626156],1610612747.0,LAL,driving,,,Russell,D. Russell,,,,,Restricted Area,0-8 Center,1.62,Made,,,,2.0,,,,,,,,,,,,,,
32,PT08M40.00S,2023-11-09T01:15:31.9Z,1,REGULAR,3pt,Jump Shot,[],1627832,69.99014454664915,29.411764705882355,1610612745,8,2,2023-11-09T01:15:39Z,310000,False,-103.0,230.0,1,right,MISS F. VanVleet 25' pullup 3PT,[1627832],1610612745.0,HOU,pullup,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Left Center,25.16,Missed,,,,,,,,,,,,,,,,,,
33,PT08M38.00S,2023-11-09T01:15:33.9Z,1,REGULAR,rebound,defensive,[],1626156,,,1610612747,8,2,2023-11-09T01:15:39Z,320000,False,,,0,,D. Russell REBOUND (Off:0 Def:1),[1626156],1610612747.0,LAL,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Left Center,,,,,32.0,,1.0,1.0,0.0,,,,,,,,,,,
34,PT08M32.00S,2023-11-09T01:15:39.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1627752,17.0335085413929,39.46078431372549,1610612747,8,2,2023-11-09T01:15:52Z,330000,False,53.0,108.0,1,left,MISS T. Prince 11' driving floating Shot,[1627752],1610612747.0,LAL,driving floating,,,Prince,T. Prince,,,,,In The Paint (Non-RA),8-16 Center,11.98,Missed,,,,,,,,,,,,,,,,,,
35,PT08M31.00S,2023-11-09T01:15:40.9Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,8,2,2023-11-09T01:15:52Z,340000,False,,,0,,A. Sengun REBOUND (Off:0 Def:2),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),8-16 Center,,,,,34.0,,2.0,2.0,0.0,,,,,,,,,,,
36,PT08M24.00S,2023-11-09T01:15:48.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628415,75.77201051248358,86.27450980392157,1610612745,11,2,2023-11-09T01:15:57Z,350000,False,181.0,175.0,1,right,D. Brooks 25' 3PT  (3 PTS) (J. Green 1 AST),"[1628415, 1630224]",1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Right Center,25.22,Made,,,,3.0,,,,J. Green,1630224.0,1.0,,,,,,,,
38,PT08M06.00S,2023-11-09T01:16:05.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627752,6.915243101182654,43.38235294117647,1610612747,11,4,2023-11-09T01:16:09Z,370000,False,33.0,13.0,1,left,T. Prince driving Layup (2 PTS) (D. Russell 1 AST),"[1627752, 1626156]",1610612747.0,LAL,driving,,,Prince,T. Prince,,,,,Restricted Area,0-8 Center,3.54,Made,,,,2.0,,,,D. Russell,1626156.0,1.0,,,,,,,,
40,PT07M52.00S,2023-11-09T01:16:20.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630224,82.07950065703022,37.00980392156863,1610612745,11,4,2023-11-09T01:16:27Z,390000,False,-65.0,116.0,1,right,MISS J. Green 13' pullup Shot - blocked,"[1630224, 1626156]",1610612745.0,HOU,pullup,,,Green,J. Green,,,,,In The Paint (Non-RA),8-16 Center,13.3,Missed,Russell,1626156.0,,,,,,,,,,,,,,,,
41,PT07M52.00S,2023-11-09T01:16:20.5Z,1,REGULAR,block,,[],1626156,,,1610612745,11,4,2023-11-09T01:16:23Z,400000,False,,,0,,D. Russell BLOCK (2 BLK),[1626156],1610612747.0,LAL,,,,Russell,D. Russell,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
42,PT07M52.00S,2023-11-09T01:16:20.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612745,11,4,2023-11-09T01:16:27Z,410000,False,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,40.0,,,,,,,,,,,,,,,
44,PT07M44.00S,2023-11-09T01:16:42.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628415,83.26215505913272,41.911764705882355,1610612745,13,4,2023-11-09T01:16:47Z,430000,False,-40.0,105.0,1,right,D. Brooks 11' turnaround Jump Shot (5 PTS) (A. Sengun 1 AST),"[1628415, 1630578]",1610612745.0,HOU,turnaround,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),8-16 Center,11.23,Made,,,,5.0,,,,A. Sengun,1630578.0,1.0,,,,,,,,
46,PT07M29.00S,2023-11-09T01:16:59.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630559,17.95335085413929,58.08823529411765,1610612747,13,6,2023-11-09T01:17:04Z,450000,False,-40.0,116.0,1,left,A. Reaves 12' driving floating Jump Shot (2 PTS),[1630559],1610612747.0,LAL,driving floating,,,Reaves,A. Reaves,,,,,In The Paint (Non-RA),8-16 Center,12.31,Made,,,,2.0,,,,,,,,,,,,,,
47,PT07M29.00S,2023-11-09T01:17:04.3Z,1,REGULAR,foul,personal,['1freethrow'],1630578,,,1610612747,13,6,2023-11-09T01:17:10Z,460000,False,,,0,,A. Sengun shooting personal FOUL (1 PF) (Reaves 1 FT),"[1630578, 1630559]",1610612745.0,HOU,shooting,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,1626300.0,1.0,0.0,Reaves,1630559.0,,,
49,PT07M29.00S,2023-11-09T01:17:28.0Z,1,REGULAR,freethrow,1 of 1,[],1630559,,,1610612747,13,7,2023-11-09T01:17:28Z,480000,False,,,0,,A. Reaves Free Throw 1 of 1 (3 PTS),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,Made,,,,3.0,,,,,,,,,,,,,,
50,PT07M17.00S,2023-11-09T01:17:41.0Z,1,REGULAR,3pt,Jump Shot,[],1630224,68.15045992115637,32.1078431372549,1610612745,16,7,2023-11-09T01:17:51Z,490000,False,-89.0,247.0,1,right,J. Green 26' 3PT pullup (7 PTS) (F. VanVleet 2 AST),"[1630224, 1627832]",1610612745.0,HOU,pullup,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,26.26,Made,,,,7.0,,,,F. VanVleet,1627832.0,2.0,,,,,,,,
52,PT07M06.00S,2023-11-09T01:17:52.1Z,1,REGULAR,3pt,Jump Shot,[],2544,34.773324572930356,50.73529411764706,1610612747,16,7,2023-11-09T01:17:58Z,510000,False,-4.0,274.0,1,left,MISS L. James 27' 3PT,[2544],1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Center,27.44,Missed,,,,,,,,,,,,,,,,,,
53,PT07M05.00S,2023-11-09T01:17:53.1Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,16,7,2023-11-09T01:17:58Z,520000,False,,,0,,J. Green REBOUND (Off:0 Def:2),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Center,,,,,52.0,,2.0,2.0,0.0,,,,,,,,,,,
54,PT06M51.00S,2023-11-09T01:18:08.0Z,1,REGULAR,foul,personal,['2freethrow'],1627752,,,1610612745,16,7,2023-11-09T01:31:20Z,530000,False,,,0,,T. Prince shooting personal FOUL (1 PF) (Green 2 FT),"[1627752, 1630224]",1610612747.0,LAL,shooting,,,Prince,T. Prince,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,1626300.0,1.0,0.0,Green,1630224.0,,,
56,PT06M51.00S,2023-11-09T01:18:21.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,16,7,2023-11-09T01:18:21Z,550000,False,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M51.00S,2023-11-09T01:21:46.6Z,1,REGULAR,freethrow,1 of 2,[],1630224,,,1610612745,17,7,2023-11-09T01:33:34Z,560000,False,,,0,,J. Green Free Throw 1 of 2 (8 PTS),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,Made,,,,8.0,,,,,,,,,,,,,,
126,PT06M51.00S,2023-11-09T01:21:46.6Z,1,REGULAR,turnover,LaneViolation,[],1630578,,,1610612745,17,7,2023-11-09T01:33:34Z,565000,False,,,0,,A. Sengun LaneViolation TURNOVER (1 TO),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
58,PT06M40.00S,2023-11-09T01:22:28.7Z,1,REGULAR,foul,personal,[],1630224,,,1610612747,17,7,2023-11-09T01:33:34Z,570000,False,,,0,,J. Green personal FOUL (1 PF),"[1630224, 2544]",1610612745.0,HOU,,,,Green,J. Green,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,2002.0,1.0,0.0,James,2544.0,,,
61,PT06M30.00S,2023-11-09T01:22:56.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],2544,15.588042049934298,43.627450980392155,1610612747,17,9,2023-11-09T01:31:34Z,600000,False,32.0,94.0,1,left,L. James 9' turnaround Jump Shot (2 PTS),[2544],1610612747.0,LAL,turnaround,,,James,L. James,,,,,In The Paint (Non-RA),8-16 Center,9.93,Made,,,,2.0,,,,,,,,,,,,,,
62,PT06M19.00S,2023-11-09T01:23:09.6Z,1,REGULAR,foul,offensive,[],1631095,,,1610612745,17,9,2023-11-09T01:23:17Z,610000,False,,,0,,J. Smith Jr. charge offensive FOUL (1 PF),"[1631095, 2544]",1610612745.0,HOU,charge,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,2002.0,1.0,0.0,James,2544.0,,,
64,PT06M19.00S,2023-11-09T01:23:09.6Z,1,REGULAR,turnover,offensive foul,[],1631095,,,1610612745,17,9,2023-11-09T01:23:09Z,630000,False,,,0,,J. Smith Jr. offensive foul TURNOVER (1 TO),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,2002.0,,,,,1.0,,
65,PT06M19.00S,2023-11-09T01:23:16.7Z,1,REGULAR,substitution,out,[],1630578,,,1610612747,17,9,2023-11-09T01:23:23Z,640000,False,,,0,,SUB out: A. Sengun,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M19.00S,2023-11-09T01:23:16.7Z,1,REGULAR,substitution,out,[],1630559,,,1610612747,17,9,2023-11-09T01:23:23Z,650000,False,,,0,,SUB out: A. Reaves,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M19.00S,2023-11-09T01:23:16.7Z,1,REGULAR,substitution,in,[],201145,,,1610612747,17,9,2023-11-09T01:23:23Z,660000,False,,,0,,SUB in: J. Green,[201145],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M19.00S,2023-11-09T01:23:16.7Z,1,REGULAR,substitution,in,[],1631108,,,1610612747,17,9,2023-11-09T01:23:23Z,670000,False,,,0,,SUB in: M. Christie,[1631108],1610612747.0,LAL,,,,Christie,M. Christie,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M04.00S,2023-11-09T01:23:48.3Z,1,REGULAR,turnover,out-of-bounds,[],2544,,,1610612747,17,9,2023-11-09T01:24:07Z,680000,False,,,0,,L. James lost ball out-of-bounds TURNOVER (1 TO),[2544],1610612747.0,LAL,lost ball,,,James,L. James,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,202027.0,,,,,1.0,,
70,PT05M43.00S,2023-11-09T01:24:17.4Z,1,REGULAR,substitution,out,[],1627832,,,1610612745,17,9,2023-11-09T01:24:27Z,690000,False,,,0,,SUB out: F. VanVleet,[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M43.00S,2023-11-09T01:24:17.4Z,1,REGULAR,substitution,out,[],2544,,,1610612745,17,9,2023-11-09T01:24:27Z,700000,False,,,0,,SUB out: L. James,[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M43.00S,2023-11-09T01:24:17.4Z,1,REGULAR,substitution,in,[],1628988,,,1610612745,17,9,2023-11-09T01:24:27Z,710000,False,,,0,,SUB in: A. Holiday,[1628988],1610612745.0,HOU,,,,Holiday,A. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M43.00S,2023-11-09T01:24:17.4Z,1,REGULAR,substitution,in,[],1629060,,,1610612745,17,9,2023-11-09T01:24:27Z,720000,False,,,0,,SUB in: R. Hachimura,[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M43.00S,2023-11-09T01:24:17.4Z,1,REGULAR,substitution,out,[],1628415,,,1610612745,17,9,2023-11-09T01:24:48Z,730000,False,,,0,,SUB out: D. Brooks,[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M43.00S,2023-11-09T01:24:17.4Z,1,REGULAR,substitution,in,[],1630256,,,1610612745,17,9,2023-11-09T01:24:48Z,740000,False,,,0,,SUB in: J. Tate,[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M40.00S,2023-11-09T01:25:01.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1631095,72.22404730617609,38.72549019607843,1610612745,17,9,2023-11-09T01:25:06Z,750000,False,-56.0,209.0,1,right,MISS J. Smith Jr. 21' pullup Shot,[1631095],1610612745.0,HOU,pullup,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,16-24 Center,21.61,Missed,,,,,,,,,,,,,,,,,,
77,PT05M39.00S,2023-11-09T01:25:02.4Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612747,17,9,2023-11-09T01:25:11Z,760000,False,,,0,,C. Wood REBOUND (Off:0 Def:2),[1626174],1610612747.0,LAL,,,,Wood,C. Wood,,,,,Mid-Range,16-24 Center,,,,,76.0,,2.0,2.0,0.0,,,,,,,,,,,
78,PT05M25.00S,2023-11-09T01:25:16.9Z,1,REGULAR,foul,personal,['2freethrow'],201145,,,1610612747,17,9,2023-11-09T01:25:23Z,770000,False,,,0,,J. Green shooting personal FOUL (1 PF) (Wood 2 FT),"[201145, 1626174]",1610612745.0,HOU,shooting,,,Green,J. Green,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,1626300.0,1.0,0.0,Wood,1626174.0,,,
80,PT05M25.00S,2023-11-09T01:25:42.7Z,1,REGULAR,freethrow,1 of 2,[],1626174,,,1610612747,17,9,2023-11-09T01:26:04Z,790000,False,,,0,,MISS C. Wood Free Throw 1 of 2,[1626174],1610612747.0,LAL,,,,Wood,C. Wood,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
81,PT05M25.00S,2023-11-09T01:25:42.7Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612747,17,9,2023-11-09T01:26:04Z,800000,False,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,
82,PT05M25.00S,2023-11-09T01:25:42.7Z,1,REGULAR,freethrow,2 of 2,[],1626174,,,1610612747,17,9,2023-11-09T01:26:04Z,810000,False,,,0,,MISS C. Wood Free Throw 2 of 2,[1626174],1610612747.0,LAL,,,,Wood,C. Wood,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
83,PT05M25.00S,2023-11-09T01:25:42.7Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,17,9,2023-11-09T01:26:04Z,820000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:2),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,82.0,,2.0,2.0,0.0,,,,,,,,,,,
84,PT05M13.00S,2023-11-09T01:26:11.8Z,1,REGULAR,2pt,Jump Shot,[],1630224,79.45137976346912,71.81372549019608,1610612745,17,9,2023-11-09T01:26:19Z,830000,False,109.0,141.0,1,right,MISS J. Green 17' pullup Shot,[1630224],1610612745.0,HOU,pullup,,,Green,J. Green,,,,,Mid-Range,16-24 Right Center,17.8,Missed,,,,,,,,,,,,,,,,,,
85,PT05M12.00S,2023-11-09T01:26:12.8Z,1,REGULAR,rebound,defensive,[],1627752,,,1610612747,17,9,2023-11-09T01:26:19Z,840000,False,,,0,,T. Prince REBOUND (Off:0 Def:1),[1627752],1610612747.0,LAL,,,,Prince,T. Prince,,,,,Mid-Range,16-24 Right Center,,,,,84.0,,1.0,1.0,0.0,,,,,,,,,,,
