actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
27,PT09M12.00S,2022-04-08T23:43:56.9Z,1,REGULAR,rebound,offensive,[],1627783,,,1610612761,4,9,2022-04-08T23:43:56Z,270000,,,0,,P. Siakam REBOUND (Off:1 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,26.0,2.0,1.0,1.0,,,,,,,,,,
28,PT09M09.00S,2022-04-08T23:43:59.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629018,67.09921156373193,45.588235294117645,1610612761,7,9,2022-04-08T23:44:05Z,280000,-22.0,257.0,1,right,G. Trent Jr. 25' 3PT  (3 PTS) (P. Siakam 1 AST),"[1629018, 1627783]",1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,25.77,Made,3.0,P. Siakam,1627783.0,1.0,,,,,,,,,,,,,,
30,PT08M52.00S,2022-04-08T23:44:16.0Z,1,REGULAR,3pt,Jump Shot,[],1630256,7.046649145860711,96.07843137254902,1610612745,7,9,2022-04-08T23:44:21Z,300000,-230.0,14.0,1,left,MISS J. Tate 3PT,[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,23.08,Missed,,,,,,,,,,,,,,,,,,
31,PT08M51.00S,2022-04-08T23:44:17.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612761,7,9,2022-04-08T23:44:21Z,310000,,,0,,TEAM defensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,
32,PT08M51.00S,2022-04-08T23:44:20.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612761,7,9,2022-04-08T23:44:20Z,320000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,PT08M51.00S,2022-04-08T23:44:46.7Z,1,REGULAR,stoppage,other,[],0,,,1610612761,7,9,2022-04-08T23:44:46Z,330000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT08M37.00S,2022-04-08T23:44:58.4Z,1,REGULAR,3pt,Jump Shot,[],1629018,66.70499342969777,43.13725490196079,1610612761,7,9,2022-04-08T23:45:04Z,340000,-34.0,260.0,1,right,MISS G. Trent Jr. 26' step back 3PT,[1629018],1610612761.0,TOR,step back,,,Trent Jr.,G. Trent Jr.,,,,,26.27,Missed,,,,,,,,,,,,,,,,,,
35,PT08M34.00S,2022-04-08T23:45:01.4Z,1,REGULAR,rebound,offensive,[],203920,,,1610612761,7,9,2022-04-08T23:45:04Z,350000,,,0,,K. Birch REBOUND (Off:1 Def:0),[203920],1610612761.0,TOR,,,,Birch,K. Birch,,,,,,,,,,,34.0,1.0,0.0,1.0,,,,,,,,,,
36,PT08M28.00S,2022-04-08T23:45:08.4Z,1,REGULAR,turnover,traveling,[],203920,,,1610612761,7,9,2022-04-08T23:45:16Z,360000,,,0,,K. Birch traveling TURNOVER (1 TO),[203920],1610612761.0,TOR,,,,Birch,K. Birch,,,,,,,,,,,,,,,2004.0,1.0,,,,,,,,
37,PT08M12.00S,2022-04-08T23:45:33.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630256,7.5722733245729295,51.71568627450981,1610612745,7,11,2022-04-08T23:45:39Z,370000,-9.0,19.0,1,left,J. Tate cutting finger roll Layup (7 PTS) (J. Green 1 AST),"[1630256, 1630224]",1610612745.0,HOU,cutting finger roll,,,Tate,J. Tate,,,,,2.06,Made,7.0,J. Green,1630224.0,1.0,,,,,,,,,,,,,,
39,PT08M03.00S,2022-04-08T23:45:42.9Z,1,REGULAR,foul,personal,['2freethrow'],1630578,,,1610612761,7,11,2022-04-08T23:45:51Z,390000,,,0,,A. Sengun shooting personal FOUL (1 PF) (Barnes 2 FT),"[1630578, 1630567]",1610612745.0,HOU,shooting,,,Sengun,A. Sengun,,,,,,,,,,,,,,,1626301.0,,1.0,0.0,Barnes,1630567.0,,,,
41,PT08M03.00S,2022-04-08T23:46:12.3Z,1,REGULAR,freethrow,1 of 2,[],1630567,,,1610612761,8,11,2022-04-08T23:46:12Z,410000,,,0,,S. Barnes Free Throw 1 of 2 (3 PTS),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
42,PT08M03.00S,2022-04-08T23:46:27.3Z,1,REGULAR,freethrow,2 of 2,[],1630567,,,1610612761,9,11,2022-04-08T23:46:27Z,420000,,,0,,S. Barnes Free Throw 2 of 2 (4 PTS),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
43,PT07M50.00S,2022-04-08T23:46:45.7Z,1,REGULAR,foul,personal,[],1629717,,,1610612745,9,11,2022-04-08T23:47:02Z,430000,,,0,,A. Brooks personal FOUL (1 PF),"[1629717, 1629726]",1610612761.0,TOR,,,,Brooks,A. Brooks,,,,,,,,,,,,,,,202026.0,,1.0,0.0,Mathews,1629726.0,,,,
45,PT07M41.00S,2022-04-08T23:47:10.4Z,1,REGULAR,2pt,Jump Shot,[],1629645,22.158344283837057,51.225490196078425,1610612745,9,13,2022-04-08T23:47:15Z,450000,-6.0,156.0,1,left,K. Porter Jr. 15' step back Jump Shot (4 PTS),[1629645],1610612745.0,HOU,step back,,,Porter Jr.,K. Porter Jr.,,,,,15.59,Made,4.0,,,,,,,,,,,,,,,,,
46,PT07M24.00S,2022-04-08T23:47:26.5Z,1,REGULAR,2pt,Jump Shot,[],1629018,92.59198423127464,19.607843137254903,1610612761,9,13,2022-04-08T23:47:30Z,460000,-152.0,17.0,1,right,MISS G. Trent Jr. 15' step back Shot,[1629018],1610612761.0,TOR,step back,,,Trent Jr.,G. Trent Jr.,,,,,15.3,Missed,,,,,,,,,,,,,,,,,,
47,PT07M22.00S,2022-04-08T23:47:28.5Z,1,REGULAR,rebound,defensive,[],1629645,,,1610612745,9,13,2022-04-08T23:47:30Z,470000,,,0,,K. Porter Jr. REBOUND (Off:0 Def:2),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,46.0,2.0,2.0,0.0,,,,,,,,,,
48,PT07M08.00S,2022-04-08T23:47:43.3Z,1,REGULAR,turnover,lost ball,[],1630224,,,1610612745,9,13,2022-04-08T23:47:47Z,480000,,,0,,J. Green lost ball TURNOVER (1 TO),"[1630224, 1629018]",1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,,,,,,1.0,,,,,Trent Jr.,1629018.0,,
49,PT07M08.00S,2022-04-08T23:47:43.3Z,1,REGULAR,steal,,[],1629018,,,1610612761,9,13,2022-04-08T23:47:45Z,490000,,,0,,G. Trent Jr. STEAL (1 STL),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M01.00S,2022-04-08T23:47:49.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627783,92.32917214191852,56.372549019607845,1610612761,9,13,2022-04-08T23:47:57Z,500000,32.0,20.0,1,right,MISS P. Siakam running finger roll Layup,[1627783],1610612761.0,TOR,running finger roll,,,Siakam,P. Siakam,,,,,3.74,Missed,,,,,,,,,,,,,,,,,,
51,PT07M00.00S,2022-04-08T23:47:51.1Z,1,REGULAR,rebound,offensive,[],1627783,,,1610612761,9,13,2022-04-08T23:47:51Z,510000,,,0,,P. Siakam REBOUND (Off:2 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,50.0,3.0,1.0,2.0,,,,,,,,,,
52,PT06M57.00S,2022-04-08T23:47:53.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1627783,89.04402102496715,48.03921568627451,1610612761,11,13,2022-04-08T23:50:15Z,520000,-10.0,50.0,1,right,P. Siakam putback Layup (4 PTS),[1627783],1610612761.0,TOR,putback,,,Siakam,P. Siakam,,,,,5.14,Made,4.0,,,,,,,,,,,,,,,,,
53,PT06M53.00S,2022-04-08T23:47:57.9Z,1,REGULAR,turnover,bad pass,[],1629645,,,1610612745,11,13,2022-04-08T23:48:04Z,530000,,,0,,K. Porter Jr. bad pass TURNOVER (1 TO),"[1629645, 1630567]",1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,,,1.0,,,,,Barnes,1630567.0,,
54,PT06M53.00S,2022-04-08T23:47:57.9Z,1,REGULAR,steal,,[],1630567,,,1610612761,11,13,2022-04-08T23:48:00Z,540000,,,0,,S. Barnes STEAL (1 STL),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M46.00S,2022-04-08T23:48:04.7Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1630567,88.38699080157687,49.26470588235294,1610612761,11,13,2022-04-08T23:48:09Z,550000,-4.0,57.0,1,right,MISS S. Barnes driving Hook,[1630567],1610612761.0,TOR,driving,,,Barnes,S. Barnes,,,,,5.68,Missed,,,,,,,,,,,,,,,,,,
56,PT06M43.00S,2022-04-08T23:48:07.7Z,1,REGULAR,rebound,defensive,[],1630256,,,1610612745,11,13,2022-04-08T23:48:09Z,560000,,,0,,J. Tate REBOUND (Off:0 Def:1),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,55.0,1.0,1.0,0.0,,,,,,,,,,
57,PT06M39.00S,2022-04-08T23:48:14.2Z,1,REGULAR,foul,personal,['2freethrow'],1629717,,,1610612745,11,13,2022-04-08T23:49:13Z,570000,,,0,,A. Brooks shooting personal FOUL (2 PF) (Sengun 2 FT),"[1629717, 1630578]",1610612761.0,TOR,shooting,,,Brooks,A. Brooks,,,,,,,,,,,,,,,2004.0,,2.0,0.0,Sengun,1630578.0,,,,
59,PT06M39.00S,2022-04-08T23:48:46.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,11,13,2022-04-08T23:48:46Z,590000,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M39.00S,2022-04-08T23:51:20.3Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1630578,,,1610612745,11,14,2022-04-08T23:51:20Z,600000,,,0,,A. Sengun Free Throw 1 of 2 (1 PTS),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
61,PT06M39.00S,2022-04-08T23:51:41.1Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1630578,,,1610612745,11,15,2022-04-08T23:51:41Z,610000,,,0,,A. Sengun Free Throw 2 of 2 (2 PTS),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
62,PT06M15.00S,2022-04-08T23:52:07.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203920,90.48948751642575,50.98039215686274,1610612761,11,15,2022-04-08T23:52:13Z,620000,5.0,37.0,1,right,MISS K. Birch turnaround Hook,[203920],1610612761.0,TOR,turnaround,,,Birch,K. Birch,,,,,3.72,Missed,,,,,,,,,,,,,,,,,,
63,PT06M15.00S,2022-04-08T23:52:07.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612761,11,15,2022-04-08T23:52:13Z,630000,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,,,62.0,,,,,,,,,,,,,
64,PT06M15.00S,2022-04-08T23:52:11.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612761,11,15,2022-04-08T23:52:11Z,640000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M10.00S,2022-04-08T23:52:28.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627783,66.96780551905388,46.07843137254902,1610612761,11,15,2022-04-08T23:52:33Z,650000,-20.0,258.0,1,right,MISS P. Siakam 25' 3PT,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,25.87,Missed,,,,,,,,,,,,,,,,,,
66,PT06M07.00S,2022-04-08T23:52:31.8Z,1,REGULAR,rebound,offensive,[],1630567,,,1610612761,11,15,2022-04-08T23:52:33Z,660000,,,0,,S. Barnes REBOUND (Off:2 Def:0),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,65.0,2.0,0.0,2.0,,,,,,,,,,
67,PT06M01.00S,2022-04-08T23:52:36.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629018,86.5473061760841,43.627450980392155,1610612761,11,15,2022-04-08T23:52:43Z,670000,-32.0,74.0,1,right,MISS G. Trent Jr. 8' driving floating Shot,[1629018],1610612761.0,TOR,driving floating,,,Trent Jr.,G. Trent Jr.,,,,,8.06,Missed,,,,,,,,,,,,,,,,,,
68,PT05M56.00S,2022-04-08T23:52:41.8Z,1,REGULAR,rebound,offensive,[],203920,,,1610612761,11,15,2022-04-08T23:52:43Z,680000,,,0,,K. Birch REBOUND (Off:2 Def:0),[203920],1610612761.0,TOR,,,,Birch,K. Birch,,,,,,,,,,,67.0,2.0,0.0,2.0,,,,,,,,,,
69,PT05M56.00S,2022-04-08T23:52:42.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",203920,94.40999984741211,50.0,1610612761,13,15,2022-04-08T23:52:42Z,690000,0.0,0.0,1,right,K. Birch putback DUNK (2 PTS),[203920],1610612761.0,TOR,putback,,,Birch,K. Birch,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,,
70,PT05M31.00S,2022-04-08T23:53:07.5Z,1,REGULAR,turnover,lost ball,[],1630256,,,1610612745,13,15,2022-04-08T23:53:11Z,700000,,,0,,J. Tate lost ball TURNOVER (1 TO),"[1630256, 203920]",1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,,,1.0,,,,,Birch,203920.0,,
71,PT05M31.00S,2022-04-08T23:53:07.5Z,1,REGULAR,steal,,[],203920,,,1610612761,13,15,2022-04-08T23:53:09Z,710000,,,0,,K. Birch STEAL (1 STL),[203920],1610612761.0,TOR,,,,Birch,K. Birch,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M22.00S,2022-04-08T23:53:16.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629717,72.61826544021025,80.3921568627451,1610612761,13,15,2022-04-08T23:53:22Z,720000,152.0,205.0,1,right,MISS A. Brooks 25' 3PT,[1629717],1610612761.0,TOR,,,,Brooks,A. Brooks,,,,,25.51,Missed,,,,,,,,,,,,,,,,,,
73,PT05M21.00S,2022-04-08T23:53:17.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612745,13,15,2022-04-08T23:53:22Z,730000,,,0,,TEAM defensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,,,72.0,,,,,,,,,,,,,
74,PT05M21.00S,2022-04-08T23:53:22.0Z,1,REGULAR,foul,personal,[],203920,,,1610612745,13,15,2022-04-08T23:53:48Z,740000,,,0,,K. Birch loose ball personal FOUL (1 PF),"[203920, 1630578]",1610612761.0,TOR,loose ball,,,Birch,K. Birch,,,,,,,,,,,,,,,202026.0,,1.0,0.0,Sengun,1630578.0,,,,
76,PT05M21.00S,2022-04-08T23:53:28.5Z,1,REGULAR,substitution,out,[],1630567,,,1610612745,13,15,2022-04-08T23:53:42Z,760000,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M21.00S,2022-04-08T23:53:28.5Z,1,REGULAR,substitution,out,[],203920,,,1610612745,13,15,2022-04-08T23:53:42Z,770000,,,0,,SUB out: K. Birch,[203920],1610612761.0,TOR,,,,Birch,K. Birch,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M21.00S,2022-04-08T23:53:28.5Z,1,REGULAR,substitution,in,[],1630173,,,1610612745,13,15,2022-04-08T23:53:42Z,780000,,,0,,SUB in: P. Achiuwa,[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M21.00S,2022-04-08T23:53:28.5Z,1,REGULAR,substitution,in,[],1628449,,,1610612745,13,15,2022-04-08T23:53:42Z,790000,,,0,,SUB in: C. Boucher,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M07.00S,2022-04-08T23:53:54.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630256,8.492115637319317,50.73529411764706,1610612745,13,17,2022-04-08T23:54:00Z,800000,-4.0,27.0,1,left,J. Tate driving Hook (9 PTS) (J. Green 2 AST),"[1630256, 1630224]",1610612745.0,HOU,driving,,,Tate,J. Tate,,,,,2.75,Made,9.0,J. Green,1630224.0,2.0,,,,,,,,,,,,,,
81,PT04M55.00S,2022-04-08T23:54:06.0Z,1,REGULAR,3pt,Jump Shot,[],1627783,91.67214191852825,95.09803921568627,1610612761,13,17,2022-04-08T23:54:11Z,810000,225.0,26.0,1,right,MISS P. Siakam 3PT,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,22.7,Missed,,,,,,,,,,,,,,,,,,
82,PT04M52.00S,2022-04-08T23:54:09.0Z,1,REGULAR,rebound,defensive,[],1629726,,,1610612745,13,17,2022-04-08T23:54:11Z,820000,,,0,,G. Mathews REBOUND (Off:0 Def:2),[1629726],1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,,,,,,,81.0,2.0,2.0,0.0,,,,,,,,,,
83,PT04M37.00S,2022-04-08T23:54:24.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630578,6.258212877792378,47.549019607843135,1610612745,13,19,2022-04-08T23:54:30Z,830000,12.0,6.0,1,left,A. Sengun cutting DUNK (4 PTS),[1630578],1610612745.0,HOU,cutting,,,Sengun,A. Sengun,,,,,1.38,Made,4.0,,,,,,,,,,,,,,,,,
86,PT04M22.00S,2022-04-08T23:54:38.8Z,1,REGULAR,2pt,Jump Shot,[],1629018,79.05716162943496,21.568627450980394,1610612761,13,19,2022-04-08T23:54:44Z,850000,-142.0,144.0,1,right,MISS G. Trent Jr. 20' Jump Shot,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,20.27,Missed,,,,,,,,,,,,,,,,,,
87,PT04M20.00S,2022-04-08T23:54:40.8Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,13,19,2022-04-08T23:54:44Z,860000,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,86.0,1.0,1.0,0.0,,,,,,,,,,
