actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
38,PT08M00.00S,2021-12-11T00:48:08.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,94.1688567674113,51.225490196078425,1610612761,15,5,2021-12-11T00:48:13Z,380000,6.0,2.0,1,right,P. Siakam driving reverse Layup (2 PTS),[1627783],1610612761.0,TOR,driving reverse,,,Siakam,P. Siakam,,,,,0.65,Made,,,,,2.0,,,,,,,,,,,,,,
39,PT07M54.00S,2021-12-11T00:48:15.5Z,1,REGULAR,foul,personal,['2freethrow'],1628449,,,1610612752,15,5,2021-12-11T00:48:22Z,390000,,,0,,C. Boucher shooting personal FOUL (1 PF) (Randle 2 FT),"[1628449, 203944]",1610612761.0,TOR,shooting,,,Boucher,C. Boucher,,,,,,,,,,,,202026.0,,,,,,,1.0,0.0,Randle,203944.0,,,
41,PT07M54.00S,2021-12-11T00:48:43.3Z,1,REGULAR,freethrow,1 of 2,[],203944,,,1610612752,15,6,2021-12-11T00:48:43Z,410000,,,0,,J. Randle Free Throw 1 of 2 (1 PTS),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
42,PT07M54.00S,2021-12-11T00:49:02.1Z,1,REGULAR,freethrow,2 of 2,[],203944,,,1610612752,15,7,2021-12-11T00:49:02Z,420000,,,0,,J. Randle Free Throw 2 of 2 (2 PTS),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,Made,,,,,2.0,,,,,,,,,,,,,,
43,PT07M33.00S,2021-12-11T00:49:24.9Z,1,REGULAR,2pt,Jump Shot,[],1627783,77.87450722733246,22.54901960784314,1610612761,15,7,2021-12-11T00:49:30Z,430000,-137.0,155.0,1,right,MISS P. Siakam 20' pullup Shot,[1627783],1610612761.0,TOR,pullup,,,Siakam,P. Siakam,,,,,20.74,Missed,,,,,,,,,,,,,,,,,,,
44,PT07M30.00S,2021-12-11T00:49:27.9Z,1,REGULAR,rebound,offensive,[],1627832,,,1610612761,15,7,2021-12-11T00:49:30Z,440000,,,0,,F. VanVleet REBOUND (Off:1 Def:0),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,43.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
45,PT07M21.00S,2021-12-11T00:49:36.9Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630567,94.56307490144546,13.23529411764706,1610612761,15,7,2021-12-11T00:49:41Z,450000,-184.0,-1.0,1,right,MISS S. Barnes 18' Jump Shot,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,18.38,Missed,,,,,,,,,,,,,,,,,,,
46,PT07M18.00S,2021-12-11T00:49:39.5Z,1,REGULAR,rebound,offensive,[],1628449,,,1610612761,15,7,2021-12-11T00:49:39Z,460000,,,0,,C. Boucher REBOUND (Off:1 Def:1),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,45.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
47,PT07M17.00S,2021-12-11T00:49:40.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627783,68.9388961892247,65.93137254901961,1610612761,15,7,2021-12-11T00:49:46Z,470000,80.0,239.0,1,right,MISS P. Siakam 25' 3PT,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,25.24,Missed,,,,,,,,,,,,,,,,,,,
48,PT07M14.00S,2021-12-11T00:49:43.7Z,1,REGULAR,rebound,offensive,[],1628449,,,1610612761,15,7,2021-12-11T00:49:46Z,480000,,,0,,C. Boucher REBOUND (Off:2 Def:1),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,47.0,3.0,1.0,2.0,,,,,,,,,,,,,,,
50,PT07M10.00S,2021-12-11T00:49:57.7Z,1,REGULAR,foul,personal,['3freethrow'],202692,,,1610612761,15,7,2021-12-11T00:50:13Z,500000,,,0,,A. Burks shooting personal FOUL (1 PF) (VanVleet 3 FT),"[202692, 1627832]",1610612752.0,NYK,shooting,,,Burks,A. Burks,,,,,,,,,,,,2004.0,,,,,,,1.0,0.0,VanVleet,1627832.0,,,
52,PT07M10.00S,2021-12-11T00:50:16.6Z,1,REGULAR,freethrow,1 of 3,['2ndchance'],1627832,,,1610612761,16,7,2021-12-11T00:50:16Z,520000,,,0,,F. VanVleet Free Throw 1 of 3 (4 PTS),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,Made,,,,,4.0,,,,,,,,,,,,,,
53,PT07M10.00S,2021-12-11T00:50:29.7Z,1,REGULAR,freethrow,2 of 3,['2ndchance'],1627832,,,1610612761,17,7,2021-12-11T00:50:29Z,530000,,,0,,F. VanVleet Free Throw 2 of 3 (5 PTS),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,Made,,,,,5.0,,,,,,,,,,,,,,
54,PT07M10.00S,2021-12-11T00:50:42.4Z,1,REGULAR,freethrow,3 of 3,['2ndchance'],1627832,,,1610612761,18,7,2021-12-11T00:50:42Z,540000,,,0,,F. VanVleet Free Throw 3 of 3 (6 PTS),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,Made,,,,,6.0,,,,,,,,,,,,,,
55,PT06M54.00S,2021-12-11T00:51:00.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629628,10.988830486202366,39.21568627450981,1610612752,18,7,2021-12-11T00:51:04Z,550000,54.0,51.0,1,left,MISS R. Barrett 7' driving Hook,[1629628],1610612752.0,NYK,driving,,,Barrett,R. Barrett,,,,,7.41,Missed,,,,,,,,,,,,,,,,,,,
56,PT06M51.00S,2021-12-11T00:51:02.6Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,18,7,2021-12-11T00:51:02Z,560000,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,55.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
57,PT06M46.00S,2021-12-11T00:51:07.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627832,94.43166885676742,3.1862745098039214,1610612761,21,7,2021-12-11T00:51:15Z,570000,-234.0,0.0,1,right,F. VanVleet 3PT running (9 PTS) (P. Siakam 2 AST),"[1627832, 1627783]",1610612761.0,TOR,running,,,VanVleet,F. VanVleet,,,,,23.41,Made,,,,,9.0,,P. Siakam,1627783.0,2.0,,,,,,,,,,
59,PT06M28.00S,2021-12-11T00:51:26.2Z,1,REGULAR,turnover,lost ball,[],203095,,,1610612752,21,7,2021-12-11T00:51:30Z,590000,,,0,,E. Fournier lost ball TURNOVER (1 TO),"[203095, 1630567]",1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,1.0,Barnes,1630567.0,,,,,,,
60,PT06M28.00S,2021-12-11T00:51:26.2Z,1,REGULAR,steal,,[],1630567,,,1610612761,21,7,2021-12-11T00:58:41Z,600000,,,0,,S. Barnes STEAL (1 STL),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M24.00S,2021-12-11T00:51:32.3Z,1,REGULAR,foul,personal,['2freethrow'],1629628,,,1610612761,21,7,2021-12-11T00:51:38Z,610000,,,0,,R. Barrett shooting personal FOUL (1 PF) (Boucher 2 FT),"[1629628, 1628449]",1610612752.0,NYK,shooting,,,Barrett,R. Barrett,,,,,,,,,,,,1627964.0,,,,,,,1.0,0.0,Boucher,1628449.0,,,
63,PT06M24.00S,2021-12-11T00:51:52.4Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1628449,,,1610612761,22,7,2021-12-11T00:51:52Z,630000,,,0,,C. Boucher Free Throw 1 of 2 (6 PTS),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,Made,,,,,6.0,,,,,,,,,,,,,,
64,PT06M24.00S,2021-12-11T00:51:53.5Z,1,REGULAR,substitution,out,[],203457,,,1610612761,22,7,2021-12-11T00:51:59Z,640000,,,0,,SUB out: N. Noel,[203457],1610612752.0,NYK,,,,Noel,N. Noel,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M24.00S,2021-12-11T00:51:53.5Z,1,REGULAR,substitution,in,[],1629011,,,1610612761,22,7,2021-12-11T00:51:59Z,650000,,,0,,SUB in: M. Robinson,[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M24.00S,2021-12-11T00:52:15.7Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1628449,,,1610612761,23,7,2021-12-11T00:52:15Z,660000,,,0,,C. Boucher Free Throw 2 of 2 (7 PTS),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,Made,,,,,7.0,,,,,,,,,,,,,,
67,PT06M11.00S,2021-12-11T00:52:30.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202692,15.325229960578188,43.872549019607845,1610612752,23,7,2021-12-11T00:52:37Z,670000,31.0,92.0,1,left,MISS A. Burks 9' driving floating bank Shot,[202692],1610612752.0,NYK,driving floating bank,,,Burks,A. Burks,,,,,9.66,Missed,,,,,,,,,,,,,,,,,,,
68,PT06M08.00S,2021-12-11T00:52:33.3Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,23,7,2021-12-11T00:52:37Z,680000,,,0,,P. Siakam REBOUND (Off:0 Def:4),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,67.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
69,PT06M06.00S,2021-12-11T00:52:36.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628449,92.19776609724047,57.59803921568627,1610612761,23,7,2021-12-11T00:52:41Z,690000,38.0,21.0,1,right,MISS C. Boucher running Layup,[1628449],1610612761.0,TOR,running,,,Boucher,C. Boucher,,,,,4.33,Missed,,,,,,,,,,,,,,,,,,,
70,PT06M06.00S,2021-12-11T00:52:36.6Z,1,REGULAR,rebound,defensive,[],202692,,,1610612752,23,7,2021-12-11T00:52:41Z,700000,,,0,,A. Burks REBOUND (Off:0 Def:1),[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,69.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
71,PT05M51.00S,2021-12-11T00:52:51.6Z,1,REGULAR,3pt,Jump Shot,[],203095,33.85348226018397,31.127450980392158,1610612752,23,7,2021-12-11T00:53:01Z,710000,94.0,266.0,1,left,MISS E. Fournier 28' 3PT,[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,28.2,Missed,,,,,,,,,,,,,,,,,,,
72,PT05M50.00S,2021-12-11T00:52:52.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612752,23,7,2021-12-11T00:53:01Z,720000,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,71.0,,,,,,,,,,,,,,,,,,
73,PT05M50.00S,2021-12-11T00:52:58.1Z,1,REGULAR,foul,personal,[],1628449,,,1610612752,23,7,2021-12-11T00:53:08Z,730000,,,0,,C. Boucher loose ball personal FOUL (2 PF),"[1628449, 1629011]",1610612761.0,TOR,loose ball,,,Boucher,C. Boucher,,,,,,,,,,,,1627964.0,,,,,,,2.0,0.0,Robinson,1629011.0,,,
75,PT05M50.00S,2021-12-11T00:53:05.7Z,1,REGULAR,substitution,out,[],1628449,,,1610612752,23,7,2021-12-11T00:53:10Z,750000,,,0,,SUB out: C. Boucher,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M50.00S,2021-12-11T00:53:05.7Z,1,REGULAR,substitution,in,[],1629139,,,1610612752,23,7,2021-12-11T00:53:10Z,760000,,,0,,SUB in: Y. Watanabe,[1629139],1610612761.0,TOR,,,,Watanabe,Y. Watanabe,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M41.00S,2021-12-11T00:53:30.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629011,7.703679369250986,54.65686274509803,1610612752,23,7,2021-12-11T00:53:38Z,770000,-23.0,20.0,1,left,MISS M. Robinson Layup - blocked,"[1629011, 1627832]",1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,3.06,Missed,,,,,,,,,,,,,,,,,VanVleet,1627832.0,
78,PT05M41.00S,2021-12-11T00:53:30.7Z,1,REGULAR,block,,[],1627832,,,1610612752,23,7,2021-12-11T00:53:33Z,780000,,,0,,F. VanVleet BLOCK (1 BLK),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M37.00S,2021-12-11T00:53:34.7Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,23,7,2021-12-11T00:53:38Z,790000,,,0,,S. Barnes REBOUND (Off:0 Def:2),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,77.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
80,PT05M33.00S,2021-12-11T00:53:38.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630567,92.85479632063075,46.32352941176471,1610612761,23,7,2021-12-11T00:53:46Z,800000,-18.0,15.0,1,right,MISS S. Barnes driving Layup,[1630567],1610612761.0,TOR,driving,,,Barnes,S. Barnes,,,,,2.36,Missed,,,,,,,,,,,,,,,,,,,
81,PT05M31.00S,2021-12-11T00:53:40.9Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,23,7,2021-12-11T00:53:46Z,810000,,,0,,M. Robinson REBOUND (Off:0 Def:1),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,80.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
82,PT05M27.00S,2021-12-11T00:53:44.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203095,27.020367936925098,15.686274509803921,1610612752,23,10,2021-12-11T00:53:50Z,820000,172.0,201.0,1,left,E. Fournier 26' 3PT running (6 PTS) (J. Randle 2 AST),"[203095, 203944]",1610612752.0,NYK,running,,,Fournier,E. Fournier,,,,,26.47,Made,,,,,6.0,,J. Randle,203944.0,2.0,,,,,,,,,,
84,PT05M11.00S,2021-12-11T00:54:00.1Z,1,REGULAR,2pt,Jump Shot,[],1627783,88.38699080157687,76.7156862745098,1610612761,23,10,2021-12-11T00:54:05Z,840000,134.0,57.0,1,right,MISS P. Siakam 14' pullup Shot,[1627783],1610612761.0,TOR,pullup,,,Siakam,P. Siakam,,,,,14.51,Missed,,,,,,,,,,,,,,,,,,,
85,PT05M10.00S,2021-12-11T00:54:01.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612752,23,10,2021-12-11T00:54:05Z,850000,,,0,,TEAM defensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,84.0,,,,,,,,,,,,,,,,,,
86,PT05M10.00S,2021-12-11T00:54:04.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612752,23,10,2021-12-11T00:54:04Z,860000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M50.00S,2021-12-11T00:54:36.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629628,15.719448094612352,47.794117647058826,1610612752,23,10,2021-12-11T00:54:42Z,870000,11.0,95.0,1,left,MISS R. Barrett 9' floating Shot,[1629628],1610612752.0,NYK,floating,,,Barrett,R. Barrett,,,,,9.59,Missed,,,,,,,,,,,,,,,,,,,
88,PT04M48.00S,2021-12-11T00:54:38.5Z,1,REGULAR,rebound,offensive,[],1629628,,,1610612752,23,10,2021-12-11T00:54:42Z,880000,,,0,,R. Barrett REBOUND (Off:1 Def:0),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,87.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
89,PT04M42.00S,2021-12-11T00:54:45.0Z,1,REGULAR,turnover,bad pass,[],202692,,,1610612752,23,10,2021-12-11T00:54:49Z,890000,,,0,,A. Burks bad pass TURNOVER (2 TO),"[202692, 1627832]",1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,,,,,,2.0,VanVleet,1627832.0,,,,,,,
90,PT04M42.00S,2021-12-11T00:54:45.0Z,1,REGULAR,steal,,[],1627832,,,1610612761,23,10,2021-12-11T00:54:47Z,900000,,,0,,F. VanVleet STEAL (1 STL),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,
