actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,value
25,PT09M44.00S,2022-02-04T00:43:28.1Z,1,REGULAR,3pt,Jump Shot,[],1630245,71.04139290407359,21.07843137254902,1610612741,6,8,2022-02-04T00:43:32Z,240000,-145.0,220.0,1,right,A. Dosunmu 26' 3PT  (3 PTS) (Z. LaVine 2 AST),"[1630245, 203897]",1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,26.3,Made,3.0,Z. LaVine,203897.0,2.0,,,,,,,,,,,,,,,
27,PT09M28.00S,2022-02-04T00:43:44.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627832,6.915243101182654,47.05882352941176,1610612761,8,8,2022-02-04T00:43:50Z,260000,15.0,13.0,1,left,F. VanVleet cutting Layup (2 PTS) (S. Barnes 1 AST),"[1627832, 1630567]",1610612761.0,TOR,cutting,,,VanVleet,F. VanVleet,,,,,1.93,Made,2.0,S. Barnes,1630567.0,1.0,,,,,,,,,,,,,,,
29,PT09M17.00S,2022-02-04T00:43:56.8Z,1,REGULAR,foul,personal,['2freethrow'],1627783,,,1610612741,8,8,2022-02-04T00:44:05Z,280000,,,0,,P. Siakam shooting personal FOUL (1 PF) (Green 2 FT),"[1627783, 1629750]",1610612761.0,TOR,shooting,,,Siakam,P. Siakam,,,,,,,,,,,,,,201640.0,1.0,0.0,Green,1629750.0,,,,,,,
31,PT09M17.00S,2022-02-04T00:44:23.4Z,1,REGULAR,freethrow,1 of 2,[],1629750,,,1610612741,8,9,2022-02-04T00:44:23Z,300000,,,0,,J. Green Free Throw 1 of 2 (3 PTS),[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
32,PT09M17.00S,2022-02-04T00:44:23.4Z,1,REGULAR,freethrow,2 of 2,[],1629750,,,1610612741,8,9,2022-02-04T00:44:44Z,310000,,,0,,MISS J. Green Free Throw 2 of 2,[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,Missed,,,,,,,,,,,,,,,,,,,
33,PT09M15.00S,2022-02-04T00:44:25.4Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,8,9,2022-02-04T00:44:44Z,320000,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,32.0,1.0,1.0,0.0,,,
34,PT08M57.00S,2022-02-04T00:45:00.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630567,9.411957950065702,56.127450980392155,1610612761,8,9,2022-02-04T00:45:05Z,330000,-31.0,36.0,1,left,MISS S. Barnes cutting Layup,[1630567],1610612761.0,TOR,cutting,,,Barnes,S. Barnes,,,,,4.72,Missed,,,,,,,,,,,,,,,,,,,
35,PT08M54.00S,2022-02-04T00:45:03.8Z,1,REGULAR,rebound,defensive,[],1629750,,,1610612741,8,9,2022-02-04T00:45:05Z,340000,,,0,,J. Green REBOUND (Off:0 Def:1),[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,34.0,1.0,1.0,0.0,,,
36,PT08M51.00S,2022-02-04T00:45:07.9Z,1,REGULAR,turnover,out-of-bounds,[],1630245,,,1610612741,8,9,2022-02-04T00:45:13Z,350000,,,0,,A. Dosunmu bad pass out-of-bounds TURNOVER (1 TO),[1630245],1610612741.0,CHI,bad pass,,,Dosunmu,A. Dosunmu,,,,,,,,,,,1.0,,,1628954.0,,,,,,,,,,,
37,PT08M41.00S,2022-02-04T00:45:22.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627783,14.536793692509855,42.64705882352941,1610612761,10,9,2022-02-04T00:45:27Z,360000,37.0,84.0,1,left,P. Siakam 9' driving floating Jump Shot (2 PTS),[1627783],1610612761.0,TOR,driving floating,,,Siakam,P. Siakam,,,,,9.18,Made,2.0,,,,,,,,,,,,,,,,,,
38,PT08M28.00S,2022-02-04T00:45:35.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201942,94.03745072273325,46.568627450980394,1610612741,10,9,2022-02-04T00:45:40Z,370000,-17.0,4.0,1,right,MISS D. DeRozan driving Layup - blocked,"[201942, 1628384]",1610612741.0,CHI,driving,,,DeRozan,D. DeRozan,,,,,1.76,Missed,,,,,,,,,,,,,,,,,Anunoby,1628384.0,
39,PT08M28.00S,2022-02-04T00:45:35.5Z,1,REGULAR,block,,[],1628384,,,1610612741,10,9,2022-02-04T00:45:38Z,380000,,,0,,O. Anunoby BLOCK (1 BLK),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT08M25.00S,2022-02-04T00:45:38.5Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,10,9,2022-02-04T00:45:40Z,390000,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,38.0,1.0,1.0,0.0,,,
64,PT08M18.00S,2022-02-04T00:45:40.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630567,13.978318002628114,50.0,1610612761,10,9,2022-02-04T00:50:53Z,395000,0.0,79.0,1,left,MISS S. Barnes 7' cutting Layup - blocked,"[1630567, 203897]",1610612761.0,TOR,cutting,,,Barnes,S. Barnes,,,,,7.89,Missed,,,,,,,,,,,,,,,,,LaVine,203897.0,
65,PT08M18.00S,2022-02-04T00:45:40.1Z,1,REGULAR,block,,[],203897,,,1610612761,10,9,2022-02-04T00:50:33Z,397500,,,0,,Z. LaVine BLOCK (1 BLK),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT08M18.00S,2022-02-04T00:45:40.1Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,10,9,2022-02-04T00:50:53Z,398750,,,0,,N. Vucevic REBOUND (Off:0 Def:2),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,,64.0,2.0,2.0,0.0,,,
43,PT07M56.00S,2022-02-04T00:46:07.1Z,1,REGULAR,3pt,Jump Shot,[],1629750,68.9388961892247,70.58823529411765,1610612741,10,9,2022-02-04T00:50:56Z,420000,103.0,239.0,1,right,MISS J. Green 26' 3PT,[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,26.07,Missed,,,,,,,,,,,,,,,,,,,
44,PT07M53.00S,2022-02-04T00:46:10.1Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,10,9,2022-02-04T00:46:51Z,430000,,,0,,P. Siakam REBOUND (Off:0 Def:2),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,43.0,2.0,2.0,0.0,,,
45,PT07M53.00S,2022-02-04T00:46:13.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612761,10,9,2022-02-04T00:46:13Z,440000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT07M45.00S,2022-02-04T00:46:28.4Z,1,REGULAR,turnover,bad pass,[],1627783,,,1610612761,10,9,2022-02-04T00:46:39Z,450000,,,0,,P. Siakam bad pass TURNOVER (1 TO),"[1627783, 1629750]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,1.0,Green,1629750.0,,,,,,,,,,,,
47,PT07M45.00S,2022-02-04T00:46:28.4Z,1,REGULAR,steal,,[],1629750,,,1610612741,10,9,2022-02-04T00:55:19Z,460000,,,0,,J. Green STEAL (1 STL),[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT07M40.00S,2022-02-04T00:46:32.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203897,94.43166885676742,49.50980392156863,1610612741,10,11,2022-02-04T00:46:45Z,470000,-2.0,0.0,1,right,Z. LaVine running DUNK (2 PTS) (J. Green 1 AST),"[203897, 1629750]",1610612741.0,CHI,running,,,LaVine,Z. LaVine,,,,,0.25,Made,2.0,J. Green,1629750.0,1.0,,,,,,,,,,,,,,,
50,PT07M20.00S,2022-02-04T00:46:53.0Z,1,REGULAR,2pt,Jump Shot,[],1627832,7.440867279894875,14.215686274509803,1610612761,10,11,2022-02-04T00:46:58Z,490000,179.0,17.0,1,left,MISS F. VanVleet 17' pullup Shot,[1627832],1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,17.97,Missed,,,,,,,,,,,,,,,,,,,
51,PT07M17.00S,2022-02-04T00:46:56.0Z,1,REGULAR,rebound,offensive,[],1630567,,,1610612761,10,11,2022-02-04T00:46:58Z,500000,,,0,,S. Barnes REBOUND (Off:1 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,50.0,2.0,1.0,1.0,,,
52,PT07M15.00S,2022-02-04T00:46:58.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627832,6.1268068331143235,2.450980392156863,1610612761,10,11,2022-02-04T00:47:02Z,510000,238.0,5.0,1,left,MISS F. VanVleet 3PT,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,23.78,Missed,,,,,,,,,,,,,,,,,,,
53,PT07M12.00S,2022-02-04T00:47:01.2Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,10,11,2022-02-04T00:47:02Z,520000,,,0,,Z. LaVine REBOUND (Off:0 Def:1),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,,52.0,1.0,1.0,0.0,,,
54,PT06M57.00S,2022-02-04T00:47:15.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,86.81011826544021,50.73529411764706,1610612741,10,11,2022-02-04T00:47:20Z,530000,4.0,71.0,1,right,MISS N. Vucevic 7' driving Hook,[202696],1610612741.0,CHI,driving,,,Vucevic,N. Vucevic,,,,,7.16,Missed,,,,,,,,,,,,,,,,,,,
55,PT06M55.00S,2022-02-04T00:47:17.4Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,10,11,2022-02-04T00:47:20Z,540000,,,0,,P. Siakam REBOUND (Off:0 Def:3),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,54.0,3.0,3.0,0.0,,,
56,PT06M49.00S,2022-02-04T00:47:23.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630567,28.465834428383708,17.401960784313726,1610612761,10,11,2022-02-04T00:54:33Z,550000,163.0,215.0,1,left,MISS S. Barnes 26' 3PT,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,26.99,Missed,,,,,,,,,,,,,,,,,,,
57,PT06M46.00S,2022-02-04T00:47:26.4Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,10,11,2022-02-04T00:47:34Z,560000,,,0,,N. Vucevic REBOUND (Off:0 Def:3),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,,56.0,3.0,3.0,0.0,,,
58,PT06M43.00S,2022-02-04T00:47:33.0Z,1,REGULAR,foul,offensive,[],203897,,,1610612741,10,11,2022-02-04T00:47:39Z,570000,,,0,,Z. LaVine charge offensive FOUL (1 PF),"[203897, 1627832]",1610612741.0,CHI,charge,,,LaVine,Z. LaVine,,,,,,,,,,,,,,201640.0,1.0,0.0,VanVleet,1627832.0,,,,,,,
60,PT06M43.00S,2022-02-04T00:47:33.0Z,1,REGULAR,turnover,offensive foul,[],203897,,,1610612741,10,11,2022-02-04T00:47:33Z,590000,,,0,,Z. LaVine offensive foul TURNOVER (1 TO),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,1.0,,,201640.0,,,,,,,,,,,
61,PT06M43.00S,2022-02-04T00:47:40.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,10,11,2022-02-04T00:47:40Z,600000,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M43.00S,2022-02-04T00:48:50.9Z,1,REGULAR,substitution,out,[],1630567,,,1610612761,10,11,2022-02-04T00:50:14Z,610000,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M43.00S,2022-02-04T00:48:50.9Z,1,REGULAR,substitution,in,[],1630173,,,1610612761,10,11,2022-02-04T00:50:14Z,620000,,,0,,SUB in: P. Achiuwa,[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M34.00S,2022-02-04T00:50:33.3Z,1,REGULAR,foul,personal,['3freethrow'],1630245,,,1610612761,10,11,2022-02-04T00:50:42Z,630000,,,0,,A. Dosunmu shooting personal FOUL (1 PF) (VanVleet 3 FT),"[1630245, 1627832]",1610612741.0,CHI,shooting,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,1155.0,1.0,0.0,VanVleet,1627832.0,,,,,,,
69,PT06M34.00S,2022-02-04T00:50:57.5Z,1,REGULAR,freethrow,1 of 3,['fromturnover'],1627832,,,1610612761,11,11,2022-02-04T00:50:57Z,650000,,,0,,F. VanVleet Free Throw 1 of 3 (3 PTS),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
70,PT06M34.00S,2022-02-04T00:51:12.3Z,1,REGULAR,freethrow,2 of 3,['fromturnover'],1627832,,,1610612761,12,11,2022-02-04T00:51:12Z,660000,,,0,,F. VanVleet Free Throw 2 of 3 (4 PTS),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
71,PT06M34.00S,2022-02-04T00:51:25.7Z,1,REGULAR,freethrow,3 of 3,['fromturnover'],1627832,,,1610612761,13,11,2022-02-04T00:51:25Z,670000,,,0,,F. VanVleet Free Throw 3 of 3 (5 PTS),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,Made,5.0,,,,,,,,,,,,,,,,,,
72,PT06M24.00S,2022-02-04T00:51:38.6Z,1,REGULAR,2pt,Jump Shot,[],202696,91.14651773981603,12.990196078431374,1610612741,13,11,2022-02-04T00:51:45Z,680000,-185.0,31.0,1,right,MISS N. Vucevic 18' Jump Shot,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,18.75,Missed,,,,,,,,,,,,,,,,,,,
73,PT06M21.00S,2022-02-04T00:51:41.2Z,1,REGULAR,rebound,defensive,[],1629018,,,1610612761,13,11,2022-02-04T00:51:41Z,690000,,,0,,G. Trent Jr. REBOUND (Off:0 Def:1),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,72.0,1.0,1.0,0.0,,,
74,PT06M07.00S,2022-02-04T00:51:55.0Z,1,REGULAR,3pt,Jump Shot,[],1629018,6.783837056504599,96.07843137254902,1610612761,13,11,2022-02-04T00:51:59Z,700000,-230.0,11.0,1,left,MISS G. Trent Jr. 3PT,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,23.07,Missed,,,,,,,,,,,,,,,,,,,
75,PT06M05.00S,2022-02-04T00:51:56.9Z,1,REGULAR,rebound,offensive,[],1630173,,,1610612761,13,11,2022-02-04T00:51:56Z,710000,,,0,,P. Achiuwa REBOUND (Off:1 Def:0),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,74.0,1.0,0.0,1.0,,,
76,PT05M56.00S,2022-02-04T00:52:05.8Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1627783,24.129434954007884,28.431372549019606,1610612761,15,11,2022-02-04T00:52:10Z,720000,108.0,174.0,1,left,P. Siakam 20' step back Jump Shot (4 PTS),[1627783],1610612761.0,TOR,step back,,,Siakam,P. Siakam,,,,,20.49,Made,4.0,,,,,,,,,,,,,,,,,,
77,PT05M35.00S,2022-02-04T00:52:28.1Z,1,REGULAR,foul,personal,['2freethrow'],1630173,,,1610612741,15,11,2022-02-04T00:52:40Z,730000,,,0,,P. Achiuwa shooting personal FOUL (1 PF) (LaVine 2 FT),"[1630173, 203897]",1610612761.0,TOR,shooting,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,201640.0,1.0,0.0,LaVine,203897.0,,,,,,,
79,PT05M35.00S,2022-02-04T00:53:01.2Z,1,REGULAR,freethrow,1 of 2,[],203897,,,1610612741,15,12,2022-02-04T00:53:25Z,750000,,,0,,Z. LaVine Free Throw 1 of 2 (3 PTS),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
80,PT05M35.00S,2022-02-04T00:53:03.2Z,1,REGULAR,substitution,out,[],201942,,,1610612741,15,12,2022-02-04T00:53:07Z,760000,,,0,,SUB out: D. DeRozan,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M35.00S,2022-02-04T00:53:03.2Z,1,REGULAR,substitution,out,[],1629750,,,1610612741,15,12,2022-02-04T00:53:07Z,770000,,,0,,SUB out: J. Green,[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M35.00S,2022-02-04T00:53:03.2Z,1,REGULAR,substitution,in,[],1628972,,,1610612741,15,12,2022-02-04T00:53:07Z,780000,,,0,,SUB in: T. Brown Jr.,[1628972],1610612741.0,CHI,,,,Brown Jr.,T. Brown Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M35.00S,2022-02-04T00:53:03.2Z,1,REGULAR,substitution,in,[],1629632,,,1610612741,15,12,2022-02-04T00:53:07Z,790000,,,0,,SUB in: C. White,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M35.00S,2022-02-04T00:53:01.2Z,1,REGULAR,freethrow,2 of 2,[],203897,,,1610612741,15,12,2022-02-04T00:53:25Z,800000,,,0,,MISS Z. LaVine Free Throw 2 of 2,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,Missed,,,,,,,,,,,,,,,,,,,
85,PT05M33.00S,2022-02-04T00:53:03.2Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612761,15,12,2022-02-04T00:53:25Z,810000,,,0,,P. Achiuwa REBOUND (Off:1 Def:1),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,84.0,2.0,1.0,1.0,,,
86,PT05M18.00S,2022-02-04T00:53:38.7Z,1,REGULAR,turnover,bad pass,[],1628384,,,1610612761,15,12,2022-02-04T00:53:42Z,820000,,,0,,O. Anunoby bad pass TURNOVER (1 TO),"[1628384, 202696]",1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,1.0,Vucevic,202696.0,,,,,,,,,,,,
87,PT05M18.00S,2022-02-04T00:53:38.7Z,1,REGULAR,steal,,[],202696,,,1610612741,15,12,2022-02-04T00:53:40Z,830000,,,0,,N. Vucevic STEAL (1 STL),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M14.00S,2022-02-04T00:53:43.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630245,92.06636005256242,52.20588235294118,1610612741,15,12,2022-02-04T00:53:50Z,840000,11.0,22.0,1,right,MISS A. Dosunmu running Layup,[1630245],1610612741.0,CHI,running,,,Dosunmu,A. Dosunmu,,,,,2.47,Missed,,,,,,,,,,,,,,,,,,,
89,PT05M09.00S,2022-02-04T00:53:48.0Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,15,12,2022-02-04T00:53:50Z,850000,,,0,,N. Vucevic REBOUND (Off:1 Def:3),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,,88.0,4.0,3.0,1.0,,,
