actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
24,PT09M27.00S,2021-12-01T00:43:24.8Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612761,2,6,2021-12-01T00:43:27Z,240000,,,0,,P. Achiuwa REBOUND (Off:0 Def:1),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,,
25,PT09M20.00S,2021-12-01T00:43:31.4Z,1,REGULAR,3pt,Jump Shot,[],1627832,36.74441524310118,50.49019607843137,1610612761,2,6,2021-12-01T00:43:36Z,250000,-2.0,293.0,1,left,MISS F. VanVleet 29' 3PT,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,29.29,Missed,,,,,,,,,,,,,,,,,,,
26,PT09M17.00S,2021-12-01T00:43:34.7Z,1,REGULAR,rebound,offensive,[],1630567,,,1610612761,2,6,2021-12-01T00:43:34Z,260000,,,0,,S. Barnes REBOUND (Off:1 Def:0),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
27,PT09M15.00S,2021-12-01T00:43:36.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627783,19.267411300919843,94.6078431372549,1610612761,5,6,2021-12-01T00:43:41Z,270000,-223.0,129.0,1,left,P. Siakam 25' 3PT  (3 PTS) (S. Barnes 1 AST),"[1627783, 1630567]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,25.74,Made,3.0,,,,,,,,,,,,,S. Barnes,1630567.0,1.0,,,
29,PT09M00.00S,2021-12-01T00:43:51.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626145,85.89027595269383,48.77450980392157,1610612763,5,6,2021-12-01T00:43:58Z,290000,-6.0,80.0,1,right,MISS T. Jones 8' driving floating Shot,[1626145],1610612763.0,MEM,driving floating,,,Jones,T. Jones,,,,,8.03,Missed,,,,,,,,,,,,,,,,,,,
30,PT08M57.00S,2021-12-01T00:43:54.4Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612761,5,6,2021-12-01T00:43:58Z,300000,,,0,,P. Achiuwa REBOUND (Off:0 Def:2),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,29.0,2.0,2.0,0.0,,,,,,,,,,,,,,
31,PT08M51.00S,2021-12-01T00:44:00.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627832,33.722076215505915,30.392156862745097,1610612761,5,6,2021-12-01T00:44:11Z,310000,98.0,264.0,1,left,MISS F. VanVleet 28' running pullup 3PT,[1627832],1610612761.0,TOR,running pullup,,,VanVleet,F. VanVleet,,,,,28.21,Missed,,,,,,,,,,,,,,,,,,,
32,PT08M47.00S,2021-12-01T00:44:04.0Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,5,6,2021-12-01T00:44:11Z,320000,,,0,,S. Adams REBOUND (Off:1 Def:2),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,31.0,3.0,2.0,1.0,,,,,,,,,,,,,,
33,PT08M43.00S,2021-12-01T00:44:08.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630217,94.30026281208936,4.166666666666666,1610612763,5,9,2021-12-01T00:44:16Z,330000,-229.0,1.0,1,right,D. Bane 3PT running (5 PTS) (T. Jones 2 AST),"[1630217, 1626145]",1610612763.0,MEM,running,,,Bane,D. Bane,,,,,22.92,Made,5.0,,,,,,,,,,,,,T. Jones,1626145.0,2.0,,,
35,PT08M23.00S,2021-12-01T00:44:28.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,6.521024967148489,50.73529411764706,1610612761,5,9,2021-12-01T00:44:35Z,350000,-4.0,9.0,1,left,MISS P. Siakam driving Layup - blocked,"[1627783, 1628991]",1610612761.0,TOR,driving,,,Siakam,P. Siakam,,,,,0.95,Missed,,,,,,,,,,,,,,,,,Jackson Jr.,1628991.0,
36,PT08M23.00S,2021-12-01T00:44:28.6Z,1,REGULAR,block,,[],1628991,,,1610612761,5,9,2021-12-01T00:44:31Z,360000,,,0,,J. Jackson Jr. BLOCK (1 BLK),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
37,PT08M19.00S,2021-12-01T00:44:32.6Z,1,REGULAR,rebound,defensive,[],1626145,,,1610612763,5,9,2021-12-01T00:44:35Z,370000,,,0,,T. Jones REBOUND (Off:0 Def:1),[1626145],1610612763.0,MEM,,,,Jones,T. Jones,,,,,,,,35.0,1.0,1.0,0.0,,,,,,,,,,,,,,
38,PT08M18.00S,2021-12-01T00:44:36.1Z,1,REGULAR,foul,personal,[],1630173,,,1610612763,5,9,2021-12-01T00:44:43Z,380000,,,0,,P. Achiuwa personal FOUL (1 PF),"[1630173, 203500]",1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,1627519.0,1.0,0.0,Adams,203500.0,,,,,,,,
40,PT08M14.00S,2021-12-01T00:45:11.3Z,1,REGULAR,foul,personal,['2freethrow'],1629004,,,1610612763,5,9,2021-12-01T00:45:19Z,400000,,,0,,S. Mykhailiuk shooting personal FOUL (1 PF) (Brooks 2 FT),"[1629004, 1628415]",1610612761.0,TOR,shooting,,,Mykhailiuk,S. Mykhailiuk,,,,,,,,,,,,,1199.0,1.0,0.0,Brooks,1628415.0,,,,,,,,
42,PT08M14.00S,2021-12-01T00:45:35.7Z,1,REGULAR,freethrow,1 of 2,[],1628415,,,1610612763,5,10,2021-12-01T00:45:35Z,420000,,,0,,D. Brooks Free Throw 1 of 2 (3 PTS),[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
43,PT08M14.00S,2021-12-01T00:45:50.0Z,1,REGULAR,freethrow,2 of 2,[],1628415,,,1610612763,5,11,2021-12-01T00:45:50Z,430000,,,0,,D. Brooks Free Throw 2 of 2 (4 PTS),[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
44,PT07M53.00S,2021-12-01T00:46:13.5Z,1,REGULAR,2pt,Jump Shot,[],1627832,19.530223390275953,25.245098039215684,1610612761,7,11,2021-12-01T00:46:20Z,440000,124.0,131.0,1,left,F. VanVleet 18' pullup Jump Shot (2 PTS),[1627832],1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,18.03,Made,2.0,,,,,,,,,,,,,,,,,,
45,PT07M37.00S,2021-12-01T00:46:28.8Z,1,REGULAR,2pt,Jump Shot,[],1630217,94.1688567674113,24.264705882352942,1610612763,7,13,2021-12-01T00:46:35Z,450000,-129.0,2.0,1,right,D. Bane 12' fadeaway Jump Shot (7 PTS) (S. Adams 1 AST),"[1630217, 203500]",1610612763.0,MEM,fadeaway,,,Bane,D. Bane,,,,,12.87,Made,7.0,,,,,,,,,,,,,S. Adams,203500.0,1.0,,,
47,PT07M11.00S,2021-12-01T00:46:55.6Z,1,REGULAR,turnover,bad pass,[],1627832,,,1610612761,7,13,2021-12-01T00:47:00Z,470000,,,0,,F. VanVleet bad pass TURNOVER (1 TO),"[1627832, 203500]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,1.0,,,,,,Adams,203500.0,,,,,,
48,PT07M11.00S,2021-12-01T00:46:55.6Z,1,REGULAR,steal,,[],203500,,,1610612763,7,13,2021-12-01T00:46:57Z,480000,,,0,,S. Adams STEAL (1 STL),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT07M02.00S,2021-12-01T00:47:06.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612763,7,13,2021-12-01T00:47:06Z,490000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT06M47.00S,2021-12-01T00:47:33.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628415,79.84559789750328,21.813725490196077,1610612763,7,13,2021-12-01T00:47:41Z,500000,-141.0,137.0,1,right,MISS D. Brooks 19' step back Shot,[1628415],1610612763.0,MEM,step back,,,Brooks,D. Brooks,,,,,19.65,Missed,,,,,,,,,,,,,,,,,,,
51,PT06M43.00S,2021-12-01T00:47:37.5Z,1,REGULAR,rebound,offensive,[],1630217,,,1610612763,7,13,2021-12-01T00:52:45Z,510000,,,0,,D. Bane REBOUND (Off:1 Def:0),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,50.0,1.0,0.0,1.0,,,,,,,,,,,,,,
52,PT06M42.00S,2021-12-01T00:47:38.8Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1628991,71.56701708278581,75.73529411764706,1610612763,7,16,2021-12-01T00:47:59Z,520000,129.0,215.0,1,right,J. Jackson Jr. 25' 3PT  (3 PTS) (D. Bane 1 AST),"[1628991, 1630217]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,25.04,Made,3.0,,,,,,,,,,,,,D. Bane,1630217.0,1.0,,,
54,PT06M39.00S,2021-12-01T00:47:48.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,7,16,2021-12-01T00:51:01Z,540000,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M39.00S,2021-12-01T00:49:57.6Z,1,REGULAR,substitution,out,[],1628991,,,1610612761,7,16,2021-12-01T00:50:25Z,550000,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M39.00S,2021-12-01T00:49:57.6Z,1,REGULAR,substitution,out,[],1630217,,,1610612761,7,16,2021-12-01T00:50:25Z,560000,,,0,,SUB out: D. Bane,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M39.00S,2021-12-01T00:49:57.6Z,1,REGULAR,substitution,in,[],203937,,,1610612761,7,16,2021-12-01T00:50:25Z,570000,,,0,,SUB in: K. Anderson,[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M39.00S,2021-12-01T00:49:57.6Z,1,REGULAR,substitution,in,[],1629001,,,1610612761,7,16,2021-12-01T00:50:25Z,580000,,,0,,SUB in: D. Melton,[1629001],1610612763.0,MEM,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M21.00S,2021-12-01T00:51:02.6Z,1,REGULAR,2pt,Jump Shot,[],1630173,6.915243101182654,70.09803921568627,1610612761,7,16,2021-12-01T00:51:08Z,590000,-100.0,13.0,1,left,MISS P. Achiuwa 10' pullup Shot,[1630173],1610612761.0,TOR,pullup,,,Achiuwa,P. Achiuwa,,,,,10.13,Missed,,,,,,,,,,,,,,,,,,,
60,PT06M19.00S,2021-12-01T00:51:04.6Z,1,REGULAR,rebound,defensive,[],203937,,,1610612763,7,16,2021-12-01T00:51:08Z,600000,,,0,,K. Anderson REBOUND (Off:0 Def:1),[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,,59.0,1.0,1.0,0.0,,,,,,,,,,,,,,
61,PT05M55.00S,2021-12-01T00:51:29.2Z,1,REGULAR,3pt,Jump Shot,[],1628415,73.66951379763469,80.3921568627451,1610612763,7,16,2021-12-01T00:51:35Z,610000,152.0,195.0,1,right,MISS D. Brooks 24' step back 3PT,[1628415],1610612763.0,MEM,step back,,,Brooks,D. Brooks,,,,,24.72,Missed,,,,,,,,,,,,,,,,,,,
62,PT05M53.00S,2021-12-01T00:51:31.2Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,7,16,2021-12-01T00:51:35Z,620000,,,0,,S. Barnes REBOUND (Off:1 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,61.0,2.0,1.0,1.0,,,,,,,,,,,,,,
63,PT05M47.00S,2021-12-01T00:51:37.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,7.966491458607096,45.83333333333333,1610612761,7,16,2021-12-01T00:51:43Z,630000,21.0,22.0,1,left,MISS P. Siakam alley-oop Layup,[1627783],1610612761.0,TOR,alley-oop,,,Siakam,P. Siakam,,,,,3.06,Missed,,,,,,,,,,,,,,,,,,,
64,PT05M45.00S,2021-12-01T00:51:39.3Z,1,REGULAR,rebound,offensive,[],1627783,,,1610612761,7,16,2021-12-01T00:51:39Z,640000,,,0,,P. Siakam REBOUND (Off:1 Def:0),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,63.0,1.0,0.0,1.0,,,,,,,,,,,,,,
65,PT05M43.00S,2021-12-01T00:51:42.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630173,7.178055190538765,53.18627450980392,1610612761,7,16,2021-12-01T00:51:52Z,650000,-16.0,15.0,1,left,MISS P. Achiuwa reverse Layup - blocked,"[1630173, 203937]",1610612761.0,TOR,reverse,,,Achiuwa,P. Achiuwa,,,,,2.19,Missed,,,,,,,,,,,,,,,,,Anderson,203937.0,
66,PT05M43.00S,2021-12-01T00:51:42.5Z,1,REGULAR,block,,[],203937,,,1610612761,7,16,2021-12-01T00:51:45Z,660000,,,0,,K. Anderson BLOCK (1 BLK),[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT05M43.00S,2021-12-01T00:51:42.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612761,7,16,2021-12-01T00:51:52Z,670000,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,65.0,,,,,,,,,,,,,,,,,
68,PT05M43.00S,2021-12-01T00:51:48.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612761,7,16,2021-12-01T00:51:48Z,680000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M43.00S,2021-12-01T00:51:48.8Z,1,REGULAR,substitution,out,[],1628415,,,1610612761,7,16,2021-12-01T00:51:52Z,690000,,,0,,SUB out: D. Brooks,[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M43.00S,2021-12-01T00:51:48.8Z,1,REGULAR,substitution,in,[],1630583,,,1610612761,7,16,2021-12-01T00:51:52Z,700000,,,0,,SUB in: S. Aldama,[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M37.00S,2021-12-01T00:52:08.0Z,1,REGULAR,turnover,bad pass,[],1629004,,,1610612761,7,16,2021-12-01T00:52:12Z,710000,,,0,,S. Mykhailiuk bad pass TURNOVER (1 TO),"[1629004, 1626145]",1610612761.0,TOR,,,,Mykhailiuk,S. Mykhailiuk,,,,,,,,,,,,1.0,,,,,,Jones,1626145.0,,,,,,
72,PT05M37.00S,2021-12-01T00:52:08.0Z,1,REGULAR,steal,,[],1626145,,,1610612763,7,16,2021-12-01T00:52:10Z,720000,,,0,,T. Jones STEAL (2 STL),[1626145],1610612763.0,MEM,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M30.00S,2021-12-01T00:52:17.4Z,1,REGULAR,foul,personal,[],1627783,,,1610612763,7,16,2021-12-01T00:52:53Z,730000,,,0,,P. Siakam personal FOUL (1 PF),"[1627783, 1629001]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,1179.0,1.0,0.0,Melton,1629001.0,,,,,,,,
75,PT05M30.00S,2021-12-01T00:52:25.7Z,1,REGULAR,substitution,out,[],1629004,,,1610612763,7,16,2021-12-01T00:52:30Z,750000,,,0,,SUB out: S. Mykhailiuk,[1629004],1610612761.0,TOR,,,,Mykhailiuk,S. Mykhailiuk,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M30.00S,2021-12-01T00:52:25.7Z,1,REGULAR,substitution,in,[],1630625,,,1610612763,7,16,2021-12-01T00:52:30Z,760000,,,0,,SUB in: D. Banton,[1630625],1610612761.0,TOR,,,,Banton,D. Banton,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M23.00S,2021-12-01T00:52:50.0Z,1,REGULAR,turnover,3-second-violation,[],203500,,,1610612763,7,16,2021-12-01T00:53:01Z,770000,,,0,,S. Adams 3-second-violation TURNOVER (1 TO),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,,,1.0,1199.0,,,,,,,,,,,,
78,PT05M23.00S,2021-12-01T00:52:54.3Z,1,REGULAR,substitution,out,[],1630567,,,1610612761,7,16,2021-12-01T00:52:59Z,780000,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M23.00S,2021-12-01T00:52:54.3Z,1,REGULAR,substitution,in,[],1629139,,,1610612761,7,16,2021-12-01T00:52:59Z,790000,,,0,,SUB in: Y. Watanabe,[1629139],1610612761.0,TOR,,,,Watanabe,Y. Watanabe,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT04M59.00S,2021-12-01T00:53:33.6Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1627783,15.850854139290407,44.85294117647059,1610612761,9,16,2021-12-01T00:53:45Z,810000,26.0,96.0,1,left,P. Siakam 9' turnaround Hook (5 PTS),[1627783],1610612761.0,TOR,turnaround,,,Siakam,P. Siakam,,,,,9.99,Made,5.0,,,,,,,,,,,,,,,,,,
82,PT04M45.00S,2021-12-01T00:53:48.2Z,1,REGULAR,3pt,Jump Shot,[],1629001,74.19513797634691,84.55882352941177,1610612763,9,16,2021-12-01T00:53:55Z,820000,173.0,190.0,1,right,MISS D. Melton 25' 3PT,[1629001],1610612763.0,MEM,,,,Melton,D. Melton,,,,,25.69,Missed,,,,,,,,,,,,,,,,,,,
83,PT04M43.00S,2021-12-01T00:53:50.2Z,1,REGULAR,rebound,offensive,[],1630583,,,1610612763,9,16,2021-12-01T00:53:55Z,830000,,,0,,S. Aldama REBOUND (Off:1 Def:0),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,,,,82.0,1.0,0.0,1.0,,,,,,,,,,,,,,
84,PT04M40.00S,2021-12-01T00:53:53.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626145,94.1688567674113,96.56862745098039,1610612763,9,16,2021-12-01T00:53:59Z,840000,233.0,2.0,1,right,MISS T. Jones 3PT,[1626145],1610612763.0,MEM,,,,Jones,T. Jones,,,,,23.28,Missed,,,,,,,,,,,,,,,,,,,
85,PT04M40.00S,2021-12-01T00:53:53.3Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612761,9,16,2021-12-01T00:53:59Z,850000,,,0,,F. VanVleet REBOUND (Off:0 Def:1),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,84.0,1.0,1.0,0.0,,,,,,,,,,,,,,
86,PT04M30.00S,2021-12-01T00:54:02.3Z,1,REGULAR,2pt,Jump Shot,[],1627832,15.850854139290407,23.52941176470588,1610612761,11,16,2021-12-01T00:54:10Z,860000,132.0,96.0,1,left,F. VanVleet 16' pullup Jump Shot (4 PTS),[1627832],1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,16.38,Made,4.0,,,,,,,,,,,,,,,,,,
87,PT04M14.00S,2021-12-01T00:54:19.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203937,85.10183968462549,53.92156862745098,1610612763,11,16,2021-12-01T00:54:24Z,870000,20.0,88.0,1,right,MISS K. Anderson 8' driving floating Shot,[203937],1610612763.0,MEM,driving floating,,,Anderson,K. Anderson,,,,,8.97,Missed,,,,,,,,,,,,,,,,,,,
