actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,value
26,PT09M35.00S,2022-01-26T00:13:46.2Z,1,REGULAR,3pt,Jump Shot,[],1628998,25.312089356110377,16.666666666666664,1610612766,6,6,2022-01-26T00:13:51Z,260000,167.0,185.0,1,left,MISS C. Martin 24' 3PT,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,Missed,,24.93,,,,,,,,,,,,,
27,PT09M32.00S,2022-01-26T00:13:49.2Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612761,6,6,2022-01-26T00:13:51Z,270000,,,0,,P. Achiuwa REBOUND (Off:2 Def:1),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,26.0,3.0,1.0,2.0,,,
28,PT09M25.00S,2022-01-26T00:13:59.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612761,6,6,2022-01-26T00:13:59Z,280000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT09M16.00S,2022-01-26T00:14:21.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630173,88.12417871222075,46.81372549019608,1610612761,6,6,2022-01-26T00:14:30Z,290000,-16.0,59.0,1,right,MISS P. Achiuwa 6' driving DUNK,[1630173],1610612761.0,TOR,driving,,,Achiuwa,P. Achiuwa,,,,,,,,,,Missed,,6.12,,,,,,,,,,,,,
31,PT09M16.00S,2022-01-26T00:14:21.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612761,6,6,2022-01-26T00:14:30Z,310000,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,
32,PT09M16.00S,2022-01-26T00:14:28.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612761,6,6,2022-01-26T00:14:28Z,320000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,PT09M12.00S,2022-01-26T00:14:43.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629018,72.48685939553219,15.931372549019606,1610612761,9,6,2022-01-26T00:14:54Z,330000,-170.0,206.0,1,right,G. Trent Jr. 26' 3PT  (3 PTS) (O. Anunoby 1 AST),"[1629018, 1628384]",1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,Made,3.0,26.74,O. Anunoby,1628384.0,1.0,,,,,,,,,,
35,PT09M00.00S,2022-01-26T00:14:56.3Z,1,REGULAR,3pt,Jump Shot,[],1628970,29.911300919842315,74.50980392156863,1610612766,9,6,2022-01-26T00:15:01Z,350000,-123.0,229.0,1,left,MISS M. Bridges 25' 3PT,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,Missed,,25.94,,,,,,,,,,,,,
36,PT08M57.00S,2022-01-26T00:14:59.3Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612761,9,6,2022-01-26T00:15:01Z,360000,,,0,,O. Anunoby REBOUND (Off:0 Def:1),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,35.0,1.0,1.0,0.0,,,
37,PT08M51.00S,2022-01-26T00:15:04.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628384,92.32917214191852,44.36274509803921,1610612761,11,6,2022-01-26T00:15:10Z,370000,-28.0,20.0,1,right,O. Anunoby running Layup (2 PTS),[1628384],1610612761.0,TOR,running,,,Anunoby,O. Anunoby,,,,,,,,,,Made,2.0,3.43,,,,,,,,,,,,,
38,PT08M35.00S,2022-01-26T00:15:23.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612766,11,6,2022-01-26T00:15:23Z,380000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PT08M33.00S,2022-01-26T00:15:36.3Z,1,REGULAR,3pt,Jump Shot,[],1626179,9.149145860709593,95.58823529411765,1610612766,11,9,2022-01-26T00:15:41Z,390000,-228.0,34.0,1,left,T. Rozier 3PT  (5 PTS) (L. Ball 2 AST),"[1626179, 1630163]",1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,Made,5.0,23.03,L. Ball,1630163.0,2.0,,,,,,,,,,
42,PT08M16.00S,2022-01-26T00:15:53.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,88.25558475689881,47.794117647058826,1610612761,13,9,2022-01-26T00:16:00Z,410000,-11.0,58.0,1,right,P. Siakam finger roll Layup (6 PTS),[1627783],1610612761.0,TOR,finger roll,,,Siakam,P. Siakam,,,,,,,,,,Made,6.0,5.89,,,,,,,,,,,,,
43,PT07M59.00S,2022-01-26T00:16:10.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630163,15.456636005256241,48.529411764705884,1610612766,13,11,2022-01-26T00:16:18Z,420000,7.0,93.0,1,left,L. Ball 9' driving floating Jump Shot (2 PTS) (T. Rozier 1 AST),"[1630163, 1626179]",1610612766.0,CHA,driving floating,,,Ball,L. Ball,,,,,,,,,,Made,2.0,9.31,T. Rozier,1626179.0,1.0,,,,,,,,,,
45,PT07M41.00S,2022-01-26T00:16:28.8Z,1,REGULAR,3pt,Jump Shot,[],1628384,72.35545335085413,20.34313725490196,1610612761,16,11,2022-01-26T00:16:34Z,440000,-148.0,207.0,1,right,O. Anunoby 25' 3PT  (5 PTS) (P. Siakam 2 AST),"[1628384, 1627783]",1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,Made,5.0,25.5,P. Siakam,1627783.0,2.0,,,,,,,,,,
47,PT07M33.00S,2022-01-26T00:16:38.6Z,1,REGULAR,turnover,out-of-bounds,[],1628970,,,1610612766,16,11,2022-01-26T00:16:46Z,460000,,,0,,M. Bridges lost ball out-of-bounds TURNOVER (1 TO),[1628970],1610612766.0,CHA,lost ball,,,Bridges,M. Bridges,,,,,203592.0,,,,,,,,,,,1.0,,,,,,,,,
48,PT07M20.00S,2022-01-26T00:16:59.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627783,83.78777923784494,39.705882352941174,1610612761,16,11,2022-01-26T00:17:16Z,470000,-51.0,100.0,1,right,MISS P. Siakam 11' turnaround Shot,[1627783],1610612761.0,TOR,turnaround,,,Siakam,P. Siakam,,,,,,,,,,Missed,,11.24,,,,,,,,,,,,,
49,PT07M19.00S,2022-01-26T00:17:00.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612766,16,11,2022-01-26T00:17:16Z,480000,,,0,,TEAM defensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,,,
50,PT07M19.00S,2022-01-26T00:17:04.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612766,16,11,2022-01-26T00:17:04Z,490000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M08.00S,2022-01-26T00:17:22.4Z,1,REGULAR,foul,personal,[],1629018,,,1610612766,16,11,2022-01-26T00:17:32Z,500000,,,0,,G. Trent Jr. personal FOUL (1 PF),"[1629018, 203486]",1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,201246.0,1.0,0.0,Plumlee,203486.0,,,,,,,,,,,,,,,,
53,PT07M00.00S,2022-01-26T00:17:48.1Z,1,REGULAR,foul,personal,['2freethrow'],1628449,,,1610612766,16,11,2022-01-26T00:17:54Z,520000,,,0,,C. Boucher shooting personal FOUL (1 PF) (Ball 2 FT),"[1628449, 1630163]",1610612761.0,TOR,shooting,,,Boucher,C. Boucher,,,,,1628487.0,1.0,0.0,Ball,1630163.0,,,,,,,,,,,,,,,,
55,PT07M00.00S,2022-01-26T00:18:13.7Z,1,REGULAR,freethrow,1 of 2,[],1630163,,,1610612766,16,12,2022-01-26T00:18:42Z,540000,,,0,,L. Ball Free Throw 1 of 2 (3 PTS),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
56,PT07M00.00S,2022-01-26T00:18:15.0Z,1,REGULAR,substitution,out,[],1628449,,,1610612766,16,12,2022-01-26T00:18:18Z,550000,,,0,,SUB out: C. Boucher,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M00.00S,2022-01-26T00:18:15.0Z,1,REGULAR,substitution,in,[],1630625,,,1610612766,16,12,2022-01-26T00:18:18Z,560000,,,0,,SUB in: D. Banton,[1630625],1610612761.0,TOR,,,,Banton,D. Banton,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M00.00S,2022-01-26T00:18:13.7Z,1,REGULAR,freethrow,2 of 2,[],1630163,,,1610612766,16,12,2022-01-26T00:18:42Z,570000,,,0,,MISS L. Ball Free Throw 2 of 2,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,Missed,,,,,,,,,,,,,,,
59,PT06M58.00S,2022-01-26T00:18:15.7Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612761,16,12,2022-01-26T00:18:42Z,580000,,,0,,P. Achiuwa REBOUND (Off:2 Def:2),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,58.0,4.0,2.0,2.0,,,
60,PT06M52.00S,2022-01-26T00:18:46.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629018,91.27792378449409,48.28431372549019,1610612761,18,12,2022-01-26T00:18:54Z,590000,-9.0,29.0,1,right,G. Trent Jr. driving Layup (5 PTS) (D. Banton 1 AST),"[1629018, 1630625]",1610612761.0,TOR,driving,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,Made,5.0,3.07,D. Banton,1630625.0,1.0,,,,,,,,,,
61,PT06M51.00S,2022-01-26T00:18:49.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,18,12,2022-01-26T00:18:49Z,600000,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M40.00S,2022-01-26T00:22:03.4Z,1,REGULAR,foul,personal,['2freethrow'],1630625,,,1610612766,18,12,2022-01-26T00:22:13Z,610000,,,0,,D. Banton shooting personal FOUL (1 PF) (Martin 2 FT),"[1630625, 1628998]",1610612761.0,TOR,shooting,,,Banton,D. Banton,,,,,201246.0,1.0,0.0,Martin,1628998.0,,,,,,,,,,,,,,,,
65,PT06M40.00S,2022-01-26T00:22:25.6Z,1,REGULAR,freethrow,1 of 2,[],1628998,,,1610612766,18,12,2022-01-26T00:22:42Z,630000,,,0,,MISS C. Martin Free Throw 1 of 2,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,Missed,,,,,,,,,,,,,,,
66,PT06M40.00S,2022-01-26T00:22:25.6Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612766,18,12,2022-01-26T00:22:42Z,640000,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,65.0,,,,,,
67,PT06M40.00S,2022-01-26T00:22:25.6Z,1,REGULAR,freethrow,2 of 2,[],1628998,,,1610612766,18,12,2022-01-26T00:22:42Z,650000,,,0,,MISS C. Martin Free Throw 2 of 2,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,Missed,,,,,,,,,,,,,,,
68,PT06M38.00S,2022-01-26T00:22:27.6Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,18,12,2022-01-26T00:22:42Z,660000,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,67.0,1.0,1.0,0.0,,,
69,PT06M23.00S,2022-01-26T00:22:55.6Z,1,REGULAR,3pt,Jump Shot,[],1629018,92.85479632063075,2.941176470588235,1610612761,21,12,2022-01-26T00:23:00Z,670000,-235.0,15.0,1,right,G. Trent Jr. 3PT  (8 PTS) (D. Banton 2 AST),"[1629018, 1630625]",1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,Made,8.0,23.58,D. Banton,1630625.0,2.0,,,,,,,,,,
71,PT06M10.00S,2022-01-26T00:23:08.8Z,1,REGULAR,3pt,Jump Shot,[],1630163,7.046649145860711,3.431372549019608,1610612766,21,12,2022-01-26T00:23:15Z,690000,233.0,14.0,1,left,MISS L. Ball 3PT,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,Missed,,23.32,,,,,,,,,,,,,
72,PT06M05.00S,2022-01-26T00:23:13.8Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,21,12,2022-01-26T00:23:15Z,700000,,,0,,P. Siakam REBOUND (Off:0 Def:2),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,71.0,2.0,2.0,0.0,,,
73,PT05M58.00S,2022-01-26T00:23:21.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628384,94.43166885676742,48.03921568627451,1610612761,23,12,2022-01-26T00:23:27Z,710000,-10.0,0.0,1,right,O. Anunoby reverse DUNK (7 PTS) (P. Siakam 3 AST),"[1628384, 1627783]",1610612761.0,TOR,reverse,,,Anunoby,O. Anunoby,,,,,,,,,,Made,7.0,0.98,P. Siakam,1627783.0,3.0,,,,,,,,,,
75,PT05M47.00S,2022-01-26T00:23:31.9Z,1,REGULAR,3pt,Jump Shot,[],1626179,26.888961892247043,84.55882352941177,1610612766,23,12,2022-01-26T00:23:37Z,730000,-173.0,200.0,1,left,MISS T. Rozier 26' 3PT,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,Missed,,26.45,,,,,,,,,,,,,
76,PT05M44.00S,2022-01-26T00:23:34.9Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,23,12,2022-01-26T00:23:37Z,740000,,,0,,P. Siakam REBOUND (Off:0 Def:3),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,75.0,3.0,3.0,0.0,,,
77,PT05M36.00S,2022-01-26T00:23:43.8Z,1,REGULAR,3pt,Jump Shot,[],1630625,94.30026281208936,3.1862745098039214,1610612761,26,12,2022-01-26T00:23:49Z,750000,-234.0,1.0,1,right,D. Banton 3PT  (3 PTS) (P. Achiuwa 1 AST),"[1630625, 1630173]",1610612761.0,TOR,,,,Banton,D. Banton,,,,,,,,,,Made,3.0,23.41,P. Achiuwa,1630173.0,1.0,,,,,,,,,,
79,PT05M24.00S,2022-01-26T00:23:57.0Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630625,,,1610612766,26,12,2022-01-26T00:24:04Z,770000,,,0,,D. Banton personal FOUL (2 PF) (Ball 2 FT),"[1630625, 1630163]",1610612761.0,TOR,,,,Banton,D. Banton,,,,,201246.0,2.0,0.0,Ball,1630163.0,,,,,,,,,,,,,,,,
81,PT05M24.00S,2022-01-26T00:24:15.0Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612766,26,12,2022-01-26T00:24:41Z,790000,,,0,,TEAM delay-of-game VIOLATION,[],1610612761.0,TOR,,,,,,,,,,201246.0,,,,,,,,,,,,,,,,,,,,
82,PT05M24.00S,2022-01-26T00:24:31.2Z,1,REGULAR,freethrow,1 of 2,[],1630163,,,1610612766,26,13,2022-01-26T00:24:31Z,800000,,,0,,L. Ball Free Throw 1 of 2 (4 PTS),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,
83,PT05M24.00S,2022-01-26T00:24:32.2Z,1,REGULAR,substitution,out,[],1628998,,,1610612766,26,13,2022-01-26T00:24:38Z,810000,,,0,,SUB out: C. Martin,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M24.00S,2022-01-26T00:24:32.2Z,1,REGULAR,substitution,out,[],203486,,,1610612766,26,13,2022-01-26T00:24:38Z,820000,,,0,,SUB out: M. Plumlee,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M24.00S,2022-01-26T00:24:32.2Z,1,REGULAR,substitution,in,[],1629023,,,1610612766,26,13,2022-01-26T00:24:38Z,830000,,,0,,SUB in: P. Washington,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M24.00S,2022-01-26T00:24:32.2Z,1,REGULAR,substitution,in,[],1626162,,,1610612766,26,13,2022-01-26T00:24:38Z,840000,,,0,,SUB in: K. Oubre Jr.,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M24.00S,2022-01-26T00:24:32.2Z,1,REGULAR,substitution,out,[],1630173,,,1610612766,26,13,2022-01-26T00:24:50Z,850000,,,0,,SUB out: P. Achiuwa,[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M24.00S,2022-01-26T00:24:32.2Z,1,REGULAR,substitution,in,[],1630551,,,1610612766,26,13,2022-01-26T00:24:50Z,860000,,,0,,SUB in: J. Champagnie,[1630551],1610612761.0,TOR,,,,Champagnie,J. Champagnie,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M24.00S,2022-01-26T00:25:05.6Z,1,REGULAR,freethrow,2 of 2,[],1630163,,,1610612766,26,14,2022-01-26T00:25:05Z,870000,,,0,,L. Ball Free Throw 2 of 2 (5 PTS),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,Made,5.0,,,,,,,,,,,,,,
90,PT05M09.00S,2022-01-26T00:25:22.0Z,1,REGULAR,3pt,Jump Shot,[],1627783,65.78515111695138,47.549019607843135,1610612761,29,14,2022-01-26T00:25:26Z,880000,-12.0,269.0,1,right,P. Siakam 26' 3PT  (9 PTS) (G. Trent Jr. 1 AST),"[1627783, 1629018]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,Made,9.0,26.94,G. Trent Jr.,1629018.0,1.0,,,,,,,,,,
92,PT04M53.00S,2022-01-26T00:25:38.7Z,1,REGULAR,3pt,Jump Shot,[],1626162,6.521024967148489,2.941176470588235,1610612766,29,14,2022-01-26T00:25:42Z,900000,235.0,9.0,1,left,MISS K. Oubre Jr. 3PT,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,Missed,,23.55,,,,,,,,,,,,,
93,PT04M50.00S,2022-01-26T00:25:41.7Z,1,REGULAR,rebound,defensive,[],1630551,,,1610612761,29,14,2022-01-26T00:25:42Z,910000,,,0,,J. Champagnie REBOUND (Off:0 Def:1),[1630551],1610612761.0,TOR,,,,Champagnie,J. Champagnie,,,,,,,,,,,,,,,,,,,92.0,1.0,1.0,0.0,,,
