actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value,blockPlayerName,blockPersonId
36,PT08M30.00S,2022-01-12T00:46:19.1Z,1,REGULAR,3pt,Jump Shot,[],1628384,31.488173455978973,73.0392156862745,1610612761,6,8,2022-01-12T00:46:23Z,360000,-115.0,243.0,1,left,MISS O. Anunoby 26' 3PT,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,26.94,Missed,,,,,,,,,,,,,,,
37,PT08M27.00S,2022-01-12T00:46:22.1Z,1,REGULAR,rebound,defensive,[],101108,,,1610612756,6,8,2022-01-12T00:46:23Z,370000,,,0,,C. Paul REBOUND (Off:0 Def:1),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,,,,,,36.0,1.0,1.0,0.0,,,,,,,
38,PT08M20.00S,2022-01-12T00:46:29.8Z,1,REGULAR,turnover,bad pass,[],101108,,,1610612756,6,8,2022-01-12T00:46:33Z,380000,,,0,,C. Paul bad pass TURNOVER (1 TO),"[101108, 203920]",1610612756.0,PHX,,,,Paul,C. Paul,,,,,1.0,Birch,203920.0,,,,,,,,,,,,,,,,,,
39,PT08M20.00S,2022-01-12T00:46:29.8Z,1,REGULAR,steal,,[],203920,,,1610612761,6,8,2022-01-12T00:46:31Z,390000,,,0,,K. Birch STEAL (1 STL),[203920],1610612761.0,TOR,,,,Birch,K. Birch,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT08M15.00S,2022-01-12T00:46:35.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628384,8.09789750328515,50.98039215686274,1610612761,8,8,2022-01-12T00:46:43Z,400000,-5.0,24.0,1,left,O. Anunoby running reverse DUNK (2 PTS) (P. Siakam 2 AST),"[1628384, 1627783]",1610612761.0,TOR,running reverse,,,Anunoby,O. Anunoby,,,,,,,,,2.41,Made,2.0,P. Siakam,1627783.0,2.0,,,,,,,,,,,
42,PT07M56.00S,2022-01-12T00:46:53.3Z,1,REGULAR,turnover,bad pass,[],1626164,,,1610612756,8,8,2022-01-12T00:49:42Z,420000,,,0,,D. Booker bad pass TURNOVER (1 TO),"[1626164, 1627783]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,1.0,Siakam,1627783.0,,,,,,,,,,,,,,,,,,
43,PT07M56.00S,2022-01-12T00:46:53.3Z,1,REGULAR,steal,,[],1627783,,,1610612761,8,8,2022-01-12T00:46:55Z,430000,,,0,,P. Siakam STEAL (1 STL),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT07M43.00S,2022-01-12T00:47:06.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628384,31.488173455978973,75.24509803921569,1610612761,11,8,2022-01-12T00:47:11Z,440000,-126.0,243.0,1,left,O. Anunoby 27' 3PT pullup (5 PTS),[1628384],1610612761.0,TOR,pullup,,,Anunoby,O. Anunoby,,,,,,,,,27.43,Made,5.0,,,,,,,,,,,,,,
45,PT07M33.00S,2022-01-12T00:47:17.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],101108,93.77463863337714,62.5,1610612756,11,10,2022-01-12T00:47:22Z,450000,62.0,6.0,1,right,C. Paul 6' fadeaway Jump Shot (2 PTS),[101108],1610612756.0,PHX,fadeaway,,,Paul,C. Paul,,,,,,,,,6.28,Made,2.0,,,,,,,,,,,,,,
46,PT07M16.00S,2022-01-12T00:47:33.0Z,1,REGULAR,3pt,Jump Shot,[],1627832,31.61957950065703,24.754901960784316,1610612761,14,10,2022-01-12T00:47:37Z,460000,126.0,245.0,1,left,F. VanVleet 27' 3PT  (3 PTS) (P. Siakam 3 AST),"[1627832, 1627783]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,27.53,Made,3.0,P. Siakam,1627783.0,3.0,,,,,,,,,,,
48,PT06M55.00S,2022-01-12T00:47:54.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628969,91.01511169513797,58.57843137254902,1610612756,14,12,2022-01-12T00:48:01Z,480000,43.0,32.0,1,right,M. Bridges fadeaway Jump Shot (4 PTS) (D. Booker 2 AST),"[1628969, 1626164]",1610612756.0,PHX,fadeaway,,,Bridges,M. Bridges,,,,,,,,,5.35,Made,4.0,D. Booker,1626164.0,2.0,,,,,,,,,,,
50,PT06M31.00S,2022-01-12T00:48:18.4Z,1,REGULAR,2pt,Jump Shot,[],1627832,9.149145860709593,84.06862745098039,1610612761,16,12,2022-01-12T00:48:24Z,500000,-170.0,34.0,1,left,F. VanVleet 17' step back Jump Shot (5 PTS) (K. Birch 1 AST),"[1627832, 203920]",1610612761.0,TOR,step back,,,VanVleet,F. VanVleet,,,,,,,,,17.36,Made,5.0,K. Birch,203920.0,1.0,,,,,,,,,,,
52,PT06M30.00S,2022-01-12T00:48:25.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612756,16,12,2022-01-12T00:48:25Z,520000,,,0,,PHX Timeout,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT06M30.00S,2022-01-12T00:49:50.7Z,1,REGULAR,substitution,out,[],1629139,,,1610612756,16,12,2022-01-12T00:51:11Z,530000,,,0,,SUB out: Y. Watanabe,[1629139],1610612761.0,TOR,,,,Watanabe,Y. Watanabe,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT06M30.00S,2022-01-12T00:49:50.7Z,1,REGULAR,substitution,in,[],1628449,,,1610612756,16,12,2022-01-12T00:51:11Z,540000,,,0,,SUB in: C. Boucher,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M19.00S,2022-01-12T00:51:25.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203109,83.39356110381078,35.78431372549019,1610612756,16,12,2022-01-12T00:52:08Z,550000,-71.0,104.0,1,right,MISS J. Crowder 12' Jump Shot,[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,12.57,Missed,,,,,,,,,,,,,,,
56,PT06M16.00S,2022-01-12T00:51:28.8Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612761,16,12,2022-01-12T00:51:31Z,560000,,,0,,O. Anunoby REBOUND (Off:0 Def:1),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,55.0,1.0,1.0,0.0,,,,,,,
57,PT06M00.00S,2022-01-12T00:51:45.0Z,1,REGULAR,turnover,bad pass,[],1627832,,,1610612761,16,12,2022-01-12T00:51:52Z,570000,,,0,,F. VanVleet bad pass TURNOVER (1 TO),"[1627832, 101108]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,1.0,Paul,101108.0,,,,,,,,,,,,,,,,,,
58,PT06M00.00S,2022-01-12T00:51:45.0Z,1,REGULAR,steal,,[],101108,,,1610612756,16,12,2022-01-12T00:51:47Z,580000,,,0,,C. Paul STEAL (1 STL),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT05M48.00S,2022-01-12T00:51:56.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],101108,90.3580814717477,83.33333333333334,1610612756,16,14,2022-01-12T00:53:26Z,590000,167.0,38.0,1,right,C. Paul 17' pullup Jump Shot (4 PTS),[101108],1610612756.0,PHX,pullup,,,Paul,C. Paul,,,,,,,,,17.1,Made,4.0,,,,,,,,,,,,,,
60,PT05M32.00S,2022-01-12T00:52:13.3Z,1,REGULAR,2pt,Jump Shot,[],1628384,23.866622864651774,27.696078431372552,1610612761,16,14,2022-01-12T00:52:19Z,600000,112.0,172.0,1,left,MISS O. Anunoby 20' Jump Shot,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,20.48,Missed,,,,,,,,,,,,,,,
61,PT05M32.00S,2022-01-12T00:52:13.3Z,1,REGULAR,rebound,defensive,[],203109,,,1610612756,16,14,2022-01-12T00:52:19Z,610000,,,0,,J. Crowder REBOUND (Off:0 Def:1),[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,60.0,1.0,1.0,0.0,,,,,,,
62,PT05M25.00S,2022-01-12T00:52:22.6Z,1,REGULAR,foul,personal,['2freethrow'],1628449,,,1610612756,16,14,2022-01-12T00:52:45Z,620000,,,0,,C. Boucher shooting personal FOUL (1 PF) (Ayton 2 FT),"[1628449, 1629028]",1610612761.0,TOR,shooting,,,Boucher,C. Boucher,,,,,,,,1179.0,,,,,,,,,,,1.0,0.0,Ayton,1629028.0,,,
64,PT05M25.00S,2022-01-12T00:52:51.6Z,1,REGULAR,freethrow,1 of 2,[],1629028,,,1610612756,16,15,2022-01-12T00:52:51Z,640000,,,0,,D. Ayton Free Throw 1 of 2 (3 PTS),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
65,PT05M25.00S,2022-01-12T00:53:04.9Z,1,REGULAR,freethrow,2 of 2,[],1629028,,,1610612756,16,16,2022-01-12T00:53:04Z,650000,,,0,,D. Ayton Free Throw 2 of 2 (4 PTS),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,
66,PT05M06.00S,2022-01-12T00:53:26.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628449,7.30946123521682,48.77450980392157,1610612761,18,16,2022-01-12T00:53:31Z,660000,6.0,16.0,1,left,C. Boucher cutting Layup (2 PTS) (O. Anunoby 1 AST),"[1628449, 1628384]",1610612761.0,TOR,cutting,,,Boucher,C. Boucher,,,,,,,,,1.73,Made,2.0,O. Anunoby,1628384.0,1.0,,,,,,,,,,,
68,PT04M52.00S,2022-01-12T00:53:38.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629028,90.62089356110381,50.245098039215684,1610612756,18,16,2022-01-12T00:53:43Z,680000,1.0,36.0,1,right,MISS D. Ayton turnaround Hook,[1629028],1610612756.0,PHX,turnaround,,,Ayton,D. Ayton,,,,,,,,,3.57,Missed,,,,,,,,,,,,,,,
69,PT04M50.00S,2022-01-12T00:53:40.7Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,18,16,2022-01-12T00:53:43Z,690000,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,68.0,1.0,1.0,0.0,,,,,,,
70,PT04M47.00S,2022-01-12T00:53:44.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627783,32.276609724047304,30.14705882352941,1610612761,18,16,2022-01-12T00:53:51Z,700000,99.0,251.0,1,left,MISS P. Siakam 26' running pullup 3PT,[1627783],1610612761.0,TOR,running pullup,,,Siakam,P. Siakam,,,,,,,,,26.98,Missed,,,,,,,,,,,,,,,
71,PT04M44.00S,2022-01-12T00:53:47.5Z,1,REGULAR,rebound,offensive,[],203920,,,1610612761,18,16,2022-01-12T00:53:47Z,710000,,,0,,K. Birch REBOUND (Off:2 Def:2),[203920],1610612761.0,TOR,,,,Birch,K. Birch,,,,,,,,,,,,,,,70.0,4.0,2.0,2.0,,,,,,,
72,PT04M42.00S,2022-01-12T00:53:49.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628384,33.065045992115635,67.8921568627451,1610612761,18,16,2022-01-12T00:53:54Z,720000,-89.0,258.0,1,left,MISS O. Anunoby 27' 3PT,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,27.34,Missed,,,,,,,,,,,,,,,
73,PT04M42.00S,2022-01-12T00:53:49.3Z,1,REGULAR,rebound,defensive,[],101108,,,1610612756,18,16,2022-01-12T00:53:54Z,730000,,,0,,C. Paul REBOUND (Off:0 Def:2),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,,,,,,72.0,2.0,2.0,0.0,,,,,,,
74,PT04M35.00S,2022-01-12T00:53:56.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],101108,67.09921156373193,51.71568627450981,1610612756,18,16,2022-01-12T00:54:02Z,740000,9.0,257.0,1,right,MISS C. Paul 25' running pullup 3PT,[101108],1610612756.0,PHX,running pullup,,,Paul,C. Paul,,,,,,,,,25.69,Missed,,,,,,,,,,,,,,,
75,PT04M32.00S,2022-01-12T00:53:59.1Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612761,18,16,2022-01-12T00:54:02Z,750000,,,0,,F. VanVleet REBOUND (Off:0 Def:1),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,74.0,1.0,1.0,0.0,,,,,,,
76,PT04M27.00S,2022-01-12T00:54:04.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627832,33.722076215505915,60.78431372549019,1610612761,21,16,2022-01-12T00:54:11Z,760000,-54.0,264.0,1,left,F. VanVleet 26' 3PT running pullup (8 PTS),[1627832],1610612761.0,TOR,running pullup,,,VanVleet,F. VanVleet,,,,,,,,,26.99,Made,8.0,,,,,,,,,,,,,,
77,PT04M06.00S,2022-01-12T00:54:26.4Z,1,REGULAR,3pt,Jump Shot,[],203109,70.51576872536137,75.49019607843137,1610612756,21,16,2022-01-12T00:54:35Z,770000,127.0,225.0,1,right,MISS J. Crowder 25' 3PT,[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,25.84,Missed,,,,,,,,,,,,,,,
78,PT04M03.00S,2022-01-12T00:54:29.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612761,21,16,2022-01-12T00:54:35Z,780000,,,0,,TEAM defensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,77.0,,,,,,,,,,
79,PT04M03.00S,2022-01-12T00:54:31.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612761,21,16,2022-01-12T00:54:31Z,790000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT04M03.00S,2022-01-12T00:54:31.9Z,1,REGULAR,substitution,out,[],1628384,,,1610612761,21,16,2022-01-12T00:54:53Z,800000,,,0,,SUB out: O. Anunoby,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT04M03.00S,2022-01-12T00:54:31.9Z,1,REGULAR,substitution,out,[],203920,,,1610612761,21,16,2022-01-12T00:54:53Z,810000,,,0,,SUB out: K. Birch,[203920],1610612761.0,TOR,,,,Birch,K. Birch,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M03.00S,2022-01-12T00:54:31.9Z,1,REGULAR,substitution,out,[],101108,,,1610612761,21,16,2022-01-12T00:54:53Z,820000,,,0,,SUB out: C. Paul,[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M03.00S,2022-01-12T00:54:31.9Z,1,REGULAR,substitution,out,[],1629028,,,1610612761,21,16,2022-01-12T00:54:53Z,830000,,,0,,SUB out: D. Ayton,[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M03.00S,2022-01-12T00:54:31.9Z,1,REGULAR,substitution,in,[],1629004,,,1610612761,21,16,2022-01-12T00:54:53Z,840000,,,0,,SUB in: S. Mykhailiuk,[1629004],1610612761.0,TOR,,,,Mykhailiuk,S. Mykhailiuk,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M03.00S,2022-01-12T00:54:31.9Z,1,REGULAR,substitution,in,[],1630173,,,1610612761,21,16,2022-01-12T00:54:53Z,850000,,,0,,SUB in: P. Achiuwa,[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M03.00S,2022-01-12T00:54:31.9Z,1,REGULAR,substitution,in,[],1626166,,,1610612761,21,16,2022-01-12T00:54:53Z,860000,,,0,,SUB in: C. Payne,[1626166],1610612756.0,PHX,,,,Payne,C. Payne,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M03.00S,2022-01-12T00:54:31.9Z,1,REGULAR,substitution,in,[],201580,,,1610612761,21,16,2022-01-12T00:54:53Z,870000,,,0,,SUB in: J. McGee,[201580],1610612756.0,PHX,,,,McGee,J. McGee,,,,,,,,,,,,,,,,,,,,,,,,,
