actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
15,PT11M08.00S,2021-12-14T00:11:25.1Z,1,REGULAR,block,,[],1630567,,,1610612758,0,0,2021-12-14T00:11:27Z,150000,,,0,,S. Barnes BLOCK (1 BLK),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,
16,PT11M04.00S,2021-12-14T00:11:29.1Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,0,0,2021-12-14T00:11:29Z,160000,,,0,,P. Siakam REBOUND (Off:0 Def:2),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,14.0,2.0,2.0,0.0,,,,,,,,,,,,,,
17,PT11M03.00S,2021-12-14T00:11:30.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627783,94.43166885676742,49.26470588235294,1610612761,2,0,2021-12-14T00:11:36Z,170000,-4.0,0.0,1,right,P. Siakam running Layup (2 PTS),[1627783],1610612761.0,TOR,running,,,Siakam,P. Siakam,,,,,0.37,Made,,,,,,,2.0,,,,,,,,,,,
18,PT10M41.00S,2021-12-14T00:11:51.5Z,1,REGULAR,2pt,Jump Shot,[],1628368,12.434296977660972,69.85294117647058,1610612758,2,0,2021-12-14T00:11:57Z,180000,-99.0,64.0,1,left,MISS D. Fox 11' pullup Shot,[1628368],1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,11.84,Missed,,,,,,,,,,,,,,,,,,
19,PT10M38.00S,2021-12-14T00:11:54.5Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612761,2,0,2021-12-14T00:11:57Z,190000,,,0,,F. VanVleet REBOUND (Off:0 Def:1),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,
20,PT10M31.00S,2021-12-14T00:12:01.8Z,1,REGULAR,turnover,lost ball,[],1627832,,,1610612761,2,0,2021-12-14T00:12:06Z,200000,,,0,,F. VanVleet lost ball TURNOVER (1 TO),"[1627832, 1628368]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,1.0,Fox,1628368.0,,,,,,,,
21,PT10M31.00S,2021-12-14T00:12:01.8Z,1,REGULAR,steal,,[],1628368,,,1610612758,2,0,2021-12-14T00:16:12Z,210000,,,0,,D. Fox STEAL (1 STL),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,,,,,,,
82,PT10M19.00S,2021-12-14T00:12:17.7Z,1,REGULAR,turnover,lost ball,[],203084,,,1610612758,2,0,2021-12-14T00:22:43Z,245000,,,0,,H. Barnes lost ball TURNOVER (1 TO),"[203084, 1629018]",1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,,,1.0,Trent Jr.,1629018.0,,,,,,,,
83,PT10M19.00S,2021-12-14T00:12:17.7Z,1,REGULAR,steal,,[],1629018,,,1610612761,2,0,2021-12-14T00:22:43Z,247500,,,0,,G. Trent Jr. STEAL (1 STL),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,
25,PT10M12.00S,2021-12-14T00:12:21.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1628449,93.11760840998686,47.30392156862745,1610612761,4,0,2021-12-14T00:22:43Z,250000,-13.0,12.0,1,right,C. Boucher Layup (2 PTS) (S. Barnes 1 AST),"[1628449, 1630567]",1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,1.82,Made,,,,,,,2.0,,,,S. Barnes,1630567.0,1.0,,,,,
27,PT09M55.00S,2021-12-14T00:12:38.4Z,1,REGULAR,turnover,lost ball,[],1629002,,,1610612758,4,0,2021-12-14T00:12:42Z,270000,,,0,,C. Metu lost ball TURNOVER (1 TO),"[1629002, 1629018]",1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,,,,,,,,1.0,Trent Jr.,1629018.0,,,,,,,,
28,PT09M55.00S,2021-12-14T00:12:38.4Z,1,REGULAR,steal,,[],1629018,,,1610612761,4,0,2021-12-14T00:29:10Z,280000,,,0,,G. Trent Jr. STEAL (2 STL),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,
29,PT09M49.00S,2021-12-14T00:12:44.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630567,94.56307490144546,44.6078431372549,1610612761,6,0,2021-12-14T00:12:50Z,290000,-27.0,-1.0,1,right,S. Barnes running Layup (2 PTS),[1630567],1610612761.0,TOR,running,,,Barnes,S. Barnes,,,,,2.7,Made,,,,,,,2.0,,,,,,,,,,,
30,PT09M43.00S,2021-12-14T00:12:53.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,6,0,2021-12-14T00:12:53Z,300000,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,PT09M32.00S,2021-12-14T00:15:54.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203084,12.171484888304862,41.66666666666667,1610612758,6,0,2021-12-14T00:16:02Z,310000,42.0,62.0,1,left,MISS H. Barnes 7' driving floating Shot,[203084],1610612758.0,SAC,driving floating,,,Barnes,H. Barnes,,,,,7.46,Missed,,,,,,,,,,,,,,,,,,
32,PT09M32.00S,2021-12-14T00:15:54.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612761,6,0,2021-12-14T00:16:02Z,320000,,,0,,TEAM defensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,
33,PT09M32.00S,2021-12-14T00:15:57.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612761,6,0,2021-12-14T00:15:57Z,330000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT09M16.00S,2021-12-14T00:16:16.7Z,1,REGULAR,2pt,Jump Shot,[],1627783,78.13731931668858,66.91176470588235,1610612761,6,0,2021-12-14T00:16:24Z,340000,85.0,153.0,1,right,MISS P. Siakam 17' pullup Shot,[1627783],1610612761.0,TOR,pullup,,,Siakam,P. Siakam,,,,,17.48,Missed,,,,,,,,,,,,,,,,,,
35,PT09M15.00S,2021-12-14T00:16:17.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612761,6,0,2021-12-14T00:17:37Z,350000,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,
74,PT09M15.00S,2021-12-14T00:16:28.8Z,1,REGULAR,turnover,illegal assist,[],1628449,,,1610612761,6,0,2021-12-14T00:21:30Z,355000,,,0,,C. Boucher illegal assist TURNOVER (1 TO),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,,,,,,,,1.0,,,,,,1201.0,,,,
36,PT09M04.00S,2021-12-14T00:16:40.9Z,1,REGULAR,turnover,out-of-bounds,[],1630169,,,1610612758,6,0,2021-12-14T00:23:57Z,360000,,,0,,T. Haliburton bad pass out-of-bounds TURNOVER (1 TO),[1630169],1610612758.0,SAC,bad pass,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,1.0,,,,,,1201.0,,,,
37,PT08M46.00S,2021-12-14T00:17:08.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629018,75.90341655716163,44.85294117647059,1610612761,8,0,2021-12-14T00:17:14Z,370000,-26.0,174.0,1,right,G. Trent Jr. 17' pullup Jump Shot (2 PTS),[1629018],1610612761.0,TOR,pullup,,,Trent Jr.,G. Trent Jr.,,,,,17.59,Made,,,,,,,2.0,,,,,,,,,,,
38,PT08M33.00S,2021-12-14T00:17:23.7Z,1,REGULAR,turnover,out-of-bounds,[],1629002,,,1610612758,8,0,2021-12-14T00:17:31Z,380000,,,0,,C. Metu lost ball out-of-bounds TURNOVER (2 TO),[1629002],1610612758.0,SAC,lost ball,,,Metu,C. Metu,,,,,,,,,,,,,,2.0,,,,,,203177.0,,,,
39,PT08M29.00S,2021-12-14T00:17:32.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628449,93.38042049934296,46.07843137254902,1610612761,10,0,2021-12-14T00:17:40Z,390000,-20.0,10.0,1,right,C. Boucher reverse Layup (4 PTS) (F. VanVleet 1 AST),"[1628449, 1627832]",1610612761.0,TOR,reverse,,,Boucher,C. Boucher,,,,,2.19,Made,,,,,,,4.0,,,,F. VanVleet,1627832.0,1.0,,,,,
41,PT08M29.00S,2021-12-14T00:17:35.9Z,1,REGULAR,foul,personal,['1freethrow'],203458,,,1610612761,10,0,2021-12-14T00:17:43Z,410000,,,0,,A. Len shooting personal FOUL (1 PF) (Boucher 1 FT),"[203458, 1628449]",1610612758.0,SAC,shooting,,,Len,A. Len,,,,,,,,,,,,,,,,,,,,1201.0,1.0,0.0,Boucher,1628449.0
43,PT08M29.00S,2021-12-14T00:17:55.2Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1628449,,,1610612761,11,0,2021-12-14T00:17:55Z,430000,,,0,,C. Boucher Free Throw 1 of 1 (5 PTS),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,Made,,,,,,,5.0,,,,,,,,,,,
44,PT08M09.00S,2021-12-14T00:18:14.3Z,1,REGULAR,2pt,Jump Shot,[],1628368,25.57490144546649,31.862745098039213,1610612758,11,2,2021-12-14T00:18:19Z,440000,91.0,188.0,1,left,D. Fox 20' pullup Jump Shot (2 PTS) (C. Metu 1 AST),"[1628368, 1629002]",1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,20.86,Made,,,,,,,2.0,,,,C. Metu,1629002.0,1.0,,,,,
46,PT07M45.00S,2021-12-14T00:18:39.2Z,1,REGULAR,3pt,Jump Shot,[],1629018,94.56307490144546,96.07843137254902,1610612761,11,2,2021-12-14T00:18:46Z,460000,230.0,-1.0,1,right,MISS G. Trent Jr. step back 3PT - blocked,"[1629018, 1630169]",1610612761.0,TOR,step back,,,Trent Jr.,G. Trent Jr.,,,,,23.04,Missed,,,,,Haliburton,1630169.0,,,,,,,,,,,,
47,PT07M45.00S,2021-12-14T00:18:39.2Z,1,REGULAR,block,,[],1630169,,,1610612761,11,2,2021-12-14T00:18:41Z,470000,,,0,,T. Haliburton BLOCK (1 BLK),[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,
48,PT07M42.00S,2021-12-14T00:18:42.2Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,11,2,2021-12-14T00:18:46Z,480000,,,0,,H. Barnes REBOUND (Off:0 Def:1),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,46.0,1.0,1.0,0.0,,,,,,,,,,,,,,
49,PT07M37.00S,2021-12-14T00:18:47.1Z,1,REGULAR,2pt,Jump Shot,[],1628368,9.411957950065702,77.45098039215686,1610612758,11,4,2021-12-14T00:18:55Z,490000,-137.0,36.0,1,left,D. Fox 14' pullup Jump Shot (4 PTS) (T. Haliburton 1 AST),"[1628368, 1630169]",1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,14.19,Made,,,,,,,4.0,,,,T. Haliburton,1630169.0,1.0,,,,,
51,PT07M19.00S,2021-12-14T00:19:04.4Z,1,REGULAR,3pt,Jump Shot,[],1627783,78.66294349540078,91.66666666666666,1610612761,11,4,2021-12-14T00:19:09Z,510000,208.0,148.0,1,right,MISS P. Siakam 25' 3PT,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,25.56,Missed,,,,,,,,,,,,,,,,,,
52,PT07M16.00S,2021-12-14T00:19:07.4Z,1,REGULAR,rebound,defensive,[],1630169,,,1610612758,11,4,2021-12-14T00:19:09Z,520000,,,0,,T. Haliburton REBOUND (Off:0 Def:1),[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,51.0,1.0,1.0,0.0,,,,,,,,,,,,,,
53,PT07M14.00S,2021-12-14T00:19:09.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1629002,7.30946123521682,50.98039215686274,1610612758,11,6,2021-12-14T00:19:16Z,530000,-5.0,16.0,1,left,C. Metu running DUNK (2 PTS) (T. Haliburton 2 AST),"[1629002, 1630169]",1610612758.0,SAC,running,,,Metu,C. Metu,,,,,1.69,Made,,,,,,,2.0,,,,T. Haliburton,1630169.0,2.0,,,,,
55,PT07M05.00S,2021-12-14T00:19:18.7Z,1,REGULAR,3pt,Jump Shot,[],1627832,76.2976346911958,88.97058823529412,1610612761,11,6,2021-12-14T00:19:24Z,550000,195.0,170.0,1,right,MISS F. VanVleet 25' pullup 3PT,[1627832],1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,25.88,Missed,,,,,,,,,,,,,,,,,,
56,PT07M02.00S,2021-12-14T00:19:21.7Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,11,6,2021-12-14T00:19:24Z,560000,,,0,,H. Barnes REBOUND (Off:0 Def:2),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,55.0,2.0,2.0,0.0,,,,,,,,,,,,,,
57,PT06M52.00S,2021-12-14T00:19:33.4Z,1,REGULAR,foul,personal,[],1629018,,,1610612758,11,6,2021-12-14T00:19:57Z,570000,,,0,,G. Trent Jr. personal FOUL (1 PF),"[1629018, 1629002]",1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,101284.0,1.0,0.0,Metu,1629002.0
59,PT06M52.00S,2021-12-14T00:19:39.6Z,1,REGULAR,substitution,out,[],1630169,,,1610612758,11,6,2021-12-14T00:19:45Z,590000,,,0,,SUB out: T. Haliburton,[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M52.00S,2021-12-14T00:19:39.6Z,1,REGULAR,substitution,out,[],1629002,,,1610612758,11,6,2021-12-14T00:19:45Z,600000,,,0,,SUB out: C. Metu,[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M52.00S,2021-12-14T00:19:39.6Z,1,REGULAR,substitution,in,[],1628963,,,1610612758,11,6,2021-12-14T00:19:45Z,610000,,,0,,SUB in: M. Bagley III,[1628963],1610612758.0,SAC,,,,Bagley III,M. Bagley III,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M52.00S,2021-12-14T00:19:39.6Z,1,REGULAR,substitution,in,[],1627741,,,1610612758,11,6,2021-12-14T00:19:45Z,620000,,,0,,SUB in: B. Hield,[1627741],1610612758.0,SAC,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M37.00S,2021-12-14T00:20:12.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628368,12.565703022339028,41.66666666666667,1610612758,11,6,2021-12-14T00:27:24Z,630000,42.0,66.0,1,left,MISS D. Fox 7' driving floating Shot,[1628368],1610612758.0,SAC,driving floating,,,Fox,D. Fox,,,,,7.77,Missed,,,,,,,,,,,,,,,,,,
64,PT06M37.00S,2021-12-14T00:20:12.6Z,1,REGULAR,rebound,offensive,[],203458,,,1610612758,11,6,2021-12-14T00:27:24Z,640000,,,0,,A. Len REBOUND (Off:2 Def:0),[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,,63.0,2.0,0.0,2.0,,,,,,,,,,,,,,
65,PT06M37.00S,2021-12-14T00:20:16.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203458,7.178055190538765,55.88235294117647,1610612758,11,8,2021-12-14T00:20:56Z,650000,-29.0,15.0,1,left,A. Len putback Layup (2 PTS),[203458],1610612758.0,SAC,putback,,,Len,A. Len,,,,,3.3,Made,,,,,,,2.0,,,,,,,,,,,
66,PT06M37.00S,2021-12-14T00:20:19.4Z,1,REGULAR,foul,personal,['1freethrow'],1627832,,,1610612758,11,8,2021-12-14T00:20:34Z,660000,,,0,,F. VanVleet shooting personal FOUL (1 PF) (Len 1 FT),"[1627832, 203458]",1610612761.0,TOR,shooting,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,203177.0,1.0,0.0,Len,203458.0
68,PT06M37.00S,2021-12-14T00:20:49.1Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],203458,,,1610612758,11,8,2021-12-14T00:20:49Z,680000,,,0,,MISS A. Len Free Throw 1 of 1,[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,Missed,,,,,,,,,,,,,,,,,,
69,PT06M35.00S,2021-12-14T00:20:50.0Z,1,REGULAR,rebound,defensive,[],1628449,,,1610612761,11,8,2021-12-14T00:20:50Z,690000,,,0,,C. Boucher REBOUND (Off:0 Def:1),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,68.0,1.0,1.0,0.0,,,,,,,,,,,,,,
70,PT06M14.00S,2021-12-14T00:21:11.2Z,1,REGULAR,2pt,Jump Shot,[],1627832,92.72339027595268,19.607843137254903,1610612761,11,8,2021-12-14T00:21:16Z,700000,-152.0,16.0,1,right,MISS F. VanVleet 15' pullup Shot,[1627832],1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,15.28,Missed,,,,,,,,,,,,,,,,,,
71,PT06M11.00S,2021-12-14T00:21:14.2Z,1,REGULAR,rebound,defensive,[],1628963,,,1610612758,11,8,2021-12-14T00:21:16Z,710000,,,0,,M. Bagley III REBOUND (Off:0 Def:1),[1628963],1610612758.0,SAC,,,,Bagley III,M. Bagley III,,,,,,,70.0,1.0,1.0,0.0,,,,,,,,,,,,,,
72,PT05M59.00S,2021-12-14T00:21:25.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203084,7.046649145860711,45.09803921568628,1610612758,11,8,2021-12-14T00:21:31Z,720000,25.0,14.0,1,left,MISS H. Barnes driving reverse Layup,[203084],1610612758.0,SAC,driving reverse,,,Barnes,H. Barnes,,,,,2.81,Missed,,,,,,,,,,,,,,,,,,
73,PT05M59.00S,2021-12-14T00:21:29.5Z,1,REGULAR,rebound,offensive,[],203458,,,1610612758,11,8,2021-12-14T00:21:29Z,730000,,,0,,A. Len REBOUND (Off:3 Def:0),[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,,72.0,3.0,0.0,3.0,,,,,,,,,,,,,,
75,PT05M59.00S,2021-12-14T00:21:31.5Z,1,REGULAR,foul,personal,['2freethrow'],1628449,,,1610612758,11,8,2021-12-14T00:21:37Z,740000,,,0,,C. Boucher shooting personal FOUL (1 PF) (Len 2 FT),"[1628449, 203458]",1610612761.0,TOR,shooting,,,Boucher,C. Boucher,,,,,,,,,,,,,,,,,,,,1201.0,1.0,0.0,Len,203458.0
77,PT05M59.00S,2021-12-14T00:21:51.4Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203458,,,1610612758,11,9,2021-12-14T00:21:51Z,760000,,,0,,A. Len Free Throw 1 of 2 (3 PTS),[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,Made,,,,,,,3.0,,,,,,,,,,,
78,PT05M59.00S,2021-12-14T00:22:07.0Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203458,,,1610612758,11,10,2021-12-14T00:22:07Z,770000,,,0,,A. Len Free Throw 2 of 2 (4 PTS),[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,Made,,,,,,,4.0,,,,,,,,,,,
79,PT05M43.00S,2021-12-14T00:22:24.7Z,1,REGULAR,3pt,Jump Shot,[],1627832,71.96123521681997,17.892156862745097,1610612761,14,10,2021-12-14T00:22:29Z,780000,-161.0,211.0,1,right,F. VanVleet 26' 3PT  (3 PTS) (P. Siakam 1 AST),"[1627832, 1627783]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,26.52,Made,,,,,,,3.0,,,,P. Siakam,1627783.0,1.0,,,,,
81,PT05M30.00S,2021-12-14T00:22:37.2Z,1,REGULAR,3pt,Jump Shot,[],203084,6.652431011826544,4.6568627450980395,1610612758,14,10,2021-12-14T00:22:47Z,800000,227.0,10.0,1,left,MISS H. Barnes 3PT,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,22.69,Missed,,,,,,,,,,,,,,,,,,
84,PT05M28.00S,2021-12-14T00:22:39.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612761,14,10,2021-12-14T00:22:47Z,810000,,,0,,TEAM defensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,81.0,,,,,,,,,,,,,,,,,
85,PT05M28.00S,2021-12-14T00:22:47.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612761,14,10,2021-12-14T00:22:47Z,820000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M12.00S,2021-12-14T00:23:02.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627783,86.28449408672799,56.127450980392155,1610612761,14,10,2021-12-14T00:23:06Z,830000,31.0,76.0,1,right,MISS P. Siakam 8' Hook,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,8.23,Missed,,,,,,,,,,,,,,,,,,
87,PT05M10.00S,2021-12-14T00:23:04.1Z,1,REGULAR,rebound,defensive,[],1628963,,,1610612758,14,10,2021-12-14T00:23:06Z,840000,,,0,,M. Bagley III REBOUND (Off:0 Def:2),[1628963],1610612758.0,SAC,,,,Bagley III,M. Bagley III,,,,,,,86.0,2.0,2.0,0.0,,,,,,,,,,,,,,
88,PT05M06.00S,2021-12-14T00:23:08.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627741,27.020367936925098,18.137254901960784,1610612758,14,10,2021-12-14T00:23:14Z,850000,159.0,201.0,1,left,MISS B. Hield 25' running pullup 3PT,[1627741],1610612758.0,SAC,running pullup,,,Hield,B. Hield,,,,,25.69,Missed,,,,,,,,,,,,,,,,,,
89,PT05M03.00S,2021-12-14T00:23:11.1Z,1,REGULAR,rebound,defensive,[],1628449,,,1610612761,14,10,2021-12-14T00:23:14Z,860000,,,0,,C. Boucher REBOUND (Off:0 Def:2),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,88.0,2.0,2.0,0.0,,,,,,,,,,,,,,
90,PT04M56.00S,2021-12-14T00:23:18.0Z,1,REGULAR,2pt,Jump Shot,[],1627832,74.06373193166885,64.70588235294117,1610612761,16,10,2021-12-14T00:23:22Z,870000,74.0,191.0,1,right,F. VanVleet 20' pullup Jump Shot (5 PTS),[1627832],1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,20.49,Made,,,,,,,5.0,,,,,,,,,,,
