actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
16,PT10M39.00S,2023-11-12T17:12:54.0Z,1,REGULAR,3pt,Jump Shot,[],202330,91.40932982917214,4.411764705882353,1610612766,5,0,2023-11-12T17:12:58Z,160000,False,-228.0,28.0,1,right,MISS G. Hayward 3PT,[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,Left Corner 3,24+ Left,22.97,Missed,,,,,,,,,,,,,,,,,,
17,PT10M36.00S,2023-11-12T17:12:57.0Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,5,0,2023-11-12T17:12:58Z,170000,False,,,0,,M. Robinson REBOUND (Off:0 Def:1),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Left Corner 3,24+ Left,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,
18,PT10M33.00S,2023-11-12T17:13:02.5Z,1,REGULAR,foul,personal,[],1629023,,,1610612752,5,0,2023-11-12T17:13:15Z,180000,False,,,0,,P. Washington personal FOUL (1 PF),"[1629023, 1628973]",1610612766.0,CHA,,,,Washington,P. Washington,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1627961.0,1.0,0.0,Brunson,1628973.0,,,,,
20,PT10M27.00S,2023-11-12T17:13:25.5Z,1,REGULAR,2pt,Jump Shot,[],1628973,24.392247043363994,68.38235294117648,1610612752,7,0,2023-11-12T17:13:31Z,200000,False,-92.0,177.0,1,left,J. Brunson 19' pullup Jump Shot (2 PTS) (J. Randle 1 AST),"[1628973, 203944]",1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,Mid-Range,16-24 Left Center,19.93,Made,2.0,,,,,,,,,,,,,J. Randle,203944.0,1.0,,
22,PT10M05.00S,2023-11-12T17:13:47.1Z,1,REGULAR,3pt,Jump Shot,[],1630163,64.86530880420499,74.50980392156863,1610612766,7,3,2023-11-12T17:13:50Z,220000,False,123.0,278.0,1,right,L. Ball 30' 3PT  (3 PTS) (P. Washington 1 AST),"[1630163, 1629023]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Right Center,30.36,Made,3.0,,,,,,,,,,,,,P. Washington,1629023.0,1.0,,
24,PT09M40.00S,2023-11-12T17:14:12.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,17.69053876478318,43.38235294117647,1610612752,9,3,2023-11-12T17:14:17Z,240000,False,33.0,114.0,1,left,J. Brunson 11' driving floating Jump Shot (4 PTS) (R. Barrett 1 AST),"[1628973, 1629628]",1610612752.0,NYK,driving floating,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),8-16 Center,11.85,Made,4.0,,,,,,,,,,,,,R. Barrett,1629628.0,1.0,,
25,PT09M25.00S,2023-11-12T17:14:27.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631109,93.64323258869908,50.0,1610612766,9,5,2023-11-12T17:57:42Z,250000,False,0.0,7.0,1,right,M. Williams DUNK (2 PTS),[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,0.73,Made,2.0,,,,,,,,,,,,,,,,,
27,PT09M06.00S,2023-11-12T17:14:46.8Z,1,REGULAR,3pt,Jump Shot,[],203944,29.122864651773984,22.30392156862745,1610612752,9,5,2023-11-12T17:14:51Z,270000,False,138.0,221.0,1,left,MISS J. Randle 26' 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Right Center,26.11,Missed,,,,,,,,,,,,,,,,,,
28,PT09M03.00S,2023-11-12T17:14:49.8Z,1,REGULAR,rebound,defensive,[],1631109,,,1610612766,9,5,2023-11-12T17:14:51Z,280000,False,,,0,,M. Williams REBOUND (Off:0 Def:1),[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,Above the Break 3,24+ Right Center,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,,,
29,PT08M52.00S,2023-11-12T17:15:01.2Z,1,REGULAR,3pt,Jump Shot,[],1641706,84.83902759526939,3.9215686274509802,1610612766,9,5,2023-11-12T17:15:05Z,290000,False,-230.0,90.0,1,right,MISS B. Miller 24' 3PT,[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Left,24.74,Missed,,,,,,,,,,,,,,,,,,
30,PT08M49.00S,2023-11-12T17:15:04.2Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612752,9,5,2023-11-12T17:15:05Z,300000,False,,,0,,R. Barrett REBOUND (Off:0 Def:1),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Left,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,,,
31,PT08M39.00S,2023-11-12T17:15:14.3Z,1,REGULAR,3pt,Jump Shot,[],1629656,7.703679369250986,3.9215686274509802,1610612752,9,5,2023-11-12T17:15:18Z,310000,False,230.0,20.0,1,left,MISS Q. Grimes 3PT,[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,Right Corner 3,24+ Right,23.13,Missed,,,,,,,,,,,,,,,,,,
32,PT08M37.00S,2023-11-12T17:15:16.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612766,9,5,2023-11-12T17:15:18Z,320000,False,,,0,,TEAM defensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,Right Corner 3,24+ Right,,,,,,,31.0,,,,,,,,,,,,,
34,PT08M25.00S,2023-11-12T17:15:34.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202330,87.59855453350855,51.71568627450981,1610612766,9,7,2023-11-12T17:15:37Z,340000,False,9.0,64.0,1,right,G. Hayward 6' driving floating Jump Shot (2 PTS) (L. Ball 1 AST),"[202330, 1630163]",1610612766.0,CHA,driving floating,,,Hayward,G. Hayward,,,,,In The Paint (Non-RA),0-8 Center,6.47,Made,2.0,,,,,,,,,,,,,L. Ball,1630163.0,1.0,,
35,PT07M59.00S,2023-11-12T17:15:59.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203944,15.719448094612352,60.049019607843135,1610612752,9,7,2023-11-12T17:16:04Z,350000,False,-50.0,95.0,1,left,MISS J. Randle 10' fadeaway Shot,[203944],1610612752.0,NYK,fadeaway,,,Randle,J. Randle,,,,,In The Paint (Non-RA),8-16 Center,10.77,Missed,,,,,,,,,,,,,,,,,,
36,PT07M56.00S,2023-11-12T17:16:02.9Z,1,REGULAR,rebound,defensive,[],1641706,,,1610612766,9,7,2023-11-12T17:16:04Z,360000,False,,,0,,B. Miller REBOUND (Off:0 Def:1),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,35.0,1.0,1.0,0.0,,,,,,,,,,
37,PT07M49.00S,2023-11-12T17:16:10.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630163,93.11760840998686,51.9607843137255,1610612766,9,9,2023-11-12T17:16:13Z,370000,False,10.0,12.0,1,right,L. Ball driving finger roll Layup (5 PTS),[1630163],1610612766.0,CHA,driving finger roll,,,Ball,L. Ball,,,,,Restricted Area,0-8 Center,1.56,Made,5.0,,,,,,,,,,,,,,,,,
38,PT07M38.00S,2023-11-12T17:16:24.2Z,1,REGULAR,foul,personal,[],202330,,,1610612752,9,9,2023-11-12T17:16:37Z,380000,False,,,0,,G. Hayward personal FOUL (1 PF),"[202330, 1629628]",1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1626301.0,1.0,0.0,Barrett,1629628.0,,,,,
40,PT07M31.00S,2023-11-12T17:16:44.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,7.046649145860711,55.88235294117647,1610612752,9,9,2023-11-12T17:16:49Z,400000,False,-29.0,14.0,1,left,MISS R. Barrett driving Layup,[1629628],1610612752.0,NYK,driving,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,3.24,Missed,,,,,,,,,,,,,,,,,,
41,PT07M30.00S,2023-11-12T17:16:45.0Z,1,REGULAR,rebound,offensive,[],1629011,,,1610612752,9,9,2023-11-12T17:16:49Z,410000,False,,,0,,M. Robinson REBOUND (Off:1 Def:1),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,,,,,,,40.0,2.0,1.0,1.0,,,,,,,,,,
42,PT07M29.00S,2023-11-12T17:16:45.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629011,6.652431011826544,50.49019607843137,1610612752,11,9,2023-11-12T17:16:52Z,420000,False,-2.0,10.0,1,left,M. Robinson putback Layup (2 PTS),[1629011],1610612752.0,NYK,putback,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,1.03,Made,2.0,,,,,,,,,,,,,,,,,
44,PT07M18.00S,2023-11-12T17:16:56.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630163,93.77463863337714,50.98039215686274,1610612766,11,11,2023-11-12T17:16:58Z,430000,False,5.0,6.0,1,right,L. Ball driving Layup (7 PTS),[1630163],1610612766.0,CHA,driving,,,Ball,L. Ball,,,,,Restricted Area,0-8 Center,0.77,Made,7.0,,,,,,,,,,,,,,,,,
45,PT07M05.00S,2023-11-12T17:17:09.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629011,6.915243101182654,49.50980392156863,1610612752,11,11,2023-11-12T17:17:13Z,440000,False,2.0,13.0,1,left,MISS M. Robinson Layup,[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,1.27,Missed,,,,,,,,,,,,,,,,,,
46,PT07M02.00S,2023-11-12T17:17:12.9Z,1,REGULAR,rebound,offensive,[],1629011,,,1610612752,11,11,2023-11-12T17:17:13Z,450000,False,,,0,,M. Robinson REBOUND (Off:2 Def:1),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,,,,,,,45.0,3.0,1.0,2.0,,,,,,,,,,
47,PT07M02.00S,2023-11-12T17:17:12.6Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629011,5.590000152587891,50.0,1610612752,13,11,2023-11-12T17:20:41Z,460000,False,0.0,0.0,1,left,M. Robinson tip Layup (4 PTS),[1629011],1610612752.0,NYK,tip,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,0.0,Made,4.0,,,,,,,,,,,,,,,,,
49,PT06M57.00S,2023-11-12T17:17:21.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,13,11,2023-11-12T17:17:21Z,480000,False,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT06M57.00S,2023-11-12T17:17:21.5Z,1,REGULAR,substitution,out,[],1629023,,,1610612766,13,11,2023-11-12T17:20:16Z,490000,False,,,0,,SUB out: P. Washington,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT06M57.00S,2023-11-12T17:17:21.5Z,1,REGULAR,substitution,in,[],1630550,,,1610612766,13,11,2023-11-12T17:20:16Z,500000,False,,,0,,SUB in: J. Thor,[1630550],1610612766.0,CHA,,,,Thor,J. Thor,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT06M48.00S,2023-11-12T17:20:38.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641706,90.3580814717477,55.63725490196079,1610612766,13,13,2023-11-12T17:20:53Z,510000,False,28.0,38.0,1,right,B. Miller driving floating Jump Shot (2 PTS) (G. Hayward 1 AST),"[1641706, 202330]",1610612766.0,CHA,driving floating,,,Miller,B. Miller,,,,,In The Paint (Non-RA),0-8 Center,4.74,Made,2.0,,,,,,,,,,,,,G. Hayward,202330.0,1.0,,
54,PT06M48.00S,2023-11-12T17:20:41.5Z,1,REGULAR,foul,personal,['1freethrow'],1628973,,,1610612766,13,13,2023-11-12T17:20:47Z,530000,False,,,0,,J. Brunson shooting personal FOUL (1 PF) (Miller 1 FT),"[1628973, 1641706]",1610612752.0,NYK,shooting,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1626301.0,1.0,0.0,Miller,1641706.0,,,,,
56,PT06M48.00S,2023-11-12T17:20:58.3Z,1,REGULAR,freethrow,1 of 1,[],1641706,,,1610612766,13,13,2023-11-12T17:21:01Z,550000,False,,,0,,MISS B. Miller Free Throw 1 of 1,[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
57,PT06M45.00S,2023-11-12T17:21:01.3Z,1,REGULAR,rebound,offensive,[],1641706,,,1610612766,13,13,2023-11-12T17:21:01Z,560000,False,,,0,,B. Miller REBOUND (Off:1 Def:1),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,,,,,,,,,56.0,2.0,1.0,1.0,,,,,,,,,,
58,PT06M40.00S,2023-11-12T17:21:05.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",202330,85.62746386333771,58.08823529411765,1610612766,13,13,2023-11-12T17:21:09Z,570000,False,40.0,83.0,1,right,MISS G. Hayward 9' driving floating Shot,[202330],1610612766.0,CHA,driving floating,,,Hayward,G. Hayward,,,,,In The Paint (Non-RA),8-16 Center,9.2,Missed,,,,,,,,,,,,,,,,,,
59,PT06M39.00S,2023-11-12T17:21:06.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612752,13,13,2023-11-12T17:21:09Z,580000,False,,,0,,TEAM defensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,58.0,,,,,,,,,,,,,
61,PT06M26.00S,2023-11-12T17:21:26.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203944,6.1268068331143235,54.166666666666664,1610612752,15,13,2023-11-12T17:21:30Z,600000,False,-21.0,5.0,1,left,J. Randle driving Layup (7 PTS),[203944],1610612752.0,NYK,driving,,,Randle,J. Randle,,,,,Restricted Area,0-8 Center,2.14,Made,7.0,,,,,,,,,,,,,,,,,
62,PT06M05.00S,2023-11-12T17:21:47.7Z,1,REGULAR,3pt,Jump Shot,[],1630550,95.0886990801577,4.901960784313726,1610612766,15,13,2023-11-12T17:21:53Z,610000,False,-225.0,-6.0,1,right,MISS J. Thor 3PT,[1630550],1610612766.0,CHA,,,,Thor,J. Thor,,,,,Left Corner 3,24+ Left,22.56,Missed,,,,,,,,,,,,,,,,,,
63,PT06M03.00S,2023-11-12T17:21:49.7Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,15,13,2023-11-12T17:21:53Z,620000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Left Corner 3,24+ Left,,,,,,,62.0,1.0,1.0,0.0,,,,,,,,,,
64,PT05M52.00S,2023-11-12T17:22:01.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203944,17.296320630749015,47.05882352941176,1610612752,15,13,2023-11-12T17:22:07Z,630000,False,15.0,110.0,1,left,MISS J. Randle 11' step back Shot,[203944],1610612752.0,NYK,step back,,,Randle,J. Randle,,,,,In The Paint (Non-RA),8-16 Center,11.11,Missed,,,,,,,,,,,,,,,,,,
65,PT05M49.00S,2023-11-12T17:22:04.5Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,15,13,2023-11-12T17:22:07Z,640000,False,,,0,,L. Ball REBOUND (Off:0 Def:1),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,64.0,1.0,1.0,0.0,,,,,,,,,,
68,PT05M42.00S,2023-11-12T17:22:13.2Z,1,REGULAR,substitution,out,[],1630163,,,1610612766,15,13,2023-11-12T17:22:19Z,660000,False,,,0,,SUB out: L. Ball,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M42.00S,2023-11-12T17:22:13.2Z,1,REGULAR,substitution,in,[],1630177,,,1610612766,15,13,2023-11-12T17:22:19Z,670000,False,,,0,,SUB in: T. Maledon,[1630177],1610612766.0,CHA,,,,Maledon,T. Maledon,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M26.00S,2023-11-12T17:22:43.6Z,1,REGULAR,2pt,Jump Shot,[],1630177,78.0059132720105,37.00980392156863,1610612766,15,13,2023-11-12T17:22:48Z,680000,False,-65.0,154.0,1,right,MISS T. Maledon 16' driving floating bank Shot,[1630177],1610612766.0,CHA,driving floating bank,,,Maledon,T. Maledon,,,,,Mid-Range,16-24 Left Center,16.73,Missed,,,,,,,,,,,,,,,,,,
71,PT05M23.00S,2023-11-12T17:22:46.2Z,1,REGULAR,rebound,offensive,[],1630177,,,1610612766,15,13,2023-11-12T17:22:46Z,690000,False,,,0,,T. Maledon REBOUND (Off:1 Def:0),[1630177],1610612766.0,CHA,,,,Maledon,T. Maledon,,,,,Mid-Range,16-24 Left Center,,,,,,,70.0,1.0,0.0,1.0,,,,,,,,,,
72,PT05M13.00S,2023-11-12T17:22:55.9Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1641706,74.72076215505913,31.862745098039213,1610612766,15,15,2023-11-12T17:28:53Z,700000,False,-91.0,185.0,1,right,B. Miller 20' pullup Jump Shot (4 PTS),[1641706],1610612766.0,CHA,pullup,,,Miller,B. Miller,,,,,Mid-Range,16-24 Left Center,20.61,Made,4.0,,,,,,,,,,,,,,,,,
74,PT04M53.00S,2023-11-12T17:23:16.2Z,1,REGULAR,turnover,bad pass,[],203944,,,1610612752,15,15,2023-11-12T17:23:19Z,710000,False,,,0,,J. Randle bad pass TURNOVER (1 TO),"[203944, 1631109]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,Mid-Range,8-16 Right,,,,1.0,Williams,1631109.0,,,,,,,,,,,,,,
75,PT04M53.00S,2023-11-12T17:23:16.2Z,1,REGULAR,steal,,[],1631109,,,1610612766,15,15,2023-11-12T17:23:18Z,720000,False,,,0,,M. Williams STEAL (1 STL),[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
76,PT04M48.00S,2023-11-12T17:23:21.3Z,1,REGULAR,turnover,lost ball,[],1630550,,,1610612766,15,15,2023-11-12T17:23:26Z,730000,False,,,0,,J. Thor lost ball TURNOVER (1 TO),"[1630550, 1629628]",1610612766.0,CHA,,,,Thor,J. Thor,,,,,In The Paint (Non-RA),8-16 Center,,,,1.0,Barrett,1629628.0,,,,,,,,,,,,,,
77,PT04M48.00S,2023-11-12T17:23:21.3Z,1,REGULAR,steal,,[],1629628,,,1610612752,15,15,2023-11-12T17:31:03Z,740000,False,,,0,,R. Barrett STEAL (1 STL),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
78,PT04M43.00S,2023-11-12T17:23:29.5Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1628973,10.463206307490145,38.72549019607843,1610612752,17,15,2023-11-12T17:31:37Z,750000,False,56.0,46.0,1,left,J. Brunson 7' driving floating Jump Shot (6 PTS),[1628973],1610612752.0,NYK,driving floating,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),0-8 Center,7.27,Made,6.0,,,,,,,,,,,,,,,,,
79,PT04M43.00S,2023-11-12T17:23:36.7Z,1,REGULAR,foul,personal,['1freethrow'],1630177,,,1610612752,17,15,2023-11-12T17:23:47Z,760000,False,,,0,,T. Maledon shooting personal FOUL (1 PF) (Brunson 1 FT),"[1630177, 1628973]",1610612766.0,CHA,shooting,,,Maledon,T. Maledon,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1627961.0,1.0,0.0,Brunson,1628973.0,,,,,
83,PT04M43.00S,2023-11-12T17:23:36.7Z,1,REGULAR,substitution,out,[],1629656,,,1610612752,17,15,2023-11-12T17:24:00Z,780000,False,,,0,,SUB out: Q. Grimes,[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M43.00S,2023-11-12T17:23:36.7Z,1,REGULAR,substitution,in,[],1628404,,,1610612752,17,15,2023-11-12T17:24:00Z,790000,False,,,0,,SUB in: J. Hart,[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M43.00S,2023-11-12T17:23:36.7Z,1,REGULAR,substitution,out,[],1629628,,,1610612752,17,15,2023-11-12T17:24:08Z,795000,False,,,0,,SUB out: R. Barrett,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M43.00S,2023-11-12T17:23:36.7Z,1,REGULAR,substitution,in,[],1630193,,,1610612752,17,15,2023-11-12T17:24:08Z,797500,False,,,0,,SUB in: I. Quickley,[1630193],1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M43.00S,2023-11-12T17:24:08.6Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1628973,,,1610612752,18,15,2023-11-12T17:24:08Z,800000,False,,,0,,J. Brunson Free Throw 1 of 1 (7 PTS),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
88,PT04M25.00S,2023-11-12T17:24:29.8Z,1,REGULAR,3pt,Jump Shot,[],1641706,81.15965834428384,4.901960784313726,1610612766,18,18,2023-11-12T17:24:33Z,810000,False,-225.0,125.0,1,right,B. Miller 25' 3PT  (7 PTS) (T. Maledon 1 AST),"[1641706, 1630177]",1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Left Center,25.76,Made,7.0,,,,,,,,,,,,,T. Maledon,1630177.0,1.0,,
90,PT04M09.00S,2023-11-12T17:24:44.7Z,1,REGULAR,3pt,Jump Shot,[],1628973,30.56833114323259,27.450980392156865,1610612752,21,18,2023-11-12T17:24:48Z,830000,False,113.0,235.0,1,left,J. Brunson 26' 3PT pullup (10 PTS),[1628973],1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Right Center,26.04,Made,10.0,,,,,,,,,,,,,,,,,
