actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,stealPlayerName,stealPersonId,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
21,PT09M52.00S,2024-02-25T01:43:33.1Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,5,5,2024-02-25T01:43:35Z,210000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,
22,PT09M49.00S,2024-02-25T01:43:42.2Z,1,REGULAR,turnover,out-of-bounds,[],1628369,,,1610612738,5,5,2024-02-25T01:43:48Z,220000,False,,,0,,J. Tatum bad pass out-of-bounds TURNOVER (1 TO),[1628369],1610612738.0,BOS,bad pass,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Center,,,,,,,,,,,1162.0,1.0,,,,,,,,
23,PT09M36.00S,2024-02-25T01:44:02.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628978,69.99014454664915,74.50980392156863,1610612752,8,5,2024-02-25T01:44:06Z,230000,False,123.0,230.0,1,right,D. DiVincenzo 26' 3PT  (3 PTS) (I. Hartenstein 1 AST),"[1628978, 1628392]",1610612752.0,NYK,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Right Center,26.02,Made,3.0,,,,,I. Hartenstein,1628392.0,1.0,,,,,,,,,,
25,PT09M26.00S,2024-02-25T01:44:11.8Z,1,REGULAR,3pt,Jump Shot,[],1627759,27.151773981603156,81.37254901960785,1610612738,8,8,2024-02-25T01:44:15Z,250000,False,-157.0,203.0,1,left,J. Brown 25' 3PT step back (6 PTS),[1627759],1610612738.0,BOS,step back,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,25.63,Made,6.0,,,,,,,,,,,,,,,,,
26,PT09M03.00S,2024-02-25T01:44:34.4Z,1,REGULAR,3pt,Jump Shot,[],1628973,75.1149802890933,85.7843137254902,1610612752,11,8,2024-02-25T01:44:38Z,260000,False,179.0,181.0,1,right,J. Brunson 25' 3PT step back (8 PTS),[1628973],1610612752.0,NYK,step back,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Right Center,25.48,Made,8.0,,,,,,,,,,,,,,,,,
27,PT08M52.00S,2024-02-25T01:44:46.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201950,7.835085413929041,48.529411764705884,1610612738,11,10,2024-02-25T01:44:49Z,270000,False,7.0,21.0,1,left,J. Holiday driving Layup (2 PTS) (J. Brown 1 AST),"[201950, 1627759]",1610612738.0,BOS,driving,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,2.24,Made,2.0,,,,,J. Brown,1627759.0,1.0,,,,,,,,,,
28,PT08M39.00S,2024-02-25T01:45:03.3Z,1,REGULAR,foul,technical,['1freethrow'],204001,,,1610612752,11,10,2024-02-25T01:45:12Z,280000,False,,,0,,K. Porzingis defensive-3-second technical FOUL (1 Tech),[204001],1610612738.0,BOS,defensive-3-second,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,202053.0,,0.0,1.0,,,,,,
29,PT08M39.00S,2024-02-25T01:45:30.7Z,1,REGULAR,freethrow,1 of 1,[],1628973,,,1610612752,12,10,2024-02-25T01:45:30Z,290000,False,,,0,,J. Brunson technical Free Throw 1 of 1 (9 PTS),[1628973],1610612752.0,NYK,technical,,,Brunson,J. Brunson,,,,,,,,Made,9.0,,,,,,,,,,,,,,,,,
30,PT08M33.00S,2024-02-25T01:45:49.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628392,91.80354796320631,45.588235294117645,1610612752,14,10,2024-02-25T01:45:58Z,300000,False,-22.0,25.0,1,right,I. Hartenstein floating Jump Shot (2 PTS) (J. Brunson 1 AST),"[1628392, 1628973]",1610612752.0,NYK,floating,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,3.3,Made,2.0,,,,,J. Brunson,1628973.0,1.0,,,,,,,,,,
32,PT08M15.00S,2024-02-25T01:46:06.8Z,1,REGULAR,3pt,Jump Shot,[],204001,33.722076215505915,40.931372549019606,1610612738,14,10,2024-02-25T01:46:11Z,320000,False,45.0,264.0,1,left,MISS K. Porzingis 26' 3PT,[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Center,26.84,Missed,,,,,,,,,,,,,,,,,,
33,PT08M11.00S,2024-02-25T01:46:10.8Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612752,14,10,2024-02-25T01:46:11Z,330000,False,,,0,,J. Hart REBOUND (Off:0 Def:2),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Above the Break 3,24+ Center,,,,32.0,2.0,2.0,0.0,,,,,,,,,,,,,
34,PT08M06.00S,2024-02-25T01:46:16.3Z,1,REGULAR,turnover,lost ball,[],1628404,,,1610612752,14,10,2024-02-25T01:46:19Z,340000,False,,,0,,J. Hart lost ball TURNOVER (1 TO),"[1628404, 1628401]",1610612752.0,NYK,,,,Hart,J. Hart,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,1.0,,,White,1628401.0,,,,
35,PT08M06.00S,2024-02-25T01:46:16.3Z,1,REGULAR,steal,,[],1628401,,,1610612738,14,10,2024-02-25T01:46:18Z,350000,False,,,0,,D. White STEAL (1 STL),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
36,PT07M59.00S,2024-02-25T01:46:23.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627759,12.959921156373195,4.411764705882353,1610612738,14,10,2024-02-25T01:46:28Z,360000,False,228.0,69.0,1,left,MISS J. Brown step back 3PT,[1627759],1610612738.0,BOS,step back,,,Brown,J. Brown,,,,,Right Corner 3,24+ Right,23.82,Missed,,,,,,,,,,,,,,,,,,
37,PT07M56.00S,2024-02-25T01:46:26.8Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612752,14,10,2024-02-25T01:46:28Z,370000,False,,,0,,P. Achiuwa REBOUND (Off:0 Def:2),[1630173],1610612752.0,NYK,,,,Achiuwa,P. Achiuwa,,,,,Right Corner 3,24+ Right,,,,36.0,2.0,2.0,0.0,,,,,,,,,,,,,
38,PT07M34.00S,2024-02-25T01:46:53.5Z,1,REGULAR,foul,offensive,[],1628392,,,1610612752,14,10,2024-02-25T01:47:03Z,380000,False,,,0,,I. Hartenstein offensive FOUL (1 PF),"[1628392, 204001]",1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,202053.0,,1.0,0.0,,,Porzingis,204001.0,,
40,PT07M34.00S,2024-02-25T01:46:53.5Z,1,REGULAR,turnover,offensive foul,[],1628392,,,1610612752,14,10,2024-02-25T01:46:53Z,400000,False,,,0,,I. Hartenstein offensive foul TURNOVER (1 TO),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,202053.0,1.0,,,,,,,,
42,PT07M13.00S,2024-02-25T01:47:36.8Z,1,REGULAR,foul,personal,['2freethrow'],1630173,,,1610612738,14,10,2024-02-25T01:47:42Z,420000,False,,,0,,P. Achiuwa shooting personal FOUL (1 PF) (Tatum 2 FT),"[1630173, 1628369]",1610612752.0,NYK,shooting,,,Achiuwa,P. Achiuwa,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1162.0,,1.0,0.0,,,Tatum,1628369.0,,
44,PT07M13.00S,2024-02-25T01:47:55.4Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1628369,,,1610612738,14,11,2024-02-25T01:47:55Z,440000,False,,,0,,J. Tatum Free Throw 1 of 2 (1 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
45,PT07M13.00S,2024-02-25T01:47:55.4Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1628369,,,1610612738,14,11,2024-02-25T01:51:43Z,450000,False,,,0,,MISS J. Tatum Free Throw 2 of 2,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
46,PT07M08.00S,2024-02-25T01:48:00.4Z,1,REGULAR,rebound,offensive,[],1628369,,,1610612738,14,11,2024-02-25T01:51:43Z,460000,False,,,0,,J. Tatum REBOUND (Off:1 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,45.0,2.0,1.0,1.0,,,,,,,,,,,,,
48,PT06M56.00S,2024-02-25T01:48:40.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1628369,5.601182654402102,48.529411764705884,1610612738,14,13,2024-02-25T01:48:47Z,480000,False,7.0,0.0,1,left,J. Tatum driving Layup (3 PTS),[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,0.74,Made,3.0,,,,,,,,,,,,,,,,,
49,PT06M45.00S,2024-02-25T01:48:52.0Z,1,REGULAR,3pt,Jump Shot,[],1628404,76.03482260183968,11.76470588235294,1610612752,17,13,2024-02-25T01:48:56Z,490000,False,-191.0,173.0,1,right,J. Hart 25' 3PT  (3 PTS) (J. Brunson 2 AST),"[1628404, 1628973]",1610612752.0,NYK,,,,Hart,J. Hart,,,,,Above the Break 3,24+ Left Center,25.77,Made,3.0,,,,,J. Brunson,1628973.0,2.0,,,,,,,,,,
51,PT06M23.00S,2024-02-25T01:49:12.9Z,1,REGULAR,2pt,Jump Shot,[],1627759,9.411957950065702,66.17647058823529,1610612738,17,15,2024-02-25T01:49:16Z,510000,False,-81.0,36.0,1,left,J. Brown 8' turnaround fadeaway Jump Shot (8 PTS),[1627759],1610612738.0,BOS,turnaround fadeaway,,,Brown,J. Brown,,,,,Mid-Range,8-16 Left,8.85,Made,8.0,,,,,,,,,,,,,,,,,
52,PT06M07.00S,2024-02-25T01:49:28.6Z,1,REGULAR,3pt,Jump Shot,[],1628973,69.85873850197109,71.07843137254902,1610612752,17,15,2024-02-25T01:49:32Z,520000,False,105.0,231.0,1,right,MISS J. Brunson 25' pullup 3PT,[1628973],1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Right Center,25.37,Missed,,,,,,,,,,,,,,,,,,
53,PT06M04.00S,2024-02-25T01:49:31.6Z,1,REGULAR,rebound,defensive,[],204001,,,1610612738,17,15,2024-02-25T01:49:32Z,530000,False,,,0,,K. Porzingis REBOUND (Off:0 Def:1),[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Right Center,,,,52.0,1.0,1.0,0.0,,,,,,,,,,,,,
54,PT05M53.00S,2024-02-25T01:49:43.0Z,1,REGULAR,3pt,Jump Shot,[],201950,4.155716162943495,94.6078431372549,1610612738,17,18,2024-02-25T01:49:46Z,540000,False,-223.0,-13.0,1,left,J. Holiday 3PT  (5 PTS) (K. Porzingis 1 AST),"[201950, 204001]",1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Left Corner 3,24+ Left,22.34,Made,5.0,,,,,K. Porzingis,204001.0,1.0,,,,,,,,,,
56,PT05M46.00S,2024-02-25T01:49:53.5Z,1,REGULAR,timeout,full,['team'],0,,,1610612752,17,18,2024-02-25T01:49:53Z,560000,False,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT05M46.00S,2024-02-25T01:49:53.6Z,1,REGULAR,substitution,out,[],1628392,,,1610612752,17,18,2024-02-25T01:52:38Z,570000,False,,,0,,SUB out: I. Hartenstein,[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT05M46.00S,2024-02-25T01:49:53.6Z,1,REGULAR,substitution,out,[],1628369,,,1610612752,17,18,2024-02-25T01:52:38Z,580000,False,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT05M46.00S,2024-02-25T01:49:53.6Z,1,REGULAR,substitution,out,[],201950,,,1610612752,17,18,2024-02-25T01:52:38Z,590000,False,,,0,,SUB out: J. Holiday,[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT05M46.00S,2024-02-25T01:49:53.6Z,1,REGULAR,substitution,in,[],1630579,,,1610612752,17,18,2024-02-25T01:52:38Z,600000,False,,,0,,SUB in: J. Sims,[1630579],1610612752.0,NYK,,,,Sims,J. Sims,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT05M46.00S,2024-02-25T01:49:53.6Z,1,REGULAR,substitution,in,[],201143,,,1610612752,17,18,2024-02-25T01:52:38Z,610000,False,,,0,,SUB in: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT05M46.00S,2024-02-25T01:49:53.6Z,1,REGULAR,substitution,in,[],1630573,,,1610612752,17,18,2024-02-25T01:52:38Z,620000,False,,,0,,SUB in: S. Hauser,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT05M28.00S,2024-02-25T01:53:35.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630173,91.27792378449409,47.794117647058826,1610612752,19,18,2024-02-25T01:54:15Z,630000,False,-11.0,29.0,1,right,P. Achiuwa cutting Layup (2 PTS) (J. Brunson 3 AST),"[1630173, 1628973]",1610612752.0,NYK,cutting,,,Achiuwa,P. Achiuwa,,,,,Restricted Area,0-8 Center,3.15,Made,2.0,,,,,J. Brunson,1628973.0,3.0,,,,,,,,,,
65,PT05M02.00S,2024-02-25T01:54:01.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],204001,13.61695137976347,58.08823529411765,1610612738,19,18,2024-02-25T01:54:04Z,650000,False,-40.0,75.0,1,left,MISS K. Porzingis 8' floating Shot,[204001],1610612738.0,BOS,floating,,,Porzingis,K. Porzingis,,,,,In The Paint (Non-RA),8-16 Center,8.56,Missed,,,,,,,,,,,,,,,,,,
66,PT05M00.00S,2024-02-25T01:54:03.4Z,1,REGULAR,rebound,defensive,[],1630579,,,1610612752,19,18,2024-02-25T01:54:04Z,660000,False,,,0,,J. Sims REBOUND (Off:0 Def:1),[1630579],1610612752.0,NYK,,,,Sims,J. Sims,,,,,In The Paint (Non-RA),8-16 Center,,,,65.0,1.0,1.0,0.0,,,,,,,,,,,,,
67,PT04M49.00S,2024-02-25T01:54:14.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,86.02168199737189,48.03921568627451,1610612752,21,18,2024-02-25T01:54:18Z,670000,False,-10.0,79.0,1,right,J. Brunson 7' driving floating Jump Shot (11 PTS) (J. Hart 2 AST),"[1628973, 1628404]",1610612752.0,NYK,driving floating,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),0-8 Center,7.95,Made,11.0,,,,,J. Hart,1628404.0,2.0,,,,,,,,,,
68,PT04M34.00S,2024-02-25T01:54:36.2Z,1,REGULAR,foul,personal,[],1630173,,,1610612738,21,18,2024-02-25T01:54:52Z,680000,False,,,0,,P. Achiuwa personal FOUL (2 PF),"[1630173, 204001]",1610612752.0,NYK,,,,Achiuwa,P. Achiuwa,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,202053.0,,2.0,0.0,,,Porzingis,204001.0,,
70,PT04M34.00S,2024-02-25T01:54:36.3Z,1,REGULAR,substitution,out,[],1628978,,,1610612738,21,18,2024-02-25T01:54:50Z,700000,False,,,0,,SUB out: D. DiVincenzo,[1628978],1610612752.0,NYK,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT04M34.00S,2024-02-25T01:54:36.3Z,1,REGULAR,substitution,in,[],202692,,,1610612738,21,18,2024-02-25T01:54:50Z,710000,False,,,0,,SUB in: A. Burks,[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT04M27.00S,2024-02-25T01:55:09.0Z,1,REGULAR,3pt,Jump Shot,[],1628401,30.699737187910642,64.4607843137255,1610612738,21,21,2024-02-25T01:56:35Z,720000,False,-72.0,236.0,1,left,D. White 24' 3PT step back (3 PTS),[1628401],1610612738.0,BOS,step back,,,White,D. White,,,,,Above the Break 3,24+ Center,24.69,Made,3.0,,,,,,,,,,,,,,,,,
73,PT04M08.00S,2024-02-25T01:55:27.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,86.67871222076215,55.88235294117647,1610612752,21,21,2024-02-25T01:55:33Z,730000,False,29.0,73.0,1,right,MISS J. Brunson 7' turnaround fadeaway Shot,[1628973],1610612752.0,NYK,turnaround fadeaway,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),0-8 Center,7.84,Missed,,,,,,,,,,,,,,,,,,
74,PT04M06.00S,2024-02-25T01:55:29.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612752,21,21,2024-02-25T01:55:33Z,740000,False,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,73.0,,,,,,,,,,,,,,,,
76,PT03M59.00S,2024-02-25T01:55:52.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628973,71.30420499342969,74.26470588235294,1610612752,21,21,2024-02-25T01:56:41Z,760000,False,121.0,217.0,1,right,MISS J. Brunson 24' pullup 3PT,[1628973],1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Right Center,24.88,Missed,,,,,,,,,,,,,,,,,,
77,PT03M55.00S,2024-02-25T01:55:56.9Z,1,REGULAR,rebound,offensive,[],1630173,,,1610612752,21,21,2024-02-25T01:55:57Z,770000,False,,,0,,P. Achiuwa REBOUND (Off:1 Def:2),[1630173],1610612752.0,NYK,,,,Achiuwa,P. Achiuwa,,,,,Above the Break 3,24+ Right Center,,,,76.0,3.0,2.0,1.0,,,,,,,,,,,,,
78,PT03M46.00S,2024-02-25T01:56:04.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202692,69.33311432325887,35.294117647058826,1610612752,24,21,2024-02-25T01:56:08Z,780000,False,-74.0,236.0,1,right,A. Burks 24' 3PT pullup (3 PTS),[202692],1610612752.0,NYK,pullup,,,Burks,A. Burks,,,,,Above the Break 3,24+ Center,24.7,Made,3.0,,,,,,,,,,,,,,,,,
79,PT03M32.00S,2024-02-25T01:56:22.1Z,1,REGULAR,foul,personal,['2freethrow'],202692,,,1610612738,24,21,2024-02-25T01:56:33Z,790000,False,,,0,,A. Burks shooting personal FOUL (1 PF) (Porzingis 2 FT),"[202692, 204001]",1610612752.0,NYK,shooting,,,Burks,A. Burks,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1162.0,,1.0,0.0,,,Porzingis,204001.0,,
81,PT03M32.00S,2024-02-25T01:56:50.9Z,1,REGULAR,freethrow,1 of 2,[],204001,,,1610612738,24,22,2024-02-25T01:56:50Z,810000,False,,,0,,K. Porzingis Free Throw 1 of 2 (3 PTS),[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
82,PT03M32.00S,2024-02-25T01:57:08.0Z,1,REGULAR,freethrow,2 of 2,[],204001,,,1610612738,24,23,2024-02-25T01:57:08Z,820000,False,,,0,,K. Porzingis Free Throw 2 of 2 (4 PTS),[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
83,PT03M20.00S,2024-02-25T01:57:27.1Z,1,REGULAR,foul,personal,[],1627759,,,1610612752,24,23,2024-02-25T02:48:03Z,830000,False,,,0,,J. Brown personal FOUL (1 PF),"[1627759, 1628973]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,202053.0,,1.0,0.0,,,Brunson,1628973.0,,
85,PT03M08.00S,2024-02-25T01:58:00.6Z,1,REGULAR,3pt,Jump Shot,[],202692,94.69448094612353,95.34313725490196,1610612752,24,23,2024-02-25T01:58:05Z,850000,False,227.0,-3.0,1,right,MISS A. Burks fadeaway 3PT,[202692],1610612752.0,NYK,fadeaway,,,Burks,A. Burks,,,,,Right Corner 3,24+ Right,22.67,Missed,,,,,,,,,,,,,,,,,,
86,PT03M07.00S,2024-02-25T01:58:01.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612752,24,23,2024-02-25T01:58:05Z,860000,False,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,Right Corner 3,24+ Right,,,,85.0,,,,,,,,,,,,,,,,
