actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal
25,PT10M08.00S,2024-03-23T17:13:30.4Z,1,REGULAR,block,,[],203471,,,1610612752,2,3,2024-03-23T17:13:43Z,250000,False,,,0,,D. Schroder BLOCK (2 BLK),[203471],1610612751.0,BKN,,,,Schroder,D. Schroder,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
26,PT10M08.00S,2024-03-23T17:13:30.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612752,2,3,2024-03-23T17:13:34Z,260000,False,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,24.0,,,,,,,,,,,,
28,PT09M59.00S,2024-03-23T17:14:00.6Z,1,REGULAR,foul,personal,['2freethrow'],1629661,,,1610612752,2,3,2024-03-23T17:14:12Z,280000,False,,,0,,C. Johnson shooting personal FOUL (2 PF) (DiVincenzo 2 FT),"[1629661, 1628978]",1610612751.0,BKN,shooting,,,Johnson,C. Johnson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,202026.0,2.0,0.0,DiVincenzo,1628978.0,,,,
30,PT09M59.00S,2024-03-23T17:14:32.2Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1628978,,,1610612752,3,3,2024-03-23T17:14:32Z,300000,False,,,0,,D. DiVincenzo Free Throw 1 of 2 (1 PTS),[1628978],1610612752.0,NYK,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,Made,,,,,,,,,,,,1.0,,,
31,PT09M59.00S,2024-03-23T17:14:43.1Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1628978,,,1610612752,4,3,2024-03-23T17:14:43Z,310000,False,,,0,,D. DiVincenzo Free Throw 2 of 2 (2 PTS),[1628978],1610612752.0,NYK,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,Made,,,,,,,,,,,,2.0,,,
32,PT09M38.00S,2024-03-23T17:15:07.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629651,8.754927726675426,52.450980392156865,1610612751,4,3,2024-03-23T17:15:19Z,320000,False,-12.0,30.0,1,left,MISS N. Claxton turnaround Hook,[1629651],1610612751.0,BKN,turnaround,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,3.22,Missed,,,,,,,,,,,,,,,
33,PT09M37.00S,2024-03-23T17:15:08.9Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612752,4,3,2024-03-23T17:15:11Z,330000,False,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,,,,,,,,32.0,1.0,1.0,0.0,,,,,,,,,
34,PT09M32.00S,2024-03-23T17:15:14.2Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1628973,88.51839684625493,36.27450980392157,1610612752,4,3,2024-03-23T17:15:40Z,340000,False,-69.0,55.0,1,right,MISS J. Brunson 8' running pullup Shot,[1628973],1610612752.0,NYK,running pullup,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),8-16 Left,,,,8.82,Missed,,,,,,,,,,,,,,,
35,PT09M29.00S,2024-03-23T17:15:17.2Z,1,REGULAR,rebound,offensive,[],1628392,,,1610612752,4,3,2024-03-23T17:15:40Z,350000,False,,,0,,I. Hartenstein REBOUND (Off:1 Def:0),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,34.0,1.0,0.0,1.0,,,,,,,,,
36,PT09M24.00S,2024-03-23T17:15:21.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628973,90.3580814717477,3.9215686274509802,1610612752,7,3,2024-03-23T17:15:25Z,360000,False,-230.0,38.0,1,right,J. Brunson 3PT  (3 PTS) (J. Hart 1 AST),"[1628973, 1628404]",1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Left Corner 3,24+ Left,,,,23.35,Made,,,,,,,,,,,,3.0,J. Hart,1628404.0,1.0
38,PT09M02.00S,2024-03-23T17:15:44.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203471,6.258212877792378,48.77450980392157,1610612751,7,5,2024-03-23T17:15:48Z,380000,False,6.0,6.0,1,left,D. Schroder driving finger roll Layup (2 PTS) (M. Bridges 1 AST),"[203471, 1628969]",1610612751.0,BKN,driving finger roll,,,Schroder,D. Schroder,,,,,Restricted Area,0-8 Center,,,,0.88,Made,,,,,,,,,,,,2.0,M. Bridges,1628969.0,1.0
40,PT08M42.00S,2024-03-23T17:16:04.2Z,1,REGULAR,turnover,bad pass,[],1628392,,,1610612752,7,5,2024-03-23T17:16:08Z,400000,False,,,0,,I. Hartenstein bad pass TURNOVER (1 TO),"[1628392, 1628969]",1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,Above the Break 3,24+ Center,1.0,Bridges,1628969.0,,,,,,,,,,,,,,,,,
41,PT08M42.00S,2024-03-23T17:16:04.2Z,1,REGULAR,steal,,[],1628969,,,1610612751,7,5,2024-03-23T17:16:05Z,410000,False,,,0,,M. Bridges STEAL (1 STL),[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
42,PT08M29.00S,2024-03-23T17:16:17.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628969,5.781865965834427,95.81035539215686,1610612751,7,5,2024-03-23T17:20:51Z,420000,False,-229.0,2.0,1,left,MISS M. Bridges 3PT,[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Left Corner 3,24+ Left,,,,22.91,Missed,,,,,,,,,,,,,,,
43,PT08M26.00S,2024-03-23T17:16:20.0Z,1,REGULAR,rebound,defensive,[],1628392,,,1610612752,7,5,2024-03-23T17:16:20Z,430000,False,,,0,,I. Hartenstein REBOUND (Off:1 Def:1),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,Mid-Range,16-24 Left,,,,,,,,42.0,2.0,1.0,1.0,,,,,,,,,
44,PT08M23.00S,2024-03-23T17:16:23.6Z,1,REGULAR,3pt,Jump Shot,[],1630540,94.1688567674113,2.450980392156863,1610612752,10,5,2024-03-23T17:18:51Z,440000,False,-238.0,2.0,1,right,M. McBride 3PT  (3 PTS) (J. Hart 2 AST),"[1630540, 1628404]",1610612752.0,NYK,,,,McBride,M. McBride,,,,,Left Corner 3,24+ Left,,,,23.77,Made,,,,,,,,,,,,3.0,J. Hart,1628404.0,2.0
46,PT08M12.00S,2024-03-23T17:16:33.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630560,12.302890932982917,39.46078431372549,1610612751,10,7,2024-03-23T17:16:37Z,460000,False,53.0,63.0,1,left,C. Thomas 8' driving floating bank Jump Shot (2 PTS) (D. Schroder 1 AST),"[1630560, 203471]",1610612751.0,BKN,driving floating bank,,,Thomas,C. Thomas,,,,,In The Paint (Non-RA),8-16 Right,,,,8.22,Made,,,,,,,,,,,,2.0,D. Schroder,203471.0,1.0
48,PT07M50.00S,2024-03-23T17:16:55.5Z,1,REGULAR,3pt,Jump Shot,[],1628973,74.06373193166885,83.82352941176471,1610612752,13,7,2024-03-23T17:16:58Z,480000,False,169.0,191.0,1,right,J. Brunson 25' 3PT pullup (6 PTS) (I. Hartenstein 1 AST),"[1628973, 1628392]",1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Right Center,,,,25.53,Made,,,,,,,,,,,,6.0,I. Hartenstein,1628392.0,1.0
50,PT07M33.00S,2024-03-23T17:17:13.5Z,1,REGULAR,3pt,Jump Shot,[],1628969,20.45006570302234,89.95098039215686,1610612751,13,10,2024-03-23T17:17:16Z,500000,False,-200.0,140.0,1,left,M. Bridges 24' 3PT  (3 PTS) (C. Johnson 1 AST),"[1628969, 1629661]",1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,,,,24.38,Made,,,,,,,,,,,,3.0,C. Johnson,1629661.0,1.0
52,PT07M18.00S,2024-03-23T17:17:27.4Z,1,REGULAR,3pt,Jump Shot,[],1628978,77.08607095926413,7.107843137254902,1610612752,16,10,2024-03-23T17:17:30Z,520000,False,-214.0,163.0,1,right,D. DiVincenzo 26' 3PT  (5 PTS) (J. Brunson 2 AST),"[1628978, 1628973]",1610612752.0,NYK,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Left Center,,,,26.93,Made,,,,,,,,,,,,5.0,J. Brunson,1628973.0,2.0
54,PT07M03.00S,2024-03-23T17:17:42.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203471,19.530223390275953,37.00980392156863,1610612751,16,12,2024-03-23T17:17:45Z,540000,False,65.0,131.0,1,left,D. Schroder 14' pullup Jump Shot (4 PTS),[203471],1610612751.0,BKN,pullup,,,Schroder,D. Schroder,,,,,In The Paint (Non-RA),8-16 Center,,,,14.63,Made,,,,,,,,,,,,4.0,,,
55,PT06M49.00S,2024-03-23T17:17:56.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628978,92.06636005256242,52.69607843137255,1610612752,16,12,2024-03-23T17:18:00Z,550000,False,13.0,22.0,1,right,MISS D. DiVincenzo driving Layup - blocked,"[1628978, 203471]",1610612752.0,NYK,driving,,,DiVincenzo,D. DiVincenzo,,,,,Restricted Area,0-8 Center,,,,2.59,Missed,Schroder,203471.0,,,,,,,,,,,,,
56,PT06M49.00S,2024-03-23T17:17:56.6Z,1,REGULAR,block,,[],203471,,,1610612752,16,12,2024-03-23T17:17:59Z,560000,False,,,0,,D. Schroder BLOCK (3 BLK),[203471],1610612751.0,BKN,,,,Schroder,D. Schroder,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
57,PT06M47.00S,2024-03-23T17:17:58.6Z,1,REGULAR,rebound,defensive,[],1630560,,,1610612751,16,12,2024-03-23T17:18:00Z,570000,False,,,0,,C. Thomas REBOUND (Off:0 Def:1),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,Restricted Area,0-8 Center,,,,,,,,55.0,1.0,1.0,0.0,,,,,,,,,
58,PT06M36.00S,2024-03-23T17:18:09.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630560,7.5722733245729295,50.49019607843137,1610612751,16,12,2024-03-23T17:18:13Z,580000,False,-2.0,19.0,1,left,MISS C. Thomas driving reverse Layup,[1630560],1610612751.0,BKN,driving reverse,,,Thomas,C. Thomas,,,,,Restricted Area,0-8 Center,,,,1.89,Missed,,,,,,,,,,,,,,,
59,PT06M34.00S,2024-03-23T17:18:11.8Z,1,REGULAR,rebound,defensive,[],1628392,,,1610612752,16,12,2024-03-23T17:18:13Z,590000,False,,,0,,I. Hartenstein REBOUND (Off:1 Def:2),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,,,,,,,,58.0,3.0,2.0,1.0,,,,,,,,,
60,PT06M32.00S,2024-03-23T17:18:14.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628978,77.21747700394218,8.823529411764707,1610612752,16,12,2024-03-23T17:18:22Z,600000,False,-206.0,162.0,1,right,MISS D. DiVincenzo 26' running 3PT,[1628978],1610612752.0,NYK,running,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Left Center,,,,26.18,Missed,,,,,,,,,,,,,,,
61,PT06M27.00S,2024-03-23T17:18:19.3Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612751,16,12,2024-03-23T17:18:22Z,610000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,,,,,,,,60.0,1.0,1.0,0.0,,,,,,,,,
62,PT06M24.00S,2024-03-23T17:18:22.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1630560,5.601182654402102,50.49019607843137,1610612751,16,14,2024-03-23T17:18:26Z,620000,False,-2.0,0.0,1,left,C. Thomas running DUNK (4 PTS) (M. Bridges 2 AST),"[1630560, 1628969]",1610612751.0,BKN,running,,,Thomas,C. Thomas,,,,,Restricted Area,0-8 Center,,,,0.25,Made,,,,,,,,,,,,4.0,M. Bridges,1628969.0,2.0
64,PT06M03.00S,2024-03-23T17:18:43.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628392,93.9060446780552,49.01960784313725,1610612752,18,14,2024-03-23T17:22:58Z,640000,False,-5.0,5.0,1,right,I. Hartenstein driving DUNK (4 PTS) (J. Brunson 3 AST),"[1628392, 1628973]",1610612752.0,NYK,driving,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,,,,0.69,Made,,,,,,,,,,,,4.0,J. Brunson,1628973.0,3.0
66,PT05M40.00S,2024-03-23T17:19:06.3Z,1,REGULAR,3pt,Jump Shot,[],1629661,4.812746386333772,95.83333333333334,1610612751,18,17,2024-03-23T17:19:08Z,660000,False,-229.0,-7.0,1,left,C. Johnson 3PT  (6 PTS) (D. Schroder 2 AST),"[1629661, 203471]",1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Left Corner 3,24+ Left,,,,22.93,Made,,,,,,,,,,,,6.0,D. Schroder,203471.0,2.0
68,PT05M17.00S,2024-03-23T17:19:29.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630540,94.1688567674113,48.77450980392157,1610612752,20,17,2024-03-23T17:19:33Z,680000,False,-6.0,2.0,1,right,M. McBride driving Layup (5 PTS) (D. DiVincenzo 1 AST),"[1630540, 1628978]",1610612752.0,NYK,driving,,,McBride,M. McBride,,,,,Restricted Area,0-8 Center,,,,0.65,Made,,,,,,,,,,,,5.0,D. DiVincenzo,1628978.0,1.0
70,PT05M08.00S,2024-03-23T17:19:38.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203471,7.5722733245729295,50.0,1610612751,20,17,2024-03-23T17:19:50Z,700000,False,0.0,19.0,1,left,MISS D. Schroder driving Layup,[203471],1610612751.0,BKN,driving,,,Schroder,D. Schroder,,,,,Restricted Area,0-8 Center,,,,1.87,Missed,,,,,,,,,,,,,,,
72,PT05M07.00S,2024-03-23T17:19:39.2Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612752,20,17,2024-03-23T17:19:50Z,720000,False,,,0,,J. Brunson REBOUND (Off:0 Def:2),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Restricted Area,0-8 Center,,,,,,,,70.0,2.0,2.0,0.0,,,,,,,,,
75,PT05M07.00S,2024-03-23T17:19:55.0Z,1,REGULAR,substitution,out,[],1628392,,,1610612752,20,17,2024-03-23T17:22:34Z,735000,False,,,0,,SUB out: I. Hartenstein,[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M07.00S,2024-03-23T17:19:55.0Z,1,REGULAR,substitution,out,[],1629661,,,1610612752,20,17,2024-03-23T17:22:34Z,737500,False,,,0,,SUB out: C. Johnson,[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M07.00S,2024-03-23T17:19:55.0Z,1,REGULAR,substitution,out,[],1630560,,,1610612752,20,17,2024-03-23T17:22:34Z,738750,False,,,0,,SUB out: C. Thomas,[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M07.00S,2024-03-23T17:19:55.0Z,1,REGULAR,substitution,in,[],1630173,,,1610612752,20,17,2024-03-23T17:22:34Z,739375,False,,,0,,SUB in: P. Achiuwa,[1630173],1610612752.0,NYK,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M07.00S,2024-03-23T17:19:55.0Z,1,REGULAR,substitution,in,[],1627827,,,1610612752,20,17,2024-03-23T17:22:34Z,739687,False,,,0,,SUB in: D. Finney-Smith,[1627827],1610612751.0,BKN,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M07.00S,2024-03-23T17:19:55.0Z,1,REGULAR,substitution,in,[],1629022,,,1610612752,20,17,2024-03-23T17:22:34Z,739843,False,,,0,,SUB in: L. Walker IV,[1629022],1610612751.0,BKN,,,,Walker IV,L. Walker IV,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M07.00S,2024-03-23T17:19:58.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612752,20,17,2024-03-23T17:20:01Z,740000,False,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT04M46.00S,2024-03-23T17:23:13.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628404,92.85479632063075,49.50980392156863,1610612752,20,17,2024-03-23T17:23:18Z,750000,False,-2.0,15.0,1,right,MISS J. Hart driving Layup,[1628404],1610612752.0,NYK,driving,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,,,,1.49,Missed,,,,,,,,,,,,,,,
82,PT04M43.00S,2024-03-23T17:23:17.3Z,1,REGULAR,rebound,offensive,[],1630173,,,1610612752,20,17,2024-03-23T17:23:17Z,760000,False,,,0,,P. Achiuwa REBOUND (Off:1 Def:0),[1630173],1610612752.0,NYK,,,,Achiuwa,P. Achiuwa,,,,,Restricted Area,0-8 Center,,,,,,,,81.0,1.0,0.0,1.0,,,,,,,,,
83,PT04M43.00S,2024-03-23T17:23:17.3Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630173,94.40999984741211,50.0,1610612752,20,17,2024-03-23T17:23:20Z,770000,False,0.0,0.0,1,right,MISS P. Achiuwa tip Layup,[1630173],1610612752.0,NYK,tip,,,Achiuwa,P. Achiuwa,,,,,Restricted Area,0-8 Center,,,,0.0,Missed,,,,,,,,,,,,,,,
84,PT04M43.00S,2024-03-23T17:23:17.3Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612751,20,17,2024-03-23T17:23:20Z,780000,False,,,0,,D. Finney-Smith REBOUND (Off:0 Def:1),[1627827],1610612751.0,BKN,,,,Finney-Smith,D. Finney-Smith,,,,,Restricted Area,0-8 Center,,,,,,,,83.0,1.0,1.0,0.0,,,,,,,,,
85,PT04M35.00S,2024-03-23T17:23:25.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203471,7.966491458607096,49.50980392156863,1610612751,20,17,2024-03-23T17:23:27Z,790000,False,2.0,22.0,1,left,MISS D. Schroder driving Layup,[203471],1610612751.0,BKN,driving,,,Schroder,D. Schroder,,,,,Restricted Area,0-8 Center,,,,2.25,Missed,,,,,,,,,,,,,,,
86,PT04M33.00S,2024-03-23T17:23:27.1Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612752,20,17,2024-03-23T17:23:27Z,800000,False,,,0,,J. Hart REBOUND (Off:0 Def:2),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,,,,,,,,85.0,2.0,2.0,0.0,,,,,,,,,
