actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
24,PT10M30.00S,2024-01-15T20:15:01.1Z,1,REGULAR,rebound,defensive,[],1628392,,,1610612752,2,3,2024-01-15T20:15:03Z,240000,False,,,0,,I. Hartenstein REBOUND (Off:0 Def:1),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,Above the Break 3,24+ Left Center,,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,
25,PT10M24.00S,2024-01-15T20:15:08.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628392,94.1688567674113,47.30392156862745,1610612752,4,3,2024-01-15T20:15:18Z,250000,False,-13.0,2.0,1,right,I. Hartenstein cutting Layup (2 PTS) (O. Anunoby 1 AST),"[1628392, 1628384]",1610612752.0,NYK,cutting,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,,,,,,1.37,Made,,,,,2.0,O. Anunoby,1628384.0,1.0,,,,,
27,PT10M24.00S,2024-01-15T20:15:11.5Z,1,REGULAR,foul,personal,['1freethrow'],1629048,,,1610612752,4,3,2024-01-15T20:15:25Z,270000,False,,,0,,G. Bitadze shooting personal FOUL (2 PF) (Hartenstein 1 FT),"[1629048, 1628392]",1610612753.0,ORL,shooting,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,1204.0,2.0,0.0,Hartenstein,1628392.0,,,,,,,,,,,,,,,
29,PT10M24.00S,2024-01-15T20:15:46.2Z,1,REGULAR,freethrow,1 of 1,[],1628392,,,1610612752,5,3,2024-01-15T20:15:46Z,290000,False,,,0,,I. Hartenstein Free Throw 1 of 1 (3 PTS),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,,,,,,,,,Made,,,,,3.0,,,,,,,,
30,PT10M10.00S,2024-01-15T20:16:03.5Z,1,REGULAR,2pt,Jump Shot,[],1630591,22.552562417871222,64.4607843137255,1610612753,5,3,2024-01-15T20:16:08Z,300000,False,-72.0,159.0,1,left,MISS J. Suggs 17' step back Shot,[1630591],1610612753.0,ORL,step back,,,Suggs,J. Suggs,,,,,Mid-Range,16-24 Left Center,,,,,,17.51,Missed,,,,,,,,,,,,,
31,PT10M07.00S,2024-01-15T20:16:06.5Z,1,REGULAR,rebound,defensive,[],1628978,,,1610612752,5,3,2024-01-15T20:16:08Z,310000,False,,,0,,D. DiVincenzo REBOUND (Off:0 Def:1),[1628978],1610612752.0,NYK,,,,DiVincenzo,D. DiVincenzo,,,,,Mid-Range,16-24 Left Center,,,,,,,,30.0,1.0,1.0,0.0,,,,,,,,,
32,PT09M48.00S,2024-01-15T20:16:24.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628978,87.99277266754271,50.98039215686274,1610612752,7,3,2024-01-15T20:16:28Z,320000,False,5.0,60.0,1,right,D. DiVincenzo 6' driving floating Jump Shot (2 PTS),[1628978],1610612752.0,NYK,driving floating,,,DiVincenzo,D. DiVincenzo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,6.06,Made,,,,,2.0,,,,,,,,
33,PT09M34.00S,2024-01-15T20:16:39.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631094,6.915243101182654,50.245098039215684,1610612753,7,5,2024-01-15T20:16:42Z,330000,False,-1.0,13.0,1,left,P. Banchero driving Layup (2 PTS) (J. Suggs 1 AST),"[1631094, 1630591]",1610612753.0,ORL,driving,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,,,,,,1.26,Made,,,,,2.0,J. Suggs,1630591.0,1.0,,,,,
35,PT09M11.00S,2024-01-15T20:17:01.4Z,1,REGULAR,2pt,Jump Shot,[],1628384,94.69448094612353,24.019607843137255,1610612752,9,5,2024-01-15T20:17:13Z,350000,False,-130.0,-3.0,1,right,O. Anunoby 12' step back Jump Shot (4 PTS) (M. McBride 1 AST),"[1628384, 1630540]",1610612752.0,NYK,step back,,,Anunoby,O. Anunoby,,,,,Mid-Range,8-16 Left,,,,,,12.99,Made,,,,,4.0,M. McBride,1630540.0,1.0,,,,,
39,PT08M52.00S,2024-01-15T20:17:42.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629048,8.886333771353483,52.450980392156865,1610612753,9,5,2024-01-15T20:18:00Z,390000,False,-12.0,31.0,1,left,MISS G. Bitadze cutting Layup - blocked,"[1629048, 1628978]",1610612753.0,ORL,cutting,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,,,,,,3.34,Missed,,,,,,,,,DiVincenzo,1628978.0,,,
40,PT08M52.00S,2024-01-15T20:17:42.7Z,1,REGULAR,block,,[],1628978,,,1610612753,9,5,2024-01-15T20:17:45Z,400000,False,,,0,,D. DiVincenzo BLOCK (1 BLK),[1628978],1610612752.0,NYK,,,,DiVincenzo,D. DiVincenzo,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
41,PT08M51.00S,2024-01-15T20:17:43.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612753,9,5,2024-01-15T20:18:33Z,410000,False,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,39.0,,,,,,,,,,,,
43,PT08M45.00S,2024-01-15T20:17:51.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629643,21.50131406044678,11.519607843137255,1610612753,9,8,2024-01-15T20:17:59Z,430000,False,192.0,150.0,1,left,C. Okeke 24' 3PT  (6 PTS) (P. Banchero 2 AST),"[1629643, 1631094]",1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,Above the Break 3,24+ Right Center,,,,,,24.37,Made,,,,,6.0,P. Banchero,1631094.0,2.0,,,,,
45,PT08M35.00S,2024-01-15T20:18:03.6Z,1,REGULAR,foul,personal,[],1631216,,,1610612752,9,8,2024-01-15T20:18:24Z,450000,False,,,0,,C. Houstan personal FOUL (1 PF),"[1631216, 1628978]",1610612753.0,ORL,,,,Houstan,C. Houstan,,,,,Above the Break 3,24+ Right Center,1204.0,1.0,0.0,DiVincenzo,1628978.0,,,,,,,,,,,,,,,
47,PT08M25.00S,2024-01-15T20:18:25.9Z,1,REGULAR,3pt,Jump Shot,[],1630540,73.66951379763469,80.3921568627451,1610612752,12,8,2024-01-15T20:18:29Z,470000,False,152.0,195.0,1,right,M. McBride 24' 3PT  (3 PTS) (O. Anunoby 2 AST),"[1630540, 1628384]",1610612752.0,NYK,,,,McBride,M. McBride,,,,,Above the Break 3,24+ Right Center,,,,,,24.72,Made,,,,,3.0,O. Anunoby,1628384.0,2.0,,,,,
49,PT08M08.00S,2024-01-15T20:18:43.0Z,1,REGULAR,2pt,Jump Shot,[],1631094,13.485545335085414,32.59803921568628,1610612753,12,8,2024-01-15T20:18:46Z,490000,False,87.0,74.0,1,left,MISS P. Banchero 11' turnaround fadeaway Shot,[1631094],1610612753.0,ORL,turnaround fadeaway,,,Banchero,P. Banchero,,,,,Mid-Range,8-16 Right,,,,,,11.44,Missed,,,,,,,,,,,,,
50,PT08M05.00S,2024-01-15T20:18:46.0Z,1,REGULAR,rebound,offensive,[],1629643,,,1610612753,12,8,2024-01-15T20:18:46Z,500000,False,,,0,,C. Okeke REBOUND (Off:1 Def:0),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,Mid-Range,8-16 Right,,,,,,,,49.0,1.0,0.0,1.0,,,,,,,,,
51,PT08M03.00S,2024-01-15T20:18:47.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629643,8.886333771353483,50.73529411764706,1610612753,12,8,2024-01-15T20:18:55Z,510000,False,-4.0,31.0,1,left,MISS C. Okeke putback Layup,[1629643],1610612753.0,ORL,putback,,,Okeke,C. Okeke,,,,,Restricted Area,0-8 Center,,,,,,3.12,Missed,,,,,,,,,,,,,
52,PT08M02.00S,2024-01-15T20:18:48.5Z,1,REGULAR,rebound,offensive,[],1629643,,,1610612753,12,8,2024-01-15T20:18:51Z,520000,False,,,0,,C. Okeke REBOUND (Off:2 Def:0),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,Restricted Area,0-8 Center,,,,,,,,51.0,2.0,0.0,2.0,,,,,,,,,
53,PT07M53.00S,2024-01-15T20:18:58.5Z,1,REGULAR,turnover,out-of-bounds,[],1630591,,,1610612753,12,8,2024-01-15T20:19:23Z,530000,False,,,0,,J. Suggs bad pass out-of-bounds TURNOVER (1 TO),[1630591],1610612753.0,ORL,bad pass,,,Suggs,J. Suggs,,,,,Mid-Range,16-24 Left Center,203591.0,,,,,,,,,,,,,,,,,1.0,,
54,PT07M30.00S,2024-01-15T20:19:27.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628384,93.77463863337714,4.411764705882353,1610612752,15,8,2024-01-15T20:19:30Z,540000,False,-228.0,6.0,1,right,O. Anunoby 3PT  (7 PTS) (D. DiVincenzo 1 AST),"[1628384, 1628978]",1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Left Corner 3,24+ Left,,,,,,22.8,Made,,,,,7.0,D. DiVincenzo,1628978.0,1.0,,,,,
56,PT07M29.00S,2024-01-15T20:19:33.5Z,1,REGULAR,timeout,full,['team'],0,,,1610612753,15,8,2024-01-15T20:19:33Z,560000,False,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M19.00S,2024-01-15T20:22:41.0Z,1,REGULAR,3pt,Jump Shot,[],1631216,29.517082785808146,70.09803921568627,1610612753,15,8,2024-01-15T20:22:46Z,570000,False,-100.0,225.0,1,left,MISS C. Houstan 24' 3PT,[1631216],1610612753.0,ORL,,,,Houstan,C. Houstan,,,,,Above the Break 3,24+ Left Center,,,,,,24.64,Missed,,,,,,,,,,,,,
58,PT07M15.00S,2024-01-15T20:22:45.3Z,1,REGULAR,rebound,offensive,[],1631216,,,1610612753,15,8,2024-01-15T20:22:45Z,580000,False,,,0,,C. Houstan REBOUND (Off:1 Def:0),[1631216],1610612753.0,ORL,,,,Houstan,C. Houstan,,,,,Above the Break 3,24+ Left Center,,,,,,,,57.0,1.0,0.0,1.0,,,,,,,,,
59,PT07M12.00S,2024-01-15T20:22:48.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630591,4.418528252299605,3.431372549019608,1610612753,15,8,2024-01-15T20:22:51Z,590000,False,233.0,-11.0,1,left,MISS J. Suggs 3PT,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Right Corner 3,24+ Right,,,,,,23.31,Missed,,,,,,,,,,,,,
60,PT07M10.00S,2024-01-15T20:22:50.7Z,1,REGULAR,rebound,offensive,[],1631094,,,1610612753,15,8,2024-01-15T20:22:51Z,600000,False,,,0,,P. Banchero REBOUND (Off:1 Def:1),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Right Corner 3,24+ Right,,,,,,,,59.0,2.0,1.0,1.0,,,,,,,,,
61,PT07M08.00S,2024-01-15T20:22:54.7Z,1,REGULAR,foul,offensive,[],1631094,,,1610612753,15,8,2024-01-15T20:23:09Z,610000,False,,,0,,P. Banchero charge offensive FOUL (1 PF),"[1631094, 1630540]",1610612753.0,ORL,charge,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,1204.0,1.0,0.0,McBride,1630540.0,,,,,,,,,,,,,,,
63,PT07M08.00S,2024-01-15T20:22:54.7Z,1,REGULAR,turnover,offensive foul,[],1631094,,,1610612753,15,8,2024-01-15T20:22:54Z,630000,False,,,0,,P. Banchero offensive foul TURNOVER (1 TO),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,1204.0,,,,,,,,,,,,,,,,,1.0,,
64,PT06M57.00S,2024-01-15T20:23:17.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628978,74.72076215505913,11.76470588235294,1610612752,15,8,2024-01-15T20:23:21Z,640000,False,-191.0,185.0,1,right,MISS D. DiVincenzo 26' 3PT,[1628978],1610612752.0,NYK,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Left Center,,,,,,26.61,Missed,,,,,,,,,,,,,
65,PT06M55.00S,2024-01-15T20:23:20.6Z,1,REGULAR,rebound,offensive,[],1628392,,,1610612752,15,8,2024-01-15T20:23:20Z,650000,False,,,0,,I. Hartenstein REBOUND (Off:1 Def:1),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,Above the Break 3,24+ Left Center,,,,,,,,64.0,2.0,1.0,1.0,,,,,,,,,
66,PT06M53.00S,2024-01-15T20:23:22.0Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",203944,68.54467805519053,36.51960784313725,1610612752,15,8,2024-01-15T20:23:25Z,660000,False,-67.0,243.0,1,right,MISS J. Randle 25' 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Center,,,,,,25.24,Missed,,,,,,,,,,,,,
67,PT06M50.00S,2024-01-15T20:23:25.0Z,1,REGULAR,rebound,defensive,[],1629643,,,1610612753,15,8,2024-01-15T20:23:25Z,670000,False,,,0,,C. Okeke REBOUND (Off:2 Def:1),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,Above the Break 3,24+ Center,,,,,,,,66.0,3.0,1.0,2.0,,,,,,,,,
68,PT06M41.00S,2024-01-15T20:23:34.0Z,1,REGULAR,3pt,Jump Shot,[],1631216,5.469776609724048,3.431372549019608,1610612753,15,8,2024-01-15T20:23:37Z,680000,False,233.0,-1.0,1,left,MISS C. Houstan 3PT,[1631216],1610612753.0,ORL,,,,Houstan,C. Houstan,,,,,Right Corner 3,24+ Right,,,,,,23.28,Missed,,,,,,,,,,,,,
69,PT06M38.00S,2024-01-15T20:23:37.0Z,1,REGULAR,rebound,defensive,[],1628392,,,1610612752,15,8,2024-01-15T20:23:37Z,690000,False,,,0,,I. Hartenstein REBOUND (Off:1 Def:2),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,Right Corner 3,24+ Right,,,,,,,,68.0,3.0,2.0,1.0,,,,,,,,,
70,PT06M28.00S,2024-01-15T20:23:46.4Z,1,REGULAR,3pt,Jump Shot,[],1630540,75.64060446780552,13.725490196078432,1610612752,18,8,2024-01-15T20:23:51Z,700000,False,-181.0,176.0,1,right,M. McBride 25' 3PT step back (6 PTS) (I. Hartenstein 1 AST),"[1630540, 1628392]",1610612752.0,NYK,step back,,,McBride,M. McBride,,,,,Above the Break 3,24+ Left Center,,,,,,25.31,Made,,,,,6.0,I. Hartenstein,1628392.0,1.0,,,,,
72,PT06M11.00S,2024-01-15T20:24:03.9Z,1,REGULAR,3pt,Jump Shot,[],1629643,26.757555847568987,80.14705882352942,1610612753,18,11,2024-01-15T20:24:07Z,720000,False,-151.0,199.0,1,left,C. Okeke 24' 3PT  (9 PTS) (G. Bitadze 1 AST),"[1629643, 1629048]",1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,Above the Break 3,24+ Left Center,,,,,,24.96,Made,,,,,9.0,G. Bitadze,1629048.0,1.0,,,,,
74,PT05M56.00S,2024-01-15T20:24:18.5Z,1,REGULAR,3pt,Jump Shot,[],1628978,81.15965834428384,92.64705882352942,1610612752,18,11,2024-01-15T20:24:22Z,740000,False,213.0,125.0,1,right,MISS D. DiVincenzo 24' 3PT,[1628978],1610612752.0,NYK,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Right Center,,,,,,24.69,Missed,,,,,,,,,,,,,
75,PT05M53.00S,2024-01-15T20:24:21.5Z,1,REGULAR,rebound,defensive,[],1630591,,,1610612753,18,11,2024-01-15T20:24:22Z,750000,False,,,0,,J. Suggs REBOUND (Off:0 Def:1),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Right Center,,,,,,,,74.0,1.0,1.0,0.0,,,,,,,,,
76,PT05M43.00S,2024-01-15T20:24:31.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631094,18.347568988173457,40.931372549019606,1610612753,18,13,2024-01-15T20:26:04Z,760000,False,45.0,120.0,1,left,P. Banchero 12' pullup Jump Shot (4 PTS),[1631094],1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),8-16 Center,,,,,,12.83,Made,,,,,4.0,,,,,,,,
78,PT05M23.00S,2024-01-15T20:24:51.9Z,1,REGULAR,3pt,Jump Shot,[],1630540,67.23061760840999,46.07843137254902,1610612752,18,13,2024-01-15T20:24:56Z,780000,False,-20.0,256.0,1,right,MISS M. McBride 25' step back 3PT,[1630540],1610612752.0,NYK,step back,,,McBride,M. McBride,,,,,Above the Break 3,24+ Center,,,,,,25.63,Missed,,,,,,,,,,,,,
79,PT05M20.00S,2024-01-15T20:24:54.9Z,1,REGULAR,rebound,defensive,[],1630591,,,1610612753,18,13,2024-01-15T20:24:56Z,790000,False,,,0,,J. Suggs REBOUND (Off:0 Def:2),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Center,,,,,,,,78.0,2.0,2.0,0.0,,,,,,,,,
80,PT05M14.00S,2024-01-15T20:25:07.8Z,1,REGULAR,foul,personal,[],1630540,,,1610612753,18,13,2024-01-15T20:25:14Z,800000,False,,,0,,M. McBride loose ball personal FOUL (1 PF),"[1630540, 1630591]",1610612752.0,NYK,loose ball,,,McBride,M. McBride,,,,,Above the Break 3,24+ Center,203591.0,1.0,0.0,Suggs,1630591.0,,,,,,,,,,,,,,,
82,PT05M14.00S,2024-01-15T20:25:07.9Z,1,REGULAR,substitution,out,[],1628978,,,1610612753,18,13,2024-01-15T20:25:23Z,820000,False,,,0,,SUB out: D. DiVincenzo,[1628978],1610612752.0,NYK,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M14.00S,2024-01-15T20:25:07.9Z,1,REGULAR,substitution,in,[],1628404,,,1610612753,18,13,2024-01-15T20:25:23Z,830000,False,,,0,,SUB in: J. Hart,[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M55.00S,2024-01-15T20:25:50.1Z,1,REGULAR,2pt,Jump Shot,[],1631094,11.908672798948752,67.40196078431373,1610612753,18,13,2024-01-15T20:25:54Z,840000,False,-87.0,59.0,1,left,MISS P. Banchero 10' turnaround fadeaway Shot,[1631094],1610612753.0,ORL,turnaround fadeaway,,,Banchero,P. Banchero,,,,,Mid-Range,8-16 Left,,,,,,10.53,Missed,,,,,,,,,,,,,
85,PT04M51.00S,2024-01-15T20:25:54.1Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,18,13,2024-01-15T20:25:54Z,850000,False,,,0,,J. Randle REBOUND (Off:0 Def:2),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Mid-Range,8-16 Left,,,,,,,,84.0,2.0,2.0,0.0,,,,,,,,,
86,PT04M43.00S,2024-01-15T20:26:01.5Z,1,REGULAR,3pt,Jump Shot,[],1628404,73.27529566360053,16.666666666666664,1610612752,18,13,2024-01-15T20:27:18Z,860000,False,-167.0,199.0,1,right,MISS J. Hart 25' pullup 3PT,[1628404],1610612752.0,NYK,pullup,,,Hart,J. Hart,,,,,Above the Break 3,24+ Left Center,,,,,,25.94,Missed,,,,,,,,,,,,,
87,PT04M40.00S,2024-01-15T20:26:04.5Z,1,REGULAR,rebound,defensive,[],1629048,,,1610612753,18,13,2024-01-15T20:26:05Z,870000,False,,,0,,G. Bitadze REBOUND (Off:0 Def:1),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Above the Break 3,24+ Left Center,,,,,,,,86.0,1.0,1.0,0.0,,,,,,,,,
88,PT04M21.00S,2024-01-15T20:26:23.4Z,1,REGULAR,3pt,Jump Shot,[],1631216,5.469776609724048,3.9215686274509802,1610612753,18,16,2024-01-15T20:26:27Z,880000,False,230.0,-1.0,1,left,C. Houstan 3PT  (3 PTS) (J. Suggs 2 AST),"[1631216, 1630591]",1610612753.0,ORL,,,,Houstan,C. Houstan,,,,,Right Corner 3,24+ Right,,,,,,23.04,Made,,,,,3.0,J. Suggs,1630591.0,2.0,,,,,
90,PT03M57.00S,2024-01-15T20:26:47.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203944,93.64323258869908,42.8921568627451,1610612752,18,16,2024-01-15T20:26:51Z,900000,False,-36.0,7.0,1,right,MISS J. Randle driving Layup,[203944],1610612752.0,NYK,driving,,,Randle,J. Randle,,,,,Restricted Area,0-8 Center,,,,,,3.62,Missed,,,,,,,,,,,,,
