actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,officialId,turnoverTotal,stealPlayerName,stealPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
47,PT08M06.00S,2024-03-09T00:49:00.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203914,6.389618922470433,50.245098039215684,1610612753,10,3,2024-03-09T00:49:04Z,470000,False,-1.0,8.0,1,left,MISS G. Harris driving Layup,[203914],1610612753.0,ORL,driving,,,Harris,G. Harris,,,,,Restricted Area,0-8 Center,0.77,Missed,,,,,,,,,,,,,,,,,,
48,PT08M04.00S,2024-03-09T00:49:02.4Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612752,10,3,2024-03-09T00:59:32Z,480000,False,,,0,,P. Achiuwa REBOUND (Off:0 Def:3),[1630173],1610612752.0,NYK,,,,Achiuwa,P. Achiuwa,,,,,Restricted Area,0-8 Center,,,,,47.0,,,,,3.0,3.0,0.0,,,,,,,,
49,PT07M51.00S,2024-03-09T00:49:14.7Z,1,REGULAR,3pt,Jump Shot,[],1628978,95.3515111695138,2.450980392156863,1610612752,13,3,2024-03-09T00:49:19Z,490000,False,-238.0,-9.0,1,right,D. DiVincenzo 3PT  (3 PTS) (I. Hartenstein 1 AST),"[1628978, 1628392]",1610612752.0,NYK,,,,DiVincenzo,D. DiVincenzo,,,,,Left Corner 3,24+ Left,23.79,Made,,,,,,,,,,,3.0,I. Hartenstein,1628392.0,1.0,,,,
51,PT07M50.00S,2024-03-09T00:49:20.8Z,1,REGULAR,timeout,full,['team'],0,,,1610612753,13,3,2024-03-09T00:49:20Z,510000,False,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M32.00S,2024-03-09T00:52:45.3Z,1,REGULAR,3pt,Jump Shot,[],1628976,31.225361366622867,62.254901960784316,1610612753,13,6,2024-03-09T00:52:50Z,520000,False,-61.0,241.0,1,left,W. Carter Jr. 24' 3PT  (3 PTS) (P. Banchero 1 AST),"[1628976, 1631094]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Center,24.87,Made,,,,,,,,,,,3.0,P. Banchero,1631094.0,1.0,,,,
55,PT07M13.00S,2024-03-09T00:53:03.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,82.7365308804205,52.94117647058824,1610612752,15,6,2024-03-09T00:53:10Z,540000,False,15.0,110.0,1,right,J. Brunson 11' driving floating Jump Shot (4 PTS),[1628973],1610612752.0,NYK,driving floating,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),8-16 Center,11.08,Made,,,,,,,,,,,4.0,,,,,,,
56,PT06M49.00S,2024-03-09T00:53:28.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,6.783837056504599,49.26470588235294,1610612753,15,6,2024-03-09T00:53:34Z,550000,False,4.0,11.0,1,left,MISS F. Wagner driving finger roll Layup,[1630532],1610612753.0,ORL,driving finger roll,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,1.19,Missed,,,,,,,,,,,,,,,,,,
57,PT06M47.00S,2024-03-09T00:53:30.5Z,1,REGULAR,rebound,offensive,[],1628976,,,1610612753,15,6,2024-03-09T00:53:34Z,560000,False,,,0,,W. Carter Jr. REBOUND (Off:1 Def:0),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,,,,,56.0,,,,,1.0,0.0,1.0,,,,,,,,
58,PT06M47.00S,2024-03-09T00:53:31.7Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628976,5.590000152587891,50.0,1610612753,15,6,2024-03-09T00:53:40Z,570000,False,0.0,0.0,1,left,MISS W. Carter Jr. tip Layup,[1628976],1610612753.0,ORL,tip,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
59,PT06M45.00S,2024-03-09T00:53:33.7Z,1,REGULAR,rebound,defensive,[],1628392,,,1610612752,15,6,2024-03-09T00:53:40Z,580000,False,,,0,,I. Hartenstein REBOUND (Off:1 Def:2),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,,,,,58.0,,,,,3.0,2.0,1.0,,,,,,,,
60,PT06M40.00S,2024-03-09T00:53:37.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628973,75.24638633377135,84.31372549019608,1610612752,18,6,2024-03-09T00:53:43Z,590000,False,172.0,180.0,1,right,J. Brunson 24' 3PT running pullup (7 PTS),[1628973],1610612752.0,NYK,running pullup,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Right Center,24.88,Made,,,,,,,,,,,7.0,,,,,,,
61,PT06M27.00S,2024-03-09T00:53:50.3Z,1,REGULAR,2pt,Jump Shot,[],1631094,20.844283837056505,35.53921568627451,1610612753,18,8,2024-03-09T00:53:53Z,600000,False,72.0,143.0,1,left,P. Banchero 16' pullup Jump Shot (5 PTS),[1631094],1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,Mid-Range,8-16 Center,16.06,Made,,,,,,,,,,,5.0,,,,,,,
62,PT06M07.00S,2024-03-09T00:54:10.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630173,92.46057818659659,47.05882352941176,1610612752,18,8,2024-03-09T00:54:16Z,610000,False,-15.0,18.0,1,right,MISS P. Achiuwa driving Layup - blocked,"[1630173, 1631094]",1610612752.0,NYK,driving,,,Achiuwa,P. Achiuwa,,,,,Restricted Area,0-8 Center,2.36,Missed,Banchero,1631094.0,,,,,,,,,,,,,,,,
63,PT06M07.00S,2024-03-09T00:54:10.2Z,1,REGULAR,block,,[],1631094,,,1610612752,18,8,2024-03-09T00:54:12Z,620000,False,,,0,,P. Banchero BLOCK (1 BLK),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
64,PT06M05.00S,2024-03-09T00:54:12.2Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,18,8,2024-03-09T00:54:16Z,630000,False,,,0,,W. Carter Jr. REBOUND (Off:1 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,,,,,62.0,,,,,2.0,1.0,1.0,,,,,,,,
65,PT05M55.00S,2024-03-09T00:54:22.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,5.601182654402102,47.05882352941176,1610612753,18,8,2024-03-09T00:54:27Z,640000,False,15.0,0.0,1,left,MISS F. Wagner driving Layup,[1630532],1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,1.47,Missed,,,,,,,,,,,,,,,,,,
66,PT05M54.00S,2024-03-09T00:54:23.2Z,1,REGULAR,rebound,offensive,[],1628976,,,1610612753,18,8,2024-03-09T00:54:32Z,650000,False,,,0,,W. Carter Jr. REBOUND (Off:2 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,,,,,65.0,,,,,3.0,1.0,2.0,,,,,,,,
67,PT05M53.00S,2024-03-09T00:54:25.2Z,1,REGULAR,foul,personal,['2freethrow'],1628392,,,1610612753,18,8,2024-03-09T00:54:36Z,660000,False,,,0,,I. Hartenstein shooting personal FOUL (1 PF) (Carter Jr. 2 FT),"[1628392, 1628976]",1610612752.0,NYK,shooting,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,,,,,,1627524.0,,,,,,,,,,,1.0,0.0,Carter Jr.,1628976.0
69,PT05M53.00S,2024-03-09T00:55:05.7Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1628976,,,1610612753,18,9,2024-03-09T00:55:29Z,680000,False,,,0,,W. Carter Jr. Free Throw 1 of 2 (4 PTS),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,Made,,,,,,,,,,,4.0,,,,,,,
70,PT05M53.00S,2024-03-09T00:55:05.7Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1628976,,,1610612753,18,9,2024-03-09T00:55:29Z,690000,False,,,0,,MISS W. Carter Jr. Free Throw 2 of 2,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
71,PT05M51.00S,2024-03-09T00:55:07.7Z,1,REGULAR,rebound,defensive,[],1628392,,,1610612752,18,9,2024-03-09T00:55:29Z,700000,False,,,0,,I. Hartenstein REBOUND (Off:1 Def:3),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,,,,,,,70.0,,,,,4.0,3.0,1.0,,,,,,,,
72,PT05M45.00S,2024-03-09T00:55:34.6Z,1,REGULAR,3pt,Jump Shot,[],1628973,63.288436268068324,51.225490196078425,1610612752,21,9,2024-03-09T00:55:39Z,710000,False,6.0,293.0,1,right,J. Brunson 29' 3PT pullup (10 PTS),[1628973],1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Center,29.27,Made,,,,,,,,,,,10.0,,,,,,,
74,PT05M25.00S,2024-03-09T00:55:57.5Z,1,REGULAR,substitution,out,[],1628392,,,1610612753,21,9,2024-03-09T00:56:06Z,730000,False,,,0,,SUB out: I. Hartenstein,[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M25.00S,2024-03-09T00:55:57.5Z,1,REGULAR,substitution,in,[],1630579,,,1610612753,21,9,2024-03-09T00:56:06Z,740000,False,,,0,,SUB in: J. Sims,[1630579],1610612752.0,NYK,,,,Sims,J. Sims,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M19.00S,2024-03-09T00:56:26.8Z,1,REGULAR,foul,personal,[],1628973,,,1610612753,21,9,2024-03-09T00:56:33Z,750000,False,,,0,,J. Brunson personal FOUL (1 PF),"[1628973, 1641710]",1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Mid-Range,8-16 Left,,,,,,1830.0,,,,,,,,,,,1.0,0.0,Black,1641710.0
78,PT05M07.00S,2024-03-09T00:56:53.1Z,1,REGULAR,3pt,Jump Shot,[],1628976,30.962549277266753,67.15686274509804,1610612753,21,12,2024-03-09T00:56:57Z,770000,False,-86.0,239.0,1,left,W. Carter Jr. 25' 3PT  (7 PTS) (P. Banchero 2 AST),"[1628976, 1631094]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Left Center,25.35,Made,,,,,,,,,,,7.0,P. Banchero,1631094.0,2.0,,,,
80,PT04M53.00S,2024-03-09T00:57:09.5Z,1,REGULAR,foul,personal,[],1628976,,,1610612752,21,12,2024-03-09T00:57:19Z,790000,False,,,0,,W. Carter Jr. personal FOUL (1 PF),"[1628976, 1628973]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,1627524.0,,,,,,,,,,,1.0,0.0,Brunson,1628973.0
82,PT04M53.00S,2024-03-09T00:57:09.6Z,1,REGULAR,substitution,out,[],1630532,,,1610612752,21,12,2024-03-09T00:57:25Z,810000,False,,,0,,SUB out: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M53.00S,2024-03-09T00:57:09.6Z,1,REGULAR,substitution,in,[],204060,,,1610612752,21,12,2024-03-09T00:57:25Z,820000,False,,,0,,SUB in: J. Ingles,[204060],1610612753.0,ORL,,,,Ingles,J. Ingles,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M38.00S,2024-03-09T00:58:03.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628978,94.69448094612353,49.50980392156863,1610612752,21,12,2024-03-09T00:58:07Z,840000,False,-2.0,-3.0,1,right,MISS D. DiVincenzo driving Layup - blocked,"[1628978, 1628976]",1610612752.0,NYK,driving,,,DiVincenzo,D. DiVincenzo,,,,,Restricted Area,0-8 Center,0.36,Missed,Carter Jr.,1628976.0,,,,,,,,,,,,,,,,
