actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
18,PT10M35.00S,2023-12-01T00:43:42.7Z,1,REGULAR,3pt,Jump Shot,[],1630165,67.88764783180025,63.725490196078425,1610612765,4,2,2023-12-01T00:45:45Z,180000,False,69.0,249.0,1,right,MISS K. Hayes 25' pullup 3PT,[1630165],1610612765.0,DET,pullup,,,Hayes,K. Hayes,,,,,Above the Break 3,24+ Center,25.87,Missed,,,,,,,,,,,,,,,,,,
19,PT10M33.00S,2023-12-01T00:43:44.7Z,1,REGULAR,rebound,offensive,[],1630587,,,1610612765,4,2,2023-12-01T00:44:08Z,190000,False,,,0,,I. Livers REBOUND (Off:1 Def:0),[1630587],1610612765.0,DET,,,,Livers,I. Livers,,,,,Above the Break 3,24+ Center,,,18.0,1.0,0.0,1.0,,,,,,,,,,,,,,
20,PT10M29.00S,2023-12-01T00:43:48.5Z,1,REGULAR,turnover,lost ball,[],1630191,,,1610612765,4,2,2023-12-01T00:43:52Z,200000,False,,,0,,I. Stewart lost ball TURNOVER (1 TO),"[1630191, 1629656]",1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Above the Break 3,24+ Right Center,,,,,,,1.0,Grimes,1629656.0,,,,,,,,,,,
21,PT10M29.00S,2023-12-01T00:43:48.5Z,1,REGULAR,steal,,[],1629656,,,1610612752,4,2,2023-12-01T00:43:50Z,210000,False,,,0,,Q. Grimes STEAL (1 STL),[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
22,PT10M28.00S,2023-12-01T00:43:53.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629656,8.360709592641262,51.470588235294116,1610612752,4,2,2023-12-01T00:44:04Z,220000,False,-7.0,26.0,1,left,MISS Q. Grimes running Layup - blocked,"[1629656, 1630165]",1610612752.0,NYK,running,,,Grimes,Q. Grimes,,,,,Restricted Area,0-8 Center,2.71,Missed,,,,,,,,,,,,,,Hayes,1630165.0,,,
23,PT10M28.00S,2023-12-01T00:43:53.8Z,1,REGULAR,block,,[],1630165,,,1610612752,4,2,2023-12-01T00:43:56Z,230000,False,,,0,,K. Hayes BLOCK (1 BLK),[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
24,PT10M26.00S,2023-12-01T00:43:55.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612752,4,2,2023-12-01T00:44:04Z,240000,False,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,Restricted Area,0-8 Center,,,22.0,,,,,,,,,,,,,,,,,
26,PT10M15.00S,2023-12-01T00:44:21.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1629656,8.360709592641262,3.6764705882352944,1610612752,4,2,2023-12-01T00:44:26Z,260000,False,232.0,26.0,1,left,MISS Q. Grimes 3PT,[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,Right Corner 3,24+ Right,23.31,Missed,,,,,,,,,,,,,,,,,,
27,PT10M13.00S,2023-12-01T00:44:23.5Z,1,REGULAR,rebound,defensive,[],1630587,,,1610612765,4,2,2023-12-01T00:44:26Z,270000,False,,,0,,I. Livers REBOUND (Off:1 Def:1),[1630587],1610612765.0,DET,,,,Livers,I. Livers,,,,,Right Corner 3,24+ Right,,,26.0,2.0,1.0,1.0,,,,,,,,,,,,,,
28,PT10M08.00S,2023-12-01T00:44:31.6Z,1,REGULAR,foul,offensive,[],1631105,,,1610612765,4,2,2023-12-01T00:44:39Z,280000,False,,,0,,J. Duren offensive FOUL (1 PF),"[1631105, 1628973]",1610612765.0,DET,,,,Duren,J. Duren,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,203593.0,1.0,0.0,Brunson,1628973.0,,,,,
30,PT10M08.00S,2023-12-01T00:44:31.6Z,1,REGULAR,turnover,offensive foul,[],1631105,,,1610612765,4,2,2023-12-01T00:44:31Z,300000,False,,,0,,J. Duren offensive foul TURNOVER (1 TO),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Mid-Range,16-24 Right Center,,,,,,,1.0,,,,203593.0,,,,,,,,,
31,PT09M56.00S,2023-12-01T00:44:57.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628973,19.530223390275953,25.245098039215684,1610612752,6,2,2023-12-01T00:45:01Z,310000,False,124.0,131.0,1,left,J. Brunson 18' step back Jump Shot (4 PTS),[1628973],1610612752.0,NYK,step back,,,Brunson,J. Brunson,,,,,Mid-Range,16-24 Right Center,18.03,Made,,,,,,,,4.0,,,,,,,,,,
32,PT09M44.00S,2023-12-01T00:45:08.3Z,1,REGULAR,3pt,Jump Shot,[],1630595,74.32654402102497,13.725490196078432,1610612765,6,2,2023-12-01T00:51:30Z,320000,False,-181.0,189.0,1,right,MISS C. Cunningham 26' pullup 3PT,[1630595],1610612765.0,DET,pullup,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Left Center,26.18,Missed,,,,,,,,,,,,,,,,,,
33,PT09M42.00S,2023-12-01T00:45:10.3Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,6,2,2023-12-01T00:45:12Z,330000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Left Center,,,32.0,1.0,1.0,0.0,,,,,,,,,,,,,,
34,PT09M31.00S,2023-12-01T00:45:22.1Z,1,REGULAR,3pt,Jump Shot,[],1628973,26.757555847568987,18.627450980392158,1610612752,9,2,2023-12-01T00:45:26Z,340000,False,157.0,199.0,1,left,J. Brunson 25' 3PT step back (7 PTS),[1628973],1610612752.0,NYK,step back,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Right Center,25.34,Made,,,,,,,,7.0,,,,,,,,,,
35,PT09M16.00S,2023-12-01T00:45:36.1Z,1,REGULAR,3pt,Jump Shot,[],1630191,93.38042049934296,2.696078431372549,1610612765,9,2,2023-12-01T00:45:44Z,350000,False,-237.0,10.0,1,right,MISS I. Stewart 3PT,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Left Corner 3,24+ Left,23.67,Missed,,,,,,,,,,,,,,,,,,
36,PT09M14.00S,2023-12-01T00:45:38.1Z,1,REGULAR,rebound,defensive,[],1629656,,,1610612752,9,2,2023-12-01T00:45:44Z,360000,False,,,0,,Q. Grimes REBOUND (Off:0 Def:1),[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,Left Corner 3,24+ Left,,,35.0,1.0,1.0,0.0,,,,,,,,,,,,,,
37,PT09M05.00S,2023-12-01T00:45:49.8Z,1,REGULAR,turnover,out-of-bounds,[],203944,,,1610612752,9,2,2023-12-01T00:45:58Z,370000,False,,,0,,J. Randle lost ball out-of-bounds TURNOVER (1 TO),[203944],1610612752.0,NYK,lost ball,,,Randle,J. Randle,,,,,Mid-Range,16-24 Right,,,,,,,1.0,,,,1627961.0,,,,,,,,,
38,PT08M46.00S,2023-12-01T00:46:15.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630165,93.11760840998686,70.34313725490196,1610612765,9,4,2023-12-01T00:46:19Z,380000,False,102.0,12.0,1,right,K. Hayes 10' step back Jump Shot (2 PTS) (C. Cunningham 1 AST),"[1630165, 1630595]",1610612765.0,DET,step back,,,Hayes,K. Hayes,,,,,Mid-Range,8-16 Right,10.24,Made,,,,,,,,2.0,,,,,,,,C. Cunningham,1630595.0,1.0
40,PT08M33.00S,2023-12-01T00:46:29.6Z,1,REGULAR,2pt,Jump Shot,[],1628973,9.280551905387648,22.794117647058822,1610612752,9,4,2023-12-01T00:46:37Z,400000,False,136.0,35.0,1,left,MISS J. Brunson 14' pullup Shot,[1628973],1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,Mid-Range,8-16 Right,14.04,Missed,,,,,,,,,,,,,,,,,,
41,PT08M31.00S,2023-12-01T00:46:31.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612765,9,4,2023-12-01T00:46:37Z,410000,False,,,0,,TEAM defensive REBOUND,[],1610612765.0,DET,,,,,,,,,,Mid-Range,8-16 Right,,,40.0,,,,,,,,,,,,,,,,,
43,PT08M17.00S,2023-12-01T00:46:54.1Z,1,REGULAR,turnover,bad pass,[],1630587,,,1610612765,9,4,2023-12-01T00:46:57Z,430000,False,,,0,,I. Livers bad pass TURNOVER (1 TO),"[1630587, 1628973]",1610612765.0,DET,,,,Livers,I. Livers,,,,,Mid-Range,16-24 Right Center,,,,,,,1.0,Brunson,1628973.0,,,,,,,,,,,
44,PT08M17.00S,2023-12-01T00:46:54.1Z,1,REGULAR,steal,,[],1628973,,,1610612752,9,4,2023-12-01T00:46:55Z,440000,False,,,0,,J. Brunson STEAL (1 STL),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
45,PT08M11.00S,2023-12-01T00:47:00.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629628,31.35676741130092,63.48039215686274,1610612752,9,4,2023-12-01T00:47:08Z,450000,False,-67.0,242.0,1,left,MISS R. Barrett 25' 3PT,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Center,25.15,Missed,,,,,,,,,,,,,,,,,,
46,PT08M09.00S,2023-12-01T00:47:02.1Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,9,4,2023-12-01T00:47:08Z,460000,False,,,0,,J. Duren REBOUND (Off:0 Def:1),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Above the Break 3,24+ Center,,,45.0,1.0,1.0,0.0,,,,,,,,,,,,,,
47,PT08M04.00S,2023-12-01T00:47:07.1Z,1,REGULAR,foul,personal,['3freethrow'],1628973,,,1610612765,9,4,2023-12-01T00:47:24Z,470000,False,,,0,,J. Brunson shooting personal FOUL (1 PF) (Livers 3 FT),"[1628973, 1630587]",1610612752.0,NYK,shooting,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,1627962.0,1.0,0.0,Livers,1630587.0,,,,,
49,PT08M04.00S,2023-12-01T00:47:33.1Z,1,REGULAR,freethrow,1 of 3,[],1630587,,,1610612765,9,5,2023-12-01T00:48:10Z,490000,False,,,0,,I. Livers Free Throw 1 of 3 (1 PTS),[1630587],1610612765.0,DET,,,,Livers,I. Livers,,,,,,,,Made,,,,,,,,1.0,,,,,,,,,,
50,PT08M04.00S,2023-12-01T00:47:33.1Z,1,REGULAR,freethrow,2 of 3,[],1630587,,,1610612765,9,5,2023-12-01T00:48:10Z,500000,False,,,0,,MISS I. Livers Free Throw 2 of 3,[1630587],1610612765.0,DET,,,,Livers,I. Livers,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
51,PT08M04.00S,2023-12-01T00:47:33.1Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612765,9,5,2023-12-01T00:48:10Z,510000,False,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,
52,PT08M04.00S,2023-12-01T00:47:33.1Z,1,REGULAR,freethrow,3 of 3,[],1630587,,,1610612765,9,5,2023-12-01T00:48:10Z,520000,False,,,0,,MISS I. Livers Free Throw 3 of 3,[1630587],1610612765.0,DET,,,,Livers,I. Livers,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
53,PT08M02.00S,2023-12-01T00:47:35.1Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612752,9,5,2023-12-01T00:48:10Z,530000,False,,,0,,J. Brunson REBOUND (Off:0 Def:1),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,,,,,52.0,1.0,1.0,0.0,,,,,,,,,,,,,,
54,PT07M54.00S,2023-12-01T00:48:16.0Z,1,REGULAR,3pt,Jump Shot,[],203944,31.09395532194481,33.088235294117645,1610612752,9,5,2023-12-01T00:48:22Z,540000,False,85.0,240.0,1,left,MISS J. Randle 25' 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Right Center,25.43,Missed,,,,,,,,,,,,,,,,,,
55,PT07M52.00S,2023-12-01T00:48:18.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612765,9,5,2023-12-01T00:48:22Z,550000,False,,,0,,TEAM defensive REBOUND,[],1610612765.0,DET,,,,,,,,,,Above the Break 3,24+ Right Center,,,54.0,,,,,,,,,,,,,,,,,
57,PT07M41.00S,2023-12-01T00:48:34.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631105,94.30026281208936,52.94117647058824,1610612765,9,5,2023-12-01T00:48:39Z,570000,False,15.0,1.0,1,right,MISS J. Duren Layup - blocked,"[1631105, 1629011]",1610612765.0,DET,,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,1.47,Missed,,,,,,,,,,,,,,Robinson,1629011.0,,,
58,PT07M41.00S,2023-12-01T00:48:34.5Z,1,REGULAR,block,,[],1629011,,,1610612765,9,5,2023-12-01T00:48:36Z,580000,False,,,0,,M. Robinson BLOCK (1 BLK),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
59,PT07M39.00S,2023-12-01T00:48:36.5Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,9,5,2023-12-01T00:48:39Z,590000,False,,,0,,J. Randle REBOUND (Off:0 Def:2),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Restricted Area,0-8 Center,,,57.0,2.0,2.0,0.0,,,,,,,,,,,,,,
60,PT07M33.00S,2023-12-01T00:48:42.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203944,6.915243101182654,53.67647058823529,1610612752,9,5,2023-12-01T00:49:43Z,600000,False,-18.0,13.0,1,left,MISS J. Randle running Layup,[203944],1610612752.0,NYK,running,,,Randle,J. Randle,,,,,Restricted Area,0-8 Center,2.22,Missed,,,,,,,,,,,,,,,,,,
61,PT07M31.00S,2023-12-01T00:48:44.1Z,1,REGULAR,rebound,offensive,[],203944,,,1610612752,9,5,2023-12-01T00:48:54Z,610000,False,,,0,,J. Randle REBOUND (Off:1 Def:2),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Restricted Area,0-8 Center,,,60.0,3.0,2.0,1.0,,,,,,,,,,,,,,
62,PT07M23.00S,2023-12-01T00:48:51.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",203944,12.828515111695138,50.49019607843137,1610612752,9,5,2023-12-01T00:48:58Z,620000,False,-2.0,68.0,1,left,MISS J. Randle 6' turnaround Shot,[203944],1610612752.0,NYK,turnaround,,,Randle,J. Randle,,,,,In The Paint (Non-RA),0-8 Center,6.81,Missed,,,,,,,,,,,,,,,,,,
63,PT07M21.00S,2023-12-01T00:48:53.1Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,9,5,2023-12-01T00:48:58Z,630000,False,,,0,,I. Stewart REBOUND (Off:0 Def:1),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,In The Paint (Non-RA),0-8 Center,,,62.0,1.0,1.0,0.0,,,,,,,,,,,,,,
64,PT07M17.00S,2023-12-01T00:48:59.2Z,1,REGULAR,turnover,out-of-bounds,[],1630595,,,1610612765,9,5,2023-12-01T00:49:06Z,640000,False,,,0,,C. Cunningham bad pass out-of-bounds TURNOVER (2 TO),[1630595],1610612765.0,DET,bad pass,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Center,,,,,,,2.0,,,,203593.0,,,,,,,,,
65,PT07M03.00S,2023-12-01T00:49:20.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629628,13.87976346911958,4.411764705882353,1610612752,9,5,2023-12-01T00:49:26Z,650000,False,228.0,78.0,1,left,MISS R. Barrett 24' 3PT,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,Right Corner 3,24+ Right,24.09,Missed,,,,,,,,,,,,,,,,,,
66,PT07M01.00S,2023-12-01T00:49:22.5Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,9,5,2023-12-01T00:49:26Z,660000,False,,,0,,J. Duren REBOUND (Off:0 Def:2),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Right Corner 3,24+ Right,,,65.0,2.0,2.0,0.0,,,,,,,,,,,,,,
67,PT06M53.00S,2023-12-01T00:49:30.2Z,1,REGULAR,3pt,Jump Shot,[],1630595,96.92838370565046,94.6078431372549,1610612765,9,8,2023-12-01T00:49:35Z,670000,False,223.0,-24.0,1,right,C. Cunningham 3PT  (5 PTS) (K. Hayes 1 AST),"[1630595, 1630165]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Right Corner 3,24+ Right,22.42,Made,,,,,,,,5.0,,,,,,,,K. Hayes,1630165.0,1.0
69,PT06M34.00S,2023-12-01T00:49:49.9Z,1,REGULAR,3pt,Jump Shot,[],1629656,5.075558475689881,95.83333333333334,1610612752,9,8,2023-12-01T00:49:55Z,690000,False,-229.0,-5.0,1,left,MISS Q. Grimes 3PT,[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,Left Corner 3,24+ Left,22.93,Missed,,,,,,,,,,,,,,,,,,
70,PT06M32.00S,2023-12-01T00:49:51.9Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,9,8,2023-12-01T00:49:55Z,700000,False,,,0,,J. Duren REBOUND (Off:0 Def:3),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Left Corner 3,24+ Left,,,69.0,3.0,3.0,0.0,,,,,,,,,,,,,,
71,PT06M23.00S,2023-12-01T00:50:01.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630595,94.30026281208936,45.09803921568628,1610612765,9,10,2023-12-01T00:50:07Z,710000,False,-25.0,1.0,1,right,C. Cunningham cutting Layup (7 PTS) (K. Hayes 2 AST),"[1630595, 1630165]",1610612765.0,DET,cutting,,,Cunningham,C. Cunningham,,,,,Restricted Area,0-8 Center,2.45,Made,,,,,,,,7.0,,,,,,,,K. Hayes,1630165.0,2.0
73,PT06M23.00S,2023-12-01T00:50:05.5Z,1,REGULAR,timeout,full,['team'],0,,,1610612752,9,10,2023-12-01T00:50:05Z,730000,False,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M12.00S,2023-12-01T00:53:18.3Z,1,REGULAR,3pt,Jump Shot,[],203944,8.754927726675426,5.637254901960785,1610612752,12,10,2023-12-01T00:53:22Z,740000,False,222.0,30.0,1,left,J. Randle 3PT  (3 PTS) (J. Brunson 1 AST),"[203944, 1628973]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,Right Corner 3,24+ Right,22.38,Made,,,,,,,,3.0,,,,,,,,J. Brunson,1628973.0,1.0
77,PT05M56.00S,2023-12-01T00:53:35.6Z,1,REGULAR,turnover,out-of-bounds,[],1630587,,,1610612765,12,10,2023-12-01T00:53:42Z,760000,False,,,0,,I. Livers bad pass out-of-bounds TURNOVER (2 TO),[1630587],1610612765.0,DET,bad pass,,,Livers,I. Livers,,,,,Above the Break 3,24+ Left Center,,,,,,,2.0,,,,203593.0,,,,,,,,,
78,PT05M45.00S,2023-12-01T00:53:50.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628973,21.369908015768726,67.15686274509804,1610612752,14,10,2023-12-01T00:53:55Z,770000,False,-86.0,148.0,1,left,J. Brunson 17' pullup Jump Shot (9 PTS) (J. Randle 1 AST),"[1628973, 203944]",1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,Mid-Range,16-24 Left Center,17.14,Made,,,,,,,,9.0,,,,,,,,J. Randle,203944.0,1.0
79,PT05M33.00S,2023-12-01T00:54:02.3Z,1,REGULAR,2pt,Jump Shot,[],1630165,82.47371879106439,87.00980392156863,1610612765,14,10,2023-12-01T01:01:45Z,780000,False,185.0,112.0,1,right,MISS K. Hayes 21' pullup Shot,[1630165],1610612765.0,DET,pullup,,,Hayes,K. Hayes,,,,,Mid-Range,16-24 Right,21.64,Missed,,,,,,,,,,,,,,,,,,
80,PT05M31.00S,2023-12-01T00:54:04.3Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612752,14,10,2023-12-01T00:54:06Z,790000,False,,,0,,R. Barrett REBOUND (Off:0 Def:1),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,Mid-Range,16-24 Right,,,79.0,1.0,1.0,0.0,,,,,,,,,,,,,,
81,PT05M28.00S,2023-12-01T00:54:09.4Z,1,REGULAR,foul,personal,['2freethrow'],1630587,,,1610612752,14,10,2023-12-01T00:54:20Z,800000,False,,,0,,I. Livers shooting personal FOUL (1 PF) (Barrett 2 FT),"[1630587, 1629628]",1610612765.0,DET,shooting,,,Livers,I. Livers,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1627962.0,1.0,0.0,Barrett,1629628.0,,,,,
84,PT05M28.00S,2023-12-01T00:54:36.5Z,1,REGULAR,freethrow,1 of 2,[],1629628,,,1610612752,15,10,2023-12-01T00:55:02Z,820000,False,,,0,,R. Barrett Free Throw 1 of 2 (3 PTS),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,Made,,,,,,,,3.0,,,,,,,,,,
