actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
48,PT07M55.00S,2023-03-11T00:16:26.1Z,1,REGULAR,3pt,Jump Shot,[],204001,30.404073587385014,77.20588235294117,1610612764,12,9,2023-03-11T00:16:34Z,480000,False,-136.0,233.0,1,left,MISS K. Porzingis 27' 3PT,[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,Above the Break 3,24+ Left Center,27.0,Missed,,,,,,,,,,,,,,,,,
49,PT07M52.00S,2023-03-11T00:16:29.1Z,1,REGULAR,rebound,defensive,[],1629631,,,1610612737,12,9,2023-03-11T00:16:34Z,490000,False,,,0,,D. Hunter REBOUND (Off:0 Def:1),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,Above the Break 3,24+ Left Center,,,,48.0,1.0,1.0,0.0,,,,,,,,,,,,
50,PT07M46.00S,2023-03-11T00:16:35.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203991,93.61038107752957,46.32352941176471,1610612737,12,9,2023-03-11T00:20:13Z,500000,False,-18.0,8.0,1,right,MISS C. Capela alley-oop DUNK,[203991],1610612737.0,ATL,alley-oop,,,Capela,C. Capela,,,,,,Restricted Area,0-8 Center,1.99,Missed,,,,,,,,,,,,,,,,,
51,PT07M44.00S,2023-03-11T00:16:37.9Z,1,REGULAR,rebound,defensive,[],204001,,,1610612764,12,9,2023-03-11T00:16:37Z,510000,False,,,0,,K. Porzingis REBOUND (Off:0 Def:3),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,Restricted Area,0-8 Center,,,,50.0,3.0,3.0,0.0,,,,,,,,,,,,
52,PT07M31.00S,2023-03-11T00:16:50.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628398,5.962549277266746,56.86274509803921,1610612764,14,9,2023-03-11T00:16:55Z,520000,False,-34.0,4.0,1,left,K. Kuzma driving Layup (2 PTS),[1628398],1610612764.0,WAS,driving,,,Kuzma,K. Kuzma,,,,,,Restricted Area,0-8 Center,3.45,Made,2.0,,,,,,,,,,,,,,,,
53,PT07M16.00S,2023-03-11T00:17:06.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627749,92.95335085413929,38.23529411764706,1610612737,14,9,2023-03-11T00:21:08Z,530000,False,-59.0,14.0,1,right,MISS D. Murray 6' driving floating Shot,[1627749],1610612737.0,ATL,driving floating,,,Murray,D. Murray,,,,,,In The Paint (Non-RA),0-8 Center,6.04,Missed,,,,,,,,,,,,,,,,,
54,PT07M14.00S,2023-03-11T00:17:08.1Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,14,9,2023-03-11T00:21:08Z,540000,False,,,0,,C. Capela REBOUND (Off:1 Def:0),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,In The Paint (Non-RA),0-8 Center,,,,53.0,1.0,0.0,1.0,,,,,,,,,,,,
55,PT07M14.00S,2023-03-11T00:17:16.0Z,1,REGULAR,foul,personal,[],1629655,,,1610612737,14,9,2023-03-11T00:21:56Z,550000,False,,,0,,D. Gafford personal FOUL (1 PF),"[1629655, 203991]",1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,200833.0,Restricted Area,0-8 Center,,,,,,,,,,,,,,1.0,0.0,Capela,203991.0,,
57,PT06M59.00S,2023-03-11T00:17:47.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",203991,93.74178712220763,48.529411764705884,1610612737,14,11,2023-03-11T00:17:53Z,570000,False,-7.0,6.0,1,right,C. Capela DUNK (4 PTS) (J. Collins 1 AST),"[203991, 1628381]",1610612737.0,ATL,,,,Capela,C. Capela,,,,,,Restricted Area,0-8 Center,0.97,Made,4.0,,,,,J. Collins,1628381.0,1.0,,,,,,,,,
59,PT06M37.00S,2023-03-11T00:18:09.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628420,12.66425755584757,64.4607843137255,1610612764,14,11,2023-03-11T00:18:18Z,590000,False,-72.0,67.0,1,left,MISS M. Morris 9' driving floating Shot,[1628420],1610612764.0,WAS,driving floating,,,Morris,M. Morris,,,,,,In The Paint (Non-RA),8-16 Left,9.82,Missed,,,,,,,,,,,,,,,,,
