actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
21,PT09M57.00S,2022-10-21T23:18:31.9Z,1,REGULAR,2pt,Jump Shot,[],201942,23.308147174770042,25.0,1610612741,5,6,2022-10-21T23:18:38Z,210000,125.0,167.0,1,left,D. DeRozan 20' step back Jump Shot (2 PTS),[201942],1610612741.0,CHI,,step back,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Right Center,20.83,Made,2.0,,,,,,,,,,,,,,,,
22,PT09M39.00S,2022-10-21T23:18:49.4Z,1,REGULAR,2pt,Jump Shot,[],204001,87.17148488830486,25.24509803921569,1610612764,7,6,2022-10-21T23:18:53Z,220000,-124.0,68.0,1,right,K. Porzingis 14' pullup Jump Shot (2 PTS),[204001],1610612764.0,WAS,,pullup,,,Porzingis,K. Porzingis,,,,,Mid-Range,8-16 Left,14.13,Made,2.0,,,,,,,,,,,,,,,,
23,PT09M23.00S,2022-10-21T23:19:05.1Z,1,REGULAR,3pt,Jump Shot,[],1627936,17.65768725361366,1.9607843137254974,1610612741,7,6,2022-10-21T23:19:09Z,230000,240.0,113.0,1,left,MISS A. Caruso 26' 3PT,[1627936],1610612741.0,CHI,,,,,Caruso,A. Caruso,,,,,Above the Break 3,24+ Right Center,26.57,Missed,,,,,,,,,,,,,,,,,
24,PT09M21.00S,2022-10-21T23:19:07.1Z,1,REGULAR,rebound,defensive,[],1628420,,,1610612764,7,6,2022-10-21T23:19:09Z,240000,,,0,,M. Morris REBOUND (Off:0 Def:1),[1628420],1610612764.0,WAS,,,,,Morris,M. Morris,,,,,Above the Break 3,24+ Right Center,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,
25,PT09M14.00S,2022-10-21T23:19:14.4Z,1,REGULAR,3pt,Jump Shot,[],204001,65.75229960578187,29.166666666666657,1610612764,10,6,2022-10-21T23:19:18Z,250000,-104.0,269.0,1,right,K. Porzingis 28' 3PT  (5 PTS) (B. Beal 1 AST),"[204001, 203078]",1610612764.0,WAS,,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Left Center,28.88,Made,5.0,B. Beal,203078.0,1.0,,,,,,,,,,,,,
27,PT08M58.00S,2022-10-21T23:19:30.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202696,9.510512483574246,49.26470588235294,1610612741,10,8,2022-10-21T23:19:34Z,270000,4.0,37.0,1,left,N. Vucevic cutting finger roll Layup (4 PTS) (A. Dosunmu 1 AST),"[202696, 1630245]",1610612741.0,CHI,,cutting finger roll,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,3.71,Made,4.0,A. Dosunmu,1630245.0,1.0,,,,,,,,,,,,,
29,PT08M46.00S,2022-10-21T23:19:42.7Z,1,REGULAR,3pt,Jump Shot,[],1628420,89.79960578186596,93.87254901960785,1610612764,13,8,2022-10-21T23:19:48Z,290000,219.0,43.0,1,right,M. Morris 3PT  (3 PTS) (K. Porzingis 1 AST),"[1628420, 204001]",1610612764.0,WAS,,,,,Morris,M. Morris,,,,,Right Corner 3,24+ Right,22.37,Made,3.0,K. Porzingis,204001.0,1.0,,,,,,,,,,,,,
31,PT08M32.00S,2022-10-21T23:19:55.7Z,1,REGULAR,2pt,Jump Shot,[],201942,25.016425755584763,48.28431372549019,1610612741,13,10,2022-10-21T23:20:00Z,310000,9.0,183.0,1,left,D. DeRozan 18' pullup Jump Shot (4 PTS),[201942],1610612741.0,CHI,,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Center,18.29,Made,4.0,,,,,,,,,,,,,,,,
32,PT08M23.00S,2022-10-21T23:20:05.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628398,86.64586070959264,48.0392156862745,1610612764,13,10,2022-10-21T23:22:24Z,320000,-10.0,73.0,1,right,MISS K. Kuzma 7' turnaround Hook - blocked,"[1628398, 1630172]",1610612764.0,WAS,,turnaround,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),0-8 Center,7.37,Missed,,,,,,,,,,,,,Williams,1630172.0,,,
33,PT08M23.00S,2022-10-21T23:20:05.5Z,1,REGULAR,block,,[],1630172,,,1610612764,13,10,2022-10-21T23:20:10Z,330000,,,0,,P. Williams BLOCK (1 BLK),[1630172],1610612741.0,CHI,,,,,Williams,P. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,
34,PT08M17.00S,2022-10-21T23:20:11.5Z,1,REGULAR,rebound,defensive,[],201942,,,1610612741,13,10,2022-10-21T23:20:11Z,340000,,,0,,D. DeRozan REBOUND (Off:0 Def:1),[201942],1610612741.0,CHI,,,,,DeRozan,D. DeRozan,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,32.0,1.0,1.0,0.0,,,,,,,,,
35,PT08M16.00S,2022-10-21T23:20:11.9Z,1,REGULAR,turnover,lost ball,[],201942,,,1610612741,13,10,2022-10-21T23:20:16Z,350000,,,0,,D. DeRozan lost ball TURNOVER (1 TO),"[201942, 1630166]",1610612741.0,CHI,,,,,DeRozan,D. DeRozan,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,1.0,Avdija,1630166.0
36,PT08M16.00S,2022-10-21T23:20:11.9Z,1,REGULAR,steal,,[],1630166,,,1610612764,13,10,2022-10-21T23:20:14Z,360000,,,0,,D. Avdija STEAL (1 STL),[1630166],1610612764.0,WAS,,,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,
37,PT08M14.00S,2022-10-21T23:20:16.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628398,88.87976346911958,47.05882352941176,1610612764,15,10,2022-10-21T23:23:19Z,370000,-15.0,52.0,1,right,K. Kuzma running DUNK (3 PTS) (D. Avdija 1 AST),"[1628398, 1630166]",1610612764.0,WAS,,running,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),0-8 Center,5.4,Made,3.0,D. Avdija,1630166.0,1.0,,,,,,,,,,,,,
39,PT08M14.00S,2022-10-21T23:20:30.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,15,10,2022-10-21T23:20:30Z,390000,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT07M57.00S,2022-10-21T23:23:31.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,8.984888304862025,46.568627450980394,1610612741,15,10,2022-10-21T23:23:36Z,400000,17.0,32.0,1,left,MISS N. Vucevic turnaround Hook,[202696],1610612741.0,CHI,,turnaround,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,3.63,Missed,,,,,,,,,,,,,,,,,
41,PT07M54.00S,2022-10-21T23:23:34.9Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612764,15,10,2022-10-21T23:23:36Z,410000,,,0,,D. Avdija REBOUND (Off:0 Def:1),[1630166],1610612764.0,WAS,,,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,,,,,,,40.0,1.0,1.0,0.0,,,,,,,,,
42,PT07M34.00S,2022-10-21T23:23:56.4Z,1,REGULAR,turnover,out-of-bounds,[],1628398,,,1610612764,15,10,2022-10-21T23:24:02Z,420000,,,0,,K. Kuzma lost ball out-of-bounds TURNOVER (1 TO),[1628398],1610612764.0,WAS,2003.0,lost ball,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,1.0,,
43,PT07M22.00S,2022-10-21T23:24:16.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630245,15.949408672798953,94.6078431372549,1610612741,15,13,2022-10-21T23:24:22Z,430000,-223.0,97.0,1,left,A. Dosunmu 24' 3PT  (5 PTS) (N. Vucevic 1 AST),"[1630245, 202696]",1610612741.0,CHI,,,,,Dosunmu,A. Dosunmu,,,,,Above the Break 3,24+ Left Center,24.33,Made,5.0,N. Vucevic,202696.0,1.0,,,,,,,,,,,,,
45,PT06M58.00S,2022-10-21T23:24:41.0Z,1,REGULAR,2pt,Jump Shot,[],1630166,91.77069645203679,75.98039215686275,1610612764,15,13,2022-10-21T23:24:45Z,450000,130.0,25.0,1,right,MISS D. Avdija 13' pullup Shot,[1630166],1610612764.0,WAS,,pullup,,,Avdija,D. Avdija,,,,,Mid-Range,8-16 Right,13.23,Missed,,,,,,,,,,,,,,,,,
46,PT06M54.00S,2022-10-21T23:24:45.0Z,1,REGULAR,rebound,defensive,[],1630245,,,1610612741,15,13,2022-10-21T23:24:45Z,460000,,,0,,A. Dosunmu REBOUND (Off:0 Def:1),[1630245],1610612741.0,CHI,,,,,Dosunmu,A. Dosunmu,,,,,Mid-Range,8-16 Right,,,,,,,45.0,1.0,1.0,0.0,,,,,,,,,
47,PT06M47.00S,2022-10-21T23:24:52.6Z,1,REGULAR,foul,personal,['2freethrow'],1630166,,,1610612741,15,13,2022-10-21T23:25:02Z,470000,,,0,,D. Avdija shooting personal FOUL (1 PF) (Vucevic 2 FT),"[1630166, 202696]",1610612764.0,WAS,1627534.0,shooting,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1.0,0.0,Vucevic,202696.0,,,,,
49,PT06M47.00S,2022-10-21T23:25:29.4Z,1,REGULAR,freethrow,1 of 2,[],202696,,,1610612741,15,14,2022-10-21T23:25:29Z,490000,,,0,,N. Vucevic Free Throw 1 of 2 (5 PTS),[202696],1610612741.0,CHI,,,,,Vucevic,N. Vucevic,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,
50,PT06M47.00S,2022-10-21T23:25:30.3Z,1,REGULAR,substitution,out,[],1630166,,,1610612741,15,14,2022-10-21T23:25:44Z,500000,,,0,,SUB out: D. Avdija,[1630166],1610612764.0,WAS,,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT06M47.00S,2022-10-21T23:25:30.3Z,1,REGULAR,substitution,out,[],1627936,,,1610612741,15,14,2022-10-21T23:25:44Z,510000,,,0,,SUB out: A. Caruso,[1627936],1610612741.0,CHI,,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT06M47.00S,2022-10-21T23:25:30.3Z,1,REGULAR,substitution,out,[],1630172,,,1610612741,15,14,2022-10-21T23:25:44Z,520000,,,0,,SUB out: P. Williams,[1630172],1610612741.0,CHI,,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT06M47.00S,2022-10-21T23:25:30.3Z,1,REGULAR,substitution,in,[],1629060,,,1610612741,15,14,2022-10-21T23:25:44Z,530000,,,0,,SUB in: R. Hachimura,[1629060],1610612764.0,WAS,,,,,Hachimura,R. Hachimura,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT06M47.00S,2022-10-21T23:25:30.3Z,1,REGULAR,substitution,in,[],1629632,,,1610612741,15,14,2022-10-21T23:25:44Z,540000,,,0,,SUB in: C. White,[1629632],1610612741.0,CHI,,,,,White,C. White,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M47.00S,2022-10-21T23:25:30.3Z,1,REGULAR,substitution,in,[],1629750,,,1610612741,15,14,2022-10-21T23:25:44Z,550000,,,0,,SUB in: J. Green,[1629750],1610612741.0,CHI,,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M47.00S,2022-10-21T23:25:53.5Z,1,REGULAR,freethrow,2 of 2,[],202696,,,1610612741,15,15,2022-10-21T23:25:53Z,560000,,,0,,N. Vucevic Free Throw 2 of 2 (6 PTS),[202696],1610612741.0,CHI,,,,,Vucevic,N. Vucevic,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,
57,PT06M33.00S,2022-10-21T23:26:14.3Z,1,REGULAR,3pt,Jump Shot,[],1628420,67.7233902759527,29.65686274509804,1610612764,15,15,2022-10-21T23:26:20Z,570000,-102.0,251.0,1,right,MISS M. Morris 27' 3PT,[1628420],1610612764.0,WAS,,,,,Morris,M. Morris,,,,,Above the Break 3,24+ Left Center,27.07,Missed,,,,,,,,,,,,,,,,,
58,PT06M32.00S,2022-10-21T23:26:15.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612764,15,15,2022-10-21T23:26:20Z,580000,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,57.0,,,,,,,,,,,,
59,PT06M32.00S,2022-10-21T23:26:20.4Z,1,REGULAR,foul,personal,[],1629632,,,1610612764,15,15,2022-10-21T23:26:34Z,590000,,,0,,C. White loose ball personal FOUL (1 PF),"[1629632, 1628398]",1610612741.0,CHI,1627534.0,loose ball,,,White,C. White,,,,,Mid-Range,8-16 Left,,,,,,,,,,,1.0,0.0,Kuzma,1628398.0,,,,,
61,PT06M25.00S,2022-10-21T23:26:45.3Z,1,REGULAR,turnover,lost ball,[],1629060,,,1610612764,15,15,2022-10-21T23:26:49Z,610000,,,0,,R. Hachimura lost ball TURNOVER (1 TO),"[1629060, 1629750]",1610612764.0,WAS,,,,,Hachimura,R. Hachimura,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,1.0,Green,1629750.0
62,PT06M25.00S,2022-10-21T23:26:45.3Z,1,REGULAR,steal,,[],1629750,,,1610612741,15,15,2022-10-21T23:26:47Z,620000,,,0,,J. Green STEAL (1 STL),[1629750],1610612741.0,CHI,,,,,Green,J. Green,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,
63,PT06M10.00S,2022-10-21T23:27:00.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630245,23.833771353482263,10.294117647058826,1610612741,15,15,2022-10-21T23:27:05Z,630000,199.0,172.0,1,left,MISS A. Dosunmu 26' 3PT,[1630245],1610612741.0,CHI,,,,,Dosunmu,A. Dosunmu,,,,,Above the Break 3,24+ Right Center,26.23,Missed,,,,,,,,,,,,,,,,,
64,PT06M06.00S,2022-10-21T23:27:04.0Z,1,REGULAR,rebound,offensive,[],1630245,,,1610612741,15,15,2022-10-21T23:27:05Z,640000,,,0,,A. Dosunmu REBOUND (Off:1 Def:1),[1630245],1610612741.0,CHI,,,,,Dosunmu,A. Dosunmu,,,,,Above the Break 3,24+ Right Center,,,,,,,63.0,2.0,1.0,1.0,,,,,,,,,
65,PT06M04.00S,2022-10-21T23:27:06.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630245,8.327858081471746,49.26470588235294,1610612741,15,15,2022-10-21T23:27:19Z,650000,4.0,26.0,1,left,MISS A. Dosunmu Layup - blocked,"[1630245, 1628420]",1610612741.0,CHI,,,,,Dosunmu,A. Dosunmu,,,,,Restricted Area,0-8 Center,2.61,Missed,,,,,,,,,,,,,Morris,1628420.0,,,
66,PT06M04.00S,2022-10-21T23:27:06.1Z,1,REGULAR,block,,[],1628420,,,1610612741,15,15,2022-10-21T23:27:09Z,660000,,,0,,M. Morris BLOCK (1 BLK),[1628420],1610612764.0,WAS,,,,,Morris,M. Morris,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,
67,PT06M04.00S,2022-10-21T23:27:06.1Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,15,15,2022-10-21T23:27:19Z,670000,,,0,,N. Vucevic REBOUND (Off:1 Def:0),[202696],1610612741.0,CHI,,,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,,,,,,,65.0,1.0,0.0,1.0,,,,,,,,,
68,PT06M04.00S,2022-10-21T23:27:21.5Z,1,REGULAR,foul,personal,['2freethrow'],204001,,,1610612741,15,15,2022-10-21T23:27:29Z,680000,,,0,,K. Porzingis shooting personal FOUL (1 PF) (Vucevic 2 FT),"[204001, 202696]",1610612764.0,WAS,101283.0,shooting,,,Porzingis,K. Porzingis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1.0,0.0,Vucevic,202696.0,,,,,
70,PT06M04.00S,2022-10-21T23:27:32.6Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', '2ndchance']",202696,,,1610612741,15,16,2022-10-21T23:27:32Z,700000,,,0,,N. Vucevic Free Throw 1 of 2 (7 PTS),[202696],1610612741.0,CHI,,,,,Vucevic,N. Vucevic,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,
71,PT06M04.00S,2022-10-21T23:27:49.9Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', '2ndchance']",202696,,,1610612741,15,17,2022-10-21T23:27:49Z,710000,,,0,,N. Vucevic Free Throw 2 of 2 (8 PTS),[202696],1610612741.0,CHI,,,,,Vucevic,N. Vucevic,,,,,,,,Made,8.0,,,,,,,,,,,,,,,,
72,PT05M46.00S,2022-10-21T23:28:10.0Z,1,REGULAR,3pt,Jump Shot,[],1628398,90.5880420499343,3.67647058823529,1610612764,18,17,2022-10-21T23:28:14Z,720000,-232.0,36.0,1,right,K. Kuzma 3PT  (6 PTS) (B. Beal 2 AST),"[1628398, 203078]",1610612764.0,WAS,,,,,Kuzma,K. Kuzma,,,,,Left Corner 3,24+ Left,23.44,Made,6.0,B. Beal,203078.0,2.0,,,,,,,,,,,,,
74,PT05M34.00S,2022-10-21T23:28:24.9Z,1,REGULAR,foul,personal,['2freethrow'],203078,,,1610612741,18,17,2022-10-21T23:28:33Z,740000,,,0,,B. Beal shooting personal FOUL (1 PF) (Vucevic 2 FT),"[203078, 202696]",1610612764.0,WAS,2003.0,shooting,,,Beal,B. Beal,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1.0,0.0,Vucevic,202696.0,,,,,
76,PT05M34.00S,2022-10-21T23:28:48.2Z,1,REGULAR,freethrow,1 of 2,[],202696,,,1610612741,18,18,2022-10-21T23:28:48Z,760000,,,0,,N. Vucevic Free Throw 1 of 2 (9 PTS),[202696],1610612741.0,CHI,,,,,Vucevic,N. Vucevic,,,,,,,,Made,9.0,,,,,,,,,,,,,,,,
77,PT05M34.00S,2022-10-21T23:29:05.0Z,1,REGULAR,freethrow,2 of 2,[],202696,,,1610612741,18,19,2022-10-21T23:29:05Z,770000,,,0,,N. Vucevic Free Throw 2 of 2 (10 PTS),[202696],1610612741.0,CHI,,,,,Vucevic,N. Vucevic,,,,,,,,Made,10.0,,,,,,,,,,,,,,,,
79,PT05M13.00S,2022-10-21T23:29:53.6Z,1,REGULAR,2pt,Jump Shot,[],1628420,76.39618922470433,65.68627450980392,1610612764,18,19,2022-10-21T23:29:59Z,790000,78.0,169.0,1,right,MISS M. Morris 18' pullup Shot,[1628420],1610612764.0,WAS,,pullup,,,Morris,M. Morris,,,,,Mid-Range,16-24 Right Center,18.67,Missed,,,,,,,,,,,,,,,,,
80,PT05M08.00S,2022-10-21T23:29:58.6Z,1,REGULAR,rebound,defensive,[],201942,,,1610612741,18,19,2022-10-21T23:29:59Z,800000,,,0,,D. DeRozan REBOUND (Off:0 Def:2),[201942],1610612741.0,CHI,,,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Right Center,,,,,,,79.0,2.0,2.0,0.0,,,,,,,,,
81,PT05M04.00S,2022-10-21T23:30:02.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201942,9.904730617608408,51.96078431372549,1610612741,18,19,2022-10-21T23:30:15Z,810000,-10.0,41.0,1,left,MISS D. DeRozan bank Shot,[201942],1610612741.0,CHI,,bank,,,DeRozan,D. DeRozan,,,,,Restricted Area,0-8 Center,4.18,Missed,,,,,,,,,,,,,,,,,
82,PT05M02.00S,2022-10-21T23:30:04.8Z,1,REGULAR,rebound,defensive,[],204001,,,1610612764,18,19,2022-10-21T23:30:15Z,820000,,,0,,K. Porzingis REBOUND (Off:0 Def:1),[204001],1610612764.0,WAS,,,,,Porzingis,K. Porzingis,,,,,Restricted Area,0-8 Center,,,,,,,81.0,1.0,1.0,0.0,,,,,,,,,
83,PT04M56.00S,2022-10-21T23:30:10.9Z,1,REGULAR,3pt,Jump Shot,[],1628398,67.85479632063075,73.2843137254902,1610612764,18,19,2022-10-21T23:34:21Z,830000,116.0,250.0,1,right,MISS K. Kuzma 27' pullup 3PT,[1628398],1610612764.0,WAS,,pullup,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Right Center,27.55,Missed,,,,,,,,,,,,,,,,,
84,PT04M52.00S,2022-10-21T23:30:14.9Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,18,19,2022-10-21T23:30:18Z,840000,,,0,,N. Vucevic REBOUND (Off:1 Def:1),[202696],1610612741.0,CHI,,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Right Center,,,,,,,83.0,2.0,1.0,1.0,,,,,,,,,
85,PT04M47.00S,2022-10-21T23:30:20.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630245,9.116294349540084,47.30392156862745,1610612741,18,21,2022-10-21T23:34:12Z,850000,13.0,33.0,1,left,A. Dosunmu running Layup (7 PTS) (C. White 1 AST),"[1630245, 1629632]",1610612741.0,CHI,,running,,,Dosunmu,A. Dosunmu,,,,,Restricted Area,0-8 Center,3.58,Made,7.0,C. White,1629632.0,1.0,,,,,,,,,,,,,
