actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,officialId,turnoverTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
21,PT10M21.00S,2022-11-20T23:13:08.5Z,1,REGULAR,rebound,defensive,[],1630557,,,1610612764,6,0,2022-11-20T23:13:11Z,210000,False,,,0,,C. Kispert REBOUND (Off:0 Def:2),[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Restricted Area,0-8 Center,,,,,,,,,20.0,,,2.0,2.0,0.0,,,,,,
22,PT10M16.00S,2022-11-20T23:13:12.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630557,8.360709592641262,48.28431372549019,1610612764,8,0,2022-11-20T23:13:22Z,220000,False,9.0,26.0,1,left,C. Kispert reverse Layup (5 PTS) (B. Beal 2 AST),"[1630557, 203078]",1610612764.0,WAS,reverse,,,Kispert,C. Kispert,,,,,Restricted Area,0-8 Center,2.75,Made,5.0,B. Beal,203078.0,2.0,,,,,,,,,,,,,,
24,PT10M01.00S,2022-11-20T23:13:27.9Z,1,REGULAR,3pt,Jump Shot,[],1629023,93.77463863337714,3.6764705882352944,1610612766,8,3,2022-11-20T23:13:34Z,240000,False,-232.0,6.0,1,right,P. Washington 3PT  (3 PTS) (T. Rozier 1 AST),"[1629023, 1626179]",1610612766.0,CHA,,,,Washington,P. Washington,,,,,Left Corner 3,24+ Left,23.17,Made,3.0,T. Rozier,1626179.0,1.0,,,,,,,,,,,,,,
26,PT09M41.00S,2022-11-20T23:13:47.9Z,1,REGULAR,2pt,Jump Shot,[],203078,19.004599211563733,30.637254901960787,1610612764,10,3,2022-11-20T23:13:57Z,260000,False,97.0,126.0,1,left,B. Beal 15' pullup Jump Shot (2 PTS),[203078],1610612764.0,WAS,pullup,,,Beal,B. Beal,,,,,Mid-Range,8-16 Right,15.9,Made,2.0,,,,,,,,,,,,,,,,,
27,PT09M24.00S,2022-11-20T23:14:05.1Z,1,REGULAR,2pt,Jump Shot,[],203486,76.5604467805519,53.92156862745098,1610612766,10,3,2022-11-20T23:16:37Z,270000,False,20.0,168.0,1,right,MISS M. Plumlee 16' Jump Shot,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Mid-Range,16-24 Center,16.89,Missed,,,,,,,,,,,,,,,,,,
28,PT09M19.00S,2022-11-20T23:14:10.1Z,1,REGULAR,rebound,offensive,[],1626179,,,1610612766,10,3,2022-11-20T23:14:11Z,280000,False,,,0,,T. Rozier REBOUND (Off:1 Def:0),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Mid-Range,16-24 Center,,,,,,,,,27.0,,,1.0,0.0,1.0,,,,,,
29,PT09M17.00S,2022-11-20T23:14:12.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626162,89.43823915900131,95.58823529411765,1610612766,10,3,2022-11-20T23:14:18Z,290000,False,228.0,47.0,1,right,MISS K. Oubre Jr. 3PT,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,Right Corner 3,24+ Right,23.27,Missed,,,,,,,,,,,,,,,,,,
30,PT09M13.00S,2022-11-20T23:14:16.7Z,1,REGULAR,rebound,defensive,[],204001,,,1610612764,10,3,2022-11-20T23:14:18Z,300000,False,,,0,,K. Porzingis REBOUND (Off:0 Def:1),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,Right Corner 3,24+ Right,,,,,,,,,29.0,,,1.0,1.0,0.0,,,,,,
31,PT08M59.00S,2022-11-20T23:14:30.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630166,7.966491458607096,48.28431372549019,1610612764,12,3,2022-11-20T23:14:36Z,310000,False,9.0,22.0,1,left,D. Avdija driving Layup (2 PTS) (K. Kuzma 1 AST),"[1630166, 1628398]",1610612764.0,WAS,driving,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,2.4,Made,2.0,K. Kuzma,1628398.0,1.0,,,,,,,,,,,,,,
33,PT08M59.00S,2022-11-20T23:14:34.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,12,3,2022-11-20T23:14:34Z,330000,False,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT08M45.00S,2022-11-20T23:17:42.3Z,1,REGULAR,2pt,Jump Shot,[],202330,75.90341655716163,43.627450980392155,1610612766,12,5,2022-11-20T23:17:46Z,340000,False,-32.0,174.0,1,right,G. Hayward 17' pullup Jump Shot (2 PTS) (P. Washington 1 AST),"[202330, 1629023]",1610612766.0,CHA,pullup,,,Hayward,G. Hayward,,,,,Mid-Range,16-24 Center,17.69,Made,2.0,P. Washington,1629023.0,1.0,,,,,,,,,,,,,,
36,PT08M24.00S,2022-11-20T23:18:02.4Z,1,REGULAR,turnover,lost ball,[],203078,,,1610612764,12,5,2022-11-20T23:18:08Z,360000,False,,,0,,B. Beal lost ball TURNOVER (1 TO),"[203078, 1626179]",1610612764.0,WAS,,,,Beal,B. Beal,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1.0,,,,Rozier,1626179.0,,,,
37,PT08M24.00S,2022-11-20T23:18:02.4Z,1,REGULAR,steal,,[],1626179,,,1610612766,12,5,2022-11-20T23:18:04Z,370000,False,,,0,,T. Rozier STEAL (1 STL),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
38,PT08M18.00S,2022-11-20T23:18:08.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626162,91.80354796320631,56.127450980392155,1610612766,12,7,2022-11-20T23:18:12Z,380000,False,31.0,25.0,1,right,K. Oubre Jr. Layup (2 PTS) (T. Rozier 2 AST),"[1626162, 1626179]",1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,3.92,Made,2.0,T. Rozier,1626179.0,2.0,,,,,,,,,,,,,,
40,PT07M57.00S,2022-11-20T23:18:29.0Z,1,REGULAR,3pt,Jump Shot,[],204001,34.11629434954008,46.32352941176471,1610612764,12,7,2022-11-20T23:18:34Z,400000,False,18.0,268.0,1,left,MISS K. Porzingis 26' step back 3PT,[204001],1610612764.0,WAS,step back,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Center,26.88,Missed,,,,,,,,,,,,,,,,,,
41,PT07M55.00S,2022-11-20T23:18:31.0Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612766,12,7,2022-11-20T23:18:34Z,410000,False,,,0,,K. Oubre Jr. REBOUND (Off:0 Def:1),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Center,,,,,,,,,40.0,,,1.0,1.0,0.0,,,,,,
42,PT07M45.00S,2022-11-20T23:18:43.6Z,1,REGULAR,2pt,Layup,[],1626162,90.62089356110381,67.40196078431373,1610612766,12,7,2022-11-20T23:19:52Z,420000,False,87.0,36.0,1,right,MISS K. Oubre Jr. 9' driving finger roll Layup - blocked,"[1626162, 204001]",1610612766.0,CHA,driving finger roll,,,Oubre Jr.,K. Oubre Jr.,,,,,Mid-Range,8-16 Right,9.4,Missed,,,,,Porzingis,204001.0,,,,,,,,,,,,
43,PT07M45.00S,2022-11-20T23:18:43.6Z,1,REGULAR,block,,[],204001,,,1610612766,12,7,2022-11-20T23:18:46Z,430000,False,,,0,,K. Porzingis BLOCK (2 BLK),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
44,PT07M45.00S,2022-11-20T23:18:43.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612766,12,7,2022-11-20T23:18:49Z,440000,False,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,Mid-Range,8-16 Right,,,,,,,,,42.0,,,,,,,,,,,
46,PT07M35.00S,2022-11-20T23:19:06.6Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1626179,74.85216819973719,48.28431372549019,1610612766,12,9,2022-11-20T23:19:12Z,460000,False,-9.0,184.0,1,right,T. Rozier 18' pullup Jump Shot (2 PTS),[1626179],1610612766.0,CHA,pullup,,,Rozier,T. Rozier,,,,,Mid-Range,16-24 Center,18.41,Made,2.0,,,,,,,,,,,,,,,,,
47,PT07M20.00S,2022-11-20T23:19:21.7Z,1,REGULAR,3pt,Jump Shot,[],204001,29.122864651773984,18.627450980392158,1610612764,15,9,2022-11-20T23:19:25Z,470000,False,157.0,221.0,1,left,K. Porzingis 27' 3PT  (3 PTS) (B. Beal 3 AST),"[204001, 203078]",1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Right Center,27.13,Made,3.0,B. Beal,203078.0,3.0,,,,,,,,,,,,,,
49,PT07M10.00S,2022-11-20T23:19:32.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203486,93.51182654402102,55.63725490196079,1610612766,15,11,2022-11-20T23:21:28Z,490000,False,28.0,8.0,1,right,M. Plumlee driving Layup (2 PTS) (T. Rozier 3 AST),"[203486, 1626179]",1610612766.0,CHA,driving,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,2.95,Made,2.0,T. Rozier,1626179.0,3.0,,,,,,,,,,,,,,
51,PT07M02.00S,2022-11-20T23:19:40.0Z,1,REGULAR,3pt,Jump Shot,[],204001,34.247700394218136,27.696078431372552,1610612764,18,11,2022-11-20T23:19:45Z,510000,False,112.0,269.0,1,left,K. Porzingis 29' 3PT  (6 PTS) (K. Kuzma 2 AST),"[204001, 1628398]",1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Right Center,29.16,Made,6.0,K. Kuzma,1628398.0,2.0,,,,,,,,,,,,,,
53,PT06M47.00S,2022-11-20T23:19:54.6Z,1,REGULAR,3pt,Jump Shot,[],202330,73.14388961892247,79.90196078431373,1610612766,18,14,2022-11-20T23:19:59Z,530000,False,150.0,200.0,1,right,G. Hayward 24' 3PT  (5 PTS) (M. Plumlee 1 AST),"[202330, 203486]",1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,Above the Break 3,24+ Right Center,24.96,Made,5.0,M. Plumlee,203486.0,1.0,,,,,,,,,,,,,,
55,PT06M37.00S,2022-11-20T23:20:05.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628398,7.966491458607096,53.18627450980392,1610612764,20,14,2022-11-20T23:20:11Z,550000,False,-16.0,22.0,1,left,K. Kuzma driving DUNK (5 PTS),[1628398],1610612764.0,WAS,driving,,,Kuzma,K. Kuzma,,,,,Restricted Area,0-8 Center,2.75,Made,5.0,,,,,,,,,,,,,,,,,
56,PT06M23.00S,2022-11-20T23:20:18.3Z,1,REGULAR,3pt,Jump Shot,[],1626162,94.82588699080158,96.81372549019608,1610612766,20,14,2022-11-20T23:20:24Z,560000,False,234.0,-4.0,1,right,MISS K. Oubre Jr. 3PT,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,Right Corner 3,24+ Right,23.41,Missed,,,,,,,,,,,,,,,,,,
57,PT06M21.00S,2022-11-20T23:20:20.3Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,20,14,2022-11-20T23:20:24Z,570000,False,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Right Corner 3,24+ Right,,,,,,,,,56.0,,,1.0,1.0,0.0,,,,,,
58,PT06M18.00S,2022-11-20T23:20:27.6Z,1,REGULAR,foul,personal,['2freethrow'],202330,,,1610612764,20,14,2022-11-20T23:20:34Z,580000,False,,,0,,G. Hayward shooting personal FOUL (1 PF) (Kuzma 2 FT),"[202330, 1628398]",1610612766.0,CHA,shooting,,,Hayward,G. Hayward,,,,,Restricted Area,0-8 Center,,,,,,,,,,200833.0,,,,,,,1.0,0.0,Kuzma,1628398.0
60,PT06M18.00S,2022-11-20T23:20:55.5Z,1,REGULAR,freethrow,1 of 2,[],1628398,,,1610612764,21,14,2022-11-20T23:20:55Z,600000,False,,,0,,K. Kuzma Free Throw 1 of 2 (6 PTS),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
61,PT06M18.00S,2022-11-20T23:20:56.2Z,1,REGULAR,substitution,out,[],1630557,,,1610612764,21,14,2022-11-20T23:21:04Z,610000,False,,,0,,SUB out: C. Kispert,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M18.00S,2022-11-20T23:20:56.2Z,1,REGULAR,substitution,out,[],1629023,,,1610612764,21,14,2022-11-20T23:21:04Z,620000,False,,,0,,SUB out: P. Washington,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M18.00S,2022-11-20T23:20:56.2Z,1,REGULAR,substitution,out,[],1626179,,,1610612764,21,14,2022-11-20T23:21:04Z,630000,False,,,0,,SUB out: T. Rozier,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M18.00S,2022-11-20T23:20:56.2Z,1,REGULAR,substitution,in,[],1630692,,,1610612764,21,14,2022-11-20T23:21:04Z,640000,False,,,0,,SUB in: J. Goodwin,[1630692],1610612764.0,WAS,,,,Goodwin,J. Goodwin,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M18.00S,2022-11-20T23:20:56.2Z,1,REGULAR,substitution,in,[],1629667,,,1610612764,21,14,2022-11-20T23:21:04Z,650000,False,,,0,,SUB in: J. McDaniels,[1629667],1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M18.00S,2022-11-20T23:20:56.2Z,1,REGULAR,substitution,in,[],1628372,,,1610612764,21,14,2022-11-20T23:21:04Z,660000,False,,,0,,SUB in: D. Smith Jr.,[1628372],1610612766.0,CHA,,,,Smith Jr.,D. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M18.00S,2022-11-20T23:21:26.3Z,1,REGULAR,freethrow,2 of 2,[],1628398,,,1610612764,22,14,2022-11-20T23:21:26Z,670000,False,,,0,,K. Kuzma Free Throw 2 of 2 (7 PTS),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
68,PT05M55.00S,2022-11-20T23:21:50.1Z,1,REGULAR,3pt,Jump Shot,[],1629667,69.59592641261499,24.264705882352942,1610612766,22,17,2022-11-20T23:22:02Z,680000,False,-129.0,233.0,1,right,J. McDaniels 26' 3PT  (3 PTS) (G. Hayward 1 AST),"[1629667, 202330]",1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Left Center,26.64,Made,3.0,G. Hayward,202330.0,1.0,,,,,,,,,,,,,,
70,PT05M44.00S,2022-11-20T23:22:01.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628398,11.383048620236531,44.6078431372549,1610612764,24,17,2022-11-20T23:22:06Z,700000,False,27.0,55.0,1,left,K. Kuzma 6' driving Hook (9 PTS),[1628398],1610612764.0,WAS,driving,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),0-8 Center,6.08,Made,9.0,,,,,,,,,,,,,,,,,
71,PT05M31.00S,2022-11-20T23:22:13.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629667,84.97043363994744,36.029411764705884,1610612766,24,17,2022-11-20T23:22:19Z,710000,False,-70.0,89.0,1,right,MISS J. McDaniels 11' driving Layup - blocked,"[1629667, 1630692]",1610612766.0,CHA,driving,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),8-16 Left,11.3,Missed,,,,,Goodwin,1630692.0,,,,,,,,,,,,
72,PT05M31.00S,2022-11-20T23:22:13.4Z,1,REGULAR,block,,[],1630692,,,1610612766,24,17,2022-11-20T23:22:16Z,720000,False,,,0,,J. Goodwin BLOCK (1 BLK),[1630692],1610612764.0,WAS,,,,Goodwin,J. Goodwin,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
73,PT05M28.00S,2022-11-20T23:22:16.4Z,1,REGULAR,rebound,defensive,[],1630692,,,1610612764,24,17,2022-11-20T23:22:19Z,730000,False,,,0,,J. Goodwin REBOUND (Off:0 Def:1),[1630692],1610612764.0,WAS,,,,Goodwin,J. Goodwin,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,71.0,,,1.0,1.0,0.0,,,,,,
74,PT05M26.00S,2022-11-20T23:22:18.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628398,23.603810775295663,92.64705882352942,1610612764,24,17,2022-11-20T23:22:26Z,740000,False,-213.0,169.0,1,left,MISS K. Kuzma 27' 3PT,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Left Center,27.23,Missed,,,,,,,,,,,,,,,,,,
75,PT05M22.00S,2022-11-20T23:22:22.8Z,1,REGULAR,rebound,defensive,[],1628372,,,1610612766,24,17,2022-11-20T23:22:26Z,750000,False,,,0,,D. Smith Jr. REBOUND (Off:0 Def:1),[1628372],1610612766.0,CHA,,,,Smith Jr.,D. Smith Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,,,74.0,,,1.0,1.0,0.0,,,,,,
76,PT05M12.00S,2022-11-20T23:22:32.8Z,1,REGULAR,3pt,Jump Shot,[],202330,68.41327201051249,36.76470588235294,1610612766,24,20,2022-11-20T23:25:28Z,760000,False,-66.0,244.0,1,right,G. Hayward 25' 3PT pullup (8 PTS),[202330],1610612766.0,CHA,pullup,,,Hayward,G. Hayward,,,,,Above the Break 3,24+ Center,25.32,Made,8.0,,,,,,,,,,,,,,,,,
78,PT05M11.00S,2022-11-20T23:22:39.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,24,20,2022-11-20T23:22:39Z,780000,False,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M11.00S,2022-11-20T23:24:56.3Z,1,REGULAR,substitution,out,[],1628398,,,1610612764,24,20,2022-11-20T23:25:18Z,790000,False,,,0,,SUB out: K. Kuzma,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M11.00S,2022-11-20T23:24:56.3Z,1,REGULAR,substitution,in,[],203115,,,1610612764,24,20,2022-11-20T23:25:18Z,800000,False,,,0,,SUB in: W. Barton,[203115],1610612764.0,WAS,,,,Barton,W. Barton,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M00.00S,2022-11-20T23:25:38.4Z,1,REGULAR,3pt,Jump Shot,[],203078,18.084756898817346,94.85294117647058,1610612764,24,20,2022-11-20T23:25:46Z,810000,False,-224.0,117.0,1,left,MISS B. Beal 25' pullup 3PT,[203078],1610612764.0,WAS,pullup,,,Beal,B. Beal,,,,,Above the Break 3,24+ Left Center,25.32,Missed,,,,,,,,,,,,,,,,,,
82,PT04M55.00S,2022-11-20T23:25:43.4Z,1,REGULAR,rebound,defensive,[],1629667,,,1610612766,24,20,2022-11-20T23:25:43Z,820000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:1),[1629667],1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Left Center,,,,,,,,,81.0,,,1.0,1.0,0.0,,,,,,
83,PT04M44.00S,2022-11-20T23:25:54.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629667,91.01511169513797,57.107843137254896,1610612766,24,22,2022-11-20T23:31:21Z,830000,False,36.0,32.0,1,right,J. McDaniels driving floating Jump Shot (5 PTS),[1629667],1610612766.0,CHA,driving floating,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,4.78,Made,5.0,,,,,,,,,,,,,,,,,
85,PT04M25.00S,2022-11-20T23:26:22.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],204001,11.383048620236531,58.333333333333336,1610612764,24,22,2022-11-20T23:36:05Z,850000,False,-42.0,55.0,1,left,MISS K. Porzingis 6' driving Layup,[204001],1610612764.0,WAS,driving,,,Porzingis,K. Porzingis,,,,,In The Paint (Non-RA),0-8 Center,6.86,Missed,,,,,,,,,,,,,,,,,,
86,PT04M23.00S,2022-11-20T23:26:24.5Z,1,REGULAR,rebound,defensive,[],1629667,,,1610612766,24,22,2022-11-20T23:26:26Z,860000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:2),[1629667],1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,85.0,,,2.0,2.0,0.0,,,,,,
