actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
16,PT10M58.00S,2022-12-28T00:12:17.1Z,1,REGULAR,2pt,Jump Shot,[],203954,7.835085413929041,78.67647058823529,1610612755,0,4,2022-12-28T00:12:22Z,160000,False,-143.0,21.0,1,left,J. Embiid 14' fadeaway Jump Shot (4 PTS) (D. Melton 1 AST),"[203954, 1629001]",1610612755.0,PHI,fadeaway,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Left,14.49,Made,,,,,,,,,4.0,,,,,D. Melton,1629001.0,1.0,,
17,PT10M45.00S,2022-12-28T00:12:33.4Z,1,REGULAR,turnover,out-of-bounds,[],1628398,,,1610612764,0,4,2022-12-28T00:12:37Z,170000,False,,,0,,K. Kuzma lost ball out-of-bounds TURNOVER (2 TO),[1628398],1610612764.0,WAS,lost ball,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,101284.0,2.0,,,,,,,,,,
18,PT10M35.00S,2022-12-28T00:12:52.4Z,1,REGULAR,foul,personal,[],1628420,,,1610612755,0,4,2022-12-28T00:12:59Z,180000,False,,,0,,M. Morris personal FOUL (1 PF),"[1628420, 203954]",1610612764.0,WAS,,,,Morris,M. Morris,,,,,Mid-Range,8-16 Left,,,,,,,,,203177.0,,,1.0,0.0,Embiid,203954.0,,,,,
20,PT10M28.00S,2022-12-28T00:13:13.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",200782,9.280551905387648,34.55882352941176,1610612755,0,4,2022-12-28T00:13:17Z,200000,False,77.0,35.0,1,left,MISS P. Tucker 8' floating Shot,[200782],1610612755.0,PHI,floating,,,Tucker,P. Tucker,,,,,In The Paint (Non-RA),8-16 Right,8.46,Missed,,,,,,,,,,,,,,,,,,
21,PT10M26.00S,2022-12-28T00:13:15.9Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,0,4,2022-12-28T00:13:17Z,210000,False,,,0,,D. Gafford REBOUND (Off:0 Def:1),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,In The Paint (Non-RA),8-16 Right,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,
22,PT10M18.00S,2022-12-28T00:13:23.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628420,87.86136662286465,50.49019607843137,1610612764,0,4,2022-12-28T00:15:19Z,220000,False,2.0,62.0,1,right,MISS M. Morris 6' driving floating Shot,[1628420],1610612764.0,WAS,driving floating,,,Morris,M. Morris,,,,,In The Paint (Non-RA),0-8 Center,6.17,Missed,,,,,,,,,,,,,,,,,,
23,PT10M17.00S,2022-12-28T00:13:24.9Z,1,REGULAR,rebound,offensive,[],1628420,,,1610612764,0,4,2022-12-28T00:15:19Z,230000,False,,,0,,M. Morris REBOUND (Off:1 Def:0),[1628420],1610612764.0,WAS,,,,Morris,M. Morris,,,,,In The Paint (Non-RA),0-8 Center,,,,,22.0,1.0,0.0,1.0,,,,,,,,,,,,
24,PT10M15.00S,2022-12-28T00:13:27.6Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203078,79.45137976346912,38.72549019607843,1610612764,2,4,2022-12-28T00:13:35Z,240000,False,-56.0,141.0,1,right,B. Beal 15' pullup Jump Shot (2 PTS) (M. Morris 1 AST),"[203078, 1628420]",1610612764.0,WAS,pullup,,,Beal,B. Beal,,,,,Mid-Range,8-16 Center,15.16,Made,,,,,,,,,2.0,,,,,M. Morris,1628420.0,1.0,,
25,PT10M05.00S,2022-12-28T00:13:37.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203954,9.017739816031538,55.63725490196079,1610612755,2,6,2022-12-28T00:13:42Z,250000,False,-28.0,32.0,1,left,J. Embiid Layup (6 PTS) (J. Harden 1 AST),"[203954, 201935]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,4.29,Made,,,,,,,,,6.0,,,,,J. Harden,201935.0,1.0,,
27,PT09M47.00S,2022-12-28T00:13:54.8Z,1,REGULAR,turnover,bad pass,[],203078,,,1610612764,2,6,2022-12-28T00:14:01Z,270000,False,,,0,,B. Beal bad pass TURNOVER (1 TO),"[203078, 203954]",1610612764.0,WAS,,,,Beal,B. Beal,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,1.0,,,,,,,,,Embiid,203954.0
28,PT09M47.00S,2022-12-28T00:13:54.8Z,1,REGULAR,steal,,[],203954,,,1610612755,2,6,2022-12-28T00:13:56Z,280000,False,,,0,,J. Embiid STEAL (1 STL),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
29,PT09M43.00S,2022-12-28T00:13:59.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",202699,7.046649145860711,61.51960784313726,1610612755,2,8,2022-12-28T00:17:29Z,290000,False,-58.0,14.0,1,left,T. Harris running alley-oop Layup (2 PTS) (J. Harden 2 AST),"[202699, 201935]",1610612755.0,PHI,running alley-oop,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,5.92,Made,,,,,,,,,2.0,,,,,J. Harden,201935.0,2.0,,
31,PT09M34.00S,2022-12-28T00:14:08.0Z,1,REGULAR,2pt,Jump Shot,[],204001,76.42904073587385,51.225490196078425,1610612764,4,8,2022-12-28T00:17:50Z,310000,False,6.0,169.0,1,right,K. Porzingis 16' Jump Shot (2 PTS) (M. Morris 2 AST),"[204001, 1628420]",1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,Mid-Range,16-24 Center,16.92,Made,,,,,,,,,2.0,,,,,M. Morris,1628420.0,2.0,,
33,PT09M20.00S,2022-12-28T00:14:21.3Z,1,REGULAR,3pt,Jump Shot,[],203954,33.459264126149804,51.470588235294116,1610612755,4,8,2022-12-28T00:14:27Z,330000,False,-7.0,262.0,1,left,MISS J. Embiid 26' 3PT,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Center,26.21,Missed,,,,,,,,,,,,,,,,,,
34,PT09M17.00S,2022-12-28T00:14:24.3Z,1,REGULAR,rebound,defensive,[],204001,,,1610612764,4,8,2022-12-28T00:19:54Z,340000,False,,,0,,K. Porzingis REBOUND (Off:0 Def:1),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Center,,,,,33.0,1.0,1.0,0.0,,,,,,,,,,,,
36,PT09M08.00S,2022-12-28T00:14:34.2Z,1,REGULAR,turnover,bad pass,[],204001,,,1610612764,4,8,2022-12-28T00:14:39Z,350000,False,,,0,,K. Porzingis bad pass TURNOVER (1 TO),"[204001, 202699]",1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,1.0,,,,,,,,,Harris,202699.0
37,PT09M08.00S,2022-12-28T00:14:34.2Z,1,REGULAR,steal,,[],202699,,,1610612755,4,8,2022-12-28T00:14:36Z,360000,False,,,0,,T. Harris STEAL (1 STL),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
38,PT09M03.00S,2022-12-28T00:14:39.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202699,7.835085413929041,56.61764705882353,1610612755,4,8,2022-12-28T00:14:48Z,370000,False,-33.0,21.0,1,left,MISS T. Harris running Layup,[202699],1610612755.0,PHI,running,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,3.93,Missed,,,,,,,,,,,,,,,,,,
39,PT09M00.00S,2022-12-28T00:14:42.7Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,4,8,2022-12-28T00:14:48Z,380000,False,,,0,,K. Kuzma REBOUND (Off:0 Def:2),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Restricted Area,0-8 Center,,,,,38.0,2.0,2.0,0.0,,,,,,,,,,,,
40,PT08M53.00S,2022-12-28T00:14:48.7Z,1,REGULAR,turnover,bad pass,[],1628398,,,1610612764,4,8,2022-12-28T00:14:52Z,390000,False,,,0,,K. Kuzma bad pass TURNOVER (3 TO),"[1628398, 200782]",1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,3.0,,,,,,,,,Tucker,200782.0
41,PT08M53.00S,2022-12-28T00:14:48.7Z,1,REGULAR,steal,,[],200782,,,1610612755,4,8,2022-12-28T00:14:50Z,400000,False,,,0,,P. Tucker STEAL (1 STL),[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
42,PT08M48.00S,2022-12-28T00:14:54.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",202699,4.812746386333772,5.88235294117647,1610612755,4,8,2022-12-28T00:14:59Z,410000,False,221.0,-7.0,1,left,MISS T. Harris 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Right Corner 3,24+ Right,22.07,Missed,,,,,,,,,,,,,,,,,,
43,PT08M45.00S,2022-12-28T00:14:57.2Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,4,8,2022-12-28T00:14:59Z,420000,False,,,0,,K. Kuzma REBOUND (Off:0 Def:3),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Right Corner 3,24+ Right,,,,,42.0,3.0,3.0,0.0,,,,,,,,,,,,
45,PT08M24.00S,2022-12-28T00:15:32.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203078,85.75886990801577,34.55882352941176,1610612764,6,8,2022-12-28T00:15:36Z,440000,False,-77.0,81.0,1,right,B. Beal 11' pullup Jump Shot (4 PTS),[203078],1610612764.0,WAS,pullup,,,Beal,B. Beal,,,,,In The Paint (Non-RA),8-16 Left,11.22,Made,,,,,,,,,4.0,,,,,,,,,
46,PT08M11.00S,2022-12-28T00:15:45.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,20.05584756898817,60.5392156862745,1610612755,6,10,2022-12-28T00:15:54Z,450000,False,-53.0,136.0,1,left,J. Embiid 14' pullup Jump Shot (8 PTS) (J. Harden 3 AST),"[203954, 201935]",1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),8-16 Center,14.59,Made,,,,,,,,,8.0,,,,,J. Harden,201935.0,3.0,,
48,PT07M50.00S,2022-12-28T00:16:05.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],204001,94.1688567674113,46.07843137254902,1610612764,6,10,2022-12-28T00:16:11Z,470000,False,-20.0,2.0,1,right,MISS K. Porzingis driving reverse Layup - blocked,"[204001, 203954]",1610612764.0,WAS,driving reverse,,,Porzingis,K. Porzingis,,,,,Restricted Area,0-8 Center,1.97,Missed,Embiid,203954.0,,,,,,,,,,,,,,,,
49,PT07M50.00S,2022-12-28T00:16:05.4Z,1,REGULAR,block,,[],203954,,,1610612764,6,10,2022-12-28T00:16:07Z,480000,False,,,0,,J. Embiid BLOCK (1 BLK),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
50,PT07M47.00S,2022-12-28T00:16:08.4Z,1,REGULAR,rebound,offensive,[],204001,,,1610612764,6,10,2022-12-28T00:16:11Z,490000,False,,,0,,K. Porzingis REBOUND (Off:1 Def:1),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,Restricted Area,0-8 Center,,,,,48.0,2.0,1.0,1.0,,,,,,,,,,,,
51,PT07M45.00S,2022-12-28T00:16:11.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628420,90.62089356110381,59.31372549019608,1610612764,6,10,2022-12-28T00:16:23Z,500000,False,47.0,36.0,1,right,MISS M. Morris finger roll Layup,[1628420],1610612764.0,WAS,finger roll,,,Morris,M. Morris,,,,,In The Paint (Non-RA),0-8 Center,5.87,Missed,,,,,,,,,,,,,,,,,,
52,PT07M42.00S,2022-12-28T00:16:13.7Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,6,10,2022-12-28T00:16:13Z,510000,False,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),0-8 Center,,,,,51.0,1.0,1.0,0.0,,,,,,,,,,,,
53,PT07M39.00S,2022-12-28T00:16:21.1Z,1,REGULAR,foul,offensive,[],201935,,,1610612755,6,10,2022-12-28T00:16:36Z,520000,False,,,0,,J. Harden offensive FOUL (1 PF),"[201935, 204001]",1610612755.0,PHI,,,,Harden,J. Harden,,,,,Restricted Area,0-8 Center,,,,,,,,,203177.0,,,1.0,0.0,Porzingis,204001.0,,,,,
55,PT07M39.00S,2022-12-28T00:16:21.1Z,1,REGULAR,turnover,offensive foul,[],201935,,,1610612755,6,10,2022-12-28T00:16:21Z,540000,False,,,0,,J. Harden offensive foul TURNOVER (1 TO),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,Restricted Area,0-8 Center,,,,,,,,,203177.0,1.0,,,,,,,,,,
57,PT07M26.00S,2022-12-28T00:16:53.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203078,92.72339027595268,56.86274509803921,1610612764,8,10,2022-12-28T00:17:08Z,550000,False,34.0,16.0,1,right,B. Beal driving Layup (6 PTS),[203078],1610612764.0,WAS,driving,,,Beal,B. Beal,,,,,Restricted Area,0-8 Center,3.78,Made,,,,,,,,,6.0,,,,,,,,,
58,PT07M11.00S,2022-12-28T00:17:10.2Z,1,REGULAR,turnover,out-of-bounds,[],1629001,,,1610612755,8,10,2022-12-28T00:17:19Z,560000,False,,,0,,D. Melton lost ball out-of-bounds TURNOVER (1 TO),[1629001],1610612755.0,PHI,lost ball,,,Melton,D. Melton,,,,,Mid-Range,16-24 Right,,,,,,,,,203177.0,1.0,,,,,,,,,,
59,PT06M56.00S,2022-12-28T00:17:31.7Z,1,REGULAR,turnover,lost ball,[],203078,,,1610612764,8,10,2022-12-28T00:17:39Z,570000,False,,,0,,B. Beal lost ball TURNOVER (2 TO),"[203078, 201935]",1610612764.0,WAS,,,,Beal,B. Beal,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,2.0,,,,,,,,,Harden,201935.0
60,PT06M56.00S,2022-12-28T00:17:31.7Z,1,REGULAR,steal,,[],201935,,,1610612755,8,10,2022-12-28T00:17:39Z,580000,False,,,0,,J. Harden STEAL (1 STL),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
61,PT06M49.00S,2022-12-28T00:17:41.2Z,1,REGULAR,foul,personal,['2freethrow'],1628420,,,1610612755,8,10,2022-12-28T00:17:50Z,590000,False,,,0,,M. Morris shooting personal FOUL (2 PF) (Harden 2 FT),"[1628420, 201935]",1610612764.0,WAS,shooting,,,Morris,M. Morris,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,1628480.0,,,2.0,0.0,Harden,201935.0,,,,,
63,PT06M49.00S,2022-12-28T00:17:54.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,8,10,2022-12-28T00:17:54Z,610000,False,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M49.00S,2022-12-28T00:20:17.1Z,1,REGULAR,substitution,out,[],1629655,,,1610612755,8,10,2022-12-28T00:20:44Z,620000,False,,,0,,SUB out: D. Gafford,[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M49.00S,2022-12-28T00:20:17.1Z,1,REGULAR,substitution,out,[],1628398,,,1610612755,8,10,2022-12-28T00:20:44Z,630000,False,,,0,,SUB out: K. Kuzma,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M49.00S,2022-12-28T00:20:17.1Z,1,REGULAR,substitution,in,[],201959,,,1610612755,8,10,2022-12-28T00:20:44Z,640000,False,,,0,,SUB in: T. Gibson,[201959],1610612764.0,WAS,,,,Gibson,T. Gibson,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M49.00S,2022-12-28T00:20:17.1Z,1,REGULAR,substitution,in,[],1630166,,,1610612755,8,10,2022-12-28T00:20:44Z,650000,False,,,0,,SUB in: D. Avdija,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M49.00S,2022-12-28T00:21:01.3Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],201935,,,1610612755,8,11,2022-12-28T00:21:01Z,660000,False,,,0,,J. Harden Free Throw 1 of 2 (1 PTS),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,Made,,,,,,,,,1.0,,,,,,,,,
69,PT06M49.00S,2022-12-28T00:21:16.8Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],201935,,,1610612755,8,12,2022-12-28T00:21:16Z,670000,False,,,0,,J. Harden Free Throw 2 of 2 (2 PTS),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,Made,,,,,,,,,2.0,,,,,,,,,
70,PT06M36.00S,2022-12-28T00:21:31.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203078,90.3580814717477,57.59803921568627,1610612764,8,12,2022-12-28T00:21:39Z,680000,False,38.0,38.0,1,right,MISS B. Beal driving Layup,[203078],1610612764.0,WAS,driving,,,Beal,B. Beal,,,,,In The Paint (Non-RA),0-8 Center,5.38,Missed,,,,,,,,,,,,,,,,,,
71,PT06M29.00S,2022-12-28T00:21:38.6Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,8,12,2022-12-28T00:21:39Z,690000,False,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,,,,,70.0,1.0,1.0,0.0,,,,,,,,,,,,
72,PT06M27.00S,2022-12-28T00:21:40.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201935,26.49474375821288,17.647058823529413,1610612755,8,12,2022-12-28T00:24:06Z,700000,False,162.0,197.0,1,left,MISS J. Harden 25' running pullup 3PT,[201935],1610612755.0,PHI,running pullup,,,Harden,J. Harden,,,,,Above the Break 3,24+ Right Center,25.46,Missed,,,,,,,,,,,,,,,,,,
73,PT06M25.00S,2022-12-28T00:21:43.0Z,1,REGULAR,rebound,defensive,[],204001,,,1610612764,8,12,2022-12-28T00:21:42Z,710000,False,,,0,,K. Porzingis REBOUND (Off:1 Def:2),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Right Center,,,,,72.0,3.0,2.0,1.0,,,,,,,,,,,,
75,PT06M06.00S,2022-12-28T00:22:26.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201959,94.03745072273325,42.8921568627451,1610612764,10,12,2022-12-28T00:22:50Z,730000,False,-36.0,4.0,1,right,T. Gibson Layup (2 PTS),[201959],1610612764.0,WAS,,,,Gibson,T. Gibson,,,,,Restricted Area,0-8 Center,3.57,Made,,,,,,,,,2.0,,,,,,,,,
76,PT06M06.00S,2022-12-28T00:22:28.1Z,1,REGULAR,foul,personal,['1freethrow'],203954,,,1610612764,10,12,2022-12-28T00:22:33Z,740000,False,,,0,,J. Embiid shooting personal FOUL (1 PF) (Gibson 1 FT),"[203954, 201959]",1610612755.0,PHI,shooting,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1628480.0,,,1.0,0.0,Gibson,201959.0,,,,,
78,PT06M06.00S,2022-12-28T00:22:47.5Z,1,REGULAR,freethrow,1 of 1,[],201959,,,1610612764,11,12,2022-12-28T00:22:47Z,760000,False,,,0,,T. Gibson Free Throw 1 of 1 (3 PTS),[201959],1610612764.0,WAS,,,,Gibson,T. Gibson,,,,,,,,Made,,,,,,,,,3.0,,,,,,,,,
79,PT05M49.00S,2022-12-28T00:23:05.6Z,1,REGULAR,2pt,Jump Shot,[],203954,20.97568988173456,53.92156862745098,1610612755,11,12,2022-12-28T00:23:12Z,770000,False,-20.0,145.0,1,left,MISS J. Embiid 14' pullup Shot - blocked,"[203954, 201959]",1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Center,14.6,Missed,Gibson,201959.0,,,,,,,,,,,,,,,,
80,PT05M49.00S,2022-12-28T00:23:05.6Z,1,REGULAR,block,,[],201959,,,1610612755,11,12,2022-12-28T00:23:08Z,780000,False,,,0,,T. Gibson BLOCK (1 BLK),[201959],1610612764.0,WAS,,,,Gibson,T. Gibson,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
81,PT05M46.00S,2022-12-28T00:23:08.6Z,1,REGULAR,rebound,offensive,[],200782,,,1610612755,11,12,2022-12-28T00:26:08Z,790000,False,,,0,,P. Tucker REBOUND (Off:1 Def:1),[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,Mid-Range,8-16 Center,,,,,79.0,2.0,1.0,1.0,,,,,,,,,,,,
82,PT05M43.00S,2022-12-28T00:23:11.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201935,4.28712220762155,4.166666666666666,1610612755,11,15,2022-12-28T00:26:35Z,800000,False,229.0,-12.0,1,left,J. Harden 3PT step back (5 PTS),[201935],1610612755.0,PHI,step back,,,Harden,J. Harden,,,,,Right Corner 3,24+ Right,22.95,Made,,,,,,,,,5.0,,,,,,,,,
83,PT05M18.00S,2022-12-28T00:23:36.3Z,1,REGULAR,3pt,Jump Shot,[],1630166,65.39093298291722,48.77450980392157,1610612764,14,15,2022-12-28T00:23:41Z,810000,False,-6.0,273.0,1,right,D. Avdija 27' 3PT  (3 PTS) (M. Morris 3 AST),"[1630166, 1628420]",1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Center,27.29,Made,,,,,,,,,3.0,,,,,M. Morris,1628420.0,3.0,,
