actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
35,PT09M14.00S,2023-03-28T23:14:35.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201143,16.63929040735874,45.588235294117645,1610612738,8,8,2023-03-28T23:17:03Z,350000,False,22.0,104.0,1,left,MISS A. Horford 10' floating Shot,[201143],1610612738.0,BOS,floating,,,Horford,A. Horford,,,,,In The Paint (Non-RA),8-16 Center,,,,10.62,Missed,,,,,,,,,,,,,,,
36,PT09M11.00S,2023-03-28T23:14:38.2Z,1,REGULAR,rebound,defensive,[],1628420,,,1610612764,8,8,2023-03-28T23:14:40Z,360000,False,,,0,,M. Morris REBOUND (Off:0 Def:1),[1628420],1610612764.0,WAS,,,,Morris,M. Morris,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,35.0,1.0,1.0,0.0,,
37,PT08M57.00S,2023-03-28T23:14:52.5Z,1,REGULAR,2pt,Jump Shot,[],204001,83.52496714848883,82.84313725490196,1610612764,8,8,2023-03-28T23:17:25Z,370000,False,164.0,102.0,1,right,MISS K. Porzingis 19' Jump Shot,[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,Mid-Range,16-24 Right,,,,19.35,Missed,,,,,,,,,,,,,,,
38,PT08M54.00S,2023-03-28T23:14:55.5Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,8,8,2023-03-28T23:14:59Z,380000,False,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,37.0,1.0,1.0,0.0,,
39,PT08M46.00S,2023-03-28T23:15:02.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,13.222733245729303,64.4607843137255,1610612738,8,10,2023-03-28T23:15:07Z,390000,False,-72.0,72.0,1,left,J. Brown 10' turnaround fadeaway Jump Shot (4 PTS),[1627759],1610612738.0,BOS,turnaround fadeaway,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Left,,,,10.19,Made,4.0,,,,,,,,,,,,,,
40,PT08M33.00S,2023-03-28T23:15:16.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630166,89.04402102496715,59.31372549019608,1610612764,8,10,2023-03-28T23:15:21Z,400000,False,47.0,50.0,1,right,MISS D. Avdija 6' driving Layup,[1630166],1610612764.0,WAS,driving,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),0-8 Center,,,,6.87,Missed,,,,,,,,,,,,,,,
41,PT08M31.00S,2023-03-28T23:15:18.6Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,8,10,2023-03-28T23:15:21Z,410000,False,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,40.0,1.0,1.0,0.0,,
42,PT08M25.00S,2023-03-28T23:15:23.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,8.754927726675426,62.5,1610612738,8,10,2023-03-28T23:15:26Z,420000,False,-62.0,30.0,1,left,MISS J. Brown 6' driving Layup,[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,,,,6.92,Missed,,,,,,,,,,,,,,,
43,PT08M23.00S,2023-03-28T23:15:25.4Z,1,REGULAR,rebound,defensive,[],1626153,,,1610612764,8,10,2023-03-28T23:15:26Z,430000,False,,,0,,D. Wright REBOUND (Off:0 Def:1),[1626153],1610612764.0,WAS,,,,Wright,D. Wright,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,42.0,1.0,1.0,0.0,,
44,PT08M18.00S,2023-03-28T23:15:30.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626153,88.64980289093299,58.82352941176471,1610612764,10,10,2023-03-28T23:15:37Z,440000,False,44.0,54.0,1,right,D. Wright 6' turnaround Jump Shot (2 PTS),[1626153],1610612764.0,WAS,turnaround,,,Wright,D. Wright,,,,,In The Paint (Non-RA),0-8 Center,,,,6.99,Made,2.0,,,,,,,,,,,,,,
45,PT08M04.00S,2023-03-28T23:15:44.8Z,1,REGULAR,3pt,Jump Shot,[],1628369,20.581471747700395,8.088235294117647,1610612738,10,13,2023-03-28T23:15:50Z,450000,False,210.0,141.0,1,left,J. Tatum 25' 3PT  (9 PTS) (J. Brown 2 AST),"[1628369, 1627759]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,,,,25.26,Made,9.0,,,,,,J. Brown,1627759.0,2.0,,,,,,
47,PT08M03.00S,2023-03-28T23:15:49.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,10,13,2023-03-28T23:15:49Z,470000,False,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT07M36.00S,2023-03-28T23:19:11.1Z,1,REGULAR,2pt,Jump Shot,[],1628420,85.10183968462549,32.1078431372549,1610612764,10,13,2023-03-28T23:19:16Z,480000,False,-89.0,88.0,1,right,MISS M. Morris 12' driving floating Shot,[1628420],1610612764.0,WAS,driving floating,,,Morris,M. Morris,,,,,Mid-Range,8-16 Left,,,,12.52,Missed,,,,,,,,,,,,,,,
49,PT07M34.00S,2023-03-28T23:19:13.1Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,10,13,2023-03-28T23:19:16Z,490000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,48.0,1.0,1.0,0.0,,
50,PT07M31.00S,2023-03-28T23:19:19.3Z,1,REGULAR,foul,offensive,[],1628369,,,1610612738,10,13,2023-03-28T23:19:26Z,500000,False,,,0,,J. Tatum charge offensive FOUL (1 PF),"[1628369, 1626153]",1610612738.0,BOS,charge,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,1830.0,1.0,0.0,Wright,1626153.0,,,,,,,,,
52,PT07M31.00S,2023-03-28T23:19:19.3Z,1,REGULAR,turnover,offensive foul,[],1628369,,,1610612738,10,13,2023-03-28T23:19:19Z,520000,False,,,0,,J. Tatum offensive foul TURNOVER (1 TO),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),8-16 Right,1.0,,,,,,1830.0,,,,,,,,,,,,,
53,PT07M31.00S,2023-03-28T23:19:24.9Z,1,REGULAR,substitution,out,[],1628369,,,1610612764,10,13,2023-03-28T23:19:33Z,530000,False,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M31.00S,2023-03-28T23:19:24.9Z,1,REGULAR,substitution,out,[],203935,,,1610612764,10,13,2023-03-28T23:19:33Z,540000,False,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M31.00S,2023-03-28T23:19:24.9Z,1,REGULAR,substitution,in,[],1629057,,,1610612764,10,13,2023-03-28T23:19:33Z,550000,False,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M31.00S,2023-03-28T23:19:24.9Z,1,REGULAR,substitution,in,[],1627763,,,1610612764,10,13,2023-03-28T23:19:33Z,560000,False,,,0,,SUB in: M. Brogdon,[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M18.00S,2023-03-28T23:19:55.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",204001,85.49605781865965,35.53921568627451,1610612764,12,13,2023-03-28T23:20:47Z,570000,False,-72.0,84.0,1,right,K. Porzingis 11' driving floating Jump Shot (6 PTS) (M. Morris 2 AST),"[204001, 1628420]",1610612764.0,WAS,driving floating,,,Porzingis,K. Porzingis,,,,,In The Paint (Non-RA),8-16 Left,,,,11.07,Made,6.0,,,,,,M. Morris,1628420.0,2.0,,,,,,
58,PT07M07.00S,2023-03-28T23:20:05.6Z,1,REGULAR,3pt,Jump Shot,[],1627759,31.488173455978973,71.07843137254902,1610612738,12,13,2023-03-28T23:20:11Z,580000,False,-105.0,243.0,1,left,MISS J. Brown 26' pullup 3PT,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,,,,26.53,Missed,,,,,,,,,,,,,,,
59,PT07M04.00S,2023-03-28T23:20:08.6Z,1,REGULAR,rebound,defensive,[],204001,,,1610612764,12,13,2023-03-28T23:20:11Z,590000,False,,,0,,K. Porzingis REBOUND (Off:0 Def:2),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,58.0,2.0,2.0,0.0,,
60,PT06M59.00S,2023-03-28T23:20:14.1Z,1,REGULAR,3pt,Jump Shot,[],204001,63.9454664914586,47.794117647058826,1610612764,12,13,2023-03-28T23:20:20Z,600000,False,-11.0,286.0,1,right,MISS K. Porzingis 28' 3PT,[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Center,,,,28.66,Missed,,,,,,,,,,,,,,,
61,PT06M56.00S,2023-03-28T23:20:17.1Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,12,13,2023-03-28T23:20:20Z,610000,False,,,0,,D. White REBOUND (Off:0 Def:2),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,60.0,2.0,2.0,0.0,,
62,PT06M37.00S,2023-03-28T23:20:36.7Z,1,REGULAR,2pt,Hook,[],201143,20.844283837056505,68.13725490196079,1610612738,12,13,2023-03-28T23:20:41Z,620000,False,-91.0,143.0,1,left,MISS A. Horford 16' driving Hook,[201143],1610612738.0,BOS,driving,,,Horford,A. Horford,,,,,Mid-Range,16-24 Left Center,,,,16.97,Missed,,,,,,,,,,,,,,,
63,PT06M34.00S,2023-03-28T23:20:39.7Z,1,REGULAR,rebound,defensive,[],204001,,,1610612764,12,13,2023-03-28T23:20:41Z,630000,False,,,0,,K. Porzingis REBOUND (Off:0 Def:3),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,62.0,3.0,3.0,0.0,,
64,PT06M15.00S,2023-03-28T23:20:58.2Z,1,REGULAR,2pt,Jump Shot,[],1628420,93.11760840998686,87.00980392156863,1610612764,14,13,2023-03-28T23:21:02Z,640000,False,185.0,12.0,1,right,M. Morris 18' pullup Jump Shot (4 PTS) (K. Porzingis 1 AST),"[1628420, 204001]",1610612764.0,WAS,pullup,,,Morris,M. Morris,,,,,Mid-Range,16-24 Right,,,,18.54,Made,4.0,,,,,,K. Porzingis,204001.0,1.0,,,,,,
66,PT06M00.00S,2023-03-28T23:21:13.1Z,1,REGULAR,3pt,Jump Shot,[],1628401,32.670827858081466,70.34313725490196,1610612738,14,13,2023-03-28T23:21:17Z,660000,False,-102.0,255.0,1,left,MISS D. White 27' pullup 3PT,[1628401],1610612738.0,BOS,pullup,,,White,D. White,,,,,Above the Break 3,24+ Left Center,,,,27.42,Missed,,,,,,,,,,,,,,,
67,PT05M58.00S,2023-03-28T23:21:15.1Z,1,REGULAR,rebound,defensive,[],204001,,,1610612764,14,13,2023-03-28T23:21:17Z,670000,False,,,0,,K. Porzingis REBOUND (Off:0 Def:4),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,66.0,4.0,4.0,0.0,,
68,PT05M49.00S,2023-03-28T23:21:24.5Z,1,REGULAR,3pt,Jump Shot,[],1628420,93.11760840998686,3.6764705882352944,1610612764,14,13,2023-03-28T23:21:29Z,680000,False,-232.0,12.0,1,right,MISS M. Morris 3PT,[1628420],1610612764.0,WAS,,,,Morris,M. Morris,,,,,Left Corner 3,24+ Left,,,,23.19,Missed,,,,,,,,,,,,,,,
69,PT05M45.00S,2023-03-28T23:21:28.5Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,14,13,2023-03-28T23:21:29Z,690000,False,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,,,68.0,2.0,2.0,0.0,,
70,PT05M32.00S,2023-03-28T23:21:40.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,17.69053876478318,56.86274509803921,1610612738,14,13,2023-03-28T23:21:48Z,700000,False,-34.0,114.0,1,left,MISS J. Brown 11' fadeaway Shot,[1627759],1610612738.0,BOS,fadeaway,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Center,,,,11.89,Missed,,,,,,,,,,,,,,,
71,PT05M27.00S,2023-03-28T23:21:45.6Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,14,13,2023-03-28T23:26:03Z,710000,False,,,0,,R. Williams III REBOUND (Off:1 Def:0),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,70.0,1.0,0.0,1.0,,
72,PT05M24.00S,2023-03-28T23:21:49.0Z,1,REGULAR,turnover,lost ball,[],1627759,,,1610612738,14,13,2023-03-28T23:21:52Z,720000,False,,,0,,J. Brown lost ball TURNOVER (1 TO),"[1627759, 1626153]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Center,1.0,Wright,1626153.0,,,,,,,,,,,,,,,,,
73,PT05M24.00S,2023-03-28T23:21:49.0Z,1,REGULAR,steal,,[],1626153,,,1610612764,14,13,2023-03-28T23:21:50Z,730000,False,,,0,,D. Wright STEAL (1 STL),[1626153],1610612764.0,WAS,,,,Wright,D. Wright,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
74,PT05M21.00S,2023-03-28T23:21:53.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1626153,94.43166885676742,53.92156862745098,1610612764,16,13,2023-03-28T23:21:59Z,740000,False,20.0,0.0,1,right,D. Wright running Layup (4 PTS),[1626153],1610612764.0,WAS,running,,,Wright,D. Wright,,,,,Restricted Area,0-8 Center,,,,1.96,Made,4.0,,,,,,,,,,,,,,
75,PT05M21.00S,2023-03-28T23:21:56.0Z,1,REGULAR,foul,personal,['1freethrow'],1627763,,,1610612764,16,13,2023-03-28T23:22:06Z,750000,False,,,0,,M. Brogdon shooting personal FOUL (1 PF) (Wright 1 FT),"[1627763, 1626153]",1610612738.0,BOS,shooting,,,Brogdon,M. Brogdon,,,,,Restricted Area,0-8 Center,,,,,,,202901.0,1.0,0.0,Wright,1626153.0,,,,,,,,,
78,PT05M21.00S,2023-03-28T23:22:07.1Z,1,REGULAR,substitution,out,[],1630557,,,1610612764,16,13,2023-03-28T23:22:15Z,780000,False,,,0,,SUB out: C. Kispert,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M21.00S,2023-03-28T23:22:07.1Z,1,REGULAR,substitution,out,[],201143,,,1610612764,16,13,2023-03-28T23:22:15Z,790000,False,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M21.00S,2023-03-28T23:22:07.1Z,1,REGULAR,substitution,in,[],1631098,,,1610612764,16,13,2023-03-28T23:22:15Z,800000,False,,,0,,SUB in: J. Davis,[1631098],1610612764.0,WAS,,,,Davis,J. Davis,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M21.00S,2023-03-28T23:22:07.1Z,1,REGULAR,substitution,in,[],1630264,,,1610612764,16,13,2023-03-28T23:22:15Z,810000,False,,,0,,SUB in: A. Gill,[1630264],1610612764.0,WAS,,,,Gill,A. Gill,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M21.00S,2023-03-28T23:22:07.1Z,1,REGULAR,substitution,in,[],1629684,,,1610612764,16,13,2023-03-28T23:22:15Z,820000,False,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT05M21.00S,2023-03-28T23:22:07.1Z,1,REGULAR,substitution,out,[],1630166,,,1610612764,16,13,2023-03-28T23:23:36Z,825000,False,,,0,,SUB out: D. Avdija,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,,
