actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
16,PT10M48.00S,2022-11-04T23:12:46.6Z,1,REGULAR,rebound,defensive,[],1628420,,,1610612764,3,4,2022-11-04T23:12:48Z,160000,,,0,,M. Morris REBOUND (Off:0 Def:1),[1628420],1610612764.0,WAS,,,,Morris,M. Morris,,,,,Above the Break 3,24+ Right Center,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT10M29.00S,2022-11-04T23:13:05.7Z,1,REGULAR,3pt,Jump Shot,[],1628398,60.13469119579501,36.51960784313725,1610612764,6,4,2022-11-04T23:13:10Z,170000,-67.0,322.0,1,right,K. Kuzma 32' 3PT  (3 PTS) (M. Morris 2 AST),"[1628398, 1628420]",1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Center,32.92,Made,,,,,3.0,M. Morris,1628420.0,2.0,,,,,,,,,,
19,PT10M02.00S,2022-11-04T23:13:33.7Z,1,REGULAR,foul,personal,['2freethrow'],1628398,,,1610612751,6,4,2022-11-04T23:13:44Z,190000,,,0,,K. Kuzma shooting personal FOUL (1 PF) (Sumner 2 FT),"[1628398, 1628410]",1610612764.0,WAS,shooting,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,202901.0,1.0,0.0,Sumner,1628410.0,,,,,
21,PT10M02.00S,2022-11-04T23:13:56.7Z,1,REGULAR,freethrow,1 of 2,[],1628410,,,1610612751,6,5,2022-11-04T23:13:56Z,210000,,,0,,E. Sumner Free Throw 1 of 2 (1 PTS),[1628410],1610612751.0,BKN,,,,Sumner,E. Sumner,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
22,PT10M02.00S,2022-11-04T23:14:10.9Z,1,REGULAR,freethrow,2 of 2,[],1628410,,,1610612751,6,6,2022-11-04T23:14:10Z,220000,,,0,,E. Sumner Free Throw 2 of 2 (2 PTS),[1628410],1610612751.0,BKN,,,,Sumner,E. Sumner,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
23,PT09M49.00S,2022-11-04T23:14:27.8Z,1,REGULAR,foul,personal,['2freethrow'],1629651,,,1610612764,6,6,2022-11-04T23:14:54Z,230000,,,0,,N. Claxton shooting personal FOUL (1 PF) (Porzingis 2 FT),"[1629651, 204001]",1610612751.0,BKN,shooting,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1193.0,1.0,0.0,Porzingis,204001.0,,,,,
25,PT09M49.00S,2022-11-04T23:14:55.0Z,1,REGULAR,freethrow,1 of 2,[],204001,,,1610612764,6,6,2022-11-04T23:14:55Z,250000,,,0,,MISS K. Porzingis Free Throw 1 of 2,[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
26,PT09M49.00S,2022-11-04T23:14:55.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612764,6,6,2022-11-04T23:14:55Z,260000,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,
27,PT09M49.00S,2022-11-04T23:14:55.0Z,1,REGULAR,freethrow,2 of 2,[],204001,,,1610612764,6,6,2022-11-04T23:15:23Z,270000,,,0,,MISS K. Porzingis Free Throw 2 of 2,[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
28,PT09M49.00S,2022-11-04T23:14:55.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612751,6,6,2022-11-04T23:15:23Z,280000,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,
45,PT09M49.00S,2022-11-04T23:15:20.1Z,1,REGULAR,violation,lane,[],204001,,,1610612751,6,6,2022-11-04T23:18:13Z,285000,,,0,,K. Porzingis lane VIOLATION,[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT09M32.00S,2022-11-04T23:15:45.3Z,1,REGULAR,3pt,Jump Shot,[],1626220,14.14257555847569,6.127450980392156,1610612751,6,9,2022-11-04T23:15:50Z,290000,219.0,80.0,1,left,R. O'Neale 3PT  (7 PTS) (N. Claxton 1 AST),"[1626220, 1629651]",1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,Right Corner 3,24+ Right,23.37,Made,,,,,7.0,N. Claxton,1629651.0,1.0,,,,,,,,,,
31,PT09M22.00S,2022-11-04T23:15:56.6Z,1,REGULAR,3pt,Jump Shot,[],1628398,74.85216819973719,9.068627450980392,1610612764,9,9,2022-11-04T23:16:01Z,310000,-205.0,184.0,1,right,K. Kuzma 27' 3PT  (6 PTS) (K. Porzingis 1 AST),"[1628398, 204001]",1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Left Center,27.52,Made,,,,,6.0,K. Porzingis,204001.0,1.0,,,,,,,,,,
33,PT09M06.00S,2022-11-04T23:16:12.0Z,1,REGULAR,3pt,Jump Shot,[],201142,33.85348226018397,50.73529411764706,1610612751,9,9,2022-11-04T23:18:25Z,330000,-4.0,266.0,1,left,MISS K. Durant 26' pullup 3PT,[201142],1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,Above the Break 3,24+ Center,26.57,Missed,,,,,,,,,,,,,,,,,,
34,PT09M02.00S,2022-11-04T23:16:16.0Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,9,9,2022-11-04T23:16:16Z,340000,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Center,,,33.0,1.0,1.0,0.0,,,,,,,,,,,,,,
35,PT09M00.00S,2022-11-04T23:16:18.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628398,64.60249671484888,39.46078431372549,1610612764,9,9,2022-11-04T23:19:19Z,350000,-53.0,280.0,1,right,MISS K. Kuzma 28' running pullup 3PT,[1628398],1610612764.0,WAS,running pullup,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Center,28.51,Missed,,,,,,,,,,,,,,,,,,
36,PT09M00.00S,2022-11-04T23:16:18.3Z,1,REGULAR,rebound,offensive,[],1630264,,,1610612764,9,9,2022-11-04T23:16:27Z,360000,,,0,,A. Gill REBOUND (Off:1 Def:0),[1630264],1610612764.0,WAS,,,,Gill,A. Gill,,,,,Above the Break 3,24+ Center,,,35.0,1.0,0.0,1.0,,,,,,,,,,,,,,
37,PT08M55.00S,2022-11-04T23:16:22.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630264,91.93495400788436,54.65686274509803,1610612764,11,9,2022-11-04T23:16:31Z,370000,23.0,23.0,1,right,A. Gill Layup (2 PTS),[1630264],1610612764.0,WAS,,,,Gill,A. Gill,,,,,Restricted Area,0-8 Center,3.3,Made,,,,,2.0,,,,,,,,,,,,,
38,PT08M45.00S,2022-11-04T23:16:32.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628410,5.075558475689881,60.5392156862745,1610612751,11,9,2022-11-04T23:16:37Z,380000,-53.0,-5.0,1,left,MISS E. Sumner driving Layup,[1628410],1610612751.0,BKN,driving,,,Sumner,E. Sumner,,,,,In The Paint (Non-RA),0-8 Center,5.29,Missed,,,,,,,,,,,,,,,,,,
39,PT08M43.00S,2022-11-04T23:16:34.5Z,1,REGULAR,rebound,defensive,[],204001,,,1610612764,11,9,2022-11-04T23:16:37Z,390000,,,0,,K. Porzingis REBOUND (Off:0 Def:1),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,In The Paint (Non-RA),0-8 Center,,,38.0,1.0,1.0,0.0,,,,,,,,,,,,,,
40,PT08M39.00S,2022-11-04T23:16:39.2Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1628420,91.80354796320631,54.166666666666664,1610612764,13,9,2022-11-04T23:21:19Z,400000,21.0,25.0,1,right,M. Morris running pullup Jump Shot (2 PTS),[1628420],1610612764.0,WAS,running pullup,,,Morris,M. Morris,,,,,Restricted Area,0-8 Center,3.21,Made,,,,,2.0,,,,,,,,,,,,,
41,PT08M27.00S,2022-11-04T23:16:51.6Z,1,REGULAR,3pt,Jump Shot,[],1628410,24.655059132720105,13.23529411764706,1610612751,13,9,2022-11-04T23:21:47Z,410000,184.0,179.0,1,left,MISS E. Sumner 25' step back 3PT,[1628410],1610612751.0,BKN,step back,,,Sumner,E. Sumner,,,,,Above the Break 3,24+ Right Center,25.68,Missed,,,,,,,,,,,,,,,,,,
42,PT08M27.00S,2022-11-04T23:16:51.6Z,1,REGULAR,rebound,defensive,[],204001,,,1610612764,13,9,2022-11-04T23:17:05Z,420000,,,0,,K. Porzingis REBOUND (Off:0 Def:2),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Right Center,,,41.0,2.0,2.0,0.0,,,,,,,,,,,,,,
43,PT08M04.00S,2022-11-04T23:17:13.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203078,92.72339027595268,46.32352941176471,1610612764,15,9,2022-11-04T23:17:18Z,430000,-18.0,16.0,1,right,B. Beal driving reverse Layup (2 PTS),[203078],1610612764.0,WAS,driving reverse,,,Beal,B. Beal,,,,,Restricted Area,0-8 Center,2.43,Made,,,,,2.0,,,,,,,,,,,,,
44,PT08M04.00S,2022-11-04T23:17:18.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,15,9,2022-11-04T23:17:18Z,440000,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT07M50.00S,2022-11-04T23:20:24.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201142,10.068988173455978,58.57843137254902,1610612751,15,11,2022-11-04T23:20:31Z,450000,-43.0,42.0,1,left,K. Durant 6' driving Layup (2 PTS),[201142],1610612751.0,BKN,driving,,,Durant,K. Durant,,,,,In The Paint (Non-RA),0-8 Center,6.01,Made,,,,,2.0,,,,,,,,,,,,,
47,PT07M35.00S,2022-11-04T23:20:43.0Z,1,REGULAR,foul,personal,['2freethrow'],1626220,,,1610612764,15,11,2022-11-04T23:20:56Z,460000,,,0,,R. O'Neale shooting personal FOUL (1 PF) (Kuzma 2 FT),"[1626220, 1628398]",1610612751.0,BKN,shooting,,,O'Neale,R. O'Neale,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1179.0,1.0,0.0,Kuzma,1628398.0,,,,,
49,PT07M35.00S,2022-11-04T23:21:11.9Z,1,REGULAR,freethrow,1 of 2,[],1628398,,,1610612764,16,11,2022-11-04T23:21:11Z,480000,,,0,,K. Kuzma Free Throw 1 of 2 (7 PTS),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,Made,,,,,7.0,,,,,,,,,,,,,
50,PT07M35.00S,2022-11-04T23:21:29.3Z,1,REGULAR,freethrow,2 of 2,[],1628398,,,1610612764,17,11,2022-11-04T23:21:29Z,490000,,,0,,K. Kuzma Free Throw 2 of 2 (8 PTS),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,Made,,,,,8.0,,,,,,,,,,,,,
51,PT07M19.00S,2022-11-04T23:21:48.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,6.915243101182654,63.725490196078425,1610612751,17,11,2022-11-04T23:22:04Z,500000,-69.0,13.0,1,left,MISS K. Durant 6' turnaround Shot,[201142],1610612751.0,BKN,turnaround,,,Durant,K. Durant,,,,,In The Paint (Non-RA),0-8 Center,6.97,Missed,,,,,,,,,,,,,,,,,,
52,PT07M18.00S,2022-11-04T23:22:03.5Z,1,REGULAR,rebound,offensive,[],1629651,,,1610612751,17,11,2022-11-04T23:22:03Z,510000,,,0,,N. Claxton REBOUND (Off:1 Def:0),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,51.0,1.0,0.0,1.0,,,,,,,,,,,,,,
53,PT07M18.00S,2022-11-04T23:22:04.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance', 'defensivegoaltending']",1629651,7.178055190538765,46.32352941176471,1610612751,17,13,2022-11-04T23:24:30Z,520000,18.0,15.0,1,left,N. Claxton tip Layup (2 PTS),[1629651],1610612751.0,BKN,tip,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,2.37,Made,,,,,2.0,,,,,,,,,,,,,
54,PT07M18.00S,2022-11-04T23:22:08.1Z,1,REGULAR,violation,defensive goaltending,[],1630264,,,1610612751,17,13,2022-11-04T23:23:16Z,530000,,,0,,A. Gill defensive goaltending VIOLATION,[1630264],1610612764.0,WAS,,,,Gill,A. Gill,,,,,,,,,,,,,,,,,202901.0,,,,,,,,,
55,PT06M59.00S,2022-11-04T23:22:23.2Z,1,REGULAR,3pt,Jump Shot,[],1628398,64.07687253613666,45.09803921568628,1610612764,17,13,2022-11-04T23:22:44Z,540000,-25.0,285.0,1,right,MISS K. Kuzma 28' 3PT,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Center,28.63,Missed,,,,,,,,,,,,,,,,,,
56,PT06M55.00S,2022-11-04T23:22:26.5Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612751,17,13,2022-11-04T23:22:26Z,550000,,,0,,R. O'Neale REBOUND (Off:1 Def:1),[1626220],1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Center,,,55.0,2.0,1.0,1.0,,,,,,,,,,,,,,
57,PT06M46.00S,2022-11-04T23:22:35.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629651,7.5722733245729295,55.392156862745104,1610612751,17,15,2022-11-04T23:25:52Z,560000,-27.0,19.0,1,left,N. Claxton DUNK (4 PTS) (R. O'Neale 1 AST),"[1629651, 1626220]",1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,3.28,Made,,,,,4.0,R. O'Neale,1626220.0,1.0,,,,,,,,,,
59,PT06M30.00S,2022-11-04T23:22:51.3Z,1,REGULAR,3pt,Jump Shot,[],204001,66.83639947437582,41.42156862745098,1610612764,20,15,2022-11-04T23:23:02Z,580000,-43.0,259.0,1,right,K. Porzingis 26' 3PT  (6 PTS) (M. Morris 3 AST),"[204001, 1628420]",1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Center,26.27,Made,,,,,6.0,M. Morris,1628420.0,3.0,,,,,,,,,,
61,PT06M15.00S,2022-11-04T23:23:05.9Z,1,REGULAR,3pt,Jump Shot,[],201142,34.37910643889619,37.00980392156863,1610612751,20,15,2022-11-04T23:27:23Z,600000,65.0,271.0,1,left,MISS K. Durant 27' pullup 3PT,[201142],1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,Above the Break 3,24+ Center,27.84,Missed,,,,,,,,,,,,,,,,,,
62,PT06M13.00S,2022-11-04T23:23:07.9Z,1,REGULAR,rebound,defensive,[],1628420,,,1610612764,20,15,2022-11-04T23:27:03Z,610000,,,0,,M. Morris REBOUND (Off:0 Def:2),[1628420],1610612764.0,WAS,,,,Morris,M. Morris,,,,,Above the Break 3,24+ Center,,,61.0,2.0,2.0,0.0,,,,,,,,,,,,,,
63,PT06M02.00S,2022-11-04T23:23:19.0Z,1,REGULAR,3pt,Jump Shot,[],1628420,70.25295663600527,88.72549019607843,1610612764,20,15,2022-11-04T23:23:23Z,620000,194.0,227.0,1,right,MISS M. Morris 29' 3PT,[1628420],1610612764.0,WAS,,,,Morris,M. Morris,,,,,Above the Break 3,24+ Right Center,29.84,Missed,,,,,,,,,,,,,,,,,,
64,PT06M02.00S,2022-11-04T23:23:19.0Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,20,15,2022-11-04T23:23:23Z,630000,,,0,,N. Claxton REBOUND (Off:1 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Right Center,,,63.0,2.0,1.0,1.0,,,,,,,,,,,,,,
65,PT05M53.00S,2022-11-04T23:23:31.5Z,1,REGULAR,foul,personal,[],1628398,,,1610612751,20,15,2022-11-04T23:23:43Z,640000,,,0,,K. Kuzma personal FOUL (2 PF),"[1628398, 1629651]",1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1193.0,2.0,0.0,Claxton,1629651.0,,,,,
67,PT05M53.00S,2022-11-04T23:23:43.0Z,1,REGULAR,substitution,out,[],1628398,,,1610612751,20,15,2022-11-04T23:23:57Z,660000,,,0,,SUB out: K. Kuzma,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M53.00S,2022-11-04T23:23:43.0Z,1,REGULAR,substitution,out,[],1628420,,,1610612751,20,15,2022-11-04T23:23:57Z,670000,,,0,,SUB out: M. Morris,[1628420],1610612764.0,WAS,,,,Morris,M. Morris,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M53.00S,2022-11-04T23:23:43.0Z,1,REGULAR,substitution,out,[],1628410,,,1610612751,20,15,2022-11-04T23:23:57Z,680000,,,0,,SUB out: E. Sumner,[1628410],1610612751.0,BKN,,,,Sumner,E. Sumner,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M53.00S,2022-11-04T23:23:43.0Z,1,REGULAR,substitution,in,[],203115,,,1610612751,20,15,2022-11-04T23:23:57Z,690000,,,0,,SUB in: W. Barton,[203115],1610612764.0,WAS,,,,Barton,W. Barton,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M53.00S,2022-11-04T23:23:43.0Z,1,REGULAR,substitution,in,[],1630166,,,1610612751,20,15,2022-11-04T23:23:57Z,700000,,,0,,SUB in: D. Avdija,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M53.00S,2022-11-04T23:23:43.0Z,1,REGULAR,substitution,in,[],1630560,,,1610612751,20,15,2022-11-04T23:23:57Z,710000,,,0,,SUB in: C. Thomas,[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M48.00S,2022-11-04T23:24:00.2Z,1,REGULAR,3pt,Jump Shot,[],1626220,25.837713534822605,90.19607843137256,1610612751,20,18,2022-11-04T23:24:13Z,720000,-201.0,190.0,1,left,R. O'Neale 27' 3PT  (10 PTS) (K. Durant 1 AST),"[1626220, 201142]",1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Left Center,27.69,Made,,,,,10.0,K. Durant,201142.0,1.0,,,,,,,,,,
75,PT05M48.00S,2022-11-04T23:24:04.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,20,18,2022-11-04T23:24:07Z,740000,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M26.00S,2022-11-04T23:27:20.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],204001,91.14651773981603,54.90196078431373,1610612764,22,18,2022-11-04T23:27:26Z,750000,25.0,31.0,1,right,K. Porzingis driving DUNK (8 PTS),[204001],1610612764.0,WAS,driving,,,Porzingis,K. Porzingis,,,,,Restricted Area,0-8 Center,3.93,Made,,,,,8.0,,,,,,,,,,,,,
77,PT04M59.00S,2022-11-04T23:27:48.0Z,1,REGULAR,2pt,Jump Shot,[],201142,9.411957950065702,83.33333333333334,1610612751,22,20,2022-11-04T23:27:55Z,760000,-167.0,36.0,1,left,K. Durant 17' fadeaway Jump Shot (4 PTS) (R. O'Neale 2 AST),"[201142, 1626220]",1610612751.0,BKN,fadeaway,,,Durant,K. Durant,,,,,Mid-Range,16-24 Left,17.05,Made,,,,,4.0,R. O'Neale,1626220.0,2.0,,,,,,,,,,
79,PT04M59.00S,2022-11-04T23:27:51.3Z,1,REGULAR,foul,personal,['1freethrow'],204001,,,1610612751,22,20,2022-11-04T23:28:00Z,780000,,,0,,K. Porzingis shooting personal FOUL (1 PF) (Durant 1 FT),"[204001, 201142]",1610612764.0,WAS,shooting,,,Porzingis,K. Porzingis,,,,,Mid-Range,8-16 Left,,,,,,,,,,,202901.0,1.0,0.0,Durant,201142.0,,,,,
81,PT04M59.00S,2022-11-04T23:28:27.9Z,1,REGULAR,freethrow,1 of 1,[],201142,,,1610612751,22,21,2022-11-04T23:31:34Z,800000,,,0,,K. Durant Free Throw 1 of 1 (5 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
82,PT04M51.00S,2022-11-04T23:28:41.9Z,1,REGULAR,foul,personal,[],1629651,,,1610612764,22,21,2022-11-04T23:28:50Z,810000,,,0,,N. Claxton personal FOUL (2 PF),"[1629651, 204001]",1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Center,,,,,,,,,,,202901.0,2.0,0.0,Porzingis,204001.0,,,,,
84,PT04M51.00S,2022-11-04T23:28:50.8Z,1,REGULAR,substitution,out,[],1630264,,,1610612764,22,21,2022-11-04T23:28:54Z,830000,,,0,,SUB out: A. Gill,[1630264],1610612764.0,WAS,,,,Gill,A. Gill,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M51.00S,2022-11-04T23:28:50.8Z,1,REGULAR,substitution,in,[],1629060,,,1610612764,22,21,2022-11-04T23:28:54Z,840000,,,0,,SUB in: R. Hachimura,[1629060],1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M51.00S,2022-11-04T23:29:00.4Z,1,REGULAR,substitution,out,[],203925,,,1610612764,22,21,2022-11-04T23:29:05Z,850000,,,0,,SUB out: J. Harris,[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
