actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,playerName,playerNameI,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
30,PT09M53.00S,2023-03-04T22:13:20.8Z,1,REGULAR,rebound,offensive,[],1627783,,,1610612761,7,0,2023-03-04T22:13:28Z,300000,False,,,0,,P. Siakam REBOUND (Off:1 Def:0),[1627783],1610612761.0,TOR,,Siakam,P. Siakam,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,29.0,1.0,0.0,1.0,,,,,,,,,
31,PT09M48.00S,2023-03-04T22:13:24.5Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1627783,5.590000152587891,50.0,1610612761,7,2,2023-03-04T22:19:14Z,310000,False,0.0,0.0,1,left,P. Siakam tip DUNK (2 PTS),[1627783],1610612761.0,TOR,,Siakam,P. Siakam,tip,,,,,,,Restricted Area,0-8 Center,0.0,Made,2.0,,,,,,,,,,,,,,,,
32,PT09M29.00S,2023-03-04T22:13:44.5Z,1,REGULAR,2pt,Jump Shot,[],1628398,79.188567674113,25.0,1610612764,7,2,2023-03-04T22:13:48Z,320000,False,-125.0,143.0,1,right,MISS K. Kuzma 19' step back Shot,[1628398],1610612764.0,WAS,,Kuzma,K. Kuzma,step back,,,,,,,Mid-Range,16-24 Left Center,19.0,Missed,,,,,,,,,,,,,,,,,
33,PT09M26.00S,2023-03-04T22:13:47.5Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612761,7,2,2023-03-04T22:13:48Z,330000,False,,,0,,F. VanVleet REBOUND (Off:0 Def:2),[1627832],1610612761.0,TOR,,VanVleet,F. VanVleet,,,,,,,,Mid-Range,16-24 Left Center,,,,,,,32.0,2.0,2.0,0.0,,,,,,,,,
76,PT09M18.00S,2023-03-04T22:14:01.6Z,1,REGULAR,turnover,bad pass,[],1627751,,,1610612761,7,2,2023-03-04T22:22:54Z,365000,False,,,0,,J. Poeltl bad pass TURNOVER (1 TO),"[1627751, 1626153]",1610612761.0,TOR,,Poeltl,J. Poeltl,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,1.0,Wright,1626153.0
77,PT09M18.00S,2023-03-04T22:14:01.6Z,1,REGULAR,steal,,[],1626153,,,1610612764,7,2,2023-03-04T22:22:54Z,367500,False,,,0,,D. Wright STEAL (1 STL),[1626153],1610612764.0,WAS,,Wright,D. Wright,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,
37,PT09M07.00S,2023-03-04T22:14:07.7Z,1,REGULAR,turnover,out-of-bounds,[],1626153,,,1610612764,7,2,2023-03-04T22:14:15Z,370000,False,,,0,,D. Wright bad pass out-of-bounds TURNOVER (1 TO),[1626153],1610612764.0,WAS,1662.0,Wright,D. Wright,bad pass,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,1.0,,
38,PT08M54.00S,2023-03-04T22:14:27.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630567,10.200394218134035,78.43137254901961,1610612761,7,4,2023-03-04T22:14:35Z,380000,False,-142.0,43.0,1,left,S. Barnes 14' turnaround fadeaway Jump Shot (2 PTS),[1630567],1610612761.0,TOR,,Barnes,S. Barnes,turnaround fadeaway,,,,,,,Mid-Range,8-16 Left,14.87,Made,2.0,,,,,,,,,,,,,,,,
39,PT08M29.00S,2023-03-04T22:14:54.7Z,1,REGULAR,foul,personal,[],1628384,,,1610612764,7,4,2023-03-04T22:15:14Z,390000,False,,,0,,O. Anunoby personal FOUL (1 PF),"[1628384, 204001]",1610612761.0,TOR,1179.0,Anunoby,O. Anunoby,,,,,,,,Mid-Range,8-16 Right,,,,,,,,,,,1.0,0.0,Porzingis,204001.0,,,,,
41,PT08M26.00S,2023-03-04T22:15:17.5Z,1,REGULAR,turnover,bad pass,[],203078,,,1610612764,7,4,2023-03-04T22:15:21Z,410000,False,,,0,,B. Beal bad pass TURNOVER (1 TO),"[203078, 1627751]",1610612764.0,WAS,,Beal,B. Beal,,,,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,1.0,Poeltl,1627751.0
