actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
17,PT11M00.00S,2022-10-25T23:13:11.8Z,1,REGULAR,rebound,defensive,[],1628420,,,1610612764,2,0,2022-10-25T23:13:15Z,170000,,,0,,M. Morris REBOUND (Off:0 Def:1),[1628420],1610612764.0,WAS,,,,,,,Above the Break 3,24+ Left Center,,,Morris,M. Morris,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M52.00S,2022-10-25T23:13:19.9Z,1,REGULAR,3pt,Jump Shot,[],204001,68.80749014454665,75.98039215686273,1610612764,5,0,2022-10-25T23:13:24Z,180000,130.0,241.0,1,right,K. Porzingis 27' 3PT  (3 PTS) (B. Beal 1 AST),"[204001, 203078]",1610612764.0,WAS,,,,,,,Above the Break 3,24+ Right Center,27.35,Made,Porzingis,K. Porzingis,,,,,,,,,,3.0,B. Beal,203078.0,1.0,,,,,
20,PT10M26.00S,2022-10-25T23:13:45.3Z,1,REGULAR,3pt,Jump Shot,[],1631093,32.670827858081466,67.40196078431373,1610612765,5,3,2022-10-25T23:13:54Z,200000,-87.0,255.0,1,left,J. Ivey 26' 3PT step back (3 PTS),[1631093],1610612765.0,DET,step back,,,,,,Above the Break 3,24+ Left Center,26.91,Made,Ivey,J. Ivey,,,,,,,,,,3.0,,,,,,,,
21,PT10M04.00S,2022-10-25T23:14:07.9Z,1,REGULAR,3pt,Jump Shot,[],204001,71.96123521681997,22.30392156862745,1610612764,5,3,2022-10-25T23:14:12Z,210000,-138.0,211.0,1,right,MISS K. Porzingis 25' 3PT,[204001],1610612764.0,WAS,,,,,,,Above the Break 3,24+ Left Center,25.25,Missed,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,
22,PT10M02.00S,2022-10-25T23:14:09.9Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,5,3,2022-10-25T23:14:12Z,220000,,,0,,I. Stewart REBOUND (Off:1 Def:1),[1630191],1610612765.0,DET,,,,,,,Above the Break 3,24+ Left Center,,,Stewart,I. Stewart,21.0,2.0,1.0,1.0,,,,,,,,,,,,,,
23,PT09M46.00S,2022-10-25T23:14:26.2Z,1,REGULAR,turnover,bad pass,[],202711,,,1610612765,5,3,2022-10-25T23:14:32Z,230000,,,0,,B. Bogdanovic bad pass TURNOVER (1 TO),"[202711, 1630166]",1610612765.0,DET,,,,,,,Mid-Range,8-16 Left,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,1.0,Avdija,1630166.0,,
24,PT09M46.00S,2022-10-25T23:14:26.2Z,1,REGULAR,steal,,[],1630166,,,1610612764,5,3,2022-10-25T23:14:29Z,240000,,,0,,D. Avdija STEAL (1 STL),[1630166],1610612764.0,WAS,,,,,,,Mid-Range,8-16 Left,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,
25,PT09M38.00S,2022-10-25T23:14:33.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],204001,71.30420499342969,21.323529411764707,1610612764,8,3,2022-10-25T23:14:38Z,250000,-143.0,217.0,1,right,K. Porzingis 26' 3PT  (6 PTS) (D. Avdija 1 AST),"[204001, 1630166]",1610612764.0,WAS,,,,,,,Above the Break 3,24+ Left Center,26.03,Made,Porzingis,K. Porzingis,,,,,,,,,,6.0,D. Avdija,1630166.0,1.0,,,,,
28,PT09M22.00S,2022-10-25T23:14:53.4Z,1,REGULAR,foul,technical,['1freethrow'],204001,,,1610612765,8,3,2022-10-25T23:15:18Z,280000,,,0,,K. Porzingis defensive-3-second technical FOUL (1 Tech),[204001],1610612764.0,WAS,defensive-3-second,,,,,,In The Paint (Non-RA),0-8 Center,,,Porzingis,K. Porzingis,,,,,202007.0,0.0,1.0,,,,,,,,,,,
29,PT09M22.00S,2022-10-25T23:15:18.9Z,1,REGULAR,freethrow,1 of 1,[],202711,,,1610612765,8,4,2022-10-25T23:15:18Z,290000,,,0,,B. Bogdanovic technical Free Throw 1 of 1 (1 PTS),[202711],1610612765.0,DET,technical,,,,,,,,,Made,Bogdanovic,B. Bogdanovic,,,,,,,,,,1.0,,,,,,,,
30,PT09M17.00S,2022-10-25T23:15:40.5Z,1,REGULAR,foul,personal,['2freethrow'],1628420,,,1610612765,8,4,2022-10-25T23:15:48Z,300000,,,0,,M. Morris shooting personal FOUL (1 PF) (Cunningham 2 FT),"[1628420, 1630595]",1610612764.0,WAS,shooting,,,,,,In The Paint (Non-RA),8-16 Center,,,Morris,M. Morris,,,,,202007.0,1.0,0.0,Cunningham,1630595.0,,,,,,,,,
32,PT09M17.00S,2022-10-25T23:16:09.4Z,1,REGULAR,freethrow,1 of 2,[],1630595,,,1610612765,8,5,2022-10-25T23:16:09Z,320000,,,0,,C. Cunningham Free Throw 1 of 2 (1 PTS),[1630595],1610612765.0,DET,,,,,,,,,,Made,Cunningham,C. Cunningham,,,,,,,,,,1.0,,,,,,,,
33,PT09M17.00S,2022-10-25T23:16:23.3Z,1,REGULAR,freethrow,2 of 2,[],1630595,,,1610612765,8,6,2022-10-25T23:16:23Z,330000,,,0,,C. Cunningham Free Throw 2 of 2 (2 PTS),[1630595],1610612765.0,DET,,,,,,,,,,Made,Cunningham,C. Cunningham,,,,,,,,,,2.0,,,,,,,,
34,PT08M59.00S,2022-10-25T23:16:43.6Z,1,REGULAR,3pt,Jump Shot,[],1628420,75.3777923784494,13.725490196078432,1610612764,8,6,2022-10-25T23:16:48Z,340000,-181.0,179.0,1,right,MISS M. Morris 25' 3PT,[1628420],1610612764.0,WAS,,,,,,,Above the Break 3,24+ Left Center,25.48,Missed,Morris,M. Morris,,,,,,,,,,,,,,,,,,
35,PT08M56.00S,2022-10-25T23:16:46.6Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,8,6,2022-10-25T23:16:48Z,350000,,,0,,C. Cunningham REBOUND (Off:0 Def:1),[1630595],1610612765.0,DET,,,,,,,Above the Break 3,24+ Left Center,,,Cunningham,C. Cunningham,34.0,1.0,1.0,0.0,,,,,,,,,,,,,,
36,PT08M46.00S,2022-10-25T23:16:56.8Z,1,REGULAR,3pt,Jump Shot,[],1630180,24.26084099868594,91.42156862745098,1610612765,8,9,2022-10-25T23:17:01Z,360000,-207.0,176.0,1,left,S. Bey 27' 3PT  (3 PTS) (B. Bogdanovic 1 AST),"[1630180, 202711]",1610612765.0,DET,,,,,,,Above the Break 3,24+ Left Center,27.15,Made,Bey,S. Bey,,,,,,,,,,3.0,B. Bogdanovic,202711.0,1.0,,,,,
38,PT08M28.00S,2022-10-25T23:17:14.3Z,1,REGULAR,turnover,bad pass,[],203078,,,1610612764,8,9,2022-10-25T23:17:18Z,380000,,,0,,B. Beal bad pass TURNOVER (1 TO),"[203078, 1631093]",1610612764.0,WAS,,,,,,,Mid-Range,16-24 Right Center,,,Beal,B. Beal,,,,,,,,,,,,,,1.0,Ivey,1631093.0,,
39,PT08M28.00S,2022-10-25T23:17:14.3Z,1,REGULAR,steal,,[],1631093,,,1610612765,8,9,2022-10-25T23:17:16Z,390000,,,0,,J. Ivey STEAL (1 STL),[1631093],1610612765.0,DET,,,,,,,Mid-Range,16-24 Right Center,,,Ivey,J. Ivey,,,,,,,,,,,,,,,,,,
40,PT08M22.00S,2022-10-25T23:17:23.9Z,1,REGULAR,foul,offensive,[],1630180,,,1610612765,8,9,2022-10-25T23:17:35Z,400000,,,0,,S. Bey charge offensive FOUL (1 PF),"[1630180, 203078]",1610612765.0,DET,charge,,,,,,In The Paint (Non-RA),0-8 Center,,,Bey,S. Bey,,,,,1627519.0,1.0,0.0,Beal,203078.0,,,,,,,,,
42,PT08M22.00S,2022-10-25T23:17:23.9Z,1,REGULAR,turnover,offensive foul,[],1630180,,,1610612765,8,9,2022-10-25T23:17:23Z,420000,,,0,,S. Bey offensive foul TURNOVER (1 TO),[1630180],1610612765.0,DET,,,,,,,In The Paint (Non-RA),0-8 Center,,,Bey,S. Bey,,,,,1627519.0,,,,,,,,,1.0,,,,
43,PT08M07.00S,2022-10-25T23:17:52.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203078,95.22010512483574,97.05882352941177,1610612764,8,9,2022-10-25T23:17:59Z,430000,235.0,-8.0,1,right,MISS B. Beal 3PT,[203078],1610612764.0,WAS,,,,,,,Right Corner 3,24+ Right,23.54,Missed,Beal,B. Beal,,,,,,,,,,,,,,,,,,
44,PT08M03.00S,2022-10-25T23:17:56.8Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,8,9,2022-10-25T23:17:59Z,440000,,,0,,I. Stewart REBOUND (Off:1 Def:2),[1630191],1610612765.0,DET,,,,,,,Right Corner 3,24+ Right,,,Stewart,I. Stewart,43.0,3.0,2.0,1.0,,,,,,,,,,,,,,
45,PT07M57.00S,2022-10-25T23:18:03.4Z,1,REGULAR,2pt,Jump Shot,[],1630595,7.5722733245729295,82.1078431372549,1610612765,8,9,2022-10-25T23:18:12Z,450000,-161.0,19.0,1,left,MISS C. Cunningham 16' pullup Shot,[1630595],1610612765.0,DET,pullup,,,,,,Mid-Range,16-24 Left,16.16,Missed,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,,,
46,PT07M54.00S,2022-10-25T23:18:06.4Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,8,9,2022-10-25T23:18:12Z,460000,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,,,,Mid-Range,16-24 Left,,,Kuzma,K. Kuzma,45.0,1.0,1.0,0.0,,,,,,,,,,,,,,
47,PT07M50.00S,2022-10-25T23:18:10.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1628398,86.5473061760841,64.4607843137255,1610612764,8,9,2022-10-25T23:18:19Z,470000,72.0,74.0,1,right,MISS K. Kuzma 10' floating Shot,[1628398],1610612764.0,WAS,floating,,,,,,In The Paint (Non-RA),8-16 Right,10.35,Missed,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,,
48,PT07M50.00S,2022-10-25T23:18:10.1Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,8,9,2022-10-25T23:18:19Z,480000,,,0,,I. Stewart REBOUND (Off:1 Def:3),[1630191],1610612765.0,DET,,,,,,,In The Paint (Non-RA),8-16 Right,,,Stewart,I. Stewart,47.0,4.0,3.0,1.0,,,,,,,,,,,,,,
49,PT07M40.00S,2022-10-25T23:18:19.7Z,1,REGULAR,3pt,Jump Shot,[],1630191,33.98488830486202,48.28431372549019,1610612765,8,9,2022-10-25T23:18:25Z,490000,9.0,267.0,1,left,MISS I. Stewart 26' 3PT,[1630191],1610612765.0,DET,,,,,,,Above the Break 3,24+ Center,26.71,Missed,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,
50,PT07M36.00S,2022-10-25T23:18:23.7Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612764,8,9,2022-10-25T23:18:25Z,500000,,,0,,D. Avdija REBOUND (Off:0 Def:1),[1630166],1610612764.0,WAS,,,,,,,Above the Break 3,24+ Center,,,Avdija,D. Avdija,49.0,1.0,1.0,0.0,,,,,,,,,,,,,,
51,PT07M26.00S,2022-10-25T23:18:34.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],204001,90.48948751642575,46.81372549019608,1610612764,8,9,2022-10-25T23:18:40Z,510000,-16.0,37.0,1,right,MISS K. Porzingis floating Shot,[204001],1610612764.0,WAS,floating,,,,,,Restricted Area,0-8 Center,4.02,Missed,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,
52,PT07M23.00S,2022-10-25T23:18:37.5Z,1,REGULAR,rebound,offensive,[],204001,,,1610612764,8,9,2022-10-25T23:18:40Z,520000,,,0,,K. Porzingis REBOUND (Off:1 Def:0),[204001],1610612764.0,WAS,,,,,,,Restricted Area,0-8 Center,,,Porzingis,K. Porzingis,51.0,1.0,0.0,1.0,,,,,,,,,,,,,,
53,PT07M23.00S,2022-10-25T23:18:37.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",204001,93.24901445466492,48.529411764705884,1610612764,10,9,2022-10-25T23:18:43Z,530000,-7.0,11.0,1,right,K. Porzingis Layup (8 PTS),[204001],1610612764.0,WAS,,,,,,,Restricted Area,0-8 Center,1.33,Made,Porzingis,K. Porzingis,,,,,,,,,,8.0,,,,,,,,
54,PT07M08.00S,2022-10-25T23:18:51.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630191,7.046649145860711,55.88235294117647,1610612765,10,11,2022-10-25T23:18:56Z,540000,-29.0,14.0,1,left,I. Stewart Layup (2 PTS) (J. Ivey 1 AST),"[1630191, 1631093]",1610612765.0,DET,,,,,,,Restricted Area,0-8 Center,3.24,Made,Stewart,I. Stewart,,,,,,,,,,2.0,J. Ivey,1631093.0,1.0,,,,,
56,PT06M52.00S,2022-10-25T23:19:10.5Z,1,REGULAR,foul,personal,['2freethrow'],1631093,,,1610612764,10,11,2022-10-25T23:19:25Z,560000,,,0,,J. Ivey shooting personal FOUL (1 PF) (Beal 2 FT),"[1631093, 203078]",1610612765.0,DET,shooting,,,,,,Restricted Area,0-8 Center,,,Ivey,J. Ivey,,,,,202007.0,1.0,0.0,Beal,203078.0,,,,,,,,,
58,PT06M52.00S,2022-10-25T23:19:29.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,10,11,2022-10-25T23:19:29Z,580000,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M52.00S,2022-10-25T23:19:55.9Z,1,REGULAR,substitution,out,[],1628398,,,1610612764,10,11,2022-10-25T23:21:57Z,590000,,,0,,SUB out: K. Kuzma,[1628398],1610612764.0,WAS,,,,,,,,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,,
60,PT06M52.00S,2022-10-25T23:19:55.9Z,1,REGULAR,substitution,in,[],1629060,,,1610612764,10,11,2022-10-25T23:21:57Z,600000,,,0,,SUB in: R. Hachimura,[1629060],1610612764.0,WAS,,,,,,,,,,,Hachimura,R. Hachimura,,,,,,,,,,,,,,,,,,
61,PT06M52.00S,2022-10-25T23:19:56.0Z,1,REGULAR,freethrow,1 of 2,[],203078,,,1610612764,11,11,2022-10-25T23:22:29Z,610000,,,0,,B. Beal Free Throw 1 of 2 (1 PTS),[203078],1610612764.0,WAS,,,,,,,,,,Made,Beal,B. Beal,,,,,,,,,,1.0,,,,,,,,
62,PT06M52.00S,2022-10-25T23:19:56.0Z,1,REGULAR,freethrow,2 of 2,[],203078,,,1610612764,12,11,2022-10-25T23:22:29Z,620000,,,0,,B. Beal Free Throw 2 of 2 (2 PTS),[203078],1610612764.0,WAS,,,,,,,,,,Made,Beal,B. Beal,,,,,,,,,,2.0,,,,,,,,
64,PT06M28.00S,2022-10-25T23:23:12.1Z,1,REGULAR,2pt,Jump Shot,[],1630595,7.835085413929041,66.17647058823529,1610612765,12,11,2022-10-25T23:23:18Z,640000,-81.0,21.0,1,left,MISS C. Cunningham 8' driving bank Shot,[1630595],1610612765.0,DET,driving bank,,,,,,Mid-Range,8-16 Left,8.36,Missed,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,,,
65,PT06M26.00S,2022-10-25T23:23:14.1Z,1,REGULAR,rebound,defensive,[],1629060,,,1610612764,12,11,2022-10-25T23:23:18Z,650000,,,0,,R. Hachimura REBOUND (Off:0 Def:1),[1629060],1610612764.0,WAS,,,,,,,Mid-Range,8-16 Left,,,Hachimura,R. Hachimura,64.0,1.0,1.0,0.0,,,,,,,,,,,,,,
66,PT06M14.00S,2022-10-25T23:23:27.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629060,90.75229960578186,51.71568627450981,1610612764,14,11,2022-10-25T23:23:33Z,660000,9.0,34.0,1,right,R. Hachimura driving Hook (2 PTS),[1629060],1610612764.0,WAS,driving,,,,,,Restricted Area,0-8 Center,3.55,Made,Hachimura,R. Hachimura,,,,,,,,,,2.0,,,,,,,,
67,PT06M04.00S,2022-10-25T23:23:37.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630191,8.492115637319317,40.44117647058824,1610612765,14,11,2022-10-25T23:23:41Z,670000,48.0,27.0,1,left,MISS I. Stewart alley-oop Layup,[1630191],1610612765.0,DET,alley-oop,,,,,,In The Paint (Non-RA),0-8 Center,5.5,Missed,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,
68,PT06M00.00S,2022-10-25T23:23:40.3Z,1,REGULAR,rebound,offensive,[],202711,,,1610612765,14,11,2022-10-25T23:23:40Z,680000,,,0,,B. Bogdanovic REBOUND (Off:1 Def:0),[202711],1610612765.0,DET,,,,,,,In The Paint (Non-RA),0-8 Center,,,Bogdanovic,B. Bogdanovic,67.0,1.0,0.0,1.0,,,,,,,,,,,,,,
69,PT05M59.00S,2022-10-25T23:23:41.4Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],202711,21.895532194480946,48.28431372549019,1610612765,14,13,2022-10-25T23:23:47Z,690000,9.0,153.0,1,left,B. Bogdanovic 15' floating Jump Shot (3 PTS),[202711],1610612765.0,DET,floating,,,,,,Mid-Range,8-16 Center,15.35,Made,Bogdanovic,B. Bogdanovic,,,,,,,,,,3.0,,,,,,,,
70,PT05M39.00S,2022-10-25T23:24:01.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],204001,92.59198423127464,46.32352941176471,1610612764,16,13,2022-10-25T23:25:52Z,700000,-18.0,17.0,1,right,K. Porzingis alley-oop DUNK (10 PTS) (B. Beal 2 AST),"[204001, 203078]",1610612764.0,WAS,alley-oop,,,,,,Restricted Area,0-8 Center,2.51,Made,Porzingis,K. Porzingis,,,,,,,,,,10.0,B. Beal,203078.0,2.0,,,,,
73,PT05M21.00S,2022-10-25T23:24:26.6Z,1,REGULAR,3pt,Jump Shot,[],202711,26.62614980289093,17.401960784313726,1610612765,16,16,2022-10-25T23:25:29Z,730000,163.0,198.0,1,left,B. Bogdanovic 25' 3PT pullup (6 PTS),[202711],1610612765.0,DET,pullup,,,,,,Above the Break 3,24+ Right Center,25.63,Made,Bogdanovic,B. Bogdanovic,,,,,,,,,,6.0,,,,,,,,
74,PT05M00.00S,2022-10-25T23:24:47.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628420,90.3580814717477,61.76470588235294,1610612764,18,16,2022-10-25T23:24:53Z,740000,59.0,38.0,1,right,M. Morris 7' driving Layup (2 PTS),[1628420],1610612764.0,WAS,driving,,,,,,In The Paint (Non-RA),0-8 Center,7.01,Made,Morris,M. Morris,,,,,,,,,,2.0,,,,,,,,
75,PT04M46.00S,2022-10-25T23:25:01.8Z,1,REGULAR,3pt,Jump Shot,[],202711,9.674770039421814,6.127450980392156,1610612765,18,19,2022-10-25T23:27:52Z,750000,219.0,38.0,1,left,B. Bogdanovic 3PT step back (9 PTS),[202711],1610612765.0,DET,step back,,,,,,Right Corner 3,24+ Right,22.27,Made,Bogdanovic,B. Bogdanovic,,,,,,,,,,9.0,,,,,,,,
76,PT04M24.00S,2022-10-25T23:25:22.4Z,1,REGULAR,3pt,Jump Shot,[],204001,67.36202365308804,46.568627450980394,1610612764,18,19,2022-10-25T23:25:26Z,760000,-17.0,254.0,1,right,MISS K. Porzingis 25' 3PT,[204001],1610612764.0,WAS,,,,,,,Above the Break 3,24+ Center,25.49,Missed,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,
77,PT04M23.00S,2022-10-25T23:25:23.4Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,18,19,2022-10-25T23:25:26Z,770000,,,0,,C. Cunningham REBOUND (Off:0 Def:2),[1630595],1610612765.0,DET,,,,,,,Above the Break 3,24+ Center,,,Cunningham,C. Cunningham,76.0,2.0,2.0,0.0,,,,,,,,,,,,,,
78,PT04M23.00S,2022-10-25T23:25:27.4Z,1,REGULAR,foul,personal,['1freethrow'],1630166,,,1610612765,18,19,2022-10-25T23:25:39Z,780000,,,0,,D. Avdija transition take personal FOUL (1 PF) (Cunningham 1 FT),"[1630166, 1630595]",1610612764.0,WAS,transition take,,,,,,Above the Break 3,24+ Center,,,Avdija,D. Avdija,,,,,202007.0,1.0,0.0,Cunningham,1630595.0,,,,,,,,,
80,PT04M23.00S,2022-10-25T23:25:51.1Z,1,REGULAR,freethrow,1 of 1,[],1630595,,,1610612765,18,19,2022-10-25T23:26:35Z,800000,,,0,,MISS C. Cunningham transition take Free Throw 1 of 1,[1630595],1610612765.0,DET,transition take,,,,,,,,,Missed,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,,,
87,PT04M23.00S,2022-10-25T23:25:51.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612765,18,19,2022-10-25T23:26:35Z,805000,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,
81,PT04M23.00S,2022-10-25T23:26:05.3Z,1,REGULAR,substitution,out,[],1630166,,,1610612765,18,19,2022-10-25T23:26:16Z,810000,,,0,,SUB out: D. Avdija,[1630166],1610612764.0,WAS,,,,,,,,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,
82,PT04M23.00S,2022-10-25T23:26:05.3Z,1,REGULAR,substitution,out,[],1628420,,,1610612765,18,19,2022-10-25T23:26:16Z,820000,,,0,,SUB out: M. Morris,[1628420],1610612764.0,WAS,,,,,,,,,,,Morris,M. Morris,,,,,,,,,,,,,,,,,,
83,PT04M23.00S,2022-10-25T23:26:05.3Z,1,REGULAR,substitution,in,[],1626153,,,1610612765,18,19,2022-10-25T23:26:16Z,830000,,,0,,SUB in: D. Wright,[1626153],1610612764.0,WAS,,,,,,,,,,,Wright,D. Wright,,,,,,,,,,,,,,,,,,
84,PT04M23.00S,2022-10-25T23:26:05.3Z,1,REGULAR,substitution,in,[],203115,,,1610612765,18,19,2022-10-25T23:26:16Z,840000,,,0,,SUB in: W. Barton,[203115],1610612764.0,WAS,,,,,,,,,,,Barton,W. Barton,,,,,,,,,,,,,,,,,,
85,PT04M17.00S,2022-10-25T23:26:20.9Z,1,REGULAR,foul,personal,[],203078,,,1610612765,18,19,2022-10-25T23:26:39Z,850000,,,0,,B. Beal personal FOUL (1 PF),"[203078, 1631093]",1610612764.0,WAS,,,,,,,Above the Break 3,24+ Right Center,,,Beal,B. Beal,,,,,204059.0,1.0,0.0,Ivey,1631093.0,,,,,,,,,
