actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
24,PT09M59.00S,2026-01-11T20:42:57.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641730,74.72076215505913,16.176470588235293,1610612751,4,5,2026-01-11T20:43:42Z,240000,False,-169.0,185.0,1,right,MISS N. Clowney 25' running 3PT,[1641730],1610612751.0,BKN,running,,,Clowney,N. Clowney,,,,,Above the Break 3,24+ Left Center,25.07,Missed,,,,,,,,,,,,,,,,,,
25,PT09M57.00S,2026-01-11T20:42:59.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612763,4,5,2026-01-11T20:43:04Z,250000,False,,,0,,TEAM defensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,Above the Break 3,24+ Left Center,,,24.0,,,,,,,,,,,,,,,,,
27,PT09M42.00S,2026-01-11T20:43:20.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642907,7.966491458607096,51.9607843137255,1610612763,6,5,2026-01-11T20:43:25Z,270000,False,-10.0,22.0,1,left,C. Coward cutting Layup (4 PTS) (C. Spencer 1 AST),"[1642907, 1642285]",1610612763.0,MEM,cutting,,,Coward,C. Coward,,,,,Restricted Area,0-8 Center,2.44,Made,,4.0,C. Spencer,1642285.0,1.0,,,,,,,,,,,,,
29,PT09M29.00S,2026-01-11T20:43:33.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629611,92.85479632063075,50.98039215686274,1610612751,6,7,2026-01-11T20:43:37Z,290000,False,5.0,15.0,1,right,T. Mann driving Layup (2 PTS),[1629611],1610612751.0,BKN,driving,,,Mann,T. Mann,,,,,Restricted Area,0-8 Center,1.55,Made,,2.0,,,,,,,,,,,,,,,,
30,PT09M21.00S,2026-01-11T20:43:40.8Z,1,REGULAR,3pt,Jump Shot,[],1629111,31.488173455978973,31.862745098039213,1610612763,9,7,2026-01-11T20:43:45Z,300000,False,91.0,243.0,1,left,J. Landale 25' 3PT  (5 PTS) (C. Spencer 2 AST),"[1629111, 1642285]",1610612763.0,MEM,,,,Landale,J. Landale,,,,,Above the Break 3,24+ Right Center,25.98,Made,,5.0,C. Spencer,1642285.0,2.0,,,,,,,,,,,,,
32,PT09M00.00S,2026-01-11T20:44:02.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641730,86.02168199737189,46.32352941176471,1610612751,9,7,2026-01-11T20:44:05Z,320000,False,-18.0,79.0,1,right,MISS N. Clowney 8' driving floating Shot,[1641730],1610612751.0,BKN,driving floating,,,Clowney,N. Clowney,,,,,In The Paint (Non-RA),8-16 Center,8.1,Missed,,,,,,,,,,,,,,,,,,
33,PT08M57.00S,2026-01-11T20:44:05.0Z,1,REGULAR,rebound,defensive,[],1642907,,,1610612763,9,7,2026-01-11T20:44:05Z,330000,False,,,0,,C. Coward REBOUND (Off:0 Def:1),[1642907],1610612763.0,MEM,,,,Coward,C. Coward,,,,,In The Paint (Non-RA),8-16 Center,,,32.0,,,,,1.0,1.0,0.0,,,,,,,,,,
35,PT08M52.00S,2026-01-11T20:44:26.2Z,1,REGULAR,turnover,offensive-kicked-ball,[],1642907,,,1610612763,9,7,2026-01-11T20:44:38Z,350000,False,,,0,,C. Coward offensive-kicked-ball TURNOVER (1 TO),[1642907],1610612763.0,MEM,,,,Coward,C. Coward,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,1.0,,,,,,,,,
36,PT08M41.00S,2026-01-11T20:44:40.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629651,93.11760840998686,52.450980392156865,1610612751,9,7,2026-01-11T20:44:44Z,360000,False,12.0,12.0,1,right,MISS N. Claxton driving finger roll Layup,[1629651],1610612751.0,BKN,driving finger roll,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,1.73,Missed,,,,,,,,,,,,,,,,,,
37,PT08M39.00S,2026-01-11T20:44:42.5Z,1,REGULAR,rebound,defensive,[],1629111,,,1610612763,9,7,2026-01-11T20:44:44Z,370000,False,,,0,,J. Landale REBOUND (Off:1 Def:1),[1629111],1610612763.0,MEM,,,,Landale,J. Landale,,,,,Restricted Area,0-8 Center,,,36.0,,,,,2.0,1.0,1.0,,,,,,,,,,
38,PT08M34.00S,2026-01-11T20:44:48.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1642907,24.26084099868594,13.480392156862745,1610612763,12,7,2026-01-11T20:44:53Z,380000,False,183.0,176.0,1,left,C. Coward 25' 3PT running (7 PTS) (C. Spencer 3 AST),"[1642907, 1642285]",1610612763.0,MEM,running,,,Coward,C. Coward,,,,,Above the Break 3,24+ Right Center,25.33,Made,,7.0,C. Spencer,1642285.0,3.0,,,,,,,,,,,,,
40,PT08M12.00S,2026-01-11T20:45:09.2Z,1,REGULAR,3pt,Jump Shot,[],1641730,92.59198423127464,3.1862745098039214,1610612751,12,7,2026-01-11T20:45:13Z,400000,False,-234.0,17.0,1,right,MISS N. Clowney 3PT,[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Left Corner 3,24+ Left,23.47,Missed,,,,,,,,,,,,,,,,,,
41,PT08M10.00S,2026-01-11T20:45:11.2Z,1,REGULAR,rebound,defensive,[],1642907,,,1610612763,12,7,2026-01-11T20:45:13Z,410000,False,,,0,,C. Coward REBOUND (Off:0 Def:2),[1642907],1610612763.0,MEM,,,,Coward,C. Coward,,,,,Left Corner 3,24+ Left,,,40.0,,,,,2.0,2.0,0.0,,,,,,,,,,
42,PT07M52.00S,2026-01-11T20:45:29.6Z,1,REGULAR,turnover,lost ball,[],1628991,,,1610612763,12,7,2026-01-11T20:45:33Z,420000,False,,,0,,J. Jackson Jr. lost ball TURNOVER (1 TO),"[1628991, 1642874]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,1.0,Wolf,1642874.0,,,,,,,
43,PT07M52.00S,2026-01-11T20:45:29.6Z,1,REGULAR,steal,,[],1642874,,,1610612751,12,7,2026-01-11T21:09:38Z,430000,False,,,0,,D. Wolf STEAL (1 STL),[1642874],1610612751.0,BKN,,,,Wolf,D. Wolf,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
44,PT07M49.00S,2026-01-11T20:45:35.6Z,1,REGULAR,foul,personal,['2freethrow'],1642907,,,1610612751,12,7,2026-01-11T20:46:14Z,440000,False,,,0,,C. Coward shooting personal FOUL (1 PF) (Wolf 2 FT),"[1642907, 1642874]",1610612763.0,MEM,shooting,,,Coward,C. Coward,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,1627963.0,1.0,0.0,Wolf,1642874.0,,
46,PT07M49.00S,2026-01-11T20:46:15.0Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1642874,,,1610612751,12,8,2026-01-11T20:46:40Z,460000,False,,,0,,D. Wolf Free Throw 1 of 2 (3 PTS),[1642874],1610612751.0,BKN,,,,Wolf,D. Wolf,,,,,,,,Made,,3.0,,,,,,,,,,,,,,,,
47,PT07M49.00S,2026-01-11T20:46:15.5Z,1,REGULAR,substitution,out,[],1628991,,,1610612751,12,8,2026-01-11T20:46:22Z,470000,False,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT07M49.00S,2026-01-11T20:46:15.5Z,1,REGULAR,substitution,in,[],1630583,,,1610612751,12,8,2026-01-11T20:46:22Z,480000,False,,,0,,SUB in: S. Aldama,[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT07M49.00S,2026-01-11T20:46:15.0Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1642874,,,1610612751,12,8,2026-01-11T20:46:40Z,490000,False,,,0,,MISS D. Wolf Free Throw 2 of 2,[1642874],1610612751.0,BKN,,,,Wolf,D. Wolf,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
50,PT07M47.00S,2026-01-11T20:46:17.0Z,1,REGULAR,rebound,defensive,[],1629111,,,1610612763,12,8,2026-01-11T20:46:40Z,500000,False,,,0,,J. Landale REBOUND (Off:1 Def:2),[1629111],1610612763.0,MEM,,,,Landale,J. Landale,,,,,,,,,49.0,,,,,3.0,2.0,1.0,,,,,,,,,,
51,PT07M31.00S,2026-01-11T20:46:54.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629111,10.200394218134035,55.14705882352941,1610612763,14,8,2026-01-11T20:47:00Z,510000,False,-26.0,43.0,1,left,J. Landale turnaround bank Hook (7 PTS) (C. Spencer 4 AST),"[1629111, 1642285]",1610612763.0,MEM,turnaround bank,,,Landale,J. Landale,,,,,In The Paint (Non-RA),0-8 Center,5.04,Made,,7.0,C. Spencer,1642285.0,4.0,,,,,,,,,,,,,
53,PT07M15.00S,2026-01-11T20:47:10.5Z,1,REGULAR,turnover,bad pass,[],1629611,,,1610612751,14,8,2026-01-11T20:47:15Z,530000,False,,,0,,T. Mann bad pass TURNOVER (1 TO),"[1629611, 1629111]",1610612751.0,BKN,,,,Mann,T. Mann,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,Landale,1629111.0,,,,,,,
54,PT07M15.00S,2026-01-11T20:47:10.5Z,1,REGULAR,steal,,[],1629111,,,1610612763,14,8,2026-01-11T20:57:04Z,540000,False,,,0,,J. Landale STEAL (1 STL),[1629111],1610612763.0,MEM,,,,Landale,J. Landale,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
55,PT07M06.00S,2026-01-11T20:47:20.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1642377,3.630091984231275,2.2058823529411766,1610612763,14,8,2026-01-11T20:47:23Z,550000,False,239.0,-18.0,1,left,MISS J. Wells 3PT,[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,Right Corner 3,24+ Right,23.97,Missed,,,,,,,,,,,,,,,,,,
56,PT07M03.00S,2026-01-11T20:47:23.1Z,1,REGULAR,rebound,defensive,[],1642874,,,1610612751,14,8,2026-01-11T20:47:23Z,560000,False,,,0,,D. Wolf REBOUND (Off:0 Def:1),[1642874],1610612751.0,BKN,,,,Wolf,D. Wolf,,,,,Right Corner 3,24+ Right,,,55.0,,,,,1.0,1.0,0.0,,,,,,,,,,
57,PT06M49.00S,2026-01-11T20:47:36.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642874,90.48948751642575,55.392156862745104,1610612751,14,8,2026-01-11T20:47:42Z,570000,False,27.0,37.0,1,right,MISS D. Wolf driving finger roll Layup,[1642874],1610612751.0,BKN,driving finger roll,,,Wolf,D. Wolf,,,,,In The Paint (Non-RA),0-8 Center,4.57,Missed,,,,,,,,,,,,,,,,,,
58,PT06M46.00S,2026-01-11T20:47:39.4Z,1,REGULAR,rebound,defensive,[],1642907,,,1610612763,14,8,2026-01-11T20:47:42Z,580000,False,,,0,,C. Coward REBOUND (Off:0 Def:3),[1642907],1610612763.0,MEM,,,,Coward,C. Coward,,,,,In The Paint (Non-RA),0-8 Center,,,57.0,,,,,3.0,3.0,0.0,,,,,,,,,,
59,PT06M43.00S,2026-01-11T20:47:43.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1642285,29.6484888304862,27.696078431372552,1610612763,14,8,2026-01-11T20:47:47Z,590000,False,112.0,226.0,1,left,MISS C. Spencer 25' running pullup 3PT,[1642285],1610612763.0,MEM,running pullup,,,Spencer,C. Spencer,,,,,Above the Break 3,24+ Right Center,25.22,Missed,,,,,,,,,,,,,,,,,,
60,PT06M39.00S,2026-01-11T20:47:47.3Z,1,REGULAR,rebound,defensive,[],1629611,,,1610612751,14,8,2026-01-11T20:47:47Z,600000,False,,,0,,T. Mann REBOUND (Off:0 Def:1),[1629611],1610612751.0,BKN,,,,Mann,T. Mann,,,,,Above the Break 3,24+ Right Center,,,59.0,,,,,1.0,1.0,0.0,,,,,,,,,,
61,PT06M31.00S,2026-01-11T20:47:54.7Z,1,REGULAR,3pt,Jump Shot,[],1642856,83.13074901445466,94.36274509803921,1610612751,14,8,2026-01-11T20:47:59Z,610000,False,222.0,106.0,1,right,MISS E. Dëmin 24' 3PT,[1642856],1610612751.0,BKN,,,,Dëmin,E. Dëmin,,,,,Above the Break 3,24+ Right Center,24.59,Missed,,,,,,,,,,,,,,,,,,
62,PT06M28.00S,2026-01-11T20:47:57.7Z,1,REGULAR,rebound,defensive,[],1642285,,,1610612763,14,8,2026-01-11T20:47:59Z,620000,False,,,0,,C. Spencer REBOUND (Off:0 Def:1),[1642285],1610612763.0,MEM,,,,Spencer,C. Spencer,,,,,Above the Break 3,24+ Right Center,,,61.0,,,,,1.0,1.0,0.0,,,,,,,,,,
63,PT06M23.00S,2026-01-11T20:48:03.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1642907,27.151773981603156,76.9607843137255,1610612763,17,8,2026-01-11T20:48:10Z,630000,False,-135.0,203.0,1,left,C. Coward 24' 3PT running pullup (10 PTS) (C. Spencer 5 AST),"[1642907, 1642285]",1610612763.0,MEM,running pullup,,,Coward,C. Coward,,,,,Above the Break 3,24+ Left Center,24.34,Made,,10.0,C. Spencer,1642285.0,5.0,,,,,,,,,,,,,
65,PT06M03.00S,2026-01-11T20:48:22.7Z,1,REGULAR,3pt,Jump Shot,[],1641730,67.7562417871222,37.00980392156863,1610612751,17,11,2026-01-11T20:48:28Z,650000,False,-65.0,251.0,1,right,N. Clowney 25' 3PT  (6 PTS) (N. Claxton 3 AST),"[1641730, 1629651]",1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Above the Break 3,24+ Center,25.89,Made,,6.0,N. Claxton,1629651.0,3.0,,,,,,,,,,,,,
67,PT05M49.00S,2026-01-11T20:48:36.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630583,10.200394218134035,45.34313725490196,1610612763,19,11,2026-01-11T20:48:45Z,670000,False,23.0,43.0,1,left,S. Aldama Layup (2 PTS) (C. Coward 1 AST),"[1630583, 1642907]",1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,In The Paint (Non-RA),0-8 Center,4.93,Made,,2.0,C. Coward,1642907.0,1.0,,,,,,,,,,,,,
69,PT05M38.00S,2026-01-11T20:48:47.8Z,1,REGULAR,3pt,Jump Shot,[],1629611,66.3107752956636,43.872549019607845,1610612751,19,11,2026-01-11T20:48:51Z,690000,False,-31.0,264.0,1,right,MISS T. Mann 26' pullup 3PT,[1629611],1610612751.0,BKN,pullup,,,Mann,T. Mann,,,,,Above the Break 3,24+ Center,26.6,Missed,,,,,,,,,,,,,,,,,,
70,PT05M35.00S,2026-01-11T20:48:50.8Z,1,REGULAR,rebound,defensive,[],1642377,,,1610612763,19,11,2026-01-11T20:48:51Z,700000,False,,,0,,J. Wells REBOUND (Off:0 Def:1),[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,Above the Break 3,24+ Center,,,69.0,,,,,1.0,1.0,0.0,,,,,,,,,,
71,PT05M29.00S,2026-01-11T20:48:56.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1642907,30.831143232588698,38.48039215686275,1610612763,22,11,2026-01-11T20:49:01Z,710000,False,58.0,237.0,1,left,C. Coward 24' 3PT running (13 PTS) (J. Wells 1 AST),"[1642907, 1642377]",1610612763.0,MEM,running,,,Coward,C. Coward,,,,,Above the Break 3,24+ Center,24.42,Made,,13.0,J. Wells,1642377.0,1.0,,,,,,,,,,,,,
73,PT05M27.00S,2026-01-11T20:49:01.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,22,11,2026-01-11T20:49:01Z,730000,False,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M27.00S,2026-01-11T20:51:04.3Z,1,REGULAR,substitution,out,[],1642377,,,1610612751,22,11,2026-01-11T20:51:51Z,740000,False,,,0,,SUB out: J. Wells,[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M27.00S,2026-01-11T20:51:04.3Z,1,REGULAR,substitution,out,[],1642907,,,1610612751,22,11,2026-01-11T20:51:51Z,750000,False,,,0,,SUB out: C. Coward,[1642907],1610612763.0,MEM,,,,Coward,C. Coward,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M27.00S,2026-01-11T20:51:04.3Z,1,REGULAR,substitution,out,[],1642285,,,1610612751,22,11,2026-01-11T20:51:51Z,760000,False,,,0,,SUB out: C. Spencer,[1642285],1610612763.0,MEM,,,,Spencer,C. Spencer,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M27.00S,2026-01-11T20:51:04.3Z,1,REGULAR,substitution,out,[],1629111,,,1610612751,22,11,2026-01-11T20:51:51Z,770000,False,,,0,,SUB out: J. Landale,[1629111],1610612763.0,MEM,,,,Landale,J. Landale,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M27.00S,2026-01-11T20:51:04.3Z,1,REGULAR,substitution,out,[],1642874,,,1610612751,22,11,2026-01-11T20:51:51Z,780000,False,,,0,,SUB out: D. Wolf,[1642874],1610612751.0,BKN,,,,Wolf,D. Wolf,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M27.00S,2026-01-11T20:51:04.3Z,1,REGULAR,substitution,in,[],203484,,,1610612751,22,11,2026-01-11T20:51:51Z,790000,False,,,0,,SUB in: K. Caldwell-Pope,[203484],1610612763.0,MEM,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M27.00S,2026-01-11T20:51:04.3Z,1,REGULAR,substitution,in,[],1628991,,,1610612751,22,11,2026-01-11T20:51:51Z,800000,False,,,0,,SUB in: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M27.00S,2026-01-11T20:51:04.3Z,1,REGULAR,substitution,in,[],1631246,,,1610612751,22,11,2026-01-11T20:51:51Z,810000,False,,,0,,SUB in: V. Williams Jr.,[1631246],1610612763.0,MEM,,,,Williams Jr.,V. Williams Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M27.00S,2026-01-11T20:51:04.3Z,1,REGULAR,substitution,in,[],1631132,,,1610612751,22,11,2026-01-11T20:51:51Z,820000,False,,,0,,SUB in: C. Koloko,[1631132],1610612763.0,MEM,,,,Koloko,C. Koloko,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M27.00S,2026-01-11T20:51:04.3Z,1,REGULAR,substitution,in,[],1630560,,,1610612751,22,11,2026-01-11T20:51:51Z,830000,False,,,0,,SUB in: C. Thomas,[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M04.00S,2026-01-11T20:52:25.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629611,81.553876478318,42.8921568627451,1610612751,22,11,2026-01-11T20:52:31Z,840000,False,-36.0,121.0,1,right,MISS T. Mann 12' fadeaway Shot,[1629611],1610612751.0,BKN,fadeaway,,,Mann,T. Mann,,,,,In The Paint (Non-RA),8-16 Center,12.6,Missed,,,,,,,,,,,,,,,,,,
