actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
15,PT11M12.00S,2025-12-21T01:12:23.9Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1642259,94.40999984741211,50.0,1610612764,0,4,2025-12-21T01:17:00Z,150000,False,0.0,0.0,1,right,A. Sarr tip Layup (2 PTS),[1642259],1610612764.0,WAS,tip,,,Sarr,A. Sarr,,,,,Restricted Area,0-8 Center,0.0,Made,2.0,,,,,,,,,,,,,,,,,
16,PT10M57.00S,2025-12-21T01:12:33.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628991,15.193823915900131,37.00980392156863,1610612763,0,4,2025-12-21T01:12:36Z,160000,False,65.0,90.0,1,left,MISS J. Jackson Jr. 11' turnaround Hook,[1628991],1610612763.0,MEM,turnaround,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),8-16 Right,11.13,Missed,,,,,,,,,,,,,,,,,,
17,PT10M54.00S,2025-12-21T01:12:36.4Z,1,REGULAR,rebound,offensive,[],1629634,,,1610612763,0,4,2025-12-21T01:12:36Z,170000,False,,,0,,B. Clarke REBOUND (Off:1 Def:0),[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,In The Paint (Non-RA),8-16 Right,,,,,,16.0,1.0,0.0,1.0,,,,,,,,,,,
18,PT10M54.00S,2025-12-21T01:12:36.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629634,5.590000152587891,50.0,1610612763,2,4,2025-12-21T01:12:36Z,180000,False,0.0,0.0,1,left,B. Clarke tip Layup (2 PTS),[1629634],1610612763.0,MEM,tip,,,Clarke,B. Clarke,,,,,Mid-Range,8-16 Left,0.0,Made,2.0,,,,,,,,,,,,,,,,,
19,PT10M43.00S,2025-12-21T01:12:47.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203114,79.71419185282524,57.84313725490197,1610612764,2,4,2025-12-21T01:12:50Z,190000,False,39.0,138.0,1,right,MISS K. Middleton 14' pullup Shot,[203114],1610612764.0,WAS,pullup,,,Middleton,K. Middleton,,,,,In The Paint (Non-RA),8-16 Center,14.37,Missed,,,,,,,,,,,,,,,,,,
20,PT10M40.00S,2025-12-21T01:12:50.7Z,1,REGULAR,rebound,defensive,[],1642285,,,1610612763,2,4,2025-12-21T01:12:50Z,200000,False,,,0,,C. Spencer REBOUND (Off:0 Def:1),[1642285],1610612763.0,MEM,,,,Spencer,C. Spencer,,,,,In The Paint (Non-RA),8-16 Center,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,
21,PT10M31.00S,2025-12-21T01:13:02.3Z,1,REGULAR,turnover,out-of-bounds,[],1642377,,,1610612763,2,4,2025-12-21T01:13:06Z,210000,False,,,0,,J. Wells bad pass out-of-bounds TURNOVER (1 TO),[1642377],1610612763.0,MEM,bad pass,,,Wells,J. Wells,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,1151.0,1.0,,,,,,,,,
22,PT10M17.00S,2025-12-21T01:13:20.6Z,1,REGULAR,turnover,bad pass,[],1642273,,,1610612764,2,4,2025-12-21T01:27:11Z,220000,False,,,0,,K. George bad pass TURNOVER (1 TO),"[1642273, 1629634]",1610612764.0,WAS,,,,George,K. George,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,1.0,Clarke,1629634.0,,,,,,,
23,PT10M17.00S,2025-12-21T01:13:20.6Z,1,REGULAR,steal,,[],1629634,,,1610612763,2,4,2025-12-21T01:13:23Z,230000,False,,,0,,B. Clarke STEAL (1 STL),[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
24,PT10M13.00S,2025-12-21T01:13:25.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629634,6.258212877792378,50.73529411764706,1610612763,2,4,2025-12-21T01:19:45Z,240000,False,-4.0,6.0,1,left,MISS B. Clarke running reverse Layup,[1629634],1610612763.0,MEM,running reverse,,,Clarke,B. Clarke,,,,,Restricted Area,0-8 Center,0.73,Missed,,,,,,,,,,,,,,,,,,
25,PT10M12.00S,2025-12-21T01:13:26.5Z,1,REGULAR,rebound,defensive,[],1642273,,,1610612764,2,4,2025-12-21T01:19:45Z,250000,False,,,0,,K. George REBOUND (Off:0 Def:1),[1642273],1610612764.0,WAS,,,,George,K. George,,,,,Restricted Area,0-8 Center,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,
26,PT10M05.00S,2025-12-21T01:13:31.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203114,74.72076215505913,14.950980392156863,1610612764,2,4,2025-12-21T01:29:16Z,260000,False,-175.0,185.0,1,right,MISS K. Middleton 25' running 3PT,[203114],1610612764.0,WAS,running,,,Middleton,K. Middleton,,,,,Above the Break 3,24+ Left Center,25.49,Missed,,,,,,,,,,,,,,,,,,
27,PT10M01.00S,2025-12-21T01:13:35.6Z,1,REGULAR,rebound,defensive,[],1642377,,,1610612763,2,4,2025-12-21T01:13:35Z,270000,False,,,0,,J. Wells REBOUND (Off:0 Def:1),[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,Above the Break 3,24+ Left Center,,,,,,26.0,1.0,1.0,0.0,,,,,,,,,,,
28,PT09M52.00S,2025-12-21T01:13:44.8Z,1,REGULAR,3pt,Jump Shot,[],1642285,25.443495400788436,80.88235294117648,1610612763,5,4,2025-12-21T01:13:48Z,280000,False,-154.0,187.0,1,left,C. Spencer 24' 3PT pullup (3 PTS) (J. Wells 1 AST),"[1642285, 1642377]",1610612763.0,MEM,pullup,,,Spencer,C. Spencer,,,,,Above the Break 3,24+ Left Center,24.23,Made,3.0,,,,,,,,,,,J. Wells,1642377.0,1.0,,,,
30,PT09M41.00S,2025-12-21T01:13:55.6Z,1,REGULAR,3pt,Jump Shot,[],1642273,72.35545335085413,18.627450980392158,1610612764,5,4,2025-12-21T01:30:36Z,300000,False,-157.0,207.0,1,right,MISS K. George 26' step back 3PT,[1642273],1610612764.0,WAS,step back,,,George,K. George,,,,,Above the Break 3,24+ Left Center,26.01,Missed,,,,,,,,,,,,,,,,,,
31,PT09M38.00S,2025-12-21T01:13:58.6Z,1,REGULAR,rebound,defensive,[],1629634,,,1610612763,5,4,2025-12-21T01:13:58Z,310000,False,,,0,,B. Clarke REBOUND (Off:1 Def:1),[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,Above the Break 3,24+ Left Center,,,,,,30.0,2.0,1.0,1.0,,,,,,,,,,,
32,PT09M26.00S,2025-12-21T01:14:11.3Z,1,REGULAR,3pt,Jump Shot,[],1642377,32.933639947437584,32.84313725490196,1610612763,5,4,2025-12-21T01:14:15Z,320000,False,86.0,257.0,1,left,MISS J. Wells 27' 3PT,[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,Above the Break 3,24+ Right Center,27.1,Missed,,,,,,,,,,,,,,,,,,
33,PT09M22.00S,2025-12-21T01:14:15.3Z,1,REGULAR,rebound,defensive,[],1642259,,,1610612764,5,4,2025-12-21T01:14:15Z,330000,False,,,0,,A. Sarr REBOUND (Off:2 Def:1),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Above the Break 3,24+ Right Center,,,,,,32.0,3.0,1.0,2.0,,,,,,,,,,,
34,PT09M06.00S,2025-12-21T01:14:31.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642259,88.12417871222075,51.225490196078425,1610612764,5,4,2025-12-21T01:14:38Z,340000,False,6.0,59.0,1,right,MISS A. Sarr Layup,[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,In The Paint (Non-RA),0-8 Center,5.94,Missed,,,,,,,,,,,,,,,,,,
35,PT09M04.00S,2025-12-21T01:14:33.0Z,1,REGULAR,rebound,defensive,[],1629634,,,1610612763,5,4,2025-12-21T01:14:34Z,350000,False,,,0,,B. Clarke REBOUND (Off:1 Def:2),[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,In The Paint (Non-RA),0-8 Center,,,,,,34.0,3.0,2.0,1.0,,,,,,,,,,,
36,PT08M50.00S,2025-12-21T01:14:46.7Z,1,REGULAR,3pt,Jump Shot,[],1642285,31.225361366622867,63.970588235294116,1610612763,5,4,2025-12-21T01:14:50Z,360000,False,-70.0,241.0,1,left,MISS C. Spencer 25' pullup 3PT,[1642285],1610612763.0,MEM,pullup,,,Spencer,C. Spencer,,,,,Above the Break 3,24+ Center,25.09,Missed,,,,,,,,,,,,,,,,,,
37,PT08M47.00S,2025-12-21T01:14:49.7Z,1,REGULAR,rebound,defensive,[],1642267,,,1610612764,5,4,2025-12-21T01:14:50Z,370000,False,,,0,,B. Carrington REBOUND (Off:0 Def:2),[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,Above the Break 3,24+ Center,,,,,,36.0,2.0,2.0,0.0,,,,,,,,,,,
38,PT08M40.00S,2025-12-21T01:14:57.0Z,1,REGULAR,3pt,Jump Shot,[],203114,81.02825229960578,5.392156862745098,1610612764,5,4,2025-12-21T01:15:00Z,380000,False,-223.0,126.0,1,right,MISS K. Middleton 25' 3PT,[203114],1610612764.0,WAS,,,,Middleton,K. Middleton,,,,,Above the Break 3,24+ Left Center,25.6,Missed,,,,,,,,,,,,,,,,,,
39,PT08M36.00S,2025-12-21T01:15:01.0Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,5,4,2025-12-21T01:16:18Z,390000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,38.0,1.0,1.0,0.0,,,,,,,,,,,
40,PT08M34.00S,2025-12-21T01:15:03.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1642377,5.863994743758213,50.49019607843137,1610612763,7,4,2025-12-21T01:15:07Z,400000,False,-2.0,3.0,1,left,J. Wells running DUNK (2 PTS) (C. Spencer 1 AST),"[1642377, 1642285]",1610612763.0,MEM,running,,,Wells,J. Wells,,,,,Restricted Area,0-8 Center,0.36,Made,2.0,,,,,,,,,,,C. Spencer,1642285.0,1.0,,,,
42,PT08M34.00S,2025-12-21T01:15:07.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,7,4,2025-12-21T01:15:07Z,420000,False,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT08M18.00S,2025-12-21T01:18:11.9Z,1,REGULAR,3pt,Jump Shot,[],203468,88.64980289093299,96.07843137254902,1610612764,7,7,2025-12-21T01:18:15Z,430000,False,230.0,54.0,1,right,C. McCollum 3PT  (3 PTS) (K. George 1 AST),"[203468, 1642273]",1610612764.0,WAS,,,,McCollum,C. McCollum,,,,,Right Corner 3,24+ Right,23.67,Made,3.0,,,,,,,,,,,K. George,1642273.0,1.0,,,,
45,PT08M08.00S,2025-12-21T01:18:23.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628991,5.601182654402102,52.69607843137255,1610612763,9,7,2025-12-21T01:18:27Z,450000,False,-13.0,0.0,1,left,J. Jackson Jr. driving finger roll Layup (2 PTS),[1628991],1610612763.0,MEM,driving finger roll,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,1.35,Made,2.0,,,,,,,,,,,,,,,,,
46,PT08M08.00S,2025-12-21T01:18:26.2Z,1,REGULAR,foul,personal,['1freethrow'],1642273,,,1610612763,9,7,2025-12-21T01:18:48Z,460000,False,,,0,,K. George shooting personal FOUL (1 PF) (Jackson Jr. 1 FT),"[1642273, 1628991]",1610612764.0,WAS,shooting,,,George,K. George,,,,,Restricted Area,0-8 Center,,,,,,,,,,1628159.0,,,,,,,1.0,0.0,Jackson Jr.,1628991.0
48,PT08M08.00S,2025-12-21T01:18:36.5Z,1,REGULAR,substitution,out,[],1629634,,,1610612763,9,7,2025-12-21T01:19:12Z,480000,False,,,0,,SUB out: B. Clarke,[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT08M08.00S,2025-12-21T01:18:36.5Z,1,REGULAR,substitution,out,[],1642907,,,1610612763,9,7,2025-12-21T01:19:12Z,490000,False,,,0,,SUB out: C. Coward,[1642907],1610612763.0,MEM,,,,Coward,C. Coward,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT08M08.00S,2025-12-21T01:18:36.5Z,1,REGULAR,substitution,in,[],1629111,,,1610612763,9,7,2025-12-21T01:19:12Z,500000,False,,,0,,SUB in: J. Landale,[1629111],1610612763.0,MEM,,,,Landale,J. Landale,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT08M08.00S,2025-12-21T01:18:36.5Z,1,REGULAR,substitution,in,[],203484,,,1610612763,9,7,2025-12-21T01:19:12Z,510000,False,,,0,,SUB in: K. Caldwell-Pope,[203484],1610612763.0,MEM,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT08M08.00S,2025-12-21T01:18:56.8Z,1,REGULAR,freethrow,1 of 1,[],1628991,,,1610612763,10,7,2025-12-21T01:18:56Z,520000,False,,,0,,J. Jackson Jr. Free Throw 1 of 1 (3 PTS),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
53,PT07M56.00S,2025-12-21T01:19:09.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1642267,89.43823915900131,53.67647058823529,1610612764,10,7,2025-12-21T01:19:14Z,530000,False,18.0,47.0,1,right,MISS B. Carrington driving Hook,[1642267],1610612764.0,WAS,driving,,,Carrington,B. Carrington,,,,,In The Paint (Non-RA),0-8 Center,5.03,Missed,,,,,,,,,,,,,,,,,,
54,PT07M53.00S,2025-12-21T01:19:12.4Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,10,7,2025-12-21T01:19:14Z,540000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:2),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,53.0,2.0,2.0,0.0,,,,,,,,,,,
55,PT07M41.00S,2025-12-21T01:19:25.7Z,1,REGULAR,turnover,out-of-bounds,[],1628991,,,1610612763,10,7,2025-12-21T01:19:30Z,550000,False,,,0,,J. Jackson Jr. bad pass out-of-bounds TURNOVER (1 TO),[1628991],1610612763.0,MEM,bad pass,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,1151.0,1.0,,,,,,,,,
56,PT07M41.00S,2025-12-21T01:19:27.9Z,1,REGULAR,substitution,out,[],1628991,,,1610612764,10,7,2025-12-21T01:19:31Z,560000,False,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M41.00S,2025-12-21T01:19:27.9Z,1,REGULAR,substitution,in,[],1630583,,,1610612764,10,7,2025-12-21T01:19:31Z,570000,False,,,0,,SUB in: S. Aldama,[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M19.00S,2025-12-21T01:19:58.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1642259,84.57621550591328,42.8921568627451,1610612764,10,9,2025-12-21T01:20:02Z,580000,False,-36.0,92.0,1,right,A. Sarr 9' driving floating Jump Shot (4 PTS) (B. Carrington 1 AST),"[1642259, 1642267]",1610612764.0,WAS,driving floating,,,Sarr,A. Sarr,,,,,In The Paint (Non-RA),8-16 Center,9.91,Made,4.0,,,,,,,,,,,B. Carrington,1642267.0,1.0,,,,
60,PT07M04.00S,2025-12-21T01:20:13.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629111,12.302890932982917,42.40196078431372,1610612763,10,9,2025-12-21T01:20:16Z,600000,False,38.0,63.0,1,left,MISS J. Landale 7' turnaround Hook,[1629111],1610612763.0,MEM,turnaround,,,Landale,J. Landale,,,,,In The Paint (Non-RA),0-8 Center,7.37,Missed,,,,,,,,,,,,,,,,,,
61,PT07M02.00S,2025-12-21T01:20:15.4Z,1,REGULAR,rebound,defensive,[],1642259,,,1610612764,10,9,2025-12-21T01:20:16Z,610000,False,,,0,,A. Sarr REBOUND (Off:2 Def:2),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,In The Paint (Non-RA),0-8 Center,,,,,,60.0,4.0,2.0,2.0,,,,,,,,,,,
62,PT06M58.00S,2025-12-21T01:20:21.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak', 'defensivegoaltending']",1642273,93.24901445466492,45.34313725490196,1610612764,10,11,2025-12-21T01:20:36Z,620000,False,-23.0,11.0,1,right,K. George running Layup (2 PTS) (K. Middleton 1 AST),"[1642273, 203114]",1610612764.0,WAS,running,,,George,K. George,,,,,Restricted Area,0-8 Center,2.58,Made,2.0,,,,,,,,,,,K. Middleton,203114.0,1.0,,,,
64,PT06M58.00S,2025-12-21T01:20:28.4Z,1,REGULAR,violation,defensive goaltending,[],1629111,,,1610612764,10,11,2025-12-21T01:22:14Z,640000,False,,,0,,J. Landale defensive goaltending VIOLATION,[1629111],1610612763.0,MEM,,,,Landale,J. Landale,,,,,,,,,,,,,,,,1628159.0,,,,,,,,,,
65,PT06M39.00S,2025-12-21T01:20:51.2Z,1,REGULAR,3pt,Jump Shot,[],1642377,10.33180026281209,95.34313725490196,1610612763,10,11,2025-12-21T01:20:55Z,650000,False,-227.0,45.0,1,left,MISS J. Wells step back 3PT,[1642377],1610612763.0,MEM,step back,,,Wells,J. Wells,,,,,Left Corner 3,24+ Left,23.1,Missed,,,,,,,,,,,,,,,,,,
66,PT06M35.00S,2025-12-21T01:20:55.2Z,1,REGULAR,rebound,offensive,[],1630583,,,1610612763,10,11,2025-12-21T01:20:55Z,660000,False,,,0,,S. Aldama REBOUND (Off:1 Def:0),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Left Corner 3,24+ Left,,,,,,65.0,1.0,0.0,1.0,,,,,,,,,,,
67,PT06M33.00S,2025-12-21T01:20:57.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630583,4.28712220762155,3.6764705882352944,1610612763,13,11,2025-12-21T01:21:37Z,670000,False,232.0,-12.0,1,left,S. Aldama 3PT  (3 PTS) (K. Caldwell-Pope 1 AST),"[1630583, 203484]",1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Right Corner 3,24+ Right,23.19,Made,3.0,,,,,,,,,,,K. Caldwell-Pope,203484.0,1.0,,,,
69,PT06M08.00S,2025-12-21T01:21:22.0Z,1,REGULAR,3pt,Jump Shot,[],1642259,67.88764783180025,39.705882352941174,1610612764,13,11,2025-12-21T01:21:26Z,690000,False,-51.0,249.0,1,right,MISS A. Sarr 25' 3PT,[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Above the Break 3,24+ Center,25.47,Missed,,,,,,,,,,,,,,,,,,
70,PT06M05.00S,2025-12-21T01:21:25.0Z,1,REGULAR,rebound,defensive,[],1630583,,,1610612763,13,11,2025-12-21T01:21:26Z,700000,False,,,0,,S. Aldama REBOUND (Off:1 Def:1),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Above the Break 3,24+ Center,,,,,,69.0,2.0,1.0,1.0,,,,,,,,,,,
71,PT05M58.00S,2025-12-21T01:21:32.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642377,7.046649145860711,52.94117647058824,1610612763,13,11,2025-12-21T01:21:35Z,710000,False,-15.0,14.0,1,left,MISS J. Wells driving floating Shot,[1642377],1610612763.0,MEM,driving floating,,,Wells,J. Wells,,,,,Restricted Area,0-8 Center,2.01,Missed,,,,,,,,,,,,,,,,,,
72,PT05M56.00S,2025-12-21T01:21:34.3Z,1,REGULAR,rebound,defensive,[],203468,,,1610612764,13,11,2025-12-21T01:21:35Z,720000,False,,,0,,C. McCollum REBOUND (Off:0 Def:1),[203468],1610612764.0,WAS,,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,,,,,,71.0,1.0,1.0,0.0,,,,,,,,,,,
73,PT05M52.00S,2025-12-21T01:21:38.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203468,79.84559789750328,8.088235294117647,1610612764,13,11,2025-12-21T01:21:43Z,730000,False,-210.0,137.0,1,right,MISS C. McCollum 25' running pullup 3PT,[203468],1610612764.0,WAS,running pullup,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Left Center,25.04,Missed,,,,,,,,,,,,,,,,,,
74,PT05M48.00S,2025-12-21T01:21:42.5Z,1,REGULAR,rebound,defensive,[],1629111,,,1610612763,13,11,2025-12-21T01:21:43Z,740000,False,,,0,,J. Landale REBOUND (Off:0 Def:1),[1629111],1610612763.0,MEM,,,,Landale,J. Landale,,,,,Above the Break 3,24+ Left Center,,,,,,73.0,1.0,1.0,0.0,,,,,,,,,,,
75,PT05M41.00S,2025-12-21T01:21:49.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630583,6.783837056504599,42.64705882352941,1610612763,13,11,2025-12-21T01:21:54Z,750000,False,37.0,11.0,1,left,MISS S. Aldama driving floating Shot,[1630583],1610612763.0,MEM,driving floating,,,Aldama,S. Aldama,,,,,Restricted Area,0-8 Center,3.85,Missed,,,,,,,,,,,,,,,,,,
76,PT05M39.00S,2025-12-21T01:21:51.7Z,1,REGULAR,rebound,offensive,[],1630583,,,1610612763,13,11,2025-12-21T01:28:38Z,760000,False,,,0,,S. Aldama REBOUND (Off:2 Def:1),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Restricted Area,0-8 Center,,,,,,75.0,3.0,1.0,2.0,,,,,,,,,,,
