actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
18,PT10M56.00S,2025-10-25T00:12:33.4Z,1,REGULAR,2pt,Jump Shot,[],1629630,9.017739816031538,73.52941176470588,1610612763,4,3,2025-10-25T00:12:38Z,180000,False,-118.0,32.0,1,left,MISS J. Morant 12' step back Shot,[1629630],1610612763.0,MEM,step back,,,Morant,J. Morant,,,,,Mid-Range,8-16 Left,12.2,Missed,,,,,,,,,,,,,,,,,,
19,PT10M52.00S,2025-10-25T00:12:37.4Z,1,REGULAR,rebound,defensive,[],1642276,,,1610612748,4,3,2025-10-25T00:12:38Z,190000,False,,,0,,K. Ware REBOUND (Off:0 Def:1),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,Mid-Range,8-16 Left,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,
20,PT10M46.00S,2025-10-25T00:12:43.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,84.97043363994744,50.245098039215684,1610612748,4,5,2025-10-25T00:12:49Z,200000,False,1.0,89.0,1,right,B. Adebayo 8' turnaround fadeaway Jump Shot (5 PTS),[1628389],1610612748.0,MIA,turnaround fadeaway,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,8.88,Made,5.0,,,,,,,,,,,,,,,,,
21,PT10M29.00S,2025-10-25T00:12:59.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,13.222733245729303,53.18627450980392,1610612763,6,5,2025-10-25T00:17:46Z,210000,False,-16.0,72.0,1,left,J. Jackson Jr. 7' driving floating Jump Shot (2 PTS) (K. Caldwell-Pope 2 AST),"[1628991, 203484]",1610612763.0,MEM,driving floating,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,7.35,Made,2.0,K. Caldwell-Pope,203484.0,2.0,,,,,,,,,,,,,,
23,PT10M17.00S,2025-10-25T00:13:11.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628389,84.70762155059133,57.35294117647059,1610612748,6,5,2025-10-25T00:19:24Z,230000,False,37.0,91.0,1,right,MISS B. Adebayo 9' driving Hook,[1628389],1610612748.0,MIA,driving,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,9.83,Missed,,,,,,,,,,,,,,,,,,
24,PT10M15.00S,2025-10-25T00:13:13.5Z,1,REGULAR,rebound,offensive,[],203952,,,1610612748,6,5,2025-10-25T00:19:24Z,240000,False,,,0,,A. Wiggins REBOUND (Off:1 Def:0),[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,23.0,1.0,0.0,1.0,,,,,,,,,
25,PT10M14.00S,2025-10-25T00:13:16.9Z,1,REGULAR,foul,personal,['2freethrow'],1629630,,,1610612748,6,5,2025-10-25T00:13:27Z,250000,False,,,0,,J. Morant shooting personal FOUL (1 PF) (Wiggins 2 FT),"[1629630, 203952]",1610612763.0,MEM,shooting,,,Morant,J. Morant,,,,,Restricted Area,0-8 Center,,,,,,,101283.0,,,,,1.0,0.0,Wiggins,203952.0,,,,,
27,PT10M14.00S,2025-10-25T00:13:46.6Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203952,,,1610612748,6,5,2025-10-25T00:14:15Z,270000,False,,,0,,MISS A. Wiggins Free Throw 1 of 2,[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
28,PT10M14.00S,2025-10-25T00:13:46.6Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612748,6,5,2025-10-25T00:14:15Z,280000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,
29,PT10M14.00S,2025-10-25T00:13:46.6Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203952,,,1610612748,6,5,2025-10-25T00:14:15Z,290000,False,,,0,,MISS A. Wiggins Free Throw 2 of 2,[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
30,PT10M07.00S,2025-10-25T00:13:53.6Z,1,REGULAR,rebound,defensive,[],203484,,,1610612763,6,5,2025-10-25T00:14:15Z,300000,False,,,0,,K. Caldwell-Pope REBOUND (Off:0 Def:1),[203484],1610612763.0,MEM,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,,
31,PT09M59.00S,2025-10-25T00:14:21.9Z,1,REGULAR,2pt,Jump Shot,[],1628991,16.245072273324574,31.127450980392158,1610612763,8,5,2025-10-25T00:14:26Z,310000,False,94.0,100.0,1,left,J. Jackson Jr. 13' floating Jump Shot (4 PTS) (J. Morant 1 AST),"[1628991, 1629630]",1610612763.0,MEM,floating,,,Jackson Jr.,J. Jackson Jr.,,,,,Mid-Range,8-16 Right,13.77,Made,4.0,J. Morant,1629630.0,1.0,,,,,,,,,,,,,,
33,PT09M52.00S,2025-10-25T00:14:30.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642276,92.06636005256242,42.8921568627451,1610612748,8,7,2025-10-25T00:14:37Z,330000,False,-36.0,22.0,1,right,K. Ware cutting Layup (2 PTS) (D. Mitchell 2 AST),"[1642276, 1630558]",1610612748.0,MIA,cutting,,,Ware,K. Ware,,,,,Restricted Area,0-8 Center,4.18,Made,2.0,D. Mitchell,1630558.0,2.0,,,,,,,,,,,,,,
35,PT09M52.00S,2025-10-25T00:14:34.0Z,1,REGULAR,foul,personal,['1freethrow'],1629111,,,1610612748,8,7,2025-10-25T00:14:41Z,350000,False,,,0,,J. Landale shooting personal FOUL (1 PF) (Mitchell 1 FT),"[1629111, 1630558]",1610612763.0,MEM,shooting,,,Landale,J. Landale,,,,,Restricted Area,0-8 Center,,,,,,,1628159.0,,,,,1.0,0.0,Mitchell,1630558.0,,,,,
37,PT09M52.00S,2025-10-25T00:14:58.6Z,1,REGULAR,freethrow,1 of 1,[],1630558,,,1610612748,8,7,2025-10-25T00:14:58Z,370000,False,,,0,,MISS D. Mitchell Free Throw 1 of 1,[1630558],1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
38,PT09M50.00S,2025-10-25T00:15:00.6Z,1,REGULAR,rebound,defensive,[],1642377,,,1610612763,8,7,2025-10-25T00:15:01Z,380000,False,,,0,,J. Wells REBOUND (Off:0 Def:1),[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,,,,,,,,,,37.0,1.0,1.0,0.0,,,,,,,,,
39,PT09M41.00S,2025-10-25T00:15:11.7Z,1,REGULAR,foul,offensive,[],1629111,,,1610612763,8,7,2025-10-25T00:15:20Z,390000,False,,,0,,J. Landale offensive FOUL (2 PF),"[1629111, 1630558]",1610612763.0,MEM,,,,Landale,J. Landale,,,,,Above the Break 3,24+ Center,,,,,,,1830.0,,,,,2.0,0.0,Mitchell,1630558.0,,,,,
41,PT09M41.00S,2025-10-25T00:15:11.7Z,1,REGULAR,turnover,offensive foul,[],1629111,,,1610612763,8,7,2025-10-25T00:15:11Z,410000,False,,,0,,J. Landale offensive foul TURNOVER (1 TO),[1629111],1610612763.0,MEM,,,,Landale,J. Landale,,,,,Above the Break 3,24+ Center,,,,,,,1830.0,,,,,,,,,1.0,,,,
42,PT09M41.00S,2025-10-25T00:15:28.0Z,1,REGULAR,substitution,out,[],1629111,,,1610612748,8,7,2025-10-25T00:15:31Z,420000,False,,,0,,SUB out: J. Landale,[1629111],1610612763.0,MEM,,,,Landale,J. Landale,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT09M41.00S,2025-10-25T00:15:28.0Z,1,REGULAR,substitution,in,[],1630583,,,1610612748,8,7,2025-10-25T00:15:31Z,430000,False,,,0,,SUB in: S. Aldama,[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT09M23.00S,2025-10-25T00:15:55.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1626181,88.38699080157687,44.85294117647059,1610612748,8,7,2025-10-25T00:16:00Z,440000,False,-26.0,57.0,1,right,MISS N. Powell 6' driving floating Shot,[1626181],1610612748.0,MIA,driving floating,,,Powell,N. Powell,,,,,In The Paint (Non-RA),0-8 Center,6.23,Missed,,,,,,,,,,,,,,,,,,
45,PT09M18.00S,2025-10-25T00:16:00.2Z,1,REGULAR,rebound,offensive,[],1642276,,,1610612748,8,7,2025-10-25T00:16:00Z,450000,False,,,0,,K. Ware REBOUND (Off:1 Def:1),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,44.0,2.0,1.0,1.0,,,,,,,,,
46,PT09M18.00S,2025-10-25T00:15:59.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', '2ndchance']",1642276,94.40999984741211,50.0,1610612748,8,9,2025-10-25T00:15:59Z,460000,False,0.0,0.0,1,right,K. Ware tip DUNK (4 PTS),[1642276],1610612748.0,MIA,tip,,,Ware,K. Ware,,,,,Mid-Range,8-16 Left,0.0,Made,4.0,,,,,,,,,,,,,,,,,
47,PT09M11.00S,2025-10-25T00:16:06.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629630,17.0335085413929,52.94117647058824,1610612763,10,9,2025-10-25T00:16:11Z,470000,False,-15.0,108.0,1,left,J. Morant 10' driving floating Jump Shot (6 PTS),[1629630],1610612763.0,MEM,driving floating,,,Morant,J. Morant,,,,,In The Paint (Non-RA),8-16 Center,10.86,Made,6.0,,,,,,,,,,,,,,,,,
48,PT09M03.00S,2025-10-25T00:16:14.9Z,1,REGULAR,3pt,Jump Shot,[],1628389,75.3777923784494,15.196078431372548,1610612748,10,12,2025-10-25T00:16:19Z,480000,False,-174.0,179.0,1,right,B. Adebayo 24' 3PT pullup (8 PTS) (D. Mitchell 3 AST),"[1628389, 1630558]",1610612748.0,MIA,pullup,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Left Center,24.96,Made,8.0,D. Mitchell,1630558.0,3.0,,,,,,,,,,,,,,
50,PT08M51.00S,2025-10-25T00:16:26.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629630,10.85742444152431,42.40196078431372,1610612763,10,12,2025-10-25T00:16:32Z,500000,False,38.0,50.0,1,left,MISS J. Morant 6' pullup Shot,[1629630],1610612763.0,MEM,pullup,,,Morant,J. Morant,,,,,In The Paint (Non-RA),0-8 Center,6.25,Missed,,,,,,,,,,,,,,,,,,
51,PT08M48.00S,2025-10-25T00:16:29.9Z,1,REGULAR,rebound,offensive,[],1630583,,,1610612763,10,12,2025-10-25T00:16:29Z,510000,False,,,0,,S. Aldama REBOUND (Off:1 Def:0),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,50.0,1.0,0.0,1.0,,,,,,,,,
52,PT08M47.00S,2025-10-25T00:16:30.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630583,6.389618922470433,48.529411764705884,1610612763,12,12,2025-10-25T00:16:51Z,520000,False,7.0,8.0,1,left,S. Aldama reverse Layup (2 PTS),[1630583],1610612763.0,MEM,reverse,,,Aldama,S. Aldama,,,,,Restricted Area,0-8 Center,1.06,Made,2.0,,,,,,,,,,,,,,,,,
53,PT08M34.00S,2025-10-25T00:16:44.4Z,1,REGULAR,foul,personal,['2freethrow'],1628991,,,1610612748,12,12,2025-10-25T00:20:21Z,530000,False,,,0,,J. Jackson Jr. shooting personal FOUL (1 PF) (Wiggins 2 FT),"[1628991, 203952]",1610612763.0,MEM,shooting,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,101283.0,,,,,1.0,0.0,Wiggins,203952.0,,,,,
55,PT08M34.00S,2025-10-25T00:17:22.8Z,1,REGULAR,freethrow,1 of 2,[],203952,,,1610612748,12,12,2025-10-25T00:20:29Z,550000,False,,,0,,MISS A. Wiggins Free Throw 1 of 2,[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
56,PT08M34.00S,2025-10-25T00:17:22.8Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612748,12,12,2025-10-25T00:20:29Z,560000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,
57,PT08M34.00S,2025-10-25T00:17:23.5Z,1,REGULAR,substitution,out,[],203484,,,1610612748,12,12,2025-10-25T00:17:31Z,570000,False,,,0,,SUB out: K. Caldwell-Pope,[203484],1610612763.0,MEM,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT08M34.00S,2025-10-25T00:17:23.5Z,1,REGULAR,substitution,out,[],1628991,,,1610612748,12,12,2025-10-25T00:17:31Z,580000,False,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT08M34.00S,2025-10-25T00:17:23.5Z,1,REGULAR,substitution,in,[],1641790,,,1610612748,12,12,2025-10-25T00:17:31Z,590000,False,,,0,,SUB in: P. Hall,[1641790],1610612763.0,MEM,,,,Hall,P. Hall,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT08M34.00S,2025-10-25T00:17:23.5Z,1,REGULAR,substitution,in,[],1642907,,,1610612748,12,12,2025-10-25T00:17:31Z,600000,False,,,0,,SUB in: C. Coward,[1642907],1610612763.0,MEM,,,,Coward,C. Coward,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT08M34.00S,2025-10-25T00:17:22.8Z,1,REGULAR,freethrow,2 of 2,[],203952,,,1610612748,12,13,2025-10-25T00:20:29Z,610000,False,,,0,,A. Wiggins Free Throw 2 of 2 (1 PTS),[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
62,PT08M25.00S,2025-10-25T00:17:56.5Z,1,REGULAR,3pt,Jump Shot,[],1642377,32.53942181340342,63.725490196078425,1610612763,12,13,2025-10-25T00:18:02Z,620000,False,-69.0,253.0,1,left,MISS J. Wells 26' 3PT,[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,Above the Break 3,24+ Center,26.25,Missed,,,,,,,,,,,,,,,,,,
63,PT08M24.00S,2025-10-25T00:17:57.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612748,12,13,2025-10-25T00:18:02Z,630000,False,,,0,,TEAM defensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,62.0,,,,,,,,,,,,
65,PT08M14.00S,2025-10-25T00:18:13.0Z,1,REGULAR,foul,offensive,[],1630558,,,1610612748,12,13,2025-10-25T00:18:31Z,650000,False,,,0,,D. Mitchell offensive FOUL (1 PF),"[1630558, 1642377]",1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1628159.0,,,,,1.0,0.0,Wells,1642377.0,,,,,
67,PT08M14.00S,2025-10-25T00:18:13.0Z,1,REGULAR,turnover,offensive foul,[],1630558,,,1610612748,12,13,2025-10-25T00:18:13Z,670000,False,,,0,,D. Mitchell offensive foul TURNOVER (1 TO),[1630558],1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1628159.0,,,,,,,,,1.0,,,,
68,PT08M02.00S,2025-10-25T00:18:39.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1642907,7.5722733245729295,63.23529411764706,1610612763,14,13,2025-10-25T00:18:46Z,680000,False,-66.0,19.0,1,left,C. Coward 6' turnaround fadeaway Jump Shot (2 PTS),[1642907],1610612763.0,MEM,turnaround fadeaway,,,Coward,C. Coward,,,,,In The Paint (Non-RA),0-8 Center,6.88,Made,2.0,,,,,,,,,,,,,,,,,
70,PT07M51.00S,2025-10-25T00:18:51.5Z,1,REGULAR,foul,personal,['2freethrow'],1641790,,,1610612748,14,13,2025-10-25T00:19:04Z,700000,False,,,0,,P. Hall shooting personal FOUL (1 PF) (Adebayo 2 FT),"[1641790, 1628389]",1610612763.0,MEM,shooting,,,Hall,P. Hall,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1628159.0,,,,,1.0,0.0,Adebayo,1628389.0,,,,,
72,PT07M51.00S,2025-10-25T00:19:24.0Z,1,REGULAR,freethrow,1 of 2,[],1628389,,,1610612748,14,14,2025-10-25T00:19:24Z,720000,False,,,0,,B. Adebayo Free Throw 1 of 2 (9 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,Made,9.0,,,,,,,,,,,,,,,,,
73,PT07M51.00S,2025-10-25T00:19:39.3Z,1,REGULAR,freethrow,2 of 2,[],1628389,,,1610612748,14,15,2025-10-25T00:19:39Z,730000,False,,,0,,B. Adebayo Free Throw 2 of 2 (10 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,Made,10.0,,,,,,,,,,,,,,,,,
74,PT07M43.00S,2025-10-25T00:19:48.5Z,1,REGULAR,turnover,bad pass,[],1629630,,,1610612763,14,15,2025-10-25T00:19:52Z,740000,False,,,0,,J. Morant bad pass TURNOVER (1 TO),"[1629630, 203952]",1610612763.0,MEM,,,,Morant,J. Morant,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,1.0,Wiggins,203952.0,,
75,PT07M43.00S,2025-10-25T00:19:48.5Z,1,REGULAR,steal,,[],203952,,,1610612748,14,15,2025-10-25T00:19:50Z,750000,False,,,0,,A. Wiggins STEAL (1 STL),[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
76,PT07M40.00S,2025-10-25T00:19:53.7Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1641790,,,1610612748,14,15,2025-10-25T00:20:03Z,760000,False,,,0,,P. Hall shooting personal FOUL (2 PF) (Adebayo 2 FT),"[1641790, 1628389]",1610612763.0,MEM,shooting,,,Hall,P. Hall,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,101283.0,,,,,2.0,0.0,Adebayo,1628389.0,,,,,
78,PT07M40.00S,2025-10-25T00:20:23.3Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1628389,,,1610612748,14,16,2025-10-25T00:20:23Z,780000,False,,,0,,B. Adebayo Free Throw 1 of 2 (11 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,Made,11.0,,,,,,,,,,,,,,,,,
79,PT07M40.00S,2025-10-25T00:20:40.3Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1628389,,,1610612748,14,17,2025-10-25T00:20:40Z,790000,False,,,0,,B. Adebayo Free Throw 2 of 2 (12 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,Made,12.0,,,,,,,,,,,,,,,,,
80,PT07M24.00S,2025-10-25T00:21:00.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629630,15.325229960578188,65.44117647058823,1610612763,14,17,2025-10-25T00:21:06Z,800000,False,-77.0,92.0,1,left,MISS J. Morant 11' pullup Shot,[1629630],1610612763.0,MEM,pullup,,,Morant,J. Morant,,,,,In The Paint (Non-RA),8-16 Left,11.98,Missed,,,,,,,,,,,,,,,,,,
81,PT07M20.00S,2025-10-25T00:21:04.3Z,1,REGULAR,rebound,defensive,[],1630558,,,1610612748,14,17,2025-10-25T00:21:43Z,810000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1630558],1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,80.0,1.0,1.0,0.0,,,,,,,,,
82,PT07M20.00S,2025-10-25T00:21:06.0Z,1,REGULAR,turnover,out-of-bounds,[],1630558,,,1610612748,14,17,2025-10-25T00:21:11Z,820000,False,,,0,,D. Mitchell bad pass out-of-bounds TURNOVER (2 TO),[1630558],1610612748.0,MIA,bad pass,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1628159.0,,,,,,,,,2.0,,,,
83,PT07M15.00S,2025-10-25T00:21:27.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1641790,7.5722733245729295,46.07843137254902,1610612763,16,17,2025-10-25T00:21:32Z,830000,False,20.0,19.0,1,left,P. Hall alley-oop Layup (2 PTS) (J. Morant 2 AST),"[1641790, 1629630]",1610612763.0,MEM,alley-oop,,,Hall,P. Hall,,,,,Restricted Area,0-8 Center,2.71,Made,2.0,J. Morant,1629630.0,2.0,,,,,,,,,,,,,,
85,PT06M55.00S,2025-10-25T00:21:46.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,86.28449408672799,49.01960784313725,1610612748,16,17,2025-10-25T00:30:47Z,850000,False,-5.0,76.0,1,right,MISS B. Adebayo 7' driving floating Shot,[1628389],1610612748.0,MIA,driving floating,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,7.66,Missed,,,,,,,,,,,,,,,,,,
86,PT06M53.00S,2025-10-25T00:21:48.8Z,1,REGULAR,rebound,offensive,[],1642276,,,1610612748,16,17,2025-10-25T00:21:51Z,860000,False,,,0,,K. Ware REBOUND (Off:2 Def:1),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,85.0,3.0,1.0,2.0,,,,,,,,,
