actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
16,PT10M31.00S,2026-01-22T01:12:55.5Z,1,REGULAR,rebound,defensive,[],1630552,,,1610612737,4,0,2026-01-22T01:12:57Z,160000,False,,,0,,J. Johnson REBOUND (Off:0 Def:1),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Left Center,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT10M30.00S,2026-01-22T01:12:56.7Z,1,REGULAR,turnover,lost ball,[],1630552,,,1610612737,4,0,2026-01-22T01:13:00Z,170000,False,,,0,,J. Johnson lost ball TURNOVER (1 TO),"[1630552, 1642377]",1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Mid-Range,16-24 Right,,,,,,,,1.0,Wells,1642377.0,,,,,,,,,,
18,PT10M30.00S,2026-01-22T01:12:56.7Z,1,REGULAR,steal,,[],1642377,,,1610612763,4,0,2026-01-22T01:12:57Z,180000,False,,,0,,J. Wells STEAL (1 STL),[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,,,
19,PT10M27.00S,2026-01-22T01:12:59.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1642377,6.915243101182654,46.07843137254902,1610612763,4,0,2026-01-22T01:13:06Z,190000,False,20.0,13.0,1,left,MISS J. Wells bank Shot,[1642377],1610612763.0,MEM,bank,,,Wells,J. Wells,,,,,Restricted Area,0-8 Center,2.32,Missed,,,,,,,,,,,,,,,,,,
20,PT10M26.00S,2026-01-22T01:13:00.5Z,1,REGULAR,rebound,offensive,[],1642377,,,1610612763,4,0,2026-01-22T01:13:06Z,200000,False,,,0,,J. Wells REBOUND (Off:2 Def:0),[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,Restricted Area,0-8 Center,,,19.0,2.0,0.0,2.0,,,,,,,,,,,,,,
21,PT10M26.00S,2026-01-22T01:13:02.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1642377,5.590000152587891,50.0,1610612763,4,0,2026-01-22T01:13:02Z,210000,False,0.0,0.0,1,left,MISS J. Wells tip Layup,[1642377],1610612763.0,MEM,tip,,,Wells,J. Wells,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
22,PT10M26.00S,2026-01-22T01:13:02.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,4,0,2026-01-22T01:13:02Z,220000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,Mid-Range,8-16 Left,,,21.0,,,,,,,,,,,,,,,,,
24,PT10M16.00S,2026-01-22T01:13:29.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1642377,12.697109067017081,95.09803921568627,1610612763,4,0,2026-01-22T01:13:33Z,240000,False,-225.0,67.0,1,left,MISS J. Wells 3PT,[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,Left Corner 3,24+ Left,23.52,Missed,,,,,,,,,,,,,,,,,,
25,PT10M15.00S,2026-01-22T01:13:30.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612737,4,0,2026-01-22T01:13:33Z,250000,False,,,0,,TEAM defensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Left Corner 3,24+ Left,,,24.0,,,,,,,,,,,,,,,,,
27,PT10M05.00S,2026-01-22T01:13:51.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630552,92.06636005256242,55.14705882352941,1610612737,4,0,2026-01-22T01:13:56Z,270000,False,26.0,22.0,1,right,MISS J. Johnson driving Layup - blocked,"[1630552, 1629723]",1610612737.0,ATL,driving,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,3.39,Missed,,,,,,,,,,Konchar,1629723.0,,,,,,,
47,PT10M05.00S,2026-01-22T01:13:51.6Z,1,REGULAR,block,,[],1629723,,,1610612737,4,0,2026-01-22T01:16:31Z,275000,False,,,0,,J. Konchar BLOCK (1 BLK),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
28,PT10M02.00S,2026-01-22T01:13:54.6Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,4,0,2026-01-22T01:13:56Z,280000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,,,27.0,1.0,1.0,0.0,,,,,,,,,,,,,,
29,PT09M55.00S,2026-01-22T01:14:01.3Z,1,REGULAR,3pt,Jump Shot,[],1642907,7.440867279894875,3.9215686274509802,1610612763,7,0,2026-01-22T01:14:05Z,290000,False,230.0,17.0,1,left,C. Coward 3PT  (3 PTS) (J. Morant 1 AST),"[1642907, 1629630]",1610612763.0,MEM,,,,Coward,C. Coward,,,,,Right Corner 3,24+ Right,23.11,Made,,,,,3.0,,,,,,,J. Morant,1629630.0,1.0,,,,
31,PT09M45.00S,2026-01-22T01:14:11.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629638,82.9993429697766,47.30392156862745,1610612737,7,0,2026-01-22T01:14:15Z,310000,False,-13.0,107.0,1,right,MISS N. Alexander-Walker 10' driving floating Shot,[1629638],1610612737.0,ATL,driving floating,,,Alexander-Walker,N. Alexander-Walker,,,,,In The Paint (Non-RA),8-16 Center,10.81,Missed,,,,,,,,,,,,,,,,,,
32,PT09M42.00S,2026-01-22T01:14:14.2Z,1,REGULAR,rebound,offensive,[],1629638,,,1610612737,7,0,2026-01-22T01:18:03Z,320000,False,,,0,,N. Alexander-Walker REBOUND (Off:1 Def:0),[1629638],1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,In The Paint (Non-RA),8-16 Center,,,31.0,1.0,0.0,1.0,,,,,,,,,,,,,,
33,PT09M40.00S,2026-01-22T01:14:17.4Z,1,REGULAR,foul,personal,['2freethrow'],1642907,,,1610612737,7,0,2026-01-22T01:14:43Z,330000,False,,,0,,C. Coward shooting personal FOUL (1 PF) (Johnson 2 FT),"[1642907, 1630552]",1610612763.0,MEM,shooting,,,Coward,C. Coward,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1627524.0,,,,,,1.0,0.0,Johnson,1630552.0
35,PT09M40.00S,2026-01-22T01:14:46.2Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630552,,,1610612737,7,0,2026-01-22T01:14:46Z,350000,False,,,0,,MISS J. Johnson Free Throw 1 of 2,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
36,PT09M40.00S,2026-01-22T01:14:46.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612737,7,0,2026-01-22T01:14:46Z,360000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,
37,PT09M40.00S,2026-01-22T01:15:01.2Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630552,,,1610612737,7,1,2026-01-22T01:15:01Z,370000,False,,,0,,J. Johnson Free Throw 2 of 2 (1 PTS),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
38,PT09M29.00S,2026-01-22T01:15:18.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628991,6.652431011826544,48.529411764705884,1610612763,9,1,2026-01-22T01:15:23Z,380000,False,7.0,10.0,1,left,J. Jackson Jr. cutting Layup (2 PTS) (J. Morant 2 AST),"[1628991, 1629630]",1610612763.0,MEM,cutting,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,1.24,Made,,,,,2.0,,,,,,,J. Morant,1629630.0,2.0,,,,
40,PT09M18.00S,2026-01-22T01:15:29.4Z,1,REGULAR,3pt,Jump Shot,[],1629638,84.31340341655716,96.07843137254902,1610612737,9,1,2026-01-22T01:15:32Z,400000,False,230.0,95.0,1,right,MISS N. Alexander-Walker 24' 3PT,[1629638],1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,Above the Break 3,24+ Right Center,24.92,Missed,,,,,,,,,,,,,,,,,,
41,PT09M15.00S,2026-01-22T01:15:32.4Z,1,REGULAR,rebound,defensive,[],1642907,,,1610612763,9,1,2026-01-22T01:15:32Z,410000,False,,,0,,C. Coward REBOUND (Off:0 Def:1),[1642907],1610612763.0,MEM,,,,Coward,C. Coward,,,,,Above the Break 3,24+ Right Center,,,40.0,1.0,1.0,0.0,,,,,,,,,,,,,,
43,PT09M06.00S,2026-01-22T01:15:58.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,13.222733245729303,44.11764705882353,1610612763,11,1,2026-01-22T01:16:02Z,430000,False,29.0,72.0,1,left,J. Jackson Jr. 7' driving floating Jump Shot (4 PTS) (J. Morant 3 AST),"[1628991, 1629630]",1610612763.0,MEM,driving floating,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,7.76,Made,,,,,4.0,,,,,,,J. Morant,1629630.0,3.0,,,,
44,PT09M06.00S,2026-01-22T01:16:00.4Z,1,REGULAR,foul,personal,['1freethrow'],1630700,,,1610612763,11,1,2026-01-22T01:18:55Z,440000,False,,,0,,D. Daniels shooting personal FOUL (1 PF) (Jackson Jr. 1 FT),"[1630700, 1628991]",1610612737.0,ATL,shooting,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1627526.0,,,,,,1.0,0.0,Jackson Jr.,1628991.0
46,PT09M06.00S,2026-01-22T01:16:11.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,11,1,2026-01-22T01:16:12Z,460000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT09M06.00S,2026-01-22T01:19:13.9Z,1,REGULAR,freethrow,1 of 1,[],1628991,,,1610612763,12,1,2026-01-22T01:19:13Z,470000,False,,,0,,J. Jackson Jr. Free Throw 1 of 1 (5 PTS),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
49,PT08M56.00S,2026-01-22T01:19:25.0Z,1,REGULAR,3pt,Jump Shot,[],1630168,67.09921156373193,63.48039215686274,1610612737,12,1,2026-01-22T01:19:29Z,480000,False,67.0,257.0,1,right,MISS O. Okongwu 26' 3PT,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Center,26.55,Missed,,,,,,,,,,,,,,,,,,
50,PT08M53.00S,2026-01-22T01:19:27.6Z,1,REGULAR,rebound,offensive,[],1630700,,,1610612737,12,1,2026-01-22T01:19:27Z,490000,False,,,0,,D. Daniels REBOUND (Off:1 Def:0),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Center,,,49.0,1.0,0.0,1.0,,,,,,,,,,,,,,
51,PT08M45.00S,2026-01-22T01:19:35.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630168,92.59198423127464,54.65686274509803,1610612737,12,3,2026-01-22T01:19:40Z,500000,False,23.0,17.0,1,right,O. Okongwu driving finger roll Layup (2 PTS) (C. Kispert 1 AST),"[1630168, 1630557]",1610612737.0,ATL,driving finger roll,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,2.89,Made,,,,,2.0,,,,,,,C. Kispert,1630557.0,1.0,,,,
52,PT08M29.00S,2026-01-22T01:19:54.3Z,1,REGULAR,turnover,traveling,[],1642907,,,1610612763,12,3,2026-01-22T01:20:00Z,510000,False,,,0,,C. Coward traveling TURNOVER (1 TO),[1642907],1610612763.0,MEM,,,,Coward,C. Coward,,,,,Mid-Range,16-24 Right,,,,,,,,1.0,,,1627524.0,,,,,,,,,
53,PT08M21.00S,2026-01-22T01:20:06.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630168,78.13731931668858,9.803921568627452,1610612737,12,6,2026-01-22T01:20:10Z,520000,False,-201.0,153.0,1,right,O. Okongwu 25' 3PT  (5 PTS) (J. Johnson 1 AST),"[1630168, 1630552]",1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Left Center,25.26,Made,,,,,5.0,,,,,,,J. Johnson,1630552.0,1.0,,,,
55,PT08M09.00S,2026-01-22T01:20:21.6Z,1,REGULAR,foul,offensive,[],1628991,,,1610612763,12,6,2026-01-22T01:20:28Z,540000,False,,,0,,J. Jackson Jr. offensive FOUL (1 PF),"[1628991, 1629638]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Right Corner 3,24+ Right,,,,,,,,,,,203591.0,,,,,,1.0,0.0,Alexander-Walker,1629638.0
57,PT08M09.00S,2026-01-22T01:20:21.6Z,1,REGULAR,turnover,offensive foul,[],1628991,,,1610612763,12,6,2026-01-22T01:20:21Z,560000,False,,,0,,J. Jackson Jr. offensive foul TURNOVER (1 TO),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Right Corner 3,24+ Right,,,,,,,,1.0,,,203591.0,,,,,,,,,
58,PT08M09.00S,2026-01-22T01:20:30.7Z,1,REGULAR,substitution,out,[],1642907,,,1610612737,12,6,2026-01-22T01:20:43Z,570000,False,,,0,,SUB out: C. Coward,[1642907],1610612763.0,MEM,,,,Coward,C. Coward,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT08M09.00S,2026-01-22T01:20:30.7Z,1,REGULAR,substitution,out,[],1628991,,,1610612737,12,6,2026-01-22T01:20:43Z,580000,False,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT08M09.00S,2026-01-22T01:20:30.7Z,1,REGULAR,substitution,in,[],1642285,,,1610612737,12,6,2026-01-22T01:20:43Z,590000,False,,,0,,SUB in: C. Spencer,[1642285],1610612763.0,MEM,,,,Spencer,C. Spencer,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT08M09.00S,2026-01-22T01:20:30.7Z,1,REGULAR,substitution,in,[],1629111,,,1610612737,12,6,2026-01-22T01:20:43Z,600000,False,,,0,,SUB in: J. Landale,[1629111],1610612763.0,MEM,,,,Landale,J. Landale,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT08M09.00S,2026-01-22T01:20:30.7Z,1,REGULAR,substitution,out,[],1629723,,,1610612737,12,6,2026-01-22T01:20:48Z,610000,False,,,0,,SUB out: J. Konchar,[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT08M09.00S,2026-01-22T01:20:30.7Z,1,REGULAR,substitution,in,[],1641713,,,1610612737,12,6,2026-01-22T01:20:48Z,620000,False,,,0,,SUB in: G. Jackson,[1641713],1610612763.0,MEM,,,,Jackson,G. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT07M50.00S,2026-01-22T01:21:10.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630168,79.84559789750328,6.372549019607843,1610612737,12,9,2026-01-22T01:21:15Z,630000,False,-218.0,137.0,1,right,O. Okongwu 25' 3PT  (8 PTS) (J. Johnson 2 AST),"[1630168, 1630552]",1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Left Center,25.76,Made,,,,,8.0,,,,,,,J. Johnson,1630552.0,2.0,,,,
66,PT07M41.00S,2026-01-22T01:21:22.2Z,1,REGULAR,foul,personal,['2freethrow'],1630168,,,1610612763,12,9,2026-01-22T01:21:46Z,650000,False,,,0,,O. Okongwu shooting personal FOUL (1 PF) (Morant 2 FT),"[1630168, 1629630]",1610612737.0,ATL,shooting,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,203591.0,,,,,,1.0,0.0,Morant,1629630.0
68,PT07M41.00S,2026-01-22T01:21:51.4Z,1,REGULAR,freethrow,1 of 2,[],1629630,,,1610612763,13,9,2026-01-22T01:21:51Z,670000,False,,,0,,J. Morant Free Throw 1 of 2 (1 PTS),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
69,PT07M41.00S,2026-01-22T01:22:02.0Z,1,REGULAR,freethrow,2 of 2,[],1629630,,,1610612763,14,9,2026-01-22T01:22:02Z,680000,False,,,0,,J. Morant Free Throw 2 of 2 (2 PTS),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
70,PT07M24.00S,2026-01-22T01:22:21.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630700,89.17542706964521,50.0,1610612737,14,9,2026-01-22T01:22:26Z,690000,False,0.0,49.0,1,right,MISS D. Daniels driving finger roll Layup,[1630700],1610612737.0,ATL,driving finger roll,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),0-8 Center,4.93,Missed,,,,,,,,,,,,,,,,,,
71,PT07M23.00S,2026-01-22T01:22:22.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612763,14,9,2026-01-22T01:22:26Z,700000,False,,,0,,TEAM defensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,70.0,,,,,,,,,,,,,,,,,
73,PT07M03.00S,2026-01-22T01:22:50.8Z,1,REGULAR,3pt,Jump Shot,[],1642285,31.750985545335087,40.19607843137255,1610612763,14,9,2026-01-22T01:22:54Z,720000,False,49.0,246.0,1,left,MISS C. Spencer 25' pullup 3PT,[1642285],1610612763.0,MEM,pullup,,,Spencer,C. Spencer,,,,,Above the Break 3,24+ Center,25.08,Missed,,,,,,,,,,,,,,,,,,
74,PT07M01.00S,2026-01-22T01:22:52.8Z,1,REGULAR,rebound,defensive,[],1630557,,,1610612737,14,9,2026-01-22T01:22:54Z,730000,False,,,0,,C. Kispert REBOUND (Off:0 Def:1),[1630557],1610612737.0,ATL,,,,Kispert,C. Kispert,,,,,Above the Break 3,24+ Center,,,73.0,1.0,1.0,0.0,,,,,,,,,,,,,,
75,PT06M57.00S,2026-01-22T01:22:57.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630557,67.09921156373193,59.80392156862745,1610612737,14,9,2026-01-22T01:23:03Z,740000,False,49.0,257.0,1,right,MISS C. Kispert 26' running pullup 3PT,[1630557],1610612737.0,ATL,running pullup,,,Kispert,C. Kispert,,,,,Above the Break 3,24+ Center,26.14,Missed,,,,,,,,,,,,,,,,,,
76,PT06M53.00S,2026-01-22T01:23:01.7Z,1,REGULAR,rebound,defensive,[],1641713,,,1610612763,14,9,2026-01-22T01:23:03Z,750000,False,,,0,,G. Jackson REBOUND (Off:0 Def:1),[1641713],1610612763.0,MEM,,,,Jackson,G. Jackson,,,,,Above the Break 3,24+ Center,,,75.0,1.0,1.0,0.0,,,,,,,,,,,,,,
77,PT06M39.00S,2026-01-22T01:23:15.8Z,1,REGULAR,3pt,Jump Shot,[],1641713,7.966491458607096,95.09803921568627,1610612763,14,9,2026-01-22T01:23:19Z,760000,False,-225.0,22.0,1,left,MISS G. Jackson pullup 3PT,[1641713],1610612763.0,MEM,pullup,,,Jackson,G. Jackson,,,,,Left Corner 3,24+ Left,22.66,Missed,,,,,,,,,,,,,,,,,,
78,PT06M36.00S,2026-01-22T01:23:18.8Z,1,REGULAR,rebound,offensive,[],1642285,,,1610612763,14,9,2026-01-22T01:23:19Z,770000,False,,,0,,C. Spencer REBOUND (Off:1 Def:0),[1642285],1610612763.0,MEM,,,,Spencer,C. Spencer,,,,,Left Corner 3,24+ Left,,,77.0,1.0,0.0,1.0,,,,,,,,,,,,,,
79,PT06M34.00S,2026-01-22T01:23:20.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1642377,32.40801576872536,50.245098039215684,1610612763,14,9,2026-01-22T01:23:25Z,780000,False,-1.0,252.0,1,left,MISS J. Wells 25' 3PT,[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,Above the Break 3,24+ Center,25.21,Missed,,,,,,,,,,,,,,,,,,
80,PT06M30.00S,2026-01-22T01:23:24.1Z,1,REGULAR,rebound,defensive,[],1630700,,,1610612737,14,9,2026-01-22T01:23:25Z,790000,False,,,0,,D. Daniels REBOUND (Off:1 Def:1),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Center,,,79.0,2.0,1.0,1.0,,,,,,,,,,,,,,
81,PT06M28.00S,2026-01-22T01:23:28.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630552,89.56964520367937,50.245098039215684,1610612737,14,11,2026-01-22T01:23:38Z,800000,False,1.0,46.0,1,right,J. Johnson running Layup (3 PTS) (D. Daniels 1 AST),"[1630552, 1630700]",1610612737.0,ATL,running,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),0-8 Center,4.55,Made,,,,,3.0,,,,,,,D. Daniels,1630700.0,1.0,,,,
83,PT06M28.00S,2026-01-22T01:23:35.0Z,1,REGULAR,foul,personal,['1freethrow'],1642377,,,1610612737,14,11,2026-01-22T01:23:59Z,820000,False,,,0,,J. Wells shooting personal FOUL (1 PF) (Johnson 1 FT),"[1642377, 1630552]",1610612763.0,MEM,shooting,,,Wells,J. Wells,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,203591.0,,,,,,1.0,0.0,Johnson,1630552.0
85,PT06M28.00S,2026-01-22T01:23:39.7Z,1,REGULAR,substitution,out,[],1629630,,,1610612737,14,11,2026-01-22T01:23:54Z,840000,False,,,0,,SUB out: J. Morant,[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,,,,,,,,,,,,,,,,,,
