actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
33,PT08M51.00S,2024-04-10T23:48:28.0Z,1,REGULAR,foul,personal,[],1628389,,,1610612742,8,8,2024-04-10T23:48:57Z,330000,False,,,0,,B. Adebayo personal FOUL (1 PF),"[1628389, 1629029]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Left Center,,,,,,,1627961.0,1.0,0.0,Doncic,1629029.0,,,,,,,,,
35,PT08M40.00S,2024-04-10T23:48:55.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202681,87.46714848883047,44.36274509803921,1610612742,8,8,2024-04-10T23:53:55Z,350000,False,-28.0,65.0,1,right,MISS K. Irving 7' driving floating bank Shot - blocked,"[202681, 1628997]",1610612742.0,DAL,driving floating bank,,,Irving,K. Irving,,,,,In The Paint (Non-RA),0-8 Center,7.11,Missed,,,,,,,,,,,,,,,Martin,1628997.0,,
61,PT08M40.00S,2024-04-10T23:48:55.1Z,1,REGULAR,block,,[],1628997,,,1610612742,8,8,2024-04-10T23:52:05Z,355000,False,,,0,,C. Martin BLOCK (1 BLK),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
36,PT08M38.00S,2024-04-10T23:48:57.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612748,8,8,2024-04-10T23:49:08Z,360000,False,,,0,,TEAM defensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,35.0,,,,,,,,,,,,,,,,,
38,PT08M21.00S,2024-04-10T23:49:19.5Z,1,REGULAR,3pt,Jump Shot,[],1628997,4.944152431011826,95.83333333333334,1610612748,11,8,2024-04-10T23:49:27Z,380000,False,-229.0,-6.0,1,left,C. Martin 3PT  (3 PTS) (J. Butler 2 AST),"[1628997, 202710]",1610612748.0,MIA,,,,Martin,C. Martin,,,,,Left Corner 3,24+ Left,22.93,Made,,,,,,,,,,3.0,,J. Butler,202710.0,2.0,,,,
40,PT08M02.00S,2024-04-10T23:49:38.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627884,88.12417871222075,39.21568627450981,1610612742,11,10,2024-04-10T23:49:48Z,400000,False,-54.0,59.0,1,right,D. Jones Jr. 8' fadeaway Jump Shot (2 PTS) (D. Gafford 2 AST),"[1627884, 1629655]",1610612742.0,DAL,fadeaway,,,Jones Jr.,D. Jones Jr.,,,,,In The Paint (Non-RA),0-8 Center,8.0,Made,,,,,,,,,,2.0,,D. Gafford,1629655.0,2.0,,,,
42,PT07M48.00S,2024-04-10T23:49:53.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628997,7.046649145860711,39.705882352941174,1610612748,11,10,2024-04-10T23:52:21Z,420000,False,51.0,14.0,1,left,MISS C. Martin driving Layup,[1628997],1610612748.0,MIA,driving,,,Martin,C. Martin,,,,,In The Paint (Non-RA),0-8 Center,5.33,Missed,,,,,,,,,,,,,,,,,,
43,PT07M47.00S,2024-04-10T23:49:54.3Z,1,REGULAR,rebound,offensive,[],1628997,,,1610612748,11,10,2024-04-10T23:52:21Z,430000,False,,,0,,C. Martin REBOUND (Off:1 Def:0),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,In The Paint (Non-RA),0-8 Center,,,42.0,1.0,0.0,1.0,,,,,,,,,,,,,,
44,PT07M47.00S,2024-04-10T23:49:59.3Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628997,5.590000152587891,50.0,1610612748,13,10,2024-04-10T23:52:27Z,440000,False,0.0,0.0,1,left,C. Martin tip Layup (5 PTS),[1628997],1610612748.0,MIA,tip,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,,,,,5.0,,,,,,,,
45,PT07M34.00S,2024-04-10T23:50:06.5Z,1,REGULAR,turnover,bad pass,[],1629029,,,1610612742,13,10,2024-04-10T23:50:14Z,450000,False,,,0,,L. Doncic bad pass TURNOVER (1 TO),"[1629029, 202710]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1.0,,,,,,Butler,202710.0
46,PT07M34.00S,2024-04-10T23:50:06.5Z,1,REGULAR,steal,,[],202710,,,1610612748,13,10,2024-04-10T23:50:08Z,460000,False,,,0,,J. Butler STEAL (1 STL),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
47,PT07M28.00S,2024-04-10T23:50:12.5Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1628997,22.158344283837057,87.74509803921569,1610612748,13,10,2024-04-10T23:53:05Z,470000,False,-189.0,156.0,1,left,MISS C. Martin 24' running 3PT,[1628997],1610612748.0,MIA,running,,,Martin,C. Martin,,,,,Above the Break 3,24+ Left Center,24.47,Missed,,,,,,,,,,,,,,,,,,
48,PT07M24.00S,2024-04-10T23:50:16.5Z,1,REGULAR,rebound,offensive,[],1628997,,,1610612748,13,10,2024-04-10T23:53:05Z,480000,False,,,0,,C. Martin REBOUND (Off:2 Def:0),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,Above the Break 3,24+ Left Center,,,47.0,2.0,0.0,2.0,,,,,,,,,,,,,,
50,PT07M17.00S,2024-04-10T23:50:33.3Z,1,REGULAR,substitution,out,[],1629655,,,1610612748,13,10,2024-04-10T23:50:38Z,500000,False,,,0,,SUB out: D. Gafford,[1629655],1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M17.00S,2024-04-10T23:50:33.3Z,1,REGULAR,substitution,in,[],1628467,,,1610612748,13,10,2024-04-10T23:50:38Z,510000,False,,,0,,SUB in: M. Kleber,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M12.00S,2024-04-10T23:50:54.0Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1631107,32.013797634691194,35.294117647058826,1610612748,13,10,2024-04-10T23:53:32Z,520000,False,74.0,248.0,1,left,MISS N. Jovic 25' pullup 3PT,[1631107],1610612748.0,MIA,pullup,,,Jovic,N. Jovic,,,,,Above the Break 3,24+ Center,25.9,Missed,,,,,,,,,,,,,,,,,,
53,PT07M09.00S,2024-04-10T23:50:57.0Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,13,10,2024-04-10T23:50:59Z,530000,False,,,0,,L. Doncic REBOUND (Off:1 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Center,,,52.0,2.0,1.0,1.0,,,,,,,,,,,,,,
54,PT06M56.00S,2024-04-10T23:51:10.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629029,88.12417871222075,47.05882352941176,1610612742,13,12,2024-04-10T23:51:17Z,540000,False,-15.0,59.0,1,right,L. Doncic 6' driving finger roll Layup (10 PTS) (M. Kleber 1 AST),"[1629029, 1628467]",1610612742.0,DAL,driving finger roll,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),0-8 Center,6.09,Made,,,,,,,,,,10.0,,M. Kleber,1628467.0,1.0,,,,
56,PT06M42.00S,2024-04-10T23:51:25.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628389,7.30946123521682,43.38235294117647,1610612748,13,12,2024-04-10T23:51:38Z,560000,False,33.0,16.0,1,left,MISS B. Adebayo driving Layup - blocked,"[1628389, 1628467]",1610612748.0,MIA,driving,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,3.69,Missed,,,,,,,,,,,,,,,Kleber,1628467.0,,
57,PT06M42.00S,2024-04-10T23:51:25.1Z,1,REGULAR,block,,[],1628467,,,1610612748,13,12,2024-04-10T23:51:27Z,570000,False,,,0,,M. Kleber BLOCK (1 BLK),[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
58,PT06M41.00S,2024-04-10T23:51:26.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612748,13,12,2024-04-10T23:51:38Z,580000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,Restricted Area,0-8 Center,,,56.0,,,,,,,,,,,,,,,,,
60,PT06M41.00S,2024-04-10T23:51:32.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,13,12,2024-04-10T23:51:32Z,600000,False,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M41.00S,2024-04-10T23:54:17.1Z,1,REGULAR,substitution,out,[],1627884,,,1610612748,13,12,2024-04-10T23:54:52Z,610000,False,,,0,,SUB out: D. Jones Jr.,[1627884],1610612742.0,DAL,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M41.00S,2024-04-10T23:54:17.1Z,1,REGULAR,substitution,in,[],203957,,,1610612748,13,12,2024-04-10T23:54:52Z,620000,False,,,0,,SUB in: D. Exum,[203957],1610612742.0,DAL,,,,Exum,D. Exum,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M37.00S,2024-04-10T23:55:11.6Z,1,REGULAR,turnover,bad pass,[],1629639,,,1610612748,13,12,2024-04-10T23:55:15Z,630000,False,,,0,,T. Herro bad pass TURNOVER (1 TO),"[1629639, 1629023]",1610612748.0,MIA,,,,Herro,T. Herro,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,1.0,,,,,,Washington,1629023.0
65,PT06M37.00S,2024-04-10T23:55:11.6Z,1,REGULAR,steal,,[],1629023,,,1610612742,13,12,2024-04-10T23:58:58Z,640000,False,,,0,,P. Washington STEAL (1 STL),[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,,,
66,PT06M34.00S,2024-04-10T23:55:14.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629023,92.19776609724047,50.98039215686274,1610612742,13,14,2024-04-10T23:55:29Z,650000,False,5.0,21.0,1,right,P. Washington running DUNK (2 PTS) (L. Doncic 1 AST),"[1629023, 1629029]",1610612742.0,DAL,running,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,2.14,Made,,,,,,,,,,2.0,,L. Doncic,1629029.0,1.0,,,,
68,PT06M17.00S,2024-04-10T23:55:31.8Z,1,REGULAR,3pt,Jump Shot,[],202710,9.149145860709593,2.2058823529411766,1610612748,16,14,2024-04-10T23:55:37Z,670000,False,239.0,34.0,1,left,J. Butler 24' 3PT  (3 PTS) (C. Martin 2 AST),"[202710, 1628997]",1610612748.0,MIA,,,,Butler,J. Butler,,,,,Right Corner 3,24+ Right,24.13,Made,,,,,,,,,,3.0,,C. Martin,1628997.0,2.0,,,,
70,PT05M53.00S,2024-04-10T23:55:55.7Z,1,REGULAR,3pt,Jump Shot,[],1629023,75.64060446780552,86.51960784313727,1610612742,16,17,2024-04-10T23:56:03Z,690000,False,183.0,176.0,1,right,P. Washington 25' 3PT  (5 PTS) (K. Irving 1 AST),"[1629023, 202681]",1610612742.0,DAL,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Right Center,25.4,Made,,,,,,,,,,5.0,,K. Irving,202681.0,1.0,,,,
72,PT05M35.00S,2024-04-10T23:56:13.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,15.062417871222076,36.51960784313725,1610612748,16,17,2024-04-10T23:56:19Z,710000,False,67.0,89.0,1,left,MISS T. Herro 11' pullup Shot,[1629639],1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,In The Paint (Non-RA),8-16 Right,11.17,Missed,,,,,,,,,,,,,,,,,,
73,PT05M33.00S,2024-04-10T23:56:15.0Z,1,REGULAR,rebound,defensive,[],202681,,,1610612742,16,17,2024-04-10T23:56:19Z,720000,False,,,0,,K. Irving REBOUND (Off:0 Def:2),[202681],1610612742.0,DAL,,,,Irving,K. Irving,,,,,In The Paint (Non-RA),8-16 Right,,,72.0,2.0,2.0,0.0,,,,,,,,,,,,,,
74,PT05M26.00S,2024-04-10T23:56:22.6Z,1,REGULAR,3pt,Jump Shot,[],1629023,76.03482260183968,88.97058823529412,1610612742,16,17,2024-04-10T23:57:14Z,730000,False,195.0,173.0,1,right,MISS P. Washington 26' 3PT,[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Right Center,26.05,Missed,,,,,,,,,,,,,,,,,,
75,PT05M23.00S,2024-04-10T23:56:25.6Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,16,17,2024-04-10T23:56:30Z,740000,False,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Right Center,,,74.0,1.0,1.0,0.0,,,,,,,,,,,,,,
76,PT05M01.00S,2024-04-10T23:56:50.6Z,1,REGULAR,foul,personal,['2freethrow'],1629029,,,1610612748,16,17,2024-04-10T23:56:57Z,750000,False,,,0,,L. Doncic shooting personal FOUL (2 PF) (Herro 2 FT),"[1629029, 1629639]",1610612742.0,DAL,shooting,,,Doncic,L. Doncic,,,,,Mid-Range,8-16 Left,,,,,,,202058.0,2.0,0.0,Herro,1629639.0,,,,,,,,,
78,PT05M01.00S,2024-04-10T23:57:15.5Z,1,REGULAR,freethrow,1 of 2,[],1629639,,,1610612748,17,17,2024-04-10T23:57:15Z,770000,False,,,0,,T. Herro Free Throw 1 of 2 (5 PTS),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,Made,,,,,,,,,,5.0,,,,,,,,
79,PT05M01.00S,2024-04-10T23:57:18.2Z,1,REGULAR,substitution,out,[],202710,,,1610612748,17,17,2024-04-10T23:57:23Z,780000,False,,,0,,SUB out: J. Butler,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M01.00S,2024-04-10T23:57:18.2Z,1,REGULAR,substitution,out,[],202681,,,1610612748,17,17,2024-04-10T23:57:23Z,790000,False,,,0,,SUB out: K. Irving,[202681],1610612742.0,DAL,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M01.00S,2024-04-10T23:57:18.2Z,1,REGULAR,substitution,in,[],1629312,,,1610612748,17,17,2024-04-10T23:57:23Z,800000,False,,,0,,SUB in: H. Highsmith,[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M01.00S,2024-04-10T23:57:18.2Z,1,REGULAR,substitution,in,[],203501,,,1610612748,17,17,2024-04-10T23:57:23Z,810000,False,,,0,,SUB in: T. Hardaway Jr.,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M01.00S,2024-04-10T23:57:37.7Z,1,REGULAR,freethrow,2 of 2,[],1629639,,,1610612748,18,17,2024-04-10T23:57:37Z,820000,False,,,0,,T. Herro Free Throw 2 of 2 (6 PTS),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,Made,,,,,,,,,,6.0,,,,,,,,
84,PT04M50.00S,2024-04-10T23:57:47.1Z,1,REGULAR,3pt,Jump Shot,[],1629029,69.46452036793693,70.09803921568627,1610612742,18,20,2024-04-10T23:58:48Z,830000,False,100.0,235.0,1,right,L. Doncic 25' 3PT pullup (13 PTS),[1629029],1610612742.0,DAL,pullup,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Right Center,25.51,Made,,,,,,,,,,13.0,,,,,,,,
85,PT04M33.00S,2024-04-10T23:58:04.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,12.565703022339028,40.19607843137255,1610612748,18,20,2024-04-10T23:59:10Z,840000,False,49.0,66.0,1,left,MISS B. Adebayo 8' fadeaway bank Shot,[1628389],1610612748.0,MIA,fadeaway bank,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Right,8.19,Missed,,,,,,,,,,,,,,,,,,
86,PT04M31.00S,2024-04-10T23:58:06.9Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,18,20,2024-04-10T23:58:09Z,850000,False,,,0,,L. Doncic REBOUND (Off:1 Def:2),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),8-16 Right,,,85.0,3.0,2.0,1.0,,,,,,,,,,,,,,
