actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
19,PT10M20.00S,2024-02-01T00:43:37.8Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,3,3,2024-02-01T00:43:57Z,190000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Mid-Range,8-16 Left,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,
20,PT10M06.00S,2024-02-01T00:43:56.0Z,1,REGULAR,foul,personal,[],1628389,,,1610612758,3,3,2024-02-01T00:44:07Z,200000,False,,,0,,B. Adebayo personal FOUL (1 PF),"[1628389, 1627734]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,8-16 Right,,,,1627961.0,,,,,,,,,1.0,0.0,Sabonis,1627734.0,,,,
22,PT09M59.00S,2024-02-01T00:44:18.9Z,1,REGULAR,3pt,Jump Shot,[],1628989,73.66951379763469,83.82352941176471,1610612758,3,3,2024-02-01T00:52:36Z,220000,False,169.0,195.0,1,right,MISS K. Huerter 25' pullup 3PT,[1628989],1610612758.0,SAC,pullup,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Right Center,25.81,Missed,,,,,,,,,,,,,,,,,,
23,PT09M56.00S,2024-02-01T00:44:21.9Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,3,3,2024-02-01T00:44:23Z,230000,False,,,0,,J. Butler REBOUND (Off:0 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Above the Break 3,24+ Right Center,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,
24,PT09M48.00S,2024-02-01T00:44:29.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,17.0335085413929,61.51960784313726,1610612748,3,3,2024-02-01T00:44:33Z,240000,False,-58.0,108.0,1,left,MISS B. Adebayo 12' turnaround fadeaway Shot,[1628389],1610612748.0,MIA,turnaround fadeaway,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,12.2,Missed,,,,,,,,,,,,,,,,,,
25,PT09M46.00S,2024-02-01T00:44:31.7Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612758,3,3,2024-02-01T00:44:33Z,250000,False,,,0,,D. Fox REBOUND (Off:0 Def:1),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,In The Paint (Non-RA),8-16 Center,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,
26,PT09M40.00S,2024-02-01T00:44:38.1Z,1,REGULAR,3pt,Jump Shot,[],1628368,73.27529566360053,81.86274509803921,1610612758,3,3,2024-02-01T00:44:45Z,260000,False,159.0,199.0,1,right,MISS D. Fox 25' 3PT,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Right Center,25.47,Missed,,,,,,,,,,,,,,,,,,
27,PT09M37.00S,2024-02-01T00:44:41.1Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,3,3,2024-02-01T00:44:45Z,270000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Right Center,,,,,,26.0,1.0,1.0,0.0,,,,,,,,,,,
30,PT09M17.00S,2024-02-01T00:45:35.7Z,1,REGULAR,2pt,Jump Shot,[],1628389,18.347568988173457,26.47058823529412,1610612748,3,3,2024-02-01T00:45:39Z,300000,False,118.0,120.0,1,left,MISS B. Adebayo 16' fadeaway Shot,[1628389],1610612748.0,MIA,fadeaway,,,Adebayo,B. Adebayo,,,,,Mid-Range,16-24 Right Center,16.8,Missed,,,,,,,,,,,,,,,,,,
31,PT09M15.00S,2024-02-01T00:45:37.7Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,3,3,2024-02-01T00:45:39Z,310000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:2),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Mid-Range,16-24 Right Center,,,,,,30.0,2.0,2.0,0.0,,,,,,,,,,,
32,PT09M06.00S,2024-02-01T00:45:47.4Z,1,REGULAR,2pt,Jump Shot,[],1628368,91.27792378449409,78.92156862745098,1610612758,3,3,2024-02-01T00:45:51Z,320000,False,145.0,29.0,1,right,MISS D. Fox 14' pullup Shot,[1628368],1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,Mid-Range,8-16 Right,14.76,Missed,,,,,,,,,,,,,,,,,,
33,PT09M03.00S,2024-02-01T00:45:50.4Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,3,3,2024-02-01T00:45:51Z,330000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:2),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,8-16 Right,,,,,,32.0,2.0,2.0,0.0,,,,,,,,,,,
34,PT08M59.00S,2024-02-01T00:45:56.5Z,1,REGULAR,foul,personal,['2freethrow'],1631099,,,1610612748,3,3,2024-02-01T00:46:07Z,340000,False,,,0,,K. Murray shooting personal FOUL (1 PF) (Herro 2 FT),"[1631099, 1629639]",1610612758.0,SAC,shooting,,,Murray,K. Murray,,,,,Mid-Range,8-16 Right,,,,2530.0,,,,,,,,,1.0,0.0,Herro,1629639.0,,,,
36,PT08M59.00S,2024-02-01T00:46:22.2Z,1,REGULAR,freethrow,1 of 2,[],1629639,,,1610612748,4,3,2024-02-01T00:46:22Z,360000,False,,,0,,T. Herro Free Throw 1 of 2 (1 PTS),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
37,PT08M59.00S,2024-02-01T00:46:37.2Z,1,REGULAR,freethrow,2 of 2,[],1629639,,,1610612748,5,3,2024-02-01T00:46:37Z,370000,False,,,0,,T. Herro Free Throw 2 of 2 (2 PTS),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
38,PT08M52.00S,2024-02-01T00:46:47.5Z,1,REGULAR,foul,personal,[],1626179,,,1610612758,5,3,2024-02-01T00:58:24Z,380000,False,,,0,,T. Rozier personal FOUL (1 PF),"[1626179, 203084]",1610612748.0,MIA,,,,Rozier,T. Rozier,,,,,Mid-Range,8-16 Left,,,,2530.0,,,,,,,,,1.0,0.0,Barnes,203084.0,,,,
40,PT08M44.00S,2024-02-01T00:47:17.3Z,1,REGULAR,foul,personal,['2freethrow'],1628389,,,1610612758,5,3,2024-02-01T00:47:23Z,400000,False,,,0,,B. Adebayo shooting personal FOUL (2 PF) (Fox 2 FT),"[1628389, 1628368]",1610612748.0,MIA,shooting,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,,,,203592.0,,,,,,,,,2.0,0.0,Fox,1628368.0,,,,
42,PT08M44.00S,2024-02-01T00:47:41.0Z,1,REGULAR,freethrow,1 of 2,[],1628368,,,1610612758,5,4,2024-02-01T00:47:41Z,420000,False,,,0,,D. Fox Free Throw 1 of 2 (1 PTS),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
43,PT08M44.00S,2024-02-01T00:47:43.8Z,1,REGULAR,substitution,out,[],1628389,,,1610612758,5,4,2024-02-01T00:47:48Z,430000,False,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT08M44.00S,2024-02-01T00:47:43.8Z,1,REGULAR,substitution,in,[],1628418,,,1610612758,5,4,2024-02-01T00:47:48Z,440000,False,,,0,,SUB in: T. Bryant,[1628418],1610612748.0,MIA,,,,Bryant,T. Bryant,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT08M44.00S,2024-02-01T00:47:41.0Z,1,REGULAR,freethrow,2 of 2,[],1628368,,,1610612758,5,4,2024-02-01T00:48:22Z,450000,False,,,0,,MISS D. Fox Free Throw 2 of 2,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
46,PT08M41.00S,2024-02-01T00:47:44.0Z,1,REGULAR,rebound,defensive,[],1628418,,,1610612748,5,4,2024-02-01T00:48:22Z,460000,False,,,0,,T. Bryant REBOUND (Off:0 Def:1),[1628418],1610612748.0,MIA,,,,Bryant,T. Bryant,,,,,,,,,,,,45.0,1.0,1.0,0.0,,,,,,,,,,,
47,PT08M20.00S,2024-02-01T00:48:20.7Z,1,REGULAR,2pt,Jump Shot,[],1629312,16.376478318002626,68.13725490196079,1610612748,7,4,2024-02-01T00:48:28Z,470000,False,-91.0,101.0,1,left,H. Highsmith 13' floating Jump Shot (2 PTS) (T. Rozier 1 AST),"[1629312, 1626179]",1610612748.0,MIA,floating,,,Highsmith,H. Highsmith,,,,,Mid-Range,8-16 Left,13.6,Made,2.0,,,,,,,T. Rozier,1626179.0,1.0,,,,,,,,
49,PT08M11.00S,2024-02-01T00:48:33.1Z,1,REGULAR,turnover,backcourt,[],1628989,,,1610612758,7,4,2024-02-01T00:48:44Z,490000,False,,,0,,K. Huerter backcourt TURNOVER (1 TO),[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Center,,,,203592.0,1.0,,,,,,,,,,,,,,,
50,PT07M59.00S,2024-02-01T00:48:56.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629312,12.302890932982917,43.627450980392155,1610612748,7,4,2024-02-01T00:58:00Z,500000,False,32.0,63.0,1,left,MISS H. Highsmith 7' turnaround bank Shot,[1629312],1610612748.0,MIA,turnaround bank,,,Highsmith,H. Highsmith,,,,,In The Paint (Non-RA),0-8 Center,7.07,Missed,,,,,,,,,,,,,,,,,,
51,PT07M57.00S,2024-02-01T00:48:58.6Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,7,4,2024-02-01T00:49:01Z,510000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:3),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,50.0,3.0,3.0,0.0,,,,,,,,,,,
52,PT07M51.00S,2024-02-01T00:49:04.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628989,93.38042049934296,42.40196078431372,1610612758,7,6,2024-02-01T00:59:05Z,520000,False,-38.0,10.0,1,right,K. Huerter driving reverse Layup (2 PTS) (D. Sabonis 2 AST),"[1628989, 1627734]",1610612758.0,SAC,driving reverse,,,Huerter,K. Huerter,,,,,Restricted Area,0-8 Center,3.92,Made,2.0,,,,,,,D. Sabonis,1627734.0,2.0,,,,,,,,
54,PT07M41.00S,2024-02-01T00:49:14.5Z,1,REGULAR,turnover,bad pass,[],1629639,,,1610612748,7,6,2024-02-01T00:49:19Z,540000,False,,,0,,T. Herro bad pass TURNOVER (1 TO),"[1629639, 1627734]",1610612748.0,MIA,,,,Herro,T. Herro,,,,,In The Paint (Non-RA),8-16 Center,,,,,1.0,,,,,,,,,,,,Sabonis,1627734.0,,
55,PT07M41.00S,2024-02-01T00:49:14.5Z,1,REGULAR,steal,,[],1627734,,,1610612758,7,6,2024-02-01T00:49:17Z,550000,False,,,0,,D. Sabonis STEAL (1 STL),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
56,PT07M34.00S,2024-02-01T00:49:21.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1631099,84.31340341655716,68.62745098039215,1610612758,7,6,2024-02-01T01:00:23Z,560000,False,93.0,95.0,1,right,MISS K. Murray 13' pullup Shot,[1631099],1610612758.0,SAC,pullup,,,Murray,K. Murray,,,,,Mid-Range,8-16 Right,13.3,Missed,,,,,,,,,,,,,,,,,,
57,PT07M34.00S,2024-02-01T00:49:21.7Z,1,REGULAR,rebound,offensive,[],1631099,,,1610612758,7,6,2024-02-01T00:50:02Z,570000,False,,,0,,K. Murray REBOUND (Off:1 Def:1),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Mid-Range,8-16 Right,,,,,,56.0,2.0,1.0,1.0,,,,,,,,,,,
58,PT07M29.00S,2024-02-01T00:49:26.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', '2ndchance']",1631099,92.06636005256242,54.65686274509803,1610612758,7,8,2024-02-01T00:49:35Z,580000,False,23.0,22.0,1,right,K. Murray putback DUNK (5 PTS),[1631099],1610612758.0,SAC,putback,,,Murray,K. Murray,,,,,Restricted Area,0-8 Center,3.21,Made,5.0,,,,,,,,,,,,,,,,,
59,PT07M04.00S,2024-02-01T00:49:51.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626179,17.427726675427067,44.6078431372549,1610612748,7,8,2024-02-01T01:01:12Z,590000,False,27.0,111.0,1,left,MISS T. Rozier 11' floating Shot,[1626179],1610612748.0,MIA,floating,,,Rozier,T. Rozier,,,,,In The Paint (Non-RA),8-16 Center,11.45,Missed,,,,,,,,,,,,,,,,,,
60,PT07M02.00S,2024-02-01T00:49:53.2Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612758,7,8,2024-02-01T00:50:07Z,600000,False,,,0,,D. Fox REBOUND (Off:0 Def:2),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,In The Paint (Non-RA),8-16 Center,,,,,,59.0,2.0,2.0,0.0,,,,,,,,,,,
61,PT07M00.00S,2024-02-01T00:49:55.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631099,75.64060446780552,10.294117647058822,1610612758,7,8,2024-02-01T00:50:32Z,610000,False,-199.0,176.0,1,right,MISS K. Murray 26' running 3PT,[1631099],1610612758.0,SAC,running,,,Murray,K. Murray,,,,,Above the Break 3,24+ Left Center,26.56,Missed,,,,,,,,,,,,,,,,,,
62,PT07M00.00S,2024-02-01T00:49:55.2Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,7,8,2024-02-01T00:50:32Z,620000,False,,,0,,J. Butler REBOUND (Off:0 Def:2),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Above the Break 3,24+ Left Center,,,,,,61.0,2.0,2.0,0.0,,,,,,,,,,,
63,PT06M48.00S,2024-02-01T00:50:07.6Z,1,REGULAR,3pt,Jump Shot,[],1629639,8.360709592641262,3.431372549019608,1610612748,10,8,2024-02-01T00:50:12Z,630000,False,233.0,26.0,1,left,T. Herro 3PT  (5 PTS) (J. Butler 1 AST),"[1629639, 202710]",1610612748.0,MIA,,,,Herro,T. Herro,,,,,Right Corner 3,24+ Right,23.43,Made,5.0,,,,,,,J. Butler,202710.0,1.0,,,,,,,,
65,PT06M37.00S,2024-02-01T00:50:18.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628368,90.88370565045992,43.38235294117647,1610612758,10,10,2024-02-01T00:50:25Z,650000,False,-33.0,33.0,1,right,D. Fox driving Layup (3 PTS),[1628368],1610612758.0,SAC,driving,,,Fox,D. Fox,,,,,In The Paint (Non-RA),0-8 Center,4.69,Made,3.0,,,,,,,,,,,,,,,,,
66,PT06M13.00S,2024-02-01T00:50:41.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202710,12.828515111695138,48.77450980392157,1610612748,10,10,2024-02-01T00:50:46Z,660000,False,6.0,68.0,1,left,MISS J. Butler 6' driving Layup - blocked,"[202710, 1627734]",1610612748.0,MIA,driving,,,Butler,J. Butler,,,,,In The Paint (Non-RA),0-8 Center,6.84,Missed,,,,,,,,,,,,,,,,,Sabonis,1627734.0
67,PT06M13.00S,2024-02-01T00:50:41.9Z,1,REGULAR,block,,[],1627734,,,1610612748,10,10,2024-02-01T00:50:44Z,670000,False,,,0,,D. Sabonis BLOCK (1 BLK),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
68,PT06M10.00S,2024-02-01T00:50:44.9Z,1,REGULAR,rebound,offensive,[],202710,,,1610612748,10,10,2024-02-01T00:50:46Z,680000,False,,,0,,J. Butler REBOUND (Off:1 Def:2),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,In The Paint (Non-RA),0-8 Center,,,,,,66.0,3.0,2.0,1.0,,,,,,,,,,,
69,PT06M09.00S,2024-02-01T00:50:47.3Z,1,REGULAR,turnover,bad pass,[],1629312,,,1610612748,10,10,2024-02-01T00:50:51Z,690000,False,,,0,,H. Highsmith bad pass TURNOVER (1 TO),"[1629312, 1631099]",1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Above the Break 3,24+ Right Center,,,,,1.0,,,,,,,,,,,,Murray,1631099.0,,
70,PT06M09.00S,2024-02-01T00:50:47.3Z,1,REGULAR,steal,,[],1631099,,,1610612758,10,10,2024-02-01T00:50:50Z,700000,False,,,0,,K. Murray STEAL (1 STL),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
71,PT06M04.00S,2024-02-01T00:50:53.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1628989,91.40932982917214,43.627450980392155,1610612758,10,12,2024-02-01T00:51:10Z,710000,False,-32.0,28.0,1,right,K. Huerter running Layup (4 PTS) (K. Murray 1 AST),"[1628989, 1631099]",1610612758.0,SAC,running,,,Huerter,K. Huerter,,,,,Restricted Area,0-8 Center,4.26,Made,4.0,,,,,,,K. Murray,1631099.0,1.0,,,,,,,,
73,PT06M03.00S,2024-02-01T00:51:02.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,10,12,2024-02-01T00:51:02Z,730000,False,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M03.00S,2024-02-01T00:52:50.9Z,1,REGULAR,substitution,out,[],1629639,,,1610612748,10,12,2024-02-01T00:53:46Z,740000,False,,,0,,SUB out: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M03.00S,2024-02-01T00:52:50.9Z,1,REGULAR,substitution,out,[],1628418,,,1610612748,10,12,2024-02-01T00:53:46Z,750000,False,,,0,,SUB out: T. Bryant,[1628418],1610612748.0,MIA,,,,Bryant,T. Bryant,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M03.00S,2024-02-01T00:52:50.9Z,1,REGULAR,substitution,in,[],201567,,,1610612748,10,12,2024-02-01T00:53:46Z,760000,False,,,0,,SUB in: K. Love,[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M03.00S,2024-02-01T00:52:50.9Z,1,REGULAR,substitution,in,[],1631170,,,1610612748,10,12,2024-02-01T00:53:46Z,770000,False,,,0,,SUB in: J. Jaquez Jr.,[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M43.00S,2024-02-01T00:54:20.8Z,1,REGULAR,foul,personal,['2freethrow'],1628989,,,1610612748,10,12,2024-02-01T00:54:30Z,780000,False,,,0,,K. Huerter shooting personal FOUL (1 PF) (Jaquez Jr. 2 FT),"[1628989, 1631170]",1610612758.0,SAC,shooting,,,Huerter,K. Huerter,,,,,In The Paint (Non-RA),0-8 Center,,,,203592.0,,,,,,,,,1.0,0.0,Jaquez Jr.,1631170.0,,,,
80,PT05M43.00S,2024-02-01T00:54:44.7Z,1,REGULAR,freethrow,1 of 2,[],1631170,,,1610612748,11,12,2024-02-01T00:54:44Z,800000,False,,,0,,J. Jaquez Jr. Free Throw 1 of 2 (1 PTS),[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
81,PT05M43.00S,2024-02-01T00:54:56.9Z,1,REGULAR,freethrow,2 of 2,[],1631170,,,1610612748,12,12,2024-02-01T00:54:56Z,810000,False,,,0,,J. Jaquez Jr. Free Throw 2 of 2 (2 PTS),[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
82,PT05M22.00S,2024-02-01T00:55:18.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627734,90.09526938239159,38.48039215686275,1610612758,12,12,2024-02-01T01:03:50Z,820000,False,-58.0,41.0,1,right,MISS D. Sabonis 7' driving Hook,[1627734],1610612758.0,SAC,driving,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,7.05,Missed,,,,,,,,,,,,,,,,,,
83,PT05M20.00S,2024-02-01T00:55:20.3Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,12,12,2024-02-01T00:55:21Z,830000,False,,,0,,J. Butler REBOUND (Off:1 Def:3),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,In The Paint (Non-RA),0-8 Center,,,,,,82.0,4.0,3.0,1.0,,,,,,,,,,,
84,PT05M11.00S,2024-02-01T00:55:29.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],202710,9.674770039421814,46.32352941176471,1610612748,14,12,2024-02-01T00:55:36Z,840000,False,18.0,38.0,1,left,J. Butler alley-oop DUNK (5 PTS) (K. Love 1 AST),"[202710, 201567]",1610612748.0,MIA,alley-oop,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,4.26,Made,5.0,,,,,,,K. Love,201567.0,1.0,,,,,,,,
86,PT04M59.00S,2024-02-01T00:55:40.3Z,1,REGULAR,3pt,Jump Shot,[],203084,93.51182654402102,2.941176470588235,1610612758,14,12,2024-02-01T00:55:45Z,860000,False,-235.0,8.0,1,right,MISS H. Barnes 3PT,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,Left Corner 3,24+ Left,23.55,Missed,,,,,,,,,,,,,,,,,,
