actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
592,PT00M14.60S,2024-02-11T21:29:26.2Z,4,REGULAR,timeout,full,['team'],0,,,1610612748,104,110,2024-02-11T21:29:26Z,5790000,False,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,PT00M14.60S,2024-02-11T21:30:32.3Z,4,REGULAR,substitution,out,[],201567,,,1610612748,104,110,2024-02-11T21:30:49Z,5800000,False,,,0,,SUB out: K. Love,[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,,,
594,PT00M14.60S,2024-02-11T21:30:32.3Z,4,REGULAR,substitution,in,[],1631170,,,1610612748,104,110,2024-02-11T21:30:49Z,5810000,False,,,0,,SUB in: J. Jaquez Jr.,[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
595,PT00M09.60S,2024-02-11T21:31:20.6Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1629639,89.11383048620236,43.18321078431372,1610612748,106,110,2024-02-11T21:32:03Z,5820000,False,-34.0,50.0,1,right,T. Herro 6' driving Layup (24 PTS),[1629639],1610612748.0,MIA,driving,,,Herro,T. Herro,,,,,In The Paint (Non-RA),0-8 Center,6.04,Made,24.0,,,,,,,,,,,,,,,,,
596,PT00M04.40S,2024-02-11T21:31:32.3Z,4,REGULAR,timeout,full,['team'],0,,,1610612738,106,110,2024-02-11T21:31:32Z,5830000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,PT00M04.40S,2024-02-11T21:32:28.3Z,4,REGULAR,substitution,out,[],1631170,,,1610612738,106,110,2024-02-11T21:32:48Z,5840000,False,,,0,,SUB out: J. Jaquez Jr.,[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
598,PT00M04.40S,2024-02-11T21:32:28.3Z,4,REGULAR,substitution,out,[],201143,,,1610612738,106,110,2024-02-11T21:32:48Z,5850000,False,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
599,PT00M04.40S,2024-02-11T21:32:28.3Z,4,REGULAR,substitution,in,[],1629312,,,1610612738,106,110,2024-02-11T21:32:48Z,5860000,False,,,0,,SUB in: H. Highsmith,[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,,,,,,,,,,,,,,,,,,,,,,
600,PT00M04.40S,2024-02-11T21:32:28.3Z,4,REGULAR,substitution,in,[],1630202,,,1610612738,106,110,2024-02-11T21:32:48Z,5870000,False,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,,
601,PT00M00.00S,2024-02-11T21:33:09.1Z,4,REGULAR,period,end,[],0,,,1610612738,106,110,2024-02-11T21:33:09Z,5880000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,PT00M00.00S,2024-02-11T21:33:14.0Z,4,REGULAR,game,end,[],0,,,0,106,110,2024-02-11T21:33:14Z,5890000,False,,,0,,Game End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
