actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
15,PT10M40.00S,2024-04-13T00:12:45.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641711,5.863994743758213,95.34313725490196,1610612761,2,2,2024-04-13T00:13:00Z,150000,False,-227.0,3.0,1,left,MISS G. Dick running 3PT,[1641711],1610612761.0,TOR,running,,,Dick,G. Dick,,,,,Left Corner 3,24+ Left,22.67,Missed,,,,,,,,,,,,,,,,,,
16,PT10M36.00S,2024-04-13T00:12:49.7Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,2,2,2024-04-13T00:13:00Z,160000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Left Corner 3,24+ Left,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,
17,PT10M30.00S,2024-04-13T00:12:55.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631107,94.1688567674113,48.77450980392157,1610612748,4,2,2024-04-13T00:13:04Z,170000,False,-6.0,2.0,1,right,N. Jovic cutting Layup (2 PTS) (B. Adebayo 1 AST),"[1631107, 1628389]",1610612748.0,MIA,cutting,,,Jovic,N. Jovic,,,,,Restricted Area,0-8 Center,0.65,Made,2.0,,,,,,,B. Adebayo,1628389.0,1.0,,,,,,,,
19,PT10M10.00S,2024-04-13T00:13:18.3Z,1,REGULAR,turnover,traveling,[],1629018,,,1610612761,4,2,2024-04-13T00:13:31Z,190000,False,,,0,,G. Trent Jr. traveling TURNOVER (1 TO),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,1155.0,1.0,,,,,,,,,,,,,,,
20,PT09M52.00S,2024-04-13T00:13:47.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202710,93.9060446780552,95.34313725490196,1610612748,7,2,2024-04-13T00:13:52Z,200000,False,227.0,5.0,1,right,J. Butler 3PT  (3 PTS) (C. Martin 1 AST),"[202710, 1628997]",1610612748.0,MIA,,,,Butler,J. Butler,,,,,Right Corner 3,24+ Right,22.68,Made,3.0,,,,,,,C. Martin,1628997.0,1.0,,,,,,,,
22,PT09M29.00S,2024-04-13T00:14:10.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,5.732588699080158,50.0,1610612761,7,4,2024-04-13T00:14:15Z,220000,False,0.0,1.0,1,left,R. Barrett driving finger roll Layup (2 PTS) (K. Olynyk 1 AST),"[1629628, 203482]",1610612761.0,TOR,driving finger roll,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,0.14,Made,2.0,,,,,,,K. Olynyk,203482.0,1.0,,,,,,,,
24,PT09M07.00S,2024-04-13T00:14:33.2Z,1,REGULAR,3pt,Jump Shot,[],1631107,79.45137976346912,6.61764705882353,1610612748,7,4,2024-04-13T00:14:38Z,240000,False,-217.0,141.0,1,right,MISS N. Jovic 25' 3PT,[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,Above the Break 3,24+ Left Center,25.85,Missed,,,,,,,,,,,,,,,,,,
25,PT09M03.00S,2024-04-13T00:14:37.2Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612761,7,4,2024-04-13T00:14:38Z,250000,False,,,0,,R. Barrett REBOUND (Off:0 Def:1),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Left Center,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,
26,PT08M57.00S,2024-04-13T00:14:42.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203482,8.360709592641262,44.6078431372549,1610612761,7,4,2024-04-13T00:14:50Z,260000,False,27.0,26.0,1,left,MISS K. Olynyk running Layup,[203482],1610612761.0,TOR,running,,,Olynyk,K. Olynyk,,,,,Restricted Area,0-8 Center,3.76,Missed,,,,,,,,,,,,,,,,,,
27,PT08M56.00S,2024-04-13T00:14:44.8Z,1,REGULAR,rebound,offensive,[],203482,,,1610612761,7,4,2024-04-13T00:14:44Z,270000,False,,,0,,K. Olynyk REBOUND (Off:1 Def:1),[203482],1610612761.0,TOR,,,,Olynyk,K. Olynyk,,,,,Restricted Area,0-8 Center,,,,,,26.0,2.0,1.0,1.0,,,,,,,,,,,
28,PT08M56.00S,2024-04-13T00:14:50.7Z,1,REGULAR,foul,personal,['2freethrow'],1628389,,,1610612761,7,4,2024-04-13T00:15:01Z,280000,False,,,0,,B. Adebayo shooting personal FOUL (1 PF) (Olynyk 2 FT),"[1628389, 203482]",1610612748.0,MIA,shooting,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,,1155.0,,,,,,,,,1.0,0.0,Olynyk,203482.0,,,,
30,PT08M56.00S,2024-04-13T00:15:09.1Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203482,,,1610612761,7,5,2024-04-13T00:15:09Z,300000,False,,,0,,K. Olynyk Free Throw 1 of 2 (1 PTS),[203482],1610612761.0,TOR,,,,Olynyk,K. Olynyk,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
31,PT08M56.00S,2024-04-13T00:15:23.6Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203482,,,1610612761,7,6,2024-04-13T00:15:23Z,310000,False,,,0,,K. Olynyk Free Throw 2 of 2 (2 PTS),[203482],1610612761.0,TOR,,,,Olynyk,K. Olynyk,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
32,PT08M52.00S,2024-04-13T00:15:34.5Z,1,REGULAR,foul,personal,['2freethrow'],203482,,,1610612748,7,6,2024-04-13T00:15:52Z,320000,False,,,0,,K. Olynyk shooting personal FOUL (1 PF) (Adebayo 2 FT),"[203482, 1628389]",1610612761.0,TOR,shooting,,,Olynyk,K. Olynyk,,,,,In The Paint (Non-RA),0-8 Center,,,,1155.0,,,,,,,,,1.0,0.0,Adebayo,1628389.0,,,,
34,PT08M52.00S,2024-04-13T00:16:03.5Z,1,REGULAR,freethrow,1 of 2,[],1628389,,,1610612748,7,6,2024-04-13T00:16:03Z,340000,False,,,0,,MISS B. Adebayo Free Throw 1 of 2,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
35,PT08M52.00S,2024-04-13T00:16:03.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612748,7,6,2024-04-13T00:16:03Z,350000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,
36,PT08M52.00S,2024-04-13T00:16:23.3Z,1,REGULAR,freethrow,2 of 2,[],1628389,,,1610612748,8,6,2024-04-13T00:16:23Z,360000,False,,,0,,B. Adebayo Free Throw 2 of 2 (3 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
37,PT08M38.00S,2024-04-13T00:16:41.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629018,7.5722733245729295,55.63725490196079,1610612761,8,6,2024-04-13T00:17:14Z,370000,False,-28.0,19.0,1,left,MISS G. Trent Jr. driving Layup,[1629018],1610612761.0,TOR,driving,,,Trent Jr.,G. Trent Jr.,,,,,Restricted Area,0-8 Center,3.38,Missed,,,,,,,,,,,,,,,,,,
38,PT08M35.00S,2024-04-13T00:16:44.0Z,1,REGULAR,rebound,defensive,[],1631107,,,1610612748,8,6,2024-04-13T00:16:49Z,380000,False,,,0,,N. Jovic REBOUND (Off:0 Def:1),[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,Restricted Area,0-8 Center,,,,,,37.0,1.0,1.0,0.0,,,,,,,,,,,
40,PT08M19.00S,2024-04-13T00:16:59.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631107,92.19776609724047,46.32352941176471,1610612748,10,6,2024-04-13T00:17:05Z,390000,False,-18.0,21.0,1,right,N. Jovic driving finger roll Layup (4 PTS) (T. Herro 1 AST),"[1631107, 1629639]",1610612748.0,MIA,driving finger roll,,,Jovic,N. Jovic,,,,,Restricted Area,0-8 Center,2.78,Made,4.0,,,,,,,T. Herro,1629639.0,1.0,,,,,,,,
42,PT08M13.00S,2024-04-13T00:17:06.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,6.652431011826544,52.69607843137255,1610612761,10,8,2024-04-13T00:17:10Z,410000,False,-13.0,10.0,1,left,R. Barrett driving finger roll Layup (4 PTS) (I. Quickley 1 AST),"[1629628, 1630193]",1610612761.0,TOR,driving finger roll,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,1.68,Made,4.0,,,,,,,I. Quickley,1630193.0,1.0,,,,,,,,
43,PT07M57.00S,2024-04-13T00:17:22.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,81.02825229960578,36.76470588235294,1610612748,10,8,2024-04-13T00:17:27Z,420000,False,-66.0,126.0,1,right,MISS T. Herro 14' pullup Shot,[1629639],1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,In The Paint (Non-RA),8-16 Center,14.22,Missed,,,,,,,,,,,,,,,,,,
44,PT07M55.00S,2024-04-13T00:17:24.1Z,1,REGULAR,rebound,defensive,[],1630193,,,1610612761,10,8,2024-04-13T00:17:27Z,430000,False,,,0,,I. Quickley REBOUND (Off:0 Def:1),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,In The Paint (Non-RA),8-16 Center,,,,,,43.0,1.0,1.0,0.0,,,,,,,,,,,
45,PT07M52.00S,2024-04-13T00:17:27.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1641711,5.995400788436268,49.01960784313725,1610612761,10,10,2024-04-13T00:17:32Z,440000,False,5.0,4.0,1,left,G. Dick running DUNK (2 PTS) (I. Quickley 2 AST),"[1641711, 1630193]",1610612761.0,TOR,running,,,Dick,G. Dick,,,,,Restricted Area,0-8 Center,0.63,Made,2.0,,,,,,,I. Quickley,1630193.0,2.0,,,,,,,,
47,PT07M37.00S,2024-04-13T00:17:43.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628389,93.64323258869908,48.77450980392157,1610612748,12,10,2024-04-13T00:17:58Z,460000,False,-6.0,7.0,1,right,B. Adebayo cutting DUNK (5 PTS) (J. Butler 1 AST),"[1628389, 202710]",1610612748.0,MIA,cutting,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,0.95,Made,5.0,,,,,,,J. Butler,202710.0,1.0,,,,,,,,
49,PT07M24.00S,2024-04-13T00:18:01.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,12,10,2024-04-13T00:18:01Z,480000,False,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M24.00S,2024-04-13T00:20:18.4Z,1,REGULAR,substitution,out,[],1629628,,,1610612761,12,10,2024-04-13T00:20:44Z,490000,False,,,0,,SUB out: R. Barrett,[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M24.00S,2024-04-13T00:20:18.4Z,1,REGULAR,substitution,in,[],1630534,,,1610612761,12,10,2024-04-13T00:20:44Z,500000,False,,,0,,SUB in: O. Agbaji,[1630534],1610612761.0,TOR,,,,Agbaji,O. Agbaji,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M16.00S,2024-04-13T00:21:19.8Z,1,REGULAR,foul,personal,[],1629639,,,1610612761,12,10,2024-04-13T00:21:52Z,510000,False,,,0,,T. Herro personal FOUL (1 PF),"[1629639, 1629018]",1610612748.0,MIA,,,,Herro,T. Herro,,,,,Mid-Range,16-24 Left Center,,,,1193.0,,,,,,,,,1.0,0.0,Trent Jr.,1629018.0,,,,
55,PT07M01.00S,2024-04-13T00:21:49.6Z,1,REGULAR,3pt,Jump Shot,[],1629018,26.888961892247043,89.70588235294117,1610612761,12,10,2024-04-13T00:21:54Z,530000,False,-199.0,200.0,1,left,MISS G. Trent Jr. 28' 3PT,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,Above the Break 3,24+ Left Center,28.2,Missed,,,,,,,,,,,,,,,,,,
56,PT06M59.00S,2024-04-13T00:21:52.9Z,1,REGULAR,rebound,defensive,[],1631107,,,1610612748,12,10,2024-04-13T00:21:52Z,540000,False,,,0,,N. Jovic REBOUND (Off:0 Def:2),[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,Above the Break 3,24+ Left Center,,,,,,55.0,2.0,2.0,0.0,,,,,,,,,,,
57,PT06M49.00S,2024-04-13T00:22:02.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202710,88.12417871222075,48.77450980392157,1610612748,14,10,2024-04-13T00:22:20Z,550000,False,-6.0,59.0,1,right,J. Butler driving floating Jump Shot (5 PTS) (B. Adebayo 2 AST),"[202710, 1628389]",1610612748.0,MIA,driving floating,,,Butler,J. Butler,,,,,In The Paint (Non-RA),0-8 Center,5.94,Made,5.0,,,,,,,B. Adebayo,1628389.0,2.0,,,,,,,,
59,PT06M38.00S,2024-04-13T00:22:13.3Z,1,REGULAR,3pt,Jump Shot,[],1630193,29.25427069645204,24.754901960784316,1610612761,14,13,2024-04-13T00:22:17Z,570000,False,126.0,222.0,1,left,I. Quickley 25' 3PT pullup (3 PTS),[1630193],1610612761.0,TOR,pullup,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Right Center,25.58,Made,3.0,,,,,,,,,,,,,,,,,
60,PT06M19.00S,2024-04-13T00:22:32.2Z,1,REGULAR,3pt,Jump Shot,[],1631107,95.74572930354796,2.450980392156863,1610612748,14,13,2024-04-13T00:22:36Z,580000,False,-238.0,-13.0,1,right,MISS N. Jovic 3PT,[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,Left Corner 3,24+ Left,23.8,Missed,,,,,,,,,,,,,,,,,,
61,PT06M16.00S,2024-04-13T00:22:35.2Z,1,REGULAR,rebound,offensive,[],202710,,,1610612748,14,13,2024-04-13T00:22:36Z,590000,False,,,0,,J. Butler REBOUND (Off:1 Def:0),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Left Corner 3,24+ Left,,,,,,60.0,1.0,0.0,1.0,,,,,,,,,,,
62,PT06M10.00S,2024-04-13T00:22:41.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629639,67.09921156373193,54.41176470588235,1610612748,14,13,2024-04-13T01:10:32Z,600000,False,22.0,257.0,1,right,MISS T. Herro 25' 3PT,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Center,25.77,Missed,,,,,,,,,,,,,,,,,,
63,PT06M09.00S,2024-04-13T00:22:42.1Z,1,REGULAR,rebound,defensive,[],1630193,,,1610612761,14,13,2024-04-13T01:10:32Z,610000,False,,,0,,I. Quickley REBOUND (Off:0 Def:2),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Center,,,,,,62.0,2.0,2.0,0.0,,,,,,,,,,,
64,PT06M06.00S,2024-04-13T00:22:51.6Z,1,REGULAR,turnover,out-of-bounds,[],1630193,,,1610612761,14,13,2024-04-13T00:23:06Z,620000,False,,,0,,I. Quickley bad pass out-of-bounds TURNOVER (1 TO),[1630193],1610612761.0,TOR,bad pass,,,Quickley,I. Quickley,,,,,Mid-Range,16-24 Right,,,,1155.0,1.0,,,,,,,,,,,,,,,
66,PT05M47.00S,2024-04-13T00:23:21.2Z,1,REGULAR,substitution,out,[],202710,,,1610612748,14,13,2024-04-13T00:23:33Z,640000,False,,,0,,SUB out: J. Butler,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT05M47.00S,2024-04-13T00:23:21.2Z,1,REGULAR,substitution,in,[],1631170,,,1610612748,14,13,2024-04-13T00:23:33Z,650000,False,,,0,,SUB in: J. Jaquez Jr.,[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M43.00S,2024-04-13T00:23:50.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629639,89.96386333771353,95.34313725490196,1610612748,17,13,2024-04-13T00:24:01Z,660000,False,227.0,42.0,1,right,T. Herro 3PT pullup (3 PTS) (J. Jaquez Jr. 1 AST),"[1629639, 1631170]",1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,Right Corner 3,24+ Right,23.05,Made,3.0,,,,,,,J. Jaquez Jr.,1631170.0,1.0,,,,,,,,
70,PT05M22.00S,2024-04-13T00:24:11.0Z,1,REGULAR,3pt,Jump Shot,[],1641711,31.750985545335087,30.14705882352941,1610612761,17,13,2024-04-13T00:24:42Z,680000,False,99.0,246.0,1,left,MISS G. Dick 26' pullup 3PT,[1641711],1610612761.0,TOR,pullup,,,Dick,G. Dick,,,,,Above the Break 3,24+ Right Center,26.53,Missed,,,,,,,,,,,,,,,,,,
71,PT05M20.00S,2024-04-13T00:24:13.0Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,17,13,2024-04-13T00:24:14Z,690000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:2),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Right Center,,,,,,70.0,2.0,2.0,0.0,,,,,,,,,,,
72,PT05M03.00S,2024-04-13T00:24:30.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631107,94.1688567674113,49.26470588235294,1610612748,17,13,2024-04-13T00:25:10Z,700000,False,-4.0,2.0,1,right,MISS N. Jovic cutting Layup,[1631107],1610612748.0,MIA,cutting,,,Jovic,N. Jovic,,,,,Restricted Area,0-8 Center,0.44,Missed,,,,,,,,,,,,,,,,,,
73,PT05M01.00S,2024-04-13T00:24:32.8Z,1,REGULAR,rebound,offensive,[],1631107,,,1610612748,17,13,2024-04-13T00:24:32Z,710000,False,,,0,,N. Jovic REBOUND (Off:1 Def:2),[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,Restricted Area,0-8 Center,,,,,,72.0,3.0,2.0,1.0,,,,,,,,,,,
74,PT04M59.00S,2024-04-13T00:24:33.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631107,93.38042049934296,49.754901960784316,1610612748,19,13,2024-04-13T00:24:40Z,720000,False,-1.0,10.0,1,right,N. Jovic putback Layup (6 PTS),[1631107],1610612748.0,MIA,putback,,,Jovic,N. Jovic,,,,,Restricted Area,0-8 Center,0.98,Made,6.0,,,,,,,,,,,,,,,,,
75,PT04M48.00S,2024-04-13T00:24:44.9Z,1,REGULAR,3pt,Jump Shot,[],1629018,26.10052562417871,83.33333333333334,1610612761,19,13,2024-04-13T00:24:51Z,730000,False,-167.0,193.0,1,left,MISS G. Trent Jr. 25' 3PT,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,Above the Break 3,24+ Left Center,25.49,Missed,,,,,,,,,,,,,,,,,,
76,PT04M47.00S,2024-04-13T00:24:45.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612761,19,13,2024-04-13T00:24:51Z,740000,False,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,75.0,,,,,,,,,,,,,,
77,PT04M47.00S,2024-04-13T00:24:52.9Z,1,REGULAR,foul,personal,[],1631107,,,1610612761,19,13,2024-04-13T00:25:02Z,750000,False,,,0,,N. Jovic loose ball personal FOUL (1 PF),"[1631107, 203482]",1610612748.0,MIA,loose ball,,,Jovic,N. Jovic,,,,,Restricted Area,0-8 Center,,,,201639.0,,,,,,,,,1.0,0.0,Olynyk,203482.0,,,,
79,PT04M47.00S,2024-04-13T00:25:02.6Z,1,REGULAR,substitution,out,[],1641711,,,1610612761,19,13,2024-04-13T00:25:09Z,770000,False,,,0,,SUB out: G. Dick,[1641711],1610612761.0,TOR,,,,Dick,G. Dick,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT04M47.00S,2024-04-13T00:25:02.6Z,1,REGULAR,substitution,in,[],1628971,,,1610612761,19,13,2024-04-13T00:25:09Z,780000,False,,,0,,SUB in: B. Brown,[1628971],1610612761.0,TOR,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M35.00S,2024-04-13T00:25:44.2Z,1,REGULAR,foul,personal,['2freethrow'],1628997,,,1610612761,19,13,2024-04-13T00:26:10Z,830000,False,,,0,,C. Martin shooting personal FOUL (1 PF) (Quickley 2 FT),"[1628997, 1630193]",1610612748.0,MIA,shooting,,,Martin,C. Martin,,,,,Mid-Range,8-16 Right,,,,1155.0,,,,,,,,,1.0,0.0,Quickley,1630193.0,,,,
87,PT04M35.00S,2024-04-13T00:26:16.4Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630193,,,1610612761,19,14,2024-04-13T00:26:16Z,850000,False,,,0,,I. Quickley Free Throw 1 of 2 (4 PTS),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
88,PT04M35.00S,2024-04-13T00:26:21.2Z,1,REGULAR,substitution,out,[],203482,,,1610612761,19,14,2024-04-13T00:26:33Z,860000,False,,,0,,SUB out: K. Olynyk,[203482],1610612761.0,TOR,,,,Olynyk,K. Olynyk,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M35.00S,2024-04-13T00:26:21.2Z,1,REGULAR,substitution,in,[],1642013,,,1610612761,19,14,2024-04-13T00:26:33Z,870000,False,,,0,,SUB in: M. Williams,[1642013],1610612761.0,TOR,,,,Williams,M. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M35.00S,2024-04-13T00:26:51.3Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630193,,,1610612761,19,15,2024-04-13T00:26:51Z,880000,False,,,0,,I. Quickley Free Throw 2 of 2 (5 PTS),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
