actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,blockPlayerName,blockPersonId,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
16,PT10M50.00S,2024-01-11T00:42:51.3Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,3,0,2024-01-11T00:42:52Z,160000,False,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Mid-Range,16-24 Center,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT10M39.00S,2024-01-11T00:43:02.0Z,1,REGULAR,3pt,Jump Shot,[],1631170,9.149145860709593,1.4705882352941175,1610612748,6,0,2024-01-11T00:43:06Z,170000,False,243.0,34.0,1,left,J. Jaquez Jr. 24' 3PT  (3 PTS) (B. Adebayo 1 AST),"[1631170, 1628389]",1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Right Corner 3,24+ Right,24.49,Made,,,,,3.0,B. Adebayo,1628389.0,1.0,,,,,,,,,,
19,PT10M21.00S,2024-01-11T00:43:19.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,85.62746386333771,57.84313725490197,1610612760,6,2,2024-01-11T00:56:11Z,190000,False,39.0,83.0,1,right,S. Gilgeous-Alexander 9' step back Jump Shot (2 PTS),[1628983],1610612760.0,OKC,step back,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),8-16 Center,9.14,Made,,,,,2.0,,,,,,,,,,,,,
20,PT10M09.00S,2024-01-11T00:43:31.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,17.69053876478318,44.11764705882353,1610612748,8,2,2024-01-11T00:43:35Z,200000,False,29.0,114.0,1,left,T. Herro 11' driving floating Jump Shot (2 PTS),[1629639],1610612748.0,MIA,driving floating,,,Herro,T. Herro,,,,,In The Paint (Non-RA),8-16 Center,11.75,Made,,,,,2.0,,,,,,,,,,,,,
21,PT10M01.00S,2024-01-11T00:43:43.3Z,1,REGULAR,turnover,out-of-bounds,[],1631114,,,1610612760,8,2,2024-01-11T00:43:50Z,210000,False,,,0,,J. Williams step out-of-bounds TURNOVER (1 TO),[1631114],1610612760.0,OKC,step,,,Williams,J. Williams,,,,,Mid-Range,8-16 Left,,,,,,,,,,,202041.0,1.0,,,,,,,,
22,PT09M46.00S,2024-01-11T00:44:06.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631107,8.886333771353483,94.6078431372549,1610612748,11,2,2024-01-11T00:44:12Z,220000,False,-223.0,31.0,1,left,N. Jovic 3PT  (3 PTS) (H. Highsmith 1 AST),"[1631107, 1629312]",1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,Left Corner 3,24+ Left,22.51,Made,,,,,3.0,H. Highsmith,1629312.0,1.0,,,,,,,,,,
24,PT09M25.00S,2024-01-11T00:44:28.1Z,1,REGULAR,2pt,Jump Shot,[],1630581,92.46057818659659,22.54901960784314,1610612760,11,4,2024-01-11T00:44:40Z,240000,False,-137.0,18.0,1,right,J. Giddey 13' step back Jump Shot (2 PTS),[1630581],1610612760.0,OKC,step back,,,Giddey,J. Giddey,,,,,Mid-Range,8-16 Left,13.85,Made,,,,,2.0,,,,,,,,,,,,,
25,PT09M13.00S,2024-01-11T00:44:44.5Z,1,REGULAR,foul,technical,['1freethrow'],1628983,,,1610612748,11,4,2024-01-11T00:44:55Z,250000,False,,,0,,S. Gilgeous-Alexander defensive-3-second technical FOUL (1 Tech),[1628983],1610612760.0,OKC,defensive-3-second,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,202007.0,,0.0,1.0,,,,,,
26,PT09M13.00S,2024-01-11T00:45:03.3Z,1,REGULAR,freethrow,1 of 1,[],1629639,,,1610612748,11,4,2024-01-11T00:45:03Z,260000,False,,,0,,MISS T. Herro technical Free Throw 1 of 1,[1629639],1610612748.0,MIA,technical,,,Herro,T. Herro,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
27,PT09M13.00S,2024-01-11T00:45:03.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612748,11,4,2024-01-11T00:45:03Z,270000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,
28,PT09M02.00S,2024-01-11T00:45:27.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,9.280551905387648,58.57843137254902,1610612748,13,4,2024-01-11T00:45:41Z,280000,False,-43.0,35.0,1,left,T. Herro Jump Shot (4 PTS),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,In The Paint (Non-RA),0-8 Center,5.52,Made,,,,,4.0,,,,,,,,,,,,,
29,PT08M53.00S,2024-01-11T00:45:35.8Z,1,REGULAR,2pt,Jump Shot,[],1628983,93.38042049934296,25.98039215686275,1610612760,13,6,2024-01-11T00:56:17Z,290000,False,-120.0,10.0,1,right,S. Gilgeous-Alexander 12' step back Jump Shot (4 PTS),[1628983],1610612760.0,OKC,step back,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Left,12.05,Made,,,,,4.0,,,,,,,,,,,,,
31,PT08M35.00S,2024-01-11T00:46:09.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629312,12.171484888304862,42.64705882352941,1610612748,15,6,2024-01-11T00:46:13Z,310000,False,37.0,62.0,1,left,H. Highsmith 7' driving finger roll Layup (5 PTS) (B. Adebayo 2 AST),"[1629312, 1628389]",1610612748.0,MIA,driving finger roll,,,Highsmith,H. Highsmith,,,,,In The Paint (Non-RA),0-8 Center,7.2,Made,,,,,5.0,B. Adebayo,1628389.0,2.0,,,,,,,,,,
33,PT08M21.00S,2024-01-11T00:46:25.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629652,91.93495400788436,39.950980392156865,1610612760,15,6,2024-01-11T00:46:31Z,330000,False,-50.0,23.0,1,right,MISS L. Dort driving Layup - blocked,"[1629652, 1631107]",1610612760.0,OKC,driving,,,Dort,L. Dort,,,,,In The Paint (Non-RA),0-8 Center,5.53,Missed,,,,,,,,,,,,,Jovic,1631107.0,,,,
34,PT08M21.00S,2024-01-11T00:46:25.8Z,1,REGULAR,block,,[],1631107,,,1610612760,15,6,2024-01-11T00:46:28Z,340000,False,,,0,,N. Jovic BLOCK (1 BLK),[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
35,PT08M21.00S,2024-01-11T00:46:25.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612760,15,6,2024-01-11T00:46:31Z,350000,False,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,33.0,,,,,,,,,,,,,,,,,
37,PT08M14.00S,2024-01-11T00:46:44.6Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1629652,92.85479632063075,80.14705882352942,1610612760,15,6,2024-01-11T00:46:49Z,370000,False,151.0,15.0,1,right,MISS L. Dort 15' pullup Shot,[1629652],1610612760.0,OKC,pullup,,,Dort,L. Dort,,,,,Mid-Range,8-16 Right,15.14,Missed,,,,,,,,,,,,,,,,,,
38,PT08M10.00S,2024-01-11T00:46:48.6Z,1,REGULAR,rebound,defensive,[],1629312,,,1610612748,15,6,2024-01-11T00:46:49Z,380000,False,,,0,,H. Highsmith REBOUND (Off:0 Def:1),[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Mid-Range,8-16 Right,,,37.0,1.0,1.0,0.0,,,,,,,,,,,,,,
39,PT08M03.00S,2024-01-11T00:46:56.0Z,1,REGULAR,3pt,Jump Shot,[],1629312,31.35676741130092,71.81372549019608,1610612748,15,6,2024-01-11T00:47:02Z,390000,False,-109.0,242.0,1,left,MISS H. Highsmith 26' 3PT,[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Above the Break 3,24+ Left Center,26.57,Missed,,,,,,,,,,,,,,,,,,
40,PT07M59.00S,2024-01-11T00:47:00.0Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,15,6,2024-01-11T00:47:02Z,400000,False,,,0,,L. Dort REBOUND (Off:0 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Left Center,,,39.0,1.0,1.0,0.0,,,,,,,,,,,,,,
41,PT07M48.00S,2024-01-11T00:47:10.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631096,90.88370565045992,56.61764705882353,1610612760,15,8,2024-01-11T00:47:21Z,410000,False,33.0,33.0,1,right,C. Holmgren reverse DUNK (2 PTS),[1631096],1610612760.0,OKC,reverse,,,Holmgren,C. Holmgren,,,,,In The Paint (Non-RA),0-8 Center,4.69,Made,,,,,2.0,,,,,,,,,,,,,
42,PT07M37.00S,2024-01-11T00:47:23.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,17.427726675427067,42.64705882352941,1610612748,17,8,2024-01-11T00:47:30Z,420000,False,37.0,111.0,1,left,T. Herro 11' driving floating Jump Shot (6 PTS),[1629639],1610612748.0,MIA,driving floating,,,Herro,T. Herro,,,,,In The Paint (Non-RA),8-16 Center,11.72,Made,,,,,6.0,,,,,,,,,,,,,
43,PT07M37.00S,2024-01-11T00:47:26.5Z,1,REGULAR,foul,personal,['1freethrow'],1629652,,,1610612748,17,8,2024-01-11T00:47:35Z,430000,False,,,0,,L. Dort shooting personal FOUL (1 PF) (Herro 1 FT),"[1629652, 1629639]",1610612760.0,OKC,shooting,,,Dort,L. Dort,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1630886.0,,1.0,0.0,,,Herro,1629639.0,,
45,PT07M37.00S,2024-01-11T00:47:42.2Z,1,REGULAR,substitution,out,[],1629652,,,1610612748,17,8,2024-01-11T00:48:14Z,450000,False,,,0,,SUB out: L. Dort,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT07M37.00S,2024-01-11T00:47:42.2Z,1,REGULAR,substitution,in,[],1641717,,,1610612748,17,8,2024-01-11T00:48:14Z,460000,False,,,0,,SUB in: C. Wallace,[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT07M37.00S,2024-01-11T00:47:58.3Z,1,REGULAR,freethrow,1 of 1,[],1629639,,,1610612748,18,8,2024-01-11T00:47:58Z,470000,False,,,0,,T. Herro Free Throw 1 of 1 (7 PTS),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,Made,,,,,7.0,,,,,,,,,,,,,
48,PT07M26.00S,2024-01-11T00:48:11.5Z,1,REGULAR,turnover,bad pass,[],1631096,,,1610612760,18,8,2024-01-11T00:52:16Z,480000,False,,,0,,C. Holmgren bad pass TURNOVER (1 TO),"[1631096, 1631107]",1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,1.0,,,,,,,Jovic,1631107.0
49,PT07M26.00S,2024-01-11T00:48:11.5Z,1,REGULAR,steal,,[],1631107,,,1610612748,18,8,2024-01-11T00:48:14Z,490000,False,,,0,,N. Jovic STEAL (1 STL),[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
50,PT07M09.00S,2024-01-11T00:48:27.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629312,14.273981603153747,45.09803921568628,1610612748,18,8,2024-01-11T00:56:35Z,500000,False,25.0,82.0,1,left,MISS H. Highsmith 8' turnaround Shot,[1629312],1610612748.0,MIA,turnaround,,,Highsmith,H. Highsmith,,,,,In The Paint (Non-RA),8-16 Center,8.53,Missed,,,,,,,,,,,,,,,,,,
51,PT07M06.00S,2024-01-11T00:48:30.9Z,1,REGULAR,rebound,defensive,[],1631114,,,1610612760,18,8,2024-01-11T00:48:33Z,510000,False,,,0,,J. Williams REBOUND (Off:0 Def:1),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,In The Paint (Non-RA),8-16 Center,,,50.0,1.0,1.0,0.0,,,,,,,,,,,,,,
52,PT06M56.00S,2024-01-11T00:48:43.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1631096,88.25558475689881,53.431372549019606,1610612760,18,10,2024-01-11T00:49:23Z,520000,False,17.0,58.0,1,right,C. Holmgren 6' driving Hook (4 PTS) (J. Williams 1 AST),"[1631096, 1631114]",1610612760.0,OKC,driving,,,Holmgren,C. Holmgren,,,,,In The Paint (Non-RA),0-8 Center,6.04,Made,,,,,4.0,J. Williams,1631114.0,1.0,,,,,,,,,,
54,PT06M56.00S,2024-01-11T00:48:48.3Z,1,REGULAR,foul,personal,['1freethrow'],1631170,,,1610612760,18,10,2024-01-11T00:48:58Z,540000,False,,,0,,J. Jaquez Jr. shooting personal FOUL (1 PF) (Holmgren 1 FT),"[1631170, 1631096]",1610612748.0,MIA,shooting,,,Jaquez Jr.,J. Jaquez Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1630886.0,,1.0,0.0,,,Holmgren,1631096.0,,
56,PT06M56.00S,2024-01-11T00:49:01.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,18,10,2024-01-11T00:52:16Z,560000,False,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M56.00S,2024-01-11T00:49:27.5Z,1,REGULAR,substitution,out,[],1630581,,,1610612760,18,10,2024-01-11T00:52:16Z,570000,False,,,0,,SUB out: J. Giddey,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M56.00S,2024-01-11T00:49:27.5Z,1,REGULAR,substitution,out,[],1631114,,,1610612760,18,10,2024-01-11T00:52:16Z,580000,False,,,0,,SUB out: J. Williams,[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M56.00S,2024-01-11T00:49:27.5Z,1,REGULAR,substitution,in,[],1629026,,,1610612760,18,10,2024-01-11T00:52:16Z,590000,False,,,0,,SUB in: K. Williams,[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M56.00S,2024-01-11T00:49:27.5Z,1,REGULAR,substitution,in,[],1630198,,,1610612760,18,10,2024-01-11T00:52:16Z,600000,False,,,0,,SUB in: I. Joe,[1630198],1610612760.0,OKC,,,,Joe,I. Joe,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M56.00S,2024-01-11T00:52:05.2Z,1,REGULAR,freethrow,1 of 1,[],1631096,,,1610612760,18,11,2024-01-11T00:52:05Z,610000,False,,,0,,C. Holmgren Free Throw 1 of 1 (5 PTS),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
62,PT06M46.00S,2024-01-11T00:52:18.7Z,1,REGULAR,turnover,lost ball,[],1631107,,,1610612748,18,11,2024-01-11T00:52:23Z,620000,False,,,0,,N. Jovic lost ball TURNOVER (1 TO),"[1631107, 1628983]",1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,1.0,,,,,,,Gilgeous-Alexander,1628983.0
63,PT06M46.00S,2024-01-11T00:52:18.7Z,1,REGULAR,steal,,[],1628983,,,1610612760,18,11,2024-01-11T00:52:21Z,630000,False,,,0,,S. Gilgeous-Alexander STEAL (1 STL),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
64,PT06M39.00S,2024-01-11T00:52:25.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628983,89.96386333771353,55.63725490196079,1610612760,18,13,2024-01-11T00:52:32Z,640000,False,28.0,42.0,1,right,S. Gilgeous-Alexander running finger roll Layup (6 PTS),[1628983],1610612760.0,OKC,running finger roll,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),0-8 Center,5.04,Made,,,,,6.0,,,,,,,,,,,,,
65,PT06M18.00S,2024-01-11T00:52:45.6Z,1,REGULAR,3pt,Jump Shot,[],1629312,20.18725361366623,92.64705882352942,1610612748,21,13,2024-01-11T00:52:59Z,650000,False,-213.0,137.0,1,left,H. Highsmith 25' 3PT  (8 PTS) (N. Jovic 1 AST),"[1629312, 1631107]",1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Above the Break 3,24+ Left Center,25.36,Made,,,,,8.0,N. Jovic,1631107.0,1.0,,,,,,,,,,
67,PT06M02.00S,2024-01-11T00:53:01.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,89.83245729303549,56.86274509803921,1610612760,21,13,2024-01-11T00:55:40Z,670000,False,34.0,43.0,1,right,MISS S. Gilgeous-Alexander driving Layup,[1628983],1610612760.0,OKC,driving,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),0-8 Center,5.51,Missed,,,,,,,,,,,,,,,,,,
68,PT05M59.00S,2024-01-11T00:53:04.5Z,1,REGULAR,rebound,defensive,[],1631170,,,1610612748,21,13,2024-01-11T00:53:07Z,680000,False,,,0,,J. Jaquez Jr. REBOUND (Off:0 Def:1),[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,67.0,1.0,1.0,0.0,,,,,,,,,,,,,,
69,PT05M48.00S,2024-01-11T00:53:16.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,14.536793692509855,45.83333333333333,1610612748,23,13,2024-01-11T00:53:21Z,690000,False,21.0,84.0,1,left,B. Adebayo 8' fadeaway Jump Shot (2 PTS),[1628389],1610612748.0,MIA,fadeaway,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,8.66,Made,,,,,2.0,,,,,,,,,,,,,
70,PT05M34.00S,2024-01-11T00:53:34.0Z,1,REGULAR,foul,personal,[],1629639,,,1610612760,23,13,2024-01-11T00:53:50Z,700000,False,,,0,,T. Herro personal FOUL (1 PF),"[1629639, 1641717]",1610612748.0,MIA,,,,Herro,T. Herro,,,,,Mid-Range,16-24 Left,,,,,,,,,,,202007.0,,1.0,0.0,,,Wallace,1641717.0,,
72,PT05M34.00S,2024-01-11T00:53:41.4Z,1,REGULAR,substitution,out,[],1631170,,,1610612760,23,13,2024-01-11T00:53:46Z,720000,False,,,0,,SUB out: J. Jaquez Jr.,[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M34.00S,2024-01-11T00:53:41.4Z,1,REGULAR,substitution,in,[],1626196,,,1610612760,23,13,2024-01-11T00:53:46Z,730000,False,,,0,,SUB in: J. Richardson,[1626196],1610612748.0,MIA,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M34.00S,2024-01-11T00:53:41.4Z,1,REGULAR,substitution,out,[],1631096,,,1610612760,23,13,2024-01-11T00:55:12Z,735000,False,,,0,,SUB out: C. Holmgren,[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M34.00S,2024-01-11T00:53:41.4Z,1,REGULAR,substitution,in,[],1631119,,,1610612760,23,13,2024-01-11T00:55:12Z,737500,False,,,0,,SUB in: J. Williams,[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M34.00S,2024-01-11T00:53:49.6Z,1,REGULAR,substitution,out,[],1628389,,,1610612760,23,13,2024-01-11T00:54:02Z,740000,False,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M34.00S,2024-01-11T00:53:49.6Z,1,REGULAR,substitution,in,[],201567,,,1610612760,23,13,2024-01-11T00:54:02Z,750000,False,,,0,,SUB in: K. Love,[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M27.00S,2024-01-11T00:54:17.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630198,90.22667542706965,54.90196078431373,1610612760,23,15,2024-01-11T00:54:25Z,760000,False,25.0,39.0,1,right,I. Joe Layup (2 PTS) (J. Williams 1 AST),"[1630198, 1631119]",1610612760.0,OKC,,,,Joe,I. Joe,,,,,In The Paint (Non-RA),0-8 Center,4.64,Made,,,,,2.0,J. Williams,1631119.0,1.0,,,,,,,,,,
79,PT05M07.00S,2024-01-11T00:54:45.4Z,1,REGULAR,3pt,Jump Shot,[],1631107,34.247700394218136,63.48039215686274,1610612748,23,15,2024-01-11T00:58:19Z,790000,False,-67.0,269.0,1,left,MISS N. Jovic 27' 3PT,[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,Above the Break 3,24+ Center,27.77,Missed,,,,,,,,,,,,,,,,,,
80,PT05M04.00S,2024-01-11T00:54:48.4Z,1,REGULAR,rebound,defensive,[],1630198,,,1610612760,23,15,2024-01-11T00:58:19Z,800000,False,,,0,,I. Joe REBOUND (Off:0 Def:1),[1630198],1610612760.0,OKC,,,,Joe,I. Joe,,,,,Above the Break 3,24+ Center,,,79.0,1.0,1.0,0.0,,,,,,,,,,,,,,
81,PT04M47.00S,2024-01-11T00:54:57.1Z,1,REGULAR,3pt,Jump Shot,[],1630198,68.67608409986859,68.62745098039215,1610612760,23,15,2024-01-11T00:58:40Z,810000,False,93.0,242.0,1,right,MISS I. Joe 25' pullup 3PT,[1630198],1610612760.0,OKC,pullup,,,Joe,I. Joe,,,,,Above the Break 3,24+ Right Center,25.92,Missed,,,,,,,,,,,,,,,,,,
