actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
19,PT10M23.00S,2023-03-28T23:34:17.5Z,1,REGULAR,foul,personal,['2freethrow'],1627783,,,1610612748,2,5,2023-03-28T23:34:28Z,190000,False,,,0,,P. Siakam shooting personal FOUL (1 PF) (Oladipo 2 FT),"[1627783, 203506]",1610612761.0,TOR,shooting,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1162.0,1.0,0.0,Oladipo,203506.0
21,PT10M23.00S,2023-03-28T23:34:41.1Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],203506,,,1610612748,2,6,2023-03-28T23:34:41Z,210000,False,,,0,,V. Oladipo Free Throw 1 of 2 (1 PTS),[203506],1610612748.0,MIA,,,,Oladipo,V. Oladipo,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
22,PT10M23.00S,2023-03-28T23:34:55.6Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],203506,,,1610612748,2,7,2023-03-28T23:34:55Z,220000,False,,,0,,V. Oladipo Free Throw 2 of 2 (2 PTS),[203506],1610612748.0,MIA,,,,Oladipo,V. Oladipo,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
23,PT10M01.00S,2023-03-28T23:35:18.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627751,87.59855453350855,47.794117647058826,1610612761,2,7,2023-03-28T23:35:25Z,230000,False,-11.0,64.0,1,right,MISS J. Poeltl 6' driving Hook,[1627751],1610612761.0,TOR,driving,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,6.5,Missed,,,,,,,,,,,,,,,,,,
24,PT09M59.00S,2023-03-28T23:35:20.7Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,2,7,2023-03-28T23:35:25Z,240000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,,,
26,PT09M43.00S,2023-03-28T23:35:54.7Z,1,REGULAR,3pt,Jump Shot,[],1629639,33.327858081471746,51.470588235294116,1610612748,2,10,2023-03-28T23:36:01Z,260000,False,-7.0,261.0,1,left,T. Herro 26' 3PT pullup (3 PTS) (B. Adebayo 1 AST),"[1629639, 1628389]",1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,Above the Break 3,24+ Center,26.09,Made,3.0,,,,,,,B. Adebayo,1628389.0,1.0,,,,,,,,
27,PT09M31.00S,2023-03-28T23:36:05.9Z,1,REGULAR,3pt,Jump Shot,[],1627832,66.5735873850197,43.13725490196079,1610612761,2,10,2023-03-28T23:36:19Z,270000,False,-34.0,262.0,1,right,MISS F. VanVleet 26' step back 3PT,[1627832],1610612761.0,TOR,step back,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Center,26.39,Missed,,,,,,,,,,,,,,,,,,
28,PT09M28.00S,2023-03-28T23:36:08.9Z,1,REGULAR,rebound,defensive,[],1629216,,,1610612748,2,10,2023-03-28T23:36:19Z,280000,False,,,0,,G. Vincent REBOUND (Off:0 Def:1),[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,Above the Break 3,24+ Center,,,,,,27.0,1.0,1.0,0.0,,,,,,,,,,,
29,PT09M19.00S,2023-03-28T23:36:21.2Z,1,REGULAR,foul,personal,['2freethrow'],1627751,,,1610612748,2,10,2023-03-28T23:36:33Z,290000,False,,,0,,J. Poeltl shooting personal FOUL (1 PF) (Adebayo 2 FT),"[1627751, 1628389]",1610612761.0,TOR,shooting,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,200833.0,1.0,0.0,Adebayo,1628389.0
31,PT09M19.00S,2023-03-28T23:36:53.0Z,1,REGULAR,freethrow,1 of 2,[],1628389,,,1610612748,2,11,2023-03-28T23:36:53Z,310000,False,,,0,,B. Adebayo Free Throw 1 of 2 (3 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
32,PT09M19.00S,2023-03-28T23:37:13.1Z,1,REGULAR,freethrow,2 of 2,[],1628389,,,1610612748,2,12,2023-03-28T23:37:13Z,320000,False,,,0,,B. Adebayo Free Throw 2 of 2 (4 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
34,PT09M09.00S,2023-03-28T23:37:25.0Z,1,REGULAR,2pt,Jump Shot,[],1630567,89.43823915900131,19.362745098039216,1610612761,2,12,2023-03-28T23:37:31Z,330000,False,-153.0,47.0,1,right,MISS S. Barnes 16' turnaround fadeaway Shot,[1630567],1610612761.0,TOR,turnaround fadeaway,,,Barnes,S. Barnes,,,,,Mid-Range,8-16 Left,16.02,Missed,,,,,,,,,,,,,,,,,,
35,PT09M05.00S,2023-03-28T23:37:29.0Z,1,REGULAR,rebound,defensive,[],201567,,,1610612748,2,12,2023-03-28T23:37:31Z,340000,False,,,0,,K. Love REBOUND (Off:0 Def:2),[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,Mid-Range,8-16 Left,,,,,,34.0,2.0,2.0,0.0,,,,,,,,,,,
36,PT08M52.00S,2023-03-28T23:37:42.9Z,1,REGULAR,turnover,out-of-bounds,[],203506,,,1610612748,2,12,2023-03-28T23:37:51Z,350000,False,,,0,,V. Oladipo bad pass out-of-bounds TURNOVER (1 TO),[203506],1610612748.0,MIA,bad pass,,,Oladipo,V. Oladipo,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,1.0,,,200833.0,,,,
37,PT08M38.00S,2023-03-28T23:38:04.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627832,78.0059132720105,7.107843137254902,1610612761,2,12,2023-03-28T23:38:12Z,360000,False,-214.0,154.0,1,right,MISS F. VanVleet 26' 3PT,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Left Center,26.42,Missed,,,,,,,,,,,,,,,,,,
38,PT08M34.00S,2023-03-28T23:38:08.7Z,1,REGULAR,rebound,offensive,[],1630567,,,1610612761,2,12,2023-03-28T23:38:12Z,370000,False,,,0,,S. Barnes REBOUND (Off:1 Def:0),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Left Center,,,,,,37.0,1.0,0.0,1.0,,,,,,,,,,,
39,PT08M34.00S,2023-03-28T23:38:09.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630567,94.40999984741211,50.0,1610612761,4,12,2023-03-28T23:38:09Z,380000,False,0.0,0.0,1,right,S. Barnes putback Layup (4 PTS),[1630567],1610612761.0,TOR,putback,,,Barnes,S. Barnes,,,,,Mid-Range,8-16 Left,0.0,Made,4.0,,,,,,,,,,,,,,,,,
40,PT08M26.00S,2023-03-28T23:38:17.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628389,7.178055190538765,49.50980392156863,1610612748,4,14,2023-03-28T23:38:23Z,390000,False,2.0,15.0,1,left,B. Adebayo cutting DUNK (6 PTS) (G. Vincent 1 AST),"[1628389, 1629216]",1610612748.0,MIA,cutting,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,1.52,Made,6.0,,,,,,,G. Vincent,1629216.0,1.0,,,,,,,,
42,PT08M26.00S,2023-03-28T23:38:22.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,4,14,2023-03-28T23:38:22Z,410000,False,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT08M08.00S,2023-03-28T23:41:55.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627783,88.64980289093299,50.0,1610612761,4,14,2023-03-28T23:42:01Z,420000,False,0.0,54.0,1,right,MISS P. Siakam driving Hook,[1627783],1610612761.0,TOR,driving,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,5.42,Missed,,,,,,,,,,,,,,,,,,
44,PT08M05.00S,2023-03-28T23:41:58.1Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612761,4,14,2023-03-28T23:42:01Z,430000,False,,,0,,J. Poeltl REBOUND (Off:1 Def:0),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,,,,,,43.0,1.0,0.0,1.0,,,,,,,,,,,
45,PT08M05.00S,2023-03-28T23:41:58.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627751,94.40999984741211,50.0,1610612761,4,14,2023-03-28T23:41:58Z,440000,False,0.0,0.0,1,right,MISS J. Poeltl tip Layup,[1627751],1610612761.0,TOR,tip,,,Poeltl,J. Poeltl,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
46,PT08M04.00S,2023-03-28T23:41:59.2Z,1,REGULAR,rebound,defensive,[],201567,,,1610612748,4,14,2023-03-28T23:41:59Z,450000,False,,,0,,K. Love REBOUND (Off:0 Def:3),[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,Mid-Range,8-16 Left,,,,,,45.0,3.0,3.0,0.0,,,,,,,,,,,
47,PT07M53.00S,2023-03-28T23:42:10.0Z,1,REGULAR,turnover,lost ball,[],1629639,,,1610612748,4,14,2023-03-28T23:42:17Z,460000,False,,,0,,T. Herro lost ball TURNOVER (2 TO),"[1629639, 1628384]",1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,2.0,Anunoby,1628384.0,,,,,
48,PT07M53.00S,2023-03-28T23:42:10.0Z,1,REGULAR,steal,,[],1628384,,,1610612761,4,14,2023-03-28T23:42:11Z,470000,False,,,0,,O. Anunoby STEAL (1 STL),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
49,PT07M50.00S,2023-03-28T23:42:13.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628384,94.82588699080158,50.0,1610612761,6,14,2023-03-28T23:42:23Z,480000,False,0.0,-4.0,1,right,O. Anunoby running DUNK (2 PTS),[1628384],1610612761.0,TOR,running,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,0.39,Made,2.0,,,,,,,,,,,,,,,,,
50,PT07M26.00S,2023-03-28T23:42:36.6Z,1,REGULAR,3pt,Jump Shot,[],1629216,5.206964520367937,96.56862745098039,1610612748,6,14,2023-03-28T23:42:41Z,490000,False,-233.0,-4.0,1,left,MISS G. Vincent 3PT,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,Left Corner 3,24+ Left,23.28,Missed,,,,,,,,,,,,,,,,,,
51,PT07M24.00S,2023-03-28T23:42:38.6Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,6,14,2023-03-28T23:42:41Z,500000,False,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Left Corner 3,24+ Left,,,,,,50.0,1.0,1.0,0.0,,,,,,,,,,,
52,PT07M20.00S,2023-03-28T23:42:43.9Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1630567,84.83902759526939,77.69607843137256,1610612761,8,14,2023-03-28T23:42:54Z,510000,False,138.0,90.0,1,right,S. Barnes 16' running pullup Jump Shot (6 PTS) (P. Siakam 1 AST),"[1630567, 1627783]",1610612761.0,TOR,running pullup,,,Barnes,S. Barnes,,,,,Mid-Range,16-24 Right,16.52,Made,6.0,,,,,,,P. Siakam,1627783.0,1.0,,,,,,,,
54,PT06M56.00S,2023-03-28T23:43:07.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,12.828515111695138,54.41176470588235,1610612748,8,14,2023-03-28T23:43:13Z,530000,False,-22.0,68.0,1,left,MISS T. Herro 7' driving floating bank Shot,[1629639],1610612748.0,MIA,driving floating bank,,,Herro,T. Herro,,,,,In The Paint (Non-RA),0-8 Center,7.16,Missed,,,,,,,,,,,,,,,,,,
55,PT06M54.00S,2023-03-28T23:43:09.0Z,1,REGULAR,rebound,offensive,[],1629216,,,1610612748,8,14,2023-03-28T23:43:13Z,540000,False,,,0,,G. Vincent REBOUND (Off:1 Def:1),[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,In The Paint (Non-RA),0-8 Center,,,,,,54.0,2.0,1.0,1.0,,,,,,,,,,,
56,PT06M48.00S,2023-03-28T23:43:15.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629216,20.97568988173456,7.598039215686274,1610612748,8,14,2023-03-28T23:43:20Z,550000,False,212.0,145.0,1,left,MISS G. Vincent 25' 3PT,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,Above the Break 3,24+ Right Center,25.67,Missed,,,,,,,,,,,,,,,,,,
57,PT06M45.00S,2023-03-28T23:43:18.6Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612761,8,14,2023-03-28T23:43:20Z,560000,False,,,0,,J. Poeltl REBOUND (Off:1 Def:1),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Above the Break 3,24+ Right Center,,,,,,56.0,2.0,1.0,1.0,,,,,,,,,,,
58,PT06M39.00S,2023-03-28T23:43:24.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628384,86.02168199737189,2.941176470588235,1610612761,8,14,2023-03-28T23:43:32Z,570000,False,-235.0,79.0,1,right,MISS O. Anunoby 24' running 3PT,[1628384],1610612761.0,TOR,running,,,Anunoby,O. Anunoby,,,,,Left Corner 3,24+ Left,24.82,Missed,,,,,,,,,,,,,,,,,,
59,PT06M36.00S,2023-03-28T23:43:27.3Z,1,REGULAR,rebound,defensive,[],201567,,,1610612748,8,14,2023-03-28T23:43:32Z,580000,False,,,0,,K. Love REBOUND (Off:0 Def:4),[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,Left Corner 3,24+ Left,,,,,,58.0,4.0,4.0,0.0,,,,,,,,,,,
60,PT06M19.00S,2023-03-28T23:43:44.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629216,7.703679369250986,53.92156862745098,1610612748,8,14,2023-03-28T23:46:12Z,590000,False,-20.0,20.0,1,left,MISS G. Vincent driving reverse Layup,[1629216],1610612748.0,MIA,driving reverse,,,Vincent,G. Vincent,,,,,Restricted Area,0-8 Center,2.79,Missed,,,,,,,,,,,,,,,,,,
61,PT06M17.00S,2023-03-28T23:43:46.7Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612761,8,14,2023-03-28T23:43:49Z,600000,False,,,0,,J. Poeltl REBOUND (Off:1 Def:2),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,,,60.0,3.0,2.0,1.0,,,,,,,,,,,
62,PT06M07.00S,2023-03-28T23:43:58.1Z,1,REGULAR,foul,personal,['2freethrow'],201567,,,1610612761,8,14,2023-03-28T23:44:07Z,610000,False,,,0,,K. Love shooting personal FOUL (1 PF) (Siakam 2 FT),"[201567, 1627783]",1610612748.0,MIA,shooting,,,Love,K. Love,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1162.0,1.0,0.0,Siakam,1627783.0
64,PT06M07.00S,2023-03-28T23:44:30.8Z,1,REGULAR,freethrow,1 of 2,[],1627783,,,1610612761,9,14,2023-03-28T23:44:30Z,630000,False,,,0,,P. Siakam Free Throw 1 of 2 (1 PTS),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
65,PT06M07.00S,2023-03-28T23:44:31.7Z,1,REGULAR,substitution,out,[],1629639,,,1610612761,9,14,2023-03-28T23:44:35Z,640000,False,,,0,,SUB out: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M07.00S,2023-03-28T23:44:31.7Z,1,REGULAR,substitution,in,[],1629622,,,1610612761,9,14,2023-03-28T23:44:35Z,650000,False,,,0,,SUB in: M. Strus,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M07.00S,2023-03-28T23:44:51.4Z,1,REGULAR,freethrow,2 of 2,[],1627783,,,1610612761,10,14,2023-03-28T23:44:51Z,660000,False,,,0,,P. Siakam Free Throw 2 of 2 (2 PTS),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
68,PT05M44.00S,2023-03-28T23:45:16.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628389,12.828515111695138,41.42156862745098,1610612748,10,16,2023-03-28T23:45:21Z,670000,False,43.0,68.0,1,left,B. Adebayo 8' driving Hook (8 PTS),[1628389],1610612748.0,MIA,driving,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,8.05,Made,8.0,,,,,,,,,,,,,,,,,
69,PT05M31.00S,2023-03-28T23:45:29.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627832,92.32917214191852,57.35294117647059,1610612761,12,16,2023-03-28T23:45:34Z,680000,False,37.0,20.0,1,right,F. VanVleet driving Layup (2 PTS),[1627832],1610612761.0,TOR,driving,,,VanVleet,F. VanVleet,,,,,Restricted Area,0-8 Center,4.17,Made,2.0,,,,,,,,,,,,,,,,,
70,PT05M11.00S,2023-03-28T23:45:49.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201567,12.040078843626807,49.50980392156863,1610612748,12,16,2023-03-28T23:46:19Z,690000,False,2.0,61.0,1,left,MISS K. Love 6' turnaround Shot - blocked,"[201567, 1627832]",1610612748.0,MIA,turnaround,,,Love,K. Love,,,,,In The Paint (Non-RA),0-8 Center,6.08,Missed,,VanVleet,1627832.0,,,,,,,,,,,,,,,
71,PT05M11.00S,2023-03-28T23:45:49.4Z,1,REGULAR,block,,[],1627832,,,1610612748,12,16,2023-03-28T23:45:52Z,700000,False,,,0,,F. VanVleet BLOCK (1 BLK),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
72,PT05M08.00S,2023-03-28T23:45:52.4Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612761,12,16,2023-03-28T23:45:55Z,710000,False,,,0,,J. Poeltl REBOUND (Off:1 Def:3),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,,,,,,70.0,4.0,3.0,1.0,,,,,,,,,,,
73,PT05M06.00S,2023-03-28T23:45:54.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630567,70.90998685939553,75.49019607843137,1610612761,12,16,2023-03-28T23:48:34Z,720000,False,127.0,221.0,1,right,MISS S. Barnes 25' running pullup 3PT,[1630567],1610612761.0,TOR,running pullup,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Right Center,25.51,Missed,,,,,,,,,,,,,,,,,,
74,PT05M03.00S,2023-03-28T23:45:57.3Z,1,REGULAR,rebound,offensive,[],1628384,,,1610612761,12,16,2023-03-28T23:45:57Z,730000,False,,,0,,O. Anunoby REBOUND (Off:1 Def:0),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Right Center,,,,,,73.0,1.0,0.0,1.0,,,,,,,,,,,
75,PT05M03.00S,2023-03-28T23:46:00.1Z,1,REGULAR,foul,personal,[],203506,,,1610612761,12,16,2023-03-28T23:46:04Z,740000,False,,,0,,V. Oladipo personal FOUL (1 PF),"[203506, 1627783]",1610612748.0,MIA,,,,Oladipo,V. Oladipo,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,101283.0,1.0,0.0,Siakam,1627783.0
77,PT05M03.00S,2023-03-28T23:46:14.6Z,1,REGULAR,substitution,out,[],1630567,,,1610612761,12,16,2023-03-28T23:46:22Z,760000,False,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M03.00S,2023-03-28T23:46:14.6Z,1,REGULAR,substitution,in,[],1628449,,,1610612761,12,16,2023-03-28T23:46:22Z,770000,False,,,0,,SUB in: C. Boucher,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT04M54.00S,2023-03-28T23:46:35.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628449,67.36202365308804,47.05882352941176,1610612761,12,16,2023-03-28T23:46:41Z,780000,False,-15.0,254.0,1,right,MISS C. Boucher 25' 3PT,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,Above the Break 3,24+ Center,25.47,Missed,,,,,,,,,,,,,,,,,,
80,PT04M51.00S,2023-03-28T23:46:38.7Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,12,16,2023-03-28T23:46:41Z,790000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:2),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Center,,,,,,79.0,2.0,2.0,0.0,,,,,,,,,,,
