actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
29,PT09M25.00S,2022-12-31T00:44:36.8Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1629018,,,1610612761,10,5,2022-12-31T00:44:36Z,290000,False,,,0,,G. Trent Jr. Free Throw 2 of 2 (2 PTS),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,Made,,,,,,,2.0,,,,,,,,,,,
30,PT09M09.00S,2022-12-31T00:44:56.8Z,1,REGULAR,2pt,Jump Shot,[],1629006,91.5407358738502,84.06862745098039,1610612756,10,7,2022-12-31T00:45:01Z,300000,False,170.0,27.0,1,right,J. Okogie 17' step back Jump Shot (4 PTS) (C. Paul 2 AST),"[1629006, 101108]",1610612756.0,PHX,step back,,,Okogie,J. Okogie,,,,,Mid-Range,16-24 Right,17.24,Made,,,,,,,4.0,C. Paul,101108.0,2.0,,,,,,,,
32,PT08M47.00S,2022-12-31T00:45:18.3Z,1,REGULAR,2pt,Jump Shot,[],1627783,19.136005256241788,19.11764705882353,1610612761,10,7,2022-12-31T00:45:23Z,320000,False,154.0,127.0,1,left,MISS P. Siakam 20' pullup Shot,[1627783],1610612761.0,TOR,pullup,,,Siakam,P. Siakam,,,,,Mid-Range,16-24 Right Center,20.02,Missed,,,,,,,,,,,,,,,,,,
33,PT08M43.00S,2022-12-31T00:45:22.3Z,1,REGULAR,rebound,defensive,[],1628470,,,1610612756,10,7,2022-12-31T00:45:23Z,330000,False,,,0,,T. Craig REBOUND (Off:0 Def:2),[1628470],1610612756.0,PHX,,,,Craig,T. Craig,,,,,Mid-Range,16-24 Right Center,,,,,32.0,2.0,2.0,0.0,,,,,,,,,,,,
34,PT08M34.00S,2022-12-31T00:45:31.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628470,93.51182654402102,48.529411764705884,1610612756,10,9,2022-12-31T00:45:36Z,340000,False,-7.0,8.0,1,right,T. Craig Layup (5 PTS) (D. Ayton 1 AST),"[1628470, 1629028]",1610612756.0,PHX,,,,Craig,T. Craig,,,,,Restricted Area,0-8 Center,1.13,Made,,,,,,,5.0,D. Ayton,1629028.0,1.0,,,,,,,,
36,PT08M16.00S,2022-12-31T00:45:49.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631132,7.440867279894875,53.67647058823529,1610612761,12,9,2022-12-31T00:45:54Z,360000,False,-18.0,17.0,1,left,C. Koloko cutting finger roll Layup (2 PTS) (O. Anunoby 1 AST),"[1631132, 1628384]",1610612761.0,TOR,cutting finger roll,,,Koloko,C. Koloko,,,,,Restricted Area,0-8 Center,2.53,Made,,,,,,,2.0,O. Anunoby,1628384.0,1.0,,,,,,,,
38,PT07M50.00S,2022-12-31T00:46:15.2Z,1,REGULAR,turnover,bad pass,[],101108,,,1610612756,12,9,2022-12-31T00:46:19Z,380000,False,,,0,,C. Paul bad pass TURNOVER (2 TO),"[101108, 1631132]",1610612756.0,PHX,,,,Paul,C. Paul,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,2.0,Koloko,1631132.0,,,,
39,PT07M50.00S,2022-12-31T00:46:15.2Z,1,REGULAR,steal,,[],1631132,,,1610612761,12,9,2022-12-31T00:46:17Z,390000,False,,,0,,C. Koloko STEAL (1 STL),[1631132],1610612761.0,TOR,,,,Koloko,C. Koloko,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
40,PT07M45.00S,2022-12-31T00:46:22.8Z,1,REGULAR,foul,personal,[],1628470,,,1610612761,12,9,2022-12-31T00:46:33Z,400000,False,,,0,,T. Craig personal FOUL (1 PF),"[1628470, 1627783]",1610612756.0,PHX,,,,Craig,T. Craig,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,201639.0,,,,1.0,0.0,Siakam,1627783.0
42,PT07M38.00S,2022-12-31T00:46:51.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629018,28.86005256241787,74.50980392156863,1610612761,12,9,2022-12-31T00:46:55Z,420000,False,-123.0,219.0,1,left,MISS G. Trent Jr. 25' 3PT,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,Above the Break 3,24+ Left Center,25.08,Missed,,,,,,,,,,,,,,,,,,
43,PT07M35.00S,2022-12-31T00:46:54.2Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,12,9,2022-12-31T00:46:55Z,430000,False,,,0,,D. Ayton REBOUND (Off:1 Def:1),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,Above the Break 3,24+ Left Center,,,,,42.0,2.0,1.0,1.0,,,,,,,,,,,,
44,PT07M25.00S,2022-12-31T00:47:03.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629028,89.30683311432325,58.82352941176471,1610612756,12,9,2022-12-31T00:47:08Z,440000,False,44.0,48.0,1,right,MISS D. Ayton 6' turnaround Hook,[1629028],1610612756.0,PHX,turnaround,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),0-8 Center,6.52,Missed,,,,,,,,,,,,,,,,,,
45,PT07M22.00S,2022-12-31T00:47:06.6Z,1,REGULAR,rebound,defensive,[],1629018,,,1610612761,12,9,2022-12-31T00:47:08Z,450000,False,,,0,,G. Trent Jr. REBOUND (Off:0 Def:1),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,44.0,1.0,1.0,0.0,,,,,,,,,,,,
50,PT07M11.00S,2022-12-31T00:47:35.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628384,6.783837056504599,50.49019607843137,1610612761,14,9,2022-12-31T00:48:41Z,500000,False,-2.0,11.0,1,left,O. Anunoby driving reverse Layup (5 PTS),[1628384],1610612761.0,TOR,driving reverse,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,1.16,Made,,,,,,,5.0,,,,,,,,,,,
51,PT07M05.00S,2022-12-31T00:47:43.9Z,1,REGULAR,foul,personal,['2freethrow'],1631132,,,1610612756,14,9,2022-12-31T00:47:52Z,510000,False,,,0,,C. Koloko shooting personal FOUL (1 PF) (Okogie 2 FT),"[1631132, 1629006]",1610612761.0,TOR,shooting,,,Koloko,C. Koloko,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,203593.0,,,,1.0,0.0,Okogie,1629006.0
53,PT07M05.00S,2022-12-31T00:48:14.5Z,1,REGULAR,freethrow,1 of 2,[],1629006,,,1610612756,14,9,2022-12-31T00:48:14Z,530000,False,,,0,,MISS J. Okogie Free Throw 1 of 2,[1629006],1610612756.0,PHX,,,,Okogie,J. Okogie,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
54,PT07M05.00S,2022-12-31T00:48:14.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612756,14,9,2022-12-31T00:48:14Z,540000,False,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,,,,,,,53.0,,,,,,,,,,,,,,,
55,PT07M05.00S,2022-12-31T00:48:31.3Z,1,REGULAR,freethrow,2 of 2,[],1629006,,,1610612756,14,10,2022-12-31T00:48:31Z,550000,False,,,0,,J. Okogie Free Throw 2 of 2 (5 PTS),[1629006],1610612756.0,PHX,,,,Okogie,J. Okogie,,,,,,,,Made,,,,,,,5.0,,,,,,,,,,,
56,PT06M47.00S,2022-12-31T00:48:52.7Z,1,REGULAR,3pt,Jump Shot,[],1627783,32.53942181340342,55.88235294117647,1610612761,14,10,2022-12-31T00:49:11Z,560000,False,-29.0,253.0,1,left,MISS P. Siakam 25' 3PT,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Center,25.51,Missed,,,,,,,,,,,,,,,,,,
57,PT06M41.00S,2022-12-31T00:48:58.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612756,14,10,2022-12-31T00:49:21Z,570000,False,,,0,,TEAM defensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,Above the Break 3,24+ Center,,,,,56.0,,,,,,,,,,,,,,,
59,PT06M41.00S,2022-12-31T00:49:16.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612756,14,10,2022-12-31T00:49:19Z,590000,False,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M21.00S,2022-12-31T00:52:14.7Z,1,REGULAR,turnover,lost ball,[],101108,,,1610612756,14,10,2022-12-31T00:52:19Z,600000,False,,,0,,C. Paul lost ball TURNOVER (3 TO),"[101108, 1630567]",1610612756.0,PHX,,,,Paul,C. Paul,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,3.0,Barnes,1630567.0,,,,
62,PT06M21.00S,2022-12-31T00:52:14.7Z,1,REGULAR,steal,,[],1630567,,,1610612761,14,10,2022-12-31T00:52:16Z,610000,False,,,0,,S. Barnes STEAL (1 STL),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
