actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
16,PT10M52.00S,2023-02-09T00:42:01.7Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,2,3,2023-02-09T00:42:06Z,160000,False,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Mid-Range,8-16 Left,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT10M43.00S,2023-02-09T00:42:11.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629018,90.22667542706965,56.372549019607845,1610612761,4,3,2023-02-09T00:42:18Z,170000,False,32.0,39.0,1,right,G. Trent Jr. driving finger roll Layup (2 PTS) (P. Siakam 1 AST),"[1629018, 1627783]",1610612761.0,TOR,driving finger roll,,,Trent Jr.,G. Trent Jr.,,,,,In The Paint (Non-RA),0-8 Center,5.07,Made,,,,,,,2.0,P. Siakam,1627783.0,1.0,,,,,,,,
20,PT10M16.00S,2023-02-09T00:42:56.6Z,1,REGULAR,2pt,Layup,[],1627751,23.866622864651774,63.725490196078425,1610612759,4,3,2023-02-09T00:43:05Z,200000,False,-69.0,172.0,1,left,MISS J. Poeltl 18' driving Layup - blocked,"[1627751, 1627832]",1610612759.0,SAS,driving,,,Poeltl,J. Poeltl,,,,,Mid-Range,16-24 Left Center,18.5,Missed,,,,,VanVleet,1627832.0,,,,,,,,,,,,
21,PT10M16.00S,2023-02-09T00:42:56.6Z,1,REGULAR,block,,[],1627832,,,1610612759,4,3,2023-02-09T00:42:59Z,210000,False,,,0,,F. VanVleet BLOCK (1 BLK),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
22,PT10M16.00S,2023-02-09T00:42:56.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612759,4,3,2023-02-09T00:43:05Z,220000,False,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,Mid-Range,16-24 Left Center,,,20.0,,,,,,,,,,,,,,,,,
23,PT10M16.00S,2023-02-09T00:43:01.4Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612759,4,3,2023-02-09T00:43:43Z,230000,False,,,0,,SAS shot clock Team TURNOVER,[],1610612759.0,SAS,,,,,,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,203592.0,,,,,,,
24,PT10M07.00S,2023-02-09T00:43:15.0Z,1,REGULAR,turnover,bad pass,[],1627832,,,1610612761,4,3,2023-02-09T00:43:19Z,240000,False,,,0,,F. VanVleet bad pass TURNOVER (1 TO),"[1627832, 1627751]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,1.0,Poeltl,1627751.0,,,,
25,PT10M07.00S,2023-02-09T00:43:15.0Z,1,REGULAR,steal,,[],1627751,,,1610612759,4,3,2023-02-09T00:43:17Z,250000,False,,,0,,J. Poeltl STEAL (1 STL),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
26,PT10M02.00S,2023-02-09T00:43:19.6Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1626196,27.54599211563732,80.3921568627451,1610612759,4,3,2023-02-09T00:43:27Z,260000,False,-152.0,206.0,1,left,MISS J. Richardson 25' running 3PT,[1626196],1610612759.0,SAS,running,,,Richardson,J. Richardson,,,,,Above the Break 3,24+ Left Center,25.63,Missed,,,,,,,,,,,,,,,,,,
27,PT09M58.00S,2023-02-09T00:43:23.6Z,1,REGULAR,rebound,offensive,[],1631103,,,1610612759,4,3,2023-02-09T00:43:27Z,270000,False,,,0,,M. Branham REBOUND (Off:1 Def:0),[1631103],1610612759.0,SAS,,,,Branham,M. Branham,,,,,Above the Break 3,24+ Left Center,,,26.0,1.0,0.0,1.0,,,,,,,,,,,,,,
28,PT09M56.00S,2023-02-09T00:43:25.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1631103,16.63929040735874,47.05882352941176,1610612759,4,3,2023-02-09T00:44:33Z,280000,False,15.0,104.0,1,left,MISS M. Branham 10' driving floating Shot,[1631103],1610612759.0,SAS,driving floating,,,Branham,M. Branham,,,,,In The Paint (Non-RA),8-16 Center,10.49,Missed,,,,,,,,,,,,,,,,,,
29,PT09M52.00S,2023-02-09T00:43:29.8Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,4,3,2023-02-09T00:44:33Z,290000,False,,,0,,S. Barnes REBOUND (Off:0 Def:2),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),8-16 Center,,,28.0,2.0,2.0,0.0,,,,,,,,,,,,,,
30,PT09M51.00S,2023-02-09T00:43:36.1Z,1,REGULAR,turnover,out-of-bounds,[],1627783,,,1610612761,4,3,2023-02-09T00:44:21Z,300000,False,,,0,,P. Siakam bad pass out-of-bounds TURNOVER (1 TO),[1627783],1610612761.0,TOR,bad pass,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,203592.0,1.0,,,,,,
31,PT09M31.00S,2023-02-09T00:44:04.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629640,6.521024967148489,51.71568627450981,1610612759,4,5,2023-02-09T00:45:24Z,310000,False,-9.0,9.0,1,left,K. Johnson driving reverse Layup (2 PTS),[1629640],1610612759.0,SAS,driving reverse,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,1.23,Made,,,,,,,2.0,,,,,,,,,,,
32,PT09M14.00S,2023-02-09T00:44:21.1Z,1,REGULAR,3pt,Jump Shot,[],1629018,69.07030223390277,73.77450980392157,1610612761,4,5,2023-02-09T00:44:26Z,320000,False,119.0,238.0,1,right,MISS G. Trent Jr. 26' 3PT,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,Above the Break 3,24+ Right Center,26.62,Missed,,,,,,,,,,,,,,,,,,
33,PT09M11.00S,2023-02-09T00:44:24.1Z,1,REGULAR,rebound,defensive,[],1628966,,,1610612759,4,5,2023-02-09T00:44:26Z,330000,False,,,0,,K. Bates-Diop REBOUND (Off:0 Def:1),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,Above the Break 3,24+ Right Center,,,32.0,1.0,1.0,0.0,,,,,,,,,,,,,,
35,PT09M06.00S,2023-02-09T00:44:31.2Z,1,REGULAR,foul,personal,['2freethrow'],1630173,,,1610612759,4,5,2023-02-09T00:44:44Z,350000,False,,,0,,P. Achiuwa shooting personal FOUL (1 PF) (Bates-Diop 2 FT),"[1630173, 1628966]",1610612761.0,TOR,shooting,,,Achiuwa,P. Achiuwa,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,200834.0,,,,1.0,0.0,Bates-Diop,1628966.0
37,PT09M06.00S,2023-02-09T00:44:52.8Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1628966,,,1610612759,4,5,2023-02-09T00:44:52Z,370000,False,,,0,,MISS K. Bates-Diop Free Throw 1 of 2,[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
38,PT09M06.00S,2023-02-09T00:44:52.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612759,4,5,2023-02-09T00:44:52Z,380000,False,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,
39,PT09M06.00S,2023-02-09T00:45:05.1Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1628966,,,1610612759,4,6,2023-02-09T00:45:05Z,390000,False,,,0,,K. Bates-Diop Free Throw 2 of 2 (1 PTS),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
40,PT08M51.00S,2023-02-09T00:45:22.5Z,1,REGULAR,2pt,Jump Shot,[],1627783,75.64060446780552,45.588235294117645,1610612761,6,6,2023-02-09T00:45:28Z,400000,False,-22.0,176.0,1,right,P. Siakam 17' step back Jump Shot (4 PTS),[1627783],1610612761.0,TOR,step back,,,Siakam,P. Siakam,,,,,Mid-Range,16-24 Center,17.79,Made,,,,,,,4.0,,,,,,,,,,,
41,PT08M38.00S,2023-02-09T00:45:35.1Z,1,REGULAR,3pt,Jump Shot,[],1631103,32.276609724047304,34.80392156862745,1610612759,6,6,2023-02-09T00:45:40Z,410000,False,76.0,251.0,1,left,MISS M. Branham 26' 3PT,[1631103],1610612759.0,SAS,,,,Branham,M. Branham,,,,,Above the Break 3,24+ Center,26.22,Missed,,,,,,,,,,,,,,,,,,
42,PT08M36.00S,2023-02-09T00:45:37.1Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,6,6,2023-02-09T00:45:40Z,420000,False,,,0,,S. Barnes REBOUND (Off:0 Def:3),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Center,,,41.0,3.0,3.0,0.0,,,,,,,,,,,,,,
43,PT08M34.00S,2023-02-09T00:45:39.6Z,1,REGULAR,turnover,bad pass,[],1630567,,,1610612761,6,6,2023-02-09T00:45:43Z,430000,False,,,0,,S. Barnes bad pass TURNOVER (1 TO),"[1630567, 1629640]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,1.0,Johnson,1629640.0,,,,
44,PT08M34.00S,2023-02-09T00:45:39.6Z,1,REGULAR,steal,,[],1629640,,,1610612759,6,6,2023-02-09T00:45:41Z,440000,False,,,0,,K. Johnson STEAL (1 STL),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
45,PT08M30.00S,2023-02-09T00:45:43.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629640,17.821944809461236,52.450980392156865,1610612759,6,8,2023-02-09T00:45:50Z,450000,False,-12.0,115.0,1,left,K. Johnson 11' pullup Jump Shot (4 PTS),[1629640],1610612759.0,SAS,pullup,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),8-16 Center,11.57,Made,,,,,,,4.0,,,,,,,,,,,
46,PT08M21.00S,2023-02-09T00:45:55.3Z,1,REGULAR,foul,personal,['2freethrow'],1629640,,,1610612761,6,8,2023-02-09T00:46:00Z,460000,False,,,0,,K. Johnson shooting personal FOUL (1 PF) (Barnes 2 FT),"[1629640, 1630567]",1610612759.0,SAS,shooting,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,200834.0,,,,1.0,0.0,Barnes,1630567.0
48,PT08M21.00S,2023-02-09T00:46:17.8Z,1,REGULAR,freethrow,1 of 2,[],1630567,,,1610612761,7,8,2023-02-09T00:46:38Z,480000,False,,,0,,S. Barnes Free Throw 1 of 2 (1 PTS),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
49,PT08M21.00S,2023-02-09T00:46:17.8Z,1,REGULAR,freethrow,2 of 2,[],1630567,,,1610612761,7,8,2023-02-09T00:46:38Z,490000,False,,,0,,MISS S. Barnes Free Throw 2 of 2,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
50,PT08M18.00S,2023-02-09T00:46:20.8Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,7,8,2023-02-09T00:46:38Z,500000,False,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,49.0,1.0,1.0,0.0,,,,,,,,,,,,,,
51,PT08M09.00S,2023-02-09T00:46:47.2Z,1,REGULAR,foul,personal,['2freethrow'],1629018,,,1610612759,7,8,2023-02-09T00:46:55Z,510000,False,,,0,,G. Trent Jr. shooting personal FOUL (1 PF) (Johnson 2 FT),"[1629018, 1629640]",1610612761.0,TOR,shooting,,,Trent Jr.,G. Trent Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,203592.0,,,,1.0,0.0,Johnson,1629640.0
53,PT08M09.00S,2023-02-09T00:47:06.5Z,1,REGULAR,freethrow,1 of 2,[],1629640,,,1610612759,7,8,2023-02-09T00:47:06Z,530000,False,,,0,,MISS K. Johnson Free Throw 1 of 2,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
54,PT08M09.00S,2023-02-09T00:47:06.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612759,7,8,2023-02-09T00:47:06Z,540000,False,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,,,53.0,,,,,,,,,,,,,,,,,
55,PT08M09.00S,2023-02-09T00:47:18.6Z,1,REGULAR,freethrow,2 of 2,[],1629640,,,1610612759,7,9,2023-02-09T00:47:18Z,550000,False,,,0,,K. Johnson Free Throw 2 of 2 (5 PTS),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,Made,,,,,,,5.0,,,,,,,,,,,
56,PT08M00.00S,2023-02-09T00:47:29.2Z,1,REGULAR,3pt,Jump Shot,[],1627783,65.91655716162943,50.0,1610612761,10,9,2023-02-09T00:47:35Z,560000,False,0.0,268.0,1,right,P. Siakam 26' 3PT  (7 PTS) (F. VanVleet 1 AST),"[1627783, 1627832]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Center,26.79,Made,,,,,,,7.0,F. VanVleet,1627832.0,1.0,,,,,,,,
58,PT07M42.00S,2023-02-09T00:47:46.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627751,12.434296977660972,51.71568627450981,1610612759,10,11,2023-02-09T00:47:53Z,580000,False,-9.0,64.0,1,left,J. Poeltl 6' floating Jump Shot (2 PTS) (K. Bates-Diop 1 AST),"[1627751, 1628966]",1610612759.0,SAS,floating,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,6.5,Made,,,,,,,2.0,K. Bates-Diop,1628966.0,1.0,,,,,,,,
60,PT07M20.00S,2023-02-09T00:48:08.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629018,85.89027595269383,46.07843137254902,1610612761,10,11,2023-02-09T00:48:15Z,600000,False,-20.0,80.0,1,right,MISS G. Trent Jr. 8' driving floating bank Shot,[1629018],1610612761.0,TOR,driving floating bank,,,Trent Jr.,G. Trent Jr.,,,,,In The Paint (Non-RA),8-16 Center,8.25,Missed,,,,,,,,,,,,,,,,,,
61,PT07M17.00S,2023-02-09T00:48:11.5Z,1,REGULAR,rebound,defensive,[],1631103,,,1610612759,10,11,2023-02-09T00:48:15Z,610000,False,,,0,,M. Branham REBOUND (Off:1 Def:1),[1631103],1610612759.0,SAS,,,,Branham,M. Branham,,,,,In The Paint (Non-RA),8-16 Center,,,60.0,2.0,1.0,1.0,,,,,,,,,,,,,,
62,PT07M11.00S,2023-02-09T00:48:17.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629640,6.652431011826544,46.32352941176471,1610612759,10,13,2023-02-09T00:48:24Z,620000,False,18.0,10.0,1,left,K. Johnson running reverse Layup (7 PTS) (M. Branham 1 AST),"[1629640, 1631103]",1610612759.0,SAS,running reverse,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,2.09,Made,,,,,,,7.0,M. Branham,1631103.0,1.0,,,,,,,,
63,PT07M01.00S,2023-02-09T00:48:28.7Z,1,REGULAR,2pt,Jump Shot,[],1627832,79.188567674113,72.79411764705883,1610612761,10,13,2023-02-09T00:48:33Z,630000,False,114.0,143.0,1,right,MISS F. VanVleet 18' pullup Shot,[1627832],1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,Mid-Range,16-24 Right Center,18.3,Missed,,,,,,,,,,,,,,,,,,
64,PT06M57.00S,2023-02-09T00:48:32.7Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,10,13,2023-02-09T00:48:33Z,640000,False,,,0,,K. Johnson REBOUND (Off:0 Def:1),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Mid-Range,16-24 Right Center,,,63.0,1.0,1.0,0.0,,,,,,,,,,,,,,
65,PT06M47.00S,2023-02-09T00:48:42.1Z,1,REGULAR,2pt,Jump Shot,[],1626196,23.603810775295663,68.38235294117648,1610612759,10,13,2023-02-09T00:50:23Z,650000,False,-92.0,169.0,1,left,MISS J. Richardson 19' step back Shot,[1626196],1610612759.0,SAS,step back,,,Richardson,J. Richardson,,,,,Mid-Range,16-24 Left Center,19.27,Missed,,,,,,,,,,,,,,,,,,
66,PT06M45.00S,2023-02-09T00:48:44.1Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612759,10,13,2023-02-09T00:51:07Z,660000,False,,,0,,J. Poeltl REBOUND (Off:1 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Mid-Range,16-24 Left Center,,,65.0,2.0,1.0,1.0,,,,,,,,,,,,,,
67,PT06M45.00S,2023-02-09T00:48:47.4Z,1,REGULAR,foul,personal,['2freethrow'],1627783,,,1610612759,10,13,2023-02-09T00:51:36Z,670000,False,,,0,,P. Siakam shooting personal FOUL (1 PF) (Poeltl 2 FT),"[1627783, 1627751]",1610612761.0,TOR,shooting,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,200834.0,,,,1.0,0.0,Poeltl,1627751.0
69,PT06M45.00S,2023-02-09T00:48:55.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,10,13,2023-02-09T00:48:56Z,690000,False,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M45.00S,2023-02-09T00:49:08.8Z,1,REGULAR,substitution,out,[],1630567,,,1610612759,10,13,2023-02-09T00:51:30Z,700000,False,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M45.00S,2023-02-09T00:49:08.8Z,1,REGULAR,substitution,out,[],1630173,,,1610612759,10,13,2023-02-09T00:51:30Z,710000,False,,,0,,SUB out: P. Achiuwa,[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M45.00S,2023-02-09T00:49:08.8Z,1,REGULAR,substitution,in,[],201152,,,1610612759,10,13,2023-02-09T00:51:30Z,720000,False,,,0,,SUB in: T. Young,[201152],1610612761.0,TOR,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M45.00S,2023-02-09T00:49:08.8Z,1,REGULAR,substitution,in,[],1628449,,,1610612759,10,13,2023-02-09T00:51:30Z,730000,False,,,0,,SUB in: C. Boucher,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M45.00S,2023-02-09T00:51:58.6Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1627751,,,1610612759,10,14,2023-02-09T00:51:58Z,740000,False,,,0,,J. Poeltl Free Throw 1 of 2 (3 PTS),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,Made,,,,,,,3.0,,,,,,,,,,,
76,PT06M45.00S,2023-02-09T00:52:16.1Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1627751,,,1610612759,10,15,2023-02-09T00:52:16Z,750000,False,,,0,,J. Poeltl Free Throw 2 of 2 (4 PTS),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,Made,,,,,,,4.0,,,,,,,,,,,
77,PT06M26.00S,2023-02-09T00:52:36.7Z,1,REGULAR,2pt,Jump Shot,[],1627783,79.05716162943496,49.754901960784316,1610612761,12,15,2023-02-09T00:52:41Z,760000,False,-1.0,144.0,1,right,P. Siakam 14' pullup Jump Shot (9 PTS),[1627783],1610612761.0,TOR,pullup,,,Siakam,P. Siakam,,,,,Mid-Range,8-16 Center,14.44,Made,,,,,,,9.0,,,,,,,,,,,
78,PT06M13.00S,2023-02-09T00:52:50.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,7.30946123521682,50.0,1610612759,12,15,2023-02-09T00:52:55Z,770000,False,0.0,16.0,1,left,MISS J. Poeltl reverse Layup,[1627751],1610612759.0,SAS,reverse,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,1.62,Missed,,,,,,,,,,,,,,,,,,
79,PT06M11.00S,2023-02-09T00:52:52.4Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,12,15,2023-02-09T00:52:55Z,780000,False,,,0,,P. Siakam REBOUND (Off:0 Def:2),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,78.0,2.0,2.0,0.0,,,,,,,,,,,,,,
80,PT06M07.00S,2023-02-09T00:52:58.1Z,1,REGULAR,foul,personal,['2freethrow'],1627751,,,1610612761,12,15,2023-02-09T00:53:05Z,790000,False,,,0,,J. Poeltl shooting personal FOUL (1 PF) (Siakam 2 FT),"[1627751, 1627783]",1610612759.0,SAS,shooting,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,200834.0,,,,1.0,0.0,Siakam,1627783.0
82,PT06M07.00S,2023-02-09T00:53:25.6Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1627783,,,1610612761,12,15,2023-02-09T00:53:25Z,810000,False,,,0,,MISS P. Siakam Free Throw 1 of 2,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
83,PT06M07.00S,2023-02-09T00:53:25.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612761,12,15,2023-02-09T00:53:25Z,820000,False,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,82.0,,,,,,,,,,,,,,,,,
